Orthogroup	Arabidopsis_lyrata_Rawat	Erysimum_linariifolium
OG0000057	AL3G53160, AL3G53140	El005G276600, El005G276550
OG0000057	AL3G50860, AL769U10010, AL3G38080	El003G184060
OG0000058	AL4G27890	El001G046460
OG0000062	nbis-gene-221	El005G264970, El004G212620, El001G013750, El003G186180, El004G203440, El004G203430, El007G346680, El005G263100
OG0000063	AL5G25220	El002G090290
OG0000063	AL781U10020	El006G304660, El001G015540
OG0000063	AL1G18100	El001G024380
OG0000064	AL7G10840	El003G142390
OG0000064	AL4G29500	El006G298100
OG0000065	AL5G17110	El003G166420
OG0000065	AL7G38070	El003G166430, El007G349160
OG0000066	AL2G35580, AL3G43470	El004G228220, El004G228230, El002G122920
OG0000066	AL6G20900	El002G091950, El001G042280, El001G071590, El001G071600, El007G324790
OG0000066	AL6G20890, AL1G19680, AL5G16700	El007G324780
OG0000067	AL3G20250, AL3G20240, AL3G20260, AL6G14890, AL6G15310	El001G050000
OG0000067	AL3G11550	El001G015110, El001G015090
OG0000067	AL6G12910, AL3G38420, AL6G12880, AL6G12890	El001G019940, El001G019880, El003G151620, El001G050380, El007G338720
OG0000067	AL6G18740	El001G059350
OG0000068	AL3G42660, AL7G46520, AL4G33750	El004G214260
OG0000070	AL5G12380, AL5G12270, AL2G23610	El007G351510
OG0000070	AL1G50200	El007G351470
OG0000070	AL5G18180, AL5G24080	El002G129450
OG0000071	AL4G15570	El003G186380
OG0000071	AL6G40690	El003G161900, El007G348480, El004G223960, El004G222550, El002G123480, El003G185050, El005G258610, El004G202230, El007G334900, El007G346760, El005G246820, El002G129540, El003G186390, El001G051200, El006G305000
OG0000072	AL6G46480, AL2G19590	El005G263040, El005G262970, El004G210970, El005G264060
OG0000072	AL8G24560, AL4G13100, AL8G26200, AL7G48370, AL1G49480, AL3G45860, AL3G47220, AL5G17870	El003G180720
OG0000073	AL7G37760	El002G132380
OG0000073	AL8G18480	El007G355990
OG0000073	AL6G42230	El007G365480
OG0000074	AL1G37410	El002G109000
OG0000074	AL1G37350	El002G108920
OG0000074	AL1G37330	El002G108900
OG0000074	AL1G37340	El002G108910
OG0000074	AL1G37440	El002G109050
OG0000074	AL1G37400	El002G108990
OG0000074	AL1G37370	El002G108960
OG0000074	AL1G37380, AL1G37360	El002G108950
OG0000074	AL1G37420	El002G109030
OG0000074	AL1G37270	El002G108840
OG0000074	AL1G37280	El002G108850
OG0000074	AL1G37430	El002G109040
OG0000075	AL1G22320, AL6G27180, AL1G43860, AL5G25310	El001G065030, El001G025110
OG0000076	AL5G28550	El001G018730, El001G018680
OG0000076	AL8G17190	El001G023120
OG0000077	AL34U10100, AL8G22340	El007G346750
OG0000077	AL7G11600	El003G143060
OG0000077	AL7G11690	El003G143070
OG0000077	AL1G52780, AL1G52760, AL1G52750	El003G143080
OG0000077	AL7G11590	El003G143050, El006G313810, El003G143040
OG0000077	AL2G16730, AL2G16030	El004G200660, El004G200690, El004G200720, El004G200650, El004G200820, El004G200840, El004G201230, El004G207520, El004G200870, El004G200890
OG0000077	nbis-gene-1691	El003G143090
OG0000079	AL3G12550	El005G237320, El005G272390
OG0000079	AL3G12540	El005G237310
OG0000079	AL5G40730	El004G213350, El004G213320, El004G213370, El005G273970
OG0000079	AL5G40740	El004G207470
OG0000079	AL4G18900, AL4G18910	El007G357730
OG0000080	AL1G54400	El002G131320, El002G131270
OG0000080	AL1G55000	El002G131930
OG0000080	AL6G23340	El001G069000, El001G068960
OG0000080	AL7G25770	El003G157200
OG0000080	AL1G35400, AL7G44920, AL3G24690	El001G043770, El001G041340
OG0000081	nbis-gene-1089, AL3G17170	El004G231800, El001G044440
OG0000081	AL6G29160	El001G062660
OG0000081	AL6G29360, AL6G29140	El001G062500
OG0000083	AL57U10030	El005G265380
OG0000083	AL3G37570	El005G263680
OG0000083	AL3G43940	El005G271190, El005G271150
OG0000083	AL1G47960	El005G271260, El005G271250, El005G271160, El005G265390
OG0000083	AL3G15890	El006G317480, El006G317520, El006G317460, El006G317530
OG0000083	AL3G15860	El005G240260
OG0000084	nbis-gene-975	El006G315720
OG0000084	nbis-gene-1002	El006G313930, El001G048100
OG0000084	AL4G15550	El006G313950
OG0000084	AL4G18500	El006G316300
OG0000084	AL4G15500	El006G316350
OG0000084	AL4G18540	El006G316230
OG0000084	AL4G18560	El006G316420
OG0000084	AL4G18550	El006G316360, El006G316460, El006G316430, El006G316470, El006G316370, El006G316400
OG0000085	AL1G47700, AL3G42270, AL2G24190, AL6G40850, AL2G32540, AL7G41350, AL3G37700	El005G263080
OG0000085	AL4G43300, AL6G35520, AL6G51820, AL1G48000	El005G261930
OG0000086	nbis-gene-346, nbis-gene-441, nbis-gene-345	El002G123600
OG0000086	nbis-gene-344, nbis-gene-348, nbis-gene-349, nbis-gene-343, nbis-gene-440, AL2G18870, nbis-gene-342, nbis-gene-436, nbis-gene-1420, nbis-gene-434, nbis-gene-435, nbis-gene-439, nbis-gene-347, nbis-gene-1421, nbis-gene-438, nbis-gene-437, nbis-gene-1419	El004G210560
OG0000087	AL6G35120	El001G056180
OG0000087	AL4G24260	El006G303330
OG0000087	AL8G39670	El007G327940
OG0000087	AL5G25960	El001G016250
OG0000087	AL6G23060	El001G069260
OG0000087	AL4G30750	El006G296420
OG0000087	AL8G15560	El007G360740
OG0000087	AL7G33260	El003G165170
OG0000087	AL1G32740	El002G104330
OG0000087	AL2G35770	El004G228430
OG0000088	AL5G23250	El007G357210
OG0000088	AL5G26870	El001G017100
OG0000088	AL3G46650	El005G272510
OG0000088	AL5G26810	El001G016960
OG0000088	AL5G26360	El001G016980
OG0000088	AL5G26840	El005G272530, El001G013580, El007G349190, El001G013550, El001G013530, El001G013500, El001G013370, El001G013590, El001G013380, El001G013440, El001G013460, El001G013600, El001G013480, El001G013570, El001G013430, El001G017030, El001G017000, El001G017090, El001G017020, El001G017060
OG0000088	AL5G26370	El001G016470
OG0000088	AL6G32010	El001G059590
OG0000088	AL8G24400	El001G059580
OG0000089	AL6G20220	El001G072250
OG0000089	AL3G32160, AL1G56110	El002G133200
OG0000089	AL4G40450	El006G287080
OG0000089	AL4G40460	El006G287070
OG0000089	AL4G40470	El006G287060
OG0000089	AL3G23740	El005G247910
OG0000089	AL5G25390	El001G015710
OG0000090	AL2G24470	El002G104490, El003G181590
OG0000090	AL8G19640	El007G355500
OG0000090	AL2G35960	El004G228750
OG0000090	AL5G42190	El001G031660
OG0000090	AL7G16760	El003G147970
OG0000090	AL5G12830	El001G038160, El001G038170, El001G049400
OG0000090	AL3G47920, AL5G12840	El001G038180
OG0000090	AL1G20940	El002G093200
OG0000091	AL8G16330, nbis-gene-1790, nbis-gene-1053, AL7G47240, nbis-gene-2125	El004G215550
OG0000093	AL3G42890	El005G270280
OG0000093	AL5G39960	El004G202240, El004G202270
OG0000093	AL3G42870, AL3G42880	El005G270290, El005G270300, El005G270240, El004G214760, El005G270230
OG0000093	AL5G39980, AL5G40000	El001G029840
OG0000093	AL5G39910	El001G029800, El007G352040
OG0000096	AL5G12940, AL5G12970	El001G038380
OG0000096	AL5G12960	El001G038370
OG0000096	AL1G67300	El004G205890, El004G205920, El004G205830, El004G205860, El004G205880, El004G205870, El004G205260, El004G205840, El007G356380
OG0000096	AL8G13900	El007G362860
OG0000097	AL6G49050	El001G004470
OG0000097	AL9U10550	El001G004450
OG0000097	AL6G49150	El001G004380
OG0000097	AL320U10020, AL6G49090, AL6G49080, AL6G45160, AL320U10010	El001G004460, El001G004420, El001G004430, El007G349700, El001G004410, El001G048890
OG0000097	AL6G49120	El001G004400
OG0000098	AL1G23600	El002G095770
OG0000099	AL2G11060	El004G194870, El001G011990, El004G194960, El004G194830, El004G194970, El004G204720, El004G194880, El004G194860, El006G303000, El004G214950, El004G214930
OG0000099	AL6G43560, nbis-gene-367	El004G194890, El004G195030, El004G194980
OG0000099	AL3G46090, nbis-gene-369	El004G194950
OG0000100	AL2G20140, AL8G14910, AL5G22850, nbis-gene-262	El001G030500
OG0000101	AL2G11260	El001G010940
OG0000101	AL2G11240	El007G356350
OG0000101	AL2G16740	El004G201590
OG0000102	AL1G67270, AL8G13680, AL1G44840	El006G302470
OG0000104	AL1G17740	El002G090170
OG0000104	AL4G23570	El006G304210
OG0000104	AL1G59870	El002G136420
OG0000104	AL1G59850	El002G136360
OG0000105	AL1G53250, AL1G56270, AL3G45200	El027G373450
OG0000106	AL3G31600, AL3G31620, AL3G31610, AL3G32310, AL3G32820, AL3G50560	El005G259530
OG0000106	AL3G22030, AL3G32300	El001G010720, El005G256190, El005G255570
OG0000106	AL439U10010	El005G256210, El005G255560
OG0000106	nbis-gene-1025, AL4G22680, AL4G22640	El006G306450
OG0000106	AL3G41350, AL3G41320, AL3G41330, AL3G41340	El005G269060, El005G269030, El005G268940
OG0000107	AL3G33780	El005G257800
OG0000107	AL3G33770	El005G257780
OG0000107	AL3G33810	El005G257840
OG0000107	AL3G33800	El005G257830
OG0000107	AL3G33790	El005G257820
OG0000107	AL3G34900	El005G258940
OG0000108	AL6G37130	El001G053220
OG0000108	AL6G37020	El001G053160
OG0000108	AL6G44880	El001G047240
OG0000108	AL1G41020, AL1G41010, AL1G41000, AL1G40990	El007G364310, El007G323300
OG0000108	AL4G14170	El001G009690, El006G281400
OG0000108	AL3G44060, AL3G44020, AL3G44030, AL3G43980	El006G309530
OG0000108	AL2G26330	El006G297420, El006G297320, El006G297490, El006G297230, El002G139550
OG0000109	AL4G12030, AL1G50070	El001G049940, El008G368450, El002G127890
OG0000109	AL433U10010	El002G122420
OG0000110	AL5G41090	El001G030790
OG0000110	AL5G41080	El001G030780
OG0000110	AL5G41040	El001G030740
OG0000110	AL5G41050	El001G030750
OG0000111	AL315U10010, AL7G51940, AL7G52000, AL7G52020	El003G187720, El001G009620, El003G183560
OG0000111	AL8G40480	El007G327170
OG0000111	AL5G36020	El001G025790
OG0000112	nbis-gene-1017, AL8G37620, nbis-gene-2004, nbis-gene-1178, nbis-gene-2005, nbis-gene-1177, AL4G19230	El007G329910
OG0000112	AL8G25360	El007G342990
OG0000114	AL6G21880, AL3G14170	El001G070430
OG0000114	AL1G67230, AL1G67210, AL1G67280, AL3G42680	El004G206200, El004G206180, El004G205940, El004G206220
OG0000114	AL1G52710	El002G128610
OG0000115	AL1G16160	El002G126950, El002G121910, El006G311440, El006G308990
OG0000115	AL2G19110	El007G324900, El006G289920, El006G285120, El004G201560, El001G079750, El001G046700, El002G106750, El002G138260, El007G348280
OG0000116	AL4G42280	El006G309080, El005G266280, El003G181290, El002G126330, El004G208040, El003G160430, El001G048920, El007G350210, El004G213450, El001G046840, El004G209170, El001G081080, El007G335700, El004G218070
OG0000117	AL8G20470	El001G016830
OG0000118	AL5G32600	El003G186910, El001G022390, El006G313980, El006G314430, El001G000890, El004G214040
OG0000118	AL5G18800	El001G001700, El001G001530
OG0000118	AL6G41680, AL6G41670	El005G262010
OG0000118	AL5G34240, AL3G50380	El006G302550, El006G302540, El007G358680, El006G302560, El001G023930
OG0000118	AL2G34810	El002G084120
OG0000119	AL1G56990, AL4G18060, AL2G19320, AL5G24470, AL6G38890, AL3G40990, AL6G49470	El002G124220
OG0000120	AL2G15570	El004G200260
OG0000120	nbis-gene-1458	El001G077920
OG0000121	AL1G52400, AL4G41700, AL7G40530	El001G079760
OG0000123	AL1G41710, AL1G41700	El002G113800
OG0000123	AL2G13220	El001G013920
OG0000124	AL3G31830	El005G255280
OG0000124	AL3G43990	El001G050120, El001G069630
OG0000125	AL6G11840	El001G080460
OG0000125	AL6G34020	El001G057350
OG0000125	AL5G24690	El001G015040
OG0000125	AL8G36480	El007G331030
OG0000125	AL5G24750	El001G015130
OG0000125	AL4G23250	El006G304720
OG0000127	AL3G20220	El005G244320
OG0000127	AL3G20190, AL9U10500, AL1G22150, AL1G22140, AL1G22160, AL1G17320, AL638U10010	El001G001730
OG0000130	AL4G15810, AL4G25960	El002G120060
OG0000131	AL3G42080, AL4G18650, AL5G18470, AL2G20370, AL8G13990, AL1G46930, AL2G19090	El007G346920
OG0000131	AL5G18060	El006G311530
OG0000132	nbis-gene-997, AL1G35450, nbis-gene-1953, AL1G39460	El005G264200
OG0000132	AL614U10020	El005G264210
OG0000133	AL8G19570, AL25U10030	El005G265050, El001G044680, El003G179460, El003G179450
OG0000135	AL6G39210	El007G346110
OG0000135	AL4G28120, AL2G38250	El001G045750
OG0000136	AL2G24580	El004G215940
OG0000136	AL7G53090	El003G186490, El003G186500
OG0000136	AL8G39760	El007G327820
OG0000136	nbis-gene-1912	El007G355150, El007G356600
OG0000138	AL8G37810	El001G050920
OG0000138	AL5G19700, AL5G19780	El001G045810, El001G045830
OG0000140	AL5G25860, AL5G25850	El001G016150
OG0000140	AL8G35600	El007G331970
OG0000140	AL48U10040, AL8G35560	El007G332020
OG0000140	nbis-gene-2177	El007G332560
OG0000140	nbis-gene-2176, AL8G34670, AL8G26340	El007G332570
OG0000140	nbis-gene-2178	El007G332540
OG0000140	nbis-gene-2175	El007G332580, El007G332590
OG0000140	AL48U10010, nbis-gene-2180	El007G332010, El007G332000
OG0000142	AL4G23870, AL4G23880	El006G303740, El006G303770
OG0000142	AL4G23840	El006G303840
OG0000142	AL4G23890	El001G049820, El006G303750
OG0000142	AL4G25560	El006G301970, El006G301960
OG0000144	AL8G24370	El007G344160
OG0000144	AL2G23260	El007G362000
OG0000146	AL8G30930	El007G336790
OG0000146	AL8G30890	El007G336850
OG0000146	AL8G30900	El007G336820
OG0000146	AL8G30880	El007G336870, El007G336880
OG0000146	AL1G49040	El002G123070
OG0000146	AL8G30910	El002G123110
OG0000147	AL3G52950	El005G277400
OG0000147	AL7G22000	El003G152940
OG0000147	AL8G33330	El007G334350
OG0000147	AL2G40780	El004G233720
OG0000147	AL5G20850	El001G047010
OG0000147	AL3G44180	El005G271430
OG0000147	AL4G15040	El006G316840
OG0000149	AL5G25250	El001G015560
OG0000150	AL4G18370	El006G312840, El006G312880
OG0000150	AL4G18360, AL4G18340	El006G312950, El006G312930
OG0000150	AL5G24030	El001G014390, El001G014400
OG0000150	AL5G24170	El001G012490, El001G014420
OG0000151	AL8G28000	El007G339860
OG0000151	AL7G24680	El003G156070
OG0000151	AL3G19690	El005G243780
OG0000151	AL3G49460	El005G273960
OG0000151	AL8G31780	El007G336000
OG0000151	AL2G10770	El004G194600
OG0000151	AL7G47650	El003G193180
OG0000152	nbis-gene-137	El003G177030
OG0000154	AL3G20620	El005G244620
OG0000154	AL6G11730	El004G209500
OG0000155	AL113U10010, AL113U10030, AL5G31320	El001G002450, El001G002560, El001G002510, El001G002610
OG0000155	AL2G23090, AL2G23080	El004G214530, El004G213730, El004G214590
OG0000155	AL7G32710	El003G164690
OG0000155	AL3G23610	El005G247790
OG0000155	AL6G48380	El003G164700
OG0000155	AL6G37570	El001G050480
OG0000155	AL4G46600	El005G272960
OG0000156	AL5G43250	El001G032910
OG0000156	AL4G44740	El006G282820, El007G349010
OG0000156	AL4G44730	El006G282860
OG0000157	AL3G38550, AL3G38540	El005G265510, El005G265480, El005G265460, El005G265550
OG0000157	AL3G14210	El005G238850
OG0000157	AL7G47920	El003G192550
OG0000157	AL4G35640	El003G192860
OG0000158	AL1G67080, AL7G42520	El003G184160
OG0000158	AL4G12250	El005G265720, El005G267190
OG0000158	AL6G46400	El001G001370, El001G007170, El001G007140
OG0000158	AL4G29520	El006G298850
OG0000160	AL983U10010, AL8G34940, AL7G45030, AL1G48950, AL8G31450, AL236U10040	El002G123370, El007G360530
OG0000160	AL5G16300	El007G331560, El004G203670, El006G309770, El005G275910, El001G047250, El002G105420, El007G347580, El004G202080, El002G123360, El007G360520
OG0000162	AL2G25640, AL2G23580	El007G330500
OG0000162	AL4G44040	El006G283560, El006G283550
OG0000164	AL7G23040	El003G154300
OG0000164	AL7G11970	El003G143330
OG0000164	AL7G34820	El003G166760, El003G166780
OG0000164	AL7G11950	El003G143310
OG0000164	AL2G17690, AL2G17720, nbis-gene-421, AL6G40440, AL6G40430, AL6G40420	El003G186050, El001G048320
OG0000164	AL7G11960	El003G143320
OG0000166	AL2G32690	El003G188790, El003G188850, El001G012590, El002G131550
OG0000166	AL2G13810	El003G170640, El003G170650, El006G307980
OG0000167	AL7G34470	El003G166330
OG0000167	AL7G34500, AL7G34510	El003G182660, El003G182640
OG0000167	AL7G34530	El003G166350
OG0000167	AL7G34520	El007G355560, El007G355650
OG0000168	AL4G12860	El002G109450
OG0000168	AL3G46190, AL8G18370	El007G366060, El007G366100
OG0000171	AL2G23510	El006G280730, El002G093670
OG0000171	AL1G37260	El004G222060, El002G108810
OG0000171	AL6G25440	El001G066810
OG0000172	AL5G45250, AL2G23440, AL5G35200	El001G024870, El001G024880
OG0000172	AL5G44820	El001G034720
OG0000172	AL5G40760	El001G030560
OG0000174	AL8G20180, AL4G17770	El007G350910
OG0000174	AL6G41080, AL2G20320, AL7G33750, AL2G20330, AL6G41170, AL3G54100, AL3G45590	El005G261670
OG0000175	AL5G31720	El001G021550
OG0000175	AL2G35850	El004G228610
OG0000175	AL1G32900	El002G104420
OG0000175	AL7G16200	El003G147420
OG0000175	AL7G15090	El003G146230
OG0000176	AL1G44470	El002G116980, El002G116900, El002G117520
OG0000178	AL4G22400	El007G324860, El003G162340, El003G181530, El003G168850, El006G304410
OG0000178	AL3G46620	El001G011070, El003G153080
OG0000180	AL8G35170, AL3G40410	El007G325980
OG0000180	AL5G45620	El004G196870, El004G196830, El007G342850
OG0000181	AL3G31430	El004G221180, El006G310720
OG0000181	AL8G25040, AL4G15240, AL5G17720, AL8G21610, AL7G44660, AL5G21310, AL7G48830	El001G037070, El007G362960, El001G081130, El003G164550, El006G294400
OG0000181	AL4G21300	El001G016930, El002G127660, El007G351590, El002G119200, El007G343640, El003G185610, El007G324810
OG0000183	AL4G13920	El002G109930, El002G097230, El003G174400, El002G139010, El002G135320
OG0000183	AL5G32880, AL6G28130	El006G283640
OG0000185	AL6G10840	El004G197640
OG0000185	AL8G35610, AL2G32620, AL1G29430	El001G013560
OG0000185	AL1G46910	El001G004130
OG0000187	nbis-gene-1736	El003G151270
OG0000187	AL7G20320	El003G151220
OG0000188	AL5G15430, AL6G36380, AL2G18280	El006G315250, El001G033320
OG0000189	AL3G40190	El005G267970
OG0000189	AL7G12760	El003G144190, El001G061400, El001G061930
OG0000189	AL7G12790	El003G144180
OG0000190	AL6G47960	El001G005540
OG0000190	AL6G47980	El001G005520
OG0000190	AL6G47970	El001G005530
OG0000190	AL6G48020	El001G005500
OG0000190	AL6G47990	El001G005510
OG0000190	AL1G49990	El005G265350
OG0000191	AL2G24870	El005G254650
