Orthogroup	Arabidopsis_lyrata_Rawat	Odontarrhena_muralis
OG0000008	AL2G20270, AL4G19160, AL298U10010, AL9U11800, AL4G18790, AL3G44010, AL7G44440, AL4G37240, AL4G20310, AL7G45220, AL6G27010, AL5G18950, AL2G17460, AL226U10010, AL8G21160, AL8G41980, AL6G49380, AL39U10050, AL6G25540, AL5G16170, AL7G48840, AL7G10810, AL8G17730, AL747U10010, AL4G21710, AL66U10030, AL1G63180, AL7G51050, AL1G65090, AL7G50980, AL8G11530, AL1G29200, AL8G21520, AL5G24310, AL3G40710, AL1G45690, AL5G20410, AL4G18090, AL2G19610, AL6G46960, AL3G44870, AL2G22310, AL4G13380, AL3G52160	Om007G284450, Om008G361640, Om007G313430
OG0000008	AL5G20470	Om001G020680
OG0000012	AL5G18610, AL1G66070	Om004G146180
OG0000012	AL2G19210	Om005G215090, Om003G105470, Om004G154660
OG0000012	AL7G44260	Om002G076390
OG0000012	AL2G18620	Om003G106630
OG0000012	AL8G29520	Om008G342970
OG0000013	AL3G45620	Om008G346820, Om005G224220
OG0000013	AL6G41250	Om008G350670
OG0000013	AL5G20640	Om003G108850, Om006G268640
OG0000014	AL1G56800	Om007G309000
OG0000014	AL3G43620, AL527U10010	Om008G343710
OG0000014	AL7G43490	Om005G227750
OG0000014	AL5G12070, AL7G43390	Om008G343700
OG0000015	AL25U10010, AL6G22310, AL7G26200	Om003G105790, Om004G154560
OG0000015	AL5G11190, AL1G65620, AL7G47990, AL2G21990, AL5G11720, AL615U10010, AL1G54160	Om002G088840
OG0000017	AL7G44020, AL3G44050, AL460U10020, AL6G40580	Om003G112310
OG0000018	AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170, AL3G52170, AL5G41490, AL4G18100, AL8G33160, AL8G23170, AL4G13400, AL2G40700, AL39U10070, AL8G31610, AL7G45200, AL2G25080, AL5G20460, AL4G19440, AL7G47350, AL7G51150, AL6G47300, AL3G37170, AL3G43480, AL5G24330, AL6G42400	Om008G335480, Om007G284460, Om008G361630
OG0000020	AL4G17980	Om008G361320, Om007G309390
OG0000021	AL7G30150, AL5G20380, AL488U10010, AL4G29570	Om001G038730
OG0000021	AL8G10060	Om008G331340
OG0000021	AL5G16490, AL5G19200	Om007G291430, Om002G057270, Om005G225300
OG0000021	AL1G46090, AL5G10040, AL5G25470, AL96U10010	Om001G020780, Om001G006810, Om002G059070
OG0000023	AL6G45910, AL7G30160, AL7G30170	Om001G010360, Om001G009290
OG0000023	AL6G45970	Om008G351580
OG0000023	AL1G66280	Om008G351620, Om008G351630
OG0000023	AL6G46070	Om008G351640, Om008G351650
OG0000023	AL7G30270	Om001G010200
OG0000023	AL7G30280	Om001G010250
OG0000025	AL7G42840	Om002G073490, Om002G073430
OG0000026	AL2G12870, AL5G16730, AL9U11280	Om002G080990
OG0000027	AL4G16470	Om007G316890
OG0000028	AL3G41570	Om007G314890
OG0000028	nbis-gene-1243	Om007G308810
OG0000029	AL4G17400	Om005G216790
OG0000030	AL1G54660	Om004G150510, Om004G153710, Om020G374410, Om004G155320
OG0000030	AL4G45380, AL3G35100, AL8G39990, AL7G36770, AL2G36380, AL6G22280, AL6G40680, AL1G51440, AL103U10010, AL8G23430, AL4G17850, AL2G38670, AL9U11580, AL3G44120	Om005G226380
OG0000031	AL1G24380, AL1G24190	Om005G191840, Om005G192090, Om005G192080, Om005G192190, Om005G191850
OG0000031	AL6G27650	Om006G252510
OG0000031	AL7G48260	Om007G317990
OG0000031	AL3G29640	Om002G063040
OG0000033	AL7G30290	Om001G010240
OG0000033	AL7G30340	Om001G011550
OG0000033	AL7G32670	Om001G007120
OG0000033	AL7G30350, AL7G30310	Om001G010110
OG0000034	AL8G16120	Om003G107450
OG0000034	AL8G19610	Om008G345340
OG0000034	AL5G21550	Om008G344910
OG0000034	AL8G18300, AL7G23790, AL4G30020, AL5G40150, AL8G20130, AL210U10020, AL1G51890, AL5G17770	Om002G079430
OG0000035	nbis-gene-779	Om006G273920, Om002G042810
OG0000035	AL8G43560	Om007G280220, Om007G279280, Om006G269650, Om008G331040
OG0000035	AL4G27390, AL4G27770	Om004G132400, Om008G334460, Om007G279790
OG0000037	AL7G52580, AL4G33780	Om008G355590
OG0000037	AL6G39930, AL5G38410, AL53U10030, AL6G28120, AL3G49490, AL1G47310, AL3G45700, AL1G24730, AL1G48300, AL1G50060, AL5G25180, AL9U11060, AL1G21830, AL27U10010, AL9U10850, AL5G15730, AL1G55420, AL1G56420, AL5G24160, AL5G17920, AL6G39730	Om005G188070
OG0000037	AL3G27890	Om001G014920
OG0000038	AL2G12050	Om005G196570, Om004G131590
OG0000038	AL1G38800, AL1G38860	Om003G091800
OG0000038	nbis-gene-1329, AL4G25900, AL7G48990, nbis-gene-1928, AL6G35130, AL6G36280, nbis-gene-1360	Om006G262290
OG0000038	AL3G22250, AL3G22230	Om002G053860, Om001G005520
OG0000039	nbis-gene-244	Om008G321840
OG0000040	AL1G39630, AL1G35700, AL1G40160, AL1G40170, AL1G40180, AL3G27510	Om002G084710, Om002G084780, Om002G084740, Om002G084670
OG0000040	AL5G29320, AL5G29310, AL5G29340	Om008G328570
OG0000040	AL3G33370	Om002G067320
OG0000042	AL677U10010, AL2G11290, AL1G59470	Om007G298450
OG0000042	AL364U10020, AL6G48140	Om004G177160
OG0000044	AL5G16920, AL7G43910, AL3G42580	Om007G314900
OG0000045	AL2G19770	Om003G112290
OG0000045	AL1G56200, AL3G43240, AL2G29770	Om001G031280
OG0000046	AL7G51420	Om006G241220
OG0000046	nbis-gene-1820	Om001G001860
OG0000046	AL7G52540	Om006G253990
OG0000046	AL2G25210, AL2G25320	Om005G206750
OG0000047	AL5G32340	Om007G314310, Om002G071890, Om005G222620
OG0000048	AL3G13680	Om002G045400
OG0000048	AL6G29120, AL6G29220	Om007G296190, Om007G296250
OG0000049	AL1G48060, AL3G47420	Om002G080850
OG0000050	AL2G19460, AL7G40460, AL8G34860, AL8G13000, AL5G20430	Om007G308990
OG0000052	AL1G20340	Om005G179650, Om008G361390, Om005G180640
OG0000052	AL4G40940	Om008G354070, Om008G326640
OG0000052	AL4G40930	Om008G326650
OG0000052	AL4G41010, AL4G41000	Om008G326580
OG0000054	AL4G17970	Om008G359460, Om008G361290
OG0000054	nbis-gene-807	Om002G043200, Om007G279110, Om006G263890, Om006G251510, Om008G354720, Om007G277220, Om003G128320
OG0000055	AL2G13840	Om005G224080
OG0000055	AL1G66000	Om001G019570
OG0000055	AL2G14050, AL2G14060, AL2G14070, AL2G14080, AL2G14090	Om008G361740, Om008G332920, Om003G120530, Om005G198120
OG0000057	AL3G53160, AL3G53140	Om004G172320, Om008G335030, Om004G172300
OG0000059	AL3G44960, AL8G19180, AL27U10030	Om003G092270, Om002G088980
OG0000059	AL3G36810	Om001G008500
OG0000061	AL2G21910	Om006G238480
OG0000061	AL8G29100, AL1G31420, AL8G26420, AL6G33330	Om003G106600, Om008G345470, Om008G347220
OG0000062	nbis-gene-221	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320, Om003G109490
OG0000063	AL5G25220	Om006G254290
OG0000063	AL1G18100	Om007G283280
OG0000064	AL7G10840	Om001G041080
OG0000065	AL7G38070	Om001G017390, Om007G310090, Om006G252300, Om006G263980, Om007G310120
OG0000065	AL8G10180, AL5G20920	Om007G309700, Om010G364600
OG0000065	AL1G58700, AL3G43110, AL5G25070, AL6G41840, AL1G46690, AL1G38210, AL4G24090, AL1G57190, AL4G15800, AL8G14560, AL6G52830, AL6G48500	Om010G364610
OG0000066	AL2G35580, AL3G43470, AL6G41640, AL2G35590	Om004G164550
OG0000066	AL6G20900	Om004G165560, Om006G231870, Om008G337830, Om006G231860
OG0000066	AL5G16700	Om004G165570
OG0000067	AL3G20250, AL3G20240, AL3G20260	Om001G023220
OG0000067	AL6G14890, AL6G15310	Om004G137760
OG0000067	AL6G18740	Om004G163960, Om004G163910, Om001G022040, Om004G163900
OG0000070	AL5G12380, AL5G12270, AL2G23610	Om007G311790
OG0000070	AL5G18180, AL5G24080	Om012G367940, Om012G366740
OG0000071	AL4G15570, AL2G13830, AL5G27290, AL1G43970, nbis-gene-561	Om008G360280, Om004G166900
OG0000071	AL6G40690	Om001G039370, Om007G316830, Om001G007220, Om005G207500, Om005G187680, Om002G068810, Om002G068800, Om003G110690
OG0000072	AL6G46480, AL2G19590, AL8G24560, AL4G13100, AL8G26200, AL7G48370, AL1G49480, AL3G45860, AL3G47220, AL5G17870, AL6G38840, AL6G40590, AL1G47050, AL6G52460, AL2G22030, AL8G22080, AL2G35490, AL5G20740, AL7G34330, AL5G17840, AL8G17600, AL2G22170, AL3G44280, AL7G53070, AL1G54140, AL170U10010, AL3G46660, AL7G45510, AL5G10400, AL3G43610, AL4G17930, AL4G12360, AL5G17970, AL9U10780, AL8G20850	Om006G262700, Om007G309250, Om011G365680, Om001G001700
OG0000072	AL4G15980	Om007G308740, Om006G246100, Om002G077420, Om005G220330, Om010G364650, Om003G106210, Om003G102400, Om010G364730, Om001G017210, Om008G353090, Om003G109200
OG0000073	AL3G20910	Om002G052330
OG0000073	AL8G11840	Om008G360660, Om008G360260
OG0000074	AL1G37350	Om004G144080
OG0000074	AL1G37390	Om004G144060
OG0000074	AL1G37440	Om004G144350
OG0000074	AL1G37400	Om004G143980
OG0000074	AL4G22700, AL1G37370, AL1G37380, AL1G37360	Om004G144100
OG0000074	AL1G37420	Om004G144220, Om004G144230
OG0000074	AL1G37270	Om004G143840
OG0000075	AL1G22300	Om008G356700, Om004G132620, Om001G003590, Om001G003700
OG0000075	AL5G25310	Om005G194550
OG0000076	AL1G65610	Om006G242520
OG0000076	AL5G15900	Om003G090370
OG0000077	AL7G11690	Om001G035000
OG0000077	AL1G52780, AL1G52760, AL1G52750	Om001G033890
OG0000077	AL7G11590	Om001G036960, Om001G036970, Om001G036980, Om001G036990, Om001G037020, Om001G037000, Om001G033540, Om001G032490
OG0000077	AL2G16730, AL2G16030	Om005G195310
OG0000078	AL1G55630, AL7G11640, AL1G50710, AL4G20710, AL6G41920, AL8G21920, AL9U11500, AL2G19920, AL2G22250, AL5G12710	Om007G305480, Om008G337420
OG0000079	AL5G40790	Om003G122890, Om003G122910, Om003G122930, Om003G122940
OG0000079	AL4G18900, AL4G18910	Om003G122800, Om003G122790
OG0000079	AL5G40710	Om003G122810
OG0000079	AL5G40610, AL5G40780	Om003G122880, Om003G122870
OG0000080	AL6G16510, AL7G46170	Om004G135430
OG0000080	AL1G54400	Om001G013570
OG0000080	AL1G53180, AL1G35400, AL7G44920, AL3G24690	Om003G125630, Om008G347380, Om008G343390, Om008G346000
OG0000081	nbis-gene-250	Om001G032270
OG0000081	AL1G54580, AL1G54620	Om006G269790, Om006G269770, Om006G266480, Om003G092590, Om003G096470
OG0000081	AL2G11100	Om003G118960, Om005G227240
OG0000081	nbis-gene-277	Om003G096460
OG0000081	nbis-gene-1537	Om005G184670, Om005G184660
OG0000083	AL57U10030	Om005G206370
OG0000084	AL4G18560	Om001G014490, Om008G359620, Om008G359610, Om001G014520, Om008G359580
OG0000086	nbis-gene-346, nbis-gene-441, nbis-gene-345, nbis-gene-344, nbis-gene-348, nbis-gene-349, nbis-gene-343, nbis-gene-440, AL2G18870, nbis-gene-342, nbis-gene-436, nbis-gene-1420, nbis-gene-434, nbis-gene-435, nbis-gene-439, nbis-gene-347, nbis-gene-1421, nbis-gene-438, nbis-gene-437, nbis-gene-1419, nbis-gene-2027, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023	Om004G163220
OG0000087	AL6G35120	Om006G238380
OG0000087	AL4G24260	Om007G282390
OG0000087	AL8G39670	Om006G235110
OG0000087	AL6G23060	Om004G162490
OG0000087	AL4G30750	Om008G339690
OG0000087	AL8G15560	Om008G355890
OG0000087	AL7G33260	Om001G006430
OG0000087	AL2G35770	Om004G137360
OG0000088	AL5G23250, AL5G26870, AL3G46650, AL5G26810, AL5G26350, AL5G26360	Om003G119630
OG0000088	AL6G32010	Om006G242180
OG0000089	AL6G20220	Om007G292110, Om004G166350
OG0000089	AL3G32160, AL1G56110	Om002G065930
OG0000089	AL3G23740	Om002G055730
OG0000089	AL4G34130, AL4G34190	Om008G335280
OG0000090	AL2G24470, AL4G11370, AL1G32980	Om005G202290, Om005G179690
OG0000090	AL2G35960	Om004G136810
OG0000090	AL7G16760	Om002G055690, Om003G124430
OG0000093	AL5G40110	Om003G122050
OG0000093	AL3G42890	Om001G033140
OG0000093	AL5G40100	Om003G122010
OG0000093	AL5G39960	Om003G121870
OG0000093	AL5G39980, AL5G40000	Om003G121950
OG0000096	AL5G12940, AL5G12970, AL5G12960	Om007G301150, Om003G093070, Om006G274060
OG0000096	AL8G13920, AL8G13900, AL2G25710	Om004G143550, Om008G360980
OG0000096	AL1G20220	Om005G187930
OG0000097	AL6G49050	Om008G355550, Om008G355560
OG0000097	AL6G49140	Om008G355570
OG0000097	AL6G49150	Om008G355700
OG0000097	AL320U10020, AL6G49090, AL6G49080, AL6G45160, AL320U10010	Om008G355610, Om008G355650, Om008G354170, Om008G354150
OG0000097	AL6G49120	Om008G355680, Om008G355600, Om004G133820
OG0000098	AL2G13240	Om001G001780
OG0000098	nbis-gene-1028	Om005G191670, Om008G342380
OG0000098	AL1G23480	Om005G191920, Om005G192380
OG0000099	AL2G11060	Om005G227450
OG0000099	AL2G11040	Om005G227540, Om005G227530, Om005G227500, Om005G227490, Om005G227470, Om005G227460, Om008G361970
OG0000099	AL6G43560, nbis-gene-367	Om005G227360, Om005G227350, Om005G227310, Om005G227370, Om005G227320
OG0000099	AL2G11960	Om005G227510
OG0000100	AL2G20140, AL8G14910, AL5G22850, nbis-gene-262	Om004G142840
OG0000101	AL2G11240	Om005G227680, Om005G227700, Om005G227110
OG0000101	AL2G11390	Om005G226820
OG0000101	AL2G11210	Om005G226700, Om005G227060
OG0000104	AL1G17740	Om005G185360
OG0000104	AL4G23570	Om007G283020
OG0000104	AL1G55940	Om003G095420
OG0000104	nbis-gene-14, AL4G23520	Om007G283060
OG0000106	nbis-gene-1973	Om005G222030
OG0000107	AL3G33810	Om002G067740
OG0000107	AL3G34900, AL3G33830, AL3G42780, nbis-gene-1853	Om002G067770
OG0000108	AL1G41020, AL1G41010, AL1G41000, AL1G40990, AL4G14170	Om003G100270, Om003G100260
OG0000108	nbis-gene-805, AL3G44060, AL3G44020, AL3G44030, AL3G43980	Om003G104790, Om003G104780, Om003G103800, Om003G124630, Om008G338810
OG0000108	AL2G26330	Om006G273840, Om006G273820
OG0000110	AL8G16450	Om003G123380
OG0000110	AL5G41090	Om003G123410
OG0000110	AL5G41080	Om003G123400
OG0000112	AL8G25360	Om005G189180
OG0000117	AL3G40390	Om002G088690
OG0000117	AL347U10020	Om001G014550, Om007G292320
OG0000118	AL5G18800	Om008G333780
OG0000119	AL1G56990, AL4G18060, AL2G19320, AL5G24470, AL6G38890, AL3G40990, AL6G49470	Om004G167610, Om008G327080, Om056G377050, Om007G284890, Om002G047880, Om002G045610, Om008G336570, Om004G165930, Om006G268600, Om006G246170, Om005G185730
OG0000120	nbis-gene-408, AL2G15570	Om005G221860
OG0000120	nbis-gene-1458	Om007G296760, Om007G296900, Om004G172660
OG0000122	AL8G31960	Om003G118900, Om003G118890
OG0000122	nbis-gene-2149	Om003G118720, Om003G118730
OG0000123	AL1G25180, AL1G25190	Om005G193280, Om005G193230, Om005G193260
OG0000124	AL3G31830, AL1G41300	Om005G227380, Om001G036630, Om003G104490, Om003G111030, Om003G110990, Om003G111110, Om003G111130
OG0000124	AL3G43990	Om008G318760, Om007G317440
OG0000124	nbis-gene-2162	Om001G019350
OG0000124	AL7G52490, AL6G41390, AL3G51120	Om003G103030
OG0000125	AL3G20660, AL6G11840	Om002G052080
OG0000125	AL6G34020	Om006G244360
OG0000125	AL1G18070	Om005G185630
OG0000125	AL5G24690, AL189U10030, AL8G36480	Om006G245540
OG0000125	AL4G23250	Om007G283300
OG0000127	AL6G11080	Om004G176280
OG0000127	AL1G22150	Om005G189950
OG0000127	AL1G22140, AL1G22160, AL1G17320, AL638U10010	Om005G189960
OG0000128	AL7G53080	Om005G217280
OG0000130	AL4G25960	Om004G149990
OG0000131	AL5G18060	Om003G106820
OG0000131	AL1G57250	Om007G307190
OG0000132	AL8G11070	Om008G361300
OG0000133	AL8G19570, AL25U10030	Om008G345870, Om008G349240, Om008G358290, Om008G345600, Om001G024110, Om007G315880
OG0000136	AL8G39760	Om003G099850
OG0000136	nbis-gene-1913, AL7G53060	Om002G064560
OG0000138	AL5G19720	Om002G065910
OG0000138	AL5G19740	Om001G037700
OG0000138	AL5G19700, AL5G19780	Om001G026370
OG0000140	AL8G35600	Om006G246590
OG0000140	nbis-gene-2177, nbis-gene-2176, AL8G34670, AL8G26340, nbis-gene-2178	Om006G247230, Om006G247200
OG0000140	AL48U10010, nbis-gene-2180	Om006G246640
OG0000144	AL9U10360	Om002G077770, Om003G104710
OG0000144	AL2G23260	Om007G317180
OG0000146	AL8G30890	Om003G117350
OG0000146	AL8G30920	Om003G117400, Om003G117360
OG0000147	AL3G52950	Om002G086500
OG0000147	AL7G22000	Om001G025660
OG0000147	AL8G33330	Om007G285990, Om006G249440
OG0000147	AL2G40780	Om004G130850
OG0000147	AL5G20850	Om006G268290
OG0000147	AL3G44180	Om002G078960
OG0000150	AL5G21720, AL5G21730	Om007G296930
OG0000150	AL5G24110	Om003G096700
OG0000151	AL8G28000	Om003G114720
OG0000151	AL7G24680	Om001G021860
OG0000151	AL3G19690	Om002G051120
OG0000151	AL3G49460	Om002G082850
OG0000151	AL8G31780	Om003G118410
OG0000151	AL2G10770	Om005G227900
OG0000154	AL1G66060	Om002G065770, Om004G147300, Om004G147290, Om002G052020, Om002G052040, Om001G020420
OG0000154	AL1G28200	Om005G196960
OG0000154	AL3G24230	Om002G056330
OG0000154	AL6G11740	Om004G175620
OG0000154	AL6G11730	Om004G175630
OG0000155	AL7G25530	Om001G020030
OG0000155	AL7G32730	Om001G007090
OG0000155	AL2G23090, AL2G23080, AL7G32710	Om001G007100
OG0000155	AL3G23610	Om002G055620
OG0000155	AL6G37570, AL4G46600	Om005G221310
OG0000156	AL4G44730	Om008G321950, Om008G321940
OG0000157	AL7G47920, AL4G35660, AL4G35650, AL4G35680, AL4G35640	Om008G326040, Om008G355750
OG0000160	AL1G48950	Om006G239520
OG0000160	AL8G31450, AL236U10040	Om003G114830, Om001G041000, Om006G275250, Om004G160260, Om003G104260, Om002G079610
OG0000160	AL5G16300	Om008G337340, Om005G210710, Om006G261180, Om004G134480
OG0000161	AL8G38700, AL8G38710, AL1G60690, AL8G25830, AL4G22760, AL4G22720	Om006G236100, Om006G236170
OG0000161	AL2G20180	Om007G278440
OG0000161	AL2G19840, AL2G19870, nbis-gene-452	Om004G167210, Om006G249300
OG0000162	AL4G20750	Om003G125340
OG0000162	AL4G44040	Om008G322780, Om008G322790
OG0000164	AL7G23040	Om001G024320
OG0000164	AL7G11950, AL8G23520	Om001G039840
OG0000164	AL7G11960	Om001G039830
OG0000165	AL481U10020	Om005G200180, Om007G315340
OG0000166	AL2G32690	Om002G081230
OG0000166	AL3G52050	Om001G014850
OG0000166	AL2G13810	Om006G255610, Om002G081240, Om002G060790
OG0000167	AL7G34470	Om001G004410
OG0000167	AL7G34530	Om001G004360
OG0000168	AL2G17030, AL4G12920, AL4G12860	Om001G041790
OG0000169	AL1G64890	Om003G127060
OG0000171	AL2G23510	Om003G127920
OG0000171	AL1G37260	Om005G207720
OG0000171	AL1G21480	Om005G220880
OG0000171	AL6G25440	Om007G301020
OG0000172	AL5G40760	Om003G122950
OG0000172	AL5G40860	Om003G123010, Om006G260870
OG0000172	AL5G40850	Om003G123000
OG0000172	AL5G40800	Om003G122820, Om006G274300
OG0000174	AL6G41080	Om003G109150
OG0000175	AL5G31720	Om006G257450
OG0000175	AL2G35850	Om004G137100
OG0000175	AL7G16200	Om002G082840
OG0000176	AL1G44860	Om001G007740, Om001G007770, Om001G007760, Om004G147890, Om004G147900, Om004G142560, Om007G292150
OG0000176	AL1G44920, AL1G44890	Om007G291450
OG0000176	AL1G44470, AL1G44400	Om008G352670, Om008G352700, Om008G352660, Om008G352690, Om007G291500
OG0000178	AL4G22400	Om002G070900, Om008G348660
OG0000178	AL2G18800	Om004G174380, Om002G066990
OG0000178	AL5G13930	Om005G220760
OG0000178	AL1G50370	Om005G226210
OG0000178	AL2G30330, AL1G50770	Om004G134680, Om004G134670, Om003G110440, Om002G077640, Om005G199540, Om007G276140, Om004G164470, Om002G068680
OG0000180	AL3G38360	Om008G336650
OG0000180	AL5G45620	Om006G256410, Om003G119900
OG0000183	AL5G32880, AL6G28130	Om008G341930
OG0000184	AL3G43630	Om006G270790
OG0000185	AL6G10840, AL8G35610, AL2G32620, AL1G29430	Om001G041450, Om008G356330, Om008G319330
OG0000186	AL4G20870	Om007G285030
OG0000187	nbis-gene-1736	Om001G028150, Om001G030060, Om001G033230, Om001G030100, Om008G336940, Om001G028140
OG0000187	nbis-gene-1735, AL22U10010, nbis-gene-1954, AL7G51970	Om004G145860, Om004G145950
OG0000187	AL7G20320	Om001G028260, Om001G028280
OG0000189	AL7G12140	Om006G250870
OG0000189	AL7G13810	Om001G037310
OG0000189	AL7G12760	Om001G038960
OG0000190	AL6G47960	Om008G353940
OG0000190	AL6G47970	Om008G355670
OG0000191	AL3G29510	Om005G197150
OG0000191	nbis-gene-1106	Om005G197140
OG0000191	nbis-gene-889	Om002G064270
OG0000192	AL1G34360	Om005G203480
OG0000192	AL1G34280	Om005G203440
OG0000192	AL1G34310, AL1G34270, AL1G34330, AL1G34320, AL1G34340	Om005G203410
OG0000193	nbis-gene-789	Om002G071740, Om002G071690
OG0000193	nbis-gene-744, AL3G35120	Om008G326490
OG0000193	AL3G35160, AL3G35150, AL3G35070, AL5G24180	Om005G206290
OG0000195	AL5G38180	Om003G119760
OG0000195	AL7G46650, AL2G24200, AL6G32820, AL5G21780	Om007G285150
OG0000196	AL1G42930	Om005G185020
OG0000197	AL3G52780	Om004G163020
OG0000200	AL5G29460, AL8G22470	Om005G182720
OG0000201	AL3G36210, AL3G36200	Om002G070200
OG0000201	nbis-gene-767	Om002G070290
OG0000202	AL3G30850	Om002G064090
OG0000202	AL3G42640, nbis-gene-802, AL3G42750, AL3G42550, nbis-gene-801, AL3G36630, AL3G50390, AL3G37040, AL3G37010, AL3G37000, nbis-gene-800, AL3G37020	Om020G374490, Om011G365230
OG0000203	AL3G14720, AL3G14710, AL3G14700	Om003G095370, Om002G055150
OG0000203	nbis-gene-688, AL3G14200, AL6G22600, AL6G22480, AL6G22490	Om002G046450, Om002G046460
OG0000207	AL2G28790	Om008G331300
OG0000207	AL2G39150, AL4G20460	Om004G136280
OG0000208	AL8G26210, AL311U10010	Om001G040250
OG0000209	AL2G10720	Om005G228040, Om005G227980
OG0000209	AL1G57470	Om005G228080
OG0000210	AL5G13350, nbis-gene-1199, AL5G13340, AL7G52550, AL7G52570, AL6G22950, nbis-gene-1198	Om001G032060, Om001G032100
OG0000210	AL4G28810, AL4G28800	Om007G278540
OG0000210	AL4G28780, AL8G17590	Om007G278560
OG0000213	AL2G33070	Om004G141230, Om005G208800
OG0000213	AL3G21810	Om002G053370
OG0000213	AL4G12610, AL4G12630, AL4G12560, AL4G12620, AL4G12650, AL4G12640, AL4G12670	Om001G036460, Om001G036440, Om001G036450
OG0000214	AL2G28240	Om007G281030
OG0000214	AL6G47610	Om004G145430
OG0000214	AL6G50960	Om004G136700, Om004G136680, Om004G145470
OG0000215	AL4G15000	Om003G099020
OG0000216	AL7G31490	Om001G007580
OG0000216	AL7G31480, nbis-gene-1800	Om003G116290, Om001G008720, Om006G250260
OG0000217	AL1G65670	Om001G001730
OG0000217	AL7G46780, AL2G17080, AL2G17100	Om001G001710, Om001G001540, Om001G001620, Om001G001600
OG0000218	AL1G26980, AL1G27000, AL1G27010	Om005G195550
OG0000218	AL1G27020	Om005G195570, Om005G195580
OG0000218	AL5G15240	Om001G010890, Om001G010900, Om001G010920
OG0000218	AL7G42370	Om004G138180
OG0000218	AL5G10550, AL5G13150, AL5G10520	Om006G241660
OG0000219	AL2G25070, AL2G25100	Om005G213260
OG0000219	nbis-gene-1037, nbis-gene-362	Om007G282230
OG0000219	AL8G28390, AL8G28400	Om008G350180, Om006G237850, Om006G237870
OG0000220	AL2G14230	Om007G276730, Om007G315520
OG0000221	AL429U10020, AL7G52630, AL3G46320, AL299U10020	Om002G088910
OG0000224	AL2G37740, AL2G37720	Om004G134640, Om004G134630
OG0000224	AL2G12370, AL2G12360	Om005G225780
OG0000225	AL1G43260, AL1G43240	Om007G289790
OG0000225	AL1G43270	Om007G289810
OG0000225	nbis-gene-176	Om007G289830, Om007G289770
OG0000226	AL1G41350, AL1G37710, AL1G37720, AL1G37670, AL1G42110	Om003G089750
OG0000226	AL1G52850	Om002G080610
OG0000229	AL1G54760, AL1G59580, AL1G61110	Om001G026580
OG0000230	AL8G15430	Om004G137280, Om004G137390, Om004G137300, Om004G137400
OG0000231	AL7G51760	Om006G259610
OG0000232	AL3G22620	Om004G153390, Om018G374050, Om002G054380
OG0000233	AL3G36230	Om001G036910
