Orthogroup	Arabidopsis_lyrata_Rawat	Euclidium_syriacum
OG0000018	AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170, AL3G52170, AL5G41490, AL4G18100, AL8G33160, AL8G23170, AL4G13400, AL2G40700, AL39U10070, AL8G31610, AL7G45200, AL2G25080, AL5G20460, AL4G19440	ESY4_g26006_DN3_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36897_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1
OG0000018	AL7G47350, AL7G51150	ESY9_g43986_DN3_SP0_c0.t1
OG0000019	AL2G22330	ESY1_g6718_DN1_SP0_c0.t1, ESY4_g23292_DN2_SP0_c93.t1, ESY6_g49770_DN3_SP0_c0.t1, ESY17_g39854_DN1_SP0_c100.t1
OG0000021	AL8G10060	ESY7_g19226_DN2_SP0_c46.t1
OG0000021	AL3G42620	ESY4_g24688_DN1_SP0_c0.t1
OG0000021	AL5G10040, AL5G25470	ESY9_g43535_DN3_SP0_c0.t1, ESY9_g43536_DN2_SP0_c0.t1, ESY9_g43962_DN2_SP0_c0.t1, ESY17_g39790_DN2_SP0_c0.t1
OG0000024	AL4G17790, AL4G17810, AL128U10010	ESY6_g47516_DN2_SP0_c0.t1
OG0000026	AL2G12870, AL5G16730, AL9U11280, AL460U10010, AL1G18480, AL4G42270, AL5G11540	ESY1_g10661_DN2_SP0_c99.t1
OG0000027	AL4G16470	ESY12_g51909_DN2_SP0_c0.t1, ESY2_g33351_DN3_SP0_c0.t1, ESY5_g1897_DN2_SP0_c0.t1, ESY12_g51218_DN3_SP0_c0.t1, ESY20_g13272_DN2_SP0_c0.t1
OG0000027	AL1G45340, AL1G45540, AL1G45230, AL1G45550, AL1G45590, nbis-gene-188, AL1G45600, AL1G45570, nbis-gene-553, nbis-gene-966, AL4G14930, AL1G45510, AL1G45610, AL1G45580	ESY4_g26407_DN2_SP0_c0.t1, ESY4_g26408_DN1_SP0_c0.t1, ESY4_g26390_DN2_SP0_c0.t1
OG0000028	nbis-gene-1243	ESY10_g14733_DN2_SP0_c0.t1
OG0000029	AL1G60890, AL26U10050, AL3G41030, AL6G10700, AL7G44460, AL4G17400	ESY13_g57677_DN1_SP0_c0.t1
OG0000030	AL1G54660	ESY3_g28214_DN2_SP0_c7.t1, ESY4_g21739_DN1_SP0_c0.t1, ESY19_g41790_DN1_SP0_c0.t1, ESY4_g25239_DN1_SP0_c95.t1
OG0000035	nbis-gene-779	ESY7_g17294_DN2_SP0_c0.t1
OG0000035	AL8G43560	ESY20_g13338_DN3_SP0_c0.t1
OG0000035	AL4G27770	ESY5_g5237_DN2_SP0_c0.t1, ESY5_g5235_DN1_SP0_c0.t1, ESY5_g5227_DN1_SP0_c0.t1, ESY7_g16708_DN2_SP0_c0.t1, ESY8_g58363_DN2_SP0_c0.t1
OG0000035	AL1G33630	ESY5_g5194_DN3_SP0_c0.t1, ESY5_g5166_DN1_SP0_c0.t1
OG0000036	AL5G26550, AL920U10010	ESY15_g65727_DN2_SP0_c85.t1
OG0000036	AL2G27390	ESY13_g56710_DN1_SP0_c0.t1
OG0000037	AL7G49500, AL1G54600, AL2G19430, AL8G13730, AL6G41720, AL5G26070, AL7G52580, AL4G33780, AL2G10930, AL3G43320, AL5G11300, AL4G20550, AL6G39930, AL5G38410, AL53U10030, AL6G28120, AL3G49490, AL1G47310, AL3G45700, AL1G24730, AL1G48300, AL1G50060, AL5G25180, AL9U11060, AL1G21830, AL27U10010, AL9U10850, AL5G15730, AL1G55420, AL1G56420, AL5G24160, AL5G17920, AL6G39730, AL3G27890, AL5G16120, AL5G16140	ESY21_g55396_DN1_SP0_c0.t1
OG0000038	AL2G12050	ESY3_g32443_DN3_SP0_c0.t1, ESY3_g32320_DN3_SP0_c0.t1
OG0000038	nbis-gene-1329	ESY9_g42631_DN2_SP0_c0.t1
OG0000038	AL4G25900	ESY7_g19381_DN3_SP0_c0.t1
OG0000038	AL7G48990, nbis-gene-1928	ESY20_g12878_DN3_SP0_c0.t1
OG0000038	nbis-gene-1360	ESY1_g11096_DN3_SP0_c0.t1
OG0000040	AL1G40180	ESY5_g3539_DN1_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1
OG0000040	AL3G27510	ESY9_g43210_DN3_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1
OG0000040	AL3G24770, AL3G25930, AL3G25710, AL3G25690	ESY3_g32163_DN2_SP0_c0.t1, ESY16_g61826_DN2_SP0_c0.t1, ESY16_g61827_DN2_SP0_c0.t1, ESY3_g30254_DN3_SP0_c0.t1
OG0000040	nbis-gene-1830	ESY9_g42515_DN2_SP0_c0.t1, ESY9_g42498_DN1_SP0_c0.t1
OG0000040	AL2G23050	ESY11_g54853_DN3_SP0_c0.t1
OG0000040	AL5G29320, AL5G29310, AL5G29340	ESY3_g29392_DN3_SP0_c0.t1
OG0000040	AL3G33370	ESY3_g29344_DN3_SP0_c0.t1
OG0000042	AL1G40050	ESY4_g25086_DN1_SP0_c0.t1
OG0000042	AL8G11480	ESY7_g16531_DN2_SP0_c0.t1, ESY7_g17207_DN1_SP0_c0.t1
OG0000042	AL3G43050	ESY8_g60365_DN2_SP0_c0.t1
OG0000044	AL5G16920, AL7G43910, AL3G42580	ESY5_g2589_DN3_SP0_c0.t1, ESY14_g21426_DN1_SP0_c0.t1
OG0000045	AL2G19770	ESY1_g10435_DN1_SP0_c0.t1, ESY10_g14768_DN2_SP0_c0.t1, ESY10_g15212_DN1_SP0_c0.t1
OG0000046	AL7G52590	ESY4_g26383_DN3_SP0_c53.t1
OG0000047	AL1G31430, AL3G45170, AL5G32340	ESY3_g28898_DN3_SP0_c0.t1
OG0000049	AL1G48510	ESY14_g19727_DN2_SP0_c0.t1
OG0000050	AL2G19460, AL7G40460, AL8G34860, AL8G13000	ESY1_g11365_DN3_SP0_c59.t1
OG0000050	AL5G20430	ESY9_g44155_DN3_SP0_c0.t1, ESY2_g36090_DN3_SP0_c34.t1
OG0000050	AL2G29160, AL704U10010, AL9U10060, AL8G15100, AL8G40700	ESY11_g52398_DN3_SP0_c0.t1, ESY9_g43856_DN2_SP0_c0.t1
OG0000052	AL1G20340	ESY5_g5128_DN3_SP0_c0.t1
OG0000052	AL4G40940	ESY5_g5127_DN3_SP0_c0.t1
OG0000052	AL4G40920, AL4G40910, AL4G40930	ESY12_g51336_DN3_SP0_c0.t1
OG0000052	AL4G41020	ESY12_g51338_DN3_SP0_c0.t1
OG0000054	nbis-gene-807	ESY18_g63621_DN3_SP0_c0.t1
OG0000055	AL2G14100	ESY2_g33771_DN2_SP0_c0.t1
OG0000055	AL2G13770	ESY2_g33667_DN3_SP0_c0.t1, ESY1_g11935_DN1_SP0_c0.t1, ESY16_g61941_DN3_SP0_c0.t1, ESY2_g33673_DN3_SP0_c0.t1, ESY4_g25972_DN2_SP0_c0.t1
OG0000055	AL2G14110, AL2G13790	ESY2_g33766_DN3_SP0_c0.t1
OG0000055	AL2G14060, AL2G14070, AL2G14080, AL2G14090	ESY2_g33775_DN1_SP0_c0.t1
OG0000055	AL2G13900	ESY2_g33769_DN3_SP0_c0.t1, ESY2_g33764_DN2_SP0_c0.t1, ESY2_g33767_DN3_SP0_c0.t1
OG0000056	AL3G47230	ESY21_g55397_DN2_SP0_c0.t1, ESY6_g47138_DN1_SP0_c0.t1, ESY15_g64468_DN1_SP0_c0.t1, ESY9_g44731_DN3_SP0_c0.t1
OG0000057	AL6G52510	ESY6_g49094_DN1_SP0_c0.t1
OG0000057	AL4G21820	ESY2_g35556_DN3_SP0_c0.t1
OG0000057	AL3G29670	ESY2_g38033_DN2_SP0_c0.t1
OG0000057	AL3G50860	ESY3_g29813_DN1_SP0_c0.t1
OG0000057	AL769U10010	ESY2_g35559_DN2_SP0_c0.t1, ESY8_g59290_DN2_SP0_c0.t1
OG0000057	AL5G27570, AL2G18120	ESY16_g61911_DN3_SP0_c0.t1, ESY3_g30616_DN3_SP0_c0.t1, ESY3_g30019_DN2_SP0_c0.t1
OG0000057	AL3G29740	ESY10_g15079_DN3_SP0_c0.t1, ESY9_g43255_DN3_SP0_c0.t1
OG0000057	nbis-gene-725, AL3G41130	ESY2_g35826_DN2_SP0_c0.t1
OG0000061	AL8G29100, AL1G31420, AL8G26420, AL6G33330	ESY7_g16987_DN3_SP0_c0.t1, ESY5_g3834_DN3_SP0_c0.t1
OG0000062	nbis-gene-221, AL8G14210, AL1G57050, AL5G16890, AL1G58670, AL1G58560, AL4G20020, AL7G36270, AL1G30000, AL5G27080, AL3G51940	ESY8_g59723_DN2_SP0_c0.t1
OG0000063	AL5G25220	ESY6_g48808_DN3_SP0_c0.t1
OG0000063	AL781U10020	ESY8_g58877_DN3_SP0_c0.t1
OG0000063	AL1G17860, AL5G24600	ESY6_g48811_DN3_SP0_c0.t1
OG0000063	AL4G23280, AL8G36210	ESY8_g58878_DN3_SP0_c0.t1
OG0000064	AL7G10840	ESY4_g26853_DN2_SP0_c0.t1, ESY4_g26855_DN3_SP0_c0.t1
OG0000064	AL3G53220	ESY6_g50580_DN1_SP0_c0.t1
OG0000065	AL5G17110, AL667U10010, AL1G62000, AL7G38070, AL8G10180, AL5G20920, AL1G58700, AL3G43110, AL5G25070, AL6G41840, AL1G46690, AL1G38210, AL4G24090, AL1G57190, AL4G15800, AL8G14560, AL6G52830, AL6G48500, AL4G17130, AL5G20940	ESY17_g39007_DN1_SP0_c0.t1
OG0000066	AL2G35580	ESY2_g34934_DN2_SP0_c58.t1
OG0000066	AL1G32620	ESY18_g62954_DN3_SP0_c77.t1
OG0000066	AL6G20900	ESY23_g163_DN2_SP0_c0.t1, ESY11_g54349_DN3_SP0_c0.t1, ESY7_g18023_DN3_SP0_c0.t1
OG0000066	AL5G16700	ESY7_g18022_DN3_SP0_c0.t1
OG0000067	AL3G20250, AL3G20240, AL3G20260	ESY10_g14570_DN3_SP0_c0.t1, ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1
OG0000067	AL8G28020, AL8G27750, AL1G48230, AL3G11550, AL1G25630, AL6G12910, AL3G38420, AL6G12880, AL6G12890, AL6G12860, AL6G12550, AL5G24850	ESY6_g50195_DN3_SP0_c0.t1
OG0000068	AL7G43840, AL2G19330, AL4G18050, AL1G57000, AL7G52740, nbis-gene-1381, AL782U10010, AL7G30300, AL3G39900, AL6G50990	ESY9_g44160_DN2_SP0_c0.t1
OG0000069	AL5G31050, nbis-gene-12, AL1G60290, AL5G25100	ESY16_g62306_DN2_SP0_c0.t1, ESY7_g16953_DN1_SP0_c0.t1
OG0000071	AL4G15570	ESY3_g29783_DN3_SP0_c6.t1
OG0000071	AL6G40690	ESY4_g24957_DN2_SP0_c25.t1
OG0000072	AL6G46480, AL2G19590, AL8G24560, AL4G13100, AL8G26200, AL7G48370, AL1G49480, AL3G45860, AL3G47220, AL5G17870, AL6G38840, AL6G40590, AL1G47050, AL6G52460, AL2G22030, AL8G22080, AL2G35490, AL5G20740, AL7G34330, AL5G17840, AL8G17600, AL2G22170, AL3G44280, AL7G53070, AL1G54140, AL170U10010, AL3G46660, AL7G45510, AL5G10400, AL3G43610, AL4G17930, AL4G12360, AL5G17970, AL9U10780, AL8G20850	ESY26_g42254_DN3_SP0_c0.t1, ESY15_g65580_DN3_SP0_c0.t1
OG0000072	AL4G15980	ESY9_g44457_DN2_SP0_c0.t1
OG0000074	AL1G37390	ESY5_g5163_DN3_SP0_c0.t1, ESY5_g5206_DN2_SP0_c0.t1, ESY5_g5161_DN3_SP0_c0.t1
OG0000074	AL1G37330, AL1G37340	ESY5_g5208_DN3_SP0_c0.t1, ESY5_g5207_DN3_SP0_c0.t1, ESY5_g5162_DN3_SP0_c0.t1
OG0000074	AL4G22700	ESY11_g54934_DN3_SP0_c0.t1
OG0000074	AL1G37420	ESY11_g54277_DN1_SP0_c0.t1
OG0000074	AL1G37270, AL1G37280	ESY5_g2024_DN3_SP0_c0.t1
OG0000075	AL1G37130	ESY4_g25254_DN2_SP0_c0.t1
OG0000075	AL6G20830	ESY7_g18015_DN2_SP0_c0.t1
OG0000075	AL1G25470	ESY2_g34553_DN3_SP0_c0.t1, ESY1_g10852_DN3_SP0_c0.t1, ESY1_g10851_DN1_SP0_c0.t1, ESY2_g33446_DN1_SP0_c0.t1, ESY7_g18509_DN3_SP0_c0.t1
OG0000075	nbis-gene-69, AL5G16800, AL1G58940	ESY10_g14596_DN3_SP0_c0.t1
OG0000075	AL4G18870	ESY1_g10447_DN3_SP0_c0.t1
OG0000075	AL1G22320	ESY5_g3637_DN2_SP0_c0.t1
OG0000077	AL7G11600	ESY4_g26063_DN2_SP0_c0.t1
OG0000077	AL1G52780, AL1G52760, AL1G52750	ESY12_g52268_DN2_SP0_c19.t1
OG0000077	AL2G16730, AL2G16030	ESY4_g26061_DN3_SP0_c0.t1, ESY4_g26060_DN2_SP0_c0.t1
OG0000078	AL1G55630, AL7G11640, AL1G50710, AL4G20710, AL6G41920, AL8G21920, AL9U11500, AL2G19920, AL2G22250, AL5G12710	ESY13_g56185_DN2_SP0_c0.t1
OG0000080	nbis-gene-1510, AL6G23310	ESY3_g29585_DN1_SP0_c98.t1
OG0000081	nbis-gene-1089, AL3G17170	ESY3_g32181_DN3_SP0_c0.t1
OG0000081	AL2G11100	ESY5_g4001_DN3_SP0_c14.t1, ESY6_g48422_DN3_SP0_c0.t1
OG0000081	AL6G29160	ESY7_g17094_DN2_SP0_c0.t1
OG0000084	AL4G15620	ESY7_g17177_DN3_SP0_c0.t1
OG0000084	nbis-gene-1002	ESY7_g19283_DN2_SP0_c13.t1, ESY7_g19278_DN2_SP0_c40.t1, ESY3_g31038_DN1_SP0_c0.t1
OG0000084	AL4G18500	ESY7_g19285_DN2_SP0_c0.t1, ESY7_g17327_DN3_SP0_c0.t1, ESY7_g19280_DN2_SP0_c0.t1, ESY7_g18924_DN3_SP0_c58.t1, ESY7_g19282_DN3_SP0_c38.t1, ESY7_g19279_DN2_SP0_c34.t1
OG0000084	AL4G18560	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1
OG0000085	AL7G52690	ESY3_g29295_DN1_SP0_c68.t1
OG0000085	AL3G40380, AL3G29370	ESY15_g65319_DN1_SP0_c38.t1
OG0000086	nbis-gene-346, nbis-gene-441, nbis-gene-345, nbis-gene-344, nbis-gene-348, nbis-gene-349, nbis-gene-343, nbis-gene-440, AL2G18870, nbis-gene-342, nbis-gene-436, nbis-gene-1420, nbis-gene-434, nbis-gene-435, nbis-gene-439, nbis-gene-347, nbis-gene-1421, nbis-gene-438, nbis-gene-437, nbis-gene-1419, nbis-gene-2027, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023	ESY16_g62560_DN2_SP0_c0.t1
OG0000087	AL6G35120	ESY6_g50131_DN3_SP8_c0.t1
OG0000087	AL4G24260	ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58770_DN3_SP0_c0.t1
OG0000087	AL6G23060	ESY7_g18326_DN3_SP8_c0.t1
OG0000087	AL8G15560	ESY7_g16559_DN3_SP8_c0.t1
OG0000087	AL7G33260	ESY9_g43361_DN3_SP8_c0.t1
OG0000087	AL1G32740	ESY5_g3995_DN3_SP3_c0.t1
OG0000087	AL2G35770	ESY2_g34829_DN3_SP8_c0.t1
OG0000090	AL7G16760	ESY16_g62036_DN3_SP0_c0.t1, ESY16_g62316_DN3_SP0_c41.t1
OG0000090	AL1G20940	ESY10_g14297_DN3_SP0_c35.t1
OG0000091	AL2G13330, AL3G42630, AL8G16340	ESY13_g56077_DN3_SP0_c0.t1
OG0000093	AL5G40110	ESY1_g11462_DN3_SP0_c0.t1
OG0000093	AL3G42890	ESY1_g11458_DN3_SP0_c0.t1, ESY1_g11494_DN3_SP0_c0.t1, ESY1_g10742_DN3_SP0_c0.t1
OG0000093	AL5G40120	ESY16_g61546_DN3_SP0_c0.t1
OG0000093	AL5G39910	ESY1_g11493_DN3_SP0_c41.t1
OG0000097	AL6G49050	ESY7_g16525_DN2_SP0_c0.t1
OG0000097	AL6G49140	ESY7_g16536_DN3_SP0_c0.t1
OG0000097	AL9U10550	ESY7_g16539_DN1_SP0_c0.t1, ESY6_g49637_DN2_SP0_c0.t1, ESY7_g16475_DN3_SP0_c0.t1, ESY7_g16538_DN2_SP0_c0.t1, ESY7_g16537_DN2_SP0_c0.t1
OG0000097	AL6G49150	ESY7_g16443_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1
OG0000098	AL2G13240	ESY2_g33651_DN2_SP0_c0.t1, ESY2_g33647_DN2_SP0_c0.t1
OG0000098	AL2G15160	ESY2_g33748_DN3_SP0_c0.t1, ESY1_g9661_DN1_SP0_c0.t1, ESY2_g33879_DN2_SP0_c0.t1, ESY2_g33904_DN2_SP0_c0.t1, ESY10_g14055_DN1_SP0_c0.t1, ESY2_g33433_DN1_SP0_c0.t1
OG0000098	nbis-gene-1028	ESY5_g3820_DN1_SP0_c0.t1
OG0000098	AL1G23480	ESY5_g3790_DN3_SP0_c0.t1, ESY8_g59143_DN2_SP0_c0.t1
OG0000099	nbis-gene-368	ESY2_g33425_DN2_SP0_c0.t1
OG0000099	AL2G11960	ESY2_g33422_DN3_SP0_c0.t1
OG0000101	AL2G11200, AL2G23700, AL2G11260, AL2G11240, AL2G11380, AL2G11390, AL2G11220, AL7G51590, AL1G66260, AL1G66350, AL2G16740, AL2G14410, AL1G66330, AL3G49580, AL1G65640, AL2G11210	ESY1_g11939_DN1_SP0_c0.t1
OG0000102	AL7G22190, AL5G31380, AL6G34160, AL1G67270, AL8G13680, AL1G44840, AL7G44340, AL7G43200, AL169U10010, AL6G44310, AL236U10030, AL3G53440, AL2G36550, AL60U10040, AL6G43960	ESY17_g40075_DN1_SP0_c10.t1
OG0000104	AL4G23570	ESY8_g58834_DN3_SP0_c19.t1
OG0000104	AL1G55940	ESY2_g37202_DN3_SP0_c14.t1
OG0000105	AL5G25560	ESY4_g23717_DN1_SP0_c0.t1, ESY5_g2179_DN2_SP0_c0.t1
OG0000105	AL1G53250, AL1G56270, AL3G45200	ESY49_g12647_DN2_SP0_c0.t1
OG0000106	AL3G31600, AL3G31620, AL3G31610, AL3G32310, AL3G32820, AL3G50560	ESY6_g49250_DN3_SP0_c0.t1
OG0000106	AL3G32300	ESY5_g3423_DN1_SP0_c0.t1, ESY3_g30215_DN2_SP0_c0.t1
OG0000106	nbis-gene-1973	ESY3_g31121_DN3_SP0_c0.t1
OG0000107	AL7G40290, AL8G20150, AL3G33760, AL3G33780, AL3G33770, AL3G33810, AL3G33800, AL3G33790, AL3G34900, AL3G33830, AL3G42780, nbis-gene-1853	ESY4_g23035_DN3_SP0_c29.t1
OG0000108	AL1G41020, AL1G41010, AL1G41000, AL1G40990, AL4G14170	ESY7_g17569_DN3_SP0_c0.t1, ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1
OG0000108	nbis-gene-805	ESY5_g5060_DN3_SP0_c0.t1
OG0000108	AL3G44060, AL3G44020, AL3G44030, AL3G43980	ESY6_g50064_DN2_SP0_c0.t1, ESY7_g16092_DN2_SP0_c0.t1, ESY7_g16160_DN2_SP0_c0.t1
OG0000111	AL1G63730	ESY3_g31783_DN3_SP0_c57.t1
OG0000112	nbis-gene-64, nbis-gene-1017, AL8G37620, nbis-gene-2004, nbis-gene-1178, nbis-gene-2005, nbis-gene-1177, AL4G19230, AL8G25360	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1
OG0000115	AL1G16160, AL2G19110	ESY11_g54524_DN2_SP0_c0.t1
OG0000116	AL4G42280	ESY8_g58450_DN2_SP0_c0.t1, ESY6_g48234_DN3_SP0_c0.t1, ESY2_g37688_DN2_SP0_c0.t1
OG0000117	AL8G20470	ESY9_g44313_DN1_SP0_c0.t1, ESY10_g15253_DN1_SP0_c0.t1
OG0000118	AL6G41680, AL6G41670	ESY8_g60792_DN2_SP0_c0.t1, ESY20_g12840_DN2_SP0_c0.t1
OG0000119	AL1G41050, AL1G56990, AL4G18060, AL2G19320, AL5G24470, AL6G38890, AL3G40990, AL6G49470	ESY11_g53584_DN1_SP0_c0.t1, ESY3_g28899_DN2_SP0_c0.t1, ESY11_g53147_DN2_SP0_c3.t1, ESY4_g24612_DN2_SP0_c73.t1, ESY2_g38528_DN2_SP0_c0.t1, ESY19_g41722_DN3_SP0_c0.t1
OG0000120	nbis-gene-408, AL2G15570	ESY2_g33927_DN3_SP0_c0.t1, ESY7_g16136_DN3_SP0_c0.t1
OG0000120	nbis-gene-1458	ESY7_g19067_DN2_SP0_c34.t1, ESY7_g19059_DN3_SP0_c0.t1
OG0000122	AL8G31960	ESY2_g33718_DN3_SP0_c0.t1, ESY6_g48203_DN3_SP0_c0.t1
OG0000122	AL8G32120	ESY3_g30973_DN3_SP0_c0.t1, ESY10_g14968_DN3_SP0_c0.t1, ESY20_g12804_DN3_SP0_c0.t1
OG0000122	nbis-gene-2149	ESY10_g15010_DN3_SP0_c0.t1
OG0000123	AL2G13220	ESY5_g3215_DN2_SP0_c2.t1
OG0000124	AL8G32360	ESY2_g35469_DN2_SP0_c0.t1
OG0000124	AL2G19800, nbis-gene-1725, nbis-gene-2009, AL1G47640, AL3G23800, AL3G43990	ESY23_g219_DN2_SP0_c0.t1
OG0000124	nbis-gene-2162	ESY1_g9827_DN1_SP0_c0.t1
OG0000125	AL6G34020	ESY6_g48978_DN3_SP0_c0.t1, ESY6_g48979_DN3_SP0_c0.t1
OG0000125	AL1G18070	ESY5_g4488_DN3_SP0_c0.t1
OG0000125	AL5G24690, AL189U10030, AL8G36480	ESY6_g48851_DN3_SP0_c0.t1
OG0000125	AL4G23250	ESY8_g58880_DN2_SP0_c0.t1
OG0000126	AL3G44880, AL4G19050	ESY1_g8024_DN2_SP0_c0.t1, ESY1_g9129_DN3_SP0_c0.t1
OG0000127	AL3G20220	ESY3_g30869_DN3_SP0_c0.t1, ESY3_g30864_DN3_SP0_c0.t1
OG0000127	AL428U10020, AL8G17250, AL6G11080	ESY7_g19561_DN3_SP0_c0.t1
OG0000127	AL3G20190	ESY3_g30856_DN3_SP0_c0.t1, ESY3_g30854_DN3_SP0_c0.t1, ESY3_g30853_DN3_SP0_c0.t1, ESY8_g58391_DN3_SP0_c0.t1
OG0000127	AL1G22150	ESY5_g3603_DN3_SP0_c0.t1
OG0000127	AL1G22140, AL1G22160, AL1G17320, AL638U10010	ESY5_g3611_DN3_SP0_c0.t1, ESY5_g3610_DN3_SP0_c0.t1
OG0000130	AL4G15810, AL4G25960, AL667U10020	ESY3_g27873_DN2_SP0_c0.t1
OG0000131	AL3G42080, AL4G18650, AL5G18470, AL2G20370, AL8G13990, AL1G46930, AL2G19090, AL3G44910, nbis-gene-1272, nbis-gene-1271, AL1G50940	ESY1_g8019_DN3_SP0_c0.t1, ESY1_g9122_DN3_SP0_c0.t1, ESY1_g6559_DN2_SP0_c10.t1, ESY3_g29866_DN2_SP0_c0.t1
