Orthogroup	Arabidopsis_lyrata_Rawat	Cardamine_glauca
OG0000074	AL1G37380	Cg006G222200
OG0000074	AL1G37360	Cg006G222240, Cg006G222220
OG0000074	AL1G37420	Cg006G222190
OG0000074	AL1G37270	Cg006G222350
OG0000074	AL1G37280	Cg006G222340
OG0000074	AL1G37430	Cg006G222180
OG0000075	AL4G30220	Cg003G083750, Cg005G174740
OG0000075	AL6G20830	Cg008G291500, Cg008G290800, Cg008G290770
OG0000075	AL1G22320	Cg001G033430
OG0000075	AL5G25310	Cg008G323300
OG0000076	AL5G28950	Cg002G057890
OG0000076	AL1G65610	Cg007G272900
OG0000079	AL3G12550, AL3G12540	Cg004G118210
OG0000079	AL5G40790, AL5G40730, AL5G40740	Cg002G047470
OG0000079	AL4G18900, AL4G18910	Cg005G185620
OG0000079	AL7G52220	Cg001G038080
OG0000079	AL5G40610, AL5G40780	Cg008G310600, Cg008G310560, Cg008G308930
OG0000080	AL7G46170	Cg005G158270
OG0000080	AL1G54370, AL1G25040, AL1G25030	Cg004G149910
OG0000080	AL1G53180	Cg004G150150
OG0000080	AL1G35400, AL7G44920, AL3G24690	Cg005G177060
OG0000081	nbis-gene-277	Cg006G198910
OG0000081	AL6G29160	Cg008G298360
OG0000081	AL6G29360, AL6G29140	Cg008G298500
OG0000083	AL57U10030	Cg005G178780
OG0000083	AL2G31050	Cg007G271880, Cg008G322860
OG0000083	AL4G14280	Cg005G190500
OG0000083	AL3G37560	Cg004G140440
OG0000083	AL3G15890	Cg005G190480
OG0000083	AL3G15860	Cg004G121150
OG0000084	AL4G15550	Cg005G189580
OG0000084	AL4G18510, AL4G15660	Cg005G189500
OG0000087	AL6G35120	Cg008G303510
OG0000087	AL4G24260	Cg005G177380
OG0000087	AL8G39670	Cg003G110470
OG0000087	AL5G25960	Cg002G060160
OG0000087	AL6G23060	Cg008G292710
OG0000087	AL4G30750	Cg005G171830
OG0000087	AL8G15560	Cg008G320640
OG0000087	AL7G33260	Cg001G020160
OG0000087	AL1G32740	Cg006G225960
OG0000087	AL2G35770	Cg007G276340
OG0000088	AL5G26870, AL3G46650	Cg002G059450
OG0000088	AL5G26360	Cg002G059900
OG0000088	AL6G32010	Cg001G039390, Cg008G300920
OG0000088	AL8G24400	Cg003G090240, Cg003G095710
OG0000089	AL6G20220	Cg008G290150
OG0000089	AL3G32160, AL1G56110	Cg004G135460
OG0000089	AL3G23740	Cg004G127880
OG0000089	AL5G34730, AL4G34130, AL4G34190	Cg005G168860
OG0000089	AL5G25390	Cg003G107020
OG0000090	AL2G24470, AL4G11370, AL1G32980	Cg006G225800
OG0000090	AL8G19640	Cg008G317760, Cg011G329140
OG0000090	AL2G35960	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700
OG0000090	AL7G16760	Cg001G005770
OG0000090	AL1G20940	Cg006G235770
OG0000093	AL5G40110	Cg002G047960
OG0000093	AL5G40140	Cg002G047920
OG0000093	AL5G40100	Cg002G047970
OG0000093	AL3G42900, AL3G42870, AL3G42880	Cg004G145440, Cg004G145260
OG0000093	AL5G40120	Cg002G047940
OG0000093	AL5G39980, AL5G40000	Cg002G048030
OG0000093	AL5G39910	Cg002G048080
OG0000096	AL5G12940, AL5G12970	Cg002G073940
OG0000096	AL5G12960	Cg002G073930
OG0000096	AL1G20220	Cg006G236390
OG0000097	AL6G49050	Cg003G079780, Cg003G094240
OG0000097	AL6G49140	Cg003G079770, Cg003G094250
OG0000097	AL9U10540	Cg001G029830, Cg001G029870
OG0000097	AL6G49150	Cg003G079730, Cg003G094300
OG0000097	AL320U10020, AL6G49090, AL6G49080, AL6G45160, AL320U10010	Cg003G094290, Cg003G079740
OG0000098	AL2G15160	Cg007G253040, Cg007G249450
OG0000099	AL6G43420, nbis-gene-368, AL3G46110, AL2G13760	Cg007G246280, Cg007G246260, Cg007G246270
OG0000099	AL2G11040, AL6G43560, nbis-gene-367, AL2G11960, AL3G46090, nbis-gene-369, AL2G11030	Cg007G249510
OG0000102	AL8G13680	Cg001G040220
OG0000104	AL1G17740	Cg006G238510
OG0000104	AL4G23570	Cg005G177920
OG0000104	AL1G55940	Cg006G200560
OG0000104	AL1G59870	Cg006G197970
OG0000104	AL4G23520	Cg005G178070
OG0000105	AL1G53250, AL1G56270	Cg003G084510
OG0000106	AL3G31580	Cg004G135900, Cg004G134980, Cg004G134990
OG0000106	AL3G31600, AL3G31620, AL3G31610, AL3G32310, AL3G32820, AL3G50560	Cg004G136130
OG0000106	AL3G41350, AL3G41320, AL3G41330, AL3G41340	Cg001G042030
OG0000107	AL3G33760	Cg004G136880
OG0000107	AL3G33780	Cg004G136910
OG0000107	AL3G33800, AL3G33790	Cg004G136920
OG0000108	AL1G41020, AL1G41010, AL1G41000, AL1G40990	Cg008G306430
OG0000108	AL3G44060, AL3G44020, AL3G44030, AL3G43980	Cg004G146470
OG0000108	AL2G26330	Cg007G245680, Cg007G245670
OG0000110	AL5G41090	Cg002G047270
OG0000110	AL5G41080	Cg002G047280
OG0000110	AL5G41040	Cg002G047300, Cg002G047310, Cg005G186820
OG0000110	AL5G41150	Cg007G269260
OG0000111	AL5G36020	Cg002G051630
OG0000114	AL8G17970, AL8G17980, AL20U10050, AL20U10060, AL20U10040, AL20U10020, AL6G21880, AL3G14170	Cg008G318090
OG0000114	AL8G15310	Cg008G320920
OG0000117	AL8G20470	Cg006G206330, Cg006G206270, Cg016G334370, Cg003G095540
OG0000118	AL6G41680, AL6G41670	Cg002G054790, Cg002G054780, Cg006G212290
OG0000118	AL5G34240, AL3G50380	Cg003G083280, Cg003G083300
OG0000119	AL1G56990, AL4G18060, AL2G19320, AL5G24470, AL6G38890, AL3G40990, AL6G49470	Cg007G255080, Cg002G068550, Cg003G107770, Cg002G060400, Cg001G039470, Cg001G029640, Cg007G255680
OG0000120	nbis-gene-408, AL2G15570	Cg007G250010, Cg007G249930
OG0000120	nbis-gene-1458	Cg008G285500
OG0000123	AL1G41710, AL1G41700	Cg006G218510, Cg006G218490
OG0000123	AL7G26670	Cg001G014420
OG0000124	AL3G31830, AL1G41300	Cg008G309160
OG0000124	AL3G43990	Cg002G063920, Cg003G086460
OG0000125	AL3G20660, AL6G11840	Cg008G283340
OG0000125	AL6G34020	Cg008G302630
OG0000125	AL1G18070	Cg006G238270
OG0000125	AL189U10030, AL8G36480	Cg003G107610
OG0000125	AL5G24750	Cg002G061230, Cg002G061270
OG0000125	AL4G23250	Cg005G178390
OG0000127	AL6G11080	Cg007G262300, Cg007G263860
OG0000127	AL3G20190, AL9U10500	Cg004G124780
OG0000127	AL1G22150, AL1G22140, AL1G22160, AL1G17320, AL638U10010	Cg007G262280
OG0000128	AL7G53080	Cg001G020220
OG0000132	AL8G11070	Cg008G321270
OG0000133	AL8G19570, AL25U10030	Cg005G185140, Cg007G269340, Cg003G084500, Cg005G185150, Cg004G141220
OG0000136	AL7G53090	Cg001G037100
OG0000138	AL5G19700, AL5G19780	Cg002G067580, Cg002G067290
OG0000140	AL5G25860, AL5G25850	Cg002G060210
OG0000140	AL8G35600	Cg003G106820
OG0000140	AL48U10040, AL8G35560	Cg003G106800
OG0000140	nbis-gene-2177, nbis-gene-2176, AL8G34670, AL8G26340, nbis-gene-2178	Cg003G106450
OG0000140	nbis-gene-2175	Cg003G106440
OG0000140	AL48U10010, nbis-gene-2180	Cg003G106810, Cg008G324860, Cg003G096950
OG0000142	AL4G23900	Cg005G177670
OG0000142	AL4G23890	Cg005G177660
OG0000142	AL4G25560	Cg005G176030
OG0000144	AL9U10360, AL2G23260	Cg005G182040
OG0000146	AL8G30930	Cg003G102640
OG0000146	AL8G30890	Cg003G102600
OG0000146	AL8G30900	Cg003G102610
OG0000147	AL3G52950	Cg004G155250
OG0000147	AL7G22000	Cg001G010340
OG0000147	AL8G33330	Cg003G104960
OG0000147	AL2G40780	Cg007G280860
OG0000147	AL3G44180	Cg004G146670
OG0000147	AL4G15040	Cg005G189880
OG0000149	AL5G25250	Cg002G060900
OG0000149	AL5G25240	Cg002G060880
OG0000149	AL8G36180	Cg003G107300, Cg003G107310
OG0000149	AL8G36200	Cg003G107320
OG0000149	AL5G25230	Cg002G060920
OG0000150	AL5G21720, AL5G21730	Cg002G064460
OG0000150	AL6G15230	Cg001G004220
OG0000150	AL5G24190	Cg002G061810
OG0000150	AL4G18370, AL4G18360, AL4G18340	Cg005G186200
OG0000150	AL5G24100, AL5G24030	Cg002G061900
OG0000151	AL8G28000	Cg003G100170
OG0000151	AL7G24680	Cg001G012710
OG0000151	AL3G19690	Cg004G124340
OG0000151	AL3G49460	Cg004G152640
OG0000151	AL8G31780	Cg003G103430
OG0000151	AL2G10770, AL7G47650	Cg007G246070
OG0000154	AL1G28200	Cg006G229860
OG0000154	AL3G24230	Cg004G128290
OG0000154	AL3G20620	Cg004G125060
OG0000154	AL6G11740	Cg008G283240
OG0000154	AL6G11730	Cg008G283230
OG0000155	AL7G25530	Cg001G013440
OG0000155	AL7G32730	Cg001G019660
OG0000155	AL7G32710	Cg001G019650
OG0000155	AL3G23610	Cg004G127780
OG0000156	AL5G43250	Cg002G045690
OG0000156	AL4G44740	Cg005G160240
OG0000156	AL4G44730	Cg005G160250
OG0000157	AL3G38550, AL3G38540	Cg004G141270
OG0000158	AL7G32560, AL7G30180, AL7G33450	Cg008G283250
OG0000158	AL7G14590, AL7G11730	Cg001G008080
OG0000158	AL6G25220, AL4G12250	Cg005G184100
OG0000160	AL983U10010, AL8G34940, AL7G45030, AL1G48950, AL8G31450, AL236U10040, AL9U11830, AL5G15500, AL6G45600, AL1G34760, AL8G18020, AL6G41190, AL5G13730	Cg007G264990, Cg006G202970
OG0000160	AL5G16300	Cg003G091850
OG0000161	AL8G38700, AL8G38710, AL1G60690	Cg003G109710, Cg003G109720, Cg003G109690
OG0000161	AL8G25830	Cg003G098030
OG0000161	AL4G22760, AL4G22720	Cg005G179900, Cg005G180000, Cg005G179820
OG0000161	AL2G20180	Cg007G261320
OG0000161	AL2G19840	Cg008G312840, Cg007G257200
OG0000161	AL2G19870, nbis-gene-452	Cg007G257190
OG0000162	AL4G20750	Cg008G314630
OG0000162	AL4G44040	Cg005G160860
OG0000162	AL4G23070	Cg005G178250
OG0000164	AL2G17690, AL2G17720, nbis-gene-421, AL6G40440, AL6G40430, AL6G40420	Cg008G307470
OG0000165	AL481U10020	Cg009G325660
OG0000167	AL7G34470	Cg001G021130
OG0000167	AL7G34500, AL7G34510	Cg001G021150
OG0000167	AL7G34530	Cg001G021160
OG0000167	AL7G34490	Cg001G021140
OG0000168	AL2G17030, AL4G12920	Cg008G324810
OG0000168	AL4G12860	Cg001G034720
OG0000171	AL2G23510	Cg002G044340
OG0000171	AL5G45050	Cg005G158520
OG0000171	AL1G37260	Cg006G222370, Cg007G270890
OG0000171	AL1G21480	Cg006G235360
OG0000171	AL6G25440	Cg008G294880
OG0000172	AL5G45250, AL2G23440, AL5G35200	Cg002G052400
OG0000172	AL5G40850	Cg002G060680, Cg002G060150
OG0000173	AL3G40330, AL3G43310, AL8G24810	Cg003G091670
OG0000174	AL6G41080	Cg009G325780, Cg006G205480
OG0000175	AL5G31720	Cg002G055540
OG0000175	AL2G35850	Cg007G276430
OG0000175	AL1G32900	Cg006G225880
OG0000175	AL7G16200	Cg001G005230
OG0000175	AL3G50830	Cg004G153920
OG0000175	AL7G15090	Cg001G004130
OG0000176	AL1G44860	Cg006G215620
OG0000176	AL1G44920, AL1G44890	Cg006G215540
OG0000178	AL4G22400	Cg014G331270
OG0000178	AL8G19930, AL1G50370, AL4G18980, AL2G18720, AL2G30330, AL1G50770	Cg002G069730, Cg002G066500
OG0000180	AL8G35170, AL3G40410	Cg007G279310
OG0000180	AL5G45620	Cg001G043140
OG0000181	AL3G48740	Cg004G121590
OG0000181	AL1G53480	Cg005G191690
OG0000184	AL3G43630, AL5G24090	Cg006G215550
OG0000185	AL6G10840	Cg003G088110
OG0000185	AL8G35610, AL2G32620, AL1G29430	Cg003G098770
OG0000185	AL5G19190	Cg006G198800
OG0000187	nbis-gene-1736	Cg001G008920, Cg001G008910
OG0000189	AL7G13810	Cg001G007520
OG0000189	AL7G13600, AL7G12790	Cg001G002260, Cg001G002250
OG0000190	AL6G47960	Cg003G080590, Cg003G080580
OG0000190	AL6G47980	Cg006G210720
OG0000190	AL6G47970	Cg006G210710
OG0000190	AL1G49990	Cg003G087120, Cg003G087200
OG0000191	nbis-gene-1015	Cg005G168430
OG0000191	AL2G24870	Cg004G134260
OG0000191	nbis-gene-889	Cg004G153150, Cg004G153270
OG0000192	AL1G34360	Cg006G224780
OG0000192	AL1G34310	Cg006G224790
OG0000192	AL1G34340	Cg006G224760
OG0000193	AL3G41660, AL3G41620, nbis-gene-792, AL3G41610	Cg004G138060
OG0000193	nbis-gene-789	Cg004G140730
OG0000195	AL4G20560	Cg005G182280
OG0000195	AL5G38180	Cg002G049520, Cg005G164920
OG0000195	AL7G46650	Cg001G036760
OG0000195	AL2G24200	Cg007G265630
OG0000195	AL5G21780	Cg002G064380, Cg008G301610
OG0000196	AL1G44080, AL1G44060	Cg006G202640
OG0000196	AL1G15390	Cg006G240790
OG0000196	AL1G44070	Cg006G202630
OG0000196	AL1G15400	Cg006G240780
OG0000197	AL7G46090, AL5G28350, AL5G28190, AL7G47660, AL7G48270, AL3G52780, AL7G49150, AL7G48800, AL7G19770, AL7G49950, AL7G49700, AL7G49680, AL7G49110	Cg001G041590
OG0000200	AL1G15890	Cg006G240250
OG0000200	AL7G52080, AL7G52070	Cg001G038160, Cg001G038180
OG0000200	AL3G40220, AL3G40940, AL3G40610	Cg003G084880, Cg004G143040, Cg004G143090
OG0000201	AL3G36210	Cg004G139090
OG0000201	AL3G36200	Cg004G139080
OG0000202	AL3G30180	Cg004G133650
OG0000202	AL3G30850	Cg004G134030
OG0000203	AL3G14700	Cg004G120290
OG0000203	nbis-gene-688, AL3G14200, AL6G22600, AL6G22480, AL6G22490	Cg004G126450, Cg004G126500, Cg004G126510, Cg002G062080
OG0000204	AL5G33670	Cg006G200670
OG0000204	AL3G35490	Cg004G138460
OG0000205	AL1G53500	Cg003G098990, Cg003G098960, Cg003G098910
OG0000207	AL2G39130	Cg007G279410
OG0000209	AL2G10720	Cg007G246040
OG0000209	AL7G47630	Cg001G042590
OG0000210	AL3G42400, AL3G42420	Cg004G144520
OG0000210	AL5G13350	Cg002G073630, Cg002G073600, Cg002G073620
OG0000210	AL4G28810, AL4G28800	Cg005G173490
OG0000210	nbis-gene-1071	Cg005G173520
OG0000213	AL4G12610	Cg005G191770
OG0000213	AL4G12650, AL4G12640, AL4G12670	Cg005G191730
OG0000214	AL6G50960	Cg003G078170
OG0000216	nbis-gene-292	Cg001G018790
OG0000216	AL7G31500, AL7G30780, AL7G31520	Cg001G018760
OG0000216	nbis-gene-1800	Cg001G018780
OG0000217	AL2G17250	Cg007G251420
OG0000218	AL1G26980, AL1G27000	Cg006G230920
OG0000218	AL1G27010	Cg006G230900, Cg006G230890
OG0000218	AL5G15240	Cg002G072370
OG0000218	AL7G42370, AL5G10550, AL5G13150, AL5G10520	Cg002G075340
OG0000219	AL2G25070, AL2G25100	Cg007G266520, Cg007G266510
OG0000219	nbis-gene-1615	Cg001G014450
OG0000219	nbis-gene-1037, nbis-gene-362	Cg005G177180
OG0000219	AL835U10030	Cg003G095240, Cg003G111060
OG0000220	AL77U10060, AL5G15330	Cg003G103090
OG0000221	AL429U10020, AL7G52630, AL3G46320, AL299U10020	Cg005G182530
OG0000224	AL2G37740	Cg007G278180, Cg007G278170
OG0000224	AL2G37720	Cg007G278160
OG0000224	AL7G20350	Cg001G008870, Cg001G017640
OG0000224	AL2G12370, AL2G12360	Cg007G247160
OG0000226	AL108U10030	Cg004G156690
OG0000226	AL5G14060, AL8G40780	Cg003G113210
OG0000226	AL1G41350, AL1G37710, AL1G37720, AL1G37670	Cg004G128760
OG0000226	AL1G42110	Cg006G218020
OG0000228	AL2G30310	Cg007G271320
OG0000228	AL6G40330, AL6G40180	Cg008G307350
OG0000229	AL7G22490, AL7G22500, AL6G29250, AL6G29230, AL7G22480	Cg003G078340, Cg014G331290, Cg008G315850, Cg014G331310, Cg014G331300, Cg003G078330
OG0000229	AL1G54760, AL1G59580, AL1G61110	Cg007G261570
OG0000230	AL2G35830	Cg008G323410
OG0000230	AL2G35840	Cg007G276410
OG0000231	AL7G43870	Cg007G260410
OG0000232	AL3G16300	Cg004G121460
OG0000233	AL8G34590	Cg005G186460
OG0000233	AL3G45630	Cg006G211480
OG0000234	AL5G36230	Cg002G051400
OG0000234	AL5G36220	Cg002G051410
OG0000234	AL5G36210	Cg002G051420
OG0000234	AL4G36690	Cg005G166930
OG0000234	AL6G24190	Cg008G293710
OG0000235	AL1G46640, AL1G46660, AL1G46620	Cg006G213560
OG0000235	AL1G53610	Cg006G202900, Cg006G202870, Cg006G202910, Cg006G202830
OG0000235	AL3G29470	Cg004G133010
OG0000236	AL2G23070	Cg001G028350, Cg004G141830, Cg004G144380, Cg004G139210
OG0000236	AL2G28820	Cg007G270040
OG0000238	AL2G18390	Cg002G071780
OG0000239	AL4G16860	Cg013G330340, Cg036G336860
OG0000240	AL5G20810, AL1G65810	Cg007G263700
OG0000240	AL4G17660, AL4G17920, AL4G17900	Cg001G033750
OG0000242	AL3G47130	Cg004G150060, Cg004G150660, Cg004G150050, Cg004G150670, Cg004G150020, Cg004G150680
OG0000242	AL1G25950	Cg006G231900
OG0000242	nbis-gene-83	Cg006G231890
OG0000242	AL1G25930	Cg006G231910
OG0000244	AL7G32050	Cg001G019150
OG0000244	AL6G48290	Cg003G093660, Cg003G080320
OG0000244	AL7G32060	Cg001G019160
OG0000248	AL6G47240	Cg003G081350
OG0000248	AL6G47230	Cg003G081360
OG0000248	AL6G43900, AL6G44750	Cg003G081340
OG0000248	AL2G18850	Cg007G252860
OG0000249	AL4G32990	Cg005G169790
OG0000250	AL5G35460	Cg007G270460
OG0000250	AL2G29310	Cg007G270470
OG0000250	nbis-gene-575	Cg007G270580
OG0000254	AL4G15410, AL4G21500, AL1G67340, AL3G31320, AL3G41860	Cg004G134710
OG0000256	AL4G38290	Cg005G165640
OG0000257	AL3G46890, nbis-gene-851, AL6G36930	Cg007G247040, Cg007G247060
OG0000257	nbis-gene-282, AL1G59050, nbis-gene-269	Cg006G198470, Cg006G198480
OG0000257	nbis-gene-1899	Cg001G035030
OG0000257	AL3G21820	Cg004G126080
OG0000258	AL5G15010	Cg002G072350
OG0000258	AL5G15050, AL5G15060, AL5G15070	Cg002G072340
OG0000258	AL8G33230	Cg003G104860
OG0000258	AL5G15090	Cg002G072320
OG0000260	AL6G44610	Cg003G083550
OG0000264	AL6G48830	Cg003G079930, Cg003G094080, Cg003G094890, Cg003G079050
OG0000264	AL6G49330, AL6G48870	Cg003G094090, Cg003G079920, Cg003G094100, Cg003G079900, Cg003G094120, Cg003G094110, Cg003G079910, Cg003G079890
OG0000264	AL6G49970, AL6G49560	Cg003G079060, Cg003G094880
OG0000266	AL5G43310, AL5G43300	Cg003G098940, Cg003G099000
OG0000267	AL4G24330, AL4G24610, AL4G24350, AL4G24620, AL4G24340, AL4G24320, AL4G24590, AL4G24560	Cg005G177130, Cg005G177100, Cg005G177110, Cg005G177030, Cg005G177010, Cg005G177140, Cg005G177090, Cg005G177120
