Orthogroup	Arabidopsis_lyrata_Rawat	Cardamine_hirsuta
OG0000083	AL2G31050	CARHR064660, CARHR291280, CARHR176300
OG0000083	AL158U10030	CARHR291370, CARHR291350
OG0000083	AL3G37570	CARHR099030
OG0000083	AL3G37560	CARHR099020
OG0000084	nbis-gene-1002	CARHR117870, CARHR117890, CARHR116980
OG0000084	AL4G15550	CARHR117220, CARHR116970
OG0000084	AL4G18500	CARHR116870
OG0000084	AL4G18540	CARHR117230, CARHR116960, CARHR116990
OG0000084	AL4G18560	CARHR117030, CARHR118620
OG0000084	AL4G18550	CARHR117020
OG0000085	AL7G52690	CARHR187570
OG0000085	AL1G47700, AL3G42270, AL2G24190, AL6G40850, AL2G32540, AL7G41350, AL3G37700, AL4G43300, AL6G35520, AL6G51820, AL1G48000, AL3G40380, AL3G29370, AL4G20860, AL2G17230, AL109U10030, AL2G20150, AL3G17400, AL1G38790	CARHR259820
OG0000086	nbis-gene-346, nbis-gene-441, nbis-gene-345, nbis-gene-344, nbis-gene-348, nbis-gene-349, nbis-gene-343, nbis-gene-440, AL2G18870, nbis-gene-342, nbis-gene-436, nbis-gene-1420, nbis-gene-434, nbis-gene-435, nbis-gene-439, nbis-gene-347, nbis-gene-1421, nbis-gene-438, nbis-gene-437, nbis-gene-1419, nbis-gene-2027, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023	CARHR054410, CARHR289710, CARHR289730, CARHR289690, CARHR054420, CARHR250760, CARHR201430, CARHR201440, CARHR250740, CARHR250750
OG0000087	AL6G35120	CARHR189700
OG0000087	AL4G24260	CARHR122890
OG0000087	AL5G25960	CARHR155480
OG0000087	AL6G23060	CARHR200860
OG0000087	AL4G30750	CARHR128920
OG0000087	AL8G15560	CARHR178800
OG0000087	AL7G33260	CARHR227450
OG0000087	AL1G32740	CARHR020480
OG0000087	AL2G35770	CARHR069200
OG0000088	AL5G26360	CARHR155740
OG0000088	AL6G32010	CARHR192340, CARHR192330
OG0000088	AL8G24400	CARHR262970
OG0000089	AL6G20220	CARHR203590
OG0000089	AL3G32160, AL1G56110	CARHR094190
OG0000089	AL3G23740	CARHR086670
OG0000089	AL5G25390, AL8G35810	CARHR285740
OG0000090	AL2G24470, AL4G11370, AL1G32980	CARHR020650
OG0000090	AL8G19640	CARHR284690
OG0000090	AL2G35960	CARHR069500
OG0000090	AL7G16760	CARHR288810
OG0000090	AL5G12830, AL3G47920, AL5G12840	CARHR145520, CARHR145510
OG0000090	AL1G20940	CARHR010350
OG0000091	AL8G16330, nbis-gene-1790, nbis-gene-1053, AL7G47240, nbis-gene-2125	CARHR055470
OG0000091	AL2G13330, AL3G42630, AL8G16340	CARHR221560
OG0000093	AL5G40110	CARHR168740
OG0000093	AL5G40140	CARHR168770
OG0000093	AL3G42890	CARHR168730, CARHR168630, CARHR103160, CARHR103150, CARHR219320
OG0000093	AL5G40100	CARHR168690
OG0000093	AL5G39980, AL5G40000	CARHR168640
OG0000093	AL5G39910	CARHR168590, CARHR259860, CARHR168580
OG0000096	AL5G12960	CARHR145640
OG0000096	AL1G67300	CARHR054510
OG0000096	AL8G13920	CARHR112190, CARHR177280
OG0000097	AL6G49140	CARHR252090, CARHR252110
OG0000097	AL9U10550	CARHR252130
OG0000097	AL6G49150	CARHR252050
OG0000097	AL320U10020, AL6G49090, AL6G49080, AL6G45160, AL320U10010	CARHR252100
OG0000098	AL2G13240	CARHR049580, CARHR049700, CARHR049380, CARHR049340, CARHR049330, CARHR049720, CARHR049640, CARHR049620, CARHR049710, CARHR049690, CARHR049260, CARHR048830
OG0000098	AL2G15160	CARHR052090, CARHR052140, CARHR051470, CARHR052110
OG0000098	nbis-gene-1028	CARHR220990, CARHR220970
OG0000098	AL1G23600	CARHR012600
OG0000098	AL1G23590	CARHR012590
OG0000098	AL7G41510	CARHR220850
OG0000098	AL1G23500	CARHR012520
OG0000098	AL1G23480	CARHR013070
OG0000099	nbis-gene-368	CARHR046920
OG0000099	AL3G46110	CARHR051070
OG0000099	AL2G13760	CARHR046940
OG0000099	AL3G46090	CARHR051080
OG0000099	nbis-gene-369	CARHR051510
OG0000101	AL2G11200	CARHR047100
OG0000101	AL1G66260, AL1G66350	CARHR055030
OG0000101	AL2G14410	CARHR047060
OG0000101	AL2G11210	CARHR047460, CARHR047540
OG0000104	AL1G17740	CARHR007350
OG0000104	AL4G23570	CARHR122240
OG0000104	AL1G55940	CARHR039100
OG0000104	AL3G41990	CARHR102140
OG0000106	AL3G31580	CARHR093690
OG0000106	AL3G31600, AL3G31620, AL3G31610, AL3G32310, AL3G32820, AL3G50560	CARHR094390, CARHR099980, CARHR094810, CARHR094850, CARHR094840, CARHR094860
OG0000106	AL3G22030	CARHR101790, CARHR101800
OG0000106	AL3G32300	CARHR092810, CARHR120380
OG0000106	nbis-gene-1973	CARHR248580
OG0000106	AL4G22640	CARHR266870
OG0000106	AL3G41350, AL3G41320, AL3G41330, AL3G41340	CARHR084920
OG0000107	AL3G33760	CARHR095610
OG0000107	AL3G33780	CARHR095650
OG0000107	AL3G33770	CARHR095640
OG0000107	AL3G33810	CARHR095660
OG0000107	AL3G34900	CARHR096820, CARHR096830
OG0000107	AL3G33830, AL3G42780	CARHR097220, CARHR095680
OG0000108	AL6G44880	CARHR188180
OG0000108	AL1G41020, AL1G41010, AL1G41000, AL1G40990	CARHR174970
OG0000108	AL2G26330	CARHR046250
OG0000110	AL5G41090	CARHR169600
OG0000110	AL5G41080	CARHR169580
OG0000110	AL5G41130	CARHR061840
OG0000110	AL5G41040	CARHR150810, CARHR169560
OG0000110	AL5G41050	CARHR169570
OG0000110	AL5G41150	CARHR061850
OG0000111	AL315U10010, AL7G51940	CARHR214020, CARHR214040
OG0000111	AL7G40650	CARHR221750
OG0000111	AL8G40480	CARHR277270
OG0000111	AL6G44370	CARHR256230
OG0000111	AL5G36020	CARHR164880
OG0000114	AL6G21880	CARHR202010
OG0000114	AL1G67230, AL1G67210, AL1G67280, AL3G42680	CARHR054550, CARHR054640, CARHR054580
OG0000114	AL5G19550, AL2G23230	CARHR106050
OG0000115	AL1G16160	CARHR059960, CARHR284490
OG0000118	AL6G41680, AL6G41670	CARHR161700, CARHR161720
OG0000118	AL5G34240, AL3G50380	CARHR148290
OG0000119	AL1G41050	CARHR115250
OG0000119	AL1G56990, AL4G18060, AL2G19320, AL5G24470, AL6G38890, AL3G40990, AL6G49470	CARHR292260, CARHR102990
OG0000120	nbis-gene-408, AL2G15570	CARHR285170
OG0000120	nbis-gene-1458	CARHR208650
OG0000122	AL8G31960	CARHR129080, CARHR269910, CARHR269890, CARHR031770
OG0000122	AL8G32110	CARHR036530, CARHR031780
OG0000123	AL1G41710, AL1G41700	CARHR024520, CARHR027640, CARHR027660, CARHR027650
OG0000123	AL7G26670	CARHR233830
OG0000124	nbis-gene-1897	CARHR182430
OG0000124	nbis-gene-2009	CARHR183650
OG0000124	AL1G47640, AL3G23800	CARHR043800, CARHR123710
OG0000124	AL7G52490, AL6G41390, AL3G51120	CARHR036720
OG0000125	AL3G20660, AL6G11840	CARHR210790
OG0000125	AL6G34020	CARHR190650
OG0000125	AL1G18070	CARHR007600
OG0000125	AL189U10030, AL8G36480	CARHR273520
OG0000125	AL5G24750	CARHR154390, CARHR154340
OG0000125	AL4G23250	CARHR121850
OG0000127	AL3G20220	CARHR083500
OG0000127	AL6G11090, AL6G11060	CARHR211440
OG0000127	AL3G20190	CARHR083490
OG0000130	AL667U10020	CARHR288220
OG0000131	AL6G40550	CARHR118270
OG0000131	AL1G57250	CARHR287300
OG0000132	AL6G43140	CARHR101930
OG0000133	AL8G19570, AL25U10030	CARHR184120
OG0000136	AL2G24590, AL2G24600, AL2G24580	CARHR058600
OG0000136	AL7G53090	CARHR214810
OG0000136	AL8G39760	CARHR276580
OG0000136	nbis-gene-1912	CARHR272990
OG0000136	AL7G46850, AL7G46860	CARHR214830, CARHR214840
OG0000137	AL6G45480	CARHR180340
OG0000138	AL8G37810	CARHR274880, CARHR274890, CARHR274860
OG0000138	AL5G19720	CARHR274850
OG0000138	AL5G19700, AL5G19780	CARHR153070, CARHR153150, CARHR254660, CARHR113960, CARHR113980
OG0000140	AL5G25860, AL5G25850	CARHR155420
OG0000140	AL8G35600	CARHR285530
OG0000140	AL48U10040, AL8G35560	CARHR285410
OG0000140	nbis-gene-2177, nbis-gene-2176, AL8G34670, AL8G26340, nbis-gene-2178	CARHR272760, CARHR272770, CARHR053670
OG0000140	nbis-gene-2175	CARHR272750
OG0000140	AL48U10010, nbis-gene-2180	CARHR285460, CARHR285480
OG0000142	AL4G23900	CARHR122610
OG0000142	AL4G23860	CARHR122560
OG0000142	AL4G25560	CARHR119630
OG0000146	AL8G30930	CARHR268720
OG0000146	AL8G30890	CARHR268680
OG0000146	AL8G30900	CARHR268690
OG0000147	AL7G22000	CARHR238090
OG0000147	AL8G33330	CARHR271150
OG0000147	AL2G40780	CARHR073860
OG0000147	AL5G20850	CARHR153650
OG0000147	AL3G44180	CARHR104060
OG0000147	AL4G15040	CARHR117520
OG0000149	AL5G25250	CARHR154790, CARHR154820
OG0000149	AL5G25240	CARHR154830
OG0000149	AL8G36180	CARHR273170, CARHR273200, CARHR273210, CARHR273220
OG0000149	AL8G36170, AL8G36160	CARHR273130
OG0000149	AL5G25230	CARHR154780
OG0000150	AL5G21720, AL5G21730	CARHR263010, CARHR256190
OG0000150	AL6G15230	CARHR207890, CARHR143200
OG0000150	AL4G18370, AL4G18360, AL4G18340	CARHR114860
OG0000150	AL5G24100, AL5G24030	CARHR150200
OG0000151	AL8G28000	CARHR266340
OG0000151	AL7G24680	CARHR235660
OG0000151	AL3G19690	CARHR082990
OG0000151	AL3G49460	CARHR107000
OG0000151	AL8G31780	CARHR269520
OG0000151	AL2G10770, AL7G47650	CARHR046700
OG0000154	AL1G28200	CARHR016540
OG0000154	AL3G24230	CARHR087080
OG0000154	AL3G20620	CARHR083850
OG0000154	AL6G11740	CARHR210880
OG0000154	AL6G11730	CARHR210890
OG0000155	AL7G25530	CARHR234950
OG0000155	AL7G32710	CARHR227980
OG0000155	AL3G23610	CARHR086560
OG0000155	AL6G48380	CARHR227950
OG0000156	AL4G44740	CARHR140760, CARHR186310
OG0000156	AL4G44730	CARHR140740
OG0000157	AL3G38550, AL3G38540	CARHR099660
OG0000157	AL3G14210	CARHR133040, CARHR180020
OG0000157	nbis-gene-757, AL3G37210, AL2G23540, AL2G23590, AL2G23600, AL6G44790	CARHR102680
OG0000157	AL4G35660, AL4G35650	CARHR133050
OG0000157	AL4G35680	CARHR115930, CARHR115970, CARHR115940, CARHR133070, CARHR133060
OG0000157	AL4G35640	CARHR101240
OG0000158	AL7G32560, AL7G30180, AL7G33450	CARHR210870
OG0000158	AL2G28170	CARHR113640
OG0000158	nbis-gene-1710	CARHR150520
OG0000158	AL4G29520	CARHR104280
OG0000161	AL8G38700, AL8G38710, AL1G60690	CARHR275720, CARHR275710
OG0000161	AL4G22760, AL4G22720	CARHR120610, CARHR120240, CARHR120250
OG0000161	AL2G20180	CARHR056690
OG0000161	AL2G19970	CARHR056640
OG0000161	AL2G19840	CARHR038540, CARHR038530, CARHR056610
OG0000161	nbis-gene-452	CARHR056630
OG0000162	AL2G25640	CARHR059620
OG0000162	AL2G23580	CARHR057970
OG0000162	AL4G44040	CARHR140170
OG0000162	AL4G23070	CARHR121990
OG0000164	AL7G11950, AL8G23520	CARHR041160, CARHR041170
OG0000164	AL7G11960	CARHR246950
OG0000167	AL7G34470	CARHR226380
OG0000167	AL7G34520	CARHR215060
OG0000169	AL1G64890	CARHR067340
OG0000171	AL2G23510	CARHR142560
OG0000171	AL1G37260	CARHR023910
OG0000171	AL1G21480	CARHR010800
OG0000171	AL6G25440	CARHR198650
OG0000172	AL5G44820	CARHR053570
OG0000172	AL5G40760	CARHR169320
OG0000172	AL5G40850	CARHR169390
OG0000172	AL5G40800	CARHR169360
OG0000173	AL3G40330	CARHR035170, CARHR036310, CARHR180960, CARHR225740, CARHR180580, CARHR261170, CARHR292670, CARHR286110, CARHR216170, CARHR055060, CARHR225730, CARHR036300, CARHR150900, CARHR257050
OG0000173	AL3G43310	CARHR216160
OG0000173	AL8G24810	CARHR293270
OG0000174	AL6G41080	CARHR286250
OG0000175	AL5G31720	CARHR160880
OG0000175	AL2G35850	CARHR069390
OG0000175	AL1G32900	CARHR020570
OG0000175	AL7G16200	CARHR243300
OG0000175	AL3G50830	CARHR108220
OG0000175	AL7G15090	CARHR244350
OG0000176	AL1G29270	CARHR029970
OG0000176	AL1G44400	CARHR144020
OG0000178	AL4G22400	CARHR104870, CARHR220690
OG0000178	AL8G19930	CARHR216370
OG0000178	AL1G50370	CARHR181910
OG0000178	AL4G18980	CARHR054120, CARHR111550, CARHR213150
OG0000178	AL2G18720	CARHR035340, CARHR105380
OG0000178	AL1G50770	CARHR098760
OG0000181	AL3G48740	CARHR122740
OG0000184	AL3G43630	CARHR157490, CARHR154180, CARHR181110
OG0000185	AL6G10840	CARHR146770
OG0000185	AL8G35610, AL2G32620, AL1G29430	CARHR116590
OG0000186	AL4G20870	CARHR103200
OG0000186	nbis-gene-264, nbis-gene-676	CARHR252010, CARHR256860
OG0000187	nbis-gene-1736	CARHR037460, CARHR239530, CARHR239540
OG0000187	AL7G20320	CARHR239600
OG0000189	AL7G12140	CARHR246590
OG0000190	AL6G47960	CARHR253020
OG0000190	AL6G47980	CARHR250370
OG0000190	AL6G47970	CARHR250360
OG0000190	AL6G48020	CARHR252970, CARHR263930
OG0000190	AL6G47990	CARHR252960
OG0000191	AL3G29510	CARHR091820
OG0000191	nbis-gene-1106	CARHR293570, CARHR148120, CARHR091830
OG0000191	nbis-gene-889	CARHR293580, CARHR148110
OG0000191	AL3G29400, AL3G29410, nbis-gene-913, AL3G28990, AL3G28960, AL3G28980	CARHR091750
OG0000192	AL1G34360	CARHR059110
OG0000192	AL1G34280	CARHR181970
OG0000192	AL1G34300	CARHR021660
OG0000192	AL1G34340	CARHR181980, CARHR256500
OG0000193	AL3G41660	CARHR096990
OG0000193	nbis-gene-789	CARHR099220
OG0000193	AL5G24180	CARHR150060
OG0000195	AL4G20560	CARHR119300
OG0000195	AL5G38180	CARHR136200
OG0000195	AL7G46650	CARHR058380
OG0000195	AL2G24200	CARHR215030
OG0000195	AL5G21780	CARHR114540, CARHR191680
OG0000196	AL1G44080, AL1G44060	CARHR037160
OG0000196	AL1G44070	CARHR037140
OG0000197	AL7G43790, AL7G49120	CARHR037370
OG0000197	AL7G46120	CARHR272960
OG0000200	AL5G29460, AL8G22470	CARHR291830, CARHR263700
OG0000200	AL7G52080, AL7G52070	CARHR291820
OG0000200	AL3G40220, AL3G40940, AL3G40610	CARHR101580, CARHR101880, CARHR101530
OG0000201	AL3G36220	CARHR097900
OG0000202	AL3G37010, AL3G37000	CARHR099690
OG0000203	AL7G22270	CARHR078890
OG0000203	AL3G14720, AL3G14710	CARHR078880, CARHR078860
OG0000203	AL3G14200, AL6G22600, AL6G22480, AL6G22490	CARHR201470
OG0000204	AL5G33670	CARHR044120
OG0000204	AL3G35490	CARHR097380
OG0000205	AL4G10320	CARHR041580, CARHR040020, CARHR149530, CARHR042890, CARHR042510, CARHR043190, CARHR260050
OG0000205	AL3G52290	CARHR042520, CARHR042900, CARHR041590, CARHR043210
OG0000205	AL1G53500	CARHR148260, CARHR265180, CARHR265400, CARHR149520
OG0000207	AL2G39130	CARHR072280, CARHR201930
OG0000207	AL2G39150, AL4G20460	CARHR180390
OG0000207	AL2G39120	CARHR072290
OG0000208	AL7G51580	CARHR260330
OG0000208	AL7G11510	CARHR247220
OG0000208	AL8G26210, AL311U10010	CARHR264830
OG0000210	AL3G42400, AL3G42420	CARHR102810, CARHR103310
OG0000210	AL3G42410	CARHR102790, CARHR102800, CARHR102820
OG0000210	AL5G13350	CARHR145910, CARHR145930
OG0000210	nbis-gene-1199	CARHR145900
OG0000210	AL4G28810, AL4G28800	CARHR127190
OG0000210	nbis-gene-1071	CARHR127170
OG0000213	AL3G21810	CARHR084950
OG0000213	AL4G12610	CARHR292800, CARHR292790
OG0000213	AL4G12560, AL4G12620	CARHR292750, CARHR257100
OG0000213	AL4G12650, AL4G12640, AL4G12670	CARHR292760, CARHR285920
OG0000214	AL6G51540	CARHR101750
OG0000214	AL6G50960	CARHR250390, CARHR248840, CARHR250400, CARHR250050
OG0000216	AL7G31490	CARHR229000, CARHR229580
OG0000216	nbis-gene-292	CARHR229020
OG0000216	AL7G31500, AL7G30780, AL7G31520	CARHR229730
OG0000216	nbis-gene-1800	CARHR229010, CARHR229070, CARHR229050, CARHR229110
OG0000217	AL2G17650, AL2G17830, AL2G17810	CARHR284070
OG0000217	AL1G65670	CARHR283900
OG0000217	AL2G17250	CARHR283730
OG0000217	AL2G16980	CARHR053930
OG0000218	AL1G26980, AL1G27000	CARHR015470
OG0000218	AL1G27010	CARHR015480
OG0000218	AL5G15240	CARHR147290
OG0000218	AL5G10550, AL5G13150, AL5G10520	CARHR144080
OG0000219	AL2G25070, AL2G25100	CARHR058980
OG0000219	nbis-gene-1615	CARHR185210, CARHR185220, CARHR233800
