Orthogroup	Brassica_oleracea	Arabis_alpina
OG0000012	XP_013639372.1, XP_013624793.1, XP_013613506.1, XP_013623455.1, XP_013626439.1, XP_013611088.1, XP_013612972.1, XP_013594278.1, XP_013608173.1, XP_013617074.1, XP_013632853.1, XP_013632664.1, XP_013583440.1, XP_013608356.1, XP_013594808.1, XP_013632621.1, XP_013624069.1, XP_013589134.1, XP_013617725.1, XP_013617879.1, XP_013632620.1, XP_013589147.1, XP_013594932.1, XP_013607434.1, XP_013632771.1, XP_013632776.1, XP_013633419.1, XP_013584775.1, XP_013608370.1, XP_013589462.1, XP_013631748.1, XP_013601625.1, XP_013624348.1, XP_013639143.1, XP_013608057.1, XP_013624389.1, XP_013617337.1, XP_013623757.1, XP_013617763.1, XP_013632469.1, XP_013617104.1, XP_013624952.1	Aa_G727670.h1.t1
OG0000012	XP_013633088.1, XP_013616799.1, XP_013617880.1, XP_013594971.1, XP_013639268.1	Aa_G1031570.h1.t1
OG0000012	XP_013601728.1, XP_013626826.1, XP_013607511.1, XP_013607859.1	Aa_G378160.h1.t1, Aa_G870430.h1.t1
OG0000014	XP_013607832.1	Aa_G17450.h1.t1
OG0000015	XP_013608212.1	Aa_G76160.h1.t1, Aa_G847620.h1.t1, Aa_G254670.h1.t1, Aa_G384790.h1.t1, Aa_G227990.h1.t1, Aa_G133470.h1.t1, Aa_G73740.h1.t1, Aa_G112930.h1.t1, Aa_G57320.h1.t1, Aa_G391620.h1.t1, Aa_G433440.h1.t1, Aa_G124950.h1.t1, Aa_G812290.h1.t1, Aa_G811960.h1.t1, Aa_G596150.h1.t1, Aa_G144110.h1.t1, Aa_G569340.h1.t1, Aa_G43930.h1.t1, Aa_G11210.h1.t1, Aa_G329640.h1.t1, Aa_G516610.h1.t1, Aa_G747790.h1.t1, Aa_G737830.h1.t1, Aa_G260070.h1.t1, Aa_G564630.h1.t1, Aa_G115590.h1.t1, Aa_G592580.h1.t1, Aa_G411050.h1.t1, Aa_G121380.h1.t1, Aa_G212210.h1.t1
OG0000015	XP_013614071.1	Aa_G962140.h1.t1
OG0000015	XP_013614992.1	Aa_G12580.h1.t1, Aa_G1870.h1.t1, Aa_G564620.h1.t1, Aa_G201940.h1.t1, Aa_G367160.h1.t1, Aa_G253910.h1.t1, Aa_G1010780.h1.t1, Aa_G461040.h1.t1
OG0000015	XP_013617324.1	Aa_G413430.h1.t1, Aa_G252900.h1.t1
OG0000015	XP_013617384.1	Aa_G11720.h1.t1
OG0000016	YP_004927455.1, XP_013617545.1	Aa_G540.h1.t1, Aa_G280.h1.t1
OG0000016	XP_013589195.1, XP_013588937.1, XP_013639541.1, XP_013615067.1	Aa_G590.h1.t1
OG0000020	XP_013632401.1, XP_013624672.1, XP_013594657.1, XP_013601111.1, XP_013613669.1, XP_013589042.1, XP_013589244.1, XP_013632054.1, XP_013626814.1, XP_013616921.1, XP_013626793.1, XP_013601623.1, XP_013617516.1, XP_013624895.1, XP_013632844.1, XP_013615448.1, XP_013624951.1, XP_013601120.1, XP_013617481.1, XP_013633218.1, XP_013633384.1, XP_013601147.1, XP_013624224.1, XP_013591412.1, XP_013617648.1, XP_013589099.1, XP_013632836.1, XP_013585421.1	Aa_G135640.h1.t1
OG0000022	XP_013611057.1	Aa_G447870.h1.t1
OG0000022	XP_013606166.1	Aa_G319760.h1.t1, Aa_G683730.h1.t1
OG0000022	XP_013601836.1, XP_013605059.1, XP_013600826.1, XP_013605038.1, XP_013605927.1, XP_013600508.1, XP_013601046.1, XP_013599992.1	Aa_G291980.h1.t1, Aa_G291990.h1.t1, Aa_G291960.h1.t1, Aa_G328340.h1.t1
OG0000022	XP_013603447.1	Aa_G22660.h1.t1
OG0000022	XP_013635968.1, XP_013609571.1	Aa_G97120.h1.t1
OG0000023	XP_013633092.1	Aa_G50170.h1.t1
OG0000023	XP_013617060.1	Aa_G297380.h1.t1
OG0000024	XP_013605203.1	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1
OG0000024	XP_013624897.1	Aa_G230140.h1.t1
OG0000025	XP_013594300.1, XP_013624523.1, XP_013617280.1, XP_013617956.1, XP_013617323.1, XP_013624743.1, XP_013624373.1, XP_013601470.1, XP_013608415.1, XP_013639630.1, XP_013617729.1, XP_013617322.1, XP_013617843.1, XP_013607938.1, XP_013633143.1, XP_013624503.1, XP_013589098.1, XP_013624803.1, XP_013617279.1, XP_013589093.1, XP_013624057.1, XP_013613890.1, XP_013615021.1, XP_013631055.1, XP_013639470.1, XP_013624796.1, XP_013608134.1, XP_013633125.1, XP_013622540.1, XP_013607923.1, XP_013617624.1, XP_013623937.1, XP_013589161.1, XP_013589474.1, XP_013624039.1, XP_013625401.1, XP_013633137.1, XP_013617519.1, XP_013589471.1, XP_013624655.1, XP_013624950.1, XP_013617179.1, XP_013594903.1, XP_013626805.1, XP_013632787.1, XP_013617500.1, XP_013633014.1, XP_013589304.1, XP_013589043.1, XP_013607489.1, XP_013601110.1, XP_013630835.1, XP_013607866.1, XP_013633381.1, XP_013617480.1, XP_013615038.1, XP_013639661.1	Aa_G387540.h1.t1
OG0000026	XP_013624845.1, XP_013617677.1, XP_013639735.1, XP_013614002.1, XP_013608308.1	Aa_G283920.h1.t1, Aa_G56940.h1.t1, Aa_G262080.h1.t1
OG0000027	XP_013598807.1, XP_013598703.1, XP_013598794.1, XP_013598729.1, XP_013595256.1, XP_013595247.1, XP_013598658.1	Aa_G200970.h1.t1
OG0000027	XP_013626677.1	Aa_G92870.h1.t1, Aa_G92760.h1.t1, Aa_G494730.h1.t1
OG0000027	XP_013595244.1	Aa_G522580.h1.t1
OG0000027	XP_013625142.1	Aa_G200900.h1.t1
OG0000027	XP_013617506.1	Aa_G597270.h1.t1
OG0000028	XP_013597573.1, XP_013621193.1, XP_013608141.1, XP_013596721.1, XP_013597575.1, XP_013608214.1	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1
OG0000028	XP_013614694.1, XP_013624781.1, XP_013626875.1, XP_013614695.1, XP_013624780.1, XP_013624779.1, XP_013625541.1, XP_013589427.1, XP_013589428.1, XP_013589429.1, XP_013615643.1, XP_013614785.1, XP_013626289.1	Aa_G123410.h1.t1, Aa_G71570.h1.t1, Aa_G123400.h1.t1
OG0000028	XP_013617015.1, XP_013617014.1	Aa_G553200.h1.t1
OG0000029	XP_013639358.1, XP_013607940.1, XP_013594529.1, XP_013632897.1, XP_013589092.1	Aa_G248570.h1.t1
OG0000029	XP_013589171.1, XP_013614958.1, XP_013594720.1, XP_013615262.1, XP_013594302.1	Aa_G288600.h1.t1, Aa_G637980.h1.t1, Aa_G988890.h1.t1
OG0000030	XP_013634175.1, XP_013615698.1, XP_013593493.1	Aa_G152820.h1.t1
OG0000032	XP_013627760.1, XP_013633361.1, XP_013601359.1	Aa_G907350.h1.t1
OG0000034	XP_013595252.1, XP_013595253.1, XP_013598717.1	Aa_G782810.h1.t1, Aa_G619140.h1.t1
OG0000034	XP_013595246.1, XP_013595249.1	Aa_G191730.h1.t1
OG0000034	XP_013594180.1	Aa_G58870.h2.t1, Aa_G58870.h1.t1, Aa_G58900.h1.t1, Aa_G58880.h1.t1, Aa_G58910.h1.t1, Aa_G317980.h1.t1
OG0000034	XP_013598071.1	Aa_G58920.h1.t1
OG0000034	XP_013624956.1	Aa_G191750.h1.t1, Aa_G92790.h1.t1, Aa_G92810.h1.t1
OG0000034	XP_013593131.1, XP_013626222.1	Aa_G191690.h1.t1
OG0000034	XP_013598676.1	Aa_G92800.h1.t1
OG0000035	XP_013636991.1	Aa_G7660.h1.t1
OG0000035	XP_013607885.1, XP_013618965.1	Aa_G44290.h1.t1
OG0000035	XP_013591294.1, XP_013589634.1, XP_013619342.1, XP_013609967.1, XP_013610013.1, XP_013613456.1, XP_013608076.1	Aa_G275180.h1.t1, Aa_G417510.h1.t1, Aa_G75180.h1.t1, Aa_G54410.h1.t1
OG0000035	XP_013591120.1	Aa_G195780.h1.t1
OG0000038	XP_013594540.1	Aa_G117940.h1.t1
OG0000041	XP_013624430.1	Aa_G135690.h1.t1
OG0000042	XP_013630837.1	Aa_G834810.h1.t1
OG0000042	XP_013594980.1, XP_013624692.1	Aa_G392560.h1.t1, Aa_G500830.h1.t1
OG0000042	XP_013632400.1, XP_013584806.1	Aa_G273270.h1.t1, Aa_G517310.h1.t1, Aa_G660430.h1.t1, Aa_G361630.h1.t1, Aa_G569810.h1.t1, Aa_G61910.h1.t1
OG0000043	XP_013593469.1, XP_013639450.1	Aa_G30.h1.t1
OG0000044	XP_013624330.1	Aa_G208060.h1.t1
OG0000044	XP_013611210.1, XP_013619061.1	Aa_G313590.h1.t1
OG0000044	XP_013608422.1	Aa_G33030.h1.t1
OG0000044	XP_013599363.1	Aa_G295940.h1.t1
OG0000044	XP_013610918.1	Aa_G208030.h1.t1
OG0000046	XP_013633177.1	Aa_G882110.h35.t1, Aa_G882110.h11.t1, Aa_G882110.h19.t1, Aa_G882110.h5.t1, Aa_G882110.h24.t1, Aa_G882110.h29.t1, Aa_G882110.h7.t1, Aa_G882110.h33.t1, Aa_G882110.h21.t1, Aa_G882110.h12.t1, Aa_G882110.h30.t1, Aa_G882110.h27.t1, Aa_G882110.h34.t1, Aa_G882110.h25.t1, Aa_G882110.h1.t1, Aa_G882110.h14.t1, Aa_G882110.h9.t1, Aa_G882110.h8.t1, Aa_G882110.h23.t1, Aa_G882110.h13.t1, Aa_G882110.h3.t1, Aa_G882110.h26.t1, Aa_G882110.h32.t1, Aa_G882110.h16.t1, Aa_G882110.h18.t1, Aa_G882110.h22.t1, Aa_G882110.h15.t1, Aa_G882110.h2.t1, Aa_G882110.h10.t1, Aa_G882110.h17.t1, Aa_G882110.h6.t1, Aa_G882110.h31.t1, Aa_G882110.h4.t1, Aa_G882110.h20.t1, Aa_G882110.h28.t1, Aa_G675110.h1.t1
OG0000047	XP_013617583.1, XP_013594417.1, XP_013624590.1, XP_013594346.1, XP_013628856.1, XP_013614062.1, XP_013639583.1, XP_013617593.1, XP_013601233.1, XP_013639614.1, XP_013601190.1, XP_013632786.1, XP_013614080.1, XP_013594473.1, XP_013589247.1, XP_013632754.1, XP_013614636.1, XP_013617455.1, XP_013639658.1, XP_013608048.1, XP_013608046.1, XP_013639728.1, XP_013594618.1, XP_013608033.1, XP_013608211.1, XP_013607947.1, XP_013627916.1, XP_013624649.1, XP_013617457.1, XP_013594508.1, XP_013628886.1, XP_013594416.1, XP_013614878.1, XP_013613732.1, XP_013624624.1, XP_013594495.1, XP_013594509.1, XP_013628330.1, XP_013632748.1, XP_013613700.1, XP_013594348.1, XP_013594344.1, XP_013601121.1, XP_013639714.1, XP_013624583.1, XP_013624431.1, XP_013633404.1, XP_013588883.1, XP_013594571.1, XP_013632795.1, XP_013624586.1, XP_013613730.1, XP_013624575.1, XP_013613469.1, XP_013639543.1, XP_013608051.1, XP_013601262.1, XP_013594511.1, XP_013613572.1, XP_013628021.1, XP_013617532.1, XP_013594664.1, XP_013617638.1, XP_013608316.1, XP_013594347.1, XP_013624567.1, XP_013594342.1, XP_013608032.1, XP_013594569.1, XP_013614063.1, XP_013614003.1, XP_013601163.1, XP_013624577.1, XP_013639711.1, XP_013632837.1, XP_013594494.1, XP_013607922.1, XP_013594345.1, XP_013594469.1, XP_013624607.1, XP_013601293.1, XP_013624644.1, XP_013617456.1, XP_013624589.1	Aa_G631350.h1.t1
OG0000048	XP_013634025.1	Aa_G20510.h1.t1
OG0000048	XP_013589584.1, XP_013619895.1	Aa_G154560.h1.t1
OG0000048	XP_013610681.1, XP_013633506.1, XP_013633508.1, XP_013632602.1, XP_013634597.1, XP_013634026.1	Aa_G584300.h1.t1
OG0000048	XP_013635430.1, XP_013635523.1, XP_013635377.1, XP_013635414.1, XP_013585248.1, XP_013632139.1, XP_013634956.1, XP_013633670.1, XP_013635604.1, XP_013635413.1, XP_013635393.1, XP_013635714.1	Aa_G312310.h1.t1
OG0000050	XP_013617131.1	Aa_G560070.h1.t1, Aa_G559960.h1.t1, Aa_G637230.h1.t1
OG0000050	XP_013617130.1	Aa_G263310.h1.t1, Aa_G634370.h1.t1, Aa_G7430.h1.t1
OG0000051	XP_013609148.1, XP_013623987.1, XP_013601904.1	Aa_G217710.h1.t1, Aa_G818500.h2.t1, Aa_G818500.h1.t1, Aa_G18920.h1.t1
OG0000051	XP_013635946.1, XP_013623985.1	Aa_G399340.h1.t1
OG0000051	XP_013589464.1, XP_013610001.1	Aa_G592860.h1.t1, Aa_G678670.h1.t1
OG0000051	XP_013623984.1	Aa_G599340.h1.t1
OG0000052	XP_013610604.1	Aa_G696490.h1.t1
OG0000052	XP_013615703.1, XP_013630964.1	Aa_G521750.h1.t1
OG0000052	XP_013636207.1, XP_013636206.1	Aa_G712070.h1.t1
OG0000055	XP_013627468.1	Aa_G5070.h1.t1, Aa_G432690.h1.t1
OG0000055	XP_013609840.1	Aa_G253800.h1.t1
OG0000056	XP_013631517.1, XP_013607317.1, XP_013616526.1, XP_013625145.1, XP_013601283.1, XP_013631987.1	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1
OG0000056	XP_013615259.1, XP_013588767.1, XP_013611134.1	Aa_G162440.h1.t1
OG0000058	XP_013595076.1, XP_013611257.1, XP_013589048.1, XP_013617878.1	Aa_G444220.h1.t1
OG0000058	XP_013617663.1, XP_013639834.1, XP_013617679.1, XP_013627147.1, XP_013608105.1, XP_013615368.1, XP_013639532.1, XP_013632562.1, XP_013624216.1, XP_013632506.1, XP_013617639.1, XP_013617202.1, XP_013633937.1, XP_013617146.1, XP_013639508.1, XP_013617228.1, XP_013589295.1, XP_013623959.1	Aa_G527390.h1.t1
OG0000060	XP_013632073.1	Aa_G33920.h6.t1
OG0000060	XP_013637962.1	Aa_G550780.h8.t1, Aa_G375890.h5.t1
OG0000060	XP_013625358.1	Aa_G367650.h6.t1
OG0000060	XP_013602591.1	Aa_G448310.h2.t1
OG0000060	XP_013600442.1	Aa_G550780.h3.t1
OG0000060	XP_013622579.1	Aa_G375890.h4.t1, Aa_G257700.h1.t1
OG0000060	XP_013605168.1	Aa_G33920.h8.t1, Aa_G318860.h1.t1, Aa_G257700.h4.t1
OG0000060	XP_013588638.1	Aa_G33920.h2.t1, Aa_G197130.h6.t1
OG0000060	XP_013583915.1	Aa_G448310.h1.t1, Aa_G367650.h4.t1
OG0000060	XP_013615993.1, XP_013623511.1	Aa_G375890.h3.t1
OG0000060	XP_013633957.1	Aa_G318860.h8.t1, Aa_G550780.h1.t1, Aa_G550780.h4.t1
OG0000061	XP_013589998.1	Aa_G197580.h1.t1
OG0000062	XP_013589201.1, XP_013628127.1, XP_013616946.1	Aa_G8040.h1.t1
OG0000063	XP_013624876.1	Aa_G677680.h1.t1, Aa_G821820.h1.t1
OG0000063	XP_013594756.1	Aa_G186650.h1.t1
OG0000065	XP_013632687.1	Aa_G369740.h1.t1
OG0000065	XP_013592001.1, XP_013603316.1, XP_013591999.1, XP_013613925.1, XP_013591996.1, XP_013616106.1, XP_013620167.1, XP_013591997.1, XP_013615935.1, XP_013613580.1, XP_013613911.1, XP_013615300.1, XP_013620953.1, XP_013617106.1	Aa_G756440.h1.t1, Aa_G190950.h1.t1
OG0000065	XP_013592178.1	Aa_G439610.h1.t1
OG0000065	XP_013634420.1	Aa_G574220.h1.t1
OG0000065	XP_013635767.1	Aa_G120780.h1.t1, Aa_G120790.h1.t1, Aa_G508110.h1.t1
OG0000066	XP_013631332.1	Aa_G37430.h4.t1
OG0000066	XP_013629194.1	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1
OG0000068	XP_013610551.1, XP_013611652.1, XP_013606907.1, XP_013623793.1, XP_013626885.1	Aa_G484940.h1.t1, Aa_G389030.h1.t1
OG0000068	XP_013635194.1, XP_013630844.1, XP_013633412.1, XP_013633440.1, XP_013588036.1, XP_013623517.1, XP_013602672.1, XP_013629845.1, XP_013626915.1, XP_013623813.1, XP_013627886.1	Aa_G176470.h1.t1, Aa_G602860.h1.t1, Aa_G602850.h1.t1
OG0000069	XP_013617969.1, XP_013590488.1, XP_013609088.1	Aa_G20960.h1.t1
OG0000069	XP_013639643.1	Aa_G24420.h1.t1
OG0000069	XP_013615731.1, XP_013634820.1	Aa_G524570.h1.t1, Aa_G826060.h1.t1, Aa_G500310.h1.t1, Aa_G4440.h1.t1
OG0000070	XP_013620477.1, XP_013596659.1, XP_013610618.1	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1
OG0000070	XP_013596729.1, XP_013597497.1, XP_013615827.1, XP_013628560.1	Aa_G433160.h1.t1, Aa_G266320.h1.t1
OG0000070	XP_013591920.1, XP_013588434.1, XP_013616229.1	Aa_G410840.h1.t1
OG0000070	XP_013590715.1, XP_013590802.1, XP_013603439.1	Aa_G273730.h1.t1
OG0000072	XP_013607982.1	Aa_G243550.h1.t1
OG0000072	XP_013596572.1, XP_013614874.1	Aa_G505780.h1.t1
OG0000072	XP_013632615.1	Aa_G880340.h1.t1, Aa_G204510.h1.t1, Aa_G233100.h1.t1, Aa_G9790.h1.t1
OG0000072	XP_013624988.1	Aa_G101840.h1.t1
OG0000075	XP_013602439.1, XP_013596173.1, XP_013602527.1, XP_013622394.1, XP_013618964.1, XP_013619645.1	Aa_G374860.h1.t1, Aa_G374850.h1.t1
OG0000076	XP_013598018.1	Aa_G137810.h1.t1
OG0000077	XP_013619910.1	Aa_G683270.h1.t1
OG0000077	XP_013586946.1	Aa_G161010.h1.t1
OG0000078	XP_013595132.1	Aa_G339750.h1.t1, Aa_G339690.h1.t1, Aa_G438190.h1.t1, Aa_G759390.h1.t1
OG0000078	XP_013621464.1, XP_013616580.1	Aa_G253710.h1.t1
OG0000079	XP_013634828.1, XP_013583409.1, XP_013639827.1, XP_013588116.1, XP_013594953.1, XP_013624305.1, XP_013614606.1, XP_013617685.1, XP_013617550.1, XP_013617194.1, XP_013639436.1, XP_013623727.1, XP_013594276.1, XP_013589590.1, XP_013583246.1, XP_013617780.1, XP_013633220.1, XP_013607786.1, XP_013608501.1, XP_013624109.1	Aa_G160120.h1.t1
OG0000083	XP_013594773.1, XP_013623993.1	Aa_G871750.h1.t1
OG0000084	XP_013637133.1	Aa_G572590.h1.t1
OG0000084	XP_013598962.1	Aa_G204550.h1.t1
OG0000084	XP_013607493.1	Aa_G896890.h1.t1
OG0000084	XP_013601082.1	Aa_G263490.h1.t1
OG0000084	XP_013624725.1, XP_013594835.1	Aa_G370540.h1.t1
OG0000086	XP_013633763.1	Aa_G220980.h1.t1, Aa_G221010.h1.t1, Aa_G483980.h1.t1, Aa_G221000.h1.t1
OG0000086	XP_013588679.1, XP_013590467.1	Aa_G703520.h1.t1
OG0000089	XP_013598457.1	Aa_G630880.h1.t1
OG0000089	XP_013637001.1, XP_013636732.1	Aa_G199760.h1.t1
OG0000089	XP_013611442.1	Aa_G256660.h1.t1
OG0000089	XP_013620476.1, XP_013612217.1, XP_013598244.1	Aa_G103150.h1.t1
OG0000089	XP_013636563.1	Aa_G562810.h1.t1
OG0000089	XP_013592047.1	Aa_G656110.h1.t1
OG0000091	XP_013612192.1	Aa_G123680.h1.t1, Aa_G100910.h1.t1
OG0000091	XP_013627653.1, XP_013607358.1	Aa_G15590.h1.t1
OG0000091	XP_013631070.1	Aa_G15570.h1.t1
OG0000091	XP_013629254.1	Aa_G89050.h1.t1
OG0000095	XP_013631674.1	Aa_G54460.h1.t1
OG0000095	XP_013635569.1, XP_013637583.1	Aa_G271110.h1.t1
OG0000095	XP_013596948.1, XP_013625121.1	Aa_G155650.h1.t1
OG0000100	XP_013611228.1, XP_013611226.1, XP_013608605.1	Aa_G65750.h1.t1, Aa_G65880.h1.t1, Aa_G65780.h1.t1, Aa_G65770.h1.t1, Aa_G65760.h1.t1
OG0000102	XP_013599827.1, XP_013584794.1	Aa_G42050.h1.t1
OG0000103	XP_013595026.1, XP_013608190.1, XP_013589407.1, XP_013632911.1, XP_013601398.1	Aa_G210380.h1.t1, Aa_G865350.h1.t1, Aa_G384960.h1.t1
OG0000105	XP_013604666.1	Aa_G117390.h1.t1
OG0000105	XP_013584232.1, XP_013624802.1	Aa_G84880.h1.t1
OG0000106	XP_013617771.1, XP_013601854.1	Aa_G616180.h1.t1
OG0000106	XP_013617293.1	Aa_G456270.h1.t1
OG0000106	XP_013623159.1, XP_013624755.1, XP_013624609.1	Aa_G32140.h1.t1
OG0000107	XP_013586700.1	Aa_G115060.h1.t1
OG0000107	XP_013638671.1	Aa_G323970.h1.t1
OG0000107	XP_013615032.1, XP_013583762.1, XP_013639727.1	Aa_G323960.h1.t1
OG0000107	XP_013602900.1	Aa_G641990.h1.t1, Aa_G247880.h1.t1, Aa_G323940.h1.t1, Aa_G341070.h1.t1
OG0000108	XP_013617448.1, XP_013629514.1, XP_013636515.1, XP_013636180.1	Aa_G367680.h1.t1, Aa_G576740.h1.t1
OG0000108	XP_013623319.1	Aa_G99370.h1.t1
OG0000108	XP_013607279.1	Aa_G27970.h1.t1
OG0000108	XP_013587485.1	Aa_G5290.h1.t1
OG0000108	XP_013591456.1	Aa_G537640.h1.t1
OG0000108	XP_013611822.1, XP_013629368.1, XP_013620685.1	Aa_G152880.h1.t1
OG0000110	XP_013600964.1, XP_013609595.1, XP_013639169.1, XP_013617798.1, XP_013624429.1, XP_013594148.1, XP_013639536.1, XP_013589681.1, XP_013639703.1	Aa_G32020.h1.t1
OG0000113	XP_013589436.1, XP_013633215.1	Aa_G35860.h1.t1
OG0000114	XP_013594356.1	Aa_G361230.h1.t1, Aa_G861160.h1.t1, Aa_G122790.h1.t1
OG0000114	XP_013639277.1, XP_013632447.1, XP_013626985.1, XP_013614501.1, XP_013632702.1, XP_013627948.1	Aa_G327480.h1.t1, Aa_G743610.h1.t1, Aa_G305670.h1.t1, Aa_G152040.h1.t1, Aa_G300900.h1.t1, Aa_G718680.h1.t1
OG0000115	XP_013594843.1, XP_013623916.1	Aa_G264010.h1.t1
OG0000115	XP_013601394.1	Aa_G830510.h2.t1, Aa_G830510.h1.t1, Aa_G415050.h1.t1, Aa_G159330.h1.t1, Aa_G159330.h2.t1
OG0000115	XP_013632454.1	Aa_G1023650.h1.t1
OG0000115	XP_013613811.1, XP_013617115.1, XP_013589542.1, XP_013623819.1, XP_013632573.1, XP_013639801.1, XP_013617952.1, XP_013633409.1, XP_013601905.1	Aa_G447930.h1.t1, Aa_G30380.h1.t1
OG0000115	XP_013608426.1, XP_013633265.1, XP_013614464.1	Aa_G490590.h1.t1
OG0000116	XP_013624699.1, XP_013614960.1, XP_013617705.1, XP_013624600.1, XP_013590002.1, XP_013624601.1, XP_013619242.1, XP_013610162.1, XP_013615166.1, XP_013617423.1, XP_013617165.1, XP_013637479.1, XP_013594379.1, XP_013594380.1, XP_013617424.1, XP_013584766.1, XP_013636250.1, XP_013626247.1, XP_013615167.1, XP_013615592.1, XP_013589668.1, XP_013594376.1	Aa_G31310.h1.t1
OG0000116	XP_013609851.1	Aa_G65480.h1.t1
OG0000117	XP_013586913.1	Aa_G349950.h1.t1
