Orthogroup	Brassica_oleracea	Rorippa_islandica
OG0000012	XP_013639372.1, XP_013624793.1, XP_013613506.1, XP_013623455.1, XP_013626439.1, XP_013611088.1, XP_013612972.1, XP_013594278.1, XP_013608173.1, XP_013617074.1, XP_013632853.1, XP_013632664.1, XP_013583440.1, XP_013608356.1, XP_013594808.1, XP_013632621.1, XP_013624069.1, XP_013589134.1, XP_013617725.1, XP_013617879.1, XP_013632620.1, XP_013589147.1, XP_013594932.1, XP_013607434.1, XP_013632771.1, XP_013632776.1, XP_013633419.1, XP_013584775.1, XP_013608370.1, XP_013589462.1, XP_013631748.1, XP_013601625.1, XP_013624348.1, XP_013639143.1, XP_013608057.1, XP_013624389.1, XP_013617337.1, XP_013623757.1, XP_013617763.1, XP_013632469.1, XP_013617104.1, XP_013624952.1	Roisl.0053s0082.1.p, Roisl.0012s0308.1.p, Roisl.0214s0226.1.p, Roisl.0046s0274.1.p, Roisl.0189s0022.1.p, Roisl.0189s0021.1.p, Roisl.0053s0277.1.p, Roisl.0012s0313.1.p, Roisl.0011s0567.1.p, Roisl.0198s0021.1.p, Roisl.0082s0083.1.p
OG0000014	XP_013595642.1, XP_013639554.1	Roisl.0071s0016.1.p, Roisl.0036s0113.1.p, Roisl.0214s0188.1.p, Roisl.0012s0102.1.p, Roisl.0053s0340.1.p, Roisl.0209s0503.1.p, Roisl.0194s0016.1.p
OG0000014	XP_013602381.1	Roisl.0185s0037.1.p, Roisl.0066s0434.1.p
OG0000014	XP_013634434.1	Roisl.0055s0030.1.p
OG0000014	XP_013613796.1	Roisl.0021s0586.1.p
OG0000014	XP_013632655.1	Roisl.0214s0221.1.p
OG0000014	XP_013614685.1	Roisl.0066s0054.1.p, Roisl.0028s0694.1.p, Roisl.0082s0210.1.p, Roisl.0020s0166.1.p
OG0000014	XP_013607832.1	Roisl.0111s0029.1.p, Roisl.0050s0113.1.p, Roisl.0050s0122.1.p, Roisl.0209s0681.1.p, Roisl.0184s0043.1.p, Roisl.0066s0348.1.p, Roisl.0202s0002.1.p, Roisl.0066s0452.1.p, Roisl.0087s0027.1.p, Roisl.0075s0232.1.p, Roisl.0204s0101.1.p, Roisl.0179s0033.1.p, Roisl.0045s0064.1.p, Roisl.0040s0043.1.p, Roisl.0184s0044.1.p, Roisl.0184s0162.1.p, Roisl.0056s0049.1.p, Roisl.0191s0708.1.p, Roisl.0188s0121.1.p, Roisl.0075s0002.1.p
OG0000014	XP_013607986.1, XP_013594427.1, XP_013632760.1, XP_013631670.1	Roisl.0214s0420.1.p, Roisl.0058s0048.1.p, Roisl.0020s0183.1.p, Roisl.0012s0051.1.p, Roisl.0214s0915.1.p, Roisl.0179s0062.1.p, Roisl.0082s0454.1.p, Roisl.0064s0002.1.p, Roisl.0185s0078.1.p, Roisl.0213s0587.1.p, Roisl.0066s0172.1.p, Roisl.0082s0607.1.p, Roisl.0009s0256.1.p, Roisl.0019s0087.1.p, Roisl.0053s0039.1.p, Roisl.0009s0006.1.p, Roisl.0209s0538.1.p, Roisl.0058s0116.1.p, Roisl.0051s0028.1.p, Roisl.0213s0759.1.p, Roisl.0188s0034.1.p, Roisl.0214s0180.1.p, Roisl.0023s0031.1.p, Roisl.0184s0053.1.p, Roisl.0053s0422.1.p, Roisl.0189s0189.1.p, Roisl.0210s2165.1.p, Roisl.0038s0010.1.p, Roisl.0214s0038.1.p
OG0000014	XP_013616976.1	Roisl.0214s0137.1.p
OG0000015	XP_013613391.1, XP_013614315.1, XP_013634793.1, XP_013594601.1, XP_013615211.1, XP_013615599.1, XP_013615204.1	Roisl.0010s0007.1.p
OG0000015	XP_013601204.1	Roisl.0006s0026.1.p
OG0000015	XP_013639376.1, XP_013583421.1, XP_013607863.1	Roisl.0006s0132.1.p
OG0000015	XP_013615586.1	Roisl.0053s0047.1.p
OG0000016	XP_013633483.1	Roisl.0210s2086.1.p
OG0000016	XP_013601237.1	Roisl.0056s0002.1.p, Roisl.0204s0078.1.p, Roisl.0014s0045.1.p, Roisl.0022s0004.1.p, Roisl.0051s0024.1.p, Roisl.0191s0695.1.p, Roisl.0037s0070.1.p, Roisl.0014s0081.1.p, Roisl.0191s0696.1.p, Roisl.0198s0069.1.p, Roisl.0045s0104.1.p, Roisl.0188s0113.1.p, Roisl.0066s0455.1.p, Roisl.0209s0113.1.p, Roisl.0010s0006.1.p, Roisl.0010s0033.1.p, Roisl.0021s0629.1.p, Roisl.0012s0009.1.p, Roisl.0047s0071.1.p, Roisl.0194s0081.1.p, Roisl.0195s0028.1.p, Roisl.0204s0103.1.p, Roisl.0066s0451.1.p, Roisl.0053s0073.1.p, Roisl.0031s0054.1.p, Roisl.0209s0492.1.p, Roisl.0056s0030.1.p, Roisl.0040s0030.1.p, Roisl.0184s0052.1.p, Roisl.0209s0071.1.p, Roisl.0082s0458.1.p, Roisl.0014s0005.1.p, Roisl.0066s0372.1.p, Roisl.0193s0008.1.p, Roisl.0204s0174.1.p, Roisl.0214s0125.1.p, Roisl.0053s0030.1.p, Roisl.0058s0118.1.p, Roisl.0031s0021.1.p, Roisl.0082s0455.1.p, Roisl.0013s0158.1.p, Roisl.0019s0071.1.p, Roisl.0041s0049.1.p, Roisl.0040s0015.1.p, Roisl.0082s0453.1.p
OG0000016	XP_013594817.1	Roisl.0066s0398.1.p, Roisl.0045s0086.1.p, Roisl.0124s0004.1.p
OG0000016	XP_013639478.1, XP_013601287.1, XP_013614061.1	Roisl.0214s0061.1.p, Roisl.0031s0055.1.p, Roisl.0213s0004.1.p, Roisl.0194s0052.1.p
OG0000016	XP_013589181.1	Roisl.0209s0129.1.p
OG0000016	XP_013624264.1	Roisl.0188s0048.1.p, Roisl.0209s0119.1.p
OG0000016	XP_013630991.1	Roisl.0214s0131.1.p, Roisl.0206s0004.1.p, Roisl.0194s0031.1.p
OG0000016	XP_013589577.1	Roisl.0075s0211.1.p, Roisl.0022s0020.1.p
OG0000016	YP_004927455.1, XP_013617545.1	Roisl.0213s0002.1.p
OG0000020	XP_013601147.1, XP_013624224.1, XP_013591412.1, XP_013617648.1, XP_013589099.1, XP_013632836.1, XP_013585421.1	Roisl.0025s0020.1.p, Roisl.0204s0053.1.p, Roisl.0066s0088.1.p, Roisl.0036s0054.1.p, Roisl.0040s0004.1.p, Roisl.0214s0552.1.p, Roisl.0194s0048.1.p
OG0000020	XP_013624038.1, XP_013608147.1	Roisl.0210s2188.1.p, Roisl.0083s0053.1.p, Roisl.0037s0008.1.p, Roisl.0211s0007.1.p, Roisl.0214s0109.1.p
OG0000021	XP_013608094.1, XP_013632801.1, XP_013599600.1, XP_013589650.1, XP_013633047.1, XP_013613761.1, XP_013639394.1, XP_013601657.1, XP_013615573.1, XP_013608056.1, XP_013583415.1, XP_013624628.1	Roisl.0082s0017.1.p, Roisl.0179s0097.1.p, Roisl.0198s0008.1.p, Roisl.0023s0095.1.p, Roisl.0046s0797.1.p, Roisl.0014s0138.1.p, Roisl.0213s0355.1.p, Roisl.0006s0361.1.p, Roisl.0046s0769.1.p, Roisl.0066s0388.1.p, Roisl.0032s0086.1.p, Roisl.0005s0191.1.p, Roisl.0214s0300.1.p, Roisl.0072s0013.1.p, Roisl.0185s0094.1.p, Roisl.0188s0063.1.p, Roisl.0011s0031.1.p, Roisl.0191s0373.1.p
OG0000021	XP_013594507.1, XP_013631302.1	Roisl.0014s0139.1.p
OG0000022	XP_013590021.1	Roisl.0022s0346.1.p
OG0000022	XP_013611057.1	Roisl.0210s1365.1.p
OG0000022	XP_013606456.1	Roisl.0010s0065.1.p
OG0000022	XP_013606166.1	Roisl.0028s0598.1.p, Roisl.0010s0069.1.p
OG0000022	XP_013601047.1	Roisl.0021s0361.1.p
OG0000022	XP_013604688.1	Roisl.0021s0350.1.p
OG0000022	XP_013603447.1	Roisl.0091s0926.1.p
OG0000022	XP_013635968.1	Roisl.0009s0109.1.p
OG0000022	XP_013609571.1	Roisl.0074s0275.1.p
OG0000024	XP_013597425.1	Roisl.0015s0178.1.p
OG0000024	XP_013632478.1	Roisl.0213s0365.1.p, Roisl.0213s0382.1.p, Roisl.0213s0370.1.p, Roisl.0213s0366.1.p, Roisl.0213s0367.1.p
OG0000024	XP_013605203.1	Roisl.0026s0117.1.p, Roisl.0026s0135.1.p
OG0000024	XP_013624897.1	Roisl.0011s0535.1.p, Roisl.0011s0534.1.p, Roisl.0006s0183.1.p
OG0000025	XP_013617956.1	Roisl.0002s0230.1.p, Roisl.0062s0001.1.p, Roisl.0020s0076.1.p
OG0000026	XP_013624845.1, XP_013617677.1, XP_013639735.1, XP_013614002.1, XP_013608308.1	Roisl.0213s0871.1.p
OG0000027	XP_013624060.1	Roisl.0213s0590.1.p, Roisl.0213s0588.1.p, Roisl.0213s0583.1.p
OG0000027	XP_013598807.1	Roisl.0008s0130.1.p
OG0000027	XP_013598703.1, XP_013598794.1, XP_013598729.1	Roisl.0008s0132.1.p
OG0000027	XP_013595247.1, XP_013598658.1	Roisl.0184s0131.1.p
OG0000027	XP_013626677.1	Roisl.0184s0126.1.p
OG0000027	XP_013595103.1	Roisl.0184s0127.1.p
OG0000027	XP_013595244.1	Roisl.0184s0129.1.p
OG0000027	XP_013625142.1	Roisl.0214s0896.1.p, Roisl.0008s0079.1.p
OG0000028	XP_013597573.1, XP_013621193.1, XP_013608141.1, XP_013596721.1, XP_013597575.1	Roisl.0075s0121.1.p
OG0000028	XP_013629713.1, XP_013626427.1, XP_013624984.1, XP_013624985.1, XP_013609443.1, XP_013625644.1, XP_013629798.1	Roisl.0210s1185.1.p
OG0000028	XP_013614694.1, XP_013624781.1, XP_013626875.1	Roisl.0008s0342.1.p
OG0000029	XP_013639358.1, XP_013607940.1, XP_013594529.1, XP_013632897.1, XP_013589092.1, XP_013600973.1, XP_013600972.1, XP_013617164.1, XP_013617163.1, XP_013633388.1, XP_013632483.1, XP_013601217.1, XP_013617192.1, XP_013613525.1, XP_013607906.1, XP_013624878.1, XP_013632925.1, XP_013633078.1, XP_013615203.1, XP_013624064.1, XP_013623917.1, XP_013624131.1	Roisl.0208s0029.1.p
OG0000029	XP_013617135.1, XP_013615424.1	Roisl.0046s0705.1.p
OG0000029	XP_013614462.1, XP_013639354.1, XP_013601446.1, XP_013607781.1	Roisl.0082s0611.1.p
OG0000029	XP_013589171.1, XP_013614958.1, XP_013594720.1, XP_013615262.1, XP_013594302.1	Roisl.0210s0592.1.p, Roisl.0046s0704.1.p
OG0000030	XP_013608319.1, XP_013628311.1, XP_013628312.1	Roisl.0115s0348.1.p, Roisl.0115s0350.1.p, Roisl.0115s0351.1.p
OG0000030	XP_013615042.1	Roisl.0115s0300.1.p
OG0000030	XP_013594890.1, XP_013594892.1, XP_013593712.1, XP_013589720.1, XP_013589717.1	Roisl.0056s0019.1.p, Roisl.0046s0733.1.p, Roisl.0213s0186.1.p, Roisl.0053s0027.1.p, Roisl.0060s0006.1.p
OG0000030	XP_013624262.1	Roisl.0042s0059.1.p
OG0000030	XP_013614569.1	Roisl.0074s0641.1.p
OG0000030	XP_013634175.1, XP_013615698.1, XP_013593493.1	Roisl.0046s0886.1.p
OG0000030	XP_013633602.1	Roisl.0074s0618.1.p
OG0000031	XP_013632387.1, XP_013632408.1, XP_013623671.1	Roisl.0023s0119.1.p
OG0000031	XP_013614946.1, XP_013601644.1	Roisl.0048s0016.1.p
OG0000031	XP_013588971.1, XP_013632793.1, XP_013623955.1	Roisl.0020s0186.1.p
OG0000031	XP_013615185.1, XP_013613786.1, XP_013631555.1, XP_013624635.1, XP_013589264.1, XP_013594915.1	Roisl.0046s0265.1.p, Roisl.0027s0005.1.p, Roisl.0066s0373.1.p, Roisl.0036s0003.1.p
OG0000031	XP_013616776.1, XP_013614852.1, XP_013607758.1, XP_013583385.1	Roisl.0188s0032.1.p, Roisl.0036s0104.1.p
OG0000032	XP_013638158.1	Roisl.0021s0539.1.p
OG0000032	XP_013617329.1, XP_013624292.1, XP_013624599.1, XP_013608349.1, XP_013594377.1	Roisl.0188s0018.1.p
OG0000034	XP_013595252.1, XP_013595253.1, XP_013598717.1	Roisl.0008s0068.1.p
OG0000034	XP_013598740.1, XP_013598782.1	Roisl.0214s0895.1.p
OG0000034	XP_013594180.1	Roisl.0091s0192.1.p, Roisl.0091s0193.1.p, Roisl.0091s0191.1.p
OG0000034	XP_013598071.1	Roisl.0091s0190.1.p
OG0000034	XP_013611706.1	Roisl.0191s0566.1.p
OG0000034	XP_013598971.1	Roisl.0008s0129.1.p, Roisl.0008s0131.1.p
OG0000034	XP_013595245.1	Roisl.0019s0659.1.p
OG0000034	XP_013593131.1, XP_013626222.1	Roisl.0214s0905.1.p
OG0000035	XP_013636991.1, XP_013607885.1, XP_013618965.1	Roisl.0213s0218.1.p
OG0000038	XP_013632932.1	Roisl.0046s1475.1.p, Roisl.0209s0432.1.p
OG0000038	XP_013601144.1, YP_004927454.1	Roisl.0046s1474.1.p, Roisl.0055s0039.1.p
OG0000038	XP_013608254.1	Roisl.0024s0539.1.p
OG0000040	XP_013601552.1, XP_013616916.1, XP_013601670.1	Roisl.0066s0406.1.p, Roisl.0184s0161.1.p, Roisl.0012s0376.1.p, Roisl.0214s0030.1.p
OG0000040	XP_013639460.1, XP_013601815.1, XP_013594979.1, XP_013639304.1, XP_013624167.1, XP_013607608.1, XP_013617694.1, XP_013639357.1, XP_013633484.1, XP_013632444.1, XP_013632629.1, XP_013607766.1, XP_013601326.1, XP_013639640.1, XP_013601738.1, XP_013614391.1, XP_013633978.1, XP_013639305.1, XP_013607564.1, XP_013624085.1, XP_013601671.1, XP_013617167.1, XP_013594411.1, XP_013617203.1, XP_013601463.1, XP_013601401.1, XP_013628053.1, XP_013623499.1, XP_013624133.1, XP_013639650.1, XP_013589643.1, XP_013607732.1, XP_013608326.1	Roisl.0209s0055.1.p
OG0000041	XP_013615307.1, XP_013623756.1, XP_013639341.1, XP_013616889.1, XP_013632541.1, XP_013614613.1, XP_013639828.1, XP_013607701.1, XP_013624430.1, XP_013613797.1, XP_013608404.1, XP_013594654.1, XP_013601088.1, XP_013624202.1, XP_013589459.1	Roisl.0046s0022.1.p
OG0000042	XP_013624485.1	Roisl.0032s0094.1.p
OG0000042	XP_013589285.1	Roisl.0009s0193.1.p
OG0000042	XP_013630837.1	Roisl.0025s0036.1.p, Roisl.0022s0501.1.p
OG0000042	XP_013589127.1, XP_013624490.1	Roisl.0035s0107.1.p, Roisl.0012s0035.1.p
OG0000042	XP_013601612.1, XP_013639620.1	Roisl.0025s0035.1.p, Roisl.0048s0004.1.p
OG0000043	XP_013593469.1	Roisl.0082s0570.1.p, Roisl.0066s0301.1.p
OG0000044	XP_013628727.1	Roisl.0005s0157.1.p, Roisl.0005s0158.1.p, Roisl.0005s0160.1.p, Roisl.0005s0126.1.p, Roisl.0005s0170.1.p, Roisl.0005s0128.1.p, Roisl.0005s0129.1.p
OG0000044	XP_013611210.1	Roisl.0005s0150.1.p
OG0000044	XP_013608422.1	Roisl.0079s0325.1.p
OG0000046	XP_013633177.1	Roisl.0029s0014.1.p, Roisl.0005s0079.1.p, Roisl.0056s0010.1.p, Roisl.0208s0028.1.p, Roisl.0008s0152.1.p, Roisl.0045s0045.1.p, Roisl.0062s0016.1.p, Roisl.0198s0056.1.p, Roisl.0209s0245.1.p, Roisl.0005s0329.1.p, Roisl.0015s0173.1.p
OG0000047	XP_013624586.1, XP_013613730.1, XP_013624575.1, XP_013613469.1, XP_013639543.1, XP_013608051.1, XP_013601262.1, XP_013594511.1, XP_013613572.1	Roisl.0029s0050.1.p, Roisl.0066s0352.1.p
OG0000048	XP_013634382.1	Roisl.0214s0362.1.p
OG0000048	XP_013634025.1	Roisl.0017s0448.1.p, Roisl.0017s0447.1.p
OG0000048	XP_013589584.1, XP_013619895.1	Roisl.0028s0624.1.p, Roisl.0211s0012.1.p
OG0000048	XP_013610681.1, XP_013633506.1, XP_013633508.1, XP_013632602.1, XP_013634597.1, XP_013634026.1	Roisl.0017s0510.1.p
OG0000048	XP_013635430.1, XP_013635523.1, XP_013635377.1, XP_013635414.1, XP_013585248.1, XP_013632139.1, XP_013634956.1, XP_013633670.1, XP_013635604.1, XP_013635413.1, XP_013635393.1, XP_013635714.1	Roisl.0074s0908.1.p
OG0000050	XP_013607678.1, XP_013613937.1, XP_013617131.1, XP_013624311.1, XP_013601409.1	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p
OG0000050	XP_013617130.1	Roisl.0020s0012.1.p, Roisl.0214s0245.1.p
OG0000050	XP_013624813.1	Roisl.0082s0464.1.p
OG0000051	XP_013589464.1, XP_013610001.1	Roisl.0210s2097.1.p, Roisl.0082s0147.1.p
OG0000051	XP_013623984.1	Roisl.0028s0722.1.p
OG0000051	XP_013635332.1, XP_013615889.1, XP_013635943.1, XP_013615847.1, XP_013635331.1	Roisl.0020s0125.1.p, Roisl.0020s0130.1.p, Roisl.0020s0124.1.p
OG0000051	XP_013610546.1	Roisl.0189s0079.1.p
OG0000052	XP_013610604.1	Roisl.0019s0256.1.p, Roisl.0019s0270.1.p, Roisl.0011s0480.1.p
OG0000054	XP_013594475.1	Roisl.0191s0715.1.p, Roisl.0058s0107.1.p
OG0000054	XP_013632520.1	Roisl.0188s0036.1.p, Roisl.0036s0106.1.p, Roisl.0058s0047.1.p
OG0000054	XP_013624716.1	Roisl.0053s0423.1.p
OG0000054	XP_013614489.1	Roisl.0210s2114.1.p
OG0000055	XP_013623695.1, XP_013623796.1, XP_013628424.1, XP_013606594.1, XP_013593729.1	Roisl.0053s0213.1.p, Roisl.0001s0543.1.p, Roisl.0210s1750.1.p, Roisl.0210s1827.1.p
OG0000056	XP_013607317.1	Roisl.0209s0603.1.p, Roisl.0209s0629.1.p
OG0000056	XP_013615259.1, XP_013588767.1, XP_013611134.1, XP_013628196.1	Roisl.0209s0402.1.p
OG0000059	XP_013610732.1, XP_013627758.1, XP_013597073.1	Roisl.0209s0123.1.p, Roisl.0214s0002.1.p
OG0000059	XP_013601178.1, XP_013585552.1, XP_013585426.1, XP_013597521.1, XP_013605214.1, XP_013604150.1, XP_013628178.1, XP_013615848.1, XP_013585461.1	Roisl.0019s0008.1.p, Roisl.0027s0012.1.p, Roisl.0214s0427.1.p, Roisl.0018s0107.1.p, Roisl.0010s0148.1.p, Roisl.0214s0190.1.p
OG0000061	XP_013635264.1	Roisl.0033s0004.1.p
OG0000064	XP_013610623.1, XP_013607250.1, XP_013610669.1, XP_013607249.1, XP_013607956.1, XP_013607248.1, XP_013607251.1, XP_013610335.1, XP_013610576.1, XP_013610543.1, XP_013610675.1, XP_013610622.1	Roisl.0214s0881.1.p, Roisl.0214s0876.1.p, Roisl.0214s0874.1.p, Roisl.0214s0875.1.p, Roisl.0214s0873.1.p, Roisl.0214s0877.1.p, Roisl.0214s0880.1.p, Roisl.0214s0867.1.p, Roisl.0214s0869.1.p, Roisl.0214s0872.1.p, Roisl.0214s0870.1.p, Roisl.0214s0868.1.p, Roisl.0214s0871.1.p, Roisl.0214s0879.1.p, Roisl.0214s0878.1.p, Roisl.0214s0820.1.p, Roisl.0214s0819.1.p, Roisl.0214s0817.1.p, Roisl.0214s0816.1.p, Roisl.0214s0823.1.p, Roisl.0214s0812.1.p, Roisl.0214s0814.1.p, Roisl.0214s0818.1.p, Roisl.0214s0822.1.p, Roisl.0214s0824.1.p, Roisl.0214s0825.1.p, Roisl.0214s0821.1.p, Roisl.0214s0815.1.p, Roisl.0214s0826.1.p
OG0000065	XP_013603316.1, XP_013591999.1	Roisl.0024s0085.1.p
OG0000065	XP_013591996.1	Roisl.0024s0064.1.p
OG0000065	XP_013591997.1	Roisl.0024s0067.1.p, Roisl.0024s0060.1.p
OG0000065	XP_013613580.1	Roisl.0024s0071.1.p
OG0000065	XP_013617106.1	Roisl.0024s0076.1.p
OG0000065	XP_013620956.1	Roisl.0024s0070.1.p
OG0000065	XP_013592178.1	Roisl.0046s0037.1.p, Roisl.0046s0036.1.p, Roisl.0046s0034.1.p
OG0000065	XP_013636750.1	Roisl.0046s0029.1.p, Roisl.0046s0026.1.p
OG0000065	XP_013634420.1	Roisl.0046s0032.1.p
OG0000065	XP_013635767.1	Roisl.0213s0852.1.p
OG0000066	XP_013606481.1, XP_013621521.1, XP_013609086.1, XP_013631332.1, XP_013599938.1, XP_013637372.1, XP_013618388.1	Roisl.0210s0757.1.p, Roisl.0091s1203.1.p, Roisl.0024s0429.1.p, Roisl.0210s0756.1.p, Roisl.0024s0428.1.p
OG0000066	XP_013587978.1, XP_013629194.1, XP_013612748.1, XP_013612488.1, XP_013607869.1	Roisl.0001s0457.1.p
OG0000066	XP_013627996.1	Roisl.0007s0395.1.p
OG0000067	XP_013617582.1	Roisl.0214s0162.1.p
OG0000067	XP_013632721.1, XP_013639226.1, XP_013639577.1	Roisl.0046s0696.1.p
OG0000068	XP_013610551.1, XP_013611652.1, XP_013606907.1, XP_013623793.1, XP_013626885.1	Roisl.0034s0163.1.p
OG0000069	XP_013629093.1, XP_013626856.1	Roisl.0035s0070.1.p, Roisl.0115s0262.1.p
