Orthogroup	Brassica_oleracea	Camelina_sativa
OG0000014	XP_013613442.1, XP_013613790.1, XP_013608098.1	XP_019090131.1
OG0000014	XP_013601086.1, XP_013624639.1, XP_013632903.1	XP_019091121.1
OG0000014	XP_013616976.1	XP_019086291.1
OG0000015	XP_013607754.1, XP_013632959.1, XP_013639368.1, XP_013608444.1	XP_010412881.1, XP_010463160.1
OG0000015	XP_013608212.1	XP_019098184.1, XP_010412474.1
OG0000015	XP_013614071.1	XP_010480818.1, XP_010497195.1, XP_010456599.1
OG0000015	XP_013639551.1, XP_013614992.1, XP_013617706.1, XP_013617083.1, XP_013615209.1, XP_013617324.1	XP_010418862.1, XP_019084456.1, XP_019090265.1, XP_010497072.1, XP_010501828.1, XP_010496259.1
OG0000015	XP_013613391.1, XP_013614315.1, XP_013634793.1, XP_013594601.1, XP_013615211.1, XP_013615599.1, XP_013615204.1	XP_010451702.1, XP_010497067.1, XP_010495723.1, XP_010430713.1, XP_010424221.1, XP_010497070.1, XP_019101930.1, XP_010481012.1, XP_010513208.1
OG0000015	XP_013594602.1	XP_010412816.1, XP_010470614.1
OG0000015	XP_013617465.1	XP_010474544.1
OG0000016	XP_013633483.1	XP_019097501.1
OG0000016	XP_013614061.1	XP_019097468.1, XP_019089192.1
OG0000016	XP_013589181.1	XP_010424453.1
OG0000016	XP_013624264.1	XP_019096474.1
OG0000016	XP_013617545.1	XP_019096116.1, XP_019092317.1
OG0000016	XP_013601273.1	XP_019101859.1, XP_010412662.1, XP_010412664.1, XP_010462765.1, XP_010496096.1, XP_019089253.1, XP_019092323.1, XP_019097462.1, XP_019089247.1
OG0000016	XP_013589195.1, XP_013588937.1, XP_013639541.1, XP_013615067.1	XP_010463195.1
OG0000018	XP_013617848.1	XP_010506881.1
OG0000018	XP_013602970.1	XP_010461832.1
OG0000020	XP_013632401.1, XP_013624672.1, XP_013594657.1, XP_013601111.1, XP_013613669.1, XP_013589042.1, XP_013589244.1, XP_013632054.1, XP_013626814.1, XP_013616921.1, XP_013626793.1, XP_013601623.1, XP_013617516.1, XP_013624895.1, XP_013632844.1, XP_013615448.1, XP_013624951.1, XP_013601120.1, XP_013617481.1, XP_013633218.1, XP_013633384.1	XP_019084343.1
OG0000020	XP_013601147.1, XP_013624224.1, XP_013591412.1, XP_013617648.1, XP_013589099.1, XP_013632836.1, XP_013585421.1	XP_010513440.1, XP_019085424.1, XP_019094593.1, XP_019085440.1, XP_010495727.1, XP_019085626.1, XP_019101996.1, XP_019086627.1
OG0000020	XP_013631792.1, XP_013639770.1, XP_013624038.1, XP_013608147.1, XP_013624626.1, XP_013601210.1, XP_013617373.1	XP_019082585.1
OG0000021	XP_013608094.1, XP_013632801.1, XP_013599600.1, XP_013589650.1, XP_013633047.1, XP_013613761.1, XP_013639394.1, XP_013601657.1, XP_013615573.1, XP_013608056.1, XP_013583415.1, XP_013624628.1	XP_010513446.2, XP_019086267.1, XP_010423747.1, XP_010436809.1, XP_010424537.1, XP_010506965.1, XP_010503779.1, XP_010484789.1, XP_010431203.2, XP_019096510.1, XP_019100928.1, XP_010424409.1, XP_010425747.1, XP_019097391.1, XP_019099607.1, XP_019097512.1, XP_010426045.1, XP_010490194.1, XP_010419328.1, XP_010425255.1, XP_010425129.1, XP_010518556.1, XP_010456610.1, XP_010446058.1, XP_010451363.1, XP_010431070.1, XP_019091017.1, XP_010445717.1, XP_010474695.1, XP_010507197.1, XP_010484803.1, XP_010456729.1, XP_010484820.1, XP_010496602.2
OG0000021	XP_013594507.1, XP_013631302.1	XP_019091495.1
OG0000022	XP_013590021.1	XP_010438694.1, XP_010448208.1, XP_010433436.1
OG0000022	XP_013611057.1	XP_010453827.1, XP_019084725.1, XP_010492576.1
OG0000022	XP_013606456.1	XP_010473491.1, XP_010418269.1, XP_010430336.1
OG0000022	XP_013606166.1	XP_019093419.1, XP_010462675.2, XP_010474584.1, XP_019085228.1, XP_010419465.1
OG0000022	XP_013601047.1	XP_010458700.1
OG0000022	XP_013601836.1, XP_013605059.1, XP_013600826.1, XP_013605038.1, XP_013605927.1, XP_013600508.1, XP_013601046.1, XP_013599992.1	XP_019091381.1, XP_010476184.1, XP_010476252.1, XP_019094809.1, XP_019098970.1, XP_019090986.1, XP_010458712.1, XP_010462662.1, XP_010493846.1, XP_010494656.1
OG0000022	XP_013635968.1	XP_010447152.1, XP_010436064.1
OG0000022	XP_013609571.1	XP_019096254.1, XP_010504570.1, XP_010465692.1
OG0000023	XP_013588873.1	XP_010422813.1
OG0000023	XP_013639689.1	XP_010425465.1, XP_010490322.1
OG0000023	XP_013594643.1	XP_010419027.1
OG0000023	XP_013633092.1	XP_010431149.1, XP_019092394.1
OG0000023	XP_013589397.1, XP_013632474.1	XP_010489845.1, XP_010473334.1, XP_010412528.1
OG0000023	XP_013617360.1, XP_013624559.1, XP_013624147.1	XP_019086325.1, XP_010495686.1
OG0000023	XP_013630371.1	XP_010419111.1, XP_010484854.1, XP_010475417.1
OG0000023	XP_013608049.1	XP_010490106.1
OG0000023	XP_013632550.1, XP_013607989.1, XP_013589200.1	XP_019092345.1, XP_010490056.1, XP_010495372.1, XP_010512916.1
OG0000023	XP_013607705.1	XP_010480840.1, XP_010513121.1
OG0000023	XP_013608042.1, XP_013608012.1	XP_010495590.1
OG0000023	XP_013632806.1	XP_010451895.1
OG0000023	XP_013601010.1	XP_010474311.1
OG0000023	XP_013620254.1	XP_010495582.1
OG0000023	XP_013639572.1	XP_019095592.1
OG0000023	XP_013617060.1	XP_010424636.1
OG0000024	XP_013632478.1	XP_010501685.1
OG0000025	XP_013594300.1	XP_019083352.1, XP_010445918.1
OG0000025	XP_013617956.1	XP_010438543.1, XP_010496538.1, XP_010424792.1
OG0000025	XP_013617323.1	XP_010468591.1, XP_019095109.1
OG0000025	XP_013639630.1, XP_013617729.1, XP_013617322.1	XP_010423392.1
OG0000025	XP_013613890.1, XP_013615021.1, XP_013631055.1, XP_013639470.1, XP_013624796.1, XP_013608134.1, XP_013633125.1, XP_013622540.1, XP_013607923.1, XP_013617624.1, XP_013623937.1, XP_013589161.1, XP_013589474.1, XP_013624039.1, XP_013625401.1, XP_013633137.1, XP_013617519.1, XP_013589471.1, XP_013624655.1, XP_013624950.1, XP_013617179.1, XP_013594903.1, XP_013626805.1, XP_013632787.1, XP_013617500.1, XP_013633014.1, XP_013589304.1, XP_013589043.1, XP_013607489.1, XP_013601110.1, XP_013630835.1, XP_013607866.1, XP_013633381.1, XP_013617480.1	XP_010474036.1, XP_010424602.1, XP_010496134.1, XP_010490452.1, XP_010474526.1, XP_010424785.1, XP_010474094.1, XP_010419434.1, XP_019084250.1, XP_010445859.1, XP_010501852.1
OG0000025	XP_013615038.1, XP_013639661.1	XP_010445838.1
OG0000027	XP_013608654.1	XP_019089721.1
OG0000027	XP_013598807.1	XP_010439188.2, XP_010433919.1
OG0000027	XP_013595256.1	XP_010445177.2
OG0000027	XP_013626010.1	XP_019089325.1, XP_010433927.1
OG0000027	XP_013626677.1	XP_019086460.1
OG0000027	XP_013595103.1	XP_019086469.1, XP_010439191.1
OG0000027	XP_013595244.1	XP_010442801.1
OG0000027	XP_013625142.1	XP_010418084.1, XP_010439216.1, XP_019087866.1, XP_010448736.1, XP_019097923.1
OG0000027	XP_013598637.1	XP_010451236.1
OG0000028	XP_013597573.1, XP_013621193.1, XP_013608141.1, XP_013596721.1, XP_013597575.1	XP_019095667.1
OG0000028	XP_013629713.1, XP_013626427.1, XP_013624984.1, XP_013624985.1, XP_013609443.1, XP_013625644.1, XP_013629798.1	XP_010478410.1, XP_010480737.1, XP_019094483.1, XP_019094842.1, XP_010456475.1
OG0000028	XP_013619743.1, XP_013619793.1, XP_013617023.1, XP_013636546.1, XP_013618838.1, XP_013617013.1, XP_013617012.1, XP_013619638.1, XP_013620896.1, XP_013615558.1	XP_010485121.1, XP_010446111.1, XP_019086647.1, XP_010482860.1, XP_010485122.1, XP_010485123.1, XP_010443019.1
OG0000028	XP_013614694.1, XP_013624781.1, XP_013626875.1	XP_010446868.1
OG0000028	XP_013625541.1, XP_013589427.1	XP_010444978.1
OG0000028	XP_013617015.1, XP_013617014.1	XP_019088072.1, XP_010475515.1, XP_010475493.1, XP_010446106.1, XP_019095829.1, XP_010446107.1, XP_010475504.1, XP_010448142.1, XP_010446108.1
OG0000029	XP_013639358.1, XP_013607940.1, XP_013594529.1, XP_013632897.1, XP_013589092.1, XP_013600973.1, XP_013600972.1, XP_013617164.1, XP_013617163.1, XP_013633388.1, XP_013632483.1, XP_013601217.1, XP_013617192.1, XP_013613525.1, XP_013607906.1, XP_013624878.1, XP_013632925.1, XP_013633078.1, XP_013615203.1, XP_013624064.1, XP_013623917.1, XP_013624131.1	XP_019085353.1, XP_019083999.1, XP_019095330.1, XP_019088516.1, XP_019092964.1, XP_019097126.1, XP_010501650.1, XP_010484850.2, XP_019097927.1, XP_019092098.1, XP_019098406.1, XP_019093987.1, XP_010431039.1
OG0000029	XP_013607525.1, XP_013639568.1, XP_013639826.1, XP_013617608.1, XP_013614597.1, XP_013589628.1, XP_013614066.1, XP_013614116.1, XP_013594786.1, XP_013583341.1, XP_013607550.1, XP_013607779.1, XP_013594365.1, XP_013588999.1, XP_013608305.1, XP_013597550.1, XP_013617618.1, XP_013589355.1, XP_013617349.1, XP_013595192.1, XP_013617982.1	XP_010436410.1, XP_010451660.1
OG0000029	XP_013632714.1, XP_013589179.1	XP_019101704.1, XP_010451391.1, XP_010507235.1
OG0000029	XP_013617760.1, XP_013624401.1, XP_013607990.1, XP_013608166.1, XP_013594294.1, XP_013608053.1, XP_013625078.1, XP_013594326.1, XP_013601174.1, XP_013589221.1	XP_010515282.1
OG0000029	XP_013617097.1	XP_019090727.1
OG0000030	XP_013608319.1, XP_013628311.1, XP_013628312.1	XP_010424523.1, XP_010487966.1, XP_019092251.1, XP_010463131.1, XP_010481059.1
OG0000030	XP_013615042.1	XP_019100742.1, XP_010489955.2
OG0000030	XP_013594890.1, XP_013594892.1, XP_013593712.1, XP_013589720.1, XP_013589717.1	XP_010462901.2, XP_010462898.1, XP_010462936.2, XP_010462910.2, XP_010477981.2, XP_019091238.1, XP_010499061.1, XP_010506941.1, XP_010481243.1
OG0000030	XP_013624262.1	XP_019096352.1
OG0000030	XP_013614569.1	XP_010412587.1
OG0000030	XP_013634175.1, XP_013615698.1, XP_013593493.1	XP_010419025.2, XP_010489797.1, XP_019096559.1, XP_010468083.1
OG0000030	XP_013633602.1	XP_010501254.1, XP_019096650.1, XP_010465220.1, XP_019096368.1
OG0000031	XP_013632387.1, XP_013632408.1, XP_013623671.1	XP_019082588.1
OG0000031	XP_013588971.1, XP_013632793.1, XP_013623955.1	XP_010444656.1, XP_010424185.1
OG0000032	XP_013638158.1	XP_010419309.1
OG0000032	XP_013630351.1, XP_013601247.1, XP_013624230.1, XP_013632617.1, XP_013614355.1	XP_010490026.1, XP_010446026.1
OG0000032	XP_013601246.1	XP_010457003.2, XP_010412532.1, XP_010451598.1, XP_010494552.1
OG0000032	XP_013607685.1	XP_019097480.1, XP_010484906.1, XP_010473639.1, XP_010446027.1
OG0000034	XP_013595252.1, XP_013595253.1, XP_013598717.1	XP_010433941.1, XP_010439209.1, XP_010448753.1
OG0000034	XP_013598740.1, XP_013598782.1	XP_010418085.1, XP_010439218.1, XP_010448756.1
OG0000034	XP_013594180.1	XP_019089519.1, XP_010434185.1
OG0000034	XP_013598071.1	XP_019088150.1, XP_019089518.1
OG0000034	XP_013611706.1	XP_010467326.1
OG0000034	XP_013598560.1	XP_010448301.1
OG0000034	XP_013635129.1, XP_013632244.1	XP_010418758.2
OG0000034	XP_013598971.1	XP_010439190.1
OG0000034	XP_013624956.1	XP_019099660.1, XP_019101865.1, XP_010426013.1
OG0000034	XP_013595245.1	XP_010439220.1, XP_010448755.1, XP_010433938.1
OG0000034	XP_013626222.1	XP_010433930.1, XP_019087874.1, XP_010448768.1
OG0000037	XP_013594474.1, XP_013594512.1, XP_013634263.1, XP_013628220.1, XP_013624591.1, XP_013632869.1, XP_013608052.1, XP_013624574.1, XP_013629885.1, XP_013628340.1, XP_013607985.1, XP_013607927.1, XP_013624524.1, XP_013614064.1, XP_013613699.1, XP_013617453.1, XP_013639592.1, XP_013624604.1, XP_013624515.1, XP_013594343.1, XP_013632811.1, XP_013624592.1, XP_013624546.1, XP_013632745.1, XP_013639548.1, XP_013624615.1, XP_013627969.1, XP_013617478.1, XP_013601157.1, XP_013632750.1, XP_013594340.1, XP_013639713.1, XP_013589163.1, XP_013613701.1	XP_010490399.1, XP_010496968.1
OG0000038	XP_013632932.1	XP_019087591.1
OG0000038	XP_013617219.1	XP_010495210.1, XP_010474098.1, XP_010468682.1, XP_010463087.1, XP_019087298.1, XP_010507572.1, XP_010424302.1
OG0000038	XP_013608456.1	XP_019084390.1, XP_019096545.1, XP_019091034.1, XP_019095603.1, XP_019085897.1, XP_019087357.1, XP_019095607.1
OG0000038	XP_013594420.1	XP_019101803.1, XP_019087390.1, XP_019087389.1, XP_019101919.1
OG0000038	XP_013601144.1	XP_019095590.1
OG0000038	YP_004927454.1	XP_019093290.1, XP_019087432.1, XP_019084251.1, XP_019098425.1
OG0000038	XP_013608254.1	XP_019090156.1, XP_019096519.1, XP_019089825.1
OG0000038	XP_013601388.1, XP_013624388.1, XP_013634867.1, XP_013617172.1, XP_013615285.1	XP_019086837.1
OG0000038	XP_013632913.1, XP_013629110.1	XP_019093331.1
OG0000038	XP_013594540.1	XP_019099760.1
OG0000038	XP_013624869.1	XP_019101814.1, XP_019092402.1, XP_019086449.1, XP_019087580.1, XP_019101789.1, XP_019101883.1, XP_019095636.1
OG0000038	XP_013589148.1	XP_019095571.1, XP_019084237.1
OG0000038	XP_013614248.1	XP_019086048.1
OG0000039	XP_013594349.1, XP_013628062.1, XP_013624733.1, XP_013616886.1	XP_019097412.1
OG0000039	XP_013609584.1	XP_019098311.1
OG0000039	XP_013589456.1, XP_013617923.1, XP_013617127.1	XP_019100868.1, XP_019082678.1
OG0000039	XP_013615380.1	XP_019086329.1
OG0000040	XP_013601552.1, XP_013616916.1, XP_013601670.1	XP_010474284.1, XP_010490455.1
OG0000040	XP_013639460.1	XP_019082992.1, XP_019084027.1, XP_019100690.1, XP_019099950.1, XP_019088174.1, XP_019094516.1, XP_019095793.1, XP_019102288.1, XP_019101895.1
OG0000040	XP_013589643.1, XP_013607732.1, XP_013608326.1	XP_010490346.1, XP_010445623.1
OG0000041	XP_013626063.1	XP_019097475.1
OG0000041	XP_013591364.1	XP_010507608.1, XP_019090114.1
OG0000041	XP_013639502.1	XP_010495533.1
OG0000041	XP_013624302.1	XP_010424251.1, XP_010474502.1, XP_010456904.1
OG0000041	XP_013615307.1	XP_019093231.1, XP_019096492.1, XP_010412906.1
OG0000041	XP_013639341.1	XP_019099719.1, XP_019099720.1
OG0000041	XP_013613797.1	XP_019095626.1
