Orthogroup	Brassica_oleracea	Capsella_rubella
OG0000011	XP_013586656.1, XP_013616817.1, XP_013639582.1	XP_023644226.1
OG0000011	XP_013610312.1, XP_013624126.1, XP_013624406.1, XP_013608203.1	XP_023643301.1, XP_023638031.1
OG0000014	XP_013607832.1	XP_023639612.1
OG0000014	XP_013613442.1, XP_013613790.1, XP_013608098.1, XP_013608075.1, XP_013601086.1, XP_013624639.1, XP_013632903.1, XP_013616976.1	XP_023638462.1, XP_023634279.1
OG0000015	XP_013608212.1	XP_023644452.1
OG0000015	XP_013613391.1, XP_013614315.1, XP_013634793.1, XP_013594601.1, XP_013615211.1, XP_013615599.1, XP_013615204.1	XP_023633382.1
OG0000015	XP_013617465.1	XP_023638902.1
OG0000015	XP_013601199.1, XP_013633118.1	XP_023636914.1
OG0000016	XP_013601287.1	XP_023634145.1
OG0000016	XP_013624264.1	XP_023639630.1
OG0000018	XP_013632952.1	XP_023639601.1
OG0000020	XP_013601147.1, XP_013624224.1, XP_013591412.1, XP_013617648.1, XP_013589099.1, XP_013632836.1, XP_013585421.1	XP_023644500.1, XP_023642646.1, XP_023644234.1, XP_023636041.1, XP_023633702.1, XP_023633829.1, XP_023644232.1
OG0000020	XP_013631792.1, XP_013639770.1	XP_006302668.2
OG0000021	XP_013608094.1, XP_013632801.1, XP_013599600.1, XP_013589650.1, XP_013633047.1, XP_013613761.1, XP_013639394.1, XP_013601657.1, XP_013615573.1, XP_013608056.1, XP_013583415.1, XP_013624628.1	XP_023634269.1, XP_023637241.1, XP_023637954.1, XP_006303531.2, XP_023644562.1, XP_023641377.1, XP_023638098.1, XP_023633350.1, XP_023634149.1, XP_023640318.1, XP_023634347.1, XP_023644512.1, XP_023636053.1, XP_006285455.2, XP_023638958.1, XP_023645856.1, XP_023634319.1
OG0000021	XP_013594507.1, XP_013631302.1	XP_023634431.1
OG0000022	XP_013590021.1	XP_006283550.1
OG0000022	XP_013611057.1	XP_023636761.1
OG0000022	XP_013606456.1	XP_006302102.1
OG0000022	XP_013606166.1	XP_006301814.1
OG0000022	XP_013601047.1	XP_006306232.1
OG0000022	XP_013601836.1, XP_013605059.1, XP_013600826.1, XP_013605038.1, XP_013605927.1, XP_013600508.1, XP_013601046.1, XP_013599992.1	XP_006306401.2, XP_006303167.1
OG0000022	XP_013635968.1	XP_023635463.1
OG0000022	XP_013609571.1	XP_006297483.1
OG0000023	XP_013608049.1, XP_013639746.1, XP_013589351.1, XP_013632550.1, XP_013607989.1, XP_013589200.1	XP_023633772.1
OG0000023	XP_013614920.1	XP_023636242.1
OG0000023	XP_013620254.1, XP_013624411.1, XP_013639572.1	XP_023642187.1
OG0000023	XP_013608082.1	XP_023636237.1
OG0000024	XP_013632478.1	XP_023632980.1, XP_023632975.1, XP_023632970.1
OG0000025	XP_013617956.1	XP_023636962.1
OG0000025	XP_013617323.1	XP_023633701.1, XP_023644236.1
OG0000025	XP_013613890.1, XP_013615021.1, XP_013631055.1, XP_013639470.1, XP_013624796.1, XP_013608134.1, XP_013633125.1, XP_013622540.1, XP_013607923.1, XP_013617624.1, XP_013623937.1, XP_013589161.1, XP_013589474.1, XP_013624039.1, XP_013625401.1, XP_013633137.1, XP_013617519.1, XP_013589471.1, XP_013624655.1, XP_013624950.1, XP_013617179.1, XP_013594903.1, XP_013626805.1, XP_013632787.1, XP_013617500.1, XP_013633014.1, XP_013589304.1, XP_013589043.1, XP_013607489.1, XP_013601110.1, XP_013630835.1, XP_013607866.1, XP_013633381.1, XP_013617480.1	XP_023641784.1, XP_023644446.1, XP_023636071.1
OG0000027	XP_013608654.1	XP_006287218.1
OG0000027	XP_013624060.1	XP_023635866.1
OG0000027	XP_013598807.1	XP_006284983.1
OG0000027	XP_013626010.1	XP_023634683.1
OG0000027	XP_013626677.1	XP_006283253.1
OG0000027	XP_013595103.1	XP_023634688.1
OG0000027	XP_013625142.1	XP_006285954.1
OG0000027	XP_013608656.1	XP_006287240.1
OG0000027	XP_013598637.1	XP_023634685.1
OG0000028	XP_013597573.1, XP_013621193.1, XP_013608141.1, XP_013596721.1, XP_013597575.1, XP_013608214.1	XP_023634475.1
OG0000028	XP_013629713.1, XP_013626427.1, XP_013624984.1, XP_013624985.1, XP_013609443.1, XP_013625644.1, XP_013629798.1	XP_006304936.1, XP_023644946.1
OG0000028	XP_013619743.1, XP_013619793.1, XP_013617023.1, XP_013636546.1, XP_013618838.1, XP_013617013.1, XP_013617012.1, XP_013619638.1, XP_013620896.1, XP_013615558.1	XP_006281712.1
OG0000028	XP_013614694.1, XP_013624781.1, XP_013626875.1	XP_006285133.1
OG0000029	XP_013639358.1, XP_013607940.1, XP_013594529.1, XP_013632897.1, XP_013589092.1, XP_013600973.1, XP_013600972.1, XP_013617164.1, XP_013617163.1, XP_013633388.1, XP_013632483.1, XP_013601217.1, XP_013617192.1, XP_013613525.1, XP_013607906.1, XP_013624878.1, XP_013632925.1, XP_013633078.1, XP_013615203.1, XP_013624064.1, XP_013623917.1, XP_013624131.1	XP_023633422.1, XP_023644241.1, XP_023638860.1, XP_023634002.1, XP_023644242.1, XP_023644257.1, XP_023638123.1, XP_023633373.1, XP_023633615.1, XP_023641909.1, XP_023636106.1, XP_023644249.1, XP_023638859.1
OG0000029	XP_013607525.1, XP_013639568.1, XP_013639826.1, XP_013617608.1, XP_013614597.1, XP_013589628.1, XP_013614066.1, XP_013614116.1, XP_013594786.1, XP_013583341.1, XP_013607550.1, XP_013607779.1, XP_013594365.1, XP_013588999.1, XP_013608305.1, XP_013597550.1, XP_013617618.1, XP_013589355.1, XP_013617349.1, XP_013595192.1, XP_013617982.1	XP_023634815.1, XP_023641328.1, XP_023642217.1, XP_023644323.1, XP_023644233.1, XP_023640355.1
OG0000029	XP_013617760.1, XP_013624401.1, XP_013607990.1, XP_013608166.1, XP_013594294.1, XP_013608053.1, XP_013625078.1, XP_013594326.1, XP_013601174.1, XP_013589221.1	XP_023640390.1, XP_023635785.1, XP_023637682.1
OG0000030	XP_013608319.1, XP_013628311.1, XP_013628312.1	XP_023642658.1, XP_023641336.1, XP_006296044.1
OG0000030	XP_013615042.1	XP_006297884.1
OG0000030	XP_013594890.1, XP_013594892.1, XP_013593712.1, XP_013589720.1, XP_013589717.1	XP_006303634.1, XP_023632886.1, XP_023632793.1
OG0000030	XP_013634175.1, XP_013615698.1, XP_013593493.1	XP_006297854.1, XP_006297862.1, XP_006300177.2
OG0000030	XP_013633602.1	XP_006298407.2
OG0000031	XP_013632387.1, XP_013632408.1, XP_013623671.1	XP_023633361.1
OG0000032	XP_013630351.1, XP_013601247.1, XP_013624230.1, XP_013632617.1, XP_013614355.1	XP_023634318.1
OG0000034	XP_013595252.1, XP_013595253.1, XP_013598717.1	XP_006283285.1
OG0000034	XP_013598740.1, XP_013598782.1	XP_023634692.1
OG0000034	XP_013595246.1, XP_013595249.1	XP_006285944.1
OG0000034	XP_013598071.1	XP_023634856.1
OG0000034	XP_013598560.1	XP_023634635.1
OG0000034	XP_013598971.1	XP_006283145.1
OG0000034	XP_013595245.1	XP_006283283.1
OG0000034	XP_013626222.1	XP_023635576.1
OG0000035	XP_013636991.1, XP_013607885.1, XP_013618965.1	XP_023633542.1, XP_023633652.1, XP_023639706.1
OG0000035	XP_013591120.1	XP_023634166.1
OG0000040	XP_013639460.1	XP_023644222.1, XP_023644534.1, XP_023640572.1, XP_023639239.1, XP_023634852.1
OG0000040	XP_013624133.1, XP_013639650.1	XP_023643216.1, XP_023641303.1
OG0000040	XP_013589643.1, XP_013607732.1, XP_013608326.1	XP_023638978.1, XP_023642459.1, XP_023632551.1, XP_023638973.1, XP_023644566.1, XP_023634840.1, XP_023636105.1, XP_023633811.1
OG0000042	XP_013624485.1, XP_013584641.1, XP_013629200.1, XP_013594415.1, XP_013589285.1, XP_013632940.1, XP_013639621.1, XP_013630837.1, XP_013589127.1, XP_013624490.1, XP_013594894.1	XP_023634283.1
OG0000042	XP_013594980.1, XP_013624692.1	XP_023644481.1
OG0000044	XP_013628727.1	XP_006281533.1
OG0000044	XP_013599363.1	XP_023636310.1
OG0000046	XP_013633177.1	XP_023641942.1, XP_023640348.1, XP_023636067.1, XP_006289233.2, XP_023638196.1
OG0000048	XP_013634382.1	XP_023640388.1
OG0000048	XP_013635430.1, XP_013635523.1, XP_013635377.1, XP_013635414.1, XP_013585248.1, XP_013632139.1, XP_013634956.1, XP_013633670.1, XP_013635604.1, XP_013635413.1, XP_013635393.1, XP_013635714.1	XP_006299189.1
OG0000050	XP_013594629.1, XP_013601399.1, XP_013617744.1, XP_013594969.1, XP_013624450.1, XP_013617867.1, XP_013583376.1, XP_013589145.1, XP_013583387.1, XP_013615022.1, XP_013617828.1, XP_013633342.1, XP_013632973.1, XP_013639275.1	XP_006299955.2
OG0000050	XP_013624813.1	XP_023643276.1
OG0000051	XP_013609148.1, XP_013623987.1, XP_013601904.1	XP_006304062.1
OG0000051	XP_013610546.1	XP_023640424.1
OG0000052	XP_013594927.1, XP_013594267.1	XP_023639245.1
OG0000052	XP_013610604.1	XP_006301891.2, XP_006301896.2, XP_023638056.1, XP_023639204.1, XP_006293172.2
OG0000052	XP_013615703.1, XP_013630964.1	XP_006291114.1, XP_006291129.1, XP_006293230.1, XP_006290348.2
OG0000052	XP_013607524.1	XP_023638945.1, XP_023638947.1, XP_023638946.1, XP_023639178.1
OG0000054	XP_013594475.1	XP_023640334.1
OG0000054	XP_013624716.1	XP_023633331.1
OG0000055	XP_013623695.1, XP_013623796.1, XP_013628424.1, XP_013606594.1, XP_013593729.1	XP_006299228.1, XP_006300113.1
OG0000055	XP_013627468.1	XP_006286657.2
OG0000055	XP_013615287.1, XP_013614020.1	XP_006299604.1
OG0000056	XP_013631517.1	XP_023643438.1
OG0000056	XP_013616526.1	XP_006302254.2
OG0000056	XP_013615259.1, XP_013588767.1, XP_013611134.1, XP_013628196.1	XP_006292456.1
OG0000058	XP_013627147.1	XP_023636060.1
OG0000058	XP_013633937.1	XP_023640345.1, XP_023636058.1, XP_023640315.1, XP_023643584.1, XP_023640320.1, XP_023634265.1, XP_023644147.1, XP_023644470.1, XP_023634034.1, XP_023638869.1
OG0000059	XP_013617450.1, XP_013594582.1, XP_013632782.1, XP_013601567.1, XP_013639634.1, XP_013624930.1	XP_023633548.1, XP_023644244.1, XP_023634277.1
OG0000059	XP_013601178.1, XP_013585552.1, XP_013585426.1, XP_013597521.1, XP_013605214.1, XP_013604150.1, XP_013628178.1, XP_013615848.1, XP_013585461.1	XP_023636099.1, XP_006290464.1
OG0000059	XP_013583425.1, XP_013619334.1, XP_013615788.1, XP_013608198.1, XP_013601480.1	XP_023633025.1
OG0000060	XP_013600442.1	XP_023638361.1
OG0000060	XP_013605168.1	XP_006303455.1
OG0000060	XP_013615993.1, XP_013623511.1	XP_006279505.1
OG0000061	XP_013635264.1	XP_023640829.1
OG0000062	XP_013594854.1, XP_013616821.1, XP_013589102.1, XP_013607943.1	XP_023633725.1
OG0000064	XP_013610623.1, XP_013607250.1, XP_013610669.1, XP_013607249.1, XP_013607956.1, XP_013607248.1, XP_013607251.1, XP_013610335.1, XP_013610576.1, XP_013610543.1, XP_013610675.1, XP_013610622.1	XP_006301177.1, XP_006279224.1, XP_006279222.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301373.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006301675.1, XP_006301967.1, XP_006281741.1, XP_006301107.1, XP_006301805.1, XP_006301207.1, XP_006301336.1, XP_006301472.1, XP_006301343.1, XP_006301855.1, XP_006301176.1, XP_006306169.1
OG0000065	XP_013603316.1, XP_013591999.1	XP_023644442.1
OG0000065	XP_013591997.1	XP_023644283.1
OG0000065	XP_013615935.1	XP_023643077.1
OG0000065	XP_013620956.1	XP_023644284.1
OG0000065	XP_013592178.1	XP_023637822.1, XP_006290268.1
OG0000065	XP_013636750.1	XP_023638915.1
OG0000065	XP_013635767.1	XP_006286236.1
OG0000066	XP_013606481.1, XP_013621521.1, XP_013609086.1, XP_013631332.1, XP_013599938.1, XP_013637372.1	XP_006301260.2
OG0000066	XP_013618388.1	XP_006292533.1
OG0000066	XP_013629194.1	XP_006288773.2, XP_006284722.1
OG0000066	XP_013627996.1	XP_006304375.1
OG0000067	XP_013607769.1, XP_013617274.1, XP_013628824.1	XP_023638931.1
OG0000067	XP_013625005.1, XP_013632722.1	XP_023634337.1
OG0000067	XP_013614070.1, XP_013632725.1	XP_023645924.1
OG0000068	XP_013610551.1, XP_013611652.1, XP_013606907.1, XP_013623793.1, XP_013626885.1	XP_006289028.2, XP_006289556.2, XP_023637280.1
OG0000069	XP_013617969.1, XP_013590488.1, XP_013609088.1	XP_023642292.1
OG0000069	XP_013615731.1, XP_013634820.1	XP_006288439.1
OG0000070	XP_013620477.1, XP_013596659.1, XP_013610618.1	XP_006305612.2, XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1
OG0000070	XP_013628560.1	XP_006304273.1
OG0000070	XP_013591920.1, XP_013588434.1, XP_013616229.1	XP_006302938.1
OG0000070	XP_013590715.1	XP_006295429.1
OG0000073	XP_013632443.1, XP_013633273.1, XP_013600985.1	XP_023644828.1
OG0000073	XP_013632654.1, XP_013623950.1, XP_013589302.1, XP_013623829.1, XP_013632353.1, XP_013624286.1, XP_013626150.1, XP_013624344.1, XP_013633316.1, XP_013639441.1, XP_013639777.1, XP_013608552.1, XP_013608116.1, XP_013624277.1, XP_013601182.1	XP_023644313.1
OG0000073	XP_013617425.1	XP_023644311.1
OG0000074	XP_013627369.1, XP_013623548.1, XP_013608123.1, XP_013607767.1	XP_023641911.1
OG0000074	XP_013632365.1, XP_013594389.1, XP_013627465.1, XP_013594307.1	XP_023638088.1
OG0000074	XP_013633013.1, XP_013615619.1, XP_013623877.1, XP_013639472.1, XP_013615430.1, XP_013607953.1, XP_013601324.1	XP_023634274.1, XP_023636038.1
OG0000074	XP_013601562.1, XP_013632817.1, XP_013608398.1, XP_013624867.1, XP_013631241.1, XP_013624893.1, XP_013633311.1, XP_013639745.1, XP_013601329.1, XP_013601105.1, XP_013639521.1, XP_013633028.1	XP_023636039.1
OG0000074	XP_013632942.1, XP_013632480.1	XP_023638842.1
OG0000075	XP_013596175.1	XP_006283916.1, XP_023635518.1
OG0000076	XP_013598018.1	XP_023634774.1
OG0000076	XP_013625990.1, XP_013601953.1, XP_013619488.1, XP_013587128.1, XP_013587126.1, XP_013627762.1, XP_013627931.1, XP_013625555.1, XP_013623638.1, XP_013626117.1	XP_006286831.1
OG0000077	XP_013623925.1, XP_013617650.1	XP_006280897.2
OG0000077	XP_013630204.1	XP_023643297.1
OG0000077	XP_013619910.1	XP_006292755.1, XP_006292566.2, XP_006292626.2, XP_006300965.2, XP_006290374.2, XP_023638325.1
OG0000077	XP_013594901.1	XP_006292432.2, XP_006292790.1, XP_006293218.1
OG0000077	XP_013586946.1	XP_006303212.2
OG0000078	XP_013595132.1	XP_006300074.1
OG0000078	XP_013621006.1, XP_013626763.1, XP_013621468.1, XP_013621008.1, XP_013616647.1, XP_013627003.1	XP_006289130.1, XP_006290038.2, XP_023636207.1, XP_006289391.1, XP_006286648.1, XP_006289998.1
OG0000079	XP_013624775.1, XP_013594486.1	XP_023644218.1, XP_023645325.1
OG0000081	XP_013628529.1	XP_023638026.1, XP_023634808.1, XP_023641960.1
OG0000081	XP_013607575.1	XP_023634311.1
OG0000082	XP_013598864.1	XP_023639594.1
OG0000082	XP_013608417.1	XP_023642613.1
OG0000083	XP_013632891.1, XP_013626727.1, XP_013608324.1	XP_023633452.1
OG0000086	XP_013634315.1	XP_006284253.1, XP_006288380.2
OG0000086	XP_013588679.1	XP_023644121.1, XP_006302648.1, XP_023644277.1, XP_006302616.1
OG0000086	XP_013590467.1	XP_023644279.1, XP_023644252.1
OG0000087	XP_013633192.1	XP_023639065.1
OG0000089	XP_013598457.1	XP_006287738.1
OG0000089	XP_013629292.1, XP_013629087.1, XP_013629400.1	XP_006292748.1, XP_006291122.1
OG0000089	XP_013637001.1, XP_013636732.1	XP_006294210.1
OG0000089	XP_013611442.1	XP_006289933.1
OG0000089	XP_013620476.1, XP_013612217.1, XP_013598244.1	XP_006281513.1
OG0000089	XP_013592047.1	XP_006302256.1
OG0000091	XP_013603553.1	XP_006296540.2
OG0000091	XP_013627653.1, XP_013607358.1	XP_023636467.1
OG0000091	XP_013631070.1	XP_023644362.1
OG0000092	XP_013620056.1, XP_013608261.1	XP_023640340.1
OG0000092	XP_013594390.1, XP_013633246.1	XP_023642043.1
OG0000092	XP_013601272.1	XP_023641904.1
OG0000095	XP_013631674.1	XP_006295555.1, XP_006294228.1
OG0000095	XP_013635569.1, XP_013637583.1	XP_006294323.1
OG0000096	XP_013631403.1	XP_023638935.1
OG0000096	XP_013615720.1, XP_013594805.1, XP_013614972.1, XP_013615437.1	XP_006289071.1, XP_006289116.1
OG0000098	XP_013614188.1, XP_013615334.1	XP_006292655.1
OG0000098	XP_013617934.1	XP_006305026.1
OG0000100	XP_013606369.1	XP_006301998.2
OG0000100	XP_013611228.1, XP_013611226.1, XP_013608605.1	XP_023643545.1
OG0000102	XP_013631333.1	XP_006288542.1
OG0000102	XP_013623936.1, XP_013623935.1, XP_013599827.1, XP_013584794.1	XP_006288252.1
OG0000102	XP_013619912.1	XP_023633387.1
OG0000103	XP_013624832.1	XP_023632588.1
OG0000106	XP_013626361.1, XP_013633356.1	XP_023646042.1, XP_023644298.1
OG0000106	XP_013617293.1, XP_013623159.1, XP_013624755.1, XP_013624609.1	XP_006301047.2, XP_023643263.1
OG0000107	XP_013635068.1, XP_013624257.1	XP_006300030.1, XP_006297457.1
OG0000107	XP_013639727.1	XP_006289895.1, XP_006297460.1
OG0000107	XP_013602900.1	XP_006290930.1
OG0000108	XP_013617448.1, XP_013629514.1, XP_013636515.1, XP_013636180.1	XP_006291303.1, XP_006294425.1
OG0000108	XP_013623319.1	XP_006282193.1, XP_006291307.1
OG0000108	XP_013587485.1	XP_006297921.1
OG0000108	XP_013611822.1, XP_013629368.1, XP_013620685.1	XP_006287952.1
OG0000108	XP_013629201.1, XP_013608560.1, XP_013586823.1	XP_006297920.1
OG0000109	XP_013638689.1	XP_023644486.1
OG0000109	XP_013623052.1	XP_023637552.1
OG0000109	XP_013607861.1, XP_013583419.1, XP_013639649.1, XP_013615002.1, XP_013594821.1, XP_013633807.1, XP_013594521.1, XP_013597172.1, XP_013595200.1	XP_023633613.1
OG0000110	XP_013632718.1, XP_013617720.1, XP_013629722.1, XP_013624329.1, XP_013583298.1, XP_013591282.1, XP_013624880.1, XP_013615431.1	XP_023634352.1
OG0000110	XP_013600964.1, XP_013609595.1, XP_013639169.1, XP_013617798.1, XP_013624429.1, XP_013594148.1, XP_013639536.1, XP_013589681.1, XP_013639703.1	XP_023644523.1, XP_023640339.1, XP_023633349.1, XP_023633346.1, XP_023644458.1, XP_023642819.1
OG0000111	XP_013597065.1, XP_013591106.1, XP_013610702.1, XP_013624096.1, XP_013585759.1, XP_013603466.1	XP_006289226.1, XP_006289953.1, XP_006289914.1
OG0000114	XP_013594356.1	XP_006301152.1
OG0000117	XP_013586913.1	XP_006306513.2
OG0000117	XP_013603462.1, XP_013584900.1, XP_013586910.1	XP_006303770.1
OG0000117	XP_013596256.1	XP_023632781.1
OG0000117	XP_013600043.1, XP_013600044.1, XP_013600879.1, XP_013600539.1, XP_013600042.1, XP_013610363.1	XP_006304618.2, XP_023644792.1
OG0000118	XP_013615575.1	XP_006290039.1, XP_023640365.1, XP_023634338.1
OG0000119	XP_013617470.1, XP_013608315.1	XP_023633433.1, XP_006280698.1
OG0000119	XP_013617735.1	XP_023638901.1
OG0000119	XP_013633270.1	XP_006296419.2, XP_006295986.2, XP_006292836.2, XP_006292499.2, XP_023638877.1, XP_006291315.2, XP_023638900.1, XP_006293090.1, XP_023639195.1
OG0000119	XP_013608442.1	XP_023638772.1
OG0000120	XP_013624773.1	XP_023640343.1, XP_023640331.1, XP_023644467.1
OG0000120	XP_013624750.1, XP_013635458.1	XP_023644237.1, XP_023640332.1, XP_023639622.1
OG0000121	XP_013607800.1	XP_006286839.2, XP_023636075.1, XP_006285607.2
OG0000121	XP_013624492.1, XP_013600449.1, XP_013617884.1, XP_013624063.1, XP_013594541.1, XP_013639449.1, XP_013589376.1, XP_013601555.1, XP_013636525.1, XP_013617849.1, XP_013632402.1	XP_023640327.1, XP_023634261.1
OG0000121	XP_013607749.1	XP_006305928.1, XP_023638089.1
OG0000121	XP_013613742.1	XP_023636052.1
OG0000121	XP_013589354.1	XP_023638959.1
OG0000122	XP_013623477.1, XP_013616987.1	XP_006281892.1
OG0000122	XP_013627567.1, XP_013627609.1, XP_013623864.1, XP_013610314.1, XP_013623863.1, XP_013620024.1	XP_023633416.1
OG0000123	XP_013623897.1, XP_013623898.1	XP_006282356.1, XP_006289168.1
OG0000124	XP_013633165.1	XP_023635269.1
OG0000124	XP_013605989.1, XP_013615494.1	XP_023644078.1
OG0000124	XP_013632778.1	XP_023634345.1
OG0000124	XP_013630987.1, XP_013624674.1, XP_013599415.1, XP_013593825.1, XP_013583307.1, XP_013624397.1, XP_013624662.1, XP_013620971.1, XP_013591446.1, XP_013637635.1, XP_013607431.1, XP_013593566.1, XP_013635053.1, XP_013635795.1, XP_013614088.1, XP_013631416.1, XP_013619803.1, XP_013615105.1, XP_013617286.1, XP_013637750.1, XP_013599145.1, XP_013638220.1, XP_013594338.1, XP_013628588.1, XP_013594525.1, XP_013587564.1, XP_013636294.1, XP_013608176.1	XP_023638979.1
OG0000125	XP_013605923.1	XP_023645280.1
OG0000125	XP_013590329.1	XP_023645616.1
OG0000125	XP_013589967.1	XP_023645225.1, XP_006306741.1
OG0000125	XP_013625710.1	XP_006299926.1
OG0000127	XP_013606602.1, XP_013625682.1	XP_006289049.1
OG0000127	XP_013606787.1	XP_006281264.1, XP_006292858.1
OG0000128	XP_013589380.1	XP_023639092.1, XP_023639093.1
OG0000128	XP_013590480.1	XP_006290900.1
OG0000128	XP_013592532.1	XP_006291045.1
OG0000129	XP_013584094.1	XP_023644190.1
OG0000129	XP_013617087.1	XP_023644191.1
OG0000129	XP_013618060.1, XP_013620235.1	XP_023645120.1, XP_023635333.1, XP_023640860.1, XP_023640089.1
OG0000130	XP_013617154.1, XP_013632614.1	XP_023641922.1
OG0000130	XP_013624994.1, XP_013608101.1	XP_023644493.1
OG0000132	XP_013605673.1, XP_013602151.1, XP_013602872.1, XP_013605672.1, XP_013603171.1, XP_013603836.1, XP_013603745.1, XP_013603252.1	XP_006291215.1
OG0000132	XP_013592758.1, XP_013629621.1	XP_006283852.1, XP_023634364.1
OG0000134	XP_013629019.1, XP_013586604.1	XP_023643595.1, XP_023643303.1, XP_023643420.1
OG0000137	XP_013627427.1, XP_013619494.1	XP_006280761.2
OG0000137	XP_013606365.1, XP_013619272.1	XP_006280742.1
OG0000137	XP_013610394.1	XP_023633411.1
OG0000137	XP_013618766.1, XP_013610172.1, XP_013610274.1	XP_023637930.1, XP_006281726.2
OG0000137	XP_013626781.1	XP_006281991.1
OG0000137	XP_013608191.1	XP_006281729.1
OG0000138	XP_013627674.1	XP_023639081.1
OG0000140	XP_013633408.1, XP_013589418.1, XP_013624084.1, XP_013613653.1	XP_023633812.1
OG0000141	XP_013600689.1	XP_023644396.1
OG0000141	XP_013592465.1	XP_006306386.2
OG0000143	XP_013594840.1, XP_013617635.1, XP_013613871.1, XP_013594560.1, XP_013617770.1, XP_013617502.1, XP_013607980.1, XP_013601158.1, XP_013614771.1, XP_013601234.1, XP_013632794.1, XP_013617899.1	XP_023638858.1
