Orthogroup	Brassica_oleracea	Arabidopsis_lyrata_NCBI
OG0000025	XP_013613890.1, XP_013615021.1, XP_013631055.1, XP_013639470.1, XP_013624796.1, XP_013608134.1, XP_013633125.1, XP_013622540.1, XP_013607923.1, XP_013617624.1, XP_013623937.1, XP_013589161.1, XP_013589474.1, XP_013624039.1, XP_013625401.1, XP_013633137.1, XP_013617519.1, XP_013589471.1, XP_013624655.1, XP_013624950.1, XP_013617179.1, XP_013594903.1, XP_013626805.1, XP_013632787.1, XP_013617500.1, XP_013633014.1, XP_013589304.1, XP_013589043.1, XP_013607489.1, XP_013601110.1, XP_013630835.1, XP_013607866.1, XP_013633381.1, XP_013617480.1	XP_020876192.1
OG0000026	XP_013624845.1, XP_013617677.1, XP_013639735.1, XP_013614002.1, XP_013608308.1	XP_020879791.1
OG0000027	XP_013608654.1	XP_002872592.1
OG0000027	XP_013624060.1	XP_002872595.1
OG0000027	XP_013626010.1	XP_020873367.1
OG0000027	XP_013626677.1	XP_020873341.1
OG0000027	XP_013625142.1	XP_020873352.1, XP_020873363.1
OG0000027	XP_013617506.1	XP_020867640.1
OG0000027	XP_013598637.1	XP_020873349.1
OG0000028	XP_013597573.1, XP_013621193.1, XP_013608141.1, XP_013596721.1, XP_013597575.1	XP_020871166.1, XP_020886436.1
OG0000028	XP_013619743.1, XP_013619793.1, XP_013617023.1, XP_013636546.1, XP_013618838.1, XP_013617013.1, XP_013617012.1, XP_013619638.1, XP_013620896.1, XP_013615558.1	XP_020877991.1, XP_020873006.1
OG0000028	XP_013614694.1, XP_013624781.1, XP_013626875.1	XP_020875061.1
OG0000028	XP_013617015.1, XP_013617014.1	XP_020880460.1, XP_020880469.1, XP_020880478.1
OG0000029	XP_013639358.1, XP_013607940.1, XP_013594529.1, XP_013632897.1, XP_013589092.1, XP_013600973.1, XP_013600972.1, XP_013617164.1, XP_013617163.1, XP_013633388.1, XP_013632483.1, XP_013601217.1, XP_013617192.1, XP_013613525.1, XP_013607906.1, XP_013624878.1, XP_013632925.1, XP_013633078.1, XP_013615203.1, XP_013624064.1, XP_013623917.1, XP_013624131.1	XP_020869142.1, XP_020881896.1, XP_020874317.1, XP_020879925.1, XP_020871888.1
OG0000029	XP_013617135.1	XP_020888389.1
OG0000029	XP_013589171.1, XP_013614958.1, XP_013594720.1, XP_013615262.1, XP_013594302.1, XP_013639737.1, XP_013639097.1, XP_013617097.1, XP_013624448.1	XP_020874443.1
OG0000030	XP_013608319.1, XP_013628311.1, XP_013628312.1	XP_020871692.1, XP_020871677.1, XP_020888510.1
OG0000030	XP_013615042.1	XP_002885337.1
OG0000030	XP_013594890.1, XP_013594892.1, XP_013593712.1, XP_013589720.1, XP_013589717.1	XP_002893415.1, XP_002890504.1, XP_002893432.1, XP_020866580.1
OG0000030	XP_013624262.1	XP_020889857.1
OG0000030	XP_013634175.1, XP_013615698.1, XP_013593493.1	XP_020888486.1
OG0000030	XP_013633602.1	XP_002884990.1, XP_002884981.1, XP_002884979.1
OG0000031	XP_013615185.1, XP_013613786.1, XP_013631555.1, XP_013624635.1, XP_013589264.1, XP_013594915.1	XP_020890956.1, XP_020882438.1
OG0000031	XP_013624050.1	XP_020870253.1
OG0000034	XP_013595252.1, XP_013595253.1, XP_013598717.1	XP_002869784.2
OG0000034	XP_013594180.1	XP_020873360.1
OG0000034	XP_013598071.1	XP_002867849.1
OG0000034	XP_013624956.1	XP_002877439.2
OG0000034	XP_013593131.1	XP_020873356.1
OG0000034	XP_013626222.1	XP_020873366.1
OG0000034	XP_013598676.1	XP_020872543.1
OG0000035	XP_013636991.1, XP_013607885.1, XP_013618965.1	XP_020883112.1, XP_020887195.1, XP_020871214.1, XP_020875318.1, XP_020870256.1, XP_020884941.1, XP_020875756.1, XP_020887746.1, XP_020877165.1
OG0000035	XP_013591120.1	XP_020870265.1, XP_020886028.1
OG0000038	XP_013624504.1, XP_013608149.1	XP_020871977.1
OG0000038	XP_013617219.1	XP_020873505.1
OG0000038	XP_013608254.1	XP_020876468.1
OG0000038	XP_013601585.1, XP_013601388.1, XP_013624388.1, XP_013634867.1, XP_013617172.1, XP_013615285.1	XP_020880729.1
OG0000040	XP_013601552.1, XP_013616916.1, XP_013601670.1	XP_020891386.1
OG0000040	XP_013639460.1	XP_020872994.1, XP_020882425.1, XP_020870158.1
OG0000040	XP_013601815.1	XP_020873020.1
OG0000040	XP_013589643.1, XP_013607732.1, XP_013608326.1	XP_020877174.1, XP_020890764.1, XP_020881671.1, XP_020871402.1
OG0000041	XP_013626063.1, XP_013591364.1, XP_013639502.1, XP_013639382.1, XP_013624302.1	XP_020876966.1
OG0000042	XP_013630837.1	XP_020872945.1
OG0000042	XP_013589127.1, XP_013624490.1, XP_013594894.1	XP_020876174.1
OG0000044	XP_013628727.1	XP_020878609.1, XP_002865186.1
OG0000044	XP_013624330.1	XP_020886914.1
OG0000044	XP_013611210.1	XP_020867167.1
OG0000044	XP_013608422.1	XP_002884747.1, XP_020890887.1
OG0000046	XP_013633177.1	XP_020877167.1, XP_020871406.1, XP_002883785.1, XP_020880655.1, XP_020876919.1, XP_020882740.1, XP_002893924.2, XP_020870337.1, XP_020887727.1, XP_020867102.1, XP_020874078.1, XP_020866165.1, XP_020872615.1, XP_020878672.1, XP_020882823.1, XP_020877149.1, XP_020879796.1, XP_020872313.1, XP_020883604.1, XP_020876127.1
OG0000047	XP_013624586.1, XP_013613730.1, XP_013624575.1, XP_013613469.1, XP_013639543.1, XP_013608051.1, XP_013601262.1, XP_013594511.1, XP_013613572.1	XP_020883415.1
OG0000048	XP_013635430.1, XP_013635523.1, XP_013635377.1, XP_013635414.1, XP_013585248.1, XP_013632139.1, XP_013634956.1, XP_013633670.1, XP_013635604.1, XP_013635413.1, XP_013635393.1, XP_013635714.1	XP_020886243.1
OG0000049	XP_013601341.1, XP_013632843.1	XP_020866728.1
OG0000050	XP_013617131.1	XP_020880718.1, XP_002879393.2
OG0000051	XP_013609148.1, XP_013623987.1, XP_013601904.1	XP_020868191.1
OG0000051	XP_013635946.1, XP_013623985.1	XP_020885498.1
OG0000051	XP_013589464.1, XP_013610001.1	XP_002886390.1, XP_002882601.1
OG0000051	XP_013623984.1	XP_020890130.1
OG0000051	XP_013610546.1	XP_020883307.1
OG0000052	XP_013594927.1, XP_013594267.1	XP_020882518.1, XP_020882260.1
OG0000052	XP_013610604.1	XP_002894621.2, XP_020881195.1, XP_020881409.1
OG0000052	XP_013615703.1, XP_013630964.1	XP_020881215.1, XP_020881213.1
OG0000052	XP_013607524.1	XP_020881212.1, XP_020881214.1
OG0000055	XP_013623695.1, XP_013623796.1, XP_013628424.1, XP_013606594.1, XP_013593729.1	XP_020889173.1
OG0000055	XP_013627468.1	XP_020883674.1, XP_020876181.1
OG0000055	XP_013609840.1	XP_020886503.1, XP_020887842.1
OG0000056	XP_013615259.1, XP_013588767.1, XP_013611134.1, XP_013628196.1	XP_020880767.1
OG0000058	XP_013595076.1, XP_013611257.1, XP_013589048.1, XP_013617878.1	XP_020868066.1
OG0000058	XP_013623959.1	XP_020883504.1
OG0000059	XP_013617450.1, XP_013594582.1, XP_013632782.1, XP_013601567.1, XP_013639634.1, XP_013624930.1	XP_020889554.1, XP_020890752.1, XP_020876125.1
OG0000059	XP_013610732.1, XP_013627758.1, XP_013597073.1	XP_020879890.1, XP_020878851.1, XP_020866756.1, XP_020881512.1, XP_020875242.1, XP_020886057.1, XP_020876759.1, XP_020874679.1, XP_020870695.1
OG0000059	XP_013601178.1, XP_013585552.1, XP_013585426.1, XP_013597521.1, XP_013605214.1, XP_013604150.1, XP_013628178.1, XP_013615848.1, XP_013585461.1	XP_020875483.1, XP_020876486.1
OG0000060	XP_013637962.1	XP_020868758.1
OG0000060	XP_013625358.1	XP_020879701.1
OG0000060	XP_013633957.1	XP_020880172.1
OG0000061	XP_013615973.1	XP_020867733.1
OG0000061	XP_013615702.1	XP_020878246.1, XP_020879494.1
OG0000061	XP_013637545.1	XP_020870702.1
OG0000061	XP_013639701.1	XP_020891333.1, XP_020888256.1
OG0000062	XP_013594854.1, XP_013616821.1, XP_013589102.1, XP_013607943.1	XP_020871212.1, XP_020876453.1
OG0000064	XP_013610623.1, XP_013607250.1, XP_013610669.1, XP_013607249.1, XP_013607956.1, XP_013607248.1, XP_013607251.1, XP_013610335.1, XP_013610576.1, XP_013610543.1, XP_013610675.1, XP_013610622.1	XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886749.1, XP_002886745.1, XP_002862361.1, XP_002886746.1, XP_002886752.2, XP_002886744.1, XP_020891241.1, XP_002886750.1, XP_002886748.1, XP_002862362.1, XP_002894696.1, XP_020891452.1, XP_002886747.1, XP_002862360.1, XP_002862386.1, XP_002863710.1, XP_002862438.1, XP_002862385.1, XP_002863711.1, XP_020879695.1, XP_002863799.1, XP_020885190.1, XP_002863708.1, XP_002863709.1, XP_002863706.1, XP_002863707.1, XP_002865487.1
OG0000065	XP_013592001.1	XP_020865937.1
OG0000065	XP_013617106.1	XP_020865724.1
OG0000065	XP_013592178.1	XP_020876931.1
OG0000065	XP_013636750.1	XP_020873883.1
OG0000065	XP_013634420.1	XP_002868795.2
OG0000065	XP_013635767.1	XP_020872917.1, XP_020872918.1
OG0000066	XP_013609086.1, XP_013631332.1	XP_002894648.1
OG0000066	XP_013637372.1	XP_020876762.1
OG0000066	XP_013587978.1	XP_020875249.1
OG0000066	XP_013629194.1, XP_013612748.1	XP_020875248.1
OG0000066	XP_013627996.1	XP_020869687.1
OG0000067	XP_013623105.1, XP_013632497.1	XP_020874420.1
OG0000067	XP_013625005.1, XP_013632722.1	XP_020865924.1
OG0000068	XP_013610551.1, XP_013611652.1, XP_013606907.1, XP_013623793.1, XP_013626885.1	XP_020876030.1, XP_020876026.1, XP_020889396.1, XP_020889441.1
OG0000069	XP_013617969.1, XP_013590488.1, XP_013609088.1	XP_020886063.1, XP_020871771.1, XP_020880445.1
OG0000069	XP_013615731.1, XP_013634820.1	XP_020887402.1
OG0000070	XP_013620477.1, XP_013596659.1, XP_013610618.1	XP_020867590.1, XP_002883942.1, XP_002875195.1, XP_002875194.1
OG0000070	XP_013628560.1	XP_020885789.1, XP_002890373.1, XP_002887052.2
OG0000070	XP_013591920.1, XP_013588434.1, XP_013616229.1	XP_020891141.1
OG0000072	XP_013596572.1, XP_013614874.1	XP_020876164.1, XP_020889278.1
OG0000072	XP_013632615.1	XP_020891624.1
OG0000073	XP_013617425.1	XP_020866212.1, XP_020881839.1
OG0000074	XP_013608398.1	XP_020874556.1
OG0000075	XP_013596175.1	XP_002868917.2
OG0000076	XP_013598018.1	XP_020872718.1
OG0000076	XP_013625990.1, XP_013601953.1, XP_013619488.1, XP_013587128.1, XP_013587126.1, XP_013627762.1, XP_013627931.1, XP_013625555.1, XP_013623638.1, XP_013626117.1	XP_002886268.1
OG0000077	XP_013623925.1, XP_013617650.1	XP_020869035.1
OG0000077	XP_013630204.1	XP_020891276.1
OG0000077	XP_013619910.1	XP_020880678.1
OG0000077	XP_013594901.1	XP_020881582.1, XP_020881188.1
OG0000077	XP_013586946.1	XP_020890121.1, XP_002863849.1
OG0000078	XP_013595132.1	XP_002884413.1
OG0000078	XP_013621464.1, XP_013616580.1	XP_020877805.1, XP_020877807.1
OG0000078	XP_013621006.1, XP_013626763.1, XP_013621468.1, XP_013621008.1, XP_013616647.1, XP_013627003.1	XP_002871799.1, XP_020877812.1, XP_002873872.1, XP_002873870.1, XP_020877813.1
OG0000079	XP_013624970.1, XP_013594646.1, XP_013614132.1, XP_013616960.1, XP_013617303.1, XP_013624135.1, XP_013633128.1, XP_013589234.1, XP_013617072.1, XP_013628163.1, XP_013607582.1, XP_013633006.1, XP_013624630.1, XP_013639297.1, XP_013634828.1, XP_013583409.1, XP_013639827.1, XP_013588116.1, XP_013594953.1, XP_013624305.1, XP_013614606.1, XP_013617685.1, XP_013617550.1, XP_013617194.1, XP_013639436.1, XP_013623727.1, XP_013594276.1, XP_013589590.1, XP_013583246.1, XP_013617780.1, XP_013633220.1, XP_013607786.1, XP_013608501.1, XP_013624109.1, XP_013594551.1, XP_013639155.1, XP_013624409.1, XP_013583323.1, XP_013594743.1, XP_013601442.1, XP_013631864.1, XP_013589277.1, XP_013639764.1, XP_013583349.1, XP_013589235.1, XP_013624731.1, XP_013591028.1, XP_013584961.1, XP_013624775.1, XP_013594486.1	XP_020866196.1, XP_020866590.1, XP_020884659.1, XP_020866719.1, XP_020869681.1, XP_020880717.1, XP_020866201.1, XP_020881865.1, XP_020878083.1
OG0000080	XP_013588982.1, XP_013617440.1, XP_013589052.1, XP_013632928.1	XP_020866750.1
OG0000081	XP_013628529.1	XP_020870247.1
OG0000081	XP_013607575.1	XP_020879148.1, XP_020865942.1, XP_020889237.1, XP_002874062.1, XP_020882894.1
OG0000082	XP_013608417.1	XP_020881708.1, XP_020869010.1, XP_020883385.1
OG0000082	XP_013632994.1	XP_020879679.1
OG0000082	XP_013613884.1, XP_013621650.1, XP_013624715.1, XP_013628088.1, XP_013617793.1	XP_020878439.1
OG0000082	XP_013633229.1	XP_020875863.1
OG0000084	XP_013607493.1	XP_020886029.1, XP_020876858.1, XP_020886073.1
OG0000084	XP_013614439.1	XP_020874751.1
OG0000084	XP_013624725.1, XP_013594835.1	XP_020876480.1
OG0000086	XP_013634315.1	XP_002870579.2
OG0000086	XP_013633763.1	XP_020872358.1, XP_002868822.1, XP_002868821.2
OG0000086	XP_013588679.1	XP_020889890.1, XP_020889891.1
OG0000089	XP_013598457.1	XP_020879374.1
OG0000089	XP_013629292.1, XP_013629087.1, XP_013629400.1	XP_020871804.1
OG0000089	XP_013637001.1, XP_013636732.1	XP_020883550.1
OG0000089	XP_013611442.1	XP_002873559.1
OG0000089	XP_013620476.1, XP_013612217.1, XP_013598244.1	XP_002863588.1
OG0000089	XP_013592047.1	XP_020890671.1
OG0000090	XP_013583304.1, XP_013639396.1, XP_013589414.1, XP_013594235.1, XP_013631714.1, XP_013631210.1, XP_013609373.1	XP_020868126.1
OG0000091	XP_013629613.1, XP_013613460.1, XP_013612884.1, XP_013610320.1, XP_013626983.1, XP_013626981.1, XP_013626986.1, XP_013630073.1, XP_013626984.1, XP_013626980.1	XP_002880903.1
OG0000091	XP_013603553.1	XP_020881827.1
OG0000091	XP_013612192.1	XP_020881857.1, XP_020881860.1
OG0000091	XP_013627653.1, XP_013607358.1	XP_020878730.1
OG0000091	XP_013631070.1	XP_002864053.1
OG0000091	XP_013629254.1	XP_020880184.1
OG0000095	XP_013631674.1	XP_020884025.1
OG0000095	XP_013633256.1, XP_013635632.1, XP_013632293.1, XP_013633255.1	XP_020884027.1
OG0000095	XP_013635569.1, XP_013637583.1	XP_020883521.1, XP_020884655.1, XP_002878787.2
OG0000096	XP_013627644.1	XP_020866895.1, XP_002885709.2, XP_020888916.1, XP_002885705.1, XP_002885707.1
OG0000096	XP_013627729.1	XP_020888942.1
OG0000098	XP_013614188.1, XP_013615334.1	XP_020865728.1
OG0000098	XP_013617934.1	XP_002893476.1, XP_020869068.1, XP_020885549.1
OG0000100	XP_013606369.1	XP_002886645.1
OG0000100	XP_013611228.1, XP_013611226.1, XP_013608605.1	XP_002887938.1, XP_020891283.1
OG0000100	XP_013608606.1, XP_013613878.1	XP_020891540.1
OG0000100	XP_013607667.1	XP_002886379.1
OG0000102	XP_013631333.1	XP_002863972.2, XP_002874850.1
OG0000102	XP_013623936.1, XP_013623935.1, XP_013599827.1, XP_013584794.1	XP_002874842.1
OG0000105	XP_013604666.1	XP_020875322.1
OG0000105	XP_013622332.1, XP_013635280.1	XP_020870827.1, XP_020886025.1, XP_020868736.1
OG0000106	XP_013617293.1, XP_013623159.1, XP_013624755.1, XP_013624609.1	XP_020871478.1, XP_020889746.1
OG0000107	XP_013635068.1, XP_013624257.1	XP_002883228.1
OG0000107	XP_013586700.1	XP_002883226.2
OG0000107	XP_013639727.1	XP_020888430.1, XP_020886789.1, XP_002870246.2
OG0000108	XP_013617448.1, XP_013629514.1, XP_013636515.1, XP_013636180.1	XP_002879684.1, XP_020880453.1, XP_020883890.1
OG0000108	XP_013623319.1	XP_020882238.1, XP_020871933.1
OG0000108	XP_013587485.1	XP_020888275.1
OG0000108	XP_013591456.1, XP_013611822.1, XP_013629368.1, XP_013620685.1	XP_020876820.1
OG0000108	XP_013586823.1	XP_020867828.1, XP_002883150.1
OG0000109	XP_013638689.1, XP_013623052.1	XP_020882760.1
OG0000109	XP_013607861.1, XP_013583419.1, XP_013639649.1, XP_013615002.1, XP_013594821.1, XP_013633807.1, XP_013594521.1, XP_013597172.1, XP_013595200.1	XP_020888645.1, XP_020871279.1, XP_020885342.1, XP_020881978.1, XP_020865755.1, XP_002877246.2, XP_020872649.1
OG0000110	XP_013600964.1, XP_013609595.1, XP_013639169.1, XP_013617798.1, XP_013624429.1, XP_013594148.1, XP_013639536.1, XP_013589681.1, XP_013639703.1	XP_020870662.1
OG0000111	XP_013597065.1, XP_013591106.1, XP_013610702.1, XP_013624096.1, XP_013585759.1, XP_013603466.1	XP_002875482.1
OG0000111	XP_013588950.1, XP_013594866.1, XP_013594868.1, XP_013594869.1, XP_013594861.1, XP_013594864.1, XP_013624024.1	XP_020865753.1
OG0000114	XP_013594356.1	XP_020885335.1, XP_020881794.1, XP_020882022.1
OG0000115	XP_013594843.1, XP_013623916.1	XP_020889357.1
OG0000115	XP_013639212.1, XP_013615106.1, XP_013624777.1, XP_013633277.1	XP_020887611.1, XP_020887091.1
OG0000115	XP_013613811.1, XP_013617115.1, XP_013589542.1, XP_013623819.1, XP_013632573.1, XP_013639801.1, XP_013617952.1, XP_013633409.1, XP_013601905.1	XP_020878531.1
OG0000116	XP_013624699.1, XP_013614960.1, XP_013617705.1, XP_013624600.1, XP_013590002.1, XP_013624601.1, XP_013619242.1, XP_013610162.1, XP_013615166.1, XP_013617423.1, XP_013617165.1, XP_013637479.1, XP_013594379.1, XP_013594380.1, XP_013617424.1, XP_013584766.1, XP_013636250.1, XP_013626247.1, XP_013615167.1, XP_013615592.1, XP_013589668.1, XP_013594376.1	XP_002893409.1, XP_020871442.1, XP_020883597.1
OG0000116	XP_013590735.1, XP_013613772.1, XP_013615531.1, XP_013611137.1, XP_013616308.1, XP_013635892.1	XP_020885057.1
OG0000117	XP_013586913.1	XP_020866886.1
OG0000117	XP_013603462.1, XP_013584900.1, XP_013586910.1	XP_020870031.1
OG0000117	XP_013596256.1	XP_002893302.1
OG0000117	XP_013600043.1, XP_013600044.1, XP_013600879.1, XP_013600539.1, XP_013600042.1, XP_013610363.1	XP_002893290.1, XP_002893291.1
OG0000118	XP_013615575.1	XP_020869283.1, XP_002881592.1, XP_020882923.1, XP_020882845.1, XP_020882847.1, XP_020885096.1, XP_020875172.1
OG0000118	XP_013624158.1	XP_020887711.1
OG0000119	XP_013617735.1	XP_020881724.1
OG0000119	XP_013633270.1	XP_002878927.2, XP_020885607.1, XP_002878925.2, XP_002875622.2, XP_020881725.1, XP_020881834.1, XP_020876007.1, XP_020881747.1, XP_002877410.2, XP_020881729.1, XP_020881748.1
OG0000119	XP_013608442.1	XP_020881738.1
OG0000119	XP_013608409.1, XP_013608411.1	XP_020881737.1
OG0000122	XP_013620024.1	XP_020865748.1
OG0000123	XP_013623897.1, XP_013623898.1	XP_002864096.1
OG0000124	XP_013633165.1	XP_020875630.1
OG0000124	XP_013589782.1	XP_020865972.1
OG0000125	XP_013605923.1	XP_020870885.1
OG0000125	XP_013590329.1	XP_020866497.1
OG0000125	XP_013589967.1	XP_020870264.1, XP_020870260.1, XP_020870269.1
OG0000125	XP_013605120.1	XP_020870262.1
OG0000125	XP_013625710.1	XP_020886058.1
OG0000126	XP_013631823.1	XP_020888446.1
OG0000126	XP_013639654.1, XP_013617857.1, XP_013617859.1	XP_020875868.1
OG0000126	XP_013614845.1	XP_020889780.1, XP_020866699.1, XP_020866698.1
OG0000126	XP_013594845.1	XP_020871413.1
OG0000127	XP_013606602.1, XP_013625682.1	XP_002874101.1
OG0000127	XP_013589314.1	XP_020885803.1
OG0000127	XP_013606787.1	XP_020872447.1, XP_002864658.2, XP_020880863.1
OG0000127	XP_013631988.1, XP_013631825.1, XP_013622502.1	XP_002879182.1
OG0000128	XP_013589380.1	XP_020879745.1
OG0000128	XP_013590480.1	XP_020880511.1
OG0000128	XP_013592532.1	XP_020880525.1
