Orthogroup	Brassica_oleracea	Conringia_planisiliqua
OG0000009	XP_013633284.1, XP_013589640.1, XP_013617979.1, XP_013608540.1, XP_013595158.1, XP_013589654.1, XP_013601782.1, XP_013588992.1, XP_013633488.1	CP12_g31672_DN2_SP0_c.t1
OG0000011	XP_013617429.1	CP9_g27503_DN1_SP0_c.t1, CP14_g23601_DN2_SP0_c.t1
OG0000011	XP_013586656.1, XP_013616817.1, XP_013639582.1	CP18_g11548_DN1_SP0_c.t1
OG0000011	XP_013591119.1	CP2_g50477_DN1_SP0_c.t1, CP26_g51198_DN2_SP0_c.t1, CP6_g8727_DN1_SP0_c.t1, CP12_g31720_DN3_SP0_c.t1, CP3_g16438_DN3_SP0_c.t1, CP18_g11618_DN2_SP0_c.t1
OG0000011	XP_013622528.1	CP2_g50476_DN3_SP0_c.t1, CP26_g51199_DN3_SP0_c.t1, CP20_g3893_DN1_SP0_c.t1, CP1_g39554_DN1_SP0_c.t1, CP3_g16756_DN2_SP0_c.t1, CP3_g16698_DN2_SP0_c.t1
OG0000011	XP_013589498.1, XP_013632628.1, XP_013633248.1	CP15_g35899_DN2_SP0_c.t1
OG0000015	XP_013607960.1	CP18_g12234_DN1_SP0_c.t1
OG0000015	XP_013608212.1	CP8_g52640_DN2_SP0_c.t1, CP9_g27629_DN1_SP0_c.t1
OG0000015	XP_013614071.1	CP1_g39589_DN1_SP0_c.t1, CP6_g9040_DN3_SP0_c.t1, CP14_g23836_DN3_SP0_c.t1, CP16_g55483_DN2_SP0_c.t1, CP27_g41927_DN1_SP0_c.t1
OG0000015	XP_013639551.1, XP_013614992.1, XP_013617706.1, XP_013617083.1, XP_013615209.1, XP_013617324.1	CP9_g27744_DN1_SP0_c.t1
OG0000015	XP_013594602.1	CP6_g9737_DN2_SP0_c.t1
OG0000015	XP_013613389.1	CP26_g51309_DN1_SP0_c.t1, CP22_g17109_DN3_SP0_c.t1
OG0000015	XP_013617465.1	CP26_g51311_DN3_SP0_c.t1, CP4_g26055_DN1_SP0_c.t1, CP15_g34881_DN2_SP0_c.t1, CP7_g44360_DN2_SP0_c.t1, CP1_g38946_DN3_SP0_c.t1, CP15_g34909_DN3_SP0_c.t1
OG0000015	XP_013613387.1	CP27_g41956_DN2_SP0_c.t1, CP27_g41954_DN2_SP0_c.t1, CP7_g44359_DN2_SP0_c.t1, CP22_g17112_DN1_SP0_c.t1
OG0000015	XP_013639376.1, XP_013583421.1, XP_013607863.1	CP2_g50255_DN1_SP0_c.t1
OG0000015	XP_013615586.1	CP7_g44209_DN2_SP0_c.t1
OG0000016	YP_004927455.1, XP_013617545.1, XP_013601273.1, XP_013589195.1, XP_013588937.1, XP_013639541.1, XP_013615067.1	CP24_g47422_DN2_SP0_c.t1
OG0000018	XP_013639843.1	CP3_g16393_DN1_SP0_c.t1
OG0000020	XP_013632401.1, XP_013624672.1, XP_013594657.1, XP_013601111.1, XP_013613669.1, XP_013589042.1, XP_013589244.1, XP_013632054.1, XP_013626814.1, XP_013616921.1, XP_013626793.1, XP_013601623.1, XP_013617516.1, XP_013624895.1, XP_013632844.1, XP_013615448.1, XP_013624951.1, XP_013601120.1, XP_013617481.1, XP_013633218.1, XP_013633384.1	CP17_g5482_DN2_SP0_c.t1, CP27_g41901_DN3_SP0_c.t1
OG0000020	XP_013631792.1, XP_013639770.1	CP28_g33976_DN2_SP0_c.t1
OG0000020	XP_013601210.1, XP_013617373.1	CP6_g8460_DN3_SP0_c.t1
OG0000021	XP_013608093.1, XP_013624295.1, XP_013632740.1, XP_013632330.1, XP_013594600.1, XP_013624087.1, XP_013616795.1, XP_013624037.1, XP_013635359.1, XP_013624942.1, XP_013639781.1, XP_013601073.1, XP_013632716.1, XP_013615260.1, XP_013639694.1, XP_013616959.1, XP_013633321.1, XP_013617328.1, XP_013633276.1, XP_013583343.1, XP_013624309.1, XP_013625589.1, XP_013592110.1, XP_013589433.1, XP_013595678.1, XP_013607721.1, XP_013608306.1, XP_013594522.1, XP_013608090.1, XP_013608094.1, XP_013632801.1, XP_013599600.1, XP_013589650.1, XP_013633047.1, XP_013613761.1, XP_013639394.1, XP_013601657.1, XP_013615573.1, XP_013608056.1, XP_013583415.1, XP_013624628.1, XP_013594507.1, XP_013631302.1	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1
OG0000022	XP_013606166.1	CP2_g49169_DN2_SP0_c.t1
OG0000023	XP_013624019.1, XP_013608330.1, XP_013639408.1, XP_013588873.1, XP_013613579.1, XP_013639689.1, XP_013615160.1, XP_013594643.1, XP_013589396.1, XP_013624598.1, XP_013630282.1, XP_013633092.1, XP_013617401.1, XP_013589397.1, XP_013632474.1, XP_013617360.1, XP_013624559.1, XP_013624147.1, XP_013630371.1, XP_013616977.1, XP_013607670.1, XP_013607828.1, XP_013617615.1, XP_013631991.1, XP_013608049.1, XP_013639746.1, XP_013589351.1, XP_013632550.1, XP_013607989.1, XP_013589200.1, XP_013613476.1, XP_013607705.1, XP_013608042.1, XP_013608012.1, XP_013594286.1, XP_013614920.1, XP_013632806.1, XP_013601010.1, XP_013598954.1, XP_013617098.1, XP_013620254.1, XP_013624411.1, XP_013639572.1, XP_013608082.1, XP_013639693.1, XP_013614919.1, XP_013623215.1, XP_013617060.1	CP35_g52033_DN3_SP0_c.t1
OG0000024	XP_013597425.1	CP2_g48829_DN3_SP0_c.t1
OG0000024	XP_013589185.1, XP_013627670.1	CP7_g44485_DN2_SP0_c.t1
OG0000024	XP_013605203.1	CP3_g13494_DN2_SP0_c.t1
OG0000026	XP_013624845.1, XP_013617677.1, XP_013639735.1, XP_013614002.1, XP_013608308.1	CP17_g5856_DN1_SP0_c.t1
OG0000029	XP_013639358.1, XP_013607940.1, XP_013594529.1, XP_013632897.1, XP_013589092.1, XP_013600973.1, XP_013600972.1, XP_013617164.1, XP_013617163.1, XP_013633388.1, XP_013632483.1, XP_013601217.1, XP_013617192.1, XP_013613525.1, XP_013607906.1, XP_013624878.1, XP_013632925.1, XP_013633078.1, XP_013615203.1, XP_013624064.1, XP_013623917.1, XP_013624131.1	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1
OG0000029	XP_013632714.1	CP15_g35522_DN1_SP0_c.t1
OG0000029	XP_013589179.1	CP22_g17657_DN2_SP0_c.t1, CP6_g8506_DN2_SP0_c.t1
OG0000029	XP_013617135.1, XP_013615424.1	CP4_g26313_DN1_SP0_c.t1, CP6_g8507_DN1_SP0_c.t1, CP15_g35521_DN1_SP0_c.t1, CP3_g15880_DN1_SP0_c.t1
OG0000029	XP_013639720.1	CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1
OG0000029	XP_013617760.1, XP_013624401.1, XP_013607990.1, XP_013608166.1, XP_013594294.1, XP_013608053.1, XP_013625078.1, XP_013594326.1, XP_013601174.1, XP_013589221.1	CP4_g26295_DN2_SP0_c.t1
OG0000029	XP_013614462.1, XP_013639354.1, XP_013601446.1, XP_013607781.1	CP17_g5929_DN1_SP0_c.t1
OG0000029	XP_013589171.1, XP_013614958.1, XP_013594720.1, XP_013615262.1, XP_013594302.1	CP15_g35523_DN1_SP0_c.t1, CP24_g47108_DN1_SP0_c.t1
OG0000029	XP_013617097.1	CP4_g26137_DN1_SP0_c.t1
OG0000030	XP_013594890.1, XP_013594892.1, XP_013593712.1, XP_013589720.1, XP_013589717.1	CP11_g31940_DN3_SP0_c.t1
OG0000030	XP_013614569.1	CP10_g43326_DN2_SP0_c.t1
OG0000031	XP_013614946.1, XP_013601644.1	CP12_g30554_DN2_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1
OG0000031	XP_013624050.1	CP15_g34657_DN1_SP0_c.t1, CP15_g34638_DN1_SP0_c.t1, CP15_g34584_DN1_SP0_c.t1, CP15_g34568_DN1_SP0_c.t1
OG0000031	XP_013639523.1, XP_013617600.1, XP_013613695.1, XP_013613933.1, XP_013634348.1, XP_013614917.1, XP_013633236.1, XP_013624976.1, XP_013624480.1, XP_013624130.1, XP_013594397.1, XP_013624165.1, XP_013624059.1, XP_013601571.1, XP_013594684.1	CP1_g38484_DN3_SP0_c.t1
OG0000031	XP_013608008.1, XP_013608007.1, XP_013583445.1	CP6_g7806_DN1_SP0_c.t1
OG0000032	XP_013638158.1	CP8_g52855_DN2_SP0_c.t1, CP64_g21090_DN2_SP0_c.t1
OG0000032	XP_013601246.1	CP64_g21089_DN1_SP0_c.t1, CP5_g3357_DN2_SP0_c.t1, CP18_g12571_DN2_SP0_c.t1, CP14_g23529_DN3_SP0_c.t1
OG0000034	XP_013606762.1	CP13_g20065_DN3_SP0_c.t1
OG0000035	XP_013636991.1	CP14_g23646_DN2_SP0_c.t1, CP14_g23679_DN2_SP0_c.t1, CP117_g56225_DN2_SP0_c.t1, CP103_g21003_DN2_SP0_c.t1, CP63_g12714_DN2_SP0_c.t1
OG0000035	XP_013591294.1, XP_013589634.1, XP_013619342.1, XP_013609967.1, XP_013610013.1, XP_013613456.1, XP_013608076.1	CP1_g40830_DN2_SP0_c.t1, CP4_g26781_DN3_SP0_c.t1, CP24_g46983_DN2_SP0_c.t1, CP3_g16137_DN3_SP0_c.t1, CP26_g51196_DN1_SP0_c.t1
OG0000038	XP_013589056.1	CP14_g22980_DN1_SP0_c.t1
OG0000038	XP_013608456.1	CP6_g8155_DN1_SP0_c.t1
OG0000038	XP_013601144.1, YP_004927454.1	CP6_g7770_DN1_SP0_c.t1, CP28_g33935_DN3_SP0_c.t1
OG0000038	XP_013608254.1	CP15_g35533_DN1_SP0_c.t1
OG0000038	XP_013632913.1, XP_013629110.1, XP_013617268.1, XP_013594540.1, XP_013624869.1, XP_013589148.1	CP29_g22117_DN1_SP0_c.t1
OG0000038	XP_013617395.1	CP8_g52351_DN2_SP0_c.t1
OG0000038	XP_013614248.1	CP7_g44433_DN3_SP0_c.t1
OG0000039	XP_013617482.1, XP_013617341.1, XP_013594349.1, XP_013628062.1, XP_013624733.1, XP_013616886.1, XP_013609584.1, XP_013589456.1, XP_013617923.1, XP_013617127.1, XP_013617642.1, XP_013632918.1, XP_013594872.1, XP_013632749.1, XP_013615553.1, XP_013624923.1, XP_013607974.1, XP_013614900.1, XP_013615296.1, XP_013614545.1, XP_013613737.1, XP_013601526.1, XP_013614819.1, XP_013614881.1, XP_013615380.1, XP_013632747.1, XP_013634328.1, XP_013608243.1, XP_013617407.1, XP_013632979.1, XP_013633001.1, XP_013632553.1	CP24_g47137_DN2_SP0_c.t1
OG0000040	XP_013585161.1	CP4_g26084_DN1_SP0_c.t1
OG0000040	XP_013632514.1	CP11_g31841_DN1_SP0_c.t1
OG0000040	XP_013594979.1, XP_013639304.1, XP_013624167.1, XP_013607608.1, XP_013617694.1, XP_013639357.1, XP_013633484.1, XP_013632444.1, XP_013632629.1, XP_013607766.1, XP_013601326.1, XP_013639640.1, XP_013601738.1, XP_013614391.1, XP_013633978.1, XP_013639305.1, XP_013607564.1, XP_013624085.1, XP_013601671.1, XP_013617167.1	CP15_g36146_DN1_SP0_c.t1
OG0000041	XP_013632342.1	CP7_g44254_DN1_SP0_c.t1
OG0000042	XP_013624485.1, XP_013584641.1, XP_013629200.1, XP_013594415.1, XP_013589285.1, XP_013632940.1, XP_013639621.1, XP_013630837.1	CP8_g52167_DN3_SP0_c.t1, CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1
OG0000042	XP_013589127.1, XP_013624490.1	CP26_g51211_DN3_SP0_c.t1
OG0000042	XP_013601612.1, XP_013639620.1	CP6_g9916_DN1_SP0_c.t1
OG0000042	XP_013633216.1	CP8_g52519_DN1_SP0_c.t1
OG0000043	XP_013593469.1	CP15_g35835_DN2_SP0_c.t1
OG0000046	XP_013633177.1	CP1_g39285_DN1_SP0_c.t1, CP8_g52809_DN3_SP0_c.t1
OG0000048	XP_013589584.1, XP_013619895.1	CP9_g28258_DN1_SP0_c.t1
OG0000048	XP_013634026.1	CP4_g25641_DN3_SP0_c.t1, CP4_g25622_DN2_SP0_c.t1, CP13_g20135_DN3_SP0_c.t1
OG0000049	XP_013594567.1, XP_013614092.1, XP_013608021.1	CP3_g15633_DN2_SP0_c.t1
OG0000049	XP_013588948.1	CP21_g11009_DN3_SP0_c.t1
OG0000049	XP_013617009.1	CP17_g4884_DN2_SP0_c.t1, CP17_g4930_DN2_SP0_c.t1
OG0000049	XP_013589081.1, XP_013594357.1, XP_013633424.1, XP_013617620.1	CP1_g41262_DN3_SP0_c.t1
OG0000050	XP_013607678.1	CP9_g27575_DN2_SP0_c.t1, CP1_g38613_DN1_SP0_c.t1
OG0000050	XP_013617131.1	CP3_g15240_DN2_SP0_c.t1, CP5_g3337_DN1_SP0_c.t1
OG0000050	XP_013594629.1	CP4_g26837_DN2_SP0_c.t1, CP3_g16491_DN1_SP0_c.t1
OG0000050	XP_013583387.1, XP_013615022.1	CP15_g34543_DN2_SP0_c.t1
OG0000050	XP_013617828.1	CP1_g39907_DN2_SP0_c.t1
OG0000050	XP_013617130.1	CP5_g3335_DN2_SP0_c.t1, CP3_g15241_DN1_SP0_c.t1, CP21_g11182_DN2_SP0_c.t1
OG0000051	XP_013635946.1, XP_013623985.1	CP4_g24481_DN3_SP0_c.t1
OG0000051	XP_013589464.1, XP_013610001.1	CP1_g36582_DN3_SP0_c.t1, CP2_g49248_DN2_SP0_c.t1
OG0000051	XP_013590443.1	CP2_g49334_DN3_SP0_c.t1
OG0000051	XP_013632327.1, XP_013632325.1, XP_013632324.1	CP4_g24480_DN3_SP0_c.t1
OG0000051	XP_013610546.1	CP4_g24479_DN3_SP0_c.t1
OG0000052	XP_013594927.1, XP_013594267.1, XP_013610604.1	CP13_g19766_DN3_SP0_c.t1
OG0000052	XP_013615703.1, XP_013630964.1	CP3_g14092_DN3_SP0_c.t1
OG0000054	XP_013632520.1, XP_013624716.1, XP_013633849.1, XP_013632930.1, XP_013594935.1, XP_013639402.1	CP29_g22024_DN2_SP0_c.t1
OG0000055	XP_013623695.1, XP_013623796.1, XP_013628424.1, XP_013606594.1, XP_013593729.1	CP12_g30730_DN2_SP0_c.t1
OG0000055	XP_013589549.1	CP10_g42649_DN3_SP0_c.t1
OG0000055	XP_013627468.1	CP10_g42516_DN3_SP0_c.t1
OG0000056	XP_013607370.1	CP2_g49071_DN3_SP0_c.t1
OG0000056	XP_013631517.1	CP2_g49077_DN3_SP0_c.t1
OG0000056	XP_013607317.1	CP11_g31796_DN3_SP0_c.t1
OG0000056	XP_013616526.1	CP2_g49076_DN3_SP0_c.t1
OG0000056	XP_013625145.1	CP2_g49081_DN1_SP0_c.t1
OG0000056	XP_013601283.1, XP_013631987.1	CP2_g49073_DN2_SP0_c.t1
OG0000056	XP_013615259.1, XP_013588767.1, XP_013611134.1	CP2_g49031_DN3_SP0_c.t1
OG0000058	XP_013595076.1, XP_013611257.1, XP_013589048.1, XP_013617878.1	CP17_g5406_DN1_SP0_c.t1
OG0000058	XP_013617146.1, XP_013639508.1, XP_013617228.1, XP_013589295.1	CP13_g20701_DN3_SP0_c.t1
OG0000059	XP_013610732.1, XP_013627758.1, XP_013597073.1	CP1_g38971_DN3_SP0_c.t1, CP20_g3949_DN2_SP0_c.t1
OG0000059	XP_013601178.1, XP_013585552.1, XP_013585426.1, XP_013597521.1, XP_013605214.1, XP_013604150.1, XP_013628178.1, XP_013615848.1, XP_013585461.1	CP4_g26576_DN3_SP0_c.t1
OG0000059	XP_013583425.1, XP_013619334.1, XP_013615788.1, XP_013608198.1, XP_013601480.1	CP9_g27482_DN3_SP0_c.t1
OG0000061	XP_013615642.1, XP_013615706.1	CP9_g28787_DN2_SP0_c.t1
OG0000062	XP_013616821.1, XP_013589102.1	CP24_g46981_DN1_SP0_c.t1, CP4_g26777_DN2_SP0_c.t1, CP18_g11589_DN2_SP0_c.t1, CP1_g40826_DN1_SP0_c.t1
OG0000062	XP_013611276.1	CP4_g26549_DN1_SP0_c.t1
OG0000062	XP_013633119.1	CP20_g3940_DN3_SP0_c.t1
OG0000062	XP_013614135.1, XP_013608129.1	CP27_g41852_DN3_SP0_c.t1, CP3_g15593_DN3_SP0_c.t1
OG0000062	XP_013589201.1, XP_013628127.1, XP_013616946.1	CP5_g2505_DN3_SP0_c.t1, CP20_g4062_DN3_SP0_c.t1
OG0000063	XP_013639776.1, XP_013624680.1	CP14_g23881_DN1_SP0_c.t1
OG0000063	XP_013612628.1, XP_013589440.1	CP1_g39921_DN2_SP0_c.t1, CP1_g40425_DN2_SP0_c.t1
OG0000063	XP_013594591.1	CP4_g26223_DN2_SP0_c.t1
OG0000063	XP_013594553.1	CP37_g11370_DN1_SP0_c.t1, CP5_g3265_DN3_SP0_c.t1
OG0000063	XP_013624346.1, XP_013589240.1	CP3_g16300_DN1_SP0_c.t1, CP4_g26798_DN1_SP0_c.t1, CP4_g26225_DN1_SP0_c.t1
OG0000063	XP_013617918.1, XP_013639565.1	CP21_g10523_DN3_SP0_c.t1
OG0000063	XP_013589241.1, XP_013616951.1, XP_013617080.1	CP15_g36114_DN1_SP0_c.t1, CP18_g12288_DN1_SP0_c.t1
OG0000063	XP_013594756.1	CP21_g10524_DN1_SP0_c.t1
OG0000063	XP_013632829.1	CP15_g36115_DN1_SP0_c.t1, CP9_g27438_DN1_SP0_c.t1, CP33_g3650_DN2_SP0_c.t1
OG0000064	XP_013610623.1, XP_013607250.1, XP_013610669.1, XP_013607249.1, XP_013607956.1, XP_013607248.1, XP_013607251.1, XP_013610335.1, XP_013610576.1, XP_013610543.1, XP_013610675.1, XP_013610622.1	CP18_g12051_DN1_SP0_c.t1
OG0000065	XP_013591996.1	CP9_g28234_DN3_SP0_c.t1
OG0000065	XP_013634420.1	CP5_g1666_DN1_SP0_c.t1
OG0000065	XP_013635767.1	CP5_g1580_DN2_SP0_c.t1
OG0000066	XP_013606481.1, XP_013621521.1, XP_013609086.1, XP_013631332.1, XP_013599938.1, XP_013637372.1, XP_013618388.1	CP4_g25642_DN3_SP0_c.t1, CP2_g49425_DN3_SP0_c.t1
OG0000067	XP_013633362.1, XP_013607574.1, XP_013623908.1, XP_013607769.1, XP_013617274.1, XP_013628824.1, XP_013624947.1, XP_013625669.1, XP_013614098.1, XP_013617376.1, XP_013594753.1, XP_013583275.1, XP_013616913.1, XP_013588882.1, XP_013617582.1, XP_013623105.1, XP_013632497.1, XP_013632721.1, XP_013639226.1, XP_013639577.1, XP_013625005.1, XP_013632722.1, XP_013614070.1, XP_013632725.1, XP_013607826.1, XP_013619235.1	CP17_g5644_DN3_SP0_c.t1, CP17_g5532_DN2_SP0_c.t1
OG0000068	XP_013610551.1, XP_013611652.1, XP_013606907.1, XP_013623793.1, XP_013626885.1	CP12_g31237_DN3_SP0_c.t1
OG0000069	XP_013595072.1, XP_013595074.1, XP_013593308.1, XP_013595679.1, XP_013628142.1, XP_013616556.1, XP_013617153.1, XP_013616555.1, XP_013624438.1, XP_013599129.1	CP2_g48010_DN3_SP0_c.t1
OG0000070	XP_013620477.1	CP17_g5790_DN3_SP0_c.t1
OG0000070	XP_013596729.1, XP_013597497.1, XP_013615827.1, XP_013628560.1	CP7_g45746_DN3_SP0_c.t1
OG0000070	XP_013590715.1	CP1_g38202_DN3_SP0_c.t1, CP1_g38197_DN2_SP0_c.t1
OG0000072	XP_013608083.1	CP5_g1872_DN1_SP0_c.t1, CP13_g20359_DN3_SP0_c.t1, CP15_g35743_DN2_SP0_c.t1, CP2_g50526_DN2_SP0_c.t1, CP18_g11730_DN1_SP0_c.t1, CP20_g3870_DN2_SP0_c.t1, CP28_g33939_DN2_SP0_c.t1, CP15_g36057_DN3_SP0_c.t1, CP17_g5132_DN3_SP0_c.t1, CP4_g26050_DN2_SP0_c.t1
OG0000072	XP_013632615.1	CP2_g49697_DN3_SP0_c.t1
OG0000072	XP_013624988.1	CP22_g17290_DN2_SP0_c.t1, CP3_g16601_DN1_SP0_c.t1, CP12_g31150_DN2_SP0_c.t1, CP17_g5883_DN3_SP0_c.t1, CP6_g9758_DN1_SP0_c.t1
OG0000073	XP_013589645.1, XP_013632880.1	CP5_g2097_DN2_SP0_c.t1
OG0000073	XP_013633273.1	CP18_g11666_DN2_SP0_c.t1, CP29_g22116_DN2_SP0_c.t1, CP8_g53133_DN1_SP0_c.t1, CP4_g26011_DN1_SP0_c.t1
OG0000073	XP_013600985.1	CP15_g35379_DN3_SP0_c.t1
OG0000073	XP_013632609.1, XP_013624269.1	CP6_g8294_DN1_SP0_c.t1
OG0000073	XP_013624740.1	CP13_g20431_DN2_SP0_c.t1
OG0000073	XP_013633239.1	CP15_g34957_DN1_SP0_c.t1
OG0000073	XP_013624080.1	CP6_g9730_DN1_SP0_c.t1
OG0000073	XP_013617425.1	CP18_g12305_DN2_SP0_c.t1
OG0000074	XP_013594389.1	CP12_g31536_DN1_SP0_c.t1
OG0000075	XP_013619645.1	CP8_g52237_DN3_SP0_c.t1
OG0000076	XP_013598018.1	CP5_g77_DN1_SP0_c.t1
OG0000076	XP_013632642.1	CP4_g25752_DN2_SP0_c.t1
