Orthogroup	Brassica_oleracea	Eutrema_salsugineum
OG0000029	XP_013617760.1, XP_013624401.1, XP_013607990.1, XP_013608166.1, XP_013594294.1, XP_013608053.1, XP_013625078.1, XP_013594326.1, XP_013601174.1, XP_013589221.1	XP_024007219.1, XP_024004754.1, XP_024004102.1
OG0000029	XP_013589171.1, XP_013614958.1, XP_013594720.1, XP_013615262.1, XP_013594302.1	XP_024013922.1
OG0000029	XP_013639737.1, XP_013639097.1	XP_024009259.1, XP_024004045.1
OG0000030	XP_013608319.1, XP_013628311.1, XP_013628312.1	XP_006391637.1
OG0000030	XP_013594890.1, XP_013594892.1, XP_013593712.1, XP_013589720.1, XP_013589717.1	XP_024008003.1
OG0000030	XP_013624262.1	XP_024010547.1, XP_024015244.1
OG0000031	XP_013632387.1, XP_013632408.1, XP_013623671.1	XP_024014022.1
OG0000031	XP_013614946.1, XP_013601644.1	XP_024016318.1
OG0000031	XP_013588971.1, XP_013632793.1, XP_013623955.1	XP_024011171.1
OG0000031	XP_013615185.1, XP_013613786.1	XP_024010652.1, XP_024013936.1
OG0000031	XP_013631555.1, XP_013624635.1, XP_013589264.1, XP_013594915.1	XP_024010348.1, XP_024013381.1, XP_024010913.1, XP_024006569.1
OG0000031	XP_013624050.1	XP_024014349.1, XP_024006862.1, XP_024006618.1, XP_024016129.1
OG0000031	XP_013624104.1, XP_013633468.1, XP_013639518.1, XP_013607585.1, XP_013614124.1, XP_013616791.1, XP_013633480.1	XP_024011268.1
OG0000031	XP_013616776.1, XP_013614852.1, XP_013607758.1, XP_013583385.1	XP_024008010.1, XP_024009300.1, XP_024006120.1
OG0000031	XP_013623894.1, XP_013616943.1, XP_013607912.1, XP_013607913.1, XP_013639448.1, XP_013632732.1, XP_013628576.1, XP_013615610.1, XP_013595052.1, XP_013623848.1, XP_013632735.1	XP_024011224.1
OG0000032	XP_013627760.1, XP_013633361.1, XP_013601359.1	XP_024005014.1
OG0000032	XP_013601246.1	XP_024009309.1
OG0000032	XP_013629542.1, XP_013607685.1	XP_024004841.1, XP_024010402.1
OG0000032	XP_013617329.1, XP_013624292.1, XP_013624599.1, XP_013608349.1, XP_013594377.1	XP_024009276.1, XP_024004049.1
OG0000034	XP_013595252.1, XP_013595253.1	XP_006413571.1
OG0000034	XP_013598717.1	XP_024010975.1
OG0000034	XP_013595246.1, XP_013595249.1	XP_006413574.2
OG0000034	XP_013594180.1, XP_013598071.1	XP_024005104.1
OG0000034	XP_013598971.1	XP_006413567.2
OG0000034	XP_013595245.1	XP_024004626.1
OG0000034	XP_013593131.1	XP_006413576.1
OG0000035	XP_013636991.1, XP_013607885.1, XP_013618965.1	XP_024010425.1, XP_024007977.1
OG0000035	XP_013624058.1, XP_013632481.1, XP_013595099.1, XP_013618966.1, XP_013639600.1	XP_024008048.1, XP_024009273.1, XP_006391890.2, XP_024010301.1, XP_024016312.1, XP_024014902.1, XP_024016657.1, XP_024013938.1
OG0000035	XP_013591294.1, XP_013589634.1, XP_013619342.1, XP_013609967.1, XP_013610013.1, XP_013613456.1, XP_013608076.1, XP_013619617.1, XP_013602972.1, XP_013583292.1, XP_013636990.1	XP_024004785.1, XP_024005785.1, XP_024004877.1, XP_024016694.1, XP_024016229.1, XP_024011093.1, XP_024010243.1, XP_024006613.1, XP_006409421.2, XP_024009313.1, XP_024006556.1, XP_024015936.1
OG0000035	XP_013591120.1	XP_024016804.1
OG0000038	XP_013639484.1, XP_013594584.1, XP_013617588.1, XP_013589056.1	XP_024013061.1
OG0000038	XP_013608254.1	XP_024006448.1
OG0000038	XP_013639330.1, XP_013601585.1, XP_013601388.1, XP_013624388.1, XP_013634867.1, XP_013617172.1, XP_013615285.1	XP_024011196.1
OG0000039	XP_013617482.1, XP_013617341.1, XP_013594349.1, XP_013628062.1, XP_013624733.1, XP_013616886.1, XP_013609584.1, XP_013589456.1, XP_013617923.1, XP_013617127.1, XP_013617642.1, XP_013632918.1, XP_013594872.1, XP_013632749.1, XP_013615553.1, XP_013624923.1, XP_013607974.1, XP_013614900.1, XP_013615296.1, XP_013614545.1, XP_013613737.1, XP_013601526.1, XP_013614819.1, XP_013614881.1, XP_013615380.1, XP_013632747.1, XP_013634328.1, XP_013608243.1, XP_013617407.1, XP_013632979.1, XP_013633001.1, XP_013632553.1	XP_024006661.1
OG0000040	XP_013601552.1, XP_013616916.1, XP_013601670.1	XP_024006069.1
OG0000040	XP_013632514.1, XP_013601198.1, XP_013617894.1, XP_013600988.1, XP_013632963.1, XP_013594938.1, XP_013601900.1, XP_013617173.1	XP_024009299.1
OG0000040	XP_013639460.1	XP_024007589.1
OG0000040	XP_013594979.1, XP_013639304.1, XP_013624167.1, XP_013607608.1, XP_013617694.1, XP_013639357.1, XP_013633484.1, XP_013632444.1, XP_013632629.1, XP_013607766.1, XP_013601326.1, XP_013639640.1, XP_013601738.1, XP_013614391.1, XP_013633978.1, XP_013639305.1, XP_013607564.1, XP_013624085.1, XP_013601671.1, XP_013617167.1	XP_024004988.1
OG0000041	XP_013615307.1, XP_013623756.1, XP_013639341.1	XP_024011200.1
OG0000041	XP_013616889.1, XP_013632541.1, XP_013614613.1, XP_013639828.1, XP_013607701.1	XP_024004768.1
OG0000041	XP_013624430.1, XP_013613797.1, XP_013608404.1, XP_013594654.1	XP_024011348.1
OG0000042	XP_013632940.1, XP_013639621.1	XP_024009659.1
OG0000042	XP_013601612.1, XP_013639620.1	XP_024009944.1
OG0000042	XP_013598956.1	XP_024006466.1
OG0000043	XP_013593469.1, XP_013639450.1	XP_024014240.1
OG0000044	XP_013628727.1	XP_024013343.1
OG0000044	XP_013624330.1	XP_024009991.1
OG0000044	XP_013611210.1, XP_013619061.1	XP_006398345.1
OG0000046	XP_013633177.1	XP_006401889.2, XP_024011380.1, XP_006389862.1, XP_024013796.1, XP_024010208.1, XP_006403918.2, XP_024006486.1, XP_024009662.1, XP_024009472.1, XP_024009471.1, XP_024009726.1, XP_024010419.1
OG0000047	XP_013624586.1, XP_013613730.1, XP_013624575.1, XP_013613469.1, XP_013639543.1, XP_013608051.1, XP_013601262.1, XP_013594511.1, XP_013613572.1	XP_024014421.1
OG0000048	XP_013634025.1	XP_024005913.1
OG0000048	XP_013589584.1, XP_013619895.1	XP_006391498.1
OG0000049	XP_013639365.1, XP_013589595.1, XP_013595002.1, XP_013617113.1, XP_013594567.1, XP_013614092.1, XP_013608021.1	XP_024006537.1
OG0000049	XP_013633223.1, XP_013639258.1, XP_013588964.1, XP_013601587.1, XP_013632693.1	XP_024009363.1
OG0000050	XP_013624860.1, XP_013588991.1, XP_013615054.1, XP_013639112.1, XP_013608470.1, XP_013633275.1, XP_013607553.1, XP_013624461.1, XP_013633665.1, XP_013627137.1, XP_013617208.1, XP_013594936.1, XP_013601380.1, XP_013589499.1, XP_013615086.1	XP_024013613.1, XP_024009750.1
OG0000050	XP_013617130.1	XP_024004962.1, XP_024006598.1
OG0000050	XP_013624813.1	XP_024015913.1, XP_024007981.1
OG0000051	XP_013609148.1, XP_013623987.1, XP_013601904.1	XP_024009195.1, XP_006418389.2, XP_024008111.1
OG0000051	XP_013635946.1, XP_013623985.1	XP_006411503.1
OG0000051	XP_013589464.1, XP_013610001.1	XP_006392148.1, XP_024013725.1, XP_024013699.1
OG0000051	XP_013632327.1, XP_013632325.1, XP_013632324.1	XP_024004231.1
OG0000051	XP_013610546.1	XP_024004184.1
OG0000052	XP_013610604.1	XP_024007553.1
OG0000054	XP_013633849.1, XP_013632930.1, XP_013594935.1, XP_013639402.1	XP_024009364.1
OG0000054	XP_013607965.1	XP_024010408.1, XP_024009470.1, XP_024013312.1, XP_024016521.1, XP_024013525.1, XP_024015866.1, XP_024010276.1
OG0000054	XP_013615172.1	XP_024013114.1, XP_024013119.1
OG0000054	XP_013632708.1	XP_024014412.1
OG0000054	XP_013617215.1	XP_024006543.1
OG0000054	XP_013589020.1	XP_024013932.1, XP_024006559.1, XP_024010157.1
OG0000054	XP_013615283.1, XP_013614144.1	XP_024010469.1
OG0000054	XP_013624645.1, XP_013615328.1	XP_024006482.1
OG0000054	XP_013615632.1, XP_013628408.1, XP_013639507.1, XP_013594559.1, XP_013632543.1	XP_024013069.1, XP_024009580.1, XP_024007298.1, XP_024007316.1
OG0000054	XP_013594826.1	XP_024010349.1
OG0000056	XP_013607370.1	XP_006391935.1
OG0000056	XP_013607317.1	XP_024016867.1
OG0000058	XP_013595076.1, XP_013611257.1, XP_013589048.1, XP_013617878.1	XP_024013600.1
OG0000058	XP_013617663.1, XP_013639834.1, XP_013617679.1, XP_013627147.1, XP_013608105.1, XP_013615368.1, XP_013639532.1, XP_013632562.1, XP_013624216.1, XP_013632506.1, XP_013617639.1, XP_013617202.1, XP_013633937.1, XP_013617146.1, XP_013639508.1, XP_013617228.1, XP_013589295.1	XP_024015982.1, XP_024013356.1, XP_024006629.1, XP_024016554.1, XP_024011207.1, XP_024014435.1, XP_024009368.1, XP_024014237.1, XP_024016380.1, XP_024011251.1, XP_024003653.1, XP_024009607.1, XP_024016240.1, XP_024016319.1, XP_024013206.1, XP_024011314.1, XP_024011360.1, XP_024010368.1, XP_024012295.1, XP_024009971.1, XP_024006803.1, XP_024006792.1, XP_024011140.1, XP_024013156.1
OG0000058	XP_013623959.1	XP_024009371.1, XP_024012609.1
OG0000059	XP_013601178.1, XP_013585552.1, XP_013585426.1, XP_013597521.1, XP_013605214.1, XP_013604150.1, XP_013628178.1, XP_013615848.1, XP_013585461.1	XP_024006590.1, XP_024012732.1, XP_024004843.1, XP_024004842.1, XP_024004831.1, XP_024004845.1, XP_024014239.1, XP_024013302.1, XP_024010380.1, XP_024013968.1, XP_024014568.1
