Orthogroup	Arabis_alpina	Odontarrhena_muralis
OG0000031	Aa_G447870.h1.t1	Om006G252510
OG0000031	Aa_G97120.h1.t1	Om002G063040
OG0000032	Aa_G631350.h1.t1	Om007G313850
OG0000032	Aa_G586180.h1.t1, Aa_G177110.h1.t1, Aa_G288650.h1.t1, Aa_G240420.h1.t1, Aa_G153590.h1.t1, Aa_G492670.h1.t1	Om008G348890
OG0000033	Aa_G619140.h1.t1, Aa_G782810.h1.t1	Om001G010240
OG0000033	Aa_G191730.h1.t1	Om001G011550
OG0000033	Aa_G58920.h1.t1	Om001G007120
OG0000033	Aa_G474070.h1.t1	Om001G010220
OG0000033	Aa_G191690.h1.t1	Om001G010110
OG0000034	Aa_G997690.h1.t1	Om010G364590, Om008G356530, Om001G014760
OG0000035	Aa_G584300.h1.t1	Om007G280400, Om005G227290, Om004G176320, Om007G280390
OG0000035	Aa_G43710.h1.t1	Om006G273920, Om002G042810
OG0000035	Aa_G570500.h1.t1, Aa_G7360.h1.t1, Aa_G393810.h1.t1, Aa_G274300.h1.t1	Om002G060840
OG0000035	Aa_G154560.h1.t1	Om004G132400, Om008G334460, Om007G279790
OG0000038	Aa_G525570.h1.t1	Om005G196570, Om004G131590
OG0000038	Aa_G470970.h1.t1	Om003G091800
OG0000038	Aa_G652770.h1.t1	Om001G029210
OG0000038	Aa_G572080.h1.t1, Aa_G136980.h1.t1	Om001G023300
OG0000038	Aa_G136990.h1.t1	Om002G053860, Om001G005520
OG0000040	Aa_G152820.h1.t1	Om007G309130
OG0000040	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1	Om008G328570
OG0000041	Aa_G262080.h1.t1, Aa_G56940.h1.t1	Om003G112520, Om001G018430, Om007G297590
OG0000046	Aa_G120780.h1.t1, Aa_G120790.h1.t1	Om006G241220
OG0000046	Aa_G439600.h1.t1, Aa_G408550.h1.t1	Om006G253990
OG0000046	Aa_G190950.h1.t1, Aa_G756440.h1.t1	Om005G206750, Om005G213160
OG0000047	Aa_G159200.h1.t1	Om007G314310, Om002G071890, Om005G222620
OG0000048	Aa_G339720.h1.t1	Om002G045390
OG0000048	Aa_G438190.h1.t1, Aa_G339690.h1.t1, Aa_G339750.h1.t1, Aa_G759390.h1.t1	Om002G045400
OG0000048	Aa_G759400.h1.t1, Aa_G339700.h1.t1, Aa_G438200.h1.t1	Om002G045440
OG0000048	Aa_G85810.h1.t1, Aa_G253710.h1.t1, Aa_G253680.h1.t1	Om007G296190, Om007G296250
OG0000050	Aa_G417500.h1.t1	Om002G080890, Om003G112360
OG0000052	Aa_G818500.h1.t1, Aa_G818500.h2.t1, Aa_G18920.h1.t1, Aa_G217710.h1.t1	Om005G179650, Om008G361390, Om005G180640
OG0000052	Aa_G599340.h1.t1	Om008G326650
OG0000054	Aa_G158060.h1.t1	Om006G251510
OG0000055	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G594100.h1.t1, Aa_G643830.h1.t1	Om005G202820, Om005G227820, Om005G224840
OG0000055	Aa_G615080.h1.t1	Om001G019570, Om001G031910
OG0000056	Aa_G652160.h1.t1, Aa_G44560.h1.t1	Om008G340700
OG0000056	Aa_G531310.h1.t1, Aa_G227280.h1.t1, Aa_G160160.h1.t1	Om005G220800, Om001G027140
OG0000056	Aa_G505780.h1.t1	Om005G209160, Om002G073230, Om001G006930, Om005G212260
OG0000056	Aa_G563840.h1.t1, Aa_G243550.h1.t1	Om003G107750, Om001G017780
OG0000057	Aa_G253800.h1.t1	Om004G172320, Om008G335030, Om004G172300
OG0000058	Aa_G634370.h1.t1, Aa_G7430.h1.t1, Aa_G263310.h1.t1	Om008G335110, Om007G318000, Om007G289630, Om007G296230
OG0000060	Aa_G746520.h1.t1	Om008G348970, Om003G127290, Om006G235900
OG0000062	Aa_G297760.h1.t1, Aa_G255800.h1.t1	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320
OG0000063	Aa_G318860.h3.t1	Om006G254290
OG0000063	Aa_G448310.h4.t1	Om005G185480
OG0000063	Aa_G318860.h4.t1	Om003G118830
OG0000063	Aa_G367650.h3.t1	Om006G245470
OG0000063	Aa_G197130.h6.t1	Om005G185660
OG0000063	Aa_G197130.h3.t1, Aa_G375890.h3.t1	Om007G283280
OG0000063	Aa_G550780.h7.t1	Om005G185680
OG0000064	Aa_G137810.h1.t1	Om001G041080
OG0000066	Aa_G503390.h2.t1, Aa_G64790.h4.t1, Aa_G503380.h1.t1, Aa_G64790.h1.t1, Aa_G503380.h3.t1, Aa_G64790.h3.t1, Aa_G64790.h2.t1, Aa_G503390.h3.t1, Aa_G432280.h2.t1, Aa_G432280.h4.t1, Aa_G432280.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G503390.h4.t1, Aa_G155110.h1.t1, Aa_G586620.h1.t1, Aa_G266510.h1.t1, Aa_G486090.h1.t1	Om004G164550
OG0000066	Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1, Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37430.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G37430.h3.t1, Aa_G37430.h2.t1, Aa_G159190.h5.t1, Aa_G37410.h3.t1, Aa_G37410.h4.t1, Aa_G159190.h3.t1, Aa_G19080.h3.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G159180.h4.t1, Aa_G159180.h2.t1, Aa_G19080.h2.t1, Aa_G159180.h5.t1, Aa_G37430.h5.t1, Aa_G19080.h4.t1, Aa_G37410.h1.t1, Aa_G37410.h5.t1	Om004G165570
OG0000067	Aa_G389030.h1.t1, Aa_G484940.h1.t1	Om001G023220
OG0000067	Aa_G2360.h1.t1, Aa_G236530.h1.t1, Aa_G10890.h1.t1	Om004G163960, Om004G163910, Om001G022040, Om004G163900
OG0000068	Aa_G75180.h1.t1	Om006G264170, Om007G304230, Om004G149200, Om004G147110
OG0000068	Aa_G275180.h1.t1	Om007G308160, Om005G212100
OG0000068	Aa_G7660.h1.t1	Om002G079160
OG0000068	Aa_G54410.h1.t1	Om006G266160
OG0000069	Aa_G108990.h1.t1	Om005G212160
OG0000070	Aa_G850.h1.t1	Om012G367940, Om012G366740
OG0000070	Aa_G380.h1.t1	Om007G307520, Om004G146520
OG0000071	Aa_G414310.h1.t1, Aa_G616190.h1.t1, Aa_G692990.h1.t1, Aa_G268590.h1.t1	Om008G360280, Om004G166900
OG0000071	Aa_G1110880.h1.t1, Aa_G1110880.h3.t1, Aa_G1110880.h2.t1, Aa_G308060.h1.t1	Om001G039370
OG0000071	Aa_G1008250.h1.t1, Aa_G1008250.h2.t1	Om007G316830, Om001G007220, Om005G207500, Om005G187680, Om002G068810, Om002G068800, Om003G110690
OG0000073	Aa_G628620.h1.t1, Aa_G902620.h1.t1, Aa_G685490.h1.t1, Aa_G685500.h1.t1, Aa_G565790.h1.t1, Aa_G173340.h1.t1, Aa_G565810.h1.t1, Aa_G715510.h1.t1, Aa_G295910.h1.t1, Aa_G565780.h1.t1, Aa_G628640.h1.t1	Om001G008960
OG0000073	Aa_G208070.h1.t1, Aa_G403300.h1.t1, Aa_G89780.h1.t1	Om008G360660, Om008G360260
OG0000074	Aa_G349960.h1.t1	Om004G144070, Om004G144330, Om004G144320
OG0000074	Aa_G931550.h1.t1, Aa_G664190.h1.t1, Aa_G664200.h1.t1, Aa_G293350.h1.t1	Om004G144060
OG0000074	Aa_G436170.h1.t1, Aa_G187350.h1.t1	Om004G144020, Om001G027970, Om004G144050, Om004G171550
OG0000074	Aa_G62240.h1.t1	Om004G143980
OG0000074	Aa_G62260.h1.t1, Aa_G62270.h1.t1	Om004G144100
OG0000074	Aa_G349950.h1.t1	Om004G144220, Om004G144230
OG0000074	Aa_G62330.h1.t1	Om004G143840
OG0000075	Aa_G542150.h1.t1	Om005G191180
OG0000075	Aa_G535390.h1.t1	Om008G356700
OG0000076	Aa_G712070.h1.t1	Om002G087760
OG0000076	Aa_G521780.h1.t1	Om006G255670
OG0000076	Aa_G4800.h1.t1, Aa_G696490.h1.t1	Om006G242520
OG0000077	Aa_G374870.h1.t1	Om001G039420, Om001G034120, Om001G040110, Om005G191300
OG0000077	Aa_G254660.h1.t1	Om001G033890
OG0000077	Aa_G374860.h1.t1, Aa_G374850.h1.t1	Om001G036960, Om001G036970, Om001G036980, Om001G036990, Om001G037020, Om001G037000, Om001G033540, Om001G032490
OG0000077	Aa_G374840.h1.t1	Om005G195310
OG0000078	Aa_G32020.h1.t1	Om007G305480, Om008G337420, Om004G148580, Om008G342420, Om007G305860
OG0000079	Aa_G175740.h1.t1, Aa_G175730.h1.t1, Aa_G449530.h1.t1, Aa_G175720.h1.t1	Om003G122890, Om003G122910, Om003G122930, Om003G122940
OG0000079	Aa_G111830.h1.t1	Om003G123020
OG0000079	Aa_G175840.h1.t1	Om003G122810
OG0000079	Aa_G175750.h1.t1, Aa_G175760.h1.t1	Om003G122880, Om003G122870
OG0000080	Aa_G329030.h1.t1, Aa_G84910.h1.t1, Aa_G235680.h1.t1	Om004G135430
OG0000080	Aa_G488480.h1.t1, Aa_G386390.h1.t1	Om003G125630, Om008G347380, Om008G343390, Om008G346000
OG0000081	Aa_G604970.h1.t1	Om008G359170, Om001G032290, Om001G032270, Om003G096480, Om003G096490, Om006G269790, Om006G269770, Om006G266480, Om003G092590, Om003G096470, Om003G098080, Om003G118960, Om005G227240, Om003G096460, Om005G184670, Om005G184660
OG0000082	Aa_G566090.h1.t1	Om006G274800, Om006G275030, Om008G349260
OG0000084	Aa_G54460.h1.t1	Om001G014490, Om008G359620, Om008G359610, Om001G014520, Om008G359580
OG0000087	Aa_G630880.h1.t1	Om006G238380
OG0000087	Aa_G199760.h1.t1	Om007G282390
OG0000087	Aa_G256660.h1.t1	Om004G162490
OG0000087	Aa_G562810.h1.t1	Om008G339690
OG0000087	Aa_G103150.h1.t1	Om008G355890
OG0000087	Aa_G580380.h1.t1	Om001G006430
OG0000087	Aa_G656110.h1.t1	Om004G137360
OG0000088	Aa_G363940.h1.t1, Aa_G89030.h1.t1, Aa_G425930.h1.t1	Om003G119630
OG0000088	Aa_G15590.h1.t1	Om006G242180
OG0000089	Aa_G152880.h1.t1	Om004G166350
OG0000089	Aa_G537640.h1.t1	Om001G012030
OG0000089	Aa_G5290.h1.t1	Om002G055730
OG0000089	Aa_G367680.h1.t1	Om006G254270, Om008G335280
OG0000089	Aa_G99370.h1.t1	Om006G246310, Om006G246300
OG0000090	Aa_G433160.h1.t1, Aa_G266320.h1.t1	Om005G202290, Om005G179690
OG0000090	Aa_G410840.h1.t1	Om004G136810
OG0000090	Aa_G273720.h1.t1, Aa_G273730.h1.t1	Om003G098630, Om003G099040
OG0000090	Aa_G349440.h1.t1, Aa_G349450.h1.t1	Om002G055690, Om003G124430
OG0000090	Aa_G171940.h1.t1, Aa_G171950.h1.t1, Aa_G349430.h1.t1, Aa_G171960.h1.t1, Aa_G171980.h1.t1, Aa_G171970.h1.t1	Om006G274160
OG0000093	Aa_G526230.h1.t1	Om003G122050
OG0000093	Aa_G835690.h1.t1, Aa_G367660.h1.t1	Om001G033140
OG0000093	Aa_G526180.h1.t1	Om003G122020
OG0000093	Aa_G526150.h1.t1, Aa_G526160.h1.t1	Om003G121950
OG0000093	Aa_G627610.h1.t1	Om003G121760
OG0000096	Aa_G683270.h1.t1	Om003G093070
OG0000096	Aa_G160980.h1.t1	Om005G187930
OG0000097	Aa_G42050.h1.t1	Om008G355560
OG0000097	Aa_G132920.h1.t1	Om008G355570
OG0000097	Aa_G577800.h1.t1	Om008G355700
OG0000097	Aa_G120830.h1.t1	Om008G355610
OG0000097	Aa_G405830.h5.t1, Aa_G405830.h6.t1, Aa_G405830.h4.t1, Aa_G405830.h3.t1, Aa_G405830.h1.t1, Aa_G405830.h2.t1, Aa_G405810.h1.t1	Om008G355650
OG0000098	Aa_G733890.h1.t1, Aa_G391080.h1.t1, Aa_G473800.h1.t1, Aa_G329600.h1.t1, Aa_G391060.h1.t1, Aa_G391060.h2.t1	Om001G001780
OG0000098	Aa_G193730.h1.t1	Om005G191560
OG0000098	Aa_G193720.h1.t1, Aa_G521440.h1.t1	Om005G191920, Om005G192380
OG0000099	Aa_G647960.h1.t1	Om005G227480
OG0000099	Aa_G384670.h1.t1	Om005G227360, Om005G227350, Om005G227310, Om005G227370, Om005G227320
OG0000100	Aa_G527420.h1.t1, Aa_G180200.h1.t1	Om007G304610
OG0000101	Aa_G676850.h1.t1	Om005G227020
OG0000101	Aa_G361620.h1.t1, Aa_G361650.h1.t1, Aa_G361610.h1.t1	Om005G227120
OG0000101	Aa_G398600.h1.t1	Om005G227680, Om005G227700, Om005G227110
OG0000101	Aa_G65780.h1.t1, Aa_G65750.h1.t1, Aa_G65880.h1.t1	Om005G226820
OG0000101	Aa_G408910.h1.t1	Om005G226700, Om005G227060
OG0000104	Aa_G257560.h1.t1	Om005G185360
OG0000104	Aa_G459870.h1.t1	Om007G283020
OG0000104	Aa_G166390.h1.t1	Om003G095420
OG0000107	Aa_G641990.h1.t1, Aa_G247880.h1.t1	Om004G133090, Om001G020080
OG0000107	Aa_G323960.h1.t1	Om002G067770
OG0000108	Aa_G539300.h1.t1, Aa_G70590.h1.t1	Om006G239250, Om003G100270, Om003G100260
OG0000109	Aa_G84800.h1.t1, Aa_G329020.h1.t1	Om007G296220
OG0000110	Aa_G271280.h1.t1	Om003G123380
OG0000110	Aa_G271260.h1.t1	Om003G123410
OG0000110	Aa_G784880.h1.t1	Om003G123400
OG0000111	Aa_G482020.h1.t1, Aa_G601860.h1.t1, Aa_G116920.h1.t1	Om006G259270
OG0000111	Aa_G195290.h1.t1	Om004G170780, Om004G170800
OG0000112	Aa_G655250.h1.t1, Aa_G655250.h2.t1	Om005G189180
OG0000113	Aa_G416120.h1.t1, Aa_G217250.h1.t1, Aa_G224170.h1.t1	Om001G037540
OG0000113	Aa_G117390.h1.t1	Om001G034170
OG0000114	Aa_G360810.h1.t1	Om001G037840
OG0000114	Aa_G332260.h1.t1	Om002G045910, Om002G045900
OG0000114	Aa_G578400.h1.t1, Aa_G69050.h1.t1	Om001G008300
OG0000117	Aa_G204550.h1.t1, Aa_G896890.h1.t1	Om002G088690
OG0000117	Aa_G572590.h1.t1	Om001G014560
OG0000119	Aa_G311760.h6.t1, Aa_G311760.h5.t1, Aa_G311760.h1.t1, Aa_G311760.h2.t1, Aa_G311760.h7.t1, Aa_G311760.h4.t1, Aa_G311760.h3.t1	Om004G164230, Om005G214120, Om005G222850
OG0000120	Aa_G388280.h1.t1	Om007G296760, Om007G296900
OG0000122	Aa_G5880.h1.t1	Om004G163000
OG0000122	Aa_G379580.h1.t1, Aa_G625770.h1.t1, Aa_G247680.h1.t1, Aa_G379610.h1.t1, Aa_G379590.h1.t1, Aa_G592750.h1.t1	Om003G118900, Om003G118890
OG0000122	Aa_G625760.h1.t1	Om003G118940
OG0000123	Aa_G184310.h1.t1, Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G457510.h1.t1	Om005G224980, Om005G193630, Om006G257550, Om005G193640, Om005G193560, Om005G193450, Om005G193620, Om005G193610, Om005G193590, Om005G193280, Om005G193230, Om005G193260, Om005G193530
OG0000125	Aa_G506920.h1.t1, Aa_G403520.h1.t1	Om002G052080
OG0000125	Aa_G552180.h1.t1	Om006G244360
OG0000125	Aa_G33880.h1.t1	Om006G245540
OG0000125	Aa_G69270.h1.t1	Om007G283300
OG0000126	Aa_G248300.h1.t1	Om006G262390
OG0000127	Aa_G18590.h1.t1	Om004G176280
OG0000128	Aa_G1023650.h1.t1	Om001G015270
OG0000128	Aa_G830510.h2.t1, Aa_G830510.h1.t1, Aa_G415050.h1.t1	Om004G154610
OG0000128	Aa_G147990.h1.t1, Aa_G91540.h1.t1	Om005G217280
OG0000130	Aa_G717270.h1.t1, Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1, Aa_G741540.h1.t1	Om003G109550, Om004G147420, Om007G309920, Om006G267480, Om004G149990, Om007G304660
OG0000131	Aa_G187370.h1.t1, Aa_G173790.h1.t1, Aa_G972050.h1.t1, Aa_G918570.h1.t1, Aa_G327480.h1.t1, Aa_G122790.h1.t1	Om003G106820
OG0000136	Aa_G703520.h1.t1	Om002G045120
OG0000136	Aa_G483980.h1.t1, Aa_G220980.h1.t1, Aa_G221010.h1.t1, Aa_G221000.h1.t1	Om002G064560
OG0000138	Aa_G171370.h1.t1	Om006G251190, Om006G251180
OG0000138	Aa_G783970.h1.t1, Aa_G283280.h1.t1, Aa_G376680.h1.t1, Aa_G638390.h1.t1, Aa_G638390.h2.t1, Aa_G638390.h3.t1, Aa_G110250.h1.t1, Aa_G182200.h1.t1, Aa_G691670.h1.t1, Aa_G298280.h1.t1	Om005G207670, Om005G207700
OG0000138	Aa_G514480.h1.t1, Aa_G105030.h1.t1, Aa_G531570.h1.t1	Om001G026370
OG0000139	Aa_G840.h1.t1, Aa_G475650.h1.t1	Om003G107910, Om003G108000
OG0000140	Aa_G297060.h1.t1	Om006G246590
OG0000140	Aa_G650690.h2.t1, Aa_G650690.h1.t1	Om006G246640
OG0000140	Aa_G715860.h1.t1	Om006G266710
OG0000142	Aa_G173900.h1.t1	Om007G282790, Om006G267630
OG0000142	Aa_G35530.h1.t1	Om007G282780
OG0000145	Aa_G11550.h1.t1	Om008G347500, Om005G215130
OG0000146	Aa_G643480.h1.t1	Om003G117350
OG0000146	Aa_G643460.h1.t1, Aa_G732190.h1.t1	Om003G117400, Om003G117360
OG0000147	Aa_G190130.h1.t1	Om002G086500
OG0000147	Aa_G620370.h1.t1	Om001G025660
OG0000147	Aa_G307400.h1.t1	Om007G285990, Om006G249440
OG0000147	Aa_G21590.h1.t1	Om004G130850
OG0000147	Aa_G490420.h1.t1	Om006G268290
OG0000147	Aa_G241680.h1.t1	Om003G106450
OG0000147	Aa_G194510.h1.t1	Om002G078960
OG0000149	Aa_G550820.h1.t1	Om006G245850
OG0000149	Aa_G550810.h1.t1, Aa_G550830.h1.t1, Aa_G550790.h1.t1, Aa_G550840.h1.t1	Om006G245840
OG0000149	Aa_G28290.h1.t1, Aa_G482910.h1.t1, Aa_G28310.h1.t1	Om006G256850
OG0000150	Aa_G251660.h1.t1	Om005G201710
OG0000151	Aa_G134060.h1.t1	Om003G114720
OG0000151	Aa_G2000.h1.t1	Om001G021860
OG0000151	Aa_G24370.h1.t1	Om002G051120
OG0000151	Aa_G70150.h1.t1	Om002G082850
OG0000151	Aa_G580840.h1.t1	Om003G118410
OG0000154	Aa_G85360.h1.t1, Aa_G162650.h1.t1	Om002G065770, Om004G147300, Om004G147290, Om002G052020, Om002G052040, Om001G020420
OG0000154	Aa_G162640.h1.t1, Aa_G280540.h1.t1	Om005G196960, Om002G056330
OG0000154	Aa_G40300.h1.t1, Aa_G40310.h1.t1	Om004G147280
OG0000154	Aa_G85370.h1.t1	Om004G175620
OG0000155	Aa_G438370.h1.t1	Om001G020030
OG0000155	Aa_G58940.h1.t1	Om001G007100
OG0000155	Aa_G5430.h1.t1	Om002G055620
OG0000156	Aa_G978220.h1.t1	Om006G244600
OG0000156	Aa_G16070.h1.t1, Aa_G385160.h1.t1	Om008G322030
OG0000156	Aa_G16110.h1.t1	Om008G322060
OG0000156	Aa_G16090.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1, Aa_G569190.h1.t1	Om008G321950, Om008G321940, Om004G146270, Om008G321930, Om001G022080, Om008G321920, Om008G322040, Om008G322020
OG0000158	Aa_G223250.h1.t1	Om004G142800, Om001G036830, Om001G012390, Om001G033100, Om001G033130
OG0000161	Aa_G61530.h1.t1, Aa_G716440.h1.t1, Aa_G61470.h1.t1, Aa_G61460.h1.t1	Om006G236100, Om006G236170
OG0000161	Aa_G260740.h1.t1	Om004G175180
OG0000161	Aa_G323510.h1.t1	Om004G167210, Om006G249300
OG0000162	Aa_G208990.h1.t1	Om003G125400, Om003G125370
OG0000162	Aa_G77230.h1.t1, Aa_G208970.h1.t1, Aa_G208980.h1.t1	Om003G125340
OG0000162	Aa_G77240.h1.t1	Om003G125390
OG0000162	Aa_G208950.h1.t1	Om003G125450
OG0000162	Aa_G573270.h1.t1	Om003G125350
OG0000162	Aa_G175290.h1.t1	Om008G322780, Om008G322790
OG0000162	Aa_G175300.h1.t1	Om008G322800
OG0000165	Aa_G11930.h1.t1, Aa_G83970.h1.t1, Aa_G86920.h1.t1	Om005G200180, Om007G315340, Om003G124770
OG0000166	Aa_G209590.h1.t1	Om001G033710
OG0000167	Aa_G148400.h1.t1	Om001G004410
OG0000167	Aa_G674860.h1.t1	Om001G004360
OG0000167	Aa_G403160.h1.t1	Om001G004340
OG0000171	Aa_G101710.h1.t1	Om005G207720
OG0000171	Aa_G193050.h1.t1	Om005G220880
OG0000172	Aa_G517130.h1.t1, Aa_G154110.h1.t1	Om003G122950
OG0000172	Aa_G244940.h1.t1	Om003G123010, Om006G260870
OG0000172	Aa_G154170.h1.t1	Om003G122820
OG0000172	Aa_G175700.h1.t1, Aa_G449520.h1.t1, Aa_G724730.h1.t1	Om006G274300
OG0000175	Aa_G122520.h1.t1	Om002G084540
OG0000175	Aa_G459730.h1.t1, Aa_G514660.h1.t1	Om001G035510
OG0000175	Aa_G281740.h1.t1	Om004G137100
OG0000175	Aa_G266390.h1.t1	Om005G202200
OG0000175	Aa_G70160.h1.t1, Aa_G180380.h1.t1	Om002G082840
OG0000178	Aa_G20.h1.t1	Om006G274730, Om001G029800, Om003G091050, Om004G155850, Om002G053360, Om005G210720, Om005G226210, Om004G134680, Om004G134670, Om003G110440, Om002G077640, Om005G199540, Om007G276140, Om004G164470, Om002G068680
OG0000180	Aa_G396900.h1.t1	Om008G336650
OG0000181	Aa_G193030.h1.t1	Om005G212500
OG0000185	Aa_G292460.h1.t1, Aa_G151720.h1.t1, Aa_G688150.h1.t1, Aa_G520870.h1.t1, Aa_G786940.h1.t1, Aa_G108880.h1.t1	Om001G041450, Om008G356330, Om008G319330
OG0000187	Aa_G145090.h1.t1	Om001G030060
OG0000187	Aa_G145050.h1.t1, Aa_G145080.h1.t1	Om001G030100, Om008G336940
OG0000187	Aa_G74610.h1.t1, Aa_G662460.h1.t1	Om001G028260, Om001G028280
OG0000187	Aa_G333280.h1.t1	Om002G054360, Om002G054350
OG0000189	Aa_G187960.h1.t1, Aa_G187970.h1.t1, Aa_G139550.h1.t1	Om001G037310
OG0000190	Aa_G320630.h1.t1	Om008G353940
OG0000190	Aa_G320670.h1.t1	Om008G353960
OG0000192	Aa_G507530.h1.t1	Om005G203480
OG0000193	Aa_G162040.h1.t1	Om008G326490
OG0000195	Aa_G9100.h1.t1	Om008G328660
OG0000195	Aa_G88530.h1.t1, Aa_G562480.h2.t1	Om003G119760
OG0000195	Aa_G505900.h1.t1	Om007G285150
OG0000196	Aa_G152770.h1.t1	Om005G185020, Om005G182080
OG0000200	Aa_G140000.h1.t1	Om004G141410, Om003G096320, Om003G096270, Om003G096260, Om001G015930, Om002G066490, Om002G066530, Om005G183320, Om005G183380
OG0000200	Aa_G462040.h1.t1	Om005G182720
OG0000201	Aa_G420970.h1.t1, Aa_G420960.h1.t1	Om002G070270
OG0000203	Aa_G462700.h1.t1	Om003G095370, Om002G055150
OG0000203	Aa_G606990.h1.t1	Om002G046450, Om002G046460
OG0000207	Aa_G335460.h1.t1	Om004G132790
OG0000209	Aa_G135600.h1.t1	Om005G228040, Om005G227980
OG0000209	Aa_G447100.h1.t1	Om005G228150
OG0000209	Aa_G447090.h1.t1, Aa_G201950.h1.t1, Aa_G135610.h1.t1	Om005G228080
