Orthogroup	Arabis_alpina	Brassica_napus
OG0000011	Aa_G57260.h1.t1, Aa_G57270.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1	XP_013659705.2, XP_048599380.1, XP_048637426.1, XP_048624045.1, XP_048620495.1, XP_048605761.1, XP_013738651.1, XP_048620327.1, XP_013653955.2, XP_048598012.1, XP_048598119.1, XP_013665132.2, XP_048623694.1, XP_048621704.1, XP_048615584.1, XP_048622963.1, XP_022560000.2, XP_022556483.2, XP_022552299.1, XP_048622694.1, XP_022552139.2, XP_013658487.1, XP_048623617.1, XP_048635024.1, XP_048599617.1, XP_048612614.1, XP_048600528.1, XP_013690055.1, XP_048623729.1, XP_048602105.1, XP_013726425.1, XP_048622519.1, XP_022571427.1, XP_048611788.1, XP_013673712.1, XP_048613543.1, XP_013646120.2, XP_013723816.1, XP_048611936.1, XP_022570022.2, XP_048610411.1, XP_048613120.1, XP_022564313.2, XP_048615529.1, XP_048623978.1, XP_048598115.1, XP_013739031.1, XP_013669164.1, XP_022564938.2, XP_048605143.1, XP_013694454.1, XP_048615558.1, XP_048620274.1, XP_048630039.1, XP_013694905.1, XP_048599633.1, XP_013658351.1, XP_013700275.2, XP_048623742.1, XP_022557706.2, XP_048605310.1, XP_013674260.2, XP_013673871.2, XP_013711594.2, XP_048599938.1, XP_048599866.1, XP_022556449.1, XP_013668512.1, XP_048604715.1, XP_022562514.1, XP_013721125.1, XP_048596352.1, XP_013745969.2, XP_048596557.1, XP_048599923.1, XP_048622827.1, XP_048637633.1, XP_013700423.1, XP_048605917.1, XP_048624119.1, XP_013665471.2, XP_048620021.1, XP_048601344.1, XP_048616593.1, XP_013673600.2, XP_022557474.2, XP_048603707.1, XP_022569514.1, XP_048638510.1, XP_013721574.1, XP_048605555.1, XP_022571312.1, XP_013668590.2, XP_048605160.1, XP_013711654.1, XP_048630989.1, XP_048599557.1, XP_048615826.1, XP_048612540.1, XP_013668567.2, XP_048615923.1, XP_013694209.2
OG0000012	Aa_G297380.h1.t1	XP_048613104.1
OG0000012	Aa_G50170.h1.t1	XP_048615539.1, XP_022559943.2, XP_048619505.1, XP_048620283.1, XP_048604733.1, XP_048630872.1
OG0000013	Aa_G366470.h1.t1, Aa_G308560.h1.t1, Aa_G589080.h1.t1	XP_013700535.1, XP_013700318.1, XP_048615689.1, XP_013673894.2, XP_048620109.1, XP_013713592.1, XP_048603843.1, XP_048603078.1, XP_048617046.1, XP_048626973.1, XP_048600408.1, XP_048605631.1, XP_048622706.1, XP_013651736.2, XP_013665254.2
OG0000013	Aa_G790.h1.t1	XP_013651123.1, XP_013699897.1, XP_013729113.2, XP_048608937.1, XP_048619944.1
OG0000014	Aa_G871750.h1.t1, Aa_G482960.h1.t1	XP_013654467.2
OG0000015	Aa_G1870.h1.t1, Aa_G12580.h1.t1, Aa_G564620.h1.t1, Aa_G201940.h1.t1	XP_048613565.1, XP_048634846.1, XP_048611773.1, XP_048616950.1, XP_048602698.1, XP_048622170.1
OG0000015	Aa_G522550.h1.t1	XP_048595749.1
OG0000015	Aa_G962140.h1.t1	XP_048616944.1
OG0000015	Aa_G183280.h1.t1, Aa_G533220.h1.t1	XP_048595752.1
OG0000015	Aa_G982290.h1.t1	XP_048605580.1
OG0000015	Aa_G737830.h1.t1, Aa_G747790.h1.t1, Aa_G592580.h1.t1, Aa_G121380.h1.t1, Aa_G411050.h1.t1, Aa_G144110.h1.t1	XP_013741841.2
OG0000015	Aa_G76160.h1.t1, Aa_G847620.h1.t1, Aa_G384790.h1.t1, Aa_G254670.h1.t1, Aa_G133470.h1.t1, Aa_G73740.h1.t1, Aa_G227990.h1.t1, Aa_G812290.h1.t1, Aa_G811960.h1.t1, Aa_G124950.h1.t1, Aa_G433440.h1.t1, Aa_G596150.h1.t1, Aa_G325800.h1.t1, Aa_G241940.h1.t1, Aa_G11210.h1.t1, Aa_G329640.h1.t1, Aa_G516610.h1.t1, Aa_G43930.h1.t1, Aa_G569340.h1.t1, Aa_G391620.h1.t1, Aa_G57320.h1.t1, Aa_G112930.h1.t1	XP_048627868.1
OG0000017	Aa_G917470.h1.t1	XP_048622511.1, XP_048606925.1, XP_022570736.1, XP_048605556.1, XP_013654026.2, XP_013700317.1, XP_013709336.2, XP_048615768.1, XP_013650781.2, XP_048638133.1, XP_022546268.1, XP_048599243.1, XP_048621674.1, XP_048601570.1, XP_048605890.1, XP_048614703.1, XP_048607286.1, XP_022565172.2, XP_048624705.1, XP_048602823.1, XP_048609626.1, XP_048614569.1, XP_048608279.1, XP_048607119.1, XP_048622871.1, XP_048616199.1, XP_048599687.1, XP_048596318.1, XP_048615681.1, XP_048631555.1, XP_022564699.2, XP_048605724.1, XP_048624468.1, XP_048622792.1, XP_048615810.1, XP_022565299.2, XP_013681784.2, XP_048605597.1, XP_048618332.1, XP_048610882.1, XP_022563919.2, XP_013649958.1, XP_013645061.2, XP_048622874.1, XP_022562505.2, XP_013700865.1, XP_048600781.1, XP_048600780.1, XP_048605929.1
OG0000019	Aa_G396980.h1.t1	XP_013673926.1
OG0000020	Aa_G907350.h1.t1	XP_048615648.1, XP_048605650.1
OG0000021	Aa_G505500.h1.t1	XP_013694633.1
OG0000023	Aa_G200970.h1.t1	XP_013661254.1, XP_013737516.2, XP_048619015.1
OG0000023	Aa_G92870.h1.t1, Aa_G494730.h1.t1, Aa_G92760.h1.t1	XP_048612374.1
OG0000023	Aa_G561100.h1.t1	XP_048605400.1
OG0000023	Aa_G847400.h1.t1	XP_048605875.1
OG0000023	Aa_G200860.h1.t1, Aa_G522580.h1.t1	XP_022573115.2
OG0000023	Aa_G597270.h1.t1	XP_013718560.2
OG0000023	Aa_G200900.h1.t1	XP_022572340.2, XP_048632570.1, XP_013690743.1
OG0000023	Aa_G200830.h1.t1	XP_048605876.1
OG0000025	Aa_G123400.h1.t1, Aa_G71570.h1.t1, Aa_G123410.h1.t1	XP_048603142.1, XP_048637460.1, XP_048596622.1, XP_048637461.1, XP_022561441.2, XP_013705737.2, XP_048594642.1, XP_013713555.1, XP_013665745.2, XP_013717234.2, XP_048627191.1, XP_022569752.1, XP_048607491.1, XP_013712755.1, XP_013686788.2, XP_013674736.2, XP_048604076.1, XP_048604483.1, XP_022560149.2, XP_048630233.1, XP_013726076.2, XP_048604678.1, XP_048603144.1, XP_013714776.2, XP_013674735.2
OG0000025	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1	XP_048634788.1
OG0000025	Aa_G553200.h1.t1	XP_013690637.1, XP_022546346.2, XP_048630650.1, XP_013674435.1, XP_048627723.1, XP_013674438.1, XP_022563912.2, XP_022563911.2, XP_048631222.1, XP_013674433.2, XP_048627722.1, XP_048627726.1, XP_013674436.2, XP_013645094.1, XP_013645334.2, XP_013651019.1, XP_022569112.2, XP_013739125.2, XP_013733752.2, XP_013645330.1, XP_013651021.2, XP_013733741.2, XP_013734914.2
OG0000026	Aa_G387540.h1.t1	XP_013688792.2, XP_022575800.1, XP_013689982.1, XP_048604113.1, XP_048605402.1, XP_013694923.1, XP_022565088.1, XP_013694081.2, XP_048599629.1, XP_048611708.1, XP_013700163.2, XP_022560041.2, XP_048623977.1, XP_048619887.1, XP_013716236.1, XP_048604696.1, XP_048604608.1, XP_048615510.1, XP_013690069.1, XP_013679158.1, XP_048613434.1, XP_022570698.1, XP_048622697.1, XP_048593382.1, XP_013650782.2, XP_048633038.1, XP_013654050.2, XP_013656470.2, XP_048621728.1, XP_013709768.2, XP_013676571.2, XP_048605928.1, XP_013650482.2, XP_013725579.1, XP_022569794.1, XP_013678944.3, XP_048618333.1, XP_013649960.1, XP_013708922.1, XP_013701765.1, XP_048607574.1, XP_022559746.2, XP_013665567.3, XP_048600036.1, XP_048600035.1, XP_013718697.2, XP_013726689.1, XP_013645721.1, XP_013673982.1, XP_022544275.2, XP_022546075.2, XP_013742091.2, XP_013642305.2, XP_013748306.2, XP_048604834.1, XP_013745200.2, XP_022570115.1, XP_048591410.1, XP_048629058.1, XP_048609175.1, XP_013695840.2, XP_013689267.2, XP_013689142.2, XP_022565688.2, XP_013704163.2, XP_048633191.1, XP_048596374.1, XP_013694198.1, XP_013655249.2, XP_013709327.2, XP_022568227.1, XP_048619935.1, XP_048624252.1, XP_048613225.1, XP_048605392.1, XP_048608748.1
OG0000027	Aa_G230140.h1.t1	XP_022567836.1, XP_022546469.2
OG0000027	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1	XP_013663491.2, XP_013663656.1
OG0000028	Aa_G248570.h1.t1	XP_013751299.2, XP_013665034.1, XP_048599230.1
OG0000028	Aa_G988890.h1.t1	XP_013665035.2, XP_048613429.1
OG0000028	Aa_G637980.h1.t1, Aa_G288600.h1.t1	XP_013709292.1
OG0000029	Aa_G1055220.h1.t1, Aa_G1055220.h2.t1, Aa_G205300.h1.t1	XP_048605707.1
OG0000029	Aa_G154360.h1.t1	XP_013708649.1, XP_048636014.1, XP_022552362.2, XP_048610765.1, XP_048624916.1, XP_048604271.1, XP_048630615.1, XP_048615843.1, XP_048637599.1, XP_048593648.1, XP_048607162.1, XP_048623050.1
OG0000029	Aa_G342490.h1.t1	XP_022551038.1, XP_048635815.1, XP_048611551.1, XP_048635103.1, XP_022558100.2, XP_048591075.1, XP_048638384.1, XP_048596031.1, XP_013738696.2, XP_048634928.1, XP_048632933.1, XP_048591471.1, XP_048596550.1, XP_048634105.1, XP_048623704.1, XP_013650865.2, XP_048609092.1, XP_048594955.1, XP_048615335.1, XP_048634156.1, XP_013721193.1, XP_048608517.1
OG0000029	Aa_G160180.h1.t1	XP_048613259.1, XP_048627705.1, XP_048634162.1, XP_048637574.1, XP_048591545.1, XP_013689748.1, XP_013719196.1
OG0000030	Aa_G316320.h1.t1, Aa_G67230.h1.t1	XP_013673703.1
OG0000030	Aa_G273270.h1.t1, Aa_G660430.h1.t1, Aa_G517310.h1.t1, Aa_G528960.h1.t1, Aa_G569810.h1.t1, Aa_G361630.h1.t1, Aa_G61910.h1.t1	XP_048631703.1, XP_048593350.1, XP_048599751.1
OG0000030	Aa_G963460.h1.t1, Aa_G338960.h1.t1	XP_048614763.1
OG0000030	Aa_G392560.h1.t1	XP_013654433.1, XP_048605211.1, XP_048622936.1, XP_013658434.2, XP_048626196.1
OG0000030	Aa_G500830.h1.t1	XP_013678830.1, XP_048611490.1, XP_013669162.1, XP_013713780.1, XP_048620176.1, XP_048615642.1, XP_048613169.1
OG0000031	Aa_G10820.h1.t1	XP_022563326.1, XP_048621294.1, XP_013693457.2, XP_013657308.1, XP_048594187.1, XP_013677849.2
OG0000031	Aa_G291980.h1.t1, Aa_G291990.h1.t1	XP_013712408.2
OG0000031	Aa_G319760.h1.t1, Aa_G683730.h1.t1	XP_013653843.2, XP_013661513.2
OG0000031	Aa_G447870.h1.t1	XP_013728454.1, XP_013667568.2
OG0000031	Aa_G97120.h1.t1	XP_048602151.1, XP_048594826.1
OG0000032	Aa_G586180.h1.t1, Aa_G177110.h1.t1, Aa_G288650.h1.t1, Aa_G240420.h1.t1, Aa_G153590.h1.t1, Aa_G492670.h1.t1	XP_048630802.1, XP_048605656.1, XP_048599756.1, XP_013751673.1, XP_022552264.1, XP_013673342.2, XP_022557382.2
OG0000033	Aa_G619140.h1.t1, Aa_G782810.h1.t1	XP_013714969.1, XP_013737559.2, XP_022555869.1, XP_013694313.2, XP_013737653.2, XP_013694321.1
OG0000033	Aa_G191730.h1.t1	XP_048622964.1, XP_013694292.1, XP_013694271.1, XP_013737656.2
OG0000033	Aa_G144980.h1.t1	XP_048596525.1
OG0000033	Aa_G58920.h1.t1	XP_013737259.1
OG0000033	Aa_G92800.h1.t1	XP_048597076.1
OG0000033	Aa_G191690.h1.t1	XP_013737581.2, XP_048608846.1, XP_013663884.1
OG0000035	Aa_G20510.h1.t1	XP_048636739.1
OG0000035	Aa_G584300.h1.t1	XP_013739520.1, XP_048598553.1, XP_013689525.2, XP_048598552.1, XP_048609969.1, XP_013747197.1, XP_022557090.1, XP_022574570.1, XP_013751316.2, XP_013713944.3, XP_048636772.1
OG0000035	Aa_G43710.h1.t1	XP_048634166.1
OG0000035	Aa_G154560.h1.t1	XP_013683389.1, XP_013715831.2, XP_022551123.2, XP_048603751.1, XP_013715819.2
OG0000036	Aa_G444220.h1.t1	XP_048604985.1
OG0000038	Aa_G525570.h1.t1	XP_013674918.2
OG0000038	Aa_G652770.h1.t1	XP_048594240.1, XP_048622251.1, XP_048622252.1, XP_022546529.1, XP_013719588.1, XP_048621240.1
OG0000038	Aa_G467490.h1.t1	XP_048614926.1, XP_013741608.1
OG0000038	Aa_G136990.h1.t1	XP_048615236.1, XP_048635940.1, XP_048635115.1, XP_048615249.1, XP_048635116.1, XP_048615246.1
OG0000040	Aa_G243430.h1.t1	XP_048596338.1
OG0000040	Aa_G152820.h1.t1	XP_048600581.1, XP_048600574.1, XP_048600570.1
OG0000044	Aa_G882110.h32.t1, Aa_G882110.h5.t1, Aa_G882110.h18.t1, Aa_G882110.h22.t1, Aa_G882110.h33.t1, Aa_G882110.h7.t1, Aa_G882110.h9.t1, Aa_G882110.h35.t1, Aa_G882110.h15.t1, Aa_G882110.h10.t1, Aa_G882110.h28.t1, Aa_G882110.h1.t1, Aa_G882110.h30.t1, Aa_G882110.h20.t1, Aa_G882110.h23.t1, Aa_G882110.h31.t1, Aa_G882110.h24.t1, Aa_G882110.h14.t1, Aa_G882110.h12.t1, Aa_G882110.h29.t1, Aa_G882110.h19.t1, Aa_G882110.h4.t1, Aa_G882110.h2.t1, Aa_G882110.h17.t1, Aa_G882110.h6.t1, Aa_G882110.h34.t1, Aa_G882110.h3.t1, Aa_G882110.h26.t1, Aa_G882110.h21.t1, Aa_G882110.h13.t1, Aa_G882110.h11.t1, Aa_G882110.h8.t1, Aa_G882110.h25.t1, Aa_G882110.h16.t1, Aa_G882110.h27.t1	XP_048599977.1, XP_013733293.2, XP_048591383.1, XP_048592554.1, XP_048605908.1, XP_048613135.1, XP_048623805.1, XP_048631733.1, XP_048591444.1, XP_048600193.1, XP_048606399.1, XP_048605166.1, XP_022567046.1, XP_048620073.1, XP_022552709.1, XP_048609363.1, XP_048607154.1, XP_048626706.1, XP_048595608.1, XP_048604688.1, XP_048627544.1, XP_048616284.1, XP_022552197.1, XP_048628171.1, XP_048608413.1, XP_048628439.1, XP_048593377.1, XP_013724632.2, XP_013723763.2
OG0000046	Aa_G120780.h1.t1, Aa_G120790.h1.t1	XP_048591104.1
OG0000046	Aa_G439600.h1.t1, Aa_G408550.h1.t1	XP_013720885.1, XP_013724742.2
OG0000046	Aa_G369740.h1.t1	XP_048592857.1, XP_048610726.1, XP_048610838.1
OG0000046	Aa_G190950.h1.t1, Aa_G756440.h1.t1	XP_013729318.2, XP_048604140.1, XP_013676351.2, XP_013729317.1, XP_048616752.1, XP_048610981.1, XP_048604137.1, XP_013676359.3, XP_048610976.1, XP_048591561.1, XP_048610999.1, XP_048611004.1, XP_013731656.2, XP_022551748.1, XP_048629558.1
OG0000046	Aa_G574220.h1.t1	XP_048633516.1, XP_048628795.1, XP_048612190.1
OG0000047	Aa_G159200.h1.t1	XP_048638490.1
OG0000048	Aa_G253740.h1.t1	XP_048625022.1, XP_013676074.2, XP_013683129.2, XP_048625023.1, XP_022544292.2, XP_048607995.1
OG0000048	Aa_G253710.h1.t1	XP_048605148.1, XP_013728790.2
OG0000048	Aa_G253640.h1.t1	XP_013722307.2, XP_048599158.1, XP_013680689.2, XP_013680685.2
OG0000048	Aa_G253730.h1.t1	XP_013740213.1, XP_013676073.2, XP_048605320.1, XP_048605170.1, XP_013676062.2, XP_048605326.1, XP_013740216.1, XP_013722312.1, XP_013680690.2, XP_013680530.1, XP_013729914.1
OG0000050	Aa_G8040.h1.t1	XP_013655825.2, XP_013721760.1, XP_013705039.1, XP_013669077.1
OG0000050	Aa_G417500.h1.t1	XP_048613402.1, XP_048613401.1, XP_048591431.1, XP_022543960.1, XP_013705009.1
OG0000052	Aa_G818500.h1.t1, Aa_G818500.h2.t1, Aa_G18920.h1.t1, Aa_G217710.h1.t1	XP_048613662.1, XP_048599350.1, XP_013680648.2, XP_022549241.2, XP_048598261.1, XP_048597938.1
OG0000052	Aa_G399340.h1.t1	XP_013691740.1, XP_013747418.2
OG0000052	Aa_G592860.h1.t1	XP_013657952.2, XP_022547321.2, XP_013675087.1, XP_013725308.1
OG0000052	Aa_G599340.h1.t1	XP_048605363.1, XP_048632926.1
OG0000054	Aa_G319750.h1.t1, Aa_G362310.h1.t1	XP_048623542.1
OG0000054	Aa_G158060.h1.t1	XP_048609577.1
OG0000055	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G594100.h1.t1, Aa_G643830.h1.t1	XP_013742425.2, XP_013664366.1, XP_013660709.1, XP_013644421.1
OG0000056	Aa_G742680.h1.t1, Aa_G159490.h1.t1, Aa_G880340.h1.t1, Aa_G204510.h1.t1, Aa_G9790.h1.t1, Aa_G233100.h1.t1, Aa_G652160.h1.t1, Aa_G44560.h1.t1, Aa_G531310.h1.t1, Aa_G227280.h1.t1, Aa_G160160.h1.t1	XP_048634929.1, XP_013645844.2, XP_048593471.1, XP_013688936.2, XP_048609321.1, XP_013688795.2, XP_048635087.1, XP_013694675.1, XP_013645882.2, XP_048611631.1, XP_013694324.1, XP_013690206.1, XP_048596449.1, XP_013645336.1, XP_013689842.1, XP_048626013.1, XP_048622740.1, XP_048607413.1, XP_013709826.3, XP_013665443.2, XP_013709534.2, XP_048623820.1, XP_048611849.1, XP_048633213.1, XP_048594492.1
OG0000056	Aa_G563840.h1.t1, Aa_G243550.h1.t1	XP_013654159.2, XP_048615511.1, XP_048593289.1
OG0000057	Aa_G432690.h1.t1	XP_013681505.3, XP_048606065.1
OG0000057	Aa_G507860.h1.t1	XP_048635092.1, XP_048635090.1, XP_013695133.1, XP_048613531.1, XP_048635764.1, XP_013693721.1
OG0000058	Aa_G559960.h1.t1, Aa_G560070.h1.t1, Aa_G637230.h1.t1	XP_048605594.1, XP_048620815.1, XP_013705003.1, XP_048627202.1
OG0000058	Aa_G634370.h1.t1, Aa_G7430.h1.t1, Aa_G263310.h1.t1	XP_013722514.1, XP_013700583.1
OG0000060	Aa_G746520.h1.t1	XP_048622453.1
OG0000062	Aa_G297760.h1.t1, Aa_G255800.h1.t1	XP_048611761.1, XP_013701495.2, XP_048619707.1, XP_013703977.2, XP_022575147.1, XP_048602568.1, XP_048630018.1, XP_013741022.1, XP_022574457.1, XP_013723697.1, XP_013717352.1, XP_013745422.2, XP_013725743.2, XP_048636767.1, XP_048628779.1, XP_048602176.1, XP_048628782.1, XP_048613487.1
OG0000063	Aa_G448310.h8.t1, Aa_G33920.h4.t1	XP_013676426.1
OG0000063	Aa_G257700.h2.t1	XP_013733729.1
OG0000063	Aa_G257700.h7.t1	XP_013729484.1
OG0000063	Aa_G318860.h1.t1, Aa_G367650.h4.t1	XP_013642542.1, XP_013734919.1
OG0000063	Aa_G448310.h2.t1, Aa_G318860.h5.t1, Aa_G550780.h2.t1	XP_013641159.1
OG0000063	Aa_G550780.h3.t1, Aa_G550780.h8.t1	XP_013723951.1
OG0000063	Aa_G197130.h4.t1, Aa_G318860.h2.t1	XP_013695902.1
OG0000063	Aa_G367650.h6.t1	XP_013691794.1, XP_013748348.1
OG0000063	Aa_G550780.h1.t1, Aa_G257700.h1.t1, Aa_G367650.h7.t1	XP_013744725.1
OG0000063	Aa_G257700.h4.t1, Aa_G367650.h2.t1	XP_013732634.1
OG0000063	Aa_G33920.h7.t1	XP_013641146.1
OG0000063	Aa_G367650.h1.t1	XP_013716269.1
OG0000063	Aa_G33920.h3.t1	XP_013708232.1
OG0000063	Aa_G375890.h7.t1	XP_013708064.1
OG0000063	Aa_G367650.h5.t1	XP_013744194.1
OG0000063	Aa_G33920.h1.t1, Aa_G197130.h5.t1, Aa_G375890.h1.t1	XP_013678307.1
OG0000063	Aa_G550780.h5.t1, Aa_G805160.h1.t1, Aa_G781680.h1.t1, Aa_G781680.h2.t1	XP_013702039.1
OG0000063	Aa_G318860.h8.t1	XP_013647689.1
OG0000063	Aa_G33920.h8.t1, Aa_G318860.h7.t1	XP_013699203.1
OG0000063	Aa_G197130.h8.t1	XP_013680787.1
OG0000064	Aa_G137810.h1.t1	XP_013644911.1, XP_013706797.1
OG0000065	Aa_G349930.h1.t1, Aa_G260460.h1.t1, Aa_G12340.h1.t1, Aa_G657530.h1.t1, Aa_G525020.h1.t1, Aa_G460610.h1.t1	XP_048613235.1, XP_048604923.1
OG0000066	Aa_G64790.h4.t1, Aa_G503380.h1.t1, Aa_G64790.h1.t1, Aa_G503380.h3.t1, Aa_G64790.h3.t1, Aa_G64790.h2.t1, Aa_G503390.h3.t1, Aa_G432280.h2.t1, Aa_G432280.h4.t1, Aa_G432280.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h3.t1	XP_013736360.1
OG0000066	Aa_G503390.h1.t1	XP_013731924.1
OG0000066	Aa_G503380.h4.t1	XP_022554306.1
OG0000066	Aa_G503390.h4.t1	XP_013726329.1
OG0000066	Aa_G19080.h1.t1	XP_013657686.1
OG0000066	Aa_G37430.h4.t1	XP_013686743.2
OG0000066	Aa_G37410.h4.t1, Aa_G159190.h3.t1, Aa_G19080.h3.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G159180.h4.t1, Aa_G159180.h2.t1, Aa_G19080.h2.t1	XP_048627501.1
OG0000066	Aa_G159180.h5.t1	XP_048626247.1
OG0000066	Aa_G37430.h5.t1	XP_048627503.1
OG0000066	Aa_G19080.h4.t1	XP_048626251.1
OG0000066	Aa_G37410.h5.t1	XP_013738537.1
OG0000067	Aa_G389030.h1.t1, Aa_G484940.h1.t1	XP_013715412.1, XP_013670850.1, XP_048623178.1, XP_022548777.1, XP_048598519.1, XP_013668584.1
OG0000067	Aa_G602850.h1.t1, Aa_G602860.h1.t1, Aa_G176470.h1.t1	XP_022566489.1, XP_022573196.2, XP_048624900.1, XP_048626836.1, XP_013716195.1, XP_048597874.1, XP_048607790.1, XP_048607781.1, XP_048607786.1, XP_048607791.1, XP_048624661.1, XP_048624657.1, XP_048607787.1, XP_048607782.1, XP_013722477.1, XP_013722478.1, XP_048607668.1
OG0000068	Aa_G75180.h1.t1	XP_048623748.1, XP_013718384.1, XP_013704169.3, XP_048611398.1, XP_022562330.1, XP_048620191.1
OG0000068	Aa_G7660.h1.t1	XP_048605062.1
OG0000068	Aa_G54410.h1.t1	XP_048596359.1, XP_013723439.1, XP_022545059.2, XP_048634864.1, XP_022570226.2, XP_048634071.1, XP_048634069.1, XP_013678805.1, XP_048599065.1, XP_013751275.1, XP_048615532.1, XP_013731687.2, XP_013751434.1, XP_048593386.1, XP_013694932.1, XP_013717744.2, XP_013668641.1, XP_048598134.1, XP_048598944.1, XP_013704334.1, XP_048598057.1, XP_022545058.1, XP_013751430.1, XP_048596438.1, XP_013709126.2, XP_048596182.1, XP_013665271.1, XP_013689939.2, XP_048620989.1, XP_048633145.1, XP_048633141.1, XP_048608169.1, XP_013679804.1, XP_048598062.1, XP_013673832.1, XP_048617816.1, XP_048613370.1, XP_013727050.3, XP_048605136.1
OG0000070	Aa_G1030250.h1.t1	XP_022567896.1
