Orthogroup	Arabis_alpina	Alyssum_gmelinii
OG0000064	Aa_G137810.h1.t1	Ag003G295980
OG0000066	Aa_G503390.h2.t1, Aa_G64790.h4.t1, Aa_G503380.h1.t1, Aa_G64790.h1.t1, Aa_G503380.h3.t1, Aa_G64790.h3.t1, Aa_G64790.h2.t1, Aa_G503390.h3.t1, Aa_G432280.h2.t1, Aa_G432280.h4.t1, Aa_G432280.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G503390.h4.t1, Aa_G155110.h1.t1, Aa_G586620.h1.t1, Aa_G266510.h1.t1, Aa_G486090.h1.t1	Ag003G225470
OG0000066	Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1, Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37430.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G37430.h3.t1, Aa_G37430.h2.t1, Aa_G159190.h5.t1, Aa_G37410.h3.t1, Aa_G37410.h4.t1, Aa_G159190.h3.t1, Aa_G19080.h3.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G159180.h4.t1, Aa_G159180.h2.t1, Aa_G19080.h2.t1, Aa_G159180.h5.t1, Aa_G37430.h5.t1, Aa_G19080.h4.t1, Aa_G37410.h1.t1, Aa_G37410.h5.t1	Ag002G125900
OG0000067	Aa_G389030.h1.t1, Aa_G484940.h1.t1	Ag003G291740, Ag003G293500, Ag005G466230, Ag003G291820
OG0000067	Aa_G84550.h1.t1, Aa_G389060.h1.t1, Aa_G484910.h1.t1, Aa_G72500.h1.t1	Ag004G385490, Ag006G500760, Ag008G714910, Ag008G707340
OG0000067	Aa_G2360.h1.t1, Aa_G236530.h1.t1, Aa_G10890.h1.t1	Ag007G607200, Ag007G607230
OG0000067	Aa_G602850.h1.t1, Aa_G602860.h1.t1, Aa_G176470.h1.t1	Ag003G227540
OG0000068	Aa_G275180.h1.t1	Ag002G158600
OG0000068	Aa_G54410.h1.t1	Ag006G534800
OG0000069	Aa_G108990.h1.t1	Ag003G258860
OG0000071	Aa_G1110880.h1.t1, Aa_G1110880.h3.t1, Aa_G1110880.h2.t1, Aa_G308060.h1.t1	Ag004G339910
OG0000071	Aa_G1008250.h1.t1, Aa_G1008250.h2.t1	Ag002G109160, Ag004G328070, Ag006G558850, Ag008G714970, Ag005G471910, Ag002G114540, Ag064G744880, Ag001G015270, Ag002G107710, Ag002G178100, Ag008G660740, Ag004G389850, Ag002G173990, Ag001G029400
OG0000073	Aa_G295890.h1.t1	Ag006G576040
OG0000073	Aa_G295940.h1.t1, Aa_G645470.h1.t1, Aa_G295880.h1.t1, Aa_G369060.h1.t1	Ag003G212540
OG0000073	Aa_G628620.h1.t1, Aa_G902620.h1.t1, Aa_G685490.h1.t1, Aa_G685500.h1.t1, Aa_G565790.h1.t1, Aa_G173340.h1.t1, Aa_G565810.h1.t1, Aa_G715510.h1.t1, Aa_G295910.h1.t1, Aa_G565780.h1.t1, Aa_G628640.h1.t1	Ag006G576030
OG0000073	Aa_G208060.h1.t1	Ag002G118960, Ag002G118950
OG0000073	Aa_G208070.h1.t1, Aa_G403300.h1.t1, Aa_G89780.h1.t1	Ag002G116850, Ag002G138580, Ag002G137520, Ag002G117280, Ag002G137530, Ag002G120540, Ag002G116910
OG0000074	Aa_G349960.h1.t1	Ag003G236930, Ag003G236940
OG0000074	Aa_G931550.h1.t1, Aa_G664190.h1.t1, Aa_G664200.h1.t1, Aa_G293350.h1.t1	Ag003G242350, Ag003G242390
OG0000074	Aa_G436170.h1.t1, Aa_G187350.h1.t1	Ag006G500560
OG0000074	Aa_G62240.h1.t1	Ag003G241560, Ag003G242310
OG0000074	Aa_G62260.h1.t1, Aa_G62270.h1.t1	Ag004G378820
OG0000074	Aa_G349950.h1.t1	Ag006G514000
OG0000075	Aa_G542150.h1.t1	Ag006G510790
OG0000075	Aa_G535390.h1.t1	Ag004G313480, Ag004G313520
OG0000076	Aa_G521780.h1.t1	Ag001G069290, Ag001G069280
OG0000076	Aa_G4800.h1.t1, Aa_G696490.h1.t1	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300
OG0000077	Aa_G545910.h1.t1	Ag003G284880
OG0000077	Aa_G374870.h1.t1	Ag003G215720, Ag003G290220, Ag006G569300
OG0000077	Aa_G254660.h1.t1	Ag006G508210
OG0000077	Aa_G374860.h1.t1, Aa_G374850.h1.t1	Ag003G222960, Ag003G281310, Ag003G281290, Ag003G281350, Ag003G281360, Ag003G281330, Ag003G281340, Ag003G281320, Ag003G281370, Ag003G281300
OG0000077	Aa_G374840.h1.t1	Ag004G321630, Ag004G321620, Ag004G321600
OG0000078	Aa_G578120.h1.t1	Ag002G136430
OG0000078	Aa_G32020.h1.t1	Ag001G046650, Ag002G152760, Ag003G252700, Ag001G082530, Ag008G711670
OG0000079	Aa_G175740.h1.t1, Aa_G175730.h1.t1, Aa_G449530.h1.t1, Aa_G175720.h1.t1	Ag001G089410, Ag006G550580, Ag003G233720
OG0000079	Aa_G111830.h1.t1	Ag006G550570
OG0000079	Aa_G175680.h1.t1, Aa_G262340.h1.t1, Aa_G517120.h1.t1, Aa_G175640.h1.t1, Aa_G262350.h1.t1	Ag001G089450
OG0000079	Aa_G175840.h1.t1	Ag001G084480
OG0000079	Aa_G175830.h1.t1, Aa_G175820.h1.t1, Aa_G175780.h1.t1	Ag001G071340
OG0000079	Aa_G175750.h1.t1, Aa_G175760.h1.t1	Ag001G089510, Ag001G089390, Ag001G071210, Ag001G071240, Ag001G089380, Ag001G089370
OG0000080	Aa_G175650.h1.t1	Ag001G028300
OG0000080	Aa_G488480.h1.t1, Aa_G386390.h1.t1	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210
OG0000081	Aa_G604970.h1.t1	Ag007G593730, Ag007G628420, Ag005G451860, Ag005G452050
OG0000082	Aa_G566090.h1.t1	Ag008G658870, Ag004G384280, Ag004G385590, Ag004G351970
OG0000082	Aa_G14330.h1.t1	Ag004G340020
OG0000084	Aa_G155650.h1.t1	Ag002G186630, Ag002G189800, Ag002G189260, Ag002G189740, Ag002G189750, Ag002G189790, Ag002G189770
OG0000084	Aa_G54460.h1.t1	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650, Ag004G391010, Ag002G111880, Ag002G108390
OG0000087	Aa_G630880.h1.t1	Ag008G723440
OG0000087	Aa_G199760.h1.t1	Ag007G593840
OG0000087	Aa_G409550.h1.t1, Aa_G88860.h1.t1	Ag008G728250, Ag001G052770
OG0000087	Aa_G256660.h1.t1	Ag007G609260
OG0000087	Aa_G562810.h1.t1	Ag002G161340
OG0000087	Aa_G103150.h1.t1	Ag002G127940
OG0000087	Aa_G580380.h1.t1	Ag006G562620
OG0000087	Aa_G656110.h1.t1	Ag003G224140
OG0000088	Aa_G89050.h1.t1	Ag005G450330, Ag005G450360
OG0000088	Aa_G15590.h1.t1	Ag008G717820
OG0000089	Aa_G152880.h1.t1	Ag007G603320
OG0000089	Aa_G537640.h1.t1	Ag006G540580
OG0000089	Aa_G67360.h1.t1	Ag002G193060
OG0000089	Aa_G5290.h1.t1	Ag005G471710
OG0000089	Aa_G367680.h1.t1	Ag002G172950, Ag001G073120
OG0000089	Aa_G99370.h1.t1, Aa_G27970.h1.t1	Ag008G712440, Ag008G708620
OG0000090	Aa_G433160.h1.t1, Aa_G266320.h1.t1	Ag004G333760
OG0000090	Aa_G410840.h1.t1	Ag003G223190
OG0000090	Aa_G273720.h1.t1, Aa_G273730.h1.t1	Ag001G023950, Ag001G024020, Ag001G023830, Ag001G020200, Ag001G020270, Ag001G020040, Ag001G021760, Ag001G021770, Ag001G024010, Ag001G023940
OG0000090	Aa_G349440.h1.t1, Aa_G349450.h1.t1	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930
OG0000090	Aa_G171940.h1.t1, Aa_G171950.h1.t1, Aa_G349430.h1.t1, Aa_G171960.h1.t1, Aa_G171980.h1.t1, Aa_G171970.h1.t1	Ag002G185460
OG0000091	Aa_G445870.h1.t1	Ag008G666220
OG0000093	Aa_G526230.h1.t1	Ag001G087540
OG0000093	Aa_G835690.h1.t1, Aa_G367660.h1.t1	Ag001G087060, Ag020G743300
OG0000093	Aa_G526180.h1.t1	Ag001G087470
OG0000093	Aa_G526150.h1.t1, Aa_G526160.h1.t1	Ag001G083700, Ag001G087310
OG0000093	Aa_G627610.h1.t1	Ag001G086770, Ag001G086780, Ag001G086760
OG0000093	Aa_G627620.h1.t1	Ag001G086540, Ag001G086510
OG0000096	Aa_G122040.h1.t1, Aa_G362960.h1.t1	Ag002G102560
OG0000096	Aa_G786250.h1.t1, Aa_G786250.h2.t1	Ag002G103250
OG0000096	Aa_G161010.h1.t1	Ag004G310490
OG0000097	Aa_G42050.h1.t1	Ag002G129480
OG0000097	Aa_G132920.h1.t1	Ag002G129560, Ag002G130470, Ag002G129510, Ag002G129570, Ag002G129580, Ag002G129500, Ag002G129590, Ag002G129620, Ag002G130320, Ag002G130290, Ag002G130330, Ag002G129450
OG0000097	Aa_G233060.h1.t1, Aa_G261510.h1.t1	Ag002G129120
OG0000097	Aa_G577800.h1.t1	Ag002G128740
OG0000097	Aa_G120830.h1.t1	Ag002G128960
OG0000098	Aa_G193720.h1.t1, Aa_G521440.h1.t1	Ag006G506280, Ag004G316800, Ag004G315620
OG0000099	Aa_G647960.h1.t1	Ag004G395880, Ag004G394290, Ag004G391580
OG0000099	Aa_G384670.h1.t1	Ag004G391150, Ag004G391000, Ag004G391130, Ag004G390970, Ag004G395610
OG0000100	Aa_G527420.h1.t1, Aa_G180200.h1.t1	Ag002G132470
OG0000101	Aa_G361620.h1.t1, Aa_G361650.h1.t1, Aa_G361610.h1.t1	Ag004G389930, Ag004G393600, Ag004G388590, Ag004G390060
OG0000101	Aa_G65950.h1.t1	Ag004G389820, Ag004G389830
OG0000101	Aa_G398600.h1.t1	Ag004G392410, Ag004G396720, Ag004G396730, Ag004G392400, Ag004G390040, Ag004G396960
OG0000101	Aa_G65760.h1.t1	Ag004G394110
OG0000101	Aa_G65780.h1.t1, Aa_G65750.h1.t1, Aa_G65880.h1.t1	Ag004G389140
OG0000101	Aa_G408910.h1.t1	Ag004G395200, Ag004G395030, Ag004G390080
OG0000104	Aa_G257560.h1.t1	Ag004G307220
OG0000104	Aa_G166390.h1.t1	Ag001G010320
OG0000106	Aa_G32180.h1.t1	Ag005G417510, Ag001G017220
OG0000107	Aa_G37190.h1.t1	Ag005G444180, Ag005G442930
OG0000107	Aa_G641990.h1.t1, Aa_G247880.h1.t1	Ag003G213880
OG0000107	Aa_G323960.h1.t1	Ag005G446670
OG0000108	Aa_G539300.h1.t1, Aa_G70590.h1.t1	Ag008G718910, Ag008G718920, Ag008G722210, Ag008G722220, Ag005G459590, Ag008G727840
OG0000108	Aa_G539290.h1.t1	Ag008G722170
OG0000109	Aa_G84800.h1.t1, Aa_G329020.h1.t1	Ag001G018050, Ag002G147800, Ag005G414580, Ag004G372360, Ag004G337320, Ag006G543970, Ag002G162420, Ag003G261280, Ag004G349840, Ag007G593090, Ag001G059110, Ag005G411230, Ag011G740860, Ag003G294760, Ag002G133440, Ag004G303880, Ag004G330170, Ag006G547030, Ag005G455810, Ag008G716250, Ag001G087550, Ag006G493580, Ag002G191920, Ag007G620300, Ag001G037570
OG0000109	Aa_G663410.h1.t1	Ag003G215310, Ag004G367180, Ag004G395250, Ag004G351540, Ag007G578520, Ag003G262230, Ag002G199280, Ag006G563280, Ag007G622830, Ag006G517090, Ag002G104980
OG0000110	Aa_G271260.h1.t1	Ag001G090130
OG0000110	Aa_G784880.h1.t1	Ag001G090120
OG0000110	Aa_G545130.h1.t1, Aa_G430890.h1.t1	Ag001G089790, Ag001G077880
OG0000110	Aa_G319030.h1.t1	Ag007G655930
OG0000110	Aa_G533500.h1.t1, Aa_G544160.h1.t1, Aa_G430880.h1.t1, Aa_G741430.h1.t1, Aa_G544170.h1.t1, Aa_G430870.h1.t1, Aa_G350840.h1.t1, Aa_G773700.h1.t1	Ag003G287900, Ag001G089820, Ag001G089800, Ag001G089810, Ag001G077870, Ag004G376010
OG0000110	Aa_G430920.h1.t1, Aa_G469560.h1.t1	Ag001G077750, Ag001G089870, Ag001G089880, Ag001G089910
OG0000110	Aa_G271300.h1.t1	Ag001G090290, Ag001G090300, Ag001G090310
OG0000111	Aa_G478490.h1.t1, Aa_G110070.h1.t1	Ag002G181570, Ag002G181540, Ag002G181620
OG0000111	Aa_G110080.h1.t1, Aa_G75250.h1.t1	Ag006G502330
OG0000111	Aa_G75240.h1.t1	Ag008G729450
OG0000113	Aa_G106970.h1.t1, Aa_G65730.h1.t1	Ag005G453300
OG0000113	Aa_G710830.h1.t1	Ag002G118730
OG0000113	Aa_G792870.h1.t1	Ag006G576050
OG0000113	Aa_G117390.h1.t1	Ag007G655220
OG0000114	Aa_G332260.h1.t1	Ag005G486540, Ag005G485930
OG0000114	Aa_G84490.h1.t1	Ag007G607050, Ag007G607020
OG0000114	Aa_G17720.h1.t1, Aa_G563350.h1.t1	Ag003G284630
OG0000114	Aa_G578400.h1.t1, Aa_G69050.h1.t1	Ag006G555860
OG0000117	Aa_G204550.h1.t1, Aa_G896890.h1.t1	Ag006G549560
OG0000117	Aa_G278670.h1.t1, Aa_G454040.h1.t1, Aa_G40780.h1.t1, Aa_G128900.h1.t1	Ag002G137760
OG0000120	Aa_G388280.h1.t1	Ag006G498650, Ag006G498600, Ag006G498610
OG0000122	Aa_G592740.h1.t1, Aa_G5880.h1.t1, Aa_G379620.h1.t1	Ag008G698890
OG0000122	Aa_G625770.h1.t1, Aa_G247680.h1.t1, Aa_G379610.h1.t1	Ag003G267460
OG0000123	Aa_G184310.h1.t1, Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G457510.h1.t1	Ag007G583620, Ag001G067540, Ag004G318570, Ag004G318540, Ag006G573850, Ag006G564520, Ag002G117150, Ag004G318510, Ag004G318080
OG0000124	Aa_G9780.h1.t1, Aa_G10940.h1.t1, Aa_G198530.h1.t1	Ag003G242000
OG0000125	Aa_G506920.h1.t1, Aa_G403520.h1.t1	Ag005G477020
OG0000125	Aa_G552180.h1.t1	Ag008G713670
OG0000125	Aa_G69270.h1.t1	Ag007G595180
OG0000126	Aa_G248300.h1.t1	Ag008G691850
OG0000127	Aa_G18590.h1.t1	Ag006G492230
OG0000127	Aa_G101380.h1.t1	Ag005G477990
OG0000128	Aa_G159330.h2.t1, Aa_G159330.h1.t1, Aa_G1023650.h1.t1	Ag006G549480
OG0000128	Aa_G147990.h1.t1, Aa_G91540.h1.t1	Ag003G264610, Ag003G264920, Ag001G005890
OG0000130	Aa_G717270.h1.t1, Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1, Aa_G741540.h1.t1	Ag003G260700
OG0000133	Aa_G50020.h1.t1	Ag004G391190, Ag003G285410
OG0000136	Aa_G703520.h1.t1	Ag008G691470, Ag005G487080
OG0000136	Aa_G483980.h1.t1, Aa_G220980.h1.t1, Aa_G221010.h1.t1, Aa_G221000.h1.t1	Ag005G456830, Ag005G456800, Ag005G456810, Ag008G669100, Ag005G457140, Ag002G171850
OG0000138	Aa_G783970.h1.t1, Aa_G283280.h1.t1, Aa_G376680.h1.t1, Aa_G638390.h1.t1, Aa_G638390.h2.t1, Aa_G638390.h3.t1, Aa_G110250.h1.t1, Aa_G182200.h1.t1, Aa_G691670.h1.t1, Aa_G298280.h1.t1	Ag004G345080, Ag004G381060, Ag004G345060
OG0000139	Aa_G803880.h1.t1	Ag002G105400
OG0000139	Aa_G1007810.h1.t1, Aa_G1080960.h1.t1	Ag002G170320
OG0000140	Aa_G848610.h1.t1	Ag008G707960
OG0000140	Aa_G650690.h2.t1, Aa_G650690.h1.t1	Ag001G080460, Ag008G707780
OG0000140	Aa_G715860.h1.t1	Ag001G052690
OG0000142	Aa_G49000.h1.t1, Aa_G235730.h1.t1	Ag007G594160, Ag007G594220
OG0000142	Aa_G173900.h1.t1	Ag007G594490, Ag007G594500, Ag007G594520, Ag007G594510
OG0000142	Aa_G35530.h1.t1	Ag007G594470
OG0000145	Aa_G11550.h1.t1	Ag004G383900, Ag003G230540, Ag004G392330, Ag001G060050, Ag007G610290, Ag004G392340
OG0000146	Aa_G643480.h1.t1	Ag008G695350
