Orthogroup	Arabis_alpina	Noccaea_praecox
OG0000063	Aa_G448310.h5.t1	Np003G152670, Np004G251810
OG0000063	Aa_G33920.h6.t1	Np004G251560, Np006G359840
OG0000063	Aa_G197130.h6.t1	Np005G306870
OG0000063	Aa_G375890.h3.t1	Np003G152310
OG0000063	Aa_G257700.h6.t1	Np001G046020
OG0000064	Aa_G137810.h1.t1	Np005G260880
OG0000066	Aa_G503390.h2.t1, Aa_G64790.h4.t1, Aa_G503380.h1.t1, Aa_G64790.h1.t1, Aa_G503380.h3.t1, Aa_G64790.h3.t1, Aa_G64790.h2.t1, Aa_G503390.h3.t1, Aa_G432280.h2.t1, Aa_G432280.h4.t1, Aa_G432280.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G503390.h4.t1, Aa_G155110.h1.t1, Aa_G586620.h1.t1, Aa_G266510.h1.t1, Aa_G486090.h1.t1	Np005G262320
OG0000066	Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1, Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37430.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G37430.h3.t1, Aa_G37430.h2.t1, Aa_G159190.h5.t1, Aa_G37410.h3.t1, Aa_G37410.h4.t1, Aa_G159190.h3.t1, Aa_G19080.h3.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G159180.h4.t1, Aa_G159180.h2.t1, Aa_G19080.h2.t1, Aa_G159180.h5.t1, Aa_G37430.h5.t1, Aa_G19080.h4.t1, Aa_G37410.h1.t1, Aa_G37410.h5.t1	Np003G136710
OG0000067	Aa_G389030.h1.t1, Aa_G484940.h1.t1	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340
OG0000067	Aa_G84550.h1.t1, Aa_G389060.h1.t1, Aa_G484910.h1.t1, Aa_G72500.h1.t1	Np006G321540, Np005G281650, Np006G321570, Np006G324160, Np006G322140
OG0000067	Aa_G602850.h1.t1, Aa_G602860.h1.t1, Aa_G176470.h1.t1	Np003G144200
OG0000068	Aa_G75180.h1.t1	Np002G089430
OG0000068	Aa_G104090.h1.t1	Np007G393060
OG0000069	Aa_G108990.h1.t1	Np003G152400
OG0000070	Aa_G850.h1.t1	Np009G431130, Np002G106230, Np006G346190, Np003G169290, Np002G097490, Np007G399960
OG0000070	Aa_G380.h1.t1	Np002G099050
OG0000071	Aa_G414310.h1.t1	Np003G163260
OG0000071	Aa_G616190.h1.t1, Aa_G692990.h1.t1, Aa_G268590.h1.t1	Np003G136370, Np006G335610, Np002G086650
OG0000071	Aa_G616180.h1.t1	Np006G355640
OG0000071	Aa_G1110880.h1.t1, Aa_G1110880.h3.t1, Aa_G1110880.h2.t1, Aa_G308060.h1.t1	Np001G013290
OG0000071	Aa_G32140.h1.t1	Np004G192480, Np004G255110, Np001G010810, Np003G136400, Np004G197340, Np001G008060, Np002G121660, Np003G183830, Np001G025430, Np001G046830, Np002G093400, Np006G335600, Np001G045020, Np006G328550, Np004G200670, Np002G093150, Np004G193230, Np002G120650
OG0000071	Aa_G456270.h1.t1	Np001G051330, Np005G305440, Np005G260960, Np005G280230, Np003G139630, Np003G158800, Np006G328500
OG0000073	Aa_G208070.h1.t1, Aa_G403300.h1.t1, Aa_G89780.h1.t1	Np006G330840
OG0000074	Aa_G349960.h1.t1	Np004G230020
OG0000074	Aa_G931550.h1.t1, Aa_G664190.h1.t1, Aa_G664200.h1.t1, Aa_G293350.h1.t1	Np004G229960
OG0000074	Aa_G62240.h1.t1	Np004G230030
OG0000074	Aa_G62260.h1.t1, Aa_G62270.h1.t1	Np003G180910, Np003G184200
OG0000075	Aa_G460480.h1.t1, Aa_G542150.h1.t1, Aa_G535390.h1.t1	Np007G378600
OG0000076	Aa_G247970.h1.t1, Aa_G247980.h1.t1, Aa_G465260.h1.t1, Aa_G247990.h1.t1	Np002G083960
OG0000076	Aa_G4800.h1.t1	Np007G423950
OG0000077	Aa_G374870.h1.t1	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490
OG0000077	Aa_G254660.h1.t1	Np007G386290
OG0000077	Aa_G374860.h1.t1, Aa_G374850.h1.t1	Np006G360730
OG0000078	Aa_G32020.h1.t1	Np005G290970, Np008G428930, Np007G401550, Np004G211330, Np002G116110, Np005G303350, Np002G089150, Np002G108660
OG0000079	Aa_G175740.h1.t1, Aa_G175730.h1.t1, Aa_G449530.h1.t1, Aa_G175720.h1.t1	Np001G064190
OG0000079	Aa_G111830.h1.t1	Np007G422670
OG0000079	Aa_G284870.h1.t1	Np007G389360
OG0000079	Aa_G175680.h1.t1, Aa_G262340.h1.t1, Aa_G517120.h1.t1, Aa_G175640.h1.t1, Aa_G262350.h1.t1	Np001G064220
OG0000079	Aa_G175840.h1.t1	Np001G064140
OG0000080	Aa_G329030.h1.t1, Aa_G84910.h1.t1, Aa_G235680.h1.t1	Np006G334220
OG0000080	Aa_G175650.h1.t1	Np002G124540
OG0000080	Aa_G488480.h1.t1, Aa_G386390.h1.t1	Np006G328080
OG0000081	Aa_G604970.h1.t1	Np001G010770, Np004G196080, Np004G196070, Np003G176780, Np003G176800, Np003G176750, Np003G145640
OG0000082	Aa_G566090.h1.t1	Np005G299120, Np006G332300, Np005G302180
OG0000083	Aa_G595900.h1.t1	Np002G083710
OG0000083	Aa_G319560.h1.t1	Np002G083730
OG0000083	Aa_G21020.h1.t1	Np007G418940
OG0000084	Aa_G155650.h1.t1	Np006G364930
OG0000084	Aa_G54460.h1.t1	Np006G365060, Np006G365040
OG0000087	Aa_G630880.h1.t1	Np001G010980
OG0000087	Aa_G199760.h1.t1	Np006G350150, Np008G428160
OG0000087	Aa_G409550.h1.t1, Aa_G88860.h1.t1	Np001G007020
OG0000087	Aa_G256660.h1.t1	Np003G139100
OG0000087	Aa_G103150.h1.t1	Np001G039930
OG0000087	Aa_G580380.h1.t1	Np005G287110
OG0000087	Aa_G656110.h1.t1	Np002G077440
OG0000088	Aa_G15590.h1.t1	Np003G148700, Np003G148740
OG0000088	Aa_G15570.h1.t1	Np001G052870
OG0000089	Aa_G152880.h1.t1	Np003G136030
OG0000089	Aa_G67360.h1.t1	Np006G329000
OG0000089	Aa_G5290.h1.t1	Np007G409340
OG0000089	Aa_G367680.h1.t1	Np001G056580, Np006G336940
OG0000089	Aa_G99370.h1.t1	Np001G046210
OG0000090	Aa_G433160.h1.t1, Aa_G266320.h1.t1	Np004G235330
OG0000090	Aa_G410840.h1.t1	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610
OG0000090	Aa_G273720.h1.t1, Aa_G273730.h1.t1	Np004G198850, Np004G198910, Np004G205910, Np001G035580, Np001G035610, Np001G035600
OG0000090	Aa_G349440.h1.t1, Aa_G349450.h1.t1	Np007G385680, Np001G065320, Np001G065030
OG0000090	Aa_G171940.h1.t1, Aa_G171950.h1.t1, Aa_G349430.h1.t1, Aa_G171960.h1.t1, Aa_G171980.h1.t1, Aa_G171970.h1.t1	Np007G389920
OG0000093	Aa_G526230.h1.t1	Np001G063230
OG0000093	Aa_G526200.h1.t1, Aa_G526220.h1.t1, Aa_G835690.h1.t1, Aa_G367660.h1.t1	Np001G005730
OG0000096	Aa_G683270.h1.t1	Np001G024770
OG0000096	Aa_G122040.h1.t1, Aa_G362960.h1.t1	Np001G038620
OG0000097	Aa_G42050.h1.t1	Np003G184990
OG0000097	Aa_G132920.h1.t1	Np003G185010
OG0000097	Aa_G577800.h1.t1	Np003G171600
OG0000097	Aa_G42060.h1.t1, Aa_G405840.h1.t1, Aa_G25760.h1.t1, Aa_G120830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h6.t1, Aa_G405830.h4.t1, Aa_G405830.h3.t1, Aa_G405830.h1.t1, Aa_G405830.h2.t1, Aa_G405810.h1.t1	Np003G185030
OG0000098	Aa_G733890.h1.t1, Aa_G391080.h1.t1, Aa_G473800.h1.t1, Aa_G329600.h1.t1, Aa_G391060.h1.t1, Aa_G391060.h2.t1	Np002G116580
OG0000099	Aa_G647960.h1.t1	Np002G123560, Np004G228320
OG0000099	Aa_G384670.h1.t1	Np004G215640
OG0000100	Aa_G527420.h1.t1, Aa_G180200.h1.t1	Np004G233090, Np003G158140
OG0000101	Aa_G65740.h1.t1, Aa_G65800.h1.t1	Np002G122780
OG0000101	Aa_G398600.h1.t1	Np002G123360
OG0000102	Aa_G998790.h1.t1	Np006G343540
OG0000102	Aa_G397260.h1.t1, Aa_G367140.h1.t1	Np001G022480
OG0000104	Aa_G257560.h1.t1	Np004G251930
OG0000104	Aa_G459870.h1.t1	Np006G360100
OG0000104	Aa_G166390.h1.t1	Np004G195160
OG0000106	Aa_G32180.h1.t1	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330, Np007G372640
OG0000107	Aa_G37190.h1.t1	Np005G313740
OG0000108	Aa_G539300.h1.t1, Aa_G70590.h1.t1	Np001G012770, Np001G011650, Np001G011550
OG0000108	Aa_G539290.h1.t1	Np005G305310
OG0000109	Aa_G84800.h1.t1, Aa_G329020.h1.t1	Np005G297110, Np007G411390, Np006G354610, Np002G087810, Np004G196100, Np003G179250, Np007G388320
OG0000109	Aa_G663410.h1.t1	Np003G183100, Np004G217760
OG0000110	Aa_G271260.h1.t1	Np001G064490
OG0000110	Aa_G784880.h1.t1	Np001G064470
OG0000110	Aa_G430920.h1.t1, Aa_G469560.h1.t1	Np001G064450
OG0000110	Aa_G271300.h1.t1	Np001G064540
OG0000111	Aa_G478490.h1.t1, Aa_G110070.h1.t1	Np005G311780, Np005G313710, Np005G313720, Np005G313730
OG0000111	Aa_G110080.h1.t1	Np005G313680
OG0000111	Aa_G75250.h1.t1	Np001G006020
OG0000111	Aa_G482020.h1.t1, Aa_G601860.h1.t1, Aa_G116920.h1.t1	Np001G006010
OG0000111	Aa_G267550.h1.t1	Np006G327310, Np005G313700, Np005G313670, Np005G313690
OG0000111	Aa_G75240.h1.t1	Np001G006030
OG0000111	Aa_G482030.h1.t1, Aa_G359110.h1.t1	Np001G058370
OG0000112	Aa_G655250.h1.t1, Aa_G655250.h2.t1	Np003G184320
OG0000113	Aa_G229780.h1.t1	Np007G416190
OG0000113	Aa_G106970.h1.t1, Aa_G65730.h1.t1	Np002G122980
OG0000113	Aa_G616120.h1.t1	Np002G123190
OG0000114	Aa_G753220.h1.t1	Np003G137830
OG0000117	Aa_G128900.h1.t1	Np004G227340
OG0000120	Aa_G388280.h1.t1	Np003G129250
OG0000122	Aa_G5880.h1.t1	Np003G157760
OG0000122	Aa_G379620.h1.t1	Np003G157830
OG0000122	Aa_G551010.h1.t1, Aa_G550960.h1.t1, Aa_G379580.h1.t1, Aa_G625770.h1.t1, Aa_G247680.h1.t1, Aa_G379610.h1.t1, Aa_G379590.h1.t1, Aa_G592750.h1.t1	Np001G056320
OG0000123	Aa_G184310.h1.t1, Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G457510.h1.t1	Np003G131420, Np004G243230, Np004G243210, Np005G279480, Np003G131130
OG0000125	Aa_G311330.h1.t1	Np006G337140
OG0000125	Aa_G506920.h1.t1, Aa_G403520.h1.t1	Np003G126800
OG0000125	Aa_G552180.h1.t1	Np003G151060
OG0000125	Aa_G33880.h1.t1	Np003G152340
OG0000125	Aa_G69270.h1.t1	Np006G359820
OG0000126	Aa_G248300.h1.t1	Np002G094910
OG0000127	Aa_G18590.h1.t1	Np003G125840
OG0000127	Aa_G101380.h1.t1	Np007G413710
OG0000130	Aa_G717270.h1.t1, Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1, Aa_G741540.h1.t1	Np006G346500, Np002G110200, Np005G295250
OG0000131	Aa_G861160.h1.t1	Np002G101800
OG0000131	Aa_G187370.h1.t1, Aa_G173790.h1.t1, Aa_G972050.h1.t1, Aa_G918570.h1.t1, Aa_G327480.h1.t1, Aa_G122790.h1.t1	Np003G174400
OG0000132	Aa_G358570.h1.t1	Np003G171960
OG0000132	Aa_G322800.h1.t1	Np007G378350
OG0000132	Aa_G342720.h1.t1	Np004G192110, Np001G023710
OG0000133	Aa_G50020.h1.t1	Np003G130350, Np003G153160
OG0000136	Aa_G108450.h1.t1	Np005G312640
OG0000136	Aa_G483980.h1.t1, Aa_G220980.h1.t1, Aa_G221010.h1.t1, Aa_G221000.h1.t1	Np005G312630, Np005G312670, Np005G312660, Np005G312690
OG0000138	Aa_G783970.h1.t1, Aa_G283280.h1.t1, Aa_G376680.h1.t1, Aa_G638390.h1.t1, Aa_G638390.h2.t1, Aa_G638390.h3.t1, Aa_G110250.h1.t1, Aa_G182200.h1.t1, Aa_G691670.h1.t1, Aa_G298280.h1.t1	Np002G085290
OG0000138	Aa_G514480.h1.t1, Aa_G105030.h1.t1, Aa_G531570.h1.t1	Np002G085240, Np002G085270, Np002G085250
OG0000139	Aa_G803880.h1.t1	Np006G345080, Np003G170780, Np004G225070, Np001G033760, Np002G105790
OG0000139	Aa_G1007810.h1.t1, Aa_G1080960.h1.t1	Np001G031630, Np002G101140
OG0000139	Aa_G840.h1.t1, Aa_G475650.h1.t1	Np006G346200, Np002G108210, Np003G158850, Np004G246540, Np002G097840
OG0000140	Aa_G297060.h1.t1	Np003G153340
OG0000140	Aa_G701760.h1.t1	Np003G153440
OG0000140	Aa_G650690.h2.t1, Aa_G650690.h1.t1	Np003G153430, Np007G424390, Np003G153390
OG0000140	Aa_G715860.h1.t1	Np001G046630
OG0000145	Aa_G11550.h1.t1	Np005G299660
OG0000146	Aa_G59090.h1.t1	Np003G160040
OG0000146	Aa_G643480.h1.t1	Np003G160230
OG0000146	Aa_G643460.h1.t1, Aa_G732190.h1.t1	Np003G160060, Np003G160140, Np003G160190
OG0000146	Aa_G925390.h1.t1	Np003G160220
OG0000147	Aa_G190130.h1.t1	Np007G373950
OG0000147	Aa_G620370.h1.t1	Np005G273990
OG0000147	Aa_G307400.h1.t1	Np003G156060
OG0000147	Aa_G21590.h1.t1	Np002G071170
OG0000147	Aa_G490420.h1.t1	Np001G043050
OG0000147	Aa_G194510.h1.t1	Np007G389960
OG0000149	Aa_G482950.h1.t1	Np003G152730
OG0000149	Aa_G550820.h1.t1	Np003G152750
OG0000149	Aa_G550810.h1.t1, Aa_G550830.h1.t1, Aa_G550790.h1.t1, Aa_G550840.h1.t1	Np003G152680
OG0000151	Aa_G134060.h1.t1	Np003G164170
OG0000151	Aa_G2000.h1.t1	Np005G277020
OG0000151	Aa_G70150.h1.t1	Np007G376880
OG0000151	Aa_G580840.h1.t1	Np003G158280
OG0000151	Aa_G135580.h1.t1	Np002G123910
OG0000154	Aa_G85360.h1.t1, Aa_G162650.h1.t1	Np002G086500
OG0000154	Aa_G162640.h1.t1, Aa_G280540.h1.t1	Np004G240190, Np007G408850
OG0000154	Aa_G40310.h1.t1	Np006G330440
OG0000154	Aa_G403550.h1.t1	Np007G413420
OG0000154	Aa_G85370.h1.t1	Np003G126710
OG0000155	Aa_G438370.h1.t1	Np004G218540
OG0000155	Aa_G58940.h1.t1	Np005G287960
OG0000155	Aa_G5430.h1.t1	Np007G409550
OG0000156	Aa_G16050.h1.t1	Np006G324070
OG0000156	Aa_G978220.h1.t1	Np001G066040
OG0000156	Aa_G16110.h1.t1	Np006G324150
OG0000156	Aa_G16090.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1, Aa_G569190.h1.t1	Np006G324140
OG0000158	Aa_G223250.h1.t1	Np001G070050
OG0000158	Aa_G446770.h1.t1	Np002G080740
OG0000158	Aa_G270230.h1.t1	Np002G081170
OG0000161	Aa_G61530.h1.t1, Aa_G716440.h1.t1, Aa_G61470.h1.t1, Aa_G61460.h1.t1	Np001G008600, Np001G006330, Np001G006400
OG0000161	Aa_G323510.h1.t1	Np002G086610
OG0000162	Aa_G77230.h1.t1, Aa_G208970.h1.t1, Aa_G208980.h1.t1	Np006G363910
OG0000162	Aa_G175290.h1.t1, Aa_G175310.h1.t1	Np006G324990
OG0000165	Aa_G330590.h1.t1, Aa_G848170.h1.t1, Aa_G30210.h1.t1	Np007G400810
OG0000165	Aa_G11930.h1.t1, Aa_G83970.h1.t1, Aa_G86920.h1.t1	Np007G398000, Np003G163020, Np003G177100, Np003G180650, Np003G184270, Np003G134920, Np002G098680
