Orthogroup	Arabis_alpina	Cardamine_amara
OG0000044	Aa_G882110.h32.t1, Aa_G882110.h5.t1, Aa_G882110.h18.t1, Aa_G882110.h22.t1, Aa_G882110.h33.t1, Aa_G882110.h7.t1, Aa_G882110.h9.t1, Aa_G882110.h35.t1, Aa_G882110.h15.t1, Aa_G882110.h10.t1, Aa_G882110.h28.t1, Aa_G882110.h1.t1, Aa_G882110.h30.t1, Aa_G882110.h20.t1, Aa_G882110.h23.t1, Aa_G882110.h31.t1, Aa_G882110.h24.t1, Aa_G882110.h14.t1, Aa_G882110.h12.t1, Aa_G882110.h29.t1, Aa_G882110.h19.t1, Aa_G882110.h4.t1, Aa_G882110.h2.t1, Aa_G882110.h17.t1, Aa_G882110.h6.t1, Aa_G882110.h34.t1, Aa_G882110.h3.t1, Aa_G882110.h26.t1, Aa_G882110.h21.t1, Aa_G882110.h13.t1, Aa_G882110.h11.t1, Aa_G882110.h8.t1, Aa_G882110.h25.t1, Aa_G882110.h16.t1, Aa_G882110.h27.t1	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682
OG0000046	Aa_G439600.h1.t1, Aa_G408550.h1.t1	evm.model.RL_2.389, evm.model.RL_2.387
OG0000046	Aa_G190950.h1.t1, Aa_G756440.h1.t1	evm.model.RL_3.1075, evm.model.RL_3.1071, evm.model.RL_3.1072, evm.model.RL_3.1077, evm.model.RL_3.1060, evm.model.RL_3.1059, evm.model.RL_3.1065
OG0000046	Aa_G574220.h1.t1	evm.model.RL_2.393
OG0000046	Aa_G439610.h1.t1	evm.model.RL_2.398
OG0000047	Aa_G159200.h1.t1	evm.model.RL_4.1421
OG0000052	Aa_G818500.h1.t1, Aa_G818500.h2.t1, Aa_G18920.h1.t1, Aa_G217710.h1.t1	evm.model.RL_5.167
OG0000052	Aa_G599340.h1.t1	evm.model.RL_6.1412
OG0000052	Aa_G271540.h1.t1	evm.model.RL_8.803, evm.model.RL_8.802
OG0000054	Aa_G319750.h1.t1, Aa_G362310.h1.t1	evm.model.RL_8.912, evm.model.RL_7.2126
OG0000054	Aa_G158060.h1.t1	evm.model.RL_1.2395
OG0000055	Aa_G534290.h1.t1	evm.model.RL_3.286
OG0000056	Aa_G742680.h1.t1, Aa_G159490.h1.t1, Aa_G880340.h1.t1, Aa_G204510.h1.t1, Aa_G9790.h1.t1, Aa_G233100.h1.t1, Aa_G652160.h1.t1, Aa_G44560.h1.t1, Aa_G531310.h1.t1, Aa_G227280.h1.t1, Aa_G160160.h1.t1	evm.model.RL_2.634
OG0000056	Aa_G505780.h1.t1	evm.model.RL_5.3516, evm.model.RL_8.1063, evm.model.RL_7.2480, evm.model.RL_8.880, evm.model.RL_8.260, evm.model.RL_3.1257, evm.model.RL_3.1335
OG0000057	Aa_G5070.h1.t1	evm.model.RL_4.2353
OG0000060	Aa_G746520.h1.t1	evm.model.RL_4.110
OG0000062	Aa_G297760.h1.t1, Aa_G255800.h1.t1	evm.model.RL_2.991, evm.model.RL_6.777
OG0000063	Aa_G257700.h5.t1	evm.model.RL_7.1014
OG0000063	Aa_G318860.h6.t1	evm.model.RL_8.2072
OG0000063	Aa_G197130.h7.t1, Aa_G318860.h3.t1	evm.model.RL_6.1828
OG0000063	Aa_G367650.h3.t1	evm.model.RL_7.1740
OG0000063	Aa_G257700.h6.t1	evm.model.RL_7.1774, evm.model.RL_6.981
OG0000063	Aa_G448310.h7.t1	evm.model.RL_5.633
OG0000066	Aa_G155110.h1.t1, Aa_G586620.h1.t1, Aa_G266510.h1.t1	evm.model.RL_3.1975
OG0000066	Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1, Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37430.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G37430.h3.t1, Aa_G37430.h2.t1, Aa_G159190.h5.t1, Aa_G37410.h3.t1, Aa_G37410.h4.t1, Aa_G159190.h3.t1, Aa_G19080.h3.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G159180.h4.t1, Aa_G159180.h2.t1, Aa_G19080.h2.t1, Aa_G159180.h5.t1, Aa_G37430.h5.t1, Aa_G19080.h4.t1, Aa_G37410.h1.t1, Aa_G37410.h5.t1	evm.model.RL_8.2622
OG0000067	Aa_G389030.h1.t1, Aa_G484940.h1.t1	evm.model.RL_7.2627
OG0000067	Aa_G84550.h1.t1, Aa_G389060.h1.t1, Aa_G484910.h1.t1, Aa_G72500.h1.t1	evm.model.RL_3.1500, evm.model.RL_3.1537
OG0000070	Aa_G850.h1.t1	evm.model.RL_3.776
OG0000070	Aa_G370.h1.t1, Aa_G830.h1.t1, Aa_G870.h1.t1, Aa_G890.h1.t1	evm.model.RL_3.549, evm.model.RL_7.1943
OG0000070	Aa_G280.h1.t1, Aa_G540.h1.t1	evm.model.RL_2.703, evm.model.RL_3.747, evm.model.RL_3.813, evm.model.RL_8.1022
OG0000071	Aa_G616180.h1.t1	evm.model.RL_6.950
OG0000071	Aa_G1110880.h1.t1, Aa_G1110880.h3.t1, Aa_G1110880.h2.t1, Aa_G308060.h1.t1	evm.model.RL_4.341
OG0000071	Aa_G32140.h1.t1, Aa_G456270.h1.t1	evm.model.RL_6.3
OG0000073	Aa_G208060.h1.t1, Aa_G313590.h1.t1	evm.model.RL_4.629
OG0000073	Aa_G33030.h1.t1	evm.model.RL_6.501
OG0000073	Aa_G208070.h1.t1, Aa_G403300.h1.t1, Aa_G89780.h1.t1	evm.model.RL_4.150, evm.model.RL_5.2720, evm.model.RL_4.648, evm.model.RL_4.365, evm.model.RL_4.175
OG0000074	Aa_G62330.h1.t1	evm.model.RL_5.3415
OG0000076	Aa_G712070.h1.t1	evm.model.RL_7.1484
OG0000076	Aa_G4800.h1.t1, Aa_G696490.h1.t1	evm.model.RL_6.1653
OG0000077	Aa_G374870.h1.t1	evm.model.RL_2.1487, evm.model.RL_6.2241, evm.model.RL_6.145
OG0000078	Aa_G578120.h1.t1	evm.model.RL_7.1903
OG0000079	Aa_G391440.h1.t1, Aa_G724740.h1.t1	evm.model.RL_1.227, evm.model.RL_7.464
OG0000080	Aa_G235680.h1.t1	evm.model.RL_2.499
OG0000081	Aa_G604970.h1.t1	evm.model.RL_6.922, evm.model.RL_5.1972, evm.model.RL_4.1833, evm.model.RL_4.293
OG0000082	Aa_G566090.h1.t1	evm.model.RL_7.1932
OG0000083	Aa_G729280.h1.t1, Aa_G704230.h1.t1	evm.model.RL_1.2207, evm.model.RL_1.2208
OG0000084	Aa_G155650.h1.t1	evm.model.RL_6.397
OG0000087	Aa_G630880.h1.t1	evm.model.RL_4.1345
OG0000087	Aa_G199760.h1.t1	evm.model.RL_6.1057
OG0000087	Aa_G256660.h1.t1	evm.model.RL_4.2360
OG0000087	Aa_G562810.h1.t1	evm.model.RL_6.1567
OG0000087	Aa_G103150.h1.t1	evm.model.RL_4.428
OG0000087	Aa_G580380.h1.t1	evm.model.RL_2.1599
OG0000087	Aa_G656110.h1.t1	evm.model.RL_3.1990
OG0000088	Aa_G363940.h1.t1, Aa_G89030.h1.t1, Aa_G425930.h1.t1	evm.model.RL_7.1629
OG0000088	Aa_G15570.h1.t1	evm.model.RL_8.1137
OG0000089	Aa_G152880.h1.t1	evm.model.RL_4.2603
OG0000089	Aa_G67360.h1.t1	evm.model.RL_6.2333
OG0000089	Aa_G5290.h1.t1	evm.model.RL_1.1121
OG0000089	Aa_G367680.h1.t1	evm.model.RL_6.1820
OG0000090	Aa_G433160.h1.t1, Aa_G266320.h1.t1	evm.model.RL_5.1846
OG0000090	Aa_G410840.h1.t1	evm.model.RL_3.2006
OG0000090	Aa_G349440.h1.t1, Aa_G349450.h1.t1	evm.model.RL_2.2972
OG0000090	Aa_G171940.h1.t1, Aa_G171950.h1.t1, Aa_G349430.h1.t1, Aa_G171960.h1.t1, Aa_G171980.h1.t1, Aa_G171970.h1.t1	evm.model.RL_7.2545, evm.model.RL_7.2013, evm.model.RL_7.2546, evm.model.RL_5.885
OG0000093	Aa_G526230.h1.t1	evm.model.RL_7.523
OG0000093	Aa_G526180.h1.t1	evm.model.RL_7.525
OG0000093	Aa_G627610.h1.t1, Aa_G627630.h1.t1, Aa_G627620.h1.t1	evm.model.RL_7.532
OG0000096	Aa_G683270.h1.t1	evm.model.RL_7.2530, evm.model.RL_7.2533
OG0000096	Aa_G122040.h1.t1, Aa_G362960.h1.t1	evm.model.RL_4.362
OG0000096	Aa_G160980.h1.t1	evm.model.RL_5.825
OG0000097	Aa_G42050.h1.t1	evm.model.RL_8.394
OG0000097	Aa_G577800.h1.t1	evm.model.RL_8.388
OG0000097	Aa_G120830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h6.t1, Aa_G405830.h4.t1, Aa_G405830.h3.t1, Aa_G405830.h1.t1, Aa_G405830.h2.t1, Aa_G405810.h1.t1	evm.model.RL_8.395
OG0000098	Aa_G733890.h1.t1, Aa_G391080.h1.t1, Aa_G473800.h1.t1, Aa_G329600.h1.t1, Aa_G391060.h1.t1, Aa_G391060.h2.t1	evm.model.RL_3.229
OG0000098	Aa_G492220.h1.t1, Aa_G406360.h1.t1	evm.model.RL_8.2377
OG0000099	Aa_G647960.h1.t1	evm.model.RL_3.84, evm.model.RL_3.230, evm.model.RL_3.232
OG0000101	Aa_G361620.h1.t1, Aa_G361650.h1.t1, Aa_G361610.h1.t1	evm.model.RL_3.344
OG0000101	Aa_G65740.h1.t1, Aa_G65800.h1.t1	evm.model.RL_3.653
OG0000101	Aa_G65770.h1.t1	evm.model.RL_3.113
OG0000102	Aa_G998790.h1.t1	evm.model.RL_2.452
OG0000104	Aa_G459870.h1.t1	evm.model.RL_6.1006
OG0000104	Aa_G166390.h1.t1	evm.model.RL_5.2109
OG0000106	Aa_G32180.h1.t1	evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845, evm.model.RL_7.1393, evm.model.RL_1.1896
OG0000107	Aa_G323960.h1.t1	evm.model.RL_1.2019, evm.model.RL_1.2021, evm.model.RL_1.1929
OG0000108	Aa_G539300.h1.t1, Aa_G70590.h1.t1	evm.model.RL_4.1209, evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166
OG0000108	Aa_G539290.h1.t1	evm.model.RL_1.3010
OG0000109	Aa_G84800.h1.t1, Aa_G329020.h1.t1	evm.model.RL_1.2215, evm.model.RL_4.1270, evm.model.RL_6.809, evm.model.RL_1.2946
OG0000109	Aa_G663410.h1.t1	evm.model.RL_7.2399, evm.model.RL_3.555, evm.model.RL_1.2753, evm.model.RL_6.342
OG0000110	Aa_G784880.h1.t1	evm.model.RL_7.1925
OG0000111	Aa_G482020.h1.t1, Aa_G601860.h1.t1, Aa_G116920.h1.t1	evm.model.RL_8.2409
OG0000113	Aa_G229780.h1.t1, Aa_G302450.h1.t1, Aa_G440640.h1.t1, Aa_G771350.h1.t1, Aa_G201150.h1.t1, Aa_G302440.h1.t1, Aa_G229770.h1.t1, Aa_G165270.h1.t1, Aa_G276580.h1.t1, Aa_G165210.h1.t1	evm.model.RL_4.208
OG0000113	Aa_G106970.h1.t1, Aa_G65730.h1.t1	evm.model.RL_3.97, evm.model.RL_7.1875
OG0000113	Aa_G616120.h1.t1	evm.model.RL_2.339
OG0000113	Aa_G416120.h1.t1, Aa_G217250.h1.t1, Aa_G224170.h1.t1	evm.model.RL_4.346
OG0000113	Aa_G117390.h1.t1	evm.model.RL_4.610, evm.model.RL_4.608
OG0000114	Aa_G332260.h1.t1	evm.model.RL_1.340
OG0000114	Aa_G17720.h1.t1	evm.model.RL_3.630
OG0000114	Aa_G563350.h1.t1	evm.model.RL_1.339
OG0000114	Aa_G578400.h1.t1	evm.model.RL_3.757
OG0000115	Aa_G172360.h1.t1	evm.model.RL_4.2608, evm.model.RL_4.2425, evm.model.RL_2.2979
OG0000120	Aa_G255530.h1.t1, Aa_G126240.h1.t1, Aa_G126250.h1.t1, Aa_G178990.h1.t1	evm.model.RL_6.505
OG0000120	Aa_G388280.h1.t1	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504
OG0000122	Aa_G379600.h1.t1	evm.model.RL_8.1715
OG0000122	Aa_G551010.h1.t1, Aa_G550960.h1.t1	evm.model.RL_8.1713
OG0000122	Aa_G247680.h1.t1, Aa_G379610.h1.t1	evm.model.RL_5.2721
OG0000122	Aa_G592730.h1.t1	evm.model.RL_8.1714
OG0000123	Aa_G184310.h1.t1, Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G457510.h1.t1	evm.model.RL_5.1209, evm.model.RL_5.1210, evm.model.RL_5.1211
OG0000124	Aa_G10940.h1.t1	evm.model.RL_4.540
OG0000125	Aa_G552180.h1.t1	evm.model.RL_4.1435
OG0000125	Aa_G33880.h1.t1	evm.model.RL_8.2069
OG0000125	Aa_G69270.h1.t1	evm.model.RL_6.979
OG0000126	Aa_G170950.h1.t1, Aa_G248300.h1.t1	evm.model.RL_6.543, evm.model.RL_3.859
OG0000127	Aa_G18590.h1.t1	evm.model.RL_4.3343
OG0000127	Aa_G101380.h1.t1	evm.model.RL_1.822
OG0000128	Aa_G830510.h2.t1, Aa_G830510.h1.t1, Aa_G415050.h1.t1	evm.model.RL_3.715, evm.model.RL_4.1217
OG0000128	Aa_G147990.h1.t1, Aa_G91540.h1.t1	evm.model.RL_5.2370
OG0000130	Aa_G717270.h1.t1, Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1, Aa_G741540.h1.t1	evm.model.RL_8.1018, evm.model.RL_6.662, evm.model.RL_2.682, evm.model.RL_6.625, evm.model.RL_6.679, evm.model.RL_1.2657, evm.model.RL_2.717, evm.model.RL_7.2033, evm.model.RL_2.727, evm.model.RL_6.626, evm.model.RL_4.730, evm.model.RL_2.674, evm.model.RL_6.690, evm.model.RL_5.2485, evm.model.RL_6.704, evm.model.RL_2.679, evm.model.RL_6.643, evm.model.RL_4.724, evm.model.RL_5.2503, evm.model.RL_6.691, evm.model.RL_6.707
OG0000132	Aa_G358570.h1.t1	evm.model.RL_2.3365
OG0000136	Aa_G703520.h1.t1	evm.model.RL_3.1028
OG0000136	Aa_G108450.h1.t1	evm.model.RL_2.429
OG0000139	Aa_G1007810.h1.t1, Aa_G1080960.h1.t1	evm.model.RL_8.982
OG0000139	Aa_G840.h1.t1, Aa_G475650.h1.t1	evm.model.RL_2.706, evm.model.RL_3.777, evm.model.RL_8.1023, evm.model.RL_7.2060, evm.model.RL_2.666, evm.model.RL_4.723, evm.model.RL_3.732, evm.model.RL_7.1944, evm.model.RL_7.2044
OG0000140	Aa_G701760.h1.t1	evm.model.RL_8.2003
OG0000140	Aa_G848610.h1.t1	evm.model.RL_7.1796
OG0000142	Aa_G35530.h1.t1	evm.model.RL_6.1032
OG0000147	Aa_G620370.h1.t1	evm.model.RL_2.2536
OG0000147	Aa_G307400.h1.t1	evm.model.RL_8.1812
OG0000147	Aa_G21590.h1.t1	evm.model.RL_3.2406
OG0000147	Aa_G157270.h1.t1	evm.model.RL_7.1930
OG0000147	Aa_G241680.h1.t1	evm.model.RL_2.664
OG0000147	Aa_G194510.h1.t1	evm.model.RL_1.2583
OG0000147	Aa_G41590.h1.t1	evm.model.RL_6.348
OG0000150	Aa_G251660.h1.t1	evm.model.RL_7.1810
OG0000151	Aa_G134060.h1.t1	evm.model.RL_8.1422
OG0000151	Aa_G2000.h1.t1	evm.model.RL_2.2307
OG0000151	Aa_G24370.h1.t1	evm.model.RL_1.777
OG0000151	Aa_G70150.h1.t1	evm.model.RL_1.2853
OG0000151	Aa_G580840.h1.t1	evm.model.RL_8.1691
OG0000151	Aa_G688860.h1.t1, Aa_G135580.h1.t1	evm.model.RL_3.61
OG0000154	Aa_G162640.h1.t1, Aa_G280540.h1.t1	evm.model.RL_6.951, evm.model.RL_5.1456, evm.model.RL_1.849
OG0000154	Aa_G40310.h1.t1	evm.model.RL_4.3288
OG0000154	Aa_G403550.h1.t1	evm.model.RL_1.853
OG0000155	Aa_G438370.h1.t1	evm.model.RL_2.2243
OG0000156	Aa_G16110.h1.t1	evm.model.RL_6.2689
OG0000156	Aa_G16090.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1, Aa_G569190.h1.t1	evm.model.RL_4.1065, evm.model.RL_6.2692, evm.model.RL_8.1108, evm.model.RL_8.1107, evm.model.RL_6.2691
OG0000158	Aa_G223250.h1.t1	evm.model.RL_2.2746
OG0000161	Aa_G323510.h1.t1	evm.model.RL_3.897
OG0000162	Aa_G77230.h1.t1, Aa_G208970.h1.t1, Aa_G208980.h1.t1	evm.model.RL_4.640, evm.model.RL_2.640
OG0000162	Aa_G175290.h1.t1	evm.model.RL_6.2628
OG0000165	Aa_G11930.h1.t1, Aa_G83970.h1.t1, Aa_G86920.h1.t1	evm.model.RL_7.798
OG0000167	Aa_G148400.h1.t1	evm.model.RL_2.1517
OG0000167	Aa_G674860.h1.t1	evm.model.RL_2.1514
OG0000169	Aa_G98930.h1.t1	evm.model.RL_3.1834, evm.model.RL_3.1135.1.687c84bb
OG0000169	Aa_G87240.h1.t1	evm.model.RL_3.574, evm.model.RL_3.576
OG0000171	Aa_G101710.h1.t1	evm.model.RL_3.1439
OG0000171	Aa_G193050.h1.t1	evm.model.RL_5.927.1.687c88b0, evm.model.RL_3.461
OG0000173	Aa_G542470.h1.t1	evm.model.RL_5.288
OG0000175	Aa_G122520.h1.t1	evm.model.RL_7.1254
OG0000175	Aa_G281740.h1.t1	evm.model.RL_3.1995
OG0000175	Aa_G180380.h1.t1	evm.model.RL_2.3025
OG0000177	Aa_G26980.h1.t1	evm.model.RL_2.478
OG0000178	Aa_G20.h1.t1	evm.model.RL_8.2288
OG0000180	Aa_G396900.h1.t1	evm.model.RL_4.643
OG0000185	Aa_G394930.h1.t1, Aa_G89750.h1.t1	evm.model.RL_5.3641, evm.model.RL_3.292
OG0000185	Aa_G292460.h1.t1, Aa_G151720.h1.t1, Aa_G688150.h1.t1	evm.model.RL_3.588, evm.model.RL_1.1351
OG0000185	Aa_G520870.h1.t1, Aa_G786940.h1.t1, Aa_G108880.h1.t1	evm.model.RL_8.2218
OG0000185	Aa_G234310.h1.t1	evm.model.RL_6.431
OG0000187	Aa_G145050.h1.t1, Aa_G145080.h1.t1	evm.model.RL_2.2676
OG0000187	Aa_G333270.h1.t1, Aa_G333280.h1.t1	evm.model.RL_1.1017
OG0000189	Aa_G187960.h1.t1, Aa_G187970.h1.t1, Aa_G139550.h1.t1	evm.model.RL_6.2240, evm.model.RL_6.2193, evm.model.RL_2.3227
OG0000190	Aa_G320630.h1.t1	evm.model.RL_8.476, evm.model.RL_8.475
OG0000190	Aa_G320670.h1.t1	evm.model.RL_8.472
OG0000192	Aa_G507530.h1.t1	evm.model.RL_5.3624
OG0000192	Aa_G60820.h1.t1, Aa_G835800.h1.t1	evm.model.RL_3.2104
OG0000195	Aa_G88530.h1.t1, Aa_G562480.h2.t1	evm.model.RL_7.686, evm.model.RL_6.2234
OG0000195	Aa_G505900.h1.t1	evm.model.RL_2.437, evm.model.RL_3.1018
OG0000196	Aa_G695630.h1.t1	evm.model.RL_5.2252
OG0000196	Aa_G152770.h1.t1	evm.model.RL_4.2554
OG0000196	Aa_G366340.h1.t1, Aa_G689010.h1.t1	evm.model.RL_1.1858
OG0000197	Aa_G584620.h1.t1	evm.model.RL_8.487
OG0000197	Aa_G631990.h1.t1, Aa_G961810.h1.t1, Aa_G974030.h1.t1	evm.model.RL_2.70
OG0000197	Aa_G493540.h1.t1	evm.model.RL_8.485
OG0000197	Aa_G30010.h1.t1, Aa_G48860.h1.t1	evm.model.RL_2.911
OG0000200	Aa_G462040.h1.t1	evm.model.RL_5.451, evm.model.RL_1.2415, evm.model.RL_1.2410
OG0000201	Aa_G456930.h1.t1, Aa_G315780.h1.t1	evm.model.RL_1.3066
OG0000203	Aa_G462700.h1.t1	evm.model.RL_1.381
OG0000204	Aa_G29610.h1.t1	evm.model.RL_1.2062
OG0000206	Aa_G112200.h1.t1, Aa_G843970.h1.t1	evm.model.RL_6.475, evm.model.RL_8.541
OG0000207	Aa_G335450.h1.t1	evm.model.RL_3.2270
OG0000209	Aa_G135600.h1.t1	evm.model.RL_3.58, evm.model.RL_3.243, evm.model.RL_6.273
OG0000209	Aa_G201960.h1.t1, Aa_G447100.h1.t1	evm.model.RL_3.57
OG0000209	Aa_G190160.h1.t1	evm.model.RL_3.240_evm.model.RL_3.241, evm.model.RL_6.275, evm.model.RL_3.242, evm.model.RL_6.274, evm.model.RL_6.276, evm.model.RL_7.2654
OG0000209	Aa_G688850.h1.t1	evm.model.RL_2.160, evm.model.RL_2.161
OG0000213	Aa_G317530.h1.t1, Aa_G278650.h1.t1	evm.model.RL_6.203
OG0000214	Aa_G716220.h1.t1	evm.model.RL_7.215
OG0000214	Aa_G296350.h1.t1, Aa_G180050.h1.t1, Aa_G99550.h1.t1, Aa_G191580.h1.t1, Aa_G53200.h1.t1, Aa_G53180.h2.t1, Aa_G53180.h1.t1, Aa_G53180.h3.t1, Aa_G77280.h1.t1, Aa_G548600.h1.t1	evm.model.RL_8.81, evm.model.RL_8.239
OG0000217	Aa_G323330.h1.t1	evm.model.RL_7.1931
OG0000218	Aa_G328840.h1.t1	evm.model.RL_5.1346
OG0000218	Aa_G272200.h1.t1	evm.model.RL_5.1347, evm.model.RL_5.1349
OG0000218	Aa_G278170.h1.t1, Aa_G509930.h1.t1, Aa_G509920.h1.t1	evm.model.RL_7.2697_evm.model.RL_7.2698
OG0000219	Aa_G391920.h1.t1	evm.model.RL_6.1077
OG0000224	Aa_G129390.h1.t1	evm.model.RL_3.2156
OG0000225	Aa_G465030.h1.t1, Aa_G778410.h1.t1, Aa_G465020.h1.t1, Aa_G22120.h1.t1, Aa_G465070.h1.t1	evm.model.RL_5.2978, evm.model.RL_5.2982, evm.model.RL_5.2983, evm.model.RL_5.2977
OG0000225	Aa_G465010.h1.t1, Aa_G223820.h1.t1, Aa_G22140.h1.t1	evm.model.RL_5.2975
OG0000226	Aa_G464550.h1.t1, Aa_G464540.h1.t1	evm.model.RL_1.1295, evm.model.RL_1.1199
