Orthogroup	Arabis_alpina	Aethionema_saxatile
OG0000048	Aa_G85810.h1.t1, Aa_G253710.h1.t1, Aa_G253680.h1.t1, Aa_G253690.h1.t1, Aa_G253640.h1.t1, Aa_G253730.h1.t1	As001G017720, As001G017740, As001G017730, As001G017710
OG0000054	Aa_G319750.h1.t1, Aa_G362310.h1.t1	As007G163390, As001G010300
OG0000054	Aa_G158060.h1.t1	As007G163400
OG0000055	Aa_G162440.h1.t1	As001G022060
OG0000056	Aa_G652160.h1.t1, Aa_G44560.h1.t1	As007G178620
OG0000060	Aa_G746520.h1.t1	As009G209930, As010G227950, As004G090090, As010G230600, As010G228570, As005G110370, As003G065870, As001G010980
OG0000063	Aa_G257700.h5.t1	As006G129610
OG0000063	Aa_G375890.h5.t1	As010G224630
OG0000063	Aa_G318860.h3.t1	As006G129470
OG0000063	Aa_G550780.h4.t1	As006G129480, As005G114650
OG0000063	Aa_G448310.h5.t1	As010G224620
OG0000063	Aa_G375890.h6.t1	As005G114950
OG0000063	Aa_G448310.h7.t1	As012G277450
OG0000066	Aa_G503390.h2.t1, Aa_G64790.h4.t1, Aa_G503380.h1.t1, Aa_G64790.h1.t1, Aa_G503380.h3.t1, Aa_G64790.h3.t1, Aa_G64790.h2.t1, Aa_G503390.h3.t1, Aa_G432280.h2.t1, Aa_G432280.h4.t1, Aa_G432280.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G503390.h4.t1, Aa_G155110.h1.t1, Aa_G586620.h1.t1, Aa_G266510.h1.t1, Aa_G486090.h1.t1	As002G052230
OG0000066	Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1, Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37430.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G37430.h3.t1, Aa_G37430.h2.t1, Aa_G159190.h5.t1, Aa_G37410.h3.t1, Aa_G37410.h4.t1, Aa_G159190.h3.t1, Aa_G19080.h3.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G159180.h4.t1, Aa_G159180.h2.t1, Aa_G19080.h2.t1, Aa_G159180.h5.t1, Aa_G37430.h5.t1, Aa_G19080.h4.t1, Aa_G37410.h1.t1, Aa_G37410.h5.t1	As005G118450
OG0000067	Aa_G484910.h1.t1, Aa_G72500.h1.t1	As011G256020
OG0000070	Aa_G280.h1.t1, Aa_G540.h1.t1	As010G229730
OG0000073	Aa_G208030.h1.t1, Aa_G197680.h1.t1, Aa_G173300.h1.t1, Aa_G173310.h1.t1, Aa_G620000.h1.t1, Aa_G639660.h1.t1, Aa_G295890.h1.t1, Aa_G685510.h1.t1, Aa_G295940.h1.t1, Aa_G645470.h1.t1, Aa_G295880.h1.t1, Aa_G369060.h1.t1, Aa_G295950.h1.t1, Aa_G628620.h1.t1, Aa_G902620.h1.t1, Aa_G685490.h1.t1, Aa_G685500.h1.t1, Aa_G565790.h1.t1, Aa_G173340.h1.t1, Aa_G565810.h1.t1, Aa_G715510.h1.t1, Aa_G295910.h1.t1, Aa_G565780.h1.t1, Aa_G628640.h1.t1, Aa_G628630.h1.t1	As006G137430
OG0000073	Aa_G33030.h1.t1	As002G034500, As002G034570, As002G034640
OG0000079	Aa_G111800.h1.t1, Aa_G111810.h1.t1, Aa_G46620.h1.t1, Aa_G111790.h1.t1, Aa_G175740.h1.t1, Aa_G175730.h1.t1, Aa_G449530.h1.t1, Aa_G175720.h1.t1, Aa_G111830.h1.t1, Aa_G284870.h1.t1, Aa_G175680.h1.t1, Aa_G262340.h1.t1, Aa_G517120.h1.t1, Aa_G175640.h1.t1, Aa_G262350.h1.t1, Aa_G175840.h1.t1, Aa_G175830.h1.t1, Aa_G175820.h1.t1, Aa_G175780.h1.t1, Aa_G111820.h1.t1, Aa_G391440.h1.t1, Aa_G724740.h1.t1, Aa_G175750.h1.t1, Aa_G175760.h1.t1	As012G285110
OG0000082	Aa_G566090.h1.t1	As009G206420, As012G278670, As011G260840
OG0000083	Aa_G595900.h1.t1, Aa_G319560.h1.t1, Aa_G319590.h1.t1, Aa_G319580.h1.t1, Aa_G245790.h1.t1, Aa_G319570.h1.t1, Aa_G245780.h1.t1, Aa_G729280.h1.t1, Aa_G704230.h1.t1, Aa_G74650.h1.t1, Aa_G21020.h1.t1	As006G138550
OG0000087	Aa_G630880.h1.t1	As010G222260
OG0000087	Aa_G199760.h1.t1	As006G128780
OG0000087	Aa_G409550.h1.t1, Aa_G88860.h1.t1	As010G224130
OG0000087	Aa_G256660.h1.t1	As002G051000
OG0000087	Aa_G562810.h1.t1	As012G274980
OG0000087	Aa_G103150.h1.t1	As004G086530
OG0000087	Aa_G580380.h1.t1	As003G058850
OG0000087	Aa_G656110.h1.t1	As010G237710
OG0000088	Aa_G363940.h1.t1, Aa_G89030.h1.t1, Aa_G425930.h1.t1	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920
OG0000088	Aa_G89050.h1.t1	As010G223910
OG0000089	Aa_G152880.h1.t1	As002G053510
OG0000089	Aa_G367680.h1.t1	As006G146590, As012G277570
OG0000089	Aa_G99370.h1.t1, Aa_G27970.h1.t1	As010G224530, As005G115200
OG0000090	Aa_G410840.h1.t1	As003G065330
OG0000090	Aa_G349440.h1.t1, Aa_G349450.h1.t1, Aa_G614230.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1, Aa_G349430.h1.t1, Aa_G171960.h1.t1, Aa_G171980.h1.t1, Aa_G171970.h1.t1	As012G273080
OG0000093	Aa_G526230.h1.t1, Aa_G526200.h1.t1, Aa_G526220.h1.t1, Aa_G835690.h1.t1, Aa_G367660.h1.t1, Aa_G526180.h1.t1	As012G284680, As012G284700, As012G284660
OG0000096	Aa_G122040.h1.t1	As004G087370, As004G087300, As004G087270
OG0000096	Aa_G362960.h1.t1	As004G087380, As004G087360
OG0000097	Aa_G42050.h1.t1	As004G086430, As004G086420, As004G086450, As004G086440
OG0000098	Aa_G193750.h1.t1, Aa_G193730.h1.t1, Aa_G124650.h1.t1, Aa_G366140.h1.t1, Aa_G193720.h1.t1, Aa_G521440.h1.t1	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330
OG0000102	Aa_G998790.h1.t1	As010G228120
OG0000106	Aa_G32180.h1.t1	As002G041170, As002G041390, As002G041440
OG0000107	Aa_G323970.h1.t1, Aa_G641990.h1.t1, Aa_G247880.h1.t1, Aa_G323960.h1.t1	As011G252340
OG0000108	Aa_G539300.h1.t1, Aa_G70590.h1.t1, Aa_G539290.h1.t1	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350
OG0000111	Aa_G482020.h1.t1, Aa_G601860.h1.t1, Aa_G116920.h1.t1	As002G048150
OG0000114	Aa_G270450.h1.t1, Aa_G186190.h1.t1, Aa_G360810.h1.t1, Aa_G332260.h1.t1, Aa_G753220.h1.t1, Aa_G84490.h1.t1, Aa_G17720.h1.t1, Aa_G563350.h1.t1, Aa_G578400.h1.t1, Aa_G69050.h1.t1, Aa_G339770.h1.t1, Aa_G339800.h1.t1, Aa_G339780.h1.t1, Aa_G217290.h1.t1, Aa_G146330.h1.t1, Aa_G146320.h1.t1	As006G137050, As006G137080
OG0000117	Aa_G896890.h1.t1	As002G041560
OG0000122	Aa_G592750.h1.t1	As002G036520
OG0000123	Aa_G184310.h1.t1, Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G457510.h1.t1	As008G183790, As008G183770, As008G183760, As008G183730, As008G183740, As008G183750, As008G183720
OG0000125	Aa_G311330.h1.t1	As012G277440
OG0000125	Aa_G506920.h1.t1, Aa_G403520.h1.t1	As005G107620
OG0000125	Aa_G552180.h1.t1	As005G113770
OG0000125	Aa_G33880.h1.t1	As005G114700, As010G224880
OG0000125	Aa_G69270.h1.t1	As006G129500
OG0000127	Aa_G232630.h1.t1	As008G186440
OG0000130	Aa_G717270.h1.t1, Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1, Aa_G741540.h1.t1	As012G279550, As005G110830, As010G226930, As002G040800, As008G191120
OG0000136	Aa_G703520.h1.t1	As001G028730
OG0000138	Aa_G783970.h1.t1, Aa_G283280.h1.t1, Aa_G376680.h1.t1, Aa_G638390.h1.t1, Aa_G638390.h2.t1, Aa_G638390.h3.t1, Aa_G110250.h1.t1, Aa_G182200.h1.t1, Aa_G691670.h1.t1, Aa_G298280.h1.t1, Aa_G514480.h1.t1, Aa_G105030.h1.t1, Aa_G531570.h1.t1	As001G027950, As001G027940, As007G161530
OG0000139	Aa_G803880.h1.t1	As001G010560, As008G191170
OG0000140	Aa_G297060.h1.t1	As005G115230
OG0000140	Aa_G701760.h1.t1, Aa_G848610.h1.t1, Aa_G650690.h2.t1, Aa_G650690.h1.t1	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370
OG0000145	Aa_G11550.h1.t1	As004G091580, As004G089820, As003G069750
OG0000146	Aa_G643480.h1.t1	As002G047180
OG0000146	Aa_G643460.h1.t1, Aa_G732190.h1.t1	As002G047190
OG0000147	Aa_G190130.h1.t1	As011G265720
OG0000147	Aa_G620370.h1.t1	As001G002190
OG0000147	Aa_G307400.h1.t1	As002G049060
OG0000147	Aa_G21590.h1.t1	As010G243490
OG0000147	Aa_G157270.h1.t1, Aa_G490420.h1.t1	As010G227330
OG0000147	Aa_G241680.h1.t1, Aa_G194510.h1.t1	As011G259420
OG0000149	Aa_G28300.h1.t1, Aa_G482950.h1.t1, Aa_G550820.h1.t1, Aa_G550810.h1.t1, Aa_G550830.h1.t1, Aa_G550790.h1.t1, Aa_G550840.h1.t1, Aa_G28290.h1.t1, Aa_G482910.h1.t1, Aa_G28310.h1.t1	As010G224610
OG0000150	Aa_G251660.h1.t1	As010G225180, As010G225220, As010G225210
OG0000151	Aa_G2000.h1.t1	As007G166070
OG0000151	Aa_G24370.h1.t1	As006G141980, As006G133740
OG0000151	Aa_G70150.h1.t1	As011G263600
OG0000151	Aa_G580840.h1.t1	As002G047900
OG0000151	Aa_G688860.h1.t1, Aa_G135580.h1.t1	As001G030700
OG0000154	Aa_G162640.h1.t1, Aa_G280540.h1.t1	As007G152520, As009G210670, As009G210600, As007G163150, As009G210630
OG0000154	Aa_G403550.h1.t1	As002G034300
OG0000154	Aa_G85370.h1.t1	As005G107550
OG0000155	Aa_G438370.h1.t1, Aa_G58940.h1.t1, Aa_G58970.h1.t1, Aa_G321560.h1.t1, Aa_G301510.h1.t1	As003G059350
OG0000156	Aa_G48820.h1.t1, Aa_G978220.h1.t1	As012G287040, As012G287050
OG0000156	Aa_G16090.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1, Aa_G569190.h1.t1	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580
OG0000161	Aa_G61530.h1.t1, Aa_G716440.h1.t1, Aa_G61470.h1.t1, Aa_G61460.h1.t1, Aa_G302470.h1.t1, Aa_G260740.h1.t1	As001G013550, As001G029600, As001G029610
OG0000162	Aa_G208990.h1.t1	As012G286460
OG0000162	Aa_G77240.h1.t1	As012G286440
OG0000162	Aa_G208950.h1.t1, Aa_G573270.h1.t1	As012G286400, As012G286420, As012G286480, As012G286450, As012G286430, As012G286540, As012G286510, As012G286530, As012G286410, As012G286470, As012G286550, As012G286570
OG0000162	Aa_G175290.h1.t1, Aa_G175310.h1.t1	As005G102210
OG0000162	Aa_G175300.h1.t1	As005G102220
OG0000165	Aa_G50920.h1.t1	As011G245360
OG0000166	Aa_G209590.h1.t1	As004G081580, As001G006820, As003G064800, As010G230400, As010G226530, As002G041150, As009G205490, As001G005350, As008G194830, As002G036330, As008G185730, As010G227240, As009G213530, As001G028210, As006G147470, As012G278710, As009G209860, As012G278700, As009G212490, As003G065570, As004G089950, As010G228950, As010G228940, As005G111670, As004G092330, As003G068080
OG0000167	Aa_G148400.h1.t1	As003G057890
OG0000171	Aa_G193050.h1.t1	As001G020870
OG0000171	Aa_G473510.h2.t1, Aa_G473510.h1.t1	As004G097180
OG0000175	Aa_G180380.h1.t1	As011G263590
OG0000184	Aa_G88170.h1.t1	As004G089570
OG0000187	Aa_G145090.h1.t1, Aa_G145050.h1.t1, Aa_G145080.h1.t1	As001G003940
OG0000187	Aa_G74610.h1.t1, Aa_G662460.h1.t1	As001G003960
OG0000190	Aa_G320630.h1.t1, Aa_G320670.h1.t1	As004G085680
OG0000195	Aa_G337660.h1.t1	As006G130540
OG0000195	Aa_G505900.h1.t1	As004G077390, As001G028840
OG0000200	Aa_G462040.h1.t1	As008G194290
OG0000203	Aa_G606990.h1.t1	As006G136770
OG0000207	Aa_G5960.h1.t1, Aa_G335450.h1.t1, Aa_G458000.h1.t1, Aa_G109260.h1.t1, Aa_G335440.h1.t1, Aa_G335460.h1.t1	As003G061070
OG0000208	Aa_G374910.h1.t1	As003G075160
OG0000213	Aa_G317530.h1.t1, Aa_G278650.h1.t1	As002G038840
OG0000217	Aa_G323330.h1.t1	As001G019850
OG0000218	Aa_G328840.h1.t1, Aa_G272200.h1.t1, Aa_G238450.h1.t1, Aa_G222140.h1.t1, Aa_G222160.h1.t1, Aa_G222160.h2.t1, Aa_G222150.h1.t1, Aa_G278170.h1.t1, Aa_G509930.h1.t1, Aa_G509920.h1.t1	As001G022650
OG0000221	Aa_G261700.h1.t1	As002G040520
OG0000224	Aa_G129400.h1.t1, Aa_G129390.h1.t1	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880
OG0000224	Aa_G145140.h1.t1, Aa_G74580.h1.t1, Aa_G95380.h1.t1	As001G031540
OG0000225	Aa_G465030.h1.t1, Aa_G778410.h1.t1, Aa_G465020.h1.t1, Aa_G22120.h1.t1, Aa_G465070.h1.t1, Aa_G465010.h1.t1, Aa_G223820.h1.t1, Aa_G22140.h1.t1	As003G069680, As003G070050
OG0000228	Aa_G367290.h1.t1, Aa_G367300.h1.t1	As007G159250
OG0000228	Aa_G417160.h1.t1, Aa_G412940.h1.t1, Aa_G271400.h1.t1, Aa_G412920.h1.t1	As010G233770, As011G262150, As010G233790, As010G233800
OG0000231	Aa_G682460.h2.t1, Aa_G682460.h1.t1, Aa_G109980.h1.t1	As004G077900
OG0000232	Aa_G51090.h1.t1, Aa_G216090.h1.t1, Aa_G333250.h1.t1	As002G036540, As006G139020
OG0000234	Aa_G729400.h1.t1	As012G281460
OG0000234	Aa_G351750.h1.t1, Aa_G351740.h1.t1, Aa_G351730.h1.t1, Aa_G351720.h1.t1	As006G143800
OG0000234	Aa_G388320.h1.t1	As009G210340
OG0000242	Aa_G405220.h1.t1, Aa_G246740.h1.t1, Aa_G458140.h1.t1, Aa_G458130.h1.t1	As008G183340, As008G183330
OG0000244	Aa_G213370.h1.t1	As003G059930
OG0000244	Aa_G257170.h1.t1	As004G085870
OG0000244	Aa_G213290.h1.t1, Aa_G213300.h1.t1, Aa_G213310.h1.t1, Aa_G213330.h1.t1, Aa_G213320.h1.t1, Aa_G213340.h1.t1, Aa_G213350.h1.t1	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900
OG0000244	Aa_G257190.h1.t1	As004G085860, As004G085850
OG0000246	Aa_G8110.h1.t1	As011G246640, As012G280010
OG0000248	Aa_G57040.h1.t1	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420
OG0000249	Aa_G25260.h1.t1	As006G145310
OG0000249	Aa_G25290.h1.t1	As006G145330, As008G193990, As006G145350, As006G145320
OG0000257	Aa_G486280.h1.t1	As002G035710, As012G268510
OG0000258	Aa_G69130.h1.t1	As002G048970
OG0000259	Aa_G283920.h1.t1	As011G261730
OG0000268	Aa_G186470.h1.t1	As001G023230
OG0000268	Aa_G135880.h1.t1	As008G182800
OG0000268	Aa_G222610.h1.t1	As001G023190
OG0000268	Aa_G443020.h1.t1	As005G106920
OG0000268	Aa_G348540.h1.t1	As012G278370
OG0000270	Aa_G696850.h4.t1, Aa_G137830.h4.t1, Aa_G637510.h1.t1, Aa_G238260.h4.t1	As010G237880, As007G156110
OG0000273	Aa_G33370.h1.t1	As007G156970
OG0000274	Aa_G620130.h1.t1, Aa_G550740.h1.t1, Aa_G550750.h1.t1	As005G114920
OG0000274	Aa_G318690.h1.t1, Aa_G318700.h1.t1	As010G224670, As010G224890
OG0000274	Aa_G199710.h1.t1	As006G128840, As006G128830
OG0000276	Aa_G455040.h1.t1	As011G256110
OG0000276	Aa_G623040.h1.t1	As003G058440, As003G058430
OG0000277	Aa_G355590.h1.t1, Aa_G355560.h1.t1	As004G096710
OG0000282	Aa_G471610.h1.t1	As002G055220
OG0000283	Aa_G1018150.h2.t1, Aa_G1018150.h1.t1, Aa_G219520.h1.t1, Aa_G219510.h1.t1, Aa_G520320.h1.t1, Aa_G520310.h1.t1	As006G125160, As006G125170, As006G125120, As006G125130
OG0000284	Aa_G40840.h1.t1	As006G139300
OG0000284	Aa_G129870.h1.t1, Aa_G129860.h1.t1, Aa_G269360.h1.t1	As006G139290
OG0000293	Aa_G486820.h1.t1, Aa_G306760.h1.t1	As011G259530
OG0000293	Aa_G547460.h1.t1, Aa_G121630.h1.t1, Aa_G72180.h1.t1, Aa_G479570.h1.t1, Aa_G354250.h1.t1, Aa_G206550.h1.t1, Aa_G128470.h1.t1, Aa_G533740.h1.t1, Aa_G348100.h1.t1, Aa_G706510.h1.t1, Aa_G494590.h1.t1	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280
OG0000294	Aa_G53610.h1.t1	As011G249490
OG0000294	Aa_G159770.h1.t1	As006G145420
OG0000294	Aa_G593400.h1.t1	As005G099900
OG0000294	Aa_G46660.h1.t1	As006G122700
OG0000295	Aa_G340170.h1.t1	As011G246810
OG0000297	Aa_G338300.h1.t1	As005G114280
OG0000299	Aa_G634170.h1.t1	As010G241870, As010G241880
OG0000299	Aa_G105070.h1.t1	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800
OG0000299	Aa_G108960.h1.t1	As012G267900
OG0000300	Aa_G136630.h1.t1	As008G194750
OG0000303	Aa_G372300.h1.t1, Aa_G438940.h1.t1	As003G069740
OG0000308	Aa_G278440.h1.t1, Aa_G10240.h1.t1, Aa_G10250.h1.t1, Aa_G750500.h1.t1, Aa_G278510.h1.t1, Aa_G366540.h1.t1	As010G240850, As010G240840, As010G240940, As010G240920
OG0000310	Aa_G345550.h1.t1, Aa_G739110.h1.t1, Aa_G28270.h1.t1, Aa_G234660.h1.t1	As005G115910, As001G004860, As001G003850, As005G113880
OG0000311	Aa_G158100.h1.t1	As009G202530
OG0000311	Aa_G110720.h1.t1	As012G273730
OG0000311	Aa_G310220.h1.t1	As011G249880
OG0000311	Aa_G350120.h1.t1	As004G077290
OG0000311	Aa_G201270.h1.t1	As001G029000
OG0000313	Aa_G37700.h1.t1, Aa_G59060.h1.t1	As007G163450, As007G163440
OG0000313	Aa_G139210.h1.t1, Aa_G751420.h2.t1, Aa_G751420.h1.t1, Aa_G58510.h1.t1, Aa_G895020.h2.t1, Aa_G895020.h1.t1	As003G064930
OG0000314	Aa_G477760.h1.t1	As008G195840
OG0000314	Aa_G477770.h1.t1, Aa_G700850.h1.t1	As006G125760
OG0000314	Aa_G183680.h1.t1	As006G125450
OG0000316	Aa_G705690.h1.t1	As008G187440, As008G187910
OG0000319	Aa_G362130.h2.t1, Aa_G362130.h1.t1, Aa_G461520.h3.t1, Aa_G6660.h2.t1, Aa_G461520.h1.t1, Aa_G362130.h3.t1, Aa_G461520.h4.t1, Aa_G6660.h4.t1, Aa_G345330.h3.t1, Aa_G6660.h1.t1, Aa_G345330.h4.t1, Aa_G6660.h3.t1, Aa_G461520.h2.t1, Aa_G345330.h1.t1, Aa_G362130.h4.t1, Aa_G345330.h2.t1	As006G129730, As005G114310, As008G191530
OG0000321	Aa_G456690.h1.t1, Aa_G41040.h1.t1, Aa_G320580.h1.t1, Aa_G149910.h1.t1	As001G010170
OG0000321	Aa_G213080.h1.t1	As010G230550
OG0000322	Aa_G431220.h1.t1	As001G014750
OG0000323	Aa_G88090.h1.t1	As002G045490
OG0000327	Aa_G349980.h1.t1	As008G195090, As008G195100, As011G263130
OG0000328	Aa_G408720.h1.t1	As001G029880
OG0000328	Aa_G365270.h1.t1, Aa_G365280.h1.t1	As004G078040, As004G078080, As004G078060, As004G078050, As004G078070
OG0000329	Aa_G553550.h1.t1	As007G180560
OG0000332	Aa_G478070.h2.t1, Aa_G478060.h2.t1, Aa_G478060.h1.t1, Aa_G478070.h1.t1	As002G033230
OG0000332	Aa_G164530.h1.t1, Aa_G180990.h2.t1, Aa_G180990.h1.t1, Aa_G164530.h2.t1	As011G251780, As012G272450
OG0000334	Aa_G297410.h1.t1	As012G277630
OG0000334	Aa_G272430.h1.t1, Aa_G99620.h1.t1, Aa_G99630.h1.t1	As006G146780
OG0000338	Aa_G151440.h1.t1	As008G188190, As008G188080, As001G019490, As001G019290
OG0000339	Aa_G439790.h1.t1	As003G061400
OG0000339	Aa_G17010.h1.t1	As005G101130, As012G287430
OG0000340	Aa_G581270.h1.t1, Aa_G581260.h1.t1, Aa_G761680.h1.t1, Aa_G761680.h2.t1	As005G103820
OG0000340	Aa_G125250.h1.t1, Aa_G125240.h1.t1, Aa_G284420.h1.t1, Aa_G10190.h1.t1, Aa_G761690.h1.t1	As005G103800, As005G103810
OG0000344	Aa_G31240.h1.t1	As005G110100
OG0000348	Aa_G654900.h1.t1	As002G041810
OG0000351	Aa_G191190.h1.t1	As009G207800
OG0000351	Aa_G317650.h1.t1	As011G246700, As011G246690
OG0000351	Aa_G791070.h1.t1	As009G207810, As011G246650
OG0000351	Aa_G317670.h1.t1	As007G177900
OG0000352	Aa_G647850.h1.t1	As007G153380
OG0000358	Aa_G341210.h1.t1	As006G124930, As008G196330
OG0000358	Aa_G359940.h1.t1, Aa_G359930.h1.t1	As008G196390
OG0000359	Aa_G336950.h1.t1, Aa_G12110.h1.t1	As012G275420
OG0000360	Aa_G180800.h1.t1	As005G119730
OG0000362	Aa_G21490.h1.t1, Aa_G30130.h1.t1	As009G205230
OG0000362	Aa_G278340.h1.t1	As007G152630
OG0000368	Aa_G767750.h1.t1, Aa_G728130.h1.t1	As003G073560, As003G073580
OG0000368	Aa_G767760.h1.t1	As003G073600, As003G073590
OG0000370	Aa_G274920.h1.t1, Aa_G377760.h1.t1, Aa_G417850.h1.t1	As007G153440
OG0000371	Aa_G493010.h1.t1, Aa_G249900.h1.t1, Aa_G734680.h1.t1, Aa_G41660.h1.t1, Aa_G249890.h1.t1	As005G099710, As005G099720
OG0000374	Aa_G370080.h1.t1	As012G273470, As012G273550
OG0000377	Aa_G296490.h1.t1	As001G021080
OG0000377	Aa_G291290.h1.t1	As001G021090
OG0000382	Aa_G191340.h1.t1	As006G122900
OG0000382	Aa_G619030.h1.t1	As009G207590
OG0000383	Aa_G204960.h1.t1	As003G069230
OG0000384	Aa_G173540.h1.t1, Aa_G173550.h1.t1	As011G247740
OG0000386	Aa_G14220.h1.t1	As012G276900, As012G276880
OG0000389	Aa_G737250.h1.t1	As001G003830
OG0000391	Aa_G292720.h1.t1, Aa_G292700.h1.t1	As007G158340, As007G158380, As007G158390, As007G158370, As007G158360
OG0000392	Aa_G682470.h2.t1, Aa_G682470.h1.t1, Aa_G379460.h1.t1, Aa_G320960.h1.t1	As010G221200, As010G221190, As010G221180
OG0000396	Aa_G303210.h1.t1	As001G026970
OG0000396	Aa_G734010.h1.t1, Aa_G626840.h1.t1, Aa_G303250.h1.t1, Aa_G303240.h1.t1	As001G026990, As001G027000, As001G027010
OG0000398	Aa_G375510.h1.t1, Aa_G375500.h1.t1	As012G268810
OG0000404	Aa_G307560.h1.t1, Aa_G313390.h2.t1, Aa_G313390.h1.t1	As012G276100, As006G144680, As002G037330
OG0000405	Aa_G95680.h1.t1, Aa_G639850.h1.t1, Aa_G412930.h1.t1	As002G037730
