Orthogroup	Arabidopsis_thaliana	Capsella_rubella
OG0000044	AT5G22690.2	XP_023636248.1
OG0000044	AT4G16890.1, AT4G16957.1, AT4G16857.2, AT4G16920.2, AT4G16860.1, AT4G16950.1	XP_006282434.2
OG0000044	AT4G16960.1, AT4G16940.2, AT4G16900.1	XP_023635630.1
OG0000048	AT3G23960.1	XP_006299189.1
OG0000048	AT2G19630.1	XP_023641959.1
OG0000051	AT2G42460.1	XP_023640868.1
OG0000051	AT2G42480.1	XP_023640424.1
OG0000052	AT3G26930.2	XP_023639245.1
OG0000052	AT3G26922.1	XP_023638292.1
OG0000052	AT1G55030.2	XP_006301891.2, XP_006301896.2
OG0000052	AT4G13965.1	XP_006293172.2
OG0000052	AT4G00160.1, AT3G52680.1	XP_006291114.1, XP_006291129.1
OG0000052	AT3G52690.1	XP_023638945.1
OG0000052	AT3G51530.1	XP_006291090.1
OG0000052	AT2G04230.1	XP_006291102.1
OG0000052	AT3G49030.1	XP_006305853.1
OG0000052	AT3G49040.1	XP_023641037.1, XP_023633372.1
OG0000052	AT3G49020.1	XP_023638561.1, XP_006293221.1
OG0000052	AT3G49045.1	XP_023638815.1
OG0000055	AT3G19470.1, AT3G22770.1	XP_006299228.1, XP_006300113.1
OG0000055	AT3G24580.1	XP_006300080.1, XP_023641394.1, XP_006299259.1, XP_006301327.2
OG0000055	AT3G17620.1	XP_023641570.1
OG0000055	AT3G18120.1	XP_023642764.1
OG0000055	AT5G36200.1	XP_006292584.2
OG0000055	AT5G36820.1, AT5G36730.1	XP_023634515.1
OG0000055	AT2G17830.1, AT5G42460.1	XP_023641561.1
OG0000055	AT3G17320.1	XP_006299379.1
OG0000056	AT1G61960.1	XP_006302241.1
OG0000056	AT1G62150.1	XP_006302237.1
OG0000056	AT1G62110.1	XP_006302243.1
OG0000056	AT1G62120.1	XP_006301237.2
OG0000056	AT1G61990.1	XP_023643438.1
OG0000056	AT1G61980.1	XP_006301193.1
OG0000056	AT1G61970.1	XP_006301052.1
OG0000056	AT3G46950.1	XP_006292456.1
OG0000059	AT2G07800.1	XP_023633548.1, XP_023644244.1, XP_023634277.1
OG0000061	AT4G27050.1	XP_023633781.1
OG0000061	AT2G29910.6	XP_023640829.1
OG0000061	AT5G35995.1	XP_023635299.1
OG0000064	AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT5G42955.1, AT5G42957.1, AT5G34882.1, AT3G30383.1, AT3G30385.1, AT3G30387.1	XP_006301177.1, XP_006279224.1, XP_006279222.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301373.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006301675.1, XP_006301967.1, XP_006281741.1
OG0000065	AT1G66930.2	XP_023643067.1
OG0000065	AT1G66920.2	XP_006300887.1
OG0000065	AT5G38240.1	XP_006290268.1
OG0000065	AT5G38260.1	XP_023638915.1
OG0000065	AT5G39030.1	XP_006286236.1
OG0000066	AT5G10390.1, AT3G27360.1, AT5G10400.1, AT5G65360.1, AT1G09200.1, AT5G65350.1	XP_006301260.2, XP_006304637.1, XP_006292533.1
OG0000066	AT5G10980.1	XP_006284727.1, XP_006288773.2, XP_006284722.1, XP_006302978.1
OG0000066	AT1G19890.1	XP_006304375.1
OG0000068	AT5G53700.1	XP_023633398.1
OG0000068	AT5G03495.1	XP_006289558.2, XP_023637635.1
OG0000068	AT5G03480.1	XP_006286541.1
OG0000069	AT5G35640.1, AT1G01355.1	XP_006304155.1
OG0000070	AT1G10230.1	XP_006305612.2
OG0000070	AT2G20160.1, AT2G03190.1, AT3G25650.1, AT2G03170.1	XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1
OG0000070	AT1G20140.1, AT2G25700.1	XP_006304273.1
OG0000070	AT1G75950.1	XP_006302938.1
OG0000070	AT5G42190.1	XP_023637791.1
OG0000070	AT3G60010.1	XP_023637735.1
OG0000070	AT4G34210.1	XP_006286731.1, XP_006289176.1, XP_006285109.1
OG0000072	AT3G42140.1	XP_006282913.2, XP_023638967.1
OG0000072	AT3G31430.1	XP_023644542.1, XP_006290241.2, XP_023637455.1
OG0000073	AT2G11035.1	XP_023644311.1
OG0000075	AT4G39550.1	XP_006285279.1
OG0000075	AT4G39570.1	XP_023635517.1
OG0000075	AT4G39580.1	XP_023635518.1
OG0000075	AT4G39560.1	XP_023634488.1
OG0000075	AT5G49000.2	XP_023633364.1, XP_006281030.1, XP_006280653.1
OG0000075	AT1G60570.1, AT1G19930.1	XP_006301199.1
OG0000076	AT4G38940.1	XP_023634774.1
OG0000077	AT5G44900.1	XP_006281971.1
OG0000077	AT5G45220.1	XP_006280897.2
OG0000077	AT1G57850.1	XP_023643297.1
OG0000077	AT2G03030.1, AT2G03300.1	XP_006292790.1, XP_006293218.1
OG0000078	AT3G03820.1	XP_006300074.1
OG0000078	AT3G03850.1	XP_006296650.2
OG0000078	AT3G03830.1	XP_006298876.1
OG0000078	AT3G03840.1	XP_006300092.1
OG0000078	AT5G18080.1	XP_023636207.1
OG0000079	AT2G07190.1	XP_023644218.1, XP_023645325.1
OG0000081	AT2G37125.1, AT1G48285.1	XP_023638026.1, XP_023634808.1
OG0000081	AT3G30165.1	XP_023634311.1
OG0000086	AT5G62800.1	XP_023633444.1
OG0000086	AT5G37890.1	XP_006284253.1
OG0000086	AT1G66610.1	XP_006302255.2
OG0000086	AT1G66620.1	XP_006302648.1, XP_023644277.1
OG0000086	AT1G66630.1	XP_006302616.1
OG0000089	AT5G23860.1	XP_006287738.1
OG0000089	AT5G62700.1, AT5G62690.1	XP_006292748.1, XP_006291122.1
OG0000089	AT2G29550.1	XP_006294210.1
OG0000089	AT5G12250.1	XP_006289933.1
OG0000089	AT5G44340.1	XP_006281513.1
OG0000089	AT4G20890.1	XP_006283733.1
OG0000089	AT1G20010.1	XP_006307490.1
OG0000089	AT1G75780.1	XP_006302256.1
OG0000091	AT3G47570.1	XP_023637739.1
OG0000091	AT5G20480.1	XP_023636467.1
OG0000091	AT5G39390.1	XP_023644362.1
OG0000092	AT1G42710.1	XP_023640340.1
OG0000092	AT3G30235.1, AT2G06541.1	XP_023642043.1
OG0000092	AT1G19260.1, AT4G09660.1	XP_023633335.1
OG0000095	AT1G64840.1	XP_006294323.1
OG0000095	AT2G24250.1	XP_006295861.1
OG0000096	AT3G44120.1, AT2G07140.1, AT3G18320.1, AT3G18330.1	XP_006297893.1
OG0000096	AT3G19410.1	XP_006299978.1
OG0000096	AT3G49980.2	XP_023638935.1
OG0000098	AT2G14290.1	XP_006300240.1
OG0000098	AT1G27540.1, AT1G27580.1, AT1G27550.1	XP_006305026.1
OG0000098	AT5G25290.1	XP_006289986.1, XP_006289767.1
OG0000100	AT1G63870.1	XP_023643498.1
OG0000100	AT1G56520.2	XP_006301098.2, XP_023643317.1, XP_023643319.1
OG0000100	AT1G56510.1	XP_023643315.1
OG0000100	AT1G56540.1	XP_023644343.1
OG0000100	AT1G63730.1	XP_023643545.1
OG0000100	AT4G14370.2	XP_023635628.1
OG0000100	AT1G64070.1	XP_023643962.1
OG0000100	AT1G63750.3	XP_023642986.1
OG0000100	AT1G63880.1	XP_023643246.1
OG0000102	AT4G03635.1	XP_006288400.1
OG0000102	AT4G05470.1, AT4G05475.1	XP_006289764.1, XP_006289669.1, XP_023644271.1, XP_006301748.2, XP_006301379.1
OG0000102	AT4G05497.1	XP_006288542.1
OG0000102	AT5G52480.1	XP_023634256.1, XP_006289089.1, XP_006288348.1
OG0000102	AT4G05460.1	XP_006288252.1
OG0000105	AT5G38344.1	XP_023639286.1
OG0000106	AT2G07760.1	XP_006301047.2
OG0000107	AT3G20140.1	XP_006299861.1
OG0000107	AT4G15380.1	XP_006300030.1
OG0000107	AT3G20080.1	XP_006297457.1
OG0000107	AT2G14100.1, AT3G32047.1	XP_006297444.1
OG0000107	AT3G20090.2	XP_006289895.1
OG0000107	AT2G05180.1	XP_006297460.1
OG0000107	AT3G20110.1	XP_006299064.2
OG0000107	AT3G20120.4	XP_023642039.1
OG0000108	AT3G53750.1, AT2G37620.1	XP_006291303.1, XP_006294425.1
OG0000108	AT3G46520.1, AT5G59370.1	XP_006282193.1, XP_006291307.1
OG0000108	AT3G12110.1	XP_006297921.1
OG0000108	AT5G09810.1	XP_006287952.1
OG0000108	AT3G18780.2	XP_006297920.1
OG0000108	AT1G49240.1	XP_006305090.1
OG0000108	AT2G42100.1	XP_006295441.1
OG0000110	AT1G36510.1, AT3G32260.1	XP_023644458.1, XP_023642819.1
OG0000111	AT3G53330.1	XP_023638950.1, XP_023644251.1, XP_023643207.1, XP_006301030.1, XP_023634314.1, XP_006289239.1, XP_006289948.1, XP_006289559.1, XP_006285378.1
OG0000111	AT4G01380.1	XP_006289226.1, XP_006289953.1, XP_006289914.1
OG0000114	AT1G36970.1, AT4G05555.1, AT3G31560.1, AT1G36230.1, AT2G07280.1	XP_006301152.1
OG0000115	AT5G48050.1	XP_023633354.1
OG0000117	AT1G23670.2	XP_006306513.2
OG0000117	AT1G23520.1	XP_006304583.1
OG0000117	AT1G23640.1	XP_006304377.2
OG0000117	AT1G23660.1	XP_006306553.1
OG0000117	AT1G23600.1	XP_006304415.2
OG0000117	AT1G23645.1	XP_023644784.1
OG0000117	AT1G23690.1	XP_023632781.1
OG0000117	AT1G23570.2	XP_006304618.2
OG0000118	AT5G41500.1, AT5G41510.1	XP_023634338.1
OG0000118	AT4G10740.1	XP_006290202.1
OG0000118	AT3G25090.1, AT3G23685.1	XP_023642688.1
OG0000119	AT3G45540.1	XP_023638901.1
OG0000119	AT2G26135.1	XP_006296419.2
OG0000119	AT2G26130.1	XP_006295986.2
OG0000119	AT3G43750.1	XP_006292836.2, XP_006292499.2, XP_023638877.1
OG0000119	AT3G45560.1	XP_006291315.2
OG0000119	AT2G16520.1	XP_023638900.1
OG0000119	AT3G45480.1	XP_006293090.1
OG0000119	AT3G45510.1	XP_023639195.1
OG0000119	AT3G45555.1	XP_023638772.1
OG0000121	AT2G01050.1	XP_006286839.2, XP_023636075.1, XP_006285607.2, XP_023634298.1, XP_006286623.2, XP_006295894.2, XP_023640327.1, XP_023634261.1, XP_006305928.1, XP_023638089.1, XP_006301940.2, XP_006287598.2, XP_006299881.2, XP_006294233.2, XP_006282338.2, XP_006279197.2, XP_006295777.2, XP_023633443.1, XP_023636052.1
OG0000122	AT5G56390.1	XP_006281709.1
OG0000122	AT5G56325.1	XP_006281577.2
OG0000122	AT1G32375.1	XP_006306021.1
OG0000122	AT5G50270.1	XP_023645912.1, XP_023633493.1
OG0000123	AT5G36657.1	XP_006295946.1
OG0000123	AT5G51105.1	XP_006282356.1, XP_006289168.1
OG0000124	AT5G40595.1	XP_023634345.1
OG0000125	AT2G28960.2	XP_023639964.1
OG0000125	AT1G07560.1	XP_023645280.1
OG0000125	AT1G49100.1	XP_023645616.1
OG0000125	AT1G51820.1	XP_023645225.1
OG0000125	AT1G51850.2	XP_006306741.1
OG0000125	AT3G21340.1	XP_006299926.1
OG0000127	AT5G22880.1	XP_006289049.1
OG0000127	AT5G02570.1	XP_006286660.1
OG0000127	AT3G09480.1	XP_006298831.2
OG0000127	AT1G07790.1	XP_006304288.1
OG0000127	AT5G59910.1	XP_006281264.1
OG0000127	AT3G45980.1	XP_006292858.1
OG0000127	AT3G46030.1	XP_006292010.1
OG0000128	AT3G59270.1	XP_023639092.1, XP_023639093.1
OG0000128	AT3G59250.1	XP_006291075.1
OG0000128	AT3G59240.1	XP_006291073.1
OG0000128	AT3G59200.1	XP_006290900.1
OG0000128	AT3G59210.1	XP_006291045.1
OG0000128	AT1G58310.1	XP_006302146.1
OG0000128	AT4G14103.2	XP_006282595.1
OG0000129	AT1G65120.2	XP_023644190.1
OG0000129	AT1G65200.1	XP_023644191.1
OG0000129	AT1G52450.1, AT1G52430.1	XP_023645120.1
OG0000129	AT5G61950.1, AT5G61940.2	XP_023635333.1
OG0000129	AT2G27630.1	XP_023640860.1
OG0000129	AT2G27650.1	XP_023640089.1
OG0000129	AT1G65110.2	XP_023644193.1
OG0000130	AT3G23320.1, AT5G52115.1, AT5G65005.1, AT1G52990.1	XP_006285982.2
OG0000130	AT3G32130.1	XP_023641922.1
OG0000130	AT1G27870.1, AT1G77815.1	XP_023644493.1
OG0000132	AT3G54910.1	XP_006291215.1
OG0000132	AT4G09920.1, AT4G10410.1, AT4G10420.1, AT4G10400.1	XP_023637355.1
OG0000132	AT5G38590.2	XP_006283852.1
OG0000132	AT5G38570.1	XP_023634364.1
OG0000132	AT5G38580.1	XP_023634360.1
OG0000134	AT1G57650.1	XP_023643303.1, XP_023643420.1
OG0000134	AT5G38340.1	XP_023634084.1
OG0000134	AT3G25505.1	XP_023641389.1
OG0000137	AT5G55370.1	XP_006280761.2
OG0000137	AT5G55380.1	XP_006280742.1
OG0000137	AT5G55320.1	XP_023633411.1
OG0000137	AT5G55360.1	XP_023637930.1, XP_006281726.2
OG0000137	AT5G55350.1	XP_006281991.1
OG0000137	AT5G55340.1	XP_006281729.1
OG0000138	AT3G62440.1	XP_006293105.1
OG0000138	AT3G58980.1	XP_023639085.1
OG0000138	AT3G58960.1	XP_006292673.2
OG0000138	AT3G62430.1	XP_006304853.2
OG0000138	AT3G54160.1	XP_006292487.1
OG0000141	AT1G12290.1	XP_023644396.1
OG0000141	AT1G12280.1	XP_006306386.2
OG0000141	AT1G62630.1, AT1G63360.1	XP_006300715.1, XP_006301151.1, XP_006301217.1, XP_023644089.1, XP_006286837.2
OG0000148	AT1G47765.1	XP_023632926.1, XP_006279114.2, XP_006305969.2, XP_006303718.2
OG0000148	AT3G10240.1	XP_006297855.1
OG0000148	AT1G47730.1	XP_023633110.1
OG0000148	AT1G48060.1	XP_023644526.1
OG0000151	AT3G55110.1	XP_006290668.1
OG0000151	AT3G55100.1	XP_006292545.1
OG0000151	AT2G39350.1	XP_006295608.1
OG0000151	AT3G55090.1	XP_006292248.1
OG0000151	AT3G53510.1	XP_006290640.1
OG0000151	AT2G37360.1	XP_006295587.1
OG0000151	AT5G13580.1	XP_006287124.2
OG0000153	AT2G30670.1	XP_006294819.1
OG0000153	AT2G29310.1	XP_023639767.1, XP_023639968.1, XP_023639834.1, XP_023639909.1, XP_023640029.1
OG0000153	AT1G07450.1	XP_023639879.1
OG0000154	AT1G50830.1	XP_006306278.1
OG0000154	AT5G18510.1	XP_023644539.1, XP_023635872.1
OG0000154	AT4G16050.1	XP_023633661.1
OG0000154	AT1G51538.1	XP_006304379.1
OG0000154	AT1G50790.1, AT1G50820.2	XP_023645184.1
OG0000157	AT1G32660.1	XP_006306555.2, XP_006306236.1, XP_023644416.1
OG0000158	AT4G36840.1	XP_023635458.1
OG0000160	AT2G18960.1	XP_006296920.1
OG0000160	AT4G30190.2	XP_006282542.1
OG0000160	AT5G57350.1	XP_006282289.1
OG0000160	AT4G11730.1	XP_006289260.2
OG0000160	AT2G07560.1	XP_006279406.1
OG0000160	AT3G42640.1	XP_006279360.1
OG0000160	AT1G80660.1	XP_023643729.1
OG0000160	AT2G24520.2	XP_006293643.2
OG0000162	AT2G33200.1	XP_006294455.1
OG0000162	AT2G33190.1	XP_006296229.1
OG0000162	AT2G04810.1, AT2G04840.1	XP_006299665.1
OG0000165	AT2G15010.1	XP_006284720.1
OG0000165	AT5G36910.1	XP_006292033.1, XP_023633900.1, XP_023633896.1, XP_023633895.1, XP_006304794.1
OG0000165	AT1G66100.1	XP_006282755.1, XP_006296672.1, XP_006298803.1, XP_006295221.1, XP_006298802.1, XP_006298799.1, XP_006288874.1
OG0000166	AT2G25470.3	XP_023639378.1
OG0000167	AT4G10190.1	XP_006286703.2
OG0000167	AT3G21170.1	XP_006299157.1
OG0000169	AT2G23160.1	XP_023641928.1, XP_023641931.1
OG0000169	AT1G47340.1, AT1G47350.1	XP_023644508.1, XP_023644509.1
OG0000170	AT2G45580.1	XP_023640533.1
OG0000170	AT3G61040.1	XP_006293280.2
OG0000170	AT1G33720.1	XP_023641004.1, XP_006307271.1
OG0000170	AT2G45570.1	XP_023640714.1
OG0000170	AT2G45560.1	XP_023639945.1
OG0000170	AT2G45550.1	XP_023640606.1, XP_023640163.1
OG0000171	AT5G53300.1	XP_006281266.1
OG0000171	AT5G41700.4	XP_006284706.1
OG0000171	AT2G16740.1	XP_006298751.1
OG0000171	AT5G56150.1	XP_006281239.2
OG0000171	AT3G08700.1	XP_023641832.1
OG0000171	AT3G08690.1	XP_006298742.1
OG0000172	AT1G43730.1	XP_023639036.1, XP_023637511.1
OG0000173	AT3G24610.1	XP_023641380.1
OG0000173	AT2G14288.1	XP_023641239.1
OG0000174	AT1G52603.1	XP_023639187.1, XP_023634312.1, XP_023640329.1, XP_023644479.1, XP_006281259.1
OG0000175	AT5G14670.1	XP_023635842.1
OG0000176	AT3G05360.1	XP_006299638.1
OG0000176	AT1G71390.2	XP_023644310.1
OG0000177	AT1G21230.1	XP_006303914.1
OG0000177	AT1G21210.1	XP_006303693.1
OG0000178	AT4G04490.1	XP_006289433.1
OG0000178	AT4G04510.2	XP_006286464.1
OG0000178	AT4G04500.1	XP_006286371.1
OG0000178	AT4G04570.1	XP_006289092.1, XP_006289348.1, XP_023635846.1, XP_006287233.1
OG0000178	AT4G04540.1	XP_023635847.1, XP_006289234.1, XP_006286467.1
OG0000179	AT1G59124.2, AT1G58807.1, AT1G59218.1, AT1G58848.1, AT1G58602.1	XP_006300602.2
OG0000179	AT1G58400.2, AT1G58410.1	XP_006300342.1
OG0000183	AT1G66410.2, AT5G37780.3	XP_006302967.1, XP_006284698.1
OG0000183	AT2G27030.3	XP_006294957.1
OG0000184	AT4G20610.1, AT4G20630.1, AT4G20580.1, AT4G20640.1, AT4G20670.1, AT4G20620.1, AT4G20590.1, AT4G20600.1, AT4G20540.1, AT4G20645.1, AT4G20550.1, AT4G20560.1, AT4G20530.1, AT4G20570.1, AT3G21990.1	XP_006299457.1
OG0000184	AT3G21980.1	XP_023642625.1
OG0000184	AT3G22000.1, AT4G20680.1	XP_023642639.1
OG0000184	AT3G22010.1	XP_006299892.1
OG0000184	AT3G22050.1	XP_006299354.1
OG0000184	AT3G22020.1	XP_006298376.1
OG0000184	AT3G22040.1	XP_006299497.1, XP_023632990.1, XP_023642677.1, XP_006299827.1
OG0000185	AT3G19520.3	XP_023641274.1, XP_006298152.1
OG0000185	AT1G23970.2, AT1G23950.2	XP_006305431.1
OG0000185	AT1G27860.1, AT1G28500.1	XP_023645963.1
OG0000186	AT5G55800.1	XP_006282024.1
OG0000186	AT3G26550.1	XP_006292443.2
OG0000186	AT2G02610.1, AT2G02640.1	XP_006292502.1
OG0000186	AT1G61840.1	XP_006279057.2, XP_023643827.1, XP_023643232.1
OG0000186	AT2G40050.1	XP_006303240.1
OG0000187	AT2G21680.1	XP_006296499.1
OG0000187	AT1G19460.1, AT1G19470.1	XP_006304517.1
OG0000187	AT2G29780.1	XP_023640855.1, XP_006295478.1
OG0000187	AT2G29600.1, AT2G29800.1	XP_023640926.1
OG0000187	AT2G29830.1, AT2G29820.1, AT2G29860.1	XP_023644474.1, XP_006295737.1
OG0000188	AT4G29970.1	XP_023633759.1
OG0000188	AT3G10790.1	XP_006299314.2
OG0000189	AT3G51300.1	XP_006293293.1
OG0000189	AT4G35950.1	XP_023633909.1
OG0000189	AT2G17800.1	XP_006296623.1
OG0000189	AT4G35020.1	XP_006282726.1
OG0000189	AT1G75840.1	XP_006302850.1
OG0000189	AT1G20090.1	XP_006305647.1
OG0000192	AT2G14920.1, AT1G13430.1	XP_006306407.1
OG0000192	AT5G43690.1	XP_006303793.1
OG0000192	AT3G45080.1	XP_006292772.1
OG0000193	AT2G14710.1	XP_006299089.1, XP_006300124.1, XP_006299335.1
OG0000193	AT3G16580.1	XP_023642703.1
OG0000193	AT1G47390.1	XP_006304962.1
OG0000193	AT1G32430.1	XP_023633071.1
OG0000195	AT2G04680.1, AT5G37620.1	XP_006285706.1, XP_006284967.1
OG0000195	AT3G48400.1	XP_023638998.1
OG0000195	AT5G22355.1	XP_006287222.1
OG0000195	AT4G01340.1, AT5G59920.1, AT4G01350.1	XP_006281429.1
OG0000196	AT5G41540.1	XP_023635062.1
OG0000196	AT5G40910.1	XP_023634402.1
OG0000197	AT5G37760.1	XP_006282799.2
OG0000197	AT5G37750.1, AT5G37440.1	XP_023634326.1
OG0000197	AT4G19570.1	XP_023633844.1
OG0000198	AT2G01520.1	XP_006291995.1
OG0000198	AT1G30990.1	XP_023632818.1
OG0000198	AT1G14930.1, AT1G14940.1	XP_006305966.2
OG0000198	AT1G14950.1	XP_006306087.1
OG0000198	AT3G26450.1, AT3G26460.1	XP_006291997.1, XP_023638678.1, XP_006291999.1, XP_023638990.1
OG0000199	AT1G51670.1	XP_006304151.2
OG0000199	AT4G29770.2	XP_006293511.1
OG0000199	AT5G18065.1, AT5G18040.1	XP_006280936.1
OG0000200	AT1G05540.1	XP_006305980.1
OG0000200	AT1G30170.1	XP_006305145.1
OG0000200	AT1G30160.2	XP_006305143.1
OG0000202	AT4G02180.1	XP_006286785.2
OG0000202	AT4G11550.1	XP_006289397.1
OG0000202	AT4G11390.2	XP_023636924.1
OG0000202	AT1G69150.1, AT3G43890.1	XP_006301794.1
OG0000202	AT4G01925.1	XP_023636108.1
OG0000202	AT4G09690.1, AT4G11547.1	XP_023636923.1
OG0000203	AT3G58270.1	XP_006292197.1
OG0000203	AT3G58370.1	XP_006293093.1
OG0000203	AT3G58360.1	XP_006292664.2
OG0000203	AT3G58350.1	XP_023638587.1
OG0000208	AT2G06425.1, AT4G04265.1, AT5G34581.1	XP_023632621.1
OG0000209	AT5G10340.1	XP_006287874.1, XP_006296766.1
OG0000210	AT2G44930.1	XP_006294103.1
OG0000210	AT1G65985.1	XP_023644267.1
OG0000210	AT3G60470.1	XP_006293088.1
OG0000216	AT4G00893.1	XP_023636119.1, XP_023635737.1
OG0000216	AT4G12370.1	XP_023637283.1
OG0000216	AT4G10695.1	XP_023635820.1
OG0000216	AT1G57790.1	XP_006302421.1
OG0000216	AT3G56470.1	XP_006292358.1
OG0000219	AT5G41690.1	XP_006283424.1
OG0000225	AT1G78760.1, AT1G66290.1, AT1G66320.1, AT1G66640.1, AT1G66310.1, AT1G66300.1	XP_006303104.2, XP_023643999.1, XP_006279053.2, XP_006301337.1, XP_006300995.1, XP_006301845.1
OG0000225	AT4G13985.1	XP_023633659.1
OG0000225	AT1G78740.1	XP_006300476.1
OG0000226	AT4G13130.1, AT1G66440.1, AT1G66450.2, AT1G29180.1, AT3G26250.1, AT3G26240.1	XP_006285264.2
OG0000226	AT4G15070.1, AT5G48320.1	XP_023633599.1
OG0000226	AT4G10560.1	XP_023635990.1
OG0000226	AT1G62030.1	XP_023643531.1
OG0000227	AT3G05650.1	XP_006296962.1
OG0000227	AT3G11010.2, AT5G27060.2, AT3G11080.1	XP_006296942.1
OG0000227	AT5G25910.1	XP_006286443.2
OG0000227	AT2G15080.1	XP_006296914.1
OG0000229	AT5G28820.1	XP_006289451.2, XP_023644307.1, XP_006282853.2, XP_006286342.2
OG0000229	AT5G35540.1	XP_006279442.1, XP_006304782.2
OG0000230	AT3G58820.1	XP_006292365.1
OG0000230	AT5G38396.1	XP_023634418.1
OG0000230	AT1G52650.1, AT4G13960.1	XP_006283699.2
OG0000230	AT5G38386.1, AT5G38390.1	XP_006285558.1, XP_006285901.1, XP_023635365.1, XP_006285033.2, XP_006285578.1, XP_006286115.1
OG0000230	AT3G59000.1	XP_006290346.1
OG0000233	AT5G07550.1	XP_006290020.1
OG0000233	AT5G07560.1	XP_006286767.1
OG0000233	AT5G07600.1	XP_006289542.2
OG0000233	AT5G07520.1	XP_006289289.1
OG0000234	AT5G03020.1, AT5G03010.1	XP_023635762.1
OG0000234	AT5G03000.1	XP_023636750.1
OG0000235	AT3G25080.1	XP_006288153.2, XP_006288152.1
OG0000235	AT4G11700.1	XP_006288183.1, XP_023636873.1
OG0000235	AT3G57210.1	XP_023639113.1
OG0000236	AT1G69650.1	XP_023644265.1
OG0000236	AT1G69660.1	XP_023644184.1
OG0000237	AT4G04690.1	XP_006289972.1, XP_006289053.1, XP_006290121.1, XP_006286744.1
OG0000237	AT3G08750.1	XP_006299227.2
OG0000237	AT3G22650.2	XP_006296746.1
OG0000237	AT3G21410.1	XP_006297875.1
OG0000238	AT1G70840.1	XP_023644384.1
