Orthogroup	Arabidopsis_thaliana	Cochlearia_excelsa
OG0000257	AT2G26020.1, AT2G26010.1, AT5G44430.1	g46235
OG0000259	AT1G49610.1, AT3G03360.1, AT1G57690.1	g1607
OG0000260	AT4G39500.2, AT4G32170.1	g6207, g6217
OG0000262	AT1G62170.2, AT2G14540.1	g24889
OG0000269	AT5G59720.1	g28758
OG0000269	AT3G46230.1	g2910, g2936
OG0000269	AT2G29500.1	g39974
OG0000270	AT1G63320.1, AT1G63330.1	g40880
OG0000277	AT4G38920.1	g18216, g23060, g18323
OG0000278	AT5G37400.2, AT5G37650.1	g14307
OG0000278	AT4G09440.1	g38273, g38276
OG0000278	AT5G37470.2, AT5G37460.1, AT5G37920.1, AT5G37430.1, AT5G37410.2, AT4G16530.1, AT5G37420.1	g46809, g46812, g46827
OG0000279	AT2G26030.4	g40527, g40528, g40529
OG0000282	AT4G22170.1	g47412
OG0000282	AT4G22180.1, AT4G22660.1, AT4G22165.1, AT4G14165.1	g53736
OG0000285	AT4G21380.1	g47372
OG0000285	AT4G27290.2	g23645
OG0000285	AT1G65800.1, AT1G65790.1	g42046
OG0000286	AT3G10750.1	g44985, g44982, g44984
OG0000288	AT5G30520.1	g54300, g26198, g32873, g23186, g32999, g49511, g22605, g3280, g3645, g4167
OG0000289	AT2G25440.1	g39783
OG0000291	AT2G05510.1, AT2G05440.2	g11641, g53214, g52576, g53200
OG0000294	AT1G31000.1	g25697
OG0000296	AT5G59090.1, AT5G59120.1	g1252, g28701, g28702
OG0000296	AT5G58840.1, AT5G58820.1, AT5G58830.1	g28714
OG0000298	AT1G33600.1	g41665
OG0000298	AT2G26380.1	g50713
OG0000298	AT1G33590.2	g32687
OG0000303	AT5G28730.1	g26634
OG0000304	AT2G40440.1	g50556
OG0000304	AT5G48510.1, AT2G05330.1	g51897
OG0000305	AT1G43090.1, AT1G43100.1, AT1G43080.1, AT2G15470.1, AT2G15450.1, AT2G15460.1, AT2G26620.1, AT4G13760.1, AT2G40310.1	g53520, g51878
OG0000306	AT5G38690.1	g13807, g46733
OG0000307	AT1G51240.1, AT1G51250.1, AT1G51230.1	g36491
OG0000308	AT5G43360.1	g39732
OG0000308	AT5G43370.1, AT5G43350.1	g11113, g11114
OG0000311	AT2G01021.1	g20487
OG0000312	AT2G07290.1	g34672
OG0000316	AT3G14680.1, AT3G14640.2	g7145, g7146, g12171, g12173, g12193
OG0000318	AT1G79680.1, AT1G69730.1	g43847
OG0000321	AT1G04820.1, AT1G50010.1	g54159
OG0000321	AT5G19770.1, AT5G19780.1	g41419
OG0000321	AT1G64740.1	g666
OG0000325	AT1G04750.1	g26947, g49462
OG0000325	AT2G33120.2	g51329
OG0000325	AT1G04760.1	g30904
OG0000329	AT4G14630.1	g24516, g24521
OG0000330	AT1G72920.1, AT1G72940.1, AT1G72900.1, AT1G72930.1, AT1G72910.1	g17997, g17998
OG0000330	AT1G72890.2	g44587
OG0000330	AT1G17615.1	g31719
OG0000331	AT4G01850.1	g25429, g39522
OG0000331	AT1G02500.1	g26892
OG0000331	AT3G17390.1	g6947
OG0000332	AT1G61500.3, AT1G61430.1, AT1G61400.2, AT1G61440.2, AT1G61480.1, AT1G61490.1, AT1G61420.2, AT1G61460.1, AT1G61550.1	g24568, g44176
OG0000336	AT1G57660.1, AT1G57860.1, AT1G09690.1, AT1G09590.1	g31190, g27091, g27095, g31209
OG0000339	AT4G20235.1	g17631
OG0000345	AT5G09500.1, AT5G43640.1	g29557, g39719
OG0000345	AT5G09490.1	g45514
OG0000345	AT1G04270.1	g26927, g49447, g30863
OG0000346	AT3G53280.1	g2365
OG0000346	AT3G26200.1	g10579
OG0000348	AT3G28330.1, AT3G28280.1	g50668
OG0000349	AT5G59650.2	g1278
OG0000350	AT3G29050.2, AT3G21920.2, AT3G21930.1, AT3G21910.1, AT3G21900.2	g13403, g13402
OG0000351	AT2G15660.1	g12309
OG0000356	AT2G24650.1	g50999
OG0000357	AT1G29930.1, AT1G29920.1, AT1G29910.1	g32419, g32420, g50521
OG0000358	AT1G51490.1	g36851, g36853, g36855, g36852, g36854
OG0000358	AT1G51470.1, AT1G47600.1	g11643
OG0000359	AT4G27657.1	g23616
OG0000362	AT3G30730.2	g35345, g4371
OG0000362	AT3G30739.1	g43613, g4131, g4234, g3255, g33492, g25276, g43263, g20304, g3787, g16102, g4130, g35341, g25266, g43262, g41821, g36457, g12619, g25261, g25259, g43259, g33494, g3251, g25071, g9678, g35281, g34308, g9679, g35248
OG0000363	AT3G44970.1	g53411, g29745
OG0000363	AT1G78490.1	g27806
OG0000365	AT1G26390.1	g27592
OG0000365	AT4G20800.1	g24049
OG0000365	AT1G26380.1, AT1G26410.1, AT1G26400.1, AT1G26420.1	g50367
OG0000367	AT5G35610.1	g18012
OG0000368	AT3G46690.1	g11421
OG0000368	AT3G46720.1	g11422
OG0000369	AT5G49490.1, AT5G49420.1, AT5G38620.1	g4675, g4768, g6892, g51876
OG0000370	AT3G23950.1, AT3G23970.1	g6467
OG0000371	AT1G43720.1	g11614
OG0000374	AT2G09388.1	g11235
OG0000376	AT1G60710.1	g41000
OG0000377	AT4G37370.1	g47983
OG0000377	AT1G66540.1, AT4G37360.1, AT4G37340.1	g47982
OG0000377	AT4G37330.1	g22842
OG0000379	AT2G02040.1	g1514
OG0000379	AT3G54140.1	g19165
OG0000380	AT1G35850.1, AT5G59280.1, AT1G21620.1	g19547, g28753
OG0000380	AT5G60180.1, AT5G60110.1	g28797, g28774, g28802
OG0000381	AT1G78635.1, AT1G78640.1	g43972, g18058, g26185
OG0000381	AT2G33720.1	g23603
OG0000382	AT4G02420.1, AT4G02410.1	g44023
OG0000382	AT2G37710.1	g37230
OG0000383	AT3G28550.1, AT3G54590.3, AT3G54580.1	g11293, g11292, g11294
OG0000384	AT5G46940.1, AT5G46970.1, AT5G46930.1	g10911
OG0000386	AT1G33950.1	g50718
OG0000386	AT1G33930.1	g32707
OG0000386	AT1G33910.1, AT1G33900.1, AT1G33890.1	g32710
OG0000388	AT3G17550.1	g13288
OG0000388	AT5G54210.1, AT1G20320.1	g34348, g35026, g34350, g28458, g28439, g35303
OG0000388	AT2G04930.1, AT3G19595.1	g6787
OG0000389	AT5G60610.1, AT5G56700.2, AT5G56690.1	g43635, g1338, g1343
OG0000390	AT1G22370.2	g50242
OG0000390	AT1G22360.1	g27516
OG0000391	AT1G73310.1, AT5G36180.1, AT1G73300.1, AT1G73280.1, AT1G73290.1, AT1G73270.1	g46059, g46056
OG0000391	AT3G10450.1	g7432
OG0000392	AT4G25300.1, AT4G25310.1	g47536
OG0000393	AT5G39130.1, AT5G39190.1, AT5G39160.1	g46706
OG0000394	AT1G28030.1	g24279
OG0000395	AT1G14080.1	g31494
OG0000395	AT2G15350.1, AT2G15370.1	g6162, g14272
OG0000395	AT2G15360.1	g49902
OG0000397	AT2G17310.1	g36029, g3758, g12040
OG0000398	AT5G17167.1	g22154
OG0000399	AT4G02080.1	g25452
OG0000399	AT1G56330.1	g41120
OG0000399	AT1G09180.1	g31165
OG0000402	AT5G66900.2	g9658
OG0000402	AT5G66890.1	g9656
OG0000404	AT1G23935.1	g11863
OG0000407	AT1G03300.1, AT1G26540.1, AT2G47230.2	g36060, g14938, g43281, g11474, g7650
OG0000409	AT2G27360.1	g32362, g32361
OG0000409	AT1G28610.2, AT1G31550.2, AT1G28600.1	g27666
OG0000409	AT1G28580.1, AT1G28570.1	g50490
OG0000411	AT3G42940.1, AT2G24285.2, AT2G24480.1, AT5G43200.1, AT3G28620.1, AT2G24460.1	g50674, g6276, g3083, g6257, g6259, g6273, g38385
OG0000412	AT5G16570.1	g45737
OG0000412	AT5G37600.1	g46788
OG0000412	AT1G66200.3	g45009
OG0000412	AT3G17820.1	g6918, g13293
OG0000413	AT3G13662.1	g12223, g12228
OG0000413	AT1G55210.1	g27985
OG0000414	AT1G62500.1	g40900
OG0000414	AT2G10940.1	g13659
OG0000414	AT4G15160.1	g47091
OG0000419	AT2G38255.1	g51508
OG0000420	AT5G12090.1	g4802, g4813
OG0000421	AT5G52640.1	g39358
OG0000423	AT1G42700.1	g32550
OG0000424	AT5G54640.1	g28489
OG0000424	AT4G27230.1	g47623
OG0000426	AT1G55947.1	g3013, g7095
OG0000426	AT2G16810.1	g40973, g23602
OG0000429	AT3G58440.1	g18956
OG0000429	AT3G58410.1, AT3G58340.1	g2032
OG0000430	AT4G21980.2	g23976, g17311
OG0000431	AT1G60130.1, AT1G60110.2, AT1G60095.1	g1437
OG0000432	AT1G48820.1, AT1G48800.1	g555
OG0000432	AT4G20230.2, AT1G66020.1, AT4G20200.1	g24067
OG0000433	AT4G27170.1, AT4G27140.1, AT4G27150.1, AT4G27160.1	g17099, g17097, g17100, g17096
OG0000434	AT5G38435.1, AT5G38440.1	g36218, g36226, g36221
OG0000436	AT3G46000.2	g19572
OG0000436	AT5G59880.1	g41304
OG0000436	AT5G59890.1	g1293
OG0000436	AT3G46010.2	g19571
OG0000439	AT1G71880.1	g45982, g16494, g44625
OG0000439	AT1G71890.1	g13576
OG0000439	AT5G06170.1, AT1G66570.1, AT2G14670.1, AT5G43610.1	g29695
OG0000440	AT4G39600.2	g53832
OG0000443	AT4G32390.1	g23276
OG0000443	AT5G11230.1	g45564
OG0000443	AT5G25400.1	g598
OG0000444	AT2G31390.1	g51246
OG0000444	AT3G59480.1	g2023
OG0000444	AT1G06020.1, AT1G06030.1	g49529
OG0000445	AT5G23740.1	g502, g2678, g19442, g19454, g9989
OG0000446	AT5G22590.1	g1408
OG0000446	AT5G22720.1	g21423
OG0000447	AT3G11510.1, AT2G36160.1, AT3G52580.1	g51571
OG0000448	AT3G28390.1, AT3G28360.1, AT3G28380.1, AT3G28415.2	g4323
OG0000448	AT3G28345.1	g10425
OG0000450	AT1G15890.1	g2642
OG0000451	AT1G60090.1, AT1G60270.1, AT1G60260.1, AT5G16580.1, AT1G45191.1	g50836
OG0000452	AT1G63200.1	g45250
OG0000457	AT3G04400.1, AT1G04480.1, AT2G33370.1	g7774, g12606, g30872, g12810, g7765
OG0000458	AT1G29090.1	g50497
OG0000459	AT4G20450.1	g17375
OG0000460	AT5G56540.1, AT4G26320.1, AT1G55330.1	g12238
OG0000463	AT1G35190.1	g32899
OG0000466	AT3G05685.1	g32989, g31982
OG0000468	AT2G30385.1	g37276
OG0000469	AT2G42740.1	g1996, g10969, g40576, g47280, g17461
OG0000472	AT1G36095.1, AT5G33406.1	g4134
OG0000473	AT1G02190.1	g49273
OG0000473	AT1G02205.3	g30720, g1438
OG0000473	AT2G37700.3	g51663
OG0000474	AT1G04300.3	g49450
OG0000474	AT5G43560.1	g39721
OG0000474	AT4G16045.1	g50694
OG0000474	AT5G52330.1	g50021
OG0000475	AT4G00390.1, AT1G61730.1	g40945
OG0000476	AT5G27050.1, AT5G26865.1, AT5G27090.1, AT5G27580.1, AT5G27944.1, AT5G26950.1, AT5G27070.1	g37782, g4812, g4800, g4814
OG0000477	AT5G62540.1	g353
OG0000477	AT1G14400.1	g27266
OG0000480	AT1G61070.1	g40981
OG0000480	AT2G02130.1	g1517
OG0000481	AT1G58360.1	g44045
OG0000481	AT1G10010.2	g27100
OG0000483	AT5G25980.2	g10980, g10092
OG0000483	AT5G26000.1	g10089
OG0000484	AT5G48070.1	g47740
OG0000484	AT4G30280.1, AT1G65310.2	g47741, g47742, g23417
OG0000485	AT4G23380.1	g23902
OG0000485	AT4G23350.1, AT4G23365.1, AT4G23355.1, AT4G23360.1	g17267
OG0000485	AT4G23373.1, AT4G23370.1	g23904
OG0000485	AT2G20170.1	g24586, g23899, g23901
OG0000486	AT1G18760.1, AT3G13228.1, AT1G18770.1	g46992, g26157, g46989
OG0000491	AT3G48300.2	g19467
OG0000491	AT3G48270.1	g41553, g11391
OG0000492	AT3G54700.1	g19139, g11288
OG0000492	AT2G38940.1	g37303
OG0000493	AT5G40070.1, AT5G41200.1, AT5G40220.1, AT5G40120.1, AT5G39810.1, AT5G39750.1, AT5G37415.1, AT5G38740.1	g16860
OG0000495	AT3G46190.2	g17535
OG0000495	AT1G58270.1	g53091
OG0000496	AT3G47760.3, AT3G47750.1, AT3G47770.2	g2743
OG0000496	AT3G47740.1	g19502
OG0000496	AT3G47780.1	g2744
OG0000497	AT1G72730.1	g12212
OG0000497	AT3G13920.5, AT1G54270.1	g27989
OG0000498	AT2G17590.1	g6058
OG0000498	AT2G17600.1	g6063
OG0000499	AT3G20360.1	g6742
OG0000500	AT5G38430.1, AT5G38420.1, AT5G38410.3	g46747, g18097, g41800, g18041, g44922, g44926
OG0000501	AT1G32940.1	g50671, g32646
OG0000501	AT1G32950.1, AT1G32960.1	g50679
OG0000501	AT4G10550.3	g40318
OG0000502	AT5G39280.1, AT5G39300.1, AT5G39270.1, AT5G39290.1	g46703, g46704
OG0000502	AT5G39310.1	g37779
OG0000506	AT2G17360.1, AT5G07090.1	g29645, g45471, g28728, g1183, g39280
OG0000509	AT2G03020.1, AT4G16540.1	g24336
OG0000509	AT4G16545.1, AT4G16555.1	g24334, g24335
OG0000510	AT5G40240.2	g46683, g46681
OG0000510	AT5G40230.1	g18100
OG0000513	AT1G53350.1	g27109
OG0000516	AT1G67623.1	g44889, g42659, g42668, g4054, g53638, g3459, g26813
OG0000517	AT5G17120.1, AT5G17150.1	g29147, g29148, g29150
OG0000518	AT5G53380.1	g28418, g28417
OG0000518	AT5G12420.1, AT5G16350.1	g5308
OG0000519	AT5G65940.1	g8
OG0000520	AT1G12663.1	g51206
OG0000520	AT1G12665.1	g27193
OG0000521	AT5G65080.2, AT5G65070.3	g185, g186
OG0000521	AT5G65050.3, AT5G65060.1, AT1G77080.8	g9727
OG0000522	AT2G39390.1	g37317
OG0000522	AT3G09500.1	g13045, g12397, g7487
OG0000523	AT5G27100.1	g54035
OG0000523	AT4G31710.2	g54031
OG0000524	AT4G11770.1, AT4G11750.1	g45181, g45202
OG0000525	AT2G43260.2	g37492, g37493
OG0000526	AT5G18720.1	g29070
OG0000529	AT2G24560.1	g39835, g51257
OG0000529	AT2G30220.1, AT2G30310.1	g51197, g37897
OG0000530	AT5G52770.1, AT5G52760.1, AT5G52750.1	g41237, g890
OG0000533	AT1G45616.1	g14004
OG0000534	AT5G35945.1, AT3G43410.1	g38274
OG0000534	AT1G78470.1	g17931
OG0000535	AT1G65870.1	g2040
OG0000536	AT5G37160.1	g46832
OG0000536	AT5G37165.1	g46831
OG0000536	AT5G37030.1	g25662
OG0000537	AT3G07820.1	g12430
OG0000537	AT3G07840.1	g37940, g37932, g12429
OG0000538	AT3G29635.1	g10345
OG0000539	AT2G29360.1	g46875
OG0000542	AT1G10430.1	g31250
OG0000542	AT1G59830.1	g44098
OG0000542	AT1G69960.1	g49727
OG0000544	AT4G19870.1	g47326
OG0000547	AT2G43590.1	g52123, g37511
OG0000549	AT2G33050.1	g51327
OG0000553	AT3G24830.1	g11687
