Orthogroup	Arabidopsis_thaliana	Camelina_sativa
OG0000028	AT5G55880.1, AT5G55890.1	XP_010450257.1, XP_010450330.1, XP_010485150.2
OG0000028	AT5G54450.1	XP_010443019.1
OG0000028	AT5G52930.1, AT5G52940.1	XP_019088142.1
OG0000029	AT5G36225.1	XP_010501650.1
OG0000029	AT2G17905.1	XP_010484850.2, XP_019097927.1, XP_019092098.1, XP_019098406.1, XP_019093987.1
OG0000030	AT5G60560.2	XP_010424523.1, XP_010487966.1, XP_019092251.1
OG0000030	AT3G20030.1	XP_010463131.1, XP_010481059.1
OG0000030	AT1G67450.1	XP_010419044.1
OG0000030	AT1G25150.1, AT1G25055.1, AT1G25211.1, AT1G24800.1, AT1G24881.1	XP_010477981.2, XP_019091238.1, XP_010499061.1
OG0000030	AT1G59680.2	XP_019093261.1
OG0000030	AT1G54550.1, AT3G49510.1, AT3G49520.1	XP_019099946.1, XP_019099931.1, XP_010431180.1
OG0000030	AT1G66490.1	XP_019096352.1
OG0000030	AT3G14030.1	XP_019096260.1
OG0000030	AT4G17200.1	XP_010451423.1
OG0000030	AT3G13680.1	XP_010465220.1, XP_019096368.1
OG0000034	AT4G23180.1	XP_010433941.1, XP_010439209.1, XP_010448753.1
OG0000034	AT4G21400.1	XP_019089519.1, XP_010434185.1
OG0000034	AT4G21410.3	XP_019088150.1, XP_019089518.1
OG0000034	AT4G00960.1	XP_019085069.1, XP_019088752.1, XP_019084421.1, XP_010456187.1
OG0000034	AT4G00970.1	XP_010467326.1
OG0000034	AT4G23140.2	XP_010448759.1, XP_010433935.1
OG0000034	AT4G23230.1	XP_010492474.1, XP_010453750.1
OG0000034	AT4G23310.1	XP_010439190.1
OG0000034	AT4G23280.1, AT4G23270.3	XP_010451231.2, XP_010448725.1
OG0000034	AT3G45860.1	XP_019099660.1, XP_019101865.1, XP_010426013.1
OG0000034	AT4G23130.2	XP_010433930.1, XP_019087874.1, XP_010448768.1
OG0000038	AT4G23160.2	XP_019090156.1, XP_019096519.1
OG0000040	AT3G25720.1	XP_019084027.1, XP_019100690.1
OG0000040	AT4G10613.1	XP_019099950.1, XP_019088174.1, XP_019094516.1, XP_019095793.1, XP_019102288.1, XP_019101895.1
OG0000040	AT1G33710.1	XP_010490346.1
OG0000040	AT2G19146.1	XP_019083342.1
OG0000044	AT5G46260.1	XP_010441602.1, XP_010496016.1
OG0000044	AT5G46270.4	XP_010481473.1
OG0000044	AT5G46520.2, AT5G46510.1	XP_010496021.1
OG0000044	AT4G16957.1	XP_019087254.1
OG0000044	AT4G16857.2	XP_019088788.1
OG0000046	AT3G31910.1, AT5G28810.1, AT2G10260.1	XP_010461751.1, XP_010502950.1, XP_010518653.2, XP_010412583.2, XP_010474317.1, XP_010490459.2, XP_010412458.2, XP_010495393.2, XP_019094411.1, XP_010507554.1, XP_010507003.1, XP_010451886.2, XP_019086303.1, XP_019097866.1, XP_019089513.1, XP_010435128.1, XP_019096471.1
OG0000048	AT5G65850.1	XP_010444605.1, XP_010485320.1
OG0000048	AT2G31470.1	XP_019083013.1, XP_019083016.1, XP_019093684.1, XP_019100809.1
OG0000048	AT3G10990.1	XP_019082535.1
OG0000048	AT3G23960.1	XP_010421893.1
OG0000051	AT2G42460.1	XP_010508568.1, XP_019101977.1, XP_010506074.1
OG0000051	AT2G42455.1	XP_010489918.2, XP_019092650.1
OG0000051	AT2G42480.1	XP_019100718.1, XP_019102056.1
OG0000052	AT3G26930.2	XP_010502638.1
OG0000052	AT1G55030.2	XP_019100897.1, XP_010418932.1, XP_010418929.2
OG0000052	AT4G13965.1	XP_010440300.1, XP_019085462.1, XP_019085408.1
OG0000052	AT4G00160.1, AT3G52680.1	XP_019099853.1, XP_010431292.1
OG0000052	AT3G52690.1	XP_010431290.2, XP_019082473.1, XP_019085577.1, XP_010431293.1
OG0000052	AT3G51530.1	XP_010515571.1, XP_010426725.1, XP_010503847.2
OG0000052	AT2G04230.1	XP_010515239.1, XP_010503551.1, XP_010426408.1
OG0000052	AT3G49040.1	XP_019099940.1
OG0000052	AT3G49020.1	XP_010471335.1, XP_010416064.1, XP_010428193.1, XP_019085547.1, XP_019099693.1, XP_019085544.1, XP_010507328.1
OG0000052	AT3G49045.1	XP_019102115.1, XP_019102114.1, XP_019085861.1, XP_019083963.1
OG0000055	AT3G22770.1	XP_019092356.1
OG0000055	AT3G17400.1	XP_019092631.1
OG0000055	AT3G23420.1	XP_010487026.1, XP_019099114.1, XP_019092423.1, XP_019096980.1
OG0000055	AT3G17620.1	XP_019092636.1
OG0000055	AT3G18120.1	XP_010456592.1
OG0000055	AT5G36200.1, AT5G36820.1, AT5G36730.1	XP_010440797.1, XP_019086313.1, XP_010451673.1
OG0000055	AT2G18780.1	XP_010489359.1, XP_010515149.1
OG0000055	AT2G17830.1, AT5G42460.1	XP_019092372.1, XP_019089014.1, XP_019092647.1, XP_010490397.2, XP_010449648.2
OG0000055	AT3G17320.1	XP_010468236.2, XP_010489892.2
OG0000056	AT1G61960.1	XP_010473413.1, XP_019085277.1
OG0000056	AT1G62150.1	XP_010473426.1, XP_010430251.1
OG0000056	AT1G62110.1, AT1G62085.1	XP_010430227.1, XP_010418186.1, XP_010473423.1, XP_010418174.1
OG0000056	AT1G62120.1	XP_010430221.1
OG0000056	AT1G61990.1	XP_010473417.1, XP_010419451.1
OG0000056	AT1G61980.1	XP_019082750.1, XP_010430231.1, XP_010473416.1
OG0000056	AT1G61970.1	XP_010418173.1, XP_010430224.1, XP_010473415.1
OG0000056	AT3G46950.1	XP_010426146.1, XP_010503309.1, XP_019084785.1, XP_010515018.1
OG0000059	AT2G07800.1	XP_010445837.1, XP_010495452.1
OG0000061	AT1G47920.1	XP_019090915.1, XP_010479193.1, XP_010479197.1, XP_010479195.1, XP_010479119.1
OG0000061	AT5G12450.1	XP_019101969.1, XP_019083787.1
OG0000061	AT4G27050.1	XP_010433411.2, XP_010445103.2, XP_010451164.1
OG0000061	AT1G21990.1	XP_019091030.1
OG0000061	AT2G29930.1	XP_010414309.1
OG0000061	AT2G29910.6	XP_010510427.1
OG0000061	AT1G64540.1	XP_010430593.1
OG0000061	AT5G35995.1	XP_010441286.1, XP_010436072.1
OG0000064	AT5G34908.1	XP_019095830.1
OG0000065	AT1G66910.1	XP_010415232.1
OG0000065	AT1G67000.1	XP_019100936.1
OG0000065	AT1G66930.2	XP_019083220.1
OG0000065	AT1G66920.2	XP_010470571.1, XP_010415233.1
OG0000065	AT5G38240.1	XP_010440922.2, XP_010450949.1
OG0000065	AT5G38260.1	XP_010450947.1, XP_019086129.1
OG0000065	AT5G39030.1	XP_010441031.1, XP_019089248.1, XP_010435808.1
OG0000066	AT5G10390.1, AT3G27360.1, AT5G10400.1, AT5G65360.1, AT1G09200.1, AT5G65350.1	XP_010489841.1, XP_010475747.1, XP_010484375.1, XP_010514443.1, XP_010502711.1, XP_010444536.1, XP_010425488.1, XP_010458200.1, XP_010463183.1
OG0000066	AT1G13370.1	XP_010428586.1, XP_010466628.1, XP_010447175.1, XP_010488359.1, XP_010471674.1, XP_010480248.1
OG0000066	AT5G10980.1	XP_010419651.1, XP_010491788.1, XP_010431986.1, XP_010453132.1, XP_010437129.1, XP_010431988.1
OG0000066	AT1G19890.1	XP_010477215.1, XP_019091470.1
OG0000068	AT5G53700.1	XP_010441868.1
OG0000068	AT5G03495.1	XP_010423706.1, XP_010490829.1
OG0000068	AT5G03480.1	XP_010423608.1, XP_010490827.1
OG0000069	AT3G62850.1	XP_010457739.1, XP_010485812.1, XP_010475324.1
OG0000069	AT5G35640.1, AT1G01355.1	XP_019094910.1, XP_010457094.2
OG0000070	AT1G10230.1	XP_010458359.1, XP_010475885.1, XP_010490823.1
OG0000070	AT2G20160.1, AT2G03190.1, AT3G25650.1, AT2G03170.1	XP_010425101.1, XP_010502325.1, XP_010514084.1, XP_010425103.1, XP_010506934.1, XP_010502326.1, XP_010514085.1
OG0000070	AT1G20140.1, AT2G25700.1	XP_010459699.1, XP_010477249.1, XP_010448526.1, XP_010438976.1, XP_010433736.1
OG0000070	AT5G42190.1	XP_010494151.1
OG0000070	AT3G60010.1	XP_010413610.1, XP_019093586.1, XP_010512295.1
OG0000070	AT4G34210.1	XP_010450797.1, XP_010441003.1, XP_010435879.1, XP_010441072.1, XP_010437611.1, XP_010432410.1, XP_010447075.1, XP_010447073.1
OG0000075	AT4G39550.1	XP_010431928.1, XP_010446504.1
OG0000075	AT4G39570.1	XP_010446508.1, XP_019087113.1, XP_010431932.1
OG0000075	AT4G39580.1	XP_010437077.1, XP_019086095.1, XP_010446510.1
OG0000075	AT4G39560.1	XP_019086927.1
OG0000075	AT5G49000.2	XP_010471669.1, XP_010442351.1, XP_010439941.1, XP_010482185.1
OG0000075	AT1G60570.1, AT1G19930.1	XP_019100856.1
OG0000076	AT4G38940.1	XP_019086777.1, XP_019088762.1, XP_010446406.1
OG0000077	AT5G44900.1	XP_010445847.1, XP_010494541.1
OG0000077	AT5G45220.1	XP_010481626.1
OG0000077	AT1G57850.1	XP_019101057.1
OG0000077	AT2G03030.1, AT2G03300.1	XP_010514095.1, XP_019099908.1
OG0000078	AT3G03820.1	XP_010514749.1, XP_010485737.1, XP_010463845.1
OG0000078	AT3G03850.1	XP_010485744.1, XP_010463847.1, XP_010514943.1
OG0000078	AT3G03830.1	XP_019092533.1, XP_010485741.1
OG0000078	AT3G03840.1	XP_010514843.1, XP_010485743.1, XP_010463846.1
OG0000078	AT5G18030.1	XP_010492794.1, XP_010492795.1
OG0000078	AT5G18050.1, AT5G18060.1	XP_019098000.1
OG0000078	AT5G18080.1, AT5G18010.1	XP_019098087.1
OG0000079	AT2G07190.1	XP_010512724.1, XP_019100739.1, XP_019085561.1, XP_019099825.1, XP_019082800.1, XP_010455272.1, XP_010441029.1, XP_019092609.1, XP_010494915.2, XP_010495453.2, XP_010511426.1, XP_010494414.1
OG0000081	AT4G07445.1	XP_010440978.1
OG0000081	AT3G30165.1	XP_019082651.1, XP_019085368.1, XP_019086362.1, XP_010424661.1, XP_019091072.1, XP_019084275.1, XP_019096344.1, XP_019096335.1, XP_019082519.1, XP_019098295.1, XP_019099672.1, XP_019082727.1
OG0000086	AT5G62800.1	XP_010444133.1, XP_010485290.1, XP_019095679.1, XP_019086987.1, XP_010459144.1
OG0000086	AT5G37890.1	XP_010451724.1, XP_010445575.1
OG0000086	AT5G37870.1, AT5G37900.1, AT5G37910.1	XP_010435701.1
OG0000086	AT1G66610.1	XP_010513640.1, XP_010470534.1, XP_019100921.1
OG0000086	AT1G66620.1	XP_019093553.1
OG0000086	AT1G66630.1	XP_010511492.1, XP_010415205.1, XP_010496730.1
OG0000089	AT5G23860.1	XP_010421190.1, XP_010454670.1
OG0000089	AT5G62700.1, AT5G62690.1	NP_001289924.1, XP_010444122.1, XP_010515012.1
OG0000089	AT2G29550.1	XP_010469941.1, XP_010414372.1, XP_010510475.1
OG0000089	AT5G12250.1	XP_010419814.1, XP_010491982.1, XP_010453291.1
OG0000089	AT5G44340.1	XP_010494444.1
OG0000089	AT4G20890.1	XP_010434259.1, XP_010439552.1, XP_010449142.1
OG0000089	AT1G20010.1	XP_010459680.1, XP_010498429.1, XP_010477226.1
OG0000089	AT1G75780.1	XP_010416482.1, XP_010471708.1
OG0000091	AT3G47580.1	XP_010503325.1, XP_010426163.1
OG0000091	AT3G47570.1	XP_010426203.1, XP_010503360.1
OG0000091	AT5G20480.1	XP_010454350.1, XP_010493153.1, XP_010493149.1, XP_010420883.1
OG0000091	AT5G39390.1	XP_010441974.1, XP_010482344.1
OG0000092	AT1G42710.1	XP_019089257.1, XP_010431167.1
OG0000092	AT1G41920.1, AT3G29450.1	XP_010423359.1, XP_010440824.1, XP_010419245.1, XP_010473844.1, XP_010513363.1
OG0000092	AT3G29765.1	XP_019101840.1
OG0000092	AT1G19260.1, AT4G09660.1	XP_019093410.1
OG0000092	AT3G31402.1	XP_010430774.1
OG0000096	AT3G25460.1	XP_019092478.1
OG0000096	AT3G44120.1, AT2G07140.1, AT3G18320.1, AT3G18330.1	XP_010465923.1
OG0000096	AT3G18910.1	XP_019092874.1, XP_019082383.1, XP_010467954.2, XP_019096848.1
OG0000096	AT3G19410.1	XP_010468288.1, XP_010419966.1, XP_010489939.1
OG0000096	AT3G49980.2	XP_010431195.1, XP_019099139.1, XP_010507362.2, XP_010412683.1
OG0000096	AT4G09870.1	XP_010489913.1
OG0000098	AT2G14290.1	XP_010467233.1, XP_010517498.1, XP_010488871.1
OG0000098	AT2G14500.1	XP_010490218.1
OG0000098	AT1G27540.1, AT1G27580.1, AT1G27550.1	XP_010460514.1, XP_010478092.1, XP_019091057.1, XP_010499238.1
OG0000098	AT2G24080.1	XP_010478516.1
OG0000098	AT4G10820.1	XP_010455133.1, XP_010494023.1
OG0000098	AT5G25300.1	XP_019097437.1
OG0000098	AT5G25290.1	XP_010424305.2, XP_010454852.1, XP_010493782.1, XP_010495491.2, XP_010444838.1, XP_010478760.1, XP_010495494.2
OG0000100	AT1G56510.1	XP_010511292.1, XP_010480259.1
OG0000100	AT5G38850.1	XP_010496571.1
OG0000100	AT1G63740.2	XP_010430481.1
OG0000100	AT4G14370.2	XP_010435135.1, XP_010440468.1
OG0000100	AT1G64070.1	XP_019083692.1
OG0000100	AT2G16870.1	XP_010473654.1
OG0000100	AT1G63750.3	XP_019083686.1
OG0000100	AT5G58120.1	XP_010482143.1
OG0000100	AT1G63860.1	XP_019093426.1, XP_019083712.1, XP_010430500.1
OG0000100	AT1G63880.1	XP_010473633.2
OG0000102	AT4G03635.1	XP_010424624.1, XP_010467516.1
OG0000102	AT4G05470.1, AT4G05475.1	XP_010431272.1, XP_010431403.1, XP_010513578.1, XP_010474129.1, XP_010418996.1, XP_010424620.1, XP_010455876.2, XP_010467545.2
OG0000102	AT4G05497.1	XP_010431264.1, XP_010422439.1
OG0000102	AT5G52480.1	XP_010431256.1, XP_010422442.1, XP_010430852.2
OG0000102	AT4G05460.1	XP_010422434.1, XP_010431383.1
OG0000105	AT4G04110.1	XP_019090875.1
OG0000106	AT2G07760.1	XP_019083108.1, XP_010450226.1, XP_010426617.1, XP_019087671.1, XP_019086014.1, XP_010514363.1
OG0000107	AT2G27010.1, AT2G27000.1	XP_019093535.1, XP_010417843.1
OG0000107	AT4G15350.1	XP_010451503.1, XP_010434998.1
OG0000107	AT3G20140.1	XP_010508531.1, XP_010466194.1
OG0000107	AT4G15380.1	XP_010468313.1, XP_019096413.1
OG0000107	AT3G20080.1	XP_010487979.1, XP_010508519.1, XP_010466192.1
OG0000107	AT3G20960.2	XP_010466304.1
OG0000107	AT3G20090.2	XP_010422712.1, XP_010456149.1
OG0000107	AT2G05180.1	XP_010467059.1
OG0000107	AT4G15360.1	XP_010434996.1, XP_010440318.1, XP_010449948.1
OG0000107	AT4G15330.1	XP_010494611.1
OG0000107	AT3G20110.1	XP_010466191.1, XP_019096971.1, XP_010508508.1
OG0000107	AT3G20120.4	XP_010508486.1, XP_010466190.2, XP_019096974.1
OG0000108	AT3G53750.1, AT2G37620.1	XP_010505356.1, XP_010504145.1, XP_010517034.1, XP_010515877.1, XP_010509299.1
OG0000108	AT3G46520.1, AT5G59370.1	XP_010514974.1, XP_010503262.1, XP_010483556.1, XP_010426084.1, XP_010483559.1, XP_010483560.1
OG0000108	AT3G12110.1	XP_010464961.1, XP_010498525.1, XP_010486900.1
OG0000108	AT5G09810.1	XP_010422938.1, XP_010491624.1, XP_010452982.1
OG0000108	AT3G18780.2	NP_001289901.1, XP_010507140.1, NP_001289904.1
OG0000108	AT1G49240.1	XP_010461764.1, XP_010479361.1, XP_010500469.1
OG0000108	AT2G42100.1	XP_019100571.1, XP_019082327.1, XP_019101220.1
OG0000110	AT1G36510.1, AT3G32260.1	XP_019096534.1, XP_019094551.1, XP_010430690.1, XP_010451255.1, XP_010436550.1, XP_019085480.1
OG0000111	AT3G53330.1	XP_010514244.1, XP_010473859.1, XP_010506975.1, XP_010430622.1, XP_010507425.1, XP_010412753.1, XP_010412755.1, XP_010507426.1, XP_019085586.1, XP_010426986.1, XP_010426985.1, XP_010426987.1, XP_010431324.1, XP_010431322.1, XP_010490344.1, XP_019085585.1, XP_010445415.2, XP_010470172.1, XP_010421962.1, XP_010468655.1, XP_010423489.1
OG0000111	AT4G01380.1	XP_010457012.1, XP_010457013.1, XP_010430962.1, XP_019090835.1, XP_010466686.1, XP_010427599.1, XP_010466850.1, XP_010466656.1, XP_010424049.1, XP_010424683.1, XP_010424693.1, XP_010468732.2, XP_010467655.2, XP_010467652.1, XP_010490438.1
OG0000115	AT5G48050.1	XP_010442221.1
OG0000116	AT1G14800.1	XP_010503464.1, XP_010494460.1
OG0000117	AT1G23670.2	XP_010477662.1, XP_019099169.1
OG0000117	AT1G23510.1	XP_019099162.1
OG0000117	AT1G23520.1	XP_010460137.1, XP_010477644.1, XP_019099163.1
OG0000117	AT1G23640.1	XP_019095155.1
OG0000117	AT1G23660.1	XP_010477661.1
OG0000117	AT1G23600.1	XP_010477654.1
OG0000117	AT1G23645.1	XP_019095154.1
OG0000117	AT1G23690.1	XP_010477663.1
OG0000117	AT1G23570.2	XP_019097190.1, XP_010498869.1, XP_010477651.1
OG0000117	AT1G23580.1	XP_019099166.1
OG0000118	AT1G65990.1	XP_010432526.1, XP_010437729.1, XP_010447206.1, XP_010415144.1
OG0000118	AT4G10740.1	XP_010469874.2, XP_019088285.1
OG0000118	AT3G22940.1, AT3G22421.1, AT3G22870.1	XP_010417059.1, XP_010468394.1
OG0000118	AT3G04250.1	XP_019092147.1
OG0000118	AT3G25090.1	XP_010468432.2
OG0000118	AT3G23680.1	XP_019092282.1, XP_010421925.1, XP_010490080.2
OG0000119	AT3G45540.1	XP_019085504.1, XP_019099657.1
OG0000119	AT2G26130.1	XP_010431628.1, XP_010474468.1, XP_019082720.1, XP_010429629.1, XP_010474467.1
OG0000119	AT2G16520.1	XP_010412568.1, XP_010431008.1
OG0000119	AT3G45480.1	XP_010426257.1, XP_010431095.1, XP_010425976.1, XP_010507205.1, XP_010514886.1, XP_010507204.1
OG0000119	AT3G45555.1	XP_010425977.1, XP_019099952.1
OG0000121	AT2G01050.1	XP_010423120.1, XP_010513494.2, XP_010467351.1, XP_010425860.1, XP_010424626.1, XP_019082557.1, XP_010474076.1, XP_010463475.1, XP_010445325.1, XP_010424323.1
OG0000122	AT5G56390.1	XP_010476587.1, XP_010485173.1
OG0000122	AT1G32375.1	XP_010461060.1, XP_019091493.1
OG0000122	AT5G50270.1	XP_019086738.1, XP_010483110.1
OG0000123	AT5G51105.1	XP_019085532.1, XP_010442592.1
OG0000123	AT5G42895.1, AT4G09545.1, AT5G36739.1, AT5G36662.1, AT5G36460.1, AT5G36450.1, AT5G36400.1, AT5G36390.1, AT5G36430.1, AT5G36350.1, AT5G36380.1, AT5G36420.1, AT5G36360.1, AT5G36500.1, AT5G36490.1, AT5G36330.1, AT5G36340.1, AT5G36310.1, AT5G36540.1, AT5G36550.1, AT5G36520.1, AT5G36410.1, AT5G36440.1, AT5G36470.1, AT5G36370.1, AT5G36738.1, AT5G36480.1, AT5G36320.1, AT5G36658.1, AT5G36661.1, AT5G36659.1	XP_019093463.1, XP_019100892.1, XP_019093286.1, XP_010511364.1, XP_019100893.1, XP_019082598.1, XP_019086942.1
OG0000123	AT3G42565.1	XP_019095670.1
OG0000124	AT5G40595.1	XP_019086354.1
OG0000125	AT2G28960.2	XP_010470016.1, XP_010510556.1, XP_019083429.1
OG0000125	AT1G07560.1	XP_010487696.1, XP_010475520.1
OG0000125	AT1G49100.1	XP_010500450.1, XP_010481036.2
OG0000125	AT1G51820.1	XP_010462024.1, XP_010479689.1, XP_010500772.2
OG0000125	AT1G51850.2	XP_010500775.1, XP_010479688.1, XP_010462025.1
OG0000125	AT1G51830.2	XP_010500773.1
OG0000125	AT3G21340.1	XP_010466372.1, XP_010420548.1, XP_019096759.1
OG0000125	AT1G51810.1	XP_010500770.1
OG0000126	AT1G35150.1	XP_019095625.1
OG0000126	AT5G35475.1	XP_019087293.1
OG0000126	AT3G29794.1	XP_019087354.1
OG0000126	AT3G29638.1	XP_010480822.1, XP_010445155.1
OG0000126	AT2G19960.3	XP_010513617.1, XP_010431348.1
OG0000126	AT2G16040.1	XP_010473753.1
OG0000127	AT5G22880.1	XP_010421087.1, XP_010454568.1, XP_010493386.1
OG0000127	AT2G37470.1, AT3G53650.1	XP_010504134.1, XP_010515863.1, XP_010427020.1
OG0000127	AT5G02570.1	XP_010452101.1, XP_010423847.1, XP_010490718.1
OG0000127	AT3G09480.1	XP_010464595.1, XP_010473505.1, XP_010486520.1
OG0000127	AT1G07790.1	XP_010487998.1, XP_010475554.1
OG0000127	AT5G59910.1	XP_010483639.1
OG0000127	AT3G45980.1	XP_010503210.1
OG0000127	AT3G46030.1	XP_010503218.1, XP_010426029.1, XP_010514927.1
OG0000128	AT3G59270.1	XP_019101070.1
OG0000128	AT3G59250.1	XP_010473837.1, XP_019100976.1, XP_010512175.1, XP_010413723.1
OG0000128	AT3G59240.1	XP_010413725.1, XP_010469329.1, XP_019082940.1, XP_019093545.1, XP_019101065.1, XP_010512157.1, XP_010413724.1
OG0000128	AT3G59200.1	XP_019101672.1, XP_010469324.1
OG0000128	AT3G59210.1	XP_010512155.1, XP_010469325.1
OG0000128	AT4G14103.2	XP_010435188.1, XP_010450107.1
OG0000128	AT4G14096.1	XP_010512148.1
OG0000129	AT1G65120.2	XP_019098467.1
OG0000129	AT1G65130.1	XP_019101751.1
OG0000129	AT1G65200.1	XP_019088340.1, XP_010463280.1
OG0000129	AT1G52450.1, AT1G52430.1	XP_010500848.1, XP_019091952.1
OG0000129	AT5G61950.1, AT5G61940.2	XP_019095938.1, XP_019093450.1, XP_019087008.1, XP_010483885.1, XP_019086961.1, XP_010457940.1, XP_010457951.1, XP_019096086.1
OG0000129	AT2G27630.1	XP_019083613.1, XP_010513305.1
OG0000129	AT2G27650.1	XP_010510750.1, XP_019093846.1
OG0000130	AT4G03292.1, AT2G02650.1	XP_019099640.1
OG0000130	AT4G09775.1	XP_010424169.1, XP_010445343.2, XP_010456748.1, XP_010422447.2, XP_019089262.1
OG0000130	AT3G09510.1	XP_019093309.1
OG0000130	AT5G26617.1	XP_010463382.1
OG0000130	AT3G25270.1, AT2G04420.1, AT1G50160.1	XP_019087334.1, XP_019086307.1, XP_019092288.1
OG0000130	AT5G43755.1	XP_010456882.1
OG0000130	AT1G27870.1, AT1G77815.1	XP_019089170.1
OG0000132	AT3G54910.1	XP_010504321.2, XP_010427222.1, XP_010412779.1
OG0000132	AT5G38590.2	XP_019089258.1
OG0000132	AT5G38570.1	XP_010451863.1, XP_010445618.1, XP_019087492.1
OG0000132	AT5G38565.1	XP_010451864.1
OG0000134	AT1G57650.1	XP_019094814.1
OG0000134	AT1G65850.2	XP_010463849.1
OG0000134	AT3G25505.1	XP_010514203.1
OG0000134	AT5G11250.2	XP_019083764.1, XP_010419682.1, XP_019097993.1, XP_010491840.1, XP_019083763.1
OG0000136	AT1G40390.1	XP_010463070.1, XP_010424514.1, XP_010481219.1, XP_010456454.1, XP_019089179.1
OG0000137	AT5G55370.1	XP_010449511.1, XP_010443159.1, XP_010482977.1
OG0000137	AT5G55380.1	XP_010449549.1, XP_010443164.1, XP_010443165.1, XP_010482979.1
OG0000137	AT5G55320.1	XP_010449475.1
OG0000137	AT1G34490.1, AT1G34520.1	XP_019094517.1
OG0000137	AT5G55360.1	XP_010482976.2, XP_010449529.1, XP_010443158.1, XP_010449537.1
OG0000137	AT5G51420.1	XP_019087619.1
