Orthogroup	Arabidopsis_thaliana	Eutrema_salsugineum
OG0000066	AT5G10980.1	XP_024005718.1, XP_006399597.1, XP_006390289.1, XP_024005720.1
OG0000068	AT3G09160.1	XP_024014925.1
OG0000069	AT3G62850.1	XP_006404944.1
OG0000070	AT2G20160.1, AT2G03190.1, AT3G25650.1, AT2G03170.1	XP_006395735.1
OG0000070	AT1G20140.1, AT2G25700.1	XP_006416426.1
OG0000070	AT1G75950.1	XP_006390250.1
OG0000072	AT3G31430.1	XP_024004977.1, XP_024016537.1
OG0000075	AT4G39570.1	XP_006396818.1, XP_006396813.1
OG0000075	AT1G19930.1	XP_024011069.1
OG0000076	AT4G38940.1	XP_006411683.1
OG0000077	AT5G45220.1	XP_006398175.2
OG0000077	AT2G03030.1, AT2G03300.1	XP_006395720.2
OG0000077	AT1G60320.1, AT1G57830.1	XP_006392390.2
OG0000078	AT3G03820.1	XP_006408254.2, XP_006408256.1
OG0000078	AT3G03850.1	XP_024014979.1
OG0000081	AT2G37125.1, AT1G48285.1, AT4G07445.1	XP_024014389.1, XP_024004223.1
OG0000081	AT3G30165.1	XP_024014942.1, XP_024013908.1
OG0000086	AT1G66620.1, AT1G66630.1	XP_006390991.1
OG0000089	AT5G23860.1	XP_006394642.1
OG0000089	AT2G29550.1	XP_006410012.1
OG0000089	AT5G12250.1	XP_006399740.1
OG0000089	AT5G44340.1	XP_006403108.1
OG0000089	AT4G20890.1	XP_006413842.1
OG0000089	AT1G75780.1	XP_006390273.1
OG0000091	AT3G47570.1	XP_024011698.1
OG0000091	AT5G20480.1	XP_024011446.1
OG0000091	AT3G47110.1	XP_006404412.1
OG0000092	AT3G31402.1	XP_024010073.1
OG0000096	AT3G25460.1	XP_024009294.1, XP_006418661.2, XP_006418628.2
OG0000096	AT4G09870.1	XP_024004907.1, XP_024007223.1
OG0000098	AT1G27540.1, AT1G27580.1, AT1G27550.1, AT2G24080.1	XP_006404383.1, XP_006394690.1, XP_006414046.1
OG0000100	AT1G56510.1	XP_024014529.1
OG0000100	AT1G56540.1	XP_006404831.1
OG0000100	AT1G63860.1	XP_024014029.1, XP_024004369.1
OG0000102	AT4G05497.1	XP_006405546.1
OG0000102	AT5G52480.1	XP_006396592.1
OG0000102	AT4G05460.1	XP_006417793.2
OG0000105	AT5G38344.1, AT1G57630.1	XP_024011529.1
OG0000106	AT2G07760.1	XP_024013941.1, XP_024004736.1, XP_024012932.1, XP_024005999.1
OG0000107	AT3G20140.1	XP_024015177.1
OG0000107	AT4G15360.1	XP_006406420.1
OG0000108	AT3G53750.1, AT2G37620.1	XP_006410952.1, XP_006403657.1
OG0000108	AT3G46520.1, AT5G59370.1	XP_006400969.1, XP_006418890.1
OG0000108	AT3G12110.1	XP_006407369.1
OG0000108	AT5G09810.1	XP_006399464.1
OG0000108	AT3G18780.2	XP_006406564.1
OG0000108	AT2G42170.1, AT2G42100.1	XP_006405819.1
OG0000110	AT1G36510.1, AT3G32260.1	XP_024006585.1, XP_024009271.1, XP_024009446.1, XP_024009516.1, XP_024015963.1, XP_024010353.1, XP_024013220.1, XP_024004909.1, XP_024011414.1, XP_024009421.1, XP_024007906.1, XP_024004952.1, XP_024010478.1, XP_024006501.1, XP_024010281.1, XP_024010375.1, XP_024006421.1
OG0000111	AT1G45063.1	XP_006405203.2, XP_006405200.2
OG0000114	AT1G36970.1, AT4G05555.1, AT3G31560.1, AT1G36230.1, AT2G07280.1	XP_024014535.1
OG0000116	AT1G14800.1	XP_006404698.2, XP_006415357.2
OG0000117	AT1G23510.1	XP_024008857.1
OG0000117	AT1G23520.1	XP_024008035.1
OG0000117	AT1G23640.1, AT1G23660.1	XP_024008031.1
OG0000117	AT1G23690.1	XP_024008246.1
OG0000117	AT1G23570.2, AT1G23580.1	XP_024008029.1, XP_024008030.1, XP_006416071.1, XP_006416064.2
OG0000118	AT4G33290.1, AT2G38590.1, AT5G41490.1, AT5G41500.1, AT5G41510.1	XP_006416096.1
OG0000118	AT3G22940.1, AT3G22421.1, AT3G22870.1	XP_024010220.1, XP_024009977.1, XP_006410257.2
OG0000118	AT3G04250.1, AT3G25090.1, AT3G23685.1, AT3G23680.1	XP_006408206.1
OG0000119	AT3G45540.1	XP_006419033.2
OG0000121	AT2G01050.1	XP_024009270.1, XP_024006073.1, XP_024015018.1, XP_024009924.1, XP_024013365.1, XP_024013152.1
OG0000122	AT1G32375.1	XP_024012533.1
OG0000122	AT5G50270.1	XP_024014583.1, XP_024014445.1
OG0000123	AT5G51105.1	XP_024012107.1
OG0000124	AT5G40595.1	XP_024011275.1, XP_024009428.1, XP_024006620.1, XP_024007267.1, XP_024015892.1, XP_024009781.1, XP_024013977.1, XP_024010413.1, XP_024005584.1, XP_024010662.1, XP_024011095.1, XP_024010391.1, XP_006409642.2, XP_024007266.1, XP_024011274.1, XP_024016583.1
OG0000125	AT1G49100.1	XP_024006051.1
OG0000125	AT1G51820.1, AT1G51850.2, AT1G51830.2	XP_006392987.1
OG0000125	AT1G51805.1	XP_024006272.1
OG0000125	AT3G21340.1	XP_006406282.1
OG0000125	AT1G51810.1	XP_024006009.1
OG0000126	AT5G35475.1	XP_024004101.1, XP_024010268.1
OG0000126	AT2G19960.3	XP_024011103.1
OG0000127	AT5G22880.1	XP_006400797.1
OG0000127	AT2G37470.1	XP_006410934.1
OG0000127	AT3G53650.1	XP_006403666.1
OG0000127	AT5G59910.1	XP_006400898.1
OG0000127	AT2G28720.1	XP_006409905.1
OG0000128	AT3G59270.1	XP_024012970.1
OG0000128	AT3G59240.1	XP_024012967.1
OG0000128	AT3G59200.1	XP_006402712.2
OG0000128	AT3G59210.1	XP_006402710.1
OG0000128	AT1G58310.1, AT4G14103.2, AT4G14096.1	XP_006402715.1
OG0000129	AT1G65120.2	XP_006408194.2
OG0000129	AT1G52450.1, AT1G52430.1, AT5G61950.1, AT5G61940.2, AT2G27630.1, AT2G27650.1, AT5G51530.1	XP_024006771.1, XP_006394457.2, XP_024007354.1
OG0000130	AT5G26617.1	XP_024006636.1
OG0000132	AT3G54910.1	XP_006403516.1
OG0000132	AT4G09920.1, AT4G10410.1, AT4G10420.1, AT4G10400.1	XP_006405758.2, XP_024014449.1
OG0000132	AT5G38590.2, AT5G38570.1, AT5G38565.1	XP_006393001.2, XP_024014405.1, XP_024014786.1, XP_006405613.2, XP_006405755.2, XP_006405611.2, XP_024014617.1, XP_024014705.1
OG0000134	AT5G44510.1	XP_024011055.1
OG0000134	AT5G11250.2	XP_006399626.1
OG0000134	AT3G04220.3	XP_024004566.1, XP_024004563.1
OG0000136	AT1G40390.1	XP_024015179.1
OG0000137	AT5G55370.1	XP_006401461.1
OG0000137	AT5G55380.1	XP_006401460.1
OG0000137	AT5G55330.1	XP_006401466.1
OG0000137	AT5G55360.1	XP_006401462.1
OG0000137	AT5G55350.1	XP_006401463.2
OG0000137	AT5G55340.1	XP_006401465.2
OG0000138	AT3G62440.1	XP_006402375.2
OG0000138	AT3G58960.1	XP_024012920.1
OG0000138	AT3G62430.1, AT3G54160.1	XP_006402376.1, XP_006406628.2, XP_024015356.1
OG0000141	AT1G12290.1	XP_024008234.1
OG0000141	AT1G62630.1, AT1G63360.1, AT1G63350.2	XP_024004548.1, XP_006391848.1
OG0000148	AT1G47765.1, AT3G10240.1	XP_006393424.2
OG0000148	AT1G47730.1, AT1G48060.1	XP_024006236.1, XP_006393101.1, XP_006393087.2
OG0000151	AT3G55110.1	XP_006403491.1
OG0000151	AT3G55100.1	XP_006403492.1
OG0000151	AT2G39350.1	XP_006411161.1
OG0000151	AT3G55090.1	XP_006403493.1
OG0000151	AT3G53510.1	XP_006403679.1
OG0000151	AT2G37360.1	XP_006410918.1
OG0000151	AT5G13580.1	XP_006399852.1
OG0000153	AT2G29310.1	XP_006409977.2, XP_024003718.1, XP_024003707.1, XP_024003713.1, XP_024003669.1
OG0000153	AT2G29300.2, AT2G29320.1	XP_024003801.1, XP_006409980.1
OG0000153	AT1G07450.1	XP_024008215.1
OG0000154	AT1G50830.1, AT5G18510.1	XP_006393107.1
OG0000154	AT4G16050.1	XP_024005670.1
OG0000154	AT1G51538.1	XP_024006135.1
OG0000157	AT1G32660.1	XP_006397212.2
OG0000158	AT4G36840.1	XP_006391162.2
OG0000160	AT2G18960.1	XP_006409094.1
OG0000160	AT4G30190.2	XP_024005341.1
OG0000160	AT5G57350.1	XP_024012572.1
OG0000160	AT2G07560.1	XP_006396088.1
OG0000160	AT3G42640.1	XP_006419170.1
OG0000160	AT1G80660.1	XP_006389820.1
OG0000160	AT2G24520.2	XP_006404985.2
OG0000162	AT2G33200.1	XP_006410456.1
OG0000163	AT2G06105.1	XP_024010313.1, XP_024013090.1, XP_024013108.1
OG0000166	AT1G54470.1	XP_024013957.1
OG0000167	AT3G21170.1	XP_024014991.1, XP_024006548.1
OG0000167	AT3G21130.1, AT3G21120.1	XP_024015693.1
OG0000167	AT3G23260.1	XP_024015423.1
OG0000169	AT1G47340.1, AT1G47350.1	XP_024006540.1, XP_024006299.1, XP_024006462.1
OG0000170	AT1G33720.1	XP_024010761.1
OG0000170	AT2G45570.1	XP_024010825.1
OG0000170	AT2G45560.1	XP_006410182.1
OG0000170	AT2G45550.1	XP_024010808.1
OG0000171	AT5G53300.1	XP_006401722.1
OG0000171	AT5G41700.4	XP_006405318.1
OG0000171	AT2G16740.1	XP_006409398.1
OG0000171	AT5G56150.1	XP_006401372.1
OG0000171	AT3G08700.1, AT3G08690.1	XP_006407751.1
OG0000171	AT4G27960.2	XP_024005195.1
OG0000172	AT3G25727.1	XP_024016223.1
OG0000172	AT1G43730.1	XP_024006572.1
OG0000173	AT2G14288.1	XP_006412595.2
OG0000174	AT1G52603.1	XP_024009367.1
OG0000175	AT1G23490.1, AT1G70490.1	XP_006416080.1, XP_024015929.1
OG0000175	AT5G14670.1	XP_024012404.1
OG0000176	AT3G05360.1	XP_006414114.1, XP_024005467.1, XP_024005332.1, XP_006414117.2
OG0000177	AT1G21240.1, AT1G21250.1, AT1G21230.1, AT3G25490.1	XP_006416321.2
OG0000177	AT1G21210.1	XP_006416323.1
OG0000178	AT4G04490.1	XP_006396688.1
OG0000178	AT4G04510.2, AT4G04500.1	XP_006396683.2
OG0000178	AT4G04570.1	XP_024009811.1
OG0000178	AT4G04540.1	XP_024010194.1, XP_006396684.1
OG0000182	AT3G61100.1, AT3G61090.1	XP_006402522.1, XP_006405778.1
OG0000183	AT1G66410.2, AT5G37780.3	XP_006391396.1, XP_006405835.1
OG0000183	AT5G21274.1, AT2G27030.3	XP_006408585.1
OG0000184	AT4G20610.1, AT4G20630.1, AT4G20580.1, AT4G20640.1, AT4G20670.1, AT4G20620.1, AT4G20590.1, AT4G20600.1, AT4G20540.1, AT4G20645.1, AT4G20550.1, AT4G20560.1, AT4G20530.1, AT4G20570.1, AT3G21990.1, AT3G21980.1	XP_024014969.1
OG0000184	AT3G22020.1	XP_006406221.2
OG0000184	AT3G22040.1	XP_006391352.1
OG0000185	AT1G23970.2, AT1G23950.2	XP_024008728.1
OG0000186	AT5G02340.1, AT2G13950.1, AT5G02330.1, AT2G13900.1, AT5G02350.1	XP_006392123.1
OG0000186	AT5G55800.1, AT5G55770.1, AT1G44050.1, AT5G55780.1, AT5G46660.1, AT4G10370.1, AT3G26550.1	XP_006402068.1
OG0000186	AT2G02690.1, AT2G02700.1, AT2G02680.1, AT2G02610.1, AT2G02640.1, AT2G02620.1, AT2G02630.1	XP_024006671.1
OG0000186	AT2G40050.1	XP_024003658.1, XP_024003647.1
OG0000187	AT2G21680.1	XP_006409848.1, XP_006413517.1, XP_006413085.1, XP_006401995.1, XP_006410218.1
OG0000187	AT2G29780.1, AT2G29770.1, AT2G29600.1, AT2G29800.1, AT2G29810.1, AT2G29830.1, AT2G29820.1, AT2G29860.1	XP_024009084.1, XP_006396044.1
OG0000188	AT2G13630.1, AT3G04660.1	XP_006408167.1
OG0000189	AT4G35950.1, AT2G17800.1	XP_006412039.1
OG0000189	AT4G35020.1	XP_006409399.1
OG0000189	AT1G75840.1	XP_006390262.1
OG0000189	AT1G20090.1	XP_006416436.1
OG0000192	AT3G51210.1	XP_006413192.2
OG0000192	AT1G13420.1, AT2G14920.1, AT1G13430.1	XP_006417123.1
OG0000192	AT5G43690.1	XP_006399078.1
OG0000193	AT1G47390.1	XP_006410830.1, XP_006415272.2
OG0000193	AT1G32430.1	XP_024007938.1
OG0000195	AT2G04680.1, AT5G37620.1	XP_006408884.1
OG0000196	AT5G41540.1	XP_006405313.2
OG0000196	AT5G40910.1	XP_006391246.2
OG0000196	AT5G41750.1, AT5G41740.2, AT5G41550.1	XP_006405333.1
OG0000197	AT5G37760.1	XP_024005579.1
OG0000197	AT5G37750.1, AT5G37440.1	XP_024004741.1, XP_006413960.1
OG0000197	AT4G19570.1	XP_006393695.2
OG0000198	AT2G01520.1	XP_006395886.1, XP_006395885.1
OG0000198	AT4G14060.1, AT2G01530.1	XP_006395887.1
OG0000198	AT1G14960.1, AT1G30990.1, AT1G14930.1, AT1G14940.1, AT1G14950.1, AT3G26450.1, AT3G26460.1	XP_006413529.1
OG0000199	AT4G29770.2, AT5G18065.1, AT5G18040.1, AT4G29760.1	XP_006412791.2, XP_006413298.1
OG0000200	AT1G05540.1	XP_006418015.2
OG0000200	AT1G30170.1	XP_006415505.2
OG0000200	AT1G30160.2	XP_006415507.2
OG0000202	AT4G11390.2	XP_024009918.1
OG0000202	AT1G69150.1, AT3G43890.1	XP_006398075.1
OG0000203	AT3G58270.1	XP_024012757.1
OG0000203	AT3G58370.1	XP_006405456.2
OG0000208	AT2G06425.1, AT4G04265.1, AT5G34581.1	XP_024013235.1
OG0000209	AT5G10340.1	XP_024015726.1
OG0000210	AT2G28580.2, AT2G44930.1	XP_024010855.1, XP_024004704.1
OG0000216	AT1G57790.1	XP_024016821.1
OG0000219	AT3G48835.1, AT3G48840.1, AT5G41690.1, AT3G10845.1, AT1G45100.1	XP_024009776.1, XP_006391273.1, XP_024005932.1, XP_024005928.1
OG0000225	AT4G13985.1	XP_024007691.1
OG0000225	AT1G69630.1	XP_024009484.1
OG0000225	AT1G78740.1	XP_024011254.1
OG0000226	AT1G66440.1, AT1G66450.2, AT1G29180.1	XP_006398782.2, XP_006396785.1
OG0000227	AT2G15080.1	XP_024014358.1
OG0000229	AT2G29880.1	XP_024007588.1, XP_006407514.1
OG0000229	AT5G27260.1	XP_024005057.1, XP_024010219.1, XP_006396981.1
OG0000230	AT5G38391.1, AT3G58820.1	XP_024012973.1
OG0000230	AT3G58900.4	XP_024012843.1
OG0000233	AT5G07550.1	XP_006399237.1, XP_006399238.1
OG0000233	AT5G07571.1, AT5G07560.1	XP_024012088.1, XP_006399240.2
OG0000233	AT5G07540.1	XP_024012161.1
OG0000235	AT3G25080.1	XP_006394180.1, XP_006394175.1, XP_024013292.1
OG0000235	AT1G24388.1	XP_006405379.1
OG0000236	AT1G69650.1	XP_024011487.1
OG0000236	AT2G15710.1	XP_024014966.1
OG0000236	AT3G22080.1	XP_024014734.1
OG0000237	AT3G22650.2	XP_006406140.1
OG0000237	AT3G21410.1	XP_024014985.1
OG0000238	AT1G70840.1	XP_024007098.1
OG0000241	AT4G21860.1	XP_006413726.1
OG0000241	AT4G21850.1	XP_006413727.1
OG0000241	AT4G04840.1	XP_006396664.1
OG0000241	AT4G04800.1	XP_006396665.1
OG0000241	AT4G04810.1, AT4G04830.1	XP_024010083.1
OG0000242	AT5G48670.1	XP_024015704.1, XP_006392079.1, XP_006392157.1
OG0000242	AT5G27810.1	XP_006391312.1, XP_006396188.1, XP_006391455.1, XP_006419174.1, XP_006391378.1, XP_006391379.1, XP_006391380.1, XP_006391456.1, XP_024009775.1, XP_024009395.1, XP_006418995.1, XP_006391433.1
OG0000242	AT5G26630.1	XP_006394900.1
OG0000243	AT1G29420.2, AT1G29510.1	XP_024008323.1, XP_006415570.1
OG0000243	AT1G29500.1	XP_006415569.1
OG0000244	AT4G03370.1, AT4G03360.1, AT4G02950.1, AT4G03350.1, AT4G02970.1	XP_006396522.2
OG0000246	AT3G53160.1	XP_006403719.1
OG0000246	AT2G36790.1, AT2G36800.1	XP_006410852.1
OG0000246	AT2G36750.1	XP_006410850.1
OG0000247	AT1G32030.1	XP_024016187.1, XP_006397124.1, XP_006396952.1, XP_024010305.1, XP_024010284.1
OG0000248	AT1G70040.1, AT1G70120.1, AT3G54410.1, AT5G39330.1, AT1G70020.1, AT3G60700.1	XP_006390930.2
OG0000249	AT1G43260.1	XP_024011318.1, XP_024004901.1
OG0000250	AT4G05320.2	XP_006393349.1
OG0000251	AT3G26300.1, AT3G26310.1	XP_006395570.1
OG0000251	AT3G26330.1, AT3G26320.1	XP_006395568.2
OG0000251	AT2G02580.1	XP_006395567.1
OG0000251	AT5G57260.1	XP_006401223.1
OG0000252	AT5G37170.1	XP_006412567.1
OG0000252	AT1G77520.1	XP_006390080.1
OG0000253	AT3G09440.1	XP_006407676.1
OG0000253	AT5G02500.1	XP_006398709.1
OG0000254	AT4G15680.1	XP_006414472.1
OG0000256	AT3G17480.1, AT1G62270.1	XP_006403304.1
OG0000256	AT3G17500.1	XP_024014914.1, XP_006406014.2
OG0000257	AT5G44420.1	XP_006405181.1
OG0000260	AT4G32170.1	XP_006411750.1
OG0000262	AT1G62170.2, AT2G14540.1	XP_024013586.1, XP_024011074.1
OG0000269	AT5G59720.1	XP_006400925.1
OG0000269	AT3G46230.1	XP_006418933.1, XP_006418941.1
OG0000269	AT2G29500.1	XP_024003799.1
OG0000270	AT1G63320.1	XP_024014551.1
OG0000273	AT5G53635.1	XP_006401681.1, XP_006405005.2
OG0000273	AT5G53640.1	XP_024011702.1
OG0000275	AT4G39760.1	XP_024006885.1, XP_006395689.1
OG0000275	AT5G28180.1, AT5G28160.1	XP_024006417.1
OG0000278	AT5G37400.2, AT5G37650.1	XP_006408609.2
OG0000279	AT5G44970.1	XP_024010978.1
OG0000282	AT4G22180.1, AT4G22660.1, AT4G22165.1, AT4G14165.1	XP_024004517.1, XP_024004516.1
OG0000284	AT5G19270.1	XP_024011107.1, XP_024006182.1
OG0000285	AT4G21380.1	XP_024005112.1
OG0000285	AT4G27290.2	XP_006413094.1
OG0000285	AT1G65800.1, AT1G65790.1	XP_024007950.1, XP_006391515.2, XP_006391517.1
OG0000286	AT3G10750.1	XP_024015270.1
OG0000286	AT5G44850.1	XP_006403112.2, XP_024011148.1
OG0000289	AT3G25010.2, AT3G25020.1, AT3G24982.1, AT3G24900.2	XP_006415671.1
OG0000289	AT2G33020.1	XP_024003985.1
OG0000291	AT2G05510.1, AT2G05440.2	XP_024009515.1
OG0000292	AT5G42965.1, AT5G38920.1	XP_024009948.1, XP_024006248.1, XP_024006116.1, XP_024009134.1
OG0000292	AT2G34320.1	XP_024013972.1
OG0000294	AT5G15670.1, AT5G15660.1, AT1G26510.1, AT1G26515.1	XP_006400088.2
OG0000294	AT4G11590.1	XP_024010155.1
OG0000295	AT1G43010.1	XP_024011089.1
OG0000295	AT1G05005.1	XP_024008297.1
OG0000295	AT1G28020.1	XP_006415705.2
OG0000296	AT5G59090.1, AT5G59120.1	XP_006400992.1
OG0000296	AT5G58840.1, AT5G58820.1, AT5G58830.1	XP_024011966.1, XP_024012425.1
OG0000298	AT2G26380.1, AT1G33590.2	XP_006415076.2
OG0000300	AT5G50220.1, AT1G32420.1	XP_024016300.1, XP_006394334.2
OG0000301	AT2G44630.1, AT2G44700.1	XP_024006006.1, XP_024014229.1
OG0000301	AT4G02310.1	XP_006402565.2
OG0000303	AT5G28730.1	XP_024007779.1, XP_024013204.1, XP_024007914.1
OG0000303	AT1G43722.1	XP_024009454.1, XP_024010418.1
OG0000304	AT2G40440.1	XP_024009992.1
OG0000304	AT5G48510.1, AT2G05330.1	XP_006393554.2, XP_024006523.1
OG0000304	AT2G40450.1	XP_006396717.1
OG0000305	AT1G17150.1	XP_006413912.1
OG0000305	AT1G43090.1, AT1G43100.1, AT1G43080.1, AT2G15470.1, AT2G15450.1, AT2G15460.1, AT2G26620.1, AT4G13760.1, AT2G40310.1	XP_006411287.1
OG0000306	AT5G38690.1	XP_006402171.2, XP_006405728.2
OG0000307	AT1G09245.1	XP_006394385.1
OG0000308	AT5G43370.1, AT5G43350.1	XP_006403249.1, XP_006403251.1, XP_006403248.1, XP_006403252.1, XP_024013277.1, XP_006403255.1
OG0000315	AT5G33355.1, AT3G59930.1	XP_024010346.1, XP_024014742.1, XP_024014782.1, XP_024014357.1, XP_024014741.1, XP_024014779.1, XP_024016782.1, XP_024004825.1, XP_024005179.1, XP_024005193.1, XP_024005154.1
OG0000316	AT3G14680.1, AT3G14640.2	XP_006407055.1, XP_024015112.1
OG0000318	AT1G79680.1, AT1G69730.1	XP_024010631.1
OG0000321	AT1G04820.1, AT1G50010.1	XP_006406473.1, XP_006393188.1
OG0000322	AT1G73490.2	XP_024012255.1
OG0000325	AT1G04750.1	XP_006418097.1
OG0000325	AT2G33120.2	XP_006410450.1
OG0000325	AT1G04760.1	XP_024008616.1
OG0000326	AT2G03460.1	XP_006414687.1, XP_006414684.2, XP_006414683.2, XP_006414686.1
OG0000326	AT5G38670.1, AT5G38680.1, AT5G51250.1, AT3G08810.1, AT3G06570.1	XP_006406044.2, XP_006406046.1
OG0000327	AT1G77570.1	XP_006405569.1
OG0000329	AT4G14630.1	XP_006414672.1
OG0000330	AT1G72920.1, AT1G72940.1, AT1G72900.1, AT1G72930.1, AT1G72910.1, AT1G72950.1	XP_024008627.1
OG0000330	AT1G72890.2	XP_006390610.1
OG0000331	AT4G01850.1	XP_006396376.1
OG0000331	AT1G02500.1	XP_006418333.1
OG0000331	AT3G17390.1	XP_006406736.1
OG0000331	AT2G36880.1	XP_006410860.1
OG0000332	AT1G61430.1, AT1G61400.2, AT1G61440.2, AT1G61480.1, AT1G61490.1, AT1G61420.2, AT1G61460.1, AT1G61550.1	XP_006391998.1
OG0000335	AT3G60040.3	XP_006402608.1, XP_006390902.2
OG0000336	AT1G09690.1, AT1G09590.1	XP_006392360.1, XP_006392391.1
OG0000339	AT4G13310.1, AT4G13290.1	XP_024004976.1
OG0000341	AT5G51470.1	XP_006401972.1
OG0000341	AT1G48660.2, AT1G48670.1	XP_006392846.1, XP_006393515.2
OG0000342	AT2G24510.1	XP_024015029.1, XP_024014866.1
OG0000342	AT3G24700.2	XP_006414721.2, XP_006414718.2, XP_024014865.1
OG0000344	AT1G11270.1	XP_024007719.1
OG0000345	AT5G09500.1, AT5G43640.1	XP_024013255.1
OG0000345	AT5G09490.1	XP_006399428.2
OG0000345	AT5G09510.1	XP_006399431.1
OG0000345	AT1G04270.1	XP_006418147.1
OG0000346	AT3G26200.1	XP_006395576.1
OG0000346	AT3G26190.1	XP_006395577.1
OG0000346	AT3G53290.1	XP_024013545.1, XP_006403706.1
