Orthogroup	Arabidopsis_thaliana	Raphanus_sativus
OG0000028	AT5G54450.1	XP_018474189.1, XP_018474190.1, XP_018466632.1, XP_018466593.1, XP_018466641.1, XP_018466603.1, XP_018469501.1, XP_018466579.1, XP_018466613.1, XP_018469209.1, XP_018469254.1, XP_018440554.1, XP_018440555.1, XP_018469276.1, XP_018469113.1, XP_018466902.1, XP_018466824.1, XP_018469469.1
OG0000028	AT5G52930.1, AT5G52940.1	XP_018455496.1, XP_018454205.1
OG0000029	AT5G36225.1, AT2G17905.1	XP_018462178.1, XP_018479617.1, XP_018480098.1, XP_018453783.1, XP_018479504.1, XP_018453703.1, XP_018435876.1, XP_018478239.1, XP_018461350.1, XP_018473938.1, XP_018479503.1, XP_018453702.1, XP_018435877.1, XP_018463848.1, XP_018463679.1, XP_018479419.1, XP_018462971.1, XP_018459455.1, XP_018479546.1, XP_018443548.1, XP_018473650.1, XP_018435416.1, XP_018473647.1, XP_018436157.1, XP_018464649.1, XP_018464671.1, XP_018475894.1, XP_018478725.1, XP_018460863.1, XP_018479047.1, XP_018472293.1, XP_018448729.1, XP_018459873.1, XP_018488169.1
OG0000030	AT5G60560.2, AT3G20030.1	XP_018435466.1, XP_018464547.1, XP_018443694.1
OG0000030	AT1G25150.1, AT1G25055.1, AT1G25211.1, AT1G24800.1, AT1G24881.1	XP_018479424.1, XP_018466469.1, XP_018462013.1
OG0000030	AT1G54550.1, AT3G49510.1, AT3G49520.1	XP_018453970.1
OG0000030	AT1G66490.1	XP_018488225.1
OG0000030	AT3G13680.1	XP_018482202.1, XP_018471303.1, XP_018481495.1, XP_018480537.1, XP_018481681.1, XP_018479916.1
OG0000034	AT4G23180.1	XP_018483350.1, XP_018468503.1
OG0000034	AT4G21400.1	XP_018484117.1, XP_018484118.1
OG0000034	AT4G00960.1	XP_018465156.1, XP_018456565.1
OG0000034	AT4G00970.1	XP_018460473.1
OG0000034	AT4G23310.1	XP_018463089.1, XP_018468501.1
OG0000034	AT4G23130.2	XP_018448921.1, XP_018448031.1
OG0000035	AT2G07240.1	XP_018460300.1, XP_018453765.1, XP_018464702.1, XP_018460797.1, XP_018464171.1, XP_018448429.1, XP_018448430.1, XP_018485080.1, XP_018460632.1
OG0000035	AT4G04957.1	XP_018448190.1, XP_018436588.1, XP_018483955.1, XP_018487525.1, XP_018483954.1, XP_018473619.1, XP_018453751.1, XP_018453750.1, XP_018459074.1, XP_018480128.1, XP_018448648.1, XP_018453607.1, XP_018480116.1, XP_018480115.1, XP_018474844.1, XP_018448647.1, XP_018463315.1, XP_018463335.1, XP_018465407.1, XP_018487548.1, XP_018462584.1, XP_018448493.1, XP_018462583.1, XP_018463221.1, XP_018443726.1, XP_018443724.1, XP_018475185.1, XP_018453682.1, XP_018473884.1, XP_018453899.1, XP_018465931.1, XP_018463554.1, XP_018459565.1, XP_018488068.1, XP_018480985.1
OG0000040	AT5G11565.1	XP_018458169.1, XP_018474020.1
OG0000040	AT3G25720.1, AT4G10613.1	XP_018460803.1, XP_018487809.1
OG0000040	AT1G33710.1	XP_018436297.1, XP_018448764.1, XP_018454006.1
OG0000044	AT5G46470.1	XP_018474392.1, XP_018457475.1
OG0000044	AT5G46260.1, AT5G46270.4, AT1G31540.2, AT5G46490.2, AT5G46520.2, AT5G46510.1	XP_018440461.1, XP_018440462.1
OG0000046	AT3G31910.1, AT5G28810.1, AT2G10260.1, AT1G37020.1, AT5G45570.1, AT4G08430.1	XP_018453758.1, XP_018453757.1, XP_018473919.1, XP_018463059.1
OG0000048	AT2G31470.1	XP_018467221.1, XP_018487960.1, XP_018443410.1, XP_018444815.1, XP_018442224.1, XP_018463243.1, XP_018479860.1, XP_018463443.1, XP_018436316.1, XP_018436315.1, XP_018434883.1
OG0000048	AT3G10990.1, AT3G23960.1	XP_018482068.1, XP_018479796.1, XP_018479876.1, XP_018481878.1, XP_018484946.1, XP_018481942.1, XP_018490100.1, XP_018484944.1, XP_018465213.1, XP_018477245.1, XP_018484943.1, XP_018484945.1, XP_018484942.1, XP_018477397.1, XP_018479871.1, XP_018477265.1, XP_018483420.1, XP_018478113.1, XP_018479866.1
OG0000048	AT3G49440.1, AT2G19630.1	XP_018436322.1
OG0000051	AT2G42455.1	XP_018473990.1, XP_018465828.1
OG0000051	AT2G42480.1	XP_018436547.1, XP_018436548.1, XP_018436546.1, XP_018436545.1, XP_018436438.1, XP_018436441.1
OG0000052	AT3G26930.2, AT3G26920.1	XP_018479392.1, XP_018479394.1, XP_018479395.1, XP_018481202.1
OG0000052	AT1G55030.2, AT4G13965.1	XP_018454118.1
OG0000052	AT4G00160.1, AT3G52680.1	XP_018440341.1, XP_018440340.1, XP_018436949.1
OG0000052	AT3G52690.1	XP_018454062.1
OG0000052	AT3G51530.1	XP_018433197.1, XP_018454367.1, XP_018454366.1
OG0000052	AT3G49020.1	XP_018493248.1
OG0000055	AT3G19470.1, AT3G22770.1	XP_018474315.1, XP_018475877.1, XP_018475876.1, XP_018460442.1, XP_018475208.1, XP_018448356.1, XP_018469080.1, XP_018460063.1
OG0000055	AT3G18120.1	XP_018488227.1
OG0000055	AT2G18780.1	XP_018435448.1, XP_018464098.1, XP_018440394.1
OG0000056	AT1G61990.1	XP_018458632.1
OG0000056	AT3G46950.1	XP_018456965.1, XP_018435121.1
OG0000059	AT2G07800.1	XP_018476848.1, XP_018448721.1, XP_018436112.1, XP_018463973.1, XP_018467561.1, XP_018467345.1, XP_018443425.1, XP_018448461.1, XP_018435913.1, XP_018487671.1, XP_018458755.1, XP_018443688.1
OG0000061	AT1G48400.1	XP_018469367.1, XP_018471384.1, XP_018467960.1, XP_018457588.1
OG0000061	AT5G12450.1	XP_018464627.1
OG0000061	AT1G21990.1	XP_018482142.1
OG0000061	AT1G64540.1	XP_018487822.1
OG0000064	AT3G44115.1, AT1G57760.1, AT1G45221.1, AT1G45215.1, AT1G45223.1, AT1G57777.1, AT1G57775.1, AT4G07515.1, AT4G08025.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT5G42955.1, AT5G42957.1, AT5G34882.1, AT3G30383.1, AT3G30385.1, AT3G30387.1, AT5G34908.1	XP_018459458.1, XP_018459460.1, XP_018459461.1, XP_018459459.1, XP_018458876.1, XP_018458874.1, XP_018465641.1, XP_018465640.1, XP_018458875.1, XP_018458873.1
OG0000065	AT1G66910.1	XP_018445374.1, XP_018470553.1, XP_018470311.1
OG0000065	AT5G38250.1, AT5G38240.1	XP_018483048.1, XP_018483050.1, XP_018464170.1
OG0000065	AT5G38260.1	XP_018479670.1
OG0000065	AT5G39030.1, AT5G39020.1	XP_018481866.1, XP_018462609.1, XP_018479313.1, XP_018464676.1, XP_018481217.1
OG0000066	AT5G10390.1, AT3G27360.1, AT5G10400.1, AT5G65360.1, AT1G09200.1, AT5G65350.1	XP_018433979.1, XP_018456938.1, XP_018470662.1, XP_018439713.1, XP_018448989.1, XP_018445234.1, XP_018448990.1, XP_018470661.1, XP_018456939.1
OG0000066	AT5G10980.1	XP_018474475.1, XP_018468122.1, XP_018468121.1, XP_018447173.1, XP_018443026.1, XP_018450392.1, XP_018442730.1, XP_018474474.1
OG0000068	AT3G09160.1	XP_018442371.1, XP_018442368.1, XP_018443375.1, XP_018442366.1, XP_018444607.1, XP_018446006.1, XP_018472777.1, XP_018465626.1, XP_018474335.1
OG0000069	AT3G62850.1	XP_018458214.1, XP_018435567.1, XP_018479283.1, XP_018458190.1
OG0000070	AT1G10230.1, AT2G20160.1, AT2G03190.1, AT3G25650.1, AT2G03170.1	XP_018439895.1, XP_018455246.1
OG0000070	AT1G20140.1, AT2G25700.1	XP_018435343.1
OG0000070	AT1G75950.1	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1
OG0000070	AT4G34210.1	XP_018475135.1
OG0000072	AT3G42140.1	XP_018458408.1
OG0000075	AT4G39580.1	XP_018481197.1, XP_018459483.1
OG0000076	AT4G38940.1	XP_018480217.1
OG0000077	AT5G44900.1	XP_018455183.1
OG0000077	AT5G45220.1	XP_018473635.1, XP_018473636.1, XP_018483784.1
OG0000077	AT1G57850.1	XP_018438135.1
OG0000077	AT1G60320.1, AT1G57830.1	XP_018468968.1
OG0000078	AT5G18050.1, AT5G18060.1, AT5G18020.1, AT5G18080.1, AT5G18010.1	XP_018468001.1, XP_018475082.1, XP_018467409.1, XP_018475059.1, XP_018475741.1, XP_018474955.1, XP_018475088.1, XP_018474996.1
OG0000079	AT2G07190.1	XP_018482195.1
OG0000081	AT2G37125.1, AT1G48285.1, AT4G07445.1	XP_018436245.1
OG0000081	AT3G30165.1	XP_018463440.1, XP_018467536.1, XP_018436146.1
OG0000086	AT5G37870.1, AT5G37900.1, AT5G37910.1	XP_018481064.1
OG0000086	AT1G66620.1, AT1G66630.1	XP_018456777.1, XP_018456775.1, XP_018475756.1
OG0000089	AT5G23860.1	XP_018477697.1, XP_018484582.1
OG0000089	AT5G62700.1, AT5G62690.1	XP_018492627.1, XP_018440532.1
OG0000089	AT2G29550.1	XP_018440871.1
OG0000089	AT5G12250.1	XP_018476501.1, XP_018446020.1
OG0000089	AT5G44340.1	XP_018439894.1, XP_018456689.1, XP_018457306.1, XP_018483831.1
OG0000089	AT1G75780.1	XP_018446239.1, XP_018463490.1
OG0000091	AT5G20480.1	XP_018474898.1, XP_018446823.1
OG0000091	AT3G47110.1	XP_018440736.1
OG0000092	AT1G42710.1	XP_018436214.1
OG0000092	AT3G29765.1	XP_018453851.1
OG0000092	AT1G19260.1, AT4G09660.1	XP_018455197.1
OG0000092	AT3G31402.1	XP_018435657.1, XP_018488019.1, XP_018488020.1, XP_018479259.1
OG0000095	AT1G64840.1	XP_018458821.1, XP_018482330.1
OG0000096	AT1G25141.1	XP_018466022.1
OG0000096	AT3G49980.2	XP_018462071.1
OG0000096	AT4G09870.1	XP_018467758.1
OG0000098	AT1G27540.1, AT1G27580.1, AT1G27550.1, AT2G24080.1	XP_018477065.1
OG0000098	AT4G10820.1, AT5G25300.1, AT5G25290.1	XP_018482705.1
OG0000100	AT1G63730.1, AT1G63740.2	XP_018455681.1
OG0000100	AT4G14370.2	XP_018436752.1
OG0000100	AT1G63860.1	XP_018453994.1
OG0000102	AT4G05497.1	XP_018478798.1
OG0000102	AT5G52480.1	XP_018455932.1, XP_018456414.1, XP_018456413.1, XP_018456412.1, XP_018455931.1
OG0000102	AT4G05460.1	XP_018451515.1, XP_018489433.1, XP_018486652.1, XP_018486669.1, XP_018474049.1
OG0000105	AT4G04110.1	XP_018437703.1
OG0000106	AT2G07760.1	XP_018483022.1, XP_018435770.1, XP_018482722.1
OG0000107	AT2G27010.1, AT2G27000.1	XP_018474063.1, XP_018435236.1
OG0000107	AT4G15380.1, AT3G20080.1	XP_018489727.1, XP_018489629.1, XP_018488234.1, XP_018486234.1
OG0000107	AT3G20130.1	XP_018487289.1, XP_018466393.1, XP_018489514.1
OG0000107	AT3G20960.2, AT3G20090.2, AT2G05180.1, AT4G15360.1	XP_018440339.1, XP_018435080.1, XP_018436775.1
OG0000107	AT4G15330.1	XP_018437231.1
OG0000108	AT3G53750.1, AT2G37620.1	XP_018476215.1, XP_018441209.1
OG0000108	AT5G09810.1	XP_018439577.1, XP_018439439.1, XP_018445204.1, XP_018476330.1, XP_018471220.1
OG0000108	AT3G18780.2	XP_018440679.1, XP_018492579.1
OG0000108	AT1G49240.1	XP_018492660.1
OG0000110	AT1G36510.1, AT3G32260.1	XP_018481465.1, XP_018464346.1, XP_018460458.1, XP_018487640.1, XP_018453398.1, XP_018458166.1, XP_018458754.1
OG0000111	AT4G01380.1	XP_018470802.1
OG0000114	AT1G36970.1, AT4G05555.1, AT3G31560.1, AT1G36230.1, AT2G07280.1	XP_018456273.1
OG0000115	AT1G34070.1	XP_018448175.1, XP_018448174.1, XP_018464790.1, XP_018436053.1
OG0000116	AT1G14800.1	XP_018453807.1, XP_018465674.1, XP_018482519.1, XP_018474057.1, XP_018455509.1, XP_018463276.1, XP_018475460.1, XP_018459183.1, XP_018448437.1, XP_018462607.1, XP_018440840.1, XP_018470517.1
OG0000117	AT1G23670.2	XP_018484078.1
OG0000117	AT1G23690.1	XP_018434385.1
OG0000117	AT1G23570.2, AT1G23580.1	XP_018461550.1, XP_018449778.1, XP_018449606.1, XP_018449776.1, XP_018449605.1, XP_018461549.1, XP_018461548.1, XP_018449734.1, XP_018449777.1, XP_018448289.1, XP_018448292.1, XP_018461551.1, XP_018456410.1, XP_018454087.1, XP_018455073.1
OG0000118	AT4G33290.1, AT2G38590.1, AT5G41490.1, AT5G41500.1, AT5G41510.1	XP_018491246.1, XP_018488077.1, XP_018438578.1, XP_018442744.1, XP_018491336.1, XP_018485751.1, XP_018486403.1, XP_018488302.1, XP_018482093.1
OG0000119	AT3G45540.1	XP_018435717.1
OG0000119	AT2G26135.1, AT2G26130.1, AT3G43750.1, AT3G45560.1, AT2G16520.1, AT3G45460.1, AT3G45480.1, AT3G45510.1, AT3G45570.1, AT3G45580.1	XP_018479792.1
OG0000121	AT2G01050.1	XP_018479560.1, XP_018474096.1, XP_018460144.1, XP_018466482.1, XP_018479591.1, XP_018473910.1, XP_018443226.1, XP_018466068.1
OG0000122	AT5G50270.1	XP_018482341.1
OG0000123	AT5G51105.1	XP_018474158.1, XP_018474157.1, XP_018435443.1, XP_018435960.1
OG0000125	AT1G07560.1	XP_018493580.1, XP_018487612.1
OG0000125	AT1G49100.1	XP_018485742.1
OG0000125	AT1G51820.1, AT1G51850.2, AT1G51830.2	XP_018486058.1
OG0000125	AT1G51805.1	XP_018476295.1
OG0000125	AT3G21340.1	XP_018485989.1, XP_018488966.1
OG0000126	AT1G35150.1	XP_018464668.1
OG0000126	AT3G29638.1	XP_018448241.1, XP_018448597.1
OG0000126	AT2G19960.3	XP_018465860.1
OG0000127	AT5G22880.1	XP_018442304.1, XP_018463483.1, XP_018464380.1
OG0000127	AT3G53650.1	XP_018485557.1, XP_018478149.1
OG0000127	AT1G07790.1	XP_018467984.1, XP_018462477.1
OG0000127	AT2G28720.1	XP_018441606.1, XP_018478084.1, XP_018472875.1
OG0000128	AT3G59270.1	XP_018444638.1
OG0000128	AT3G59200.1	XP_018489183.1, XP_018442568.1, XP_018459990.1
OG0000128	AT3G59210.1	XP_018459995.1
OG0000128	AT1G58310.1, AT4G14103.2, AT4G14096.1	XP_018487764.1, XP_018461995.1
OG0000129	AT1G65120.2	XP_018491243.1, XP_018491241.1
OG0000129	AT1G65200.1	XP_018461987.1
OG0000129	AT1G52450.1, AT1G52430.1, AT5G61950.1, AT5G61940.2, AT2G27630.1, AT2G27650.1, AT5G51530.1	XP_018438997.1, XP_018435583.1, XP_018439597.1, XP_018439599.1, XP_018435186.1
OG0000130	AT5G44470.1	XP_018464495.1
OG0000130	AT3G32130.1	XP_018462144.1
OG0000130	AT3G25270.1, AT2G04420.1, AT1G50160.1	XP_018461102.1
OG0000130	AT5G43755.1	XP_018462836.1, XP_018436459.1, XP_018476031.1, XP_018453429.1, XP_018453427.1
OG0000132	AT3G54910.1	XP_018490205.1, XP_018464835.1, XP_018486610.1, XP_018465554.1, XP_018489158.1, XP_018489931.1, XP_018465557.1, XP_018490414.1
OG0000132	AT5G38590.2, AT5G38570.1, AT5G38565.1	XP_018492037.1
OG0000132	AT5G38580.1	XP_018474558.1
OG0000134	AT1G57650.1, AT2G14080.1	XP_018438959.1, XP_018438956.1
OG0000134	AT3G04220.3	XP_018476352.1, XP_018459201.1
OG0000136	AT1G40390.1	XP_018473630.1
OG0000137	AT5G55370.1	XP_018466390.1
OG0000137	AT5G55380.1	XP_018452340.1
OG0000137	AT5G55320.1	XP_018458869.1, XP_018455771.1
OG0000137	AT1G34500.1	XP_018455595.1
OG0000137	AT5G55360.1	XP_018469497.1, XP_018452341.1, XP_018454603.1
OG0000137	AT5G55340.1	XP_018454803.1
OG0000141	AT1G12290.1	XP_018485467.1
OG0000141	AT4G10780.1	XP_018492203.1
OG0000141	AT1G12280.1	XP_018440872.1
OG0000141	AT1G12210.1	XP_018489435.1
OG0000141	AT1G62630.1, AT1G63360.1, AT1G63350.2	XP_018454446.1, XP_018454444.1
OG0000148	AT1G47765.1, AT3G10240.1	XP_018476586.1, XP_018490337.1, XP_018438679.1, XP_018438702.1, XP_018438172.1, XP_018466105.1, XP_018435825.1
OG0000148	AT1G47730.1, AT1G48060.1	XP_018488107.1
OG0000151	AT3G55110.1	XP_018491621.1, XP_018443657.1, XP_018481788.1
OG0000151	AT3G55100.1	XP_018483151.1
OG0000151	AT2G39350.1	XP_018439853.1
OG0000151	AT3G55090.1	XP_018481215.1
OG0000151	AT2G37360.1	XP_018478165.1, XP_018478354.1
OG0000151	AT5G13580.1	XP_018445846.1
OG0000153	AT2G29330.1	XP_018435128.1
OG0000153	AT2G30670.1	XP_018480951.1
OG0000153	AT2G29310.1	XP_018436970.1, XP_018480845.1, XP_018437236.1
OG0000153	AT2G29300.2, AT2G29320.1	XP_018475632.1, XP_018475595.1
OG0000153	AT1G07450.1	XP_018489135.1
OG0000154	AT5G18510.1	XP_018479145.1
OG0000154	AT4G16050.1	XP_018449548.1
OG0000154	AT1G51538.1	XP_018485330.1
OG0000157	AT1G30790.1	XP_018448171.1
OG0000157	AT1G32660.1	XP_018489438.1
OG0000158	AT4G36840.1	XP_018455540.1
OG0000159	AT4G03728.1	XP_018462880.1
OG0000160	AT2G18960.1	XP_018456672.1, XP_018439896.1
OG0000160	AT4G30190.2	XP_018482147.1, XP_018459851.1, XP_018480330.1, XP_018459849.1, XP_018470513.1, XP_018447677.1, XP_018447191.1
OG0000160	AT5G57350.1	XP_018470730.1, XP_018456230.1
OG0000160	AT2G07560.1	XP_018489772.1
OG0000160	AT3G42640.1	XP_018440073.1
OG0000160	AT1G80660.1	XP_018442966.1, XP_018453169.1
OG0000160	AT2G24520.2	XP_018441376.1
OG0000162	AT2G33200.1	XP_018475016.1, XP_018474617.1
OG0000162	AT2G33190.1	XP_018438649.1
OG0000163	AT2G06105.1	XP_018473864.1, XP_018476696.1
OG0000165	AT5G36910.1	XP_018462017.1, XP_018462798.1, XP_018475093.1, XP_018475274.1, XP_018474963.1, XP_018475261.1, XP_018475091.1, XP_018475959.1, XP_018475385.1, XP_018476864.1, XP_018476871.1, XP_018476525.1, XP_018474676.1, XP_018490875.1
OG0000166	AT1G74180.1	XP_018443442.1
OG0000166	AT1G74170.2	XP_018442278.1
OG0000167	AT3G23260.1	XP_018487656.1
OG0000169	AT2G16220.1, AT2G16450.1, AT2G15640.1, AT2G02660.1, AT2G02890.1, AT2G23160.1	XP_018490650.1, XP_018465835.1, XP_018488136.1, XP_018460812.1, XP_018449930.1, XP_018450149.1, XP_018464337.1, XP_018493592.1, XP_018476446.1
OG0000170	AT1G33720.1	XP_018485103.1
OG0000170	AT2G45570.1	XP_018478569.1
OG0000170	AT2G45550.1	XP_018481458.1
OG0000171	AT5G53300.1	XP_018471382.1, XP_018457991.1
OG0000171	AT2G16740.1	XP_018435045.1
OG0000171	AT5G56150.1	XP_018476067.1, XP_018468491.1, XP_018455854.1
OG0000171	AT3G08700.1, AT3G08690.1	XP_018440453.1, XP_018492109.1, XP_018491228.1, XP_018486328.1
OG0000172	AT2G02520.1, AT4G05095.1, AT3G25727.1	XP_018479921.1
OG0000174	AT1G52603.1	XP_018461398.1, XP_018461214.1, XP_018473885.1, XP_018443531.1, XP_018443569.1
OG0000175	AT1G23490.1, AT1G70490.1	XP_018486354.1, XP_018471533.1, XP_018466301.1, XP_018433300.1
OG0000175	AT5G14670.1	XP_018446341.1
OG0000175	AT3G62290.1	XP_018477462.1
OG0000176	AT3G05370.1	XP_018435298.1
OG0000176	AT3G05360.1	XP_018483205.1, XP_018448995.1, XP_018450446.1, XP_018450443.1
OG0000176	AT1G71400.1	XP_018462965.1, XP_018460719.1
OG0000177	AT3G25490.1	XP_018464928.1
OG0000177	AT1G21210.1	XP_018459129.1
OG0000178	AT4G04490.1	XP_018462163.1, XP_018456012.1
OG0000178	AT4G04510.2	XP_018466592.1, XP_018466494.1
OG0000178	AT4G04500.1	XP_018466816.1, XP_018474729.1
OG0000178	AT4G04570.1	XP_018462335.1, XP_018474859.1, XP_018475013.1, XP_018473242.1, XP_018473243.1, XP_018459474.1, XP_018475619.1
OG0000178	AT4G04540.1	XP_018437778.1, XP_018469510.1
OG0000182	AT3G61100.1, AT3G61090.1	XP_018466211.1, XP_018488976.1
OG0000182	AT2G38365.1	XP_018456298.1
OG0000183	AT1G66410.2, AT5G37780.3	XP_018483199.1, XP_018442298.1
OG0000183	AT5G21274.1, AT2G27030.3	XP_018478487.1
OG0000184	AT3G22040.1	XP_018459934.1, XP_018487657.1, XP_018469462.1, XP_018469250.1, XP_018485940.1, XP_018469214.1, XP_018469258.1, XP_018469264.1, XP_018490081.1, XP_018489834.1, XP_018437873.1, XP_018437781.1, XP_018438297.1, XP_018436335.1, XP_018489740.1
OG0000185	AT1G23970.2, AT1G23950.2	XP_018438331.1
OG0000186	AT1G61840.1, AT2G40050.1	XP_018475580.1, XP_018439292.1, XP_018439274.1
OG0000188	AT2G13630.1, AT3G04660.1	XP_018455405.1
OG0000189	AT2G17800.1	XP_018491974.1, XP_018439736.1, XP_018468233.1, XP_018470632.1, XP_018481039.1, XP_018482967.1
OG0000189	AT4G35020.1	XP_018488978.1
OG0000192	AT3G51210.1	XP_018462530.1, XP_018467255.1, XP_018479088.1
OG0000192	AT5G43690.1	XP_018445122.1, XP_018462042.1
OG0000192	AT4G26280.1	XP_018469074.1, XP_018468699.1, XP_018465848.1
OG0000193	AT1G47390.1	XP_018487465.1
OG0000193	AT1G32430.1	XP_018467632.1, XP_018448639.1, XP_018487466.1
OG0000195	AT2G04680.1, AT5G37620.1	XP_018433270.1, XP_018440534.1, XP_018435823.1, XP_018477234.1
OG0000195	AT2G19660.2	XP_018483105.1
OG0000196	AT5G41540.1	XP_018482158.1, XP_018466067.1
OG0000196	AT5G41750.1, AT5G41740.2, AT5G41550.1	XP_018460159.1, XP_018477158.1
OG0000197	AT5G37760.1	XP_018476022.1
OG0000197	AT5G37750.1, AT5G37440.1	XP_018448523.1
OG0000197	AT4G19570.1	XP_018487852.1
OG0000197	AT4G19580.1, AT5G62780.1	XP_018449634.1, XP_018465049.1
OG0000198	AT4G14060.1, AT2G01530.1	XP_018461684.1, XP_018478930.1, XP_018453067.1, XP_018434683.1
OG0000198	AT1G14960.1, AT1G30990.1	XP_018491068.1
OG0000198	AT1G14950.1	XP_018491057.1
OG0000198	AT3G26450.1, AT3G26460.1	XP_018460378.1, XP_018481114.1, XP_018460375.1, XP_018479160.1
OG0000199	AT4G29770.2, AT5G18065.1, AT5G18040.1, AT4G29760.1	XP_018470386.1, XP_018449273.1, XP_018449280.1, XP_018449101.1
OG0000200	AT1G05550.3	XP_018454952.1, XP_018448186.1
OG0000200	AT1G05540.1	XP_018449589.1, XP_018454583.1, XP_018441251.1
OG0000200	AT1G30170.1	XP_018451670.1
OG0000200	AT1G30160.2	XP_018451671.1
OG0000202	AT4G09690.1, AT4G11547.1	XP_018453874.1
OG0000203	AT3G58270.1	XP_018444359.1
OG0000203	AT3G58370.1	XP_018488418.1
OG0000203	AT3G58360.1	XP_018444673.1, XP_018460880.1, XP_018484517.1, XP_018484516.1
OG0000203	AT3G58350.1	XP_018446270.1, XP_018444506.1, XP_018444360.1
OG0000209	AT5G10340.1	XP_018487834.1
OG0000210	AT2G28580.2, AT2G44930.1	XP_018463531.1
OG0000210	AT3G60470.1	XP_018437416.1
OG0000216	AT4G12370.1	XP_018467364.1
OG0000216	AT4G10700.1, AT4G10660.1, AT4G10695.1	XP_018475592.1
OG0000216	AT4G12382.1	XP_018475526.1
OG0000216	AT1G57790.1	XP_018467341.1, XP_018465408.1
OG0000216	AT3G56470.1	XP_018432540.1
OG0000225	AT1G69630.1	XP_018455101.1, XP_018455692.1, XP_018456709.1
OG0000225	AT1G78750.1	XP_018453413.1
OG0000226	AT4G13130.1, AT1G66440.1, AT1G66450.2, AT1G29180.1, AT3G26250.1, AT3G26240.1	XP_018447426.1
OG0000227	AT3G11010.2, AT5G27060.2, AT3G11080.1	XP_018436575.1, XP_018436570.1
OG0000229	AT5G28820.1	XP_018438813.1
OG0000229	AT5G27260.1	XP_018460167.1, XP_018460168.1
OG0000229	AT5G35540.1	XP_018479600.1
OG0000230	AT5G38391.1	XP_018460416.1
OG0000233	AT5G07550.1	XP_018444381.1, XP_018464192.1
OG0000233	AT5G07571.1, AT5G07560.1	XP_018468589.1, XP_018469329.1, XP_018475327.1
OG0000233	AT5G07540.1	XP_018444363.1
OG0000233	AT5G07510.1, AT5G07600.1, AT5G07520.1	XP_018444177.1, XP_018448246.1, XP_018469360.1
OG0000234	AT2G44030.1, AT2G45406.1, AT5G02990.1	XP_018443518.1, XP_018435545.1, XP_018443517.1, XP_018435544.1, XP_018435543.1, XP_018443516.1
OG0000235	AT3G25080.1	XP_018433885.1, XP_018490807.1
OG0000236	AT1G69650.1	XP_018467415.1
OG0000236	AT1G69660.1	XP_018465671.1
