Orthogroup	Arabidopsis_thaliana	Conringia_planisiliqua
OG0000078	AT3G03850.1	CP10_g42381_DN3_SP0_c.t1
OG0000078	AT3G03830.1	CP10_g42379_DN1_SP0_c.t1
OG0000078	AT3G03840.1	CP10_g42380_DN2_SP0_c.t1
OG0000081	AT3G30165.1	CP1_g40914_DN2_SP0_c.t1
OG0000089	AT5G23860.1	CP2_g48308_DN3_SP8_c.t1
OG0000089	AT5G62700.1, AT5G62690.1	CP2_g48035_DN3_SP7_c.t1
OG0000089	AT2G29550.1	CP4_g25793_DN3_SP8_c.t1
OG0000089	AT5G12250.1	CP11_g32707_DN3_SP8_c.t1
OG0000089	AT5G44340.1	CP13_g20168_DN3_SP8_c.t1
OG0000089	AT4G20890.1	CP6_g6768_DN3_SP8_c.t1
OG0000089	AT1G75780.1	CP9_g29223_DN3_SP8_c.t1
OG0000095	AT1G64840.1	CP16_g55090_DN3_SP0_c.t1, CP16_g55089_DN3_SP0_c.t1
OG0000096	AT3G25460.1	CP12_g30984_DN3_SP0_c.t1, CP12_g30986_DN3_SP0_c.t1, CP12_g30930_DN3_SP0_c.t1
OG0000096	AT4G09870.1	CP6_g7572_DN1_SP0_c.t1
OG0000100	AT5G38850.1, AT1G63730.1, AT1G63740.2, AT4G14370.2, AT1G64070.1, AT2G16870.1	CP2_g48891_DN3_SP0_c.t1
OG0000102	AT4G05497.1	CP5_g1424_DN3_SP0_c.t1
OG0000105	AT5G38344.1, AT1G57630.1	CP12_g31635_DN1_SP0_c.t1
OG0000105	AT4G04110.1	CP20_g4043_DN3_SP0_c.t1, CP2_g49355_DN1_SP0_c.t1, CP2_g50540_DN2_SP0_c.t1
OG0000107	AT2G27010.1, AT2G27000.1	CP7_g44362_DN3_SP0_c.t1, CP7_g44349_DN3_SP0_c.t1
OG0000111	AT1G45063.1	CP6_g7513_DN2_SP0_c.t1, CP3_g14874_DN2_SP0_c.t1
OG0000111	AT4G01380.1	CP5_g1915_DN1_SP0_c.t1, CP5_g1912_DN2_SP0_c.t1, CP5_g1908_DN2_SP0_c.t1, CP5_g1919_DN2_SP0_c.t1, CP5_g1886_DN2_SP0_c.t1, CP5_g1935_DN3_SP0_c.t1, CP94_g6400_DN3_SP0_c.t1, CP5_g1897_DN2_SP0_c.t1, CP5_g1895_DN2_SP0_c.t1, CP5_g1905_DN3_SP0_c.t1
OG0000114	AT1G36230.1	CP9_g27816_DN2_SP0_c.t1
OG0000114	AT2G07280.1	CP17_g5831_DN3_SP0_c.t1
OG0000116	AT1G14800.1	CP59_g6663_DN3_SP0_c.t1, CP44_g20908_DN3_SP0_c.t1, CP18_g12569_DN3_SP0_c.t1
OG0000117	AT1G23510.1	CP7_g45428_DN3_SP0_c.t1
OG0000117	AT1G23520.1	CP7_g45431_DN3_SP0_c.t1
OG0000117	AT1G23640.1, AT1G23660.1	CP7_g45420_DN3_SP0_c.t1
OG0000117	AT1G23690.1	CP7_g45419_DN3_SP0_c.t1
OG0000117	AT1G23570.2, AT1G23580.1	CP7_g45418_DN3_SP0_c.t1
OG0000118	AT3G23680.1	CP7_g45449_DN2_SP0_c.t1
OG0000121	AT2G01050.1	CP15_g35834_DN3_SP0_c.t1, CP8_g52256_DN3_SP0_c.t1
OG0000127	AT5G22880.1	CP8_g54114_DN3_SP0_c.t1
OG0000127	AT2G37470.1	CP4_g24986_DN3_SP0_c.t1
OG0000127	AT3G53650.1	CP3_g13990_DN2_SP0_c.t1
OG0000127	AT3G09480.1	CP11_g33621_DN2_SP0_c.t1
OG0000127	AT5G59910.1	CP8_g54018_DN3_SP0_c.t1
OG0000127	AT3G46030.1	CP3_g14833_DN3_SP0_c.t1
OG0000127	AT2G28720.1	CP4_g25869_DN3_SP0_c.t1
OG0000128	AT3G59210.1	CP3_g13458_DN3_SP0_c.t1
OG0000129	AT1G65120.2	CP10_g42426_DN3_SP0_c.t1, CP14_g22722_DN3_SP0_c.t1
OG0000129	AT1G65200.1	CP9_g27597_DN3_SP0_c.t1, CP10_g43808_DN3_SP0_c.t1
OG0000129	AT1G52450.1, AT1G52430.1, AT5G61950.1, AT5G61940.2, AT2G27630.1, AT2G27650.1, AT5G51530.1	CP2_g48114_DN3_SP0_c.t1
OG0000130	AT4G03292.1, AT2G02650.1, AT4G09775.1	CP6_g7368_DN1_SP0_c.t1, CP6_g9750_DN1_SP0_c.t1, CP1_g38598_DN2_SP0_c.t1
OG0000130	AT3G09510.1, AT2G13980.1, AT5G26617.1	CP24_g47153_DN1_SP0_c.t1
OG0000130	AT5G44470.1	CP6_g8046_DN2_SP0_c.t1
OG0000130	AT3G23320.1, AT5G52115.1, AT5G65005.1, AT1G52990.1	CP22_g17175_DN1_SP0_c.t1, CP8_g54204_DN2_SP0_c.t1
OG0000130	AT3G25270.1, AT2G04420.1, AT1G50160.1	CP2_g49700_DN3_SP0_c.t1
OG0000134	AT1G57650.1, AT2G14080.1	CP12_g31654_DN3_SP0_c.t1
OG0000136	AT1G40390.1	CP18_g12237_DN1_SP0_c.t1, CP20_g4089_DN2_SP0_c.t1, CP5_g3095_DN2_SP0_c.t1
OG0000141	AT1G12290.1	CP1_g37531_DN2_SP0_c.t1
OG0000141	AT1G12280.1	CP1_g37530_DN3_SP0_c.t1
OG0000148	AT1G47765.1, AT3G10240.1	CP1_g38394_DN3_SP0_c.t1
OG0000148	AT1G47730.1, AT1G48060.1	CP1_g38017_DN2_SP0_c.t1
OG0000154	AT5G18510.1	CP1_g38036_DN1_SP0_c.t1, CP1_g38035_DN2_SP0_c.t1
OG0000154	AT4G16050.1	CP6_g7266_DN3_SP0_c.t1
OG0000159	AT4G03728.1	CP18_g11530_DN3_SP0_c.t1, CP10_g43905_DN3_SP0_c.t1, CP30_g10024_DN3_SP0_c.t1, CP1_g38892_DN3_SP0_c.t1
OG0000160	AT2G18960.1	CP10_g43624_DN3_SP8_c.t1
OG0000160	AT4G30190.2	CP5_g984_DN3_SP8_c.t1
OG0000160	AT5G57350.1	CP8_g53733_DN3_SP8_c.t1
OG0000160	AT2G07560.1	CP17_g5850_DN3_SP8_c.t1
OG0000160	AT1G80660.1	CP9_g29643_DN3_SP8_c.t1
OG0000160	AT2G24520.2	CP16_g55126_DN3_SP8_c.t1
OG0000162	AT2G33200.1	CP4_g25433_DN2_SP0_c.t1
OG0000162	AT2G33190.1	CP4_g25434_DN2_SP0_c.t1
OG0000163	AT2G06105.1	CP26_g51269_DN2_SP0_c.t1
OG0000167	AT3G23260.1	CP12_g30688_DN2_SP0_c.t1
OG0000170	AT2G45550.1	CP4_g24175_DN3_SP0_c.t1
OG0000171	AT5G53300.1	CP8_g53294_DN3_SP8_c.t1
OG0000171	AT5G41700.4	CP19_g17855_DN3_SP6_c.t1
OG0000171	AT1G64230.4	CP13_g19098_DN3_SP8_c.t1
OG0000171	AT2G16740.1	CP10_g43893_DN3_SP8_c.t1
OG0000171	AT5G56150.1	CP8_g53599_DN3_SP8_c.t1
OG0000171	AT3G08700.1, AT3G08690.1	CP10_g42832_DN3_SP8_c.t1
OG0000171	AT4G27960.2	CP5_g1205_DN3_SP7_c.t1
OG0000172	AT4G05095.1	CP5_g1428_DN2_SP0_c.t1, CP3_g15131_DN1_SP0_c.t1, CP8_g52523_DN1_SP0_c.t1
OG0000172	AT3G25727.1	CP5_g2025_DN2_SP0_c.t1
OG0000172	AT3G27590.1, AT1G34440.1	CP2_g50296_DN1_SP0_c.t1, CP15_g35923_DN2_SP0_c.t1
OG0000175	AT1G23490.1	CP9_g28660_DN3_SP6_c.t1
OG0000175	AT1G70490.1	CP7_g45435_DN3_SP8_c.t1
OG0000175	AT5G14670.1	CP11_g32500_DN3_SP8_c.t1
OG0000178	AT4G04570.1	CP11_g31843_DN3_SP0_c.t1
OG0000182	AT3G61100.1, AT3G61090.1	CP2_g49579_DN2_SP0_c.t1
OG0000183	AT1G66410.2, AT5G37780.3	CP5_g1726_DN3_SP8_c.t1
OG0000183	AT3G56800.1	CP3_g13675_DN3_SP8_c.t1
OG0000183	AT2G27030.3	CP4_g26440_DN3_SP8_c.t1
OG0000184	AT3G22053.1	CP12_g30563_DN1_SP0_c.t1, CP15_g34906_DN2_SP0_c.t1
OG0000187	AT2G29780.1, AT2G29770.1, AT2G29600.1, AT2G29800.1, AT2G29810.1, AT2G29830.1, AT2G29820.1, AT2G29860.1	CP7_g44449_DN3_SP0_c.t1
OG0000189	AT4G35020.1	CP10_g43894_DN3_SP5_c.t1
OG0000189	AT1G75840.1	CP9_g29229_DN3_SP8_c.t1
OG0000189	AT1G20090.1	CP7_g45756_DN3_SP8_c.t1
OG0000192	AT1G13420.1, AT2G14920.1, AT1G13430.1	CP1_g37644_DN3_SP0_c.t1
OG0000192	AT4G26280.1	CP19_g18011_DN3_SP0_c.t1
OG0000193	AT1G47390.1	CP3_g15012_DN3_SP0_c.t1, CP3_g15010_DN3_SP0_c.t1, CP3_g15011_DN3_SP0_c.t1
OG0000195	AT2G19660.2	CP15_g34742_DN3_SP0_c.t1
OG0000197	AT5G37760.1	CP6_g6857_DN3_SP0_c.t1
OG0000197	AT5G37750.1, AT5G37440.1	CP6_g6856_DN2_SP0_c.t1
OG0000197	AT4G19570.1	CP1_g38811_DN2_SP0_c.t1, CP1_g38769_DN2_SP0_c.t1, CP1_g38820_DN1_SP0_c.t1
OG0000198	AT4G14060.1, AT2G01530.1	CP13_g19662_DN3_SP0_c.t1, CP13_g19663_DN3_SP3_c.t1, CP13_g19661_DN2_SP8_c.t1
OG0000198	AT1G14960.1, AT1G30990.1	CP1_g37803_DN3_SP1_c.t1
OG0000198	AT1G14950.1	CP1_g37802_DN3_SP1_c.t1
OG0000198	AT3G26450.1, AT3G26460.1	CP19_g18287_DN3_SP0_c.t1
OG0000199	AT4G29770.2, AT5G18065.1, AT5G18040.1, AT4G29760.1	CP5_g930_DN3_SP0_c.t1
OG0000203	AT3G58360.1	CP3_g13515_DN3_SP0_c.t1
OG0000209	AT1G12490.1, AT1G09650.1	CP1_g37296_DN2_SP0_c.t1, CP1_g37302_DN2_SP0_c.t1
OG0000216	AT4G00893.1, AT4G12370.1, AT4G10700.1, AT4G10660.1, AT4G10695.1, AT4G12382.1, AT1G57790.1, AT3G56470.1	CP16_g55066_DN2_SP0_c.t1
OG0000225	AT4G13985.1	CP7_g44570_DN3_SP0_c.t1
OG0000226	AT4G13130.1, AT1G66440.1, AT1G66450.2, AT1G29180.1, AT3G26250.1, AT3G26240.1	CP19_g17936_DN2_SP0_c.t1
OG0000229	AT5G28820.1	CP12_g31368_DN3_SP0_c.t1, CP12_g31395_DN3_SP0_c.t1
OG0000229	AT5G35540.1	CP4_g26411_DN2_SP0_c.t1, CP1_g39490_DN3_SP0_c.t1
OG0000233	AT5G07550.1	CP11_g33138_DN1_SP1_c.t1, CP11_g33137_DN2_SP1_c.t1
OG0000233	AT5G07571.1, AT5G07560.1	CP11_g33136_DN2_SP0_c.t1
OG0000233	AT5G07540.1	CP11_g33139_DN2_SP0_c.t1
OG0000233	AT5G07510.1, AT5G07600.1, AT5G07520.1	CP11_g33143_DN2_SP0_c.t1
OG0000236	AT1G69650.1	CP9_g28569_DN3_SP0_c.t1
OG0000236	AT1G69660.1	CP9_g28572_DN3_SP0_c.t1
OG0000236	AT2G15710.1	CP8_g52883_DN3_SP0_c.t1
OG0000237	AT3G10430.1, AT4G04690.1, AT3G08750.1	CP10_g43004_DN3_SP0_c.t1
OG0000237	AT3G22650.2	CP12_g30628_DN3_SP0_c.t1
OG0000237	AT3G21410.1	CP12_g30499_DN2_SP0_c.t1
OG0000238	AT1G70840.1	CP9_g28708_DN2_SP0_c.t1
OG0000239	AT1G43145.1	CP27_g41971_DN1_SP0_c.t1
OG0000241	AT4G21860.1	CP19_g18502_DN3_SP0_c.t1
OG0000241	AT4G21850.1	CP19_g18503_DN3_SP1_c.t1
OG0000241	AT4G04800.1, AT4G04810.1, AT4G04830.1	CP11_g31874_DN3_SP3_c.t1
OG0000242	AT5G48670.1	CP11_g31795_DN3_SP0_c.t1
OG0000242	AT5G26630.1	CP21_g11131_DN2_SP0_c.t1, CP17_g5035_DN1_SP0_c.t1
OG0000243	AT1G29450.1	CP7_g44959_DN2_SP0_c.t1
OG0000243	AT1G29420.2, AT1G29510.1	CP7_g44960_DN3_SP0_c.t1, CP7_g44970_DN1_SP0_c.t1, CP7_g44962_DN2_SP0_c.t1
OG0000245	AT4G03740.1	CP18_g11471_DN3_SP0_c.t1, CP6_g7472_DN3_SP0_c.t1, CP1_g41212_DN2_SP0_c.t1, CP22_g17632_DN2_SP0_c.t1
OG0000247	AT1G32030.1	CP3_g15725_DN3_SP0_c.t1, CP12_g31409_DN1_SP0_c.t1, CP12_g31309_DN3_SP0_c.t1, CP12_g31356_DN2_SP0_c.t1, CP12_g31334_DN3_SP0_c.t1, CP12_g31367_DN3_SP0_c.t1, CP12_g31322_DN3_SP0_c.t1, CP12_g31416_DN2_SP0_c.t1, CP6_g8942_DN2_SP0_c.t1
OG0000249	AT1G43260.1, AT5G31412.1	CP1_g38977_DN2_SP0_c.t1
OG0000250	AT4G05320.2	CP3_g13893_DN3_SP0_c.t1
OG0000250	AT4G02890.3, AT5G37640.1, AT5G03240.1, AT1G65350.1	CP6_g7930_DN3_SP0_c.t1
OG0000251	AT5G57260.1	CP8_g53723_DN3_SP1_c.t1
OG0000252	AT1G77520.1	CP9_g29395_DN3_SP1_c.t1
OG0000254	AT4G15680.1	CP6_g7324_DN3_SP0_c.t1, CP6_g7323_DN3_SP0_c.t1
OG0000256	AT3G17480.1, AT1G62270.1	CP6_g7458_DN2_SP0_c.t1
OG0000256	AT3G17500.1	CP12_g30726_DN3_SP0_c.t1
OG0000256	AT3G22730.1	CP12_g30613_DN1_SP0_c.t1
OG0000257	AT2G26020.1, AT2G26010.1, AT5G44430.1, AT5G44420.1, AT1G75830.1	CP9_g29228_DN3_SP3_c.t1
OG0000260	AT4G39500.2, AT4G32170.1	CP15_g34929_DN1_SP0_c.t1
OG0000260	AT4G39510.1	CP5_g131_DN3_SP0_c.t1
OG0000260	AT5G02900.1	CP5_g1521_DN3_SP0_c.t1
OG0000260	AT1G47620.1	CP9_g29186_DN3_SP0_c.t1, CP1_g38019_DN3_SP0_c.t1
OG0000265	AT5G15690.1, AT4G04775.1	CP12_g31752_DN3_SP0_c.t1, CP14_g22415_DN3_SP0_c.t1
OG0000273	AT5G53640.1	CP8_g53335_DN3_SP0_c.t1
OG0000273	AT3G23955.2	CP8_g53332_DN3_SP0_c.t1
OG0000277	AT4G34720.1, AT2G16510.1, AT4G38920.1	CP10_g43930_DN3_SP8_c.t1
OG0000279	AT5G44950.1, AT5G44970.1, AT5G44980.1, AT5G44940.1, AT5G44960.1	CP13_g20066_DN3_SP0_c.t1, CP13_g20063_DN3_SP0_c.t1
OG0000286	AT3G10750.1	CP10_g43041_DN3_SP0_c.t1
OG0000288	AT5G30520.1, AT2G06565.1	CP16_g55647_DN2_SP0_c.t1
OG0000296	AT5G58840.1, AT5G58820.1, AT5G58830.1	CP17_g5869_DN3_SP0_c.t1
OG0000298	AT2G26380.1	CP20_g4199_DN3_SP0_c.t1
OG0000298	AT1G33590.2	CP7_g44536_DN3_SP0_c.t1
OG0000301	AT2G44630.1, AT2G44700.1	CP16_g54831_DN3_SP0_c.t1, CP2_g49182_DN1_SP0_c.t1
OG0000301	AT4G02310.1	CP3_g13356_DN3_SP0_c.t1
OG0000304	AT2G40440.1	CP4_g24672_DN3_SP0_c.t1
OG0000308	AT5G43370.1, AT5G43350.1	CP13_g20312_DN3_SP7_c.t1, CP13_g20309_DN3_SP1_c.t1, CP13_g20308_DN3_SP1_c.t1, CP13_g20306_DN3_SP0_c.t1, CP13_g20310_DN3_SP5_c.t1, CP13_g20307_DN3_SP0_c.t1, CP13_g20311_DN3_SP1_c.t1
OG0000312	AT2G07290.1	CP9_g27950_DN2_SP0_c.t1, CP14_g23842_DN3_SP0_c.t1, CP6_g7657_DN3_SP0_c.t1, CP25_g55787_DN3_SP0_c.t1, CP12_g30981_DN3_SP0_c.t1, CP18_g12091_DN1_SP0_c.t1, CP2_g48192_DN2_SP0_c.t1, CP4_g26527_DN3_SP0_c.t1, CP95_g12690_DN3_SP0_c.t1
OG0000313	AT2G20620.1	CP11_g31933_DN3_SP0_c.t1
OG0000315	AT5G33355.1, AT3G59930.1	CP2_g49319_DN3_SP0_c.t1, CP2_g49320_DN2_SP0_c.t1, CP2_g49323_DN2_SP0_c.t1, CP2_g49322_DN2_SP0_c.t1, CP2_g49317_DN2_SP0_c.t1, CP2_g49315_DN2_SP0_c.t1, CP2_g49313_DN2_SP0_c.t1, CP2_g49311_DN2_SP0_c.t1, CP2_g49324_DN3_SP0_c.t1, CP2_g49308_DN3_SP0_c.t1, CP2_g49318_DN2_SP0_c.t1, CP2_g49309_DN2_SP0_c.t1, CP3_g13395_DN3_SP0_c.t1, CP19_g17927_DN2_SP0_c.t1, CP10_g43750_DN3_SP0_c.t1, CP10_g43755_DN3_SP0_c.t1, CP10_g43753_DN3_SP0_c.t1, CP10_g43751_DN3_SP0_c.t1, CP5_g1519_DN3_SP0_c.t1, CP19_g17922_DN3_SP0_c.t1, CP19_g17924_DN3_SP0_c.t1, CP19_g17925_DN3_SP0_c.t1, CP19_g17930_DN3_SP0_c.t1, CP19_g17929_DN3_SP0_c.t1, CP19_g17928_DN2_SP0_c.t1, CP2_g49218_DN3_SP0_c.t1, CP2_g49219_DN3_SP0_c.t1
OG0000321	AT1G04820.1	CP1_g38103_DN3_SP7_c.t1, CP1_g38104_DN3_SP7_c.t1
OG0000321	AT5G19770.1, AT5G19780.1	CP8_g54355_DN3_SP7_c.t1
OG0000323	AT5G40100.1	CP5_g1415_DN3_SP0_c.t1
OG0000325	AT1G04750.1	CP1_g36601_DN3_SP8_c.t1
OG0000325	AT2G33120.2	CP4_g25441_DN3_SP8_c.t1
OG0000325	AT1G04760.1	CP1_g36600_DN3_SP7_c.t1
OG0000325	AT2G33110.1	CP4_g25440_DN3_SP0_c.t1
OG0000329	AT4G14630.1	CP6_g7476_DN3_SP2_c.t1
OG0000329	AT5G38960.1, AT5G38930.1, AT5G38940.2, AT5G38910.1	CP5_g1591_DN3_SP2_c.t1
OG0000330	AT1G72920.1, AT1G72940.1, AT1G72900.1, AT1G72930.1, AT1G72910.1, AT1G72950.1	CP9_g28926_DN2_SP0_c.t1
OG0000331	AT4G01850.1	CP11_g32138_DN3_SP0_c.t1
OG0000331	AT1G02500.1	CP1_g36812_DN3_SP0_c.t1
OG0000331	AT3G17390.1	CP12_g30079_DN2_SP0_c.t1
OG0000336	AT1G57660.1, AT1G57860.1, AT1G09690.1, AT1G09590.1	CP2_g49689_DN3_SP0_c.t1, CP2_g49549_DN3_SP0_c.t1, CP2_g49694_DN3_SP0_c.t1, CP318_g3528_DN3_SP0_c.t1, CP2_g49696_DN3_SP0_c.t1, CP1_g37240_DN3_SP8_c.t1, CP1_g37250_DN3_SP0_c.t1
OG0000339	AT5G42590.1	CP6_g6808_DN3_SP0_c.t1
OG0000339	AT4G20235.1	CP6_g6806_DN3_SP1_c.t1
OG0000345	AT5G09500.1, AT5G43640.1	CP13_g20386_DN3_SP5_c.t1
OG0000345	AT5G09490.1	CP11_g32977_DN3_SP4_c.t1
OG0000345	AT1G04270.1	CP1_g36652_DN3_SP8_c.t1
OG0000346	AT3G53280.1	CP3_g14031_DN3_SP1_c.t1
OG0000346	AT3G26190.1	CP13_g19387_DN3_SP4_c.t1
OG0000347	AT3G61430.1	CP3_g13253_DN3_SP6_c.t1
OG0000347	AT4G23400.1	CP19_g18321_DN3_SP8_c.t1
OG0000347	AT1G01620.1	CP1_g36454_DN3_SP7_c.t1
OG0000347	AT4G00430.1	CP8_g54641_DN3_SP8_c.t1
OG0000348	AT3G28280.1	CP7_g44496_DN1_SP0_c.t1
OG0000349	AT5G59660.3, AT5G59670.1, AT5G59680.1, AT5G59650.2	CP8_g53987_DN3_SP0_c.t1
OG0000351	AT2G15660.1	CP10_g43144_DN2_SP0_c.t1, CP19_g18198_DN1_SP0_c.t1
OG0000355	AT5G60440.1	CP8_g54064_DN3_SP0_c.t1
OG0000357	AT2G34430.1	CP4_g25299_DN3_SP0_c.t1
OG0000358	AT1G51470.1, AT1G47600.1	CP1_g38042_DN3_SP1_c.t1
OG0000359	AT5G54145.1	CP8_g53388_DN3_SP0_c.t1
OG0000359	AT4G27652.1	CP5_g1241_DN3_SP0_c.t1
OG0000359	AT4G27657.1	CP5_g1239_DN3_SP0_c.t1
OG0000361	AT5G32613.1	CP2_g50574_DN1_SP0_c.t1
OG0000363	AT1G55940.2	CP7_g46446_DN3_SP1_c.t1
OG0000363	AT1G78490.1	CP16_g54939_DN3_SP0_c.t1
OG0000364	AT2G40560.1, AT2G40500.1	CP4_g24666_DN2_SP0_c.t1
OG0000365	AT1G26390.1	CP7_g45280_DN3_SP0_c.t1
OG0000365	AT4G20800.1	CP6_g6777_DN3_SP0_c.t1, CP6_g6776_DN3_SP0_c.t1
OG0000365	AT1G26380.1, AT1G26410.1, AT1G26400.1, AT1G26420.1	CP7_g45281_DN3_SP0_c.t1
OG0000367	AT5G35610.1	CP9_g28612_DN3_SP0_c.t1
OG0000368	AT3G46650.1	CP3_g14737_DN3_SP0_c.t1
OG0000368	AT3G46720.1	CP3_g14733_DN3_SP0_c.t1
OG0000369	AT5G49490.1, AT5G49420.1, AT5G38620.1	CP20_g4172_DN3_SP0_c.t1, CP20_g4168_DN3_SP0_c.t1, CP6_g8949_DN3_SP0_c.t1, CP6_g7552_DN2_SP0_c.t1
OG0000374	AT2G09388.1	CP9_g27342_DN1_SP0_c.t1, CP12_g31107_DN1_SP0_c.t1, CP22_g17483_DN2_SP0_c.t1
OG0000376	AT1G60750.1	CP2_g49234_DN3_SP0_c.t1, CP2_g49233_DN3_SP6_c.t1
OG0000379	AT1G62200.3	CP13_g19606_DN2_SP0_c.t1, CP13_g19604_DN3_SP0_c.t1
OG0000380	AT1G35850.1, AT5G59280.1, AT1G21620.1	CP8_g53979_DN3_SP0_c.t1
