Orthogroup	Arabidopsis_thaliana	Brassica_rapa
OG0000034	AT4G23180.1	XP_009137321.1, XP_009136929.1
OG0000034	AT4G21400.1	XP_009137188.1
OG0000034	AT4G21410.3	XP_009134716.1
OG0000034	AT4G00970.1	XP_009128507.1
OG0000034	AT4G23130.2	XP_009108599.1
OG0000035	AT2G07240.1	XP_033148603.1, XP_033129319.1, XP_033129317.1, XP_018515237.2, XP_033129460.1
OG0000035	AT4G04957.1	XP_033134429.1, XP_018508195.2, XP_009116357.1, XP_009144181.2, XP_009107908.2, XP_009130015.1, XP_033131299.1, XP_033138421.1, XP_033142140.1, XP_033138747.1, XP_033131849.1, XP_009145711.2, XP_009123716.1, XP_033145213.1, XP_033133960.1, XP_033138807.1, XP_033129339.1, XP_033136536.1, XP_033129338.1, XP_009120701.1, XP_033138808.1, XP_033145214.1, XP_009108653.1, XP_009111034.2, XP_033133919.1, XP_009108652.2, XP_033129264.1, XP_033130356.1, XP_033142926.1, XP_033142234.1, XP_033144985.1, XP_033139815.1, XP_033139776.1, XP_009145180.1, XP_033138759.1
OG0000038	AT4G23160.2	XP_018509951.1, XP_009102769.1
OG0000040	AT1G60720.1	XP_009149322.1
OG0000040	AT1G33710.1	XP_033131826.1, XP_009107588.1, XP_033134026.1, XP_009148789.1
OG0000044	AT5G46470.1	XP_033136809.1
OG0000044	AT5G46260.1, AT5G46270.4, AT1G31540.2, AT5G46490.2, AT5G46520.2, AT5G46510.1	XP_018512047.1, XP_009134864.2
OG0000048	AT2G31470.1	XP_033137775.1, XP_033137778.1, XP_033146467.1, XP_033145502.1, XP_033148635.1, XP_033147829.1, XP_033146958.1, XP_009142442.1
OG0000048	AT3G10990.1, AT3G23960.1	XP_009141452.3, XP_009141229.2, XP_033145293.1, XP_033145288.1, XP_009141227.2, XP_009146516.2, XP_018513390.1, XP_033145756.1, XP_033145751.1, XP_033145292.1, XP_018514111.1, XP_033145356.1, XP_009141011.2, XP_033145355.1, XP_009142302.1, XP_018513876.1
OG0000051	AT2G42480.1	XP_009142840.1, XP_033138797.1, XP_033138543.1, XP_033148410.1
OG0000052	AT3G26930.2, AT3G26920.1	XP_009152006.1
OG0000052	AT3G26922.1	XP_033138197.1
OG0000052	AT1G55030.2, AT4G13965.1	XP_033139477.1, XP_033135650.1
OG0000052	AT4G00160.1, AT3G52680.1	XP_009115966.1, XP_033146756.1, XP_033146252.1, XP_033146757.1, XP_033145801.1
OG0000052	AT3G51530.1	XP_009114878.1
OG0000052	AT3G49020.1	XP_033129401.1
OG0000052	AT3G55670.1, AT3G49045.1	XP_033146405.1
OG0000055	AT3G19470.1, AT3G22770.1	XP_009131379.2, XP_033144999.1, XP_009121596.1, XP_033131219.1
OG0000055	AT3G18120.1	XP_033143242.1
OG0000055	AT3G16820.1	XP_033139674.1
OG0000055	AT2G18780.1	XP_033128815.1
OG0000056	AT1G62120.1	XP_033135545.1
OG0000056	AT1G61990.1	XP_009113405.2
OG0000056	AT3G46950.1	XP_009112692.1, XP_009113075.1, XP_009149950.1
OG0000059	AT2G07800.1	XP_033143368.1, XP_033129455.1, XP_033134209.1, XP_033128794.1, XP_033131162.1, XP_033139340.1, XP_009139344.2
OG0000061	AT1G48400.1	XP_009133988.1
OG0000061	AT5G12450.1	XP_033137465.1
OG0000061	AT1G21990.1	XP_033145824.1, XP_009140814.1
OG0000061	AT2G29910.6	XP_009133838.1
OG0000064	AT3G44115.1, AT1G57760.1, AT1G45221.1, AT1G45215.1, AT1G45223.1, AT1G57777.1, AT1G57775.1, AT4G07515.1, AT4G08025.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT5G42955.1, AT5G42957.1, AT5G34882.1, AT3G30383.1, AT3G30385.1, AT3G30387.1, AT5G34908.1	XP_033134282.1, XP_033134283.1, XP_033136270.1, XP_033135749.1, XP_033135748.1, XP_033135746.1, XP_033135747.1, XP_033134284.1, XP_033135687.1, XP_033136269.1, XP_033135741.1, XP_033135477.1, XP_009124650.2, XP_033136272.1, XP_033136268.1, XP_009124058.2, XP_033135744.1, XP_033136271.1, XP_009124087.2, XP_033135742.1, XP_033135743.1, XP_033135685.1, XP_033135686.1, XP_033135684.1, XP_033135688.1
OG0000065	AT5G38250.1, AT5G38240.1	XP_009125065.1
OG0000065	AT5G38260.1	XP_009140044.1
OG0000065	AT5G39030.1, AT5G39020.1	XP_009140101.2, XP_009151130.2
OG0000066	AT5G10390.1, AT3G27360.1, AT5G10400.1, AT5G65360.1, AT1G09200.1, AT5G65350.1	XP_009125303.1, XP_009110843.1, XP_009112178.1, XP_009129719.2, XP_009114048.1, XP_009131154.1
OG0000066	AT5G10980.1	XP_009104699.1, XP_009125263.1, XP_009131189.1, XP_009130061.1, XP_018511751.1
OG0000068	AT3G09160.1	XP_033137765.1, XP_009122279.3, XP_033144949.1, XP_033144954.1
OG0000069	AT3G62850.1	XP_018512413.1, XP_009105410.1
OG0000069	AT5G39640.1	XP_033146576.1
OG0000070	AT1G10230.1, AT2G20160.1, AT2G03190.1, AT3G25650.1, AT2G03170.1	XP_009123589.1, XP_033136464.1
OG0000070	AT1G20140.1, AT2G25700.1	XP_009149503.1
OG0000070	AT1G75950.1	XP_009104691.1, XP_009106248.2, XP_009128146.1
OG0000075	AT4G39580.1	XP_009101862.1
OG0000076	AT4G38940.1	XP_009101919.1
OG0000077	AT5G45220.1	XP_033139970.1
OG0000077	AT1G57850.1	XP_033134075.1
OG0000077	AT1G47370.1	XP_033136168.1, XP_033134192.1
OG0000077	AT1G60320.1, AT1G57830.1	XP_009148269.1
OG0000078	AT5G18030.1	XP_009131641.1
OG0000078	AT5G18050.1, AT5G18060.1, AT5G18020.1, AT5G18080.1, AT5G18010.1	XP_009126231.2, XP_009131624.1, XP_009121025.2, XP_009131630.2, XP_009126229.1, XP_009131627.1
OG0000081	AT3G30165.1	XP_018509212.1, XP_033131829.1, XP_033133259.1
OG0000086	AT5G37870.1, AT5G37900.1, AT5G37910.1	XP_009140166.1
OG0000086	AT1G66620.1, AT1G66630.1	XP_009132807.1
OG0000089	AT5G23860.1	XP_009150907.1
OG0000089	AT5G62700.1, AT5G62690.1	XP_009150241.1, XP_009151388.1
OG0000089	AT2G29550.1	XP_009144365.1, XP_009141007.2
OG0000089	AT5G12250.1	XP_009121863.1
OG0000089	AT5G44340.1	XP_009113926.1, XP_009101721.2
OG0000089	AT4G20890.1	XP_009123590.1
OG0000089	AT1G75780.1	XP_009106234.1
OG0000091	AT3G47570.1	XP_009119422.1
OG0000091	AT5G20480.1	XP_009131797.1, XP_009120802.1
OG0000091	AT5G39390.1	XP_009143939.1, XP_033147614.1
OG0000091	AT3G47110.1	XP_018508112.1
OG0000092	AT2G06541.1	XP_033141924.1, XP_033146510.1
OG0000092	AT1G19260.1, AT4G09660.1	XP_033136537.1
OG0000092	AT3G31402.1	XP_033132217.1
OG0000095	AT1G64840.1	XP_033146353.1, XP_033146352.1
OG0000096	AT3G25460.1	XP_009136113.1
OG0000096	AT5G47300.1	XP_033130152.1
OG0000096	AT3G49980.2	XP_033148466.1
OG0000098	AT1G27540.1, AT1G27580.1, AT1G27550.1, AT2G24080.1	XP_009150964.1, XP_009130073.1
OG0000100	AT5G38850.1	XP_009140612.2
OG0000100	AT1G63730.1, AT1G63740.2	XP_018509586.1
OG0000100	AT1G63860.1	XP_033135318.1
OG0000102	AT4G05497.1	XP_009140229.1
OG0000102	AT5G52480.1	XP_009121666.1
OG0000102	AT4G05460.1	XP_009134336.2, XP_009110937.1, XP_033135887.1
OG0000107	AT2G27010.1, AT2G27000.1	XP_033131954.1, XP_009113964.1
OG0000107	AT3G20140.1	XP_018514730.2
OG0000107	AT4G15380.1, AT3G20080.1	XP_009140112.1, XP_033142636.1
OG0000107	AT3G20100.1	XP_033147102.1
OG0000107	AT3G20130.1	XP_009136238.1, XP_009145675.1
OG0000107	AT3G20960.2, AT3G20090.2, AT2G05180.1, AT4G15360.1	XP_009111243.1
OG0000107	AT4G15330.1	XP_009107347.1, XP_009117328.1
OG0000108	AT3G53750.1, AT2G37620.1	XP_009133195.1, XP_009141678.2
OG0000108	AT3G12110.1	XP_009146646.1
OG0000108	AT5G09810.1	XP_033138402.1, XP_009131124.2, XP_009125344.2
OG0000108	AT3G18780.2	XP_009145858.2, XP_018513774.1
OG0000108	AT1G49240.1	XP_009135599.1
OG0000110	AT1G36510.1, AT3G32260.1	XP_009135134.2, XP_009151027.2, XP_033142705.1, XP_033129379.1, XP_033134264.1, XP_033148525.1, XP_033147962.1, XP_018511583.2, XP_018512883.1, XP_033145191.1, XP_033134317.1, XP_033147814.1
OG0000111	AT4G01380.1	XP_009102969.1, XP_009104069.1, XP_009121559.1, XP_009119630.1, XP_009116825.1
OG0000114	AT1G36970.1, AT4G05555.1, AT3G31560.1, AT1G36230.1, AT2G07280.1	XP_033145921.1
OG0000116	AT1G14800.1	XP_033143201.1, XP_009115039.1, XP_009137034.2, XP_033132498.1, XP_033135118.1, XP_033134167.1, XP_009134460.2, XP_009122979.1, XP_033135204.1, XP_033137857.1, XP_018510163.1, XP_018509848.2, XP_018511518.1, XP_018512844.2, XP_033134594.1
OG0000117	AT1G23670.2	XP_009115511.1
OG0000117	AT1G23690.1	XP_033130333.1
OG0000117	AT1G23570.2, AT1G23580.1	XP_033132544.1, XP_033132543.1, XP_009110093.1, XP_033132540.1, XP_009112003.1
OG0000118	AT4G33290.1, AT2G38590.1, AT5G41490.1, AT5G41500.1, AT5G41510.1	XP_009113644.3, XP_009115539.2, XP_033135170.1, XP_033135169.1, XP_033135012.1, XP_009135990.1, XP_033135900.1
OG0000118	AT3G23680.1	XP_033143226.1
OG0000119	AT3G43180.1	XP_033138816.1
OG0000119	AT3G45540.1	XP_033139673.1
OG0000119	AT2G26135.1, AT2G26130.1, AT3G43750.1, AT3G45560.1, AT2G16520.1, AT3G45460.1, AT3G45480.1, AT3G45510.1, AT3G45570.1, AT3G45580.1	XP_009140726.1
OG0000119	AT3G45555.1	XP_009102480.1
OG0000121	AT2G01050.1	XP_009101806.2, XP_033141777.1, XP_009144746.3
OG0000123	AT5G51105.1	XP_009132628.1, XP_033142284.1
OG0000124	AT5G40595.1	XP_009145189.1
OG0000125	AT1G07560.1	XP_009118428.1
OG0000125	AT1G49100.1	XP_033146903.1
OG0000125	AT1G51820.1, AT1G51850.2, AT1G51830.2	XP_009144873.1
OG0000125	AT3G21340.1	XP_009135746.2, XP_018514690.2
OG0000126	AT3G29638.1	XP_033136403.1
OG0000126	AT4G10200.1	XP_033133445.1
OG0000126	AT2G19960.3, AT2G16040.1	XP_033141534.1
OG0000127	AT5G22880.1	XP_009120626.1, XP_009131894.1
OG0000127	AT2G37470.1	XP_009103877.2
OG0000127	AT3G53650.1	XP_009139383.1, XP_009116061.1
OG0000127	AT5G59910.1, AT3G45980.1	XP_009120513.1
OG0000127	AT2G28720.1	XP_009133865.1, XP_009140934.1, XP_009103710.2
OG0000128	AT3G59270.1	XP_009104190.1
OG0000128	AT3G59200.1	XP_009116587.1, XP_018508692.1
OG0000128	AT3G59210.1	XP_009104193.2
OG0000129	AT1G65120.2	XP_033146831.1, XP_033146830.1
OG0000129	AT1G65200.1	XP_009127389.1
OG0000129	AT1G52450.1, AT1G52430.1, AT5G61950.1, AT5G61940.2, AT2G27630.1, AT2G27650.1, AT5G51530.1	XP_009130179.2, XP_009130183.1
OG0000130	AT4G03292.1, AT2G02650.1, AT4G09775.1	XP_009124883.1
OG0000130	AT5G44470.1	XP_033147807.1
OG0000130	AT3G32130.1	XP_033138183.1
OG0000130	AT3G25270.1, AT2G04420.1, AT1G50160.1	XP_033138416.1
OG0000130	AT1G04625.1, AT2G46460.1, AT1G47497.1, AT2G11205.1, AT1G27870.1, AT1G77815.1	XP_009107043.1, XP_033130441.1
OG0000132	AT3G54910.1	XP_009116244.2, XP_009116245.1, XP_009116184.2, XP_033137144.1, XP_018510613.1
OG0000132	AT5G38590.2, AT5G38570.1, AT5G38565.1	XP_009144883.2
OG0000134	AT1G57650.1, AT2G14080.1	XP_018508210.2
OG0000136	AT1G40390.1	XP_033133938.1
OG0000137	AT5G55370.1	XP_033144579.1, XP_009127007.2, XP_033139637.1
OG0000137	AT5G55380.1	XP_009111746.1, XP_009127005.1
OG0000137	AT5G55320.1	XP_018510146.1
OG0000137	AT5G55360.1	XP_033138715.1
OG0000137	AT5G55350.1	XP_009132393.1
OG0000137	AT5G55340.1	XP_009132642.1, XP_009120051.1
OG0000141	AT1G12290.1	XP_033135443.1
OG0000141	AT4G10780.1	XP_009118104.3
OG0000141	AT1G12280.1	XP_018510931.2
OG0000141	AT1G12220.1	XP_009110666.1
OG0000141	AT1G12210.1	XP_009118092.2, XP_033134902.1
OG0000148	AT1G47765.1, AT3G10240.1	XP_033136081.1, XP_009145753.1, XP_009113058.1, XP_009124318.1
OG0000151	AT3G55110.1	XP_009116212.1, XP_009103951.1, XP_033146519.1
OG0000151	AT3G55100.1	XP_009139199.2
OG0000151	AT2G39350.1	XP_033148760.1
OG0000151	AT3G55090.1	XP_009139200.1
OG0000151	AT2G37360.1	XP_009141649.1
OG0000151	AT5G13580.1	XP_009121752.1
OG0000153	AT2G29330.1	XP_033147142.1
OG0000153	AT2G30670.1	XP_009140992.3, XP_009140985.1, XP_033147950.1, XP_018514500.2
OG0000153	AT2G29310.1	XP_009133859.1, XP_009123599.1, XP_009140991.1, XP_009140982.1
OG0000153	AT1G07450.1	XP_009118438.1
OG0000154	AT4G16050.1	XP_009107881.1
OG0000154	AT1G51538.1	XP_018515541.1
OG0000157	AT1G32660.1	XP_009102427.1, XP_033130592.1, XP_033131848.1
OG0000158	AT4G36840.1	XP_033136525.1
OG0000159	AT4G03728.1	XP_033134137.1
OG0000160	AT2G18960.1	XP_009112568.1, XP_009102205.2
OG0000160	AT4G30190.2	XP_009137896.1, XP_009137895.2, XP_009128001.1, XP_009109000.1
OG0000160	AT5G57350.1	XP_033141904.1, XP_009120261.2
OG0000160	AT2G07560.1	XP_018513014.1
OG0000160	AT3G42640.1	XP_009128205.1
OG0000160	AT1G80660.1	XP_018508569.2, XP_009106729.2
OG0000160	AT2G24520.2	XP_009117122.1
OG0000162	AT2G33200.1	XP_009132915.1
OG0000162	AT2G33190.1	XP_009143883.1
OG0000162	AT2G04830.1, AT2G03610.1	XP_033129079.1
OG0000163	AT2G06105.1	XP_033139285.1, XP_033146254.1, XP_009108251.2, XP_033131804.1, XP_033131809.1
OG0000165	AT2G15010.1	XP_009127572.1
OG0000165	AT5G36910.1	XP_009134335.1, XP_009135150.1
OG0000166	AT1G74180.1	XP_033131489.1, XP_033141680.1
OG0000166	AT1G74190.1	XP_033141673.1
OG0000167	AT3G23260.1	XP_033131842.1
OG0000169	AT2G16220.1, AT2G16450.1, AT2G15640.1, AT2G02660.1, AT2G02890.1, AT2G23160.1	XP_033132763.1
OG0000170	AT3G61040.1	XP_009116769.1
OG0000170	AT1G33720.1	XP_018514087.1
OG0000170	AT2G45570.1	XP_009142347.1
OG0000171	AT5G53300.1	XP_009119874.1
OG0000171	AT1G64230.4	XP_009112891.1
OG0000171	AT2G16740.1	XP_009121200.1
OG0000171	AT5G56150.1	XP_018512593.2
OG0000171	AT3G08700.1, AT3G08690.1	XP_009123804.1, XP_009146989.1, XP_009135093.1
OG0000171	AT4G27960.2	XP_009109116.1
OG0000172	AT3G25727.1	XP_033148633.1
OG0000173	AT2G14288.1	XP_033128749.1, XP_033129164.1
OG0000174	AT1G52603.1	XP_009139373.1, XP_009111365.1, XP_009123003.1
OG0000174	AT5G33393.1	XP_009130013.1
OG0000175	AT1G23490.1, AT1G70490.1	XP_033134622.1, XP_009103171.1, XP_009127800.1
OG0000175	AT5G14670.1	XP_033137829.1
OG0000175	AT3G62290.1	XP_009133804.2, XP_009118871.2, XP_009142560.1
OG0000176	AT3G05370.1	XP_009124082.1
OG0000176	AT3G05360.1	XP_033133290.1, XP_033133266.1, XP_009108377.1
OG0000177	AT3G25490.1	XP_033132885.1
OG0000177	AT1G21210.1	XP_009103302.2
OG0000178	AT4G04490.1	XP_033136390.1
OG0000178	AT4G04510.2	XP_009134310.1
OG0000178	AT4G04500.1	XP_009134313.1
OG0000178	AT4G04570.1	XP_009114346.2, XP_009134304.1, XP_033142043.1, XP_033142131.1, XP_033136829.1, XP_009134308.2
OG0000178	AT4G04540.1	XP_033141427.1, XP_009144510.1
OG0000182	AT3G61100.1, AT3G61090.1	XP_009116717.1
OG0000183	AT1G66410.2, AT5G37780.3	XP_009105204.1
OG0000183	AT5G21274.1, AT2G27030.3	XP_009140755.1
OG0000184	AT3G22040.1	XP_009136545.2, XP_009136566.1, XP_018508379.1, XP_009143886.1, XP_009143893.1
OG0000185	AT1G23970.2, AT1G23950.2	XP_033131216.1, XP_018508547.1
OG0000186	AT1G61840.1, AT2G40050.1	XP_009133030.1, XP_033142532.1
OG0000188	AT2G13630.1, AT3G04660.1	XP_033134665.1, XP_033135894.1, XP_009124984.2, XP_033137619.1, XP_033136539.1
OG0000189	AT2G17800.1	XP_009112460.1, XP_009121076.1, XP_009124572.1, XP_009115809.1, XP_009138399.1, XP_009148517.1
OG0000189	AT4G35020.1	XP_009136330.1
OG0000189	AT1G20090.1	XP_009110241.1
OG0000192	AT5G43690.1	XP_033137383.1
OG0000192	AT4G26280.1	XP_009142142.1
OG0000192	AT3G45080.1, AT3G45070.2, AT2G27570.1	XP_009124814.1
OG0000193	AT1G47390.1	XP_033134338.1, XP_033147866.1
OG0000193	AT1G32430.1	XP_033147857.1
OG0000196	AT5G41540.1	XP_033131243.1, XP_009140116.1, XP_009125379.2
OG0000196	AT5G41750.1, AT5G41740.2, AT5G41550.1	XP_033141524.1
OG0000197	AT5G37760.1	XP_033133256.1
OG0000197	AT5G37750.1, AT5G37440.1	XP_009108433.1
OG0000197	AT4G19570.1	XP_033138466.1
OG0000197	AT4G19580.1, AT5G62780.1	XP_033133253.1
OG0000198	AT4G14060.1, AT2G01530.1	XP_009101339.1, XP_009114232.1, XP_009129226.1
OG0000198	AT1G14960.1, AT1G30990.1	XP_009148880.1
OG0000198	AT1G14950.1	XP_009117861.2
OG0000198	AT3G26450.1, AT3G26460.1	XP_009137379.1
OG0000199	AT4G29770.2, AT5G18065.1, AT5G18040.1, AT4G29760.1	XP_009127652.1, XP_009108973.2, XP_009102300.2, XP_009108976.2
OG0000200	AT1G05550.3	XP_009119144.1, XP_009111048.2
OG0000200	AT1G05540.1	XP_009111047.1, XP_009119146.1
OG0000200	AT1G30170.1	XP_009109613.1
OG0000200	AT1G30160.2	XP_009109611.1
OG0000203	AT3G58270.1	XP_033131129.1
OG0000203	AT3G58370.1	XP_033136042.1, XP_009116516.1, XP_033136014.1
OG0000203	AT3G58360.1	XP_009138966.1, XP_009138965.1
OG0000203	AT3G58350.1	XP_009104131.1
OG0000209	AT5G10340.1	XP_018509924.1, XP_033135419.1
OG0000210	AT2G28580.2, AT2G44930.1	XP_009143082.1
OG0000210	AT3G60470.1	XP_009138832.1, XP_033145512.1, XP_009138923.1
OG0000216	AT4G12370.1	XP_033134839.1, XP_009144491.1
OG0000216	AT4G10700.1, AT4G10660.1, AT4G10695.1	XP_033142073.1, XP_033142074.1
OG0000216	AT1G57790.1	XP_009102525.1
OG0000216	AT3G56470.1	XP_009116349.1
OG0000225	AT1G69630.1	XP_009106592.3
OG0000225	AT1G78750.1	XP_033132165.1, XP_033128822.1, XP_033129411.1, XP_033129810.1, XP_009151530.2, XP_033128821.1, XP_009106589.1
OG0000227	AT3G05660.1	XP_009140710.1
OG0000227	AT3G11010.2, AT5G27060.2, AT3G11080.1	XP_018508728.1, XP_033145018.1, XP_009122402.1, XP_009135147.2
OG0000229	AT5G28820.1	XP_009151331.2, XP_033145123.1, XP_033134005.1, XP_033141396.1
OG0000229	AT2G29880.1	XP_009124766.1
OG0000229	AT5G35540.1	XP_009113706.2
OG0000233	AT5G07550.1	XP_009122326.1, XP_033144505.1
OG0000233	AT5G07571.1, AT5G07560.1	XP_018511882.1, XP_009125692.3, XP_033144506.1, NP_001288906.1
OG0000233	AT5G07540.1	XP_033141823.1, XP_009122327.1
OG0000233	AT5G07510.1, AT5G07600.1, AT5G07520.1	XP_009122331.1, XP_009110375.3, XP_033139819.1
OG0000234	AT5G02980.1, AT5G02995.1, AT5G03020.1, AT5G03010.1, AT5G03000.1, AT3G46050.1	XP_009110744.2
OG0000235	AT3G25080.1	XP_033147349.1
OG0000235	AT1G24388.1	XP_009115349.1
OG0000236	AT1G69650.1	XP_033147566.1
OG0000236	AT2G15710.1	XP_009109227.1
OG0000237	AT3G10430.1, AT4G04690.1, AT3G08750.1	XP_009135994.1, XP_018513505.1, XP_033143227.1, XP_018513498.1, XP_009147171.1, XP_018515099.1, XP_009122925.1, XP_018514914.1
OG0000237	AT3G22650.2	XP_009135819.1
OG0000237	AT3G21410.1	XP_033144214.1
OG0000238	AT1G70840.1	XP_033141574.1, XP_009127833.1
OG0000238	AT5G28010.1	XP_009103193.1
OG0000241	AT4G21860.1	XP_009137217.1, XP_009135314.1
OG0000241	AT4G21850.1	XP_009108531.1
OG0000241	AT4G04800.1	XP_009114544.1
OG0000241	AT4G04810.1, AT4G04830.1	XP_009134322.1
OG0000242	AT5G48670.1	XP_009144622.1, XP_009114607.1
OG0000242	AT5G26630.1	XP_009151152.2, XP_033140482.1
OG0000243	AT1G29450.1	XP_009115233.1
OG0000243	AT1G29420.2, AT1G29510.1	XP_009109661.1
OG0000244	AT4G05230.1	XP_009114492.1, XP_009108752.1
OG0000244	AT4G03370.1, AT4G03360.1, AT4G02950.1, AT4G03350.1, AT4G02970.1	XP_009111247.1
OG0000246	AT3G53160.1	XP_009116009.2
OG0000246	AT2G36790.1, AT2G36800.1	XP_009133099.1
OG0000246	AT2G36750.1	XP_009114411.2, XP_009141608.1
OG0000246	AT2G36760.1	XP_009141607.1
OG0000246	AT2G36780.1, AT2G36770.1	XP_009133097.2, XP_009143554.2, XP_009143555.1
OG0000247	AT5G38500.1, AT3G49610.1	XP_009119459.1
OG0000247	AT1G32030.1	XP_033136267.1
OG0000248	AT1G70040.1	XP_009105678.1, XP_009105679.1
OG0000248	AT1G70120.1	XP_033140079.1
OG0000249	AT1G43260.1	XP_033147169.1, XP_033129329.1
OG0000250	AT4G02890.3	XP_009134330.1, XP_018510294.1
OG0000250	AT5G37640.1, AT5G03240.1, AT1G65350.1	XP_009122723.1
OG0000251	AT3G26300.1, AT3G26310.1	XP_009123566.1
OG0000251	AT3G26330.1, AT3G26320.1	XP_009123565.1
OG0000251	AT2G02580.1	XP_009121542.3
OG0000251	AT5G57260.1	XP_009132141.2
OG0000251	AT3G26290.2	XP_009121576.1
OG0000252	AT5G37170.1	XP_009126727.1, XP_009108914.1
OG0000252	AT1G77520.1	XP_009128234.1, XP_009101726.1
OG0000253	AT3G12580.1	XP_009135236.2, XP_009120551.1
OG0000254	AT4G15680.1	XP_033146251.1, XP_009146815.1
OG0000256	AT3G17500.1	XP_009107687.1
OG0000257	AT1G75830.1	XP_009128139.1
OG0000260	AT4G32170.1	XP_009101866.1, XP_009101865.1
OG0000260	AT4G39510.1	XP_009123569.1
OG0000260	AT1G47620.1	XP_009128105.1, XP_009101867.1
OG0000262	AT1G62170.2, AT2G14540.1	XP_033135357.1
OG0000263	AT5G18880.1	XP_033129480.1, XP_033143337.1, XP_009102113.2, XP_009102169.1, XP_018511108.1
OG0000269	AT5G59720.1	XP_009131977.2, XP_009120488.1
OG0000269	AT3G46230.1	XP_009149982.1
OG0000269	AT1G07400.1, AT1G59860.1, AT2G29500.1	XP_009144371.1, XP_009118237.2
OG0000270	AT1G63320.1, AT1G63330.1	XP_033136803.1
OG0000273	AT5G53640.1	XP_009127150.1
OG0000273	AT3G23955.2	XP_033138272.1
OG0000275	AT4G39760.1	XP_033128791.1, XP_009152161.2, XP_009152162.1, XP_009114077.2
OG0000275	AT4G39753.1	XP_009109984.2, XP_009109983.2, XP_009127111.1
OG0000279	AT5G44950.1, AT5G44970.1, AT5G44980.1, AT5G44940.1, AT5G44960.1	XP_009101629.1, XP_033136859.1
OG0000282	AT4G22170.1	XP_009135671.1
OG0000282	AT4G22180.1, AT4G22660.1, AT4G22165.1, AT4G14165.1	XP_033143298.1, XP_009126213.1
OG0000284	AT5G19270.1	XP_033134375.1, XP_009119449.1, XP_018509889.1
OG0000285	AT4G21380.1	XP_009134691.2
OG0000285	AT4G27290.2	XP_009137650.1, XP_009143289.2
OG0000285	AT1G65800.1, AT1G65790.1	XP_009133539.2, XP_033130819.1, XP_018508817.2, XP_033130815.1
OG0000286	AT3G10750.1	XP_033147875.1, XP_009146809.1, XP_033148625.1, XP_009147163.1, XP_033147883.1, XP_033147863.1
OG0000286	AT5G44850.1	XP_033133461.1, XP_033133451.1
OG0000289	AT2G33080.1	XP_009141457.2, XP_009141190.2, XP_033145495.1
OG0000289	AT2G25440.1	XP_033146269.1
OG0000290	AT1G49920.1, AT1G64253.1	XP_018509758.1
