Orthogroup	Arabidopsis_thaliana	Cardamine_hirsuta
OG0000052	AT2G04230.1	CARHR157840
OG0000052	AT3G55670.1	CARHR162520
OG0000055	AT3G19470.1, AT3G22770.1	CARHR100810, CARHR107470, CARHR177430, CARHR192030
OG0000055	AT3G17400.1	CARHR222490, CARHR100820
OG0000055	AT3G17620.1	CARHR092560, CARHR092720
OG0000055	AT3G18120.1	CARHR094260
OG0000055	AT3G16740.1	CARHR092150, CARHR092000
OG0000055	AT2G18780.1	CARHR111010
OG0000055	AT2G17830.1, AT5G42460.1	CARHR108730, CARHR108330, CARHR108320, CARHR107820, CARHR108260, CARHR135370
OG0000055	AT3G17320.1	CARHR092630, CARHR092620, CARHR213520
OG0000056	AT1G61960.1	CARHR050320
OG0000056	AT1G62490.1	CARHR050020
OG0000056	AT1G62150.1	CARHR049970
OG0000056	AT1G62110.1	CARHR049990, CARHR050000
OG0000056	AT1G61980.1	CARHR050280, CARHR049980, CARHR050290
OG0000056	AT1G61970.1	CARHR050160
OG0000056	AT3G46950.1	CARHR155600
OG0000059	AT2G07800.1	CARHR293330, CARHR148640, CARHR151940, CARHR118340
OG0000060	AT1G07660.1	CARHR154290
OG0000060	AT5G59690.1	CARHR163630
OG0000061	AT1G47920.1, AT1G48390.1	CARHR228580
OG0000061	AT1G48400.1	CARHR270010
OG0000061	AT5G12450.1	CARHR039590
OG0000061	AT2G29910.6	CARHR123070
OG0000061	AT1G64540.1, AT5G35995.1	CARHR151510, CARHR219570
OG0000064	AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT5G42955.1, AT5G42957.1, AT5G34882.1, AT3G30383.1, AT3G30385.1, AT3G30387.1	CARHR054420, CARHR289730, CARHR289690
OG0000065	AT1G67000.1, AT1G66930.2	CARHR059270, CARHR059250
OG0000065	AT1G66920.2	CARHR059080
OG0000065	AT5G38240.1	CARHR214400
OG0000065	AT5G39030.1	CARHR263400
OG0000065	AT5G39020.1	CARHR263410
OG0000066	AT3G27360.1	CARHR202910, CARHR279310
OG0000066	AT1G09200.1	CARHR279320, CARHR202900
OG0000066	AT1G13370.1	CARHR068990
OG0000066	AT5G10980.1	CARHR246630, CARHR202310, CARHR246640
OG0000068	AT5G03495.1, AT5G03480.1	CARHR210190
OG0000069	AT1G06925.1	CARHR012810
OG0000070	AT1G10230.1	CARHR010350
OG0000070	AT2G20160.1, AT2G03190.1, AT3G25650.1, AT2G03170.1	CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500
OG0000070	AT1G20140.1, AT2G25700.1	CARHR020650
OG0000070	AT1G75950.1	CARHR069500
OG0000070	AT5G42190.1	CARHR284690
OG0000070	AT4G34210.1	CARHR052170, CARHR288810
OG0000072	AT3G42140.1	CARHR153090
OG0000075	AT4G39550.1	CARHR247180
OG0000075	AT4G39580.1	CARHR247140
OG0000075	AT4G39560.1	CARHR247160
OG0000075	AT5G49000.2	CARHR286190, CARHR286200, CARHR286160
OG0000076	AT4G38940.1	CARHR247830
OG0000077	AT1G57670.1	CARHR054510
OG0000077	AT2G03030.1, AT2G03300.1	CARHR145640
OG0000077	AT1G09665.1	CARHR009640
OG0000078	AT3G03820.1	CARHR077950
OG0000078	AT3G03850.1	CARHR077940
OG0000078	AT5G18050.1, AT5G18060.1, AT5G18020.1, AT5G18080.1, AT5G18010.1	CARHR194990, CARHR195030, CARHR195060, CARHR195010
OG0000079	AT2G07190.1	CARHR151670, CARHR119610
OG0000081	AT2G37125.1, AT1G48285.1	CARHR217030
OG0000081	AT4G07445.1	CARHR117010
OG0000081	AT3G30165.1	CARHR264280
OG0000086	AT5G62800.1	CARHR276580
OG0000086	AT5G37890.1	CARHR214830
OG0000086	AT1G66610.1	CARHR058600
OG0000089	AT5G23860.1	CARHR189700
OG0000089	AT2G29550.1	CARHR122890
OG0000089	AT5G12250.1	CARHR200860
OG0000089	AT5G44340.1	CARHR178800
OG0000089	AT4G20890.1	CARHR227450
OG0000089	AT1G20010.1	CARHR020480
OG0000089	AT1G75780.1	CARHR069200
OG0000091	AT5G20480.1	CARHR192340, CARHR192330
OG0000091	AT5G39390.1	CARHR262970
OG0000092	AT1G42710.1	CARHR180960, CARHR036310
OG0000092	AT3G29765.1	CARHR216160
OG0000092	AT3G30235.1	CARHR150890
OG0000092	AT1G19260.1, AT4G09660.1	CARHR293270
OG0000095	AT1G64840.1	CARHR116980, CARHR117870, CARHR117890, CARHR116700, CARHR116940
OG0000095	AT2G24250.1	CARHR117860
OG0000096	AT3G25460.1	CARHR084920
OG0000096	AT3G44120.1, AT2G07140.1, AT3G18320.1, AT3G18330.1, AT3G18910.1, AT3G19410.1	CARHR093690
OG0000096	AT3G18905.1	CARHR092810
OG0000096	AT1G25141.1	CARHR101790
OG0000096	AT3G49980.2	CARHR159080
OG0000098	AT1G27540.1, AT1G27580.1, AT1G27550.1	CARHR174970
OG0000100	AT1G63870.1	CARHR047080
OG0000100	AT1G56520.2, AT1G56510.1	CARHR055030
OG0000100	AT1G63740.2	CARHR047580, CARHR047440, CARHR261260, CARHR047450
OG0000100	AT1G63880.1	CARHR047140
OG0000100	AT5G35510.2	CARHR183030
OG0000102	AT5G52480.1	CARHR252110, CARHR252090, CARHR252060
OG0000105	AT5G38344.1	CARHR106060
OG0000105	AT4G04110.1	CARHR175830, CARHR174830, CARHR175790, CARHR175310, CARHR289490, CARHR175270, CARHR292210, CARHR178690, CARHR116320, CARHR175110, CARHR175150, CARHR175080
OG0000106	AT2G07760.1	CARHR055550
OG0000107	AT2G27010.1, AT2G27000.1	CARHR119260, CARHR119250
OG0000107	AT3G20140.1	CARHR095660
OG0000107	AT4G15380.1, AT3G20080.1	CARHR095650
OG0000107	AT3G20100.1	CARHR095610
OG0000107	AT3G20960.2	CARHR096820, CARHR096830
OG0000107	AT3G20090.2	CARHR097220, CARHR095680, CARHR095690, CARHR095670
OG0000108	AT3G53750.1, AT2G37620.1	CARHR131960
OG0000108	AT3G46520.1, AT5G59370.1	CARHR285740
OG0000108	AT3G12110.1	CARHR086670
OG0000108	AT5G09810.1	CARHR203590
OG0000108	AT3G18780.2	CARHR094190
OG0000110	AT1G36510.1, AT3G32260.1	CARHR151660
OG0000111	AT3G53330.1, AT4G01380.1	CARHR148290
OG0000114	AT1G36970.1, AT4G05555.1, AT3G31560.1	CARHR258830
OG0000117	AT1G23510.1	CARHR023940
OG0000117	AT1G23520.1	CARHR023950
OG0000117	AT1G23645.1	CARHR024070
OG0000117	AT1G23690.1	CARHR024100
OG0000118	AT2G38590.1	CARHR101240, CARHR101220
OG0000118	AT5G41490.1, AT5G41500.1, AT5G41510.1	CARHR133070, CARHR133060
OG0000118	AT3G25090.1, AT3G23685.1	CARHR099660
OG0000119	AT3G43180.1	CARHR150070, CARHR118170
OG0000119	AT3G45540.1	CARHR059580, CARHR150110
OG0000119	AT2G26135.1, AT2G26130.1	CARHR114860
OG0000119	AT3G43750.1	CARHR256190, CARHR263010
OG0000119	AT3G45560.1	CARHR150080
OG0000119	AT2G16520.1	CARHR150140, CARHR143200, CARHR207890
OG0000119	AT3G45480.1, AT3G45510.1	CARHR150200
OG0000121	AT2G01050.1	CARHR101000, CARHR114800
OG0000122	AT5G56390.1	CARHR269920
OG0000122	AT1G32375.1	CARHR036540, CARHR031780
OG0000123	AT5G36739.1, AT5G36662.1	CARHR283690, CARHR187420
OG0000123	AT5G36460.1, AT5G36450.1, AT5G36400.1, AT5G36390.1, AT5G36430.1, AT5G36350.1, AT5G36380.1, AT5G36420.1, AT5G36360.1, AT5G36500.1, AT5G36490.1, AT5G36330.1, AT5G36340.1, AT5G36310.1, AT5G36540.1, AT5G36550.1, AT5G36520.1, AT5G36410.1, AT5G36440.1, AT5G36470.1, AT5G36370.1, AT5G36738.1, AT5G36480.1, AT5G36320.1, AT5G36658.1, AT5G36661.1, AT5G36659.1	CARHR274650, CARHR274680, CARHR016560, CARHR042770
OG0000123	AT3G42565.1	CARHR274670
OG0000125	AT2G29000.1	CARHR122230
OG0000125	AT1G07560.1	CARHR007350
OG0000125	AT1G49100.1	CARHR039100
OG0000125	AT1G51820.1, AT1G51850.2, AT1G51830.2	CARHR041970
OG0000125	AT2G04300.2	CARHR102140
OG0000125	AT3G21340.1	CARHR097260
OG0000125	AT1G51810.1	CARHR258870
OG0000126	AT1G35150.1	CARHR048790, CARHR257160
OG0000126	AT5G35475.1	CARHR184750
OG0000126	AT3G29638.1	CARHR217430, CARHR184740
OG0000126	AT2G06500.1	CARHR128510
OG0000127	AT5G22880.1	CARHR190650
OG0000127	AT3G53650.1	CARHR163570
OG0000127	AT5G02570.1	CARHR210790
OG0000127	AT5G59910.1	CARHR273520
OG0000127	AT3G46030.1	CARHR154390
OG0000127	AT2G28720.1	CARHR121850
OG0000128	AT3G59270.1	CARHR061850
OG0000128	AT3G59250.1	CARHR169630
OG0000128	AT3G59240.1	CARHR123020, CARHR061840
OG0000128	AT3G59200.1	CARHR169580
OG0000128	AT3G59210.1	CARHR169600
OG0000128	AT4G14096.1	CARHR169570
OG0000129	AT1G65120.2	CARHR038520, CARHR038560, CARHR056630
OG0000129	AT1G65130.1	CARHR056640
OG0000129	AT1G52450.1, AT1G52430.1, AT5G61950.1, AT5G61940.2	CARHR275720, CARHR275710
OG0000129	AT2G27630.1, AT2G27650.1	CARHR120250, CARHR120240, CARHR120610
OG0000129	AT1G65110.2	CARHR038530, CARHR038540, CARHR056610
OG0000130	AT3G09510.1, AT2G13980.1, AT5G26617.1	CARHR158410, CARHR153220, CARHR117340, CARHR057000
OG0000130	AT5G44470.1	CARHR287060, CARHR146840
OG0000130	AT3G23320.1, AT5G52115.1, AT5G65005.1, AT1G52990.1	CARHR038370, CARHR217450
OG0000130	AT2G46460.1, AT1G47497.1	CARHR123710, CARHR043800
OG0000132	AT3G54910.1	CARHR164880
OG0000132	AT4G09920.1	CARHR256230
OG0000132	AT5G38590.2, AT5G38570.1, AT5G38565.1	CARHR214020
OG0000132	AT5G38580.1	CARHR214030
OG0000134	AT1G57650.1	CARHR054550, CARHR054640, CARHR054580
OG0000134	AT1G65850.2	CARHR106050
OG0000134	AT5G11250.2	CARHR202050
OG0000136	AT1G40390.1	CARHR186370
OG0000137	AT5G55370.1	CARHR268710
OG0000137	AT5G55380.1	CARHR268720
OG0000137	AT5G55360.1	CARHR268700
OG0000137	AT5G55350.1	CARHR268690
OG0000137	AT5G55340.1	CARHR268680
OG0000138	AT3G62440.1	CARHR052000
OG0000138	AT3G58980.1	CARHR169360
OG0000138	AT3G58960.1	CARHR169320
OG0000138	AT3G58920.1	CARHR169270
OG0000141	AT1G12290.1	CARHR012600
OG0000141	AT4G10780.1	CARHR255820
OG0000141	AT1G12280.1	CARHR012590
OG0000141	AT1G12220.1	CARHR012520
OG0000141	AT1G12210.1	CARHR013070
OG0000141	AT5G63020.1	CARHR048950, CARHR048730, CARHR048980, CARHR049220, CARHR049190, CARHR048930, CARHR049010, CARHR156260
OG0000148	AT1G50870.1	CARHR040900
OG0000148	AT1G47730.1	CARHR037710, CARHR037720, CARHR037850
OG0000151	AT3G55110.1	CARHR165130
OG0000151	AT3G55100.1	CARHR165120
OG0000151	AT2G39350.1	CARHR134140
OG0000151	AT3G55090.1	CARHR165110
OG0000151	AT3G53510.1	CARHR163410
OG0000151	AT2G37360.1	CARHR132240
OG0000151	AT5G13580.1	CARHR199860
OG0000153	AT2G30670.1	CARHR124170, CARHR124160
OG0000153	AT2G29310.1	CARHR122560
OG0000153	AT2G29300.2, AT2G29320.1	CARHR122540
OG0000153	AT1G07450.1	CARHR007190
OG0000154	AT1G50830.1	CARHR040870
OG0000154	AT5G18510.1	CARHR121480
OG0000154	AT4G16050.1	CARHR290670
OG0000154	AT1G50790.1, AT1G50820.2	CARHR041490, CARHR040850
OG0000154	AT1G50750.1	CARHR040860, CARHR041500
OG0000157	AT1G32660.1	CARHR030250
OG0000158	AT4G36840.1	CARHR113640
OG0000160	AT2G18960.1	CARHR109500
OG0000160	AT4G30190.2	CARHR238090
OG0000160	AT5G57350.1	CARHR271150
OG0000160	AT2G07560.1	CARHR104060
OG0000160	AT3G42640.1	CARHR153650
OG0000160	AT1G80660.1	CARHR073860
OG0000160	AT2G24520.2	CARHR117520
OG0000162	AT2G33190.1	CARHR127170
OG0000162	AT2G04830.1	CARHR102790, CARHR102800, CARHR102820
OG0000162	AT2G03610.1	CARHR145920
OG0000162	AT2G04810.1, AT2G04840.1	CARHR102810, CARHR103310
OG0000163	AT2G06105.1	CARHR259710, CARHR057870, CARHR288340, CARHR058120, CARHR218430
OG0000165	AT2G15010.1	CARHR085710, CARHR085700, CARHR085180
OG0000165	AT1G66100.1	CARHR057950
OG0000166	AT1G54470.1	CARHR183950
OG0000167	AT3G21170.1	CARHR097030
OG0000167	AT3G21130.1	CARHR108190, CARHR108200
OG0000167	AT3G21120.1	CARHR150060
OG0000167	AT3G23260.1	CARHR099220
OG0000169	AT1G47340.1, AT1G47350.1	CARHR219990
OG0000170	AT2G45580.1	CARHR140800
OG0000170	AT3G61040.1	CARHR171350
OG0000170	AT3G61035.1	CARHR171330
OG0000170	AT1G33720.1	CARHR140750
OG0000170	AT2G45570.1	CARHR186310, CARHR140760
OG0000170	AT2G45560.1	CARHR140780, CARHR140790, CARHR140740
OG0000170	AT2G45550.1	CARHR140730
OG0000171	AT5G53300.1	CARHR266340
OG0000171	AT5G41700.4, AT1G64230.4	CARHR046700
OG0000171	AT2G16740.1	CARHR107000
OG0000171	AT5G56150.1	CARHR269520
OG0000171	AT3G08700.1	CARHR083000
OG0000171	AT3G08690.1	CARHR082990
OG0000171	AT4G27960.2	CARHR235660
OG0000173	AT2G14288.1	CARHR100900
OG0000174	AT1G52603.1, AT5G33393.1, AT1G67235.1	CARHR115250
OG0000175	AT1G23490.1, AT1G70490.1	CARHR023910
OG0000175	AT5G14670.1	CARHR198650
OG0000176	AT1G71390.2	CARHR176300
OG0000176	AT1G71400.1	CARHR291350, CARHR291370
OG0000177	AT1G21270.1	CARHR059110
OG0000178	AT4G04490.1	CARHR253020
OG0000178	AT4G04510.2	CARHR250370
OG0000178	AT4G04500.1	CARHR250360
OG0000178	AT4G04570.1	CARHR252970, CARHR263930
OG0000178	AT4G04540.1	CARHR252960
OG0000182	AT2G38365.1	CARHR265190
OG0000183	AT1G66410.2, AT5G37780.3	CARHR215030, CARHR058380
OG0000183	AT2G41110.2	CARHR166950
OG0000183	AT3G56800.1	CARHR136200
OG0000183	AT2G27030.3	CARHR119300
OG0000184	AT3G22030.1	CARHR097880
OG0000184	AT3G22053.1	CARHR097910
OG0000185	AT1G23970.2, AT1G23950.2	CARHR087540, CARHR087530
OG0000185	AT1G23960.1	CARHR160040, CARHR160050
OG0000185	AT1G27860.1, AT1G28500.1	CARHR028040
OG0000186	AT2G13895.1	CARHR211050
OG0000186	AT5G55800.1	CARHR269100
OG0000186	AT5G46660.1	CARHR147550, CARHR269160
OG0000186	AT2G02690.1, AT2G02700.1, AT2G02680.1	CARHR145130
OG0000186	AT2G02610.1, AT2G02640.1	CARHR145120
OG0000186	AT2G40050.1	CARHR113370
OG0000187	AT2G21680.1	CARHR112670, CARHR112680
OG0000187	AT1G19460.1, AT1G19470.1	CARHR020040
OG0000188	AT2G13630.1	CARHR078870
OG0000189	AT3G51300.1	CARHR160880
OG0000189	AT4G35950.1	CARHR244350
OG0000189	AT2G17800.1	CARHR108220
OG0000189	AT1G75840.1	CARHR069390
OG0000189	AT1G20090.1	CARHR020570
OG0000192	AT3G51210.1	CARHR233830
OG0000192	AT5G43690.1	CARHR014030
OG0000193	AT2G14710.1, AT3G16580.1	CARHR091790
OG0000193	AT1G47390.1	CARHR036380, CARHR036970
OG0000193	AT1G32430.1	CARHR031880
OG0000195	AT2G19650.1	CARHR110100
OG0000195	AT2G19660.2	CARHR175700
OG0000195	AT5G22355.1	CARHR191180
OG0000195	AT4G01340.1	CARHR273570
OG0000196	AT5G41540.1	CARHR272920
OG0000196	AT5G41750.1, AT5G41740.2, AT5G41550.1	CARHR272910, CARHR213580, CARHR272900, CARHR287600, CARHR287570, CARHR212840, CARHR289150
OG0000197	AT5G37760.1	CARHR215060, CARHR215050, CARHR215370
OG0000198	AT2G01520.1	CARHR144080
OG0000198	AT1G14930.1, AT1G14940.1	CARHR015470
OG0000198	AT1G14950.1	CARHR015480
OG0000198	AT3G26450.1, AT3G26460.1	CARHR147290
OG0000199	AT1G51670.1, AT1G48180.1	CARHR063270, CARHR063300, CARHR163030, CARHR063260, CARHR063690, CARHR063700, CARHR263650
OG0000199	AT4G29770.2	CARHR251110, CARHR215270
OG0000200	AT1G30170.1	CARHR028750, CARHR037140
OG0000200	AT1G30160.2	CARHR037150
OG0000202	AT4G02190.1, AT4G01910.1, AT4G01930.1, AT4G01740.1, AT4G01920.1	CARHR250390, CARHR248840, CARHR250050, CARHR250400
OG0000203	AT3G58270.1	CARHR168640
OG0000203	AT3G58370.1	CARHR168590, CARHR259860
OG0000203	AT3G58360.1	CARHR168740
OG0000203	AT3G58400.1	CARHR168770
OG0000203	AT3G58350.1	CARHR168690
OG0000208	AT5G34581.1	CARHR183230
OG0000209	AT5G10340.1	CARHR202500
OG0000209	AT4G01640.1, AT2G34280.1	CARHR125670, CARHR125660, CARHR124000
OG0000210	AT2G44930.1	CARHR140170
OG0000210	AT1G67150.2	CARHR059620
OG0000210	AT1G65985.1	CARHR057980
OG0000216	AT4G00893.1	CARHR253820, CARHR253860, CARHR253850
OG0000216	AT4G12370.1	CARHR253870
OG0000216	AT4G10695.1	CARHR253840
OG0000216	AT1G57790.1	CARHR054340
OG0000216	AT3G56470.1	CARHR166590
OG0000219	AT3G48840.1	CARHR037370, CARHR272960
OG0000225	AT1G78730.1	CARHR072290
OG0000225	AT1G69630.1	CARHR072270, CARHR141370
OG0000225	AT1G78740.1	CARHR201930, CARHR072280
OG0000226	AT3G26250.1, AT3G26240.1	CARHR058450
OG0000226	AT4G15070.1, AT5G48320.1	CARHR176630
OG0000226	AT5G37210.1, AT5G03355.1	CARHR118070, CARHR209970
OG0000226	AT4G10560.1	CARHR256020
OG0000227	AT3G05650.1	CARHR080100
OG0000227	AT5G25910.1	CARHR039350
OG0000227	AT2G15042.1	CARHR105510
OG0000227	AT2G15080.1	CARHR105540
OG0000229	AT5G28820.1	CARHR062190
OG0000229	AT2G29880.1, AT5G27260.1, AT1G30140.1, AT5G35540.1	CARHR004570
OG0000230	AT5G38391.1	CARHR217340
OG0000230	AT3G58820.1	CARHR186450, CARHR286030
OG0000230	AT3G58900.4	CARHR169400
OG0000233	AT5G07550.1	CARHR205610
OG0000233	AT5G07571.1, AT5G07560.1	CARHR205600, CARHR205590, CARHR205580
OG0000234	AT2G44030.1, AT2G45406.1	CARHR139700
OG0000234	AT5G02990.1	CARHR135510, CARHR049800
OG0000234	AT5G02980.1	CARHR095190
OG0000234	AT5G03000.1, AT3G46050.1	CARHR100580, CARHR100650, CARHR100570
OG0000235	AT3G25080.1	CARHR168030
OG0000236	AT1G69650.1	CARHR062590, CARHR062610, CARHR102640
OG0000236	AT1G69660.1	CARHR062620
OG0000236	AT2G15710.1	CARHR102630
OG0000237	AT3G10430.1, AT4G04690.1	CARHR099050
OG0000237	AT1G77650.1	CARHR044120
OG0000237	AT3G22650.2	CARHR098530
OG0000237	AT3G21410.1	CARHR238210, CARHR097380
OG0000238	AT1G70840.1	CARHR064110
OG0000238	AT5G28000.1	CARHR185670
OG0000238	AT5G28010.1	CARHR023530, CARHR023500, CARHR023520, CARHR023510
OG0000239	AT1G43145.1	CARHR113140
OG0000241	AT4G21860.1	CARHR228610
OG0000241	AT4G04800.1	CARHR252730
OG0000241	AT4G04830.1	CARHR107520
OG0000242	AT5G48670.1	CARHR119540, CARHR119080, CARHR180810, CARHR264270, CARHR101660, CARHR102130, CARHR102230, CARHR102520
OG0000242	AT5G27810.1	CARHR183240
OG0000242	AT5G26630.1	CARHR175670
OG0000243	AT1G29510.1	CARHR028900, CARHR028820, CARHR028850
OG0000243	AT1G29500.1	CARHR028830
OG0000243	AT1G29440.1, AT1G29430.1, AT5G27780.1	CARHR028880, CARHR028810
OG0000244	AT4G05260.1	CARHR252260, CARHR252270, CARHR252310, CARHR252320, CARHR252280
OG0000244	AT4G05240.1, AT4G05250.1	CARHR252240
OG0000244	AT4G05230.1	CARHR251320, CARHR252330, CARHR252290
OG0000244	AT4G03370.1, AT4G03360.1, AT4G02950.1, AT4G03350.1, AT4G02970.1	CARHR251330
OG0000246	AT2G36790.1, AT2G36800.1	CARHR131170, CARHR131180
OG0000246	AT2G36750.1	CARHR131110
OG0000246	AT2G36760.1, AT2G36780.1, AT2G36770.1	CARHR131140, CARHR131130, CARHR131150, CARHR131160
OG0000247	AT5G38500.1	CARHR291820
OG0000247	AT3G49610.1	CARHR263700
OG0000247	AT5G24050.1, AT3G24850.1	CARHR101580, CARHR101880, CARHR101530
OG0000248	AT1G70040.1	CARHR063130
OG0000248	AT5G39330.1	CARHR263070
OG0000249	AT5G31412.1	CARHR029720
OG0000250	AT4G02890.3	CARHR252250
OG0000251	AT3G26300.1, AT3G26310.1	CARHR147300
OG0000251	AT3G26330.1, AT3G26320.1	CARHR147330
OG0000251	AT2G02580.1	CARHR147340
OG0000251	AT5G57260.1	CARHR271060
OG0000252	AT5G37170.1	CARHR230420
OG0000252	AT1G63140.4	CARHR048360, CARHR048350, CARHR048370
OG0000252	AT1G77520.1	CARHR071040
OG0000252	AT1G77530.1	CARHR071060, CARHR071050
OG0000253	AT3G12580.1	CARHR087080
OG0000253	AT3G09440.1	CARHR083850
OG0000253	AT5G02500.1	CARHR210880
OG0000254	AT4G15670.1	CARHR290060, CARHR290070
OG0000254	AT4G15690.1	CARHR290100
OG0000256	AT3G17500.1	CARHR092830, CARHR151680
OG0000256	AT3G22710.1, AT3G22720.1, AT3G22700.1	CARHR099690
OG0000257	AT2G26020.1, AT2G26010.1, AT5G44430.1	CARHR069250, CARHR069290, CARHR069270
OG0000257	AT5G44420.1	CARHR069280, CARHR069310, CARHR284300, CARHR069260
OG0000260	AT4G39510.1	CARHR247220
OG0000260	AT5G02900.1	CARHR260330, CARHR264830
OG0000262	AT2G14540.1	CARHR051080, CARHR046940
OG0000269	AT5G59720.1	CARHR273300
OG0000269	AT1G59860.1	CARHR053220
OG0000269	AT2G29500.1	CARHR122830
OG0000270	AT1G63320.1	CARHR048540, CARHR048090
OG0000270	AT1G63330.1	CARHR048780
OG0000275	AT4G39760.1	CARHR175770
OG0000275	AT4G39753.1	CARHR041170, CARHR041160
OG0000275	AT5G28180.1, AT5G28160.1	CARHR185060, CARHR185040
OG0000275	AT4G39756.1	CARHR246950
OG0000277	AT4G38920.1	CARHR243020, CARHR247840
OG0000278	AT5G37400.2	CARHR215670
OG0000278	AT5G37650.1	CARHR215220
OG0000278	AT5G37470.2, AT5G37460.1	CARHR215570, CARHR215560, CARHR215610
OG0000278	AT5G37920.1, AT5G37430.1, AT5G37410.2, AT4G16530.1, AT5G37420.1	CARHR215640, CARHR215620, CARHR215650, CARHR215200
OG0000279	AT2G26030.4	CARHR094510
OG0000279	AT5G44950.1	CARHR031350, CARHR031360
OG0000279	AT5G44980.1, AT5G44940.1, AT5G44960.1	CARHR177740, CARHR257320, CARHR177410, CARHR177420, CARHR152170, CARHR177900, CARHR221580, CARHR177780, CARHR177760, CARHR177770, CARHR178120, CARHR177310, CARHR177790, CARHR177800, CARHR178860, CARHR178130, CARHR180680
OG0000282	AT4G22170.1	CARHR229730
OG0000282	AT4G22660.1, AT4G22165.1	CARHR229030, CARHR229040
OG0000282	AT4G14165.1	CARHR283650, CARHR229570
OG0000284	AT4G03566.1	CARHR285950, CARHR256150, CARHR177480
OG0000285	AT4G21380.1	CARHR227980
OG0000285	AT4G27290.2	CARHR234950
OG0000286	AT1G05080.1	CARHR175950, CARHR174900
OG0000289	AT3G25010.2, AT3G25020.1, AT3G24982.1, AT3G24900.2	CARHR175550
OG0000289	AT2G32680.1	CARHR262160
OG0000291	AT2G05510.1, AT2G05440.2	CARHR103190, CARHR103130
