Orthogroup	Arabidopsis_thaliana	Cardamine_glauca
OG0000055	AT3G17620.1	Cg004G1239300
OG0000055	AT3G16740.1	Cg004G1232400
OG0000056	AT1G61960.1	Cg007G2285200
OG0000056	AT1G62490.1	Cg007G2283400
OG0000056	AT1G62150.1	Cg007G2283300
OG0000056	AT1G62110.1	Cg007G2283500
OG0000056	AT1G61980.1	Cg007G2284900, Cg007G2285100
OG0000056	AT3G46950.1	Cg002G0557700
OG0000060	AT1G07660.1	Cg002G0489100
OG0000060	AT5G59970.1	Cg003G0990300, Cg002G0570000, Cg005G1647300, Cg003G0987300
OG0000060	AT5G59690.1	Cg002G0566100
OG0000060	AT2G28740.1	Cg006G2185800
OG0000061	AT1G47920.1, AT1G48390.1	Cg004G1379900
OG0000061	AT1G21990.1	Cg004G1382400, Cg004G1390200
OG0000061	AT2G29910.6	Cg005G1631000
OG0000064	AT3G44115.1, AT1G57760.1, AT1G45221.1, AT1G45215.1, AT1G45223.1, AT1G57777.1, AT1G57775.1, AT4G07515.1, AT4G08025.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT5G42955.1, AT5G42957.1, AT5G34882.1, AT3G30383.1, AT3G30385.1, AT3G30387.1, AT5G34908.1	Cg003G0987600
OG0000065	AT1G67000.1, AT1G66930.2	Cg007G2435800
OG0000066	AT5G10390.1	Cg006G2172200
OG0000066	AT3G27360.1	Cg008G2671100, Cg003G1045600
OG0000066	AT1G09200.1	Cg008G2671000
OG0000066	AT1G13370.1	Cg003G0715700, Cg002G0598000, Cg002G0598300, Cg014G3039900, Cg007G2340900
OG0000066	AT5G10980.1	Cg001G0018900, Cg008G2677200, Cg001G0018800
OG0000066	AT1G19890.1	Cg006G2066700
OG0000068	AT3G09160.1	Cg004G1419400
OG0000068	AT5G03495.1, AT5G03480.1	Cg008G2602600, Cg008G2600100
OG0000069	AT3G62850.1	Cg001G0395000
OG0000070	AT1G10230.1	Cg006G2161100
OG0000070	AT2G20160.1, AT2G03190.1, AT3G25650.1, AT2G03170.1	Cg002G0680500
OG0000070	AT1G20140.1, AT2G25700.1	Cg006G2064200
OG0000070	AT1G75950.1	Cg001G0322900, Cg001G0323200, Cg007G2530800
OG0000070	AT5G42190.1	Cg008G2918500, Cg011G3015900
OG0000070	AT4G34210.1	Cg001G0056200
OG0000075	AT4G39560.1	Cg001G0013800
OG0000076	AT4G38940.1	Cg001G0007600
OG0000077	AT1G57850.1	Cg007G2324000
OG0000077	AT2G03030.1, AT2G03300.1	Cg002G0679200, Cg002G0679300
OG0000077	AT1G09665.1	Cg006G2167500
OG0000078	AT3G03850.1	Cg004G1099900
OG0000078	AT5G18080.1	Cg008G2744900
OG0000078	AT5G18010.1	Cg008G2744200, Cg008G2744500
OG0000079	AT2G07190.1	Cg010G2993500
OG0000089	AT5G23860.1	Cg008G2794800
OG0000089	AT5G62700.1, AT5G62690.1	Cg003G1017300
OG0000089	AT2G29550.1	Cg005G1638200
OG0000089	AT5G12250.1	Cg008G2689500
OG0000089	AT5G44340.1	Cg008G2943700
OG0000089	AT4G20890.1	Cg001G0195600
OG0000089	AT1G20010.1	Cg006G2065500
OG0000089	AT1G75780.1	Cg007G2528700
OG0000091	AT5G20480.1	Cg001G0362300, Cg008G2769400
OG0000091	AT5G39390.1	Cg003G0829200, Cg003G0877100
OG0000096	AT3G25460.1	Cg001G0384700
OG0000096	AT3G44120.1, AT2G07140.1, AT3G18320.1, AT3G18330.1, AT3G18910.1, AT3G19410.1	Cg004G1249200, Cg004G1257700, Cg004G1249300
OG0000098	AT1G27540.1, AT1G27580.1, AT1G27550.1	Cg008G2823500
OG0000100	AT1G56520.2, AT1G56510.1	Cg007G2332300
OG0000102	AT4G03635.1	Cg003G0864200, Cg003G0734200
OG0000102	AT5G52480.1	Cg003G0863700, Cg003G0734700, Cg003G0734400, Cg003G0864000
OG0000102	AT4G05460.1	Cg003G0863600, Cg003G0734800
OG0000107	AT2G27010.1, AT2G27000.1	Cg005G1681600
OG0000107	AT3G20140.1	Cg004G1267700
OG0000107	AT4G15380.1, AT3G20080.1	Cg004G1267500
OG0000107	AT3G20100.1	Cg004G1267200
OG0000107	AT3G20110.1	Cg004G1267600
OG0000108	AT3G53750.1, AT2G37620.1	Cg005G1557400
OG0000108	AT3G46520.1	Cg003G0983900
OG0000108	AT5G59370.1	Cg002G0564200
OG0000108	AT3G12110.1	Cg004G1180800
OG0000108	AT5G09810.1	Cg008G2664600
OG0000108	AT3G18780.2	Cg004G1253800
OG0000111	AT3G53330.1	Cg003G0769600, Cg003G0769200, Cg003G0769000, Cg003G0769100, Cg003G0768800, Cg003G0768700, Cg003G0768900, Cg003G0768500, Cg003G0768100, Cg003G0769400, Cg003G0768000, Cg003G0767700, Cg006G1873400, Cg006G1939000, Cg006G1938900, Cg006G1938700, Cg013G3026300, Cg002G0596600
OG0000117	AT1G23670.2	Cg006G2029700
OG0000117	AT1G23520.1	Cg006G2031100
OG0000117	AT1G23640.1, AT1G23660.1	Cg006G2029800
OG0000117	AT1G23590.1	Cg006G2030500
OG0000117	AT1G23600.1	Cg006G2029500, Cg006G2030300, Cg006G2030400
OG0000117	AT1G23645.1	Cg006G2029900
OG0000117	AT1G23690.1	Cg006G2029400
OG0000117	AT1G23570.2, AT1G23580.1	Cg006G2030600
OG0000119	AT2G26135.1, AT2G26130.1	Cg005G1714200
OG0000119	AT3G43750.1	Cg002G0596700
OG0000119	AT3G45560.1	Cg002G0574300
OG0000119	AT2G16520.1	Cg001G0041500, Cg002G0574600
OG0000119	AT3G45480.1, AT3G45510.1	Cg002G0574700
OG0000121	AT2G01050.1	Cg002G0640900, Cg004G1362200, Cg007G2421400, Cg006G1860400
OG0000122	AT5G56390.1	Cg003G0952800
OG0000124	AT5G40595.1	Cg001G0298900
OG0000125	AT2G29000.1	Cg005G1643600, Cg005G1644100
OG0000125	AT1G07560.1	Cg006G2188500
OG0000125	AT1G49100.1	Cg006G1841400
OG0000125	AT1G51820.1, AT1G51850.2, AT1G51830.2	Cg006G1816500
OG0000125	AT3G21340.1	Cg004G1281100
OG0000127	AT5G22880.1	Cg008G2786000
OG0000127	AT2G37470.1, AT3G53650.1	Cg002G0489900
OG0000127	AT5G02570.1	Cg008G2597500
OG0000127	AT5G59910.1	Cg003G0989900
OG0000127	AT3G46030.1	Cg002G0569500, Cg002G0569100
OG0000127	AT2G28720.1	Cg005G1647800
OG0000128	AT3G59270.1	Cg007G2459200
OG0000128	AT3G59250.1	Cg002G0434200
OG0000128	AT3G59200.1	Cg002G0434700
OG0000128	AT3G59210.1	Cg002G0434600
OG0000129	AT1G65120.2	Cg007G2357000
OG0000129	AT1G65200.1	Cg007G2390100
OG0000129	AT1G52450.1, AT1G52430.1, AT5G61950.1, AT5G61940.2	Cg003G1010100, Cg003G1010200, Cg003G1010000
OG0000129	AT2G27630.1, AT2G27650.1	Cg005G1662800, Cg005G1661800, Cg005G1660700, Cg005G1661700
OG0000129	AT5G51530.1	Cg003G0897000
OG0000129	AT1G65110.2	Cg008G2880200, Cg007G2357100
OG0000130	AT3G23320.1, AT5G52115.1, AT5G65005.1, AT1G52990.1	Cg008G2849000
OG0000130	AT3G25270.1, AT2G04420.1, AT1G50160.1	Cg003G0796500, Cg002G0592800
OG0000132	AT3G54910.1	Cg002G0477500
OG0000137	AT5G55370.1	Cg003G0942200
OG0000137	AT5G55380.1	Cg003G0942300
OG0000137	AT5G55360.1	Cg003G0942100
OG0000137	AT5G55350.1	Cg003G0942000
OG0000137	AT5G55340.1	Cg003G0941900
OG0000138	AT3G62440.1	Cg007G2299800
OG0000138	AT3G62430.1, AT3G54160.1	Cg002G0485200
OG0000141	AT5G63020.1	Cg007G2276000, Cg007G2276100
OG0000148	AT1G50870.1	Cg006G1825800
OG0000151	AT3G55110.1	Cg002G0475200
OG0000151	AT3G55100.1	Cg002G0475300
OG0000151	AT2G39350.1	Cg005G1538800
OG0000151	AT3G55090.1	Cg002G0475400
OG0000151	AT3G53510.1	Cg002G0491600
OG0000151	AT2G37360.1	Cg005G1560100
OG0000151	AT5G13580.1	Cg008G2699500
OG0000153	AT2G30670.1	Cg005G1625900
OG0000154	AT1G50830.1	Cg006G1826100
OG0000154	AT4G16050.1	Cg001G0245400
OG0000154	AT1G50790.1, AT1G50820.2	Cg006G1826400
OG0000154	AT1G50750.1	Cg006G1826200
OG0000157	AT1G30790.1	Cg006G1966200, Cg006G1965500
OG0000157	AT1G32660.1	Cg006G1948100, Cg006G1948200, Cg006G1948000, Cg006G1966900
OG0000160	AT2G18960.1	Cg004G1426700
OG0000160	AT4G30190.2	Cg001G0100800
OG0000160	AT5G57350.1	Cg003G0963700
OG0000160	AT2G07560.1	Cg004G1353700
OG0000160	AT1G80660.1	Cg007G2573400
OG0000160	AT2G24520.2	Cg005G1742100
OG0000162	AT2G33200.1	Cg005G1601500
OG0000162	AT2G33190.1	Cg005G1601600
OG0000162	AT2G04810.1, AT2G04840.1	Cg004G1334900
OG0000165	AT5G36910.1	Cg006G1858300
OG0000166	AT2G25470.3	Cg036G3082400
OG0000167	AT3G23260.1	Cg004G1301000
OG0000170	AT2G45580.1	Cg005G1473800
OG0000170	AT2G45570.1	Cg005G1474000
OG0000171	AT5G53300.1	Cg003G0916500
OG0000171	AT5G41700.4, AT1G64230.4	Cg007G2262400
OG0000171	AT2G16740.1	Cg004G1402700
OG0000171	AT5G56150.1	Cg003G0949800
OG0000171	AT3G08690.1	Cg004G1146700
OG0000171	AT4G27960.2	Cg001G0123300
OG0000175	AT1G23490.1	Cg006G2031400
OG0000175	AT1G70490.1	Cg007G2474600
OG0000175	AT5G14670.1	Cg008G2710700
OG0000176	AT1G71390.2	Cg008G2964200
OG0000177	AT1G21230.1	Cg006G2054600
OG0000177	AT1G21210.1	Cg006G2054700
OG0000177	AT1G21270.1	Cg006G2054500
OG0000178	AT4G04490.1	Cg003G0742900, Cg003G0743000
OG0000178	AT4G04510.2	Cg006G1925200
OG0000178	AT4G04500.1	Cg006G1925100
OG0000183	AT1G66410.2, AT5G37780.3	Cg001G0339800, Cg007G2426600
OG0000183	AT3G56800.1	Cg002G0456600, Cg005G1519300
OG0000183	AT2G27030.3	Cg005G1681400
OG0000185	AT1G19060.1, AT1G02770.1	Cg004G1440400
OG0000185	AT1G23970.2, AT1G23950.2	Cg004G1189300
OG0000185	AT1G27860.1, AT1G28500.1	Cg006G1989500
OG0000186	AT2G40050.1	Cg005G1766900
OG0000187	AT2G21680.1	Cg005G1772000
OG0000187	AT1G19460.1, AT1G19470.1	Cg006G2070900
OG0000187	AT2G29780.1, AT2G29770.1, AT2G29600.1, AT2G29800.1, AT2G29810.1, AT2G29830.1, AT2G29820.1, AT2G29860.1	Cg005G1635300, Cg005G1635400, Cg005G1634600, Cg005G1634500, Cg005G1635600, Cg005G1635200, Cg005G1635700, Cg005G1635500
OG0000188	AT3G10790.1	Cg002G0576300, Cg004G1168000, Cg004G1167400, Cg004G1167900
OG0000188	AT2G13630.1, AT3G04660.1	Cg004G1107000
OG0000189	AT3G51300.1	Cg002G0515600
OG0000189	AT4G35950.1	Cg001G0040600
OG0000189	AT2G17800.1	Cg004G1414100
OG0000189	AT1G75840.1	Cg007G2529500
OG0000189	AT1G20090.1	Cg006G2064800
OG0000192	AT3G51210.1	Cg006G1993900
OG0000192	AT3G45080.1, AT3G45070.2, AT2G27570.1	Cg006G2127500
OG0000193	AT2G14710.1, AT3G16580.1	Cg004G1230500
OG0000193	AT1G47390.1	Cg006G1859600, Cg006G1859800, Cg006G1859900, Cg006G1859400
OG0000193	AT1G32430.1	Cg006G1948300
OG0000195	AT4G01340.1	Cg003G0787700
OG0000196	AT5G41540.1	Cg001G0390600
OG0000196	AT5G41750.1, AT5G41740.2, AT5G41550.1	Cg001G0388500
OG0000197	AT5G37760.1	Cg001G0339500
OG0000197	AT4G19570.1	Cg001G0205400
OG0000197	AT5G62780.1	Cg001G0205200
OG0000198	AT2G01520.1	Cg002G0692800
OG0000198	AT1G14930.1, AT1G14940.1	Cg006G2114000
OG0000198	AT1G14950.1	Cg006G2113800, Cg006G2113700
OG0000198	AT3G26450.1, AT3G26460.1	Cg002G0664200
OG0000199	AT1G51670.1, AT1G48180.1	Cg007G2470500, Cg007G2472200, Cg007G2392400, Cg002G0549200
OG0000199	AT4G29770.2	Cg014G3034400, Cg008G2903900
OG0000199	AT5G18065.1, AT5G18040.1	Cg014G3034300, Cg003G0721100, Cg003G0721200, Cg014G3034200
OG0000200	AT1G05550.3	Cg006G2210500
OG0000200	AT1G05540.1	Cg006G2210600
OG0000200	AT1G30170.1	Cg006G1857600
OG0000200	AT1G30160.2	Cg006G1857700
OG0000202	AT4G02190.1, AT4G01910.1, AT4G01930.1, AT4G01740.1, AT4G01920.1	Cg003G0719400
OG0000203	AT3G58270.1	Cg002G0442000
OG0000203	AT3G58370.1	Cg002G0441200
OG0000203	AT3G58360.1	Cg002G0441400
OG0000203	AT3G58400.1	Cg002G0441100
OG0000203	AT3G58350.1	Cg002G0441500
OG0000208	AT2G06425.1, AT4G04265.1, AT5G34581.1	Cg005G1738400, Cg007G2356100, Cg005G1738000
OG0000209	AT1G12490.1, AT1G09650.1	Cg006G2154400, Cg006G2158500, Cg006G1924600, Cg006G2158400
OG0000209	AT5G10340.1	Cg008G2670300, Cg008G2670600, Cg008G2677700
OG0000209	AT4G01640.1, AT2G34280.1	Cg005G1613100, Cg003G0772300
OG0000210	AT2G44930.1	Cg005G1480200
OG0000216	AT4G00893.1	Cg003G0750100
OG0000216	AT4G12370.1	Cg003G0750300, Cg003G0750200
OG0000216	AT4G10700.1, AT4G10660.1, AT4G10695.1	Cg003G0750000
OG0000216	AT1G57790.1	Cg007G2323800
OG0000216	AT3G56470.1	Cg001G0324000
OG0000219	AT3G48840.1	Cg001G0279900
OG0000225	AT1G78740.1	Cg007G2558500
OG0000226	AT4G10560.1	Cg003G0770400
OG0000227	AT3G05650.1	Cg004G1118500
OG0000227	AT2G15080.1	Cg004G1376700, Cg004G1376500, Cg004G1376400, Cg004G1385200, Cg004G1377200
OG0000229	AT5G28820.1	Cg001G0315200
OG0000229	AT1G30140.1	Cg007G2409700
OG0000230	AT3G58820.1	Cg008G2846600, Cg008G2861200, Cg008G2861500
OG0000233	AT5G07550.1	Cg008G2647600
OG0000233	AT5G07571.1, AT5G07560.1	Cg008G2647700, Cg008G2647900, Cg008G2647800
OG0000233	AT5G07540.1	Cg008G2647500
OG0000233	AT5G07510.1, AT5G07600.1, AT5G07520.1	Cg008G2647300
OG0000234	AT2G44030.1, AT2G45406.1	Cg005G1484700
OG0000236	AT2G15710.1	Cg004G1333500
OG0000237	AT3G10430.1, AT4G04690.1	Cg004G1298900, Cg004G1316600
OG0000237	AT1G77650.1	Cg006G1842500
OG0000237	AT3G21410.1	Cg001G0099500, Cg004G1282100
OG0000238	AT1G70840.1	Cg007G2478600
OG0000238	AT5G28000.1	Cg008G2832400
OG0000238	AT5G28010.1	Cg006G2034900, Cg006G2035000
OG0000239	AT1G43145.1	Cg001G0354900, Cg008G2902200
OG0000241	AT4G21860.1	Cg001G0185400
OG0000241	AT4G21850.1	Cg001G0185500
OG0000241	AT4G04800.1	Cg003G0857500, Cg003G0740200
OG0000242	AT5G26630.1	Cg008G2821600, Cg008G2821500, Cg008G2969100, Cg008G2968700, Cg005G1735200, Cg008G2969200, Cg008G2968900, Cg008G2969300, Cg008G2968800
OG0000244	AT4G05260.1	Cg003G0862300, Cg003G0736100, Cg003G0862100, Cg003G0861900, Cg003G0736300, Cg003G0736000, Cg003G0862400, Cg003G0735900
OG0000244	AT4G05230.1	Cg003G0869800, Cg003G0728000, Cg003G0861800, Cg003G0736400
OG0000244	AT4G03370.1, AT4G03360.1, AT4G02950.1, AT4G03350.1, AT4G02970.1	Cg003G0728100, Cg003G0869700
OG0000246	AT2G36790.1, AT2G36800.1	Cg005G1566300
OG0000247	AT5G38500.1	Cg001G0351600, Cg001G0351800
OG0000247	AT5G24050.1, AT3G24850.1	Cg003G0782000, Cg004G1322200, Cg004G1322700
OG0000248	AT1G70040.1	Cg007G2470600
OG0000248	AT1G70120.1	Cg007G2471500
OG0000249	AT1G43260.1	Cg004G1366500, Cg002G0640600
OG0000249	AT5G31412.1	Cg007G2349500, Cg004G1391400
OG0000250	AT4G05320.2	Cg003G0735700
OG0000250	AT5G37640.1	Cg001G0307800
OG0000251	AT3G26300.1, AT3G26310.1	Cg002G0664000
OG0000251	AT3G26330.1, AT3G26320.1	Cg002G0663800
OG0000251	AT5G57260.1	Cg003G0962700
OG0000251	AT3G26290.2	Cg002G0664100
OG0000252	AT5G37170.1	Cg001G0086600
OG0000252	AT1G63140.4	Cg007G2272200
OG0000252	AT1G77520.1	Cg007G2546100
OG0000252	AT1G77530.1	Cg007G2546300, Cg007G2546200
OG0000253	AT3G12580.1	Cg004G1184700
OG0000253	AT3G09440.1	Cg004G1154100
OG0000253	AT5G02500.1	Cg008G2596600
OG0000254	AT4G15670.1	Cg001G0250300, Cg001G0250200
OG0000254	AT4G15690.1	Cg001G0249500
OG0000254	AT4G15700.1	Cg001G0249400, Cg001G0249700
OG0000255	AT1G42190.1	Cg007G2394100, Cg006G1865500, Cg006G1878100
OG0000256	AT3G17480.1, AT1G62270.1	Cg004G1240300
OG0000257	AT2G26020.1, AT2G26010.1, AT5G44430.1	Cg008G2969000
OG0000257	AT5G44420.1	Cg007G2529400
OG0000262	AT2G14540.1	Cg007G2264500, Cg007G2264400, Cg007G2264300
OG0000269	AT5G59720.1	Cg003G0987700
OG0000269	AT3G46230.1	Cg002G0567300
OG0000269	AT1G07400.1, AT1G59860.1	Cg007G2309100
OG0000269	AT2G29500.1	Cg005G1638700
OG0000273	AT5G53637.1	Cg003G0920400
OG0000275	AT4G39760.1	Cg003G1065200
OG0000275	AT5G28180.1, AT5G28160.1	Cg008G2833500
OG0000277	AT4G34720.1, AT2G16510.1, AT4G38920.1	Cg001G0007500
OG0000278	AT5G37400.2	Cg001G0332400
OG0000278	AT5G37650.1	Cg001G0336600
OG0000278	AT5G37470.2, AT5G37460.1	Cg001G0333000, Cg001G0333100, Cg001G0332700
OG0000278	AT5G37920.1, AT5G37430.1, AT5G37410.2, AT4G16530.1, AT5G37420.1	Cg001G0332500, Cg001G0337400
OG0000279	AT5G44980.1, AT5G44940.1, AT5G44960.1	Cg003G0839100, Cg008G2952700, Cg008G2952600, Cg008G2952800, Cg008G2950400, Cg008G2950200, Cg008G2950100
OG0000282	AT4G22170.1	Cg001G0182000
OG0000284	AT4G03566.1	Cg004G1433800, Cg002G0598700, Cg001G0028400, Cg006G1870000, Cg003G0941700, Cg001G0282200, Cg001G0383900, Cg006G1945100, Cg008G2850200
OG0000285	AT4G21380.1	Cg001G0190700
OG0000285	AT4G27290.2	Cg001G0130400
OG0000289	AT2G33080.1	Cg005G1600000
OG0000289	AT2G32680.1	Cg005G1606400, Cg001G0371200
OG0000289	AT2G25440.1	Cg013G3025500, Cg036G3082600
OG0000291	AT2G05510.1, AT2G05440.2	Cg004G1343300, Cg004G1337600
OG0000291	AT2G05380.3	Cg004G1343900, Cg004G1343800, Cg004G1343500
OG0000294	AT5G15670.1, AT5G15660.1, AT1G26510.1, AT1G26515.1	Cg008G2721100
OG0000295	AT1G28020.1	Cg006G1996000
OG0000295	AT3G11380.1, AT3G11350.1	Cg004G1173400, Cg004G1317000
OG0000296	AT5G59090.1, AT5G59120.1	Cg008G2982100, Cg003G0982000, Cg003G0887600
OG0000296	AT5G58840.1, AT5G58820.1, AT5G58830.1	Cg003G0978500
OG0000298	AT1G33612.1, AT1G33610.1	Cg006G1934800, Cg006G1935200
OG0000298	AT1G33590.2	Cg006G1935400
OG0000301	AT2G44630.1	Cg005G1482700
OG0000304	AT4G04090.1	Cg003G0745900
OG0000305	AT1G17150.1	Cg006G2092900
OG0000305	AT1G43090.1, AT1G43100.1, AT1G43080.1, AT2G15470.1, AT2G15450.1, AT2G15460.1, AT2G26620.1, AT4G13760.1, AT2G40310.1	Cg005G1528100
OG0000307	AT2G04115.1	Cg004G1326000, Cg004G1326100
OG0000308	AT5G43370.1, AT5G43350.1	Cg008G2928800, Cg008G2929000, Cg008G2928900
OG0000312	AT2G07290.1	Cg001G0335800, Cg006G1899900
OG0000315	AT1G34047.2	Cg004G1324900, Cg004G1325300
OG0000318	AT1G79680.1	Cg007G2568100
OG0000318	AT1G69730.1	Cg007G2467300
OG0000321	AT1G04820.1	Cg004G1262800
OG0000321	AT1G50010.1	Cg006G1832400
OG0000321	AT5G19770.1, AT5G19780.1	Cg008G2763000
OG0000321	AT1G64740.1	Cg007G2375700
OG0000323	AT1G72840.2, AT4G09430.1	Cg007G2498700
OG0000325	AT1G04750.1	Cg006G2219100
OG0000325	AT1G04760.1	Cg006G2219000
OG0000327	AT1G77570.1	Cg004G1211800
OG0000327	AT4G19630.1	Cg001G0204800
OG0000328	AT3G21000.1	Cg004G1277200, Cg004G1294900
OG0000329	AT5G38960.1	Cg001G0356100, Cg001G0357100
OG0000329	AT5G38910.1	Cg001G0357000, Cg001G0356900, Cg001G0356800, Cg001G0356700, Cg001G0356200, Cg001G0356300
OG0000330	AT1G72950.1	Cg007G2499400, Cg007G2499500
OG0000330	AT1G72890.2	Cg007G2499300
OG0000330	AT1G17615.1	Cg006G2088700
OG0000331	AT4G01850.1	Cg014G3041700, Cg003G0713900
OG0000331	AT1G02500.1	Cg006G2241100
OG0000331	AT3G17390.1	Cg004G1239000
OG0000332	AT1G61430.1, AT1G61400.2, AT1G61440.2, AT1G61480.1, AT1G61490.1	Cg007G2289700
OG0000332	AT1G61420.2, AT1G61460.1	Cg007G2289800
OG0000332	AT1G61550.1	Cg007G2289200
OG0000335	AT1G06630.1	Cg002G0427600
OG0000339	AT4G13310.1, AT4G13290.1	Cg001G0284600
OG0000341	AT1G48670.1	Cg006G1845900
OG0000342	AT2G24510.1, AT3G17540.1	Cg004G1240600
OG0000342	AT3G17570.1, AT3G17265.1, AT3G24700.2, AT3G17270.1, AT3G17490.1	Cg003G0793700, Cg003G0794400
OG0000345	AT5G09500.1	Cg008G2662100
OG0000345	AT5G43640.1	Cg008G2933100
OG0000345	AT1G04270.1	Cg006G2224300, Cg008G2662200
OG0000346	AT3G53280.1	Cg002G0494100
OG0000346	AT3G44250.1	Cg002G0591900
OG0000346	AT3G26200.1	Cg002G0665500
OG0000346	AT3G26190.1	Cg002G0665600
OG0000346	AT3G53290.1	Cg002G0494000
OG0000347	AT3G61430.1	Cg002G0416000
OG0000347	AT4G23400.1	Cg001G0169800
OG0000347	AT1G01620.1	Cg006G2250500
OG0000347	AT4G00430.1	Cg014G3053800, Cg003G0702200
OG0000348	AT3G28223.1, AT3G48220.1	Cg008G2938800
OG0000349	AT5G59660.3	Cg003G0986800, Cg003G0986900
OG0000351	AT2G40210.1, AT2G26880.1	Cg004G1178000, Cg007G2394900, Cg007G2394800, Cg007G2394700, Cg007G2395000, Cg007G2395200, Cg007G2395300, Cg007G2395100, Cg007G2395400, Cg007G2394500, Cg007G2415000, Cg007G2415100, Cg007G2415400, Cg007G2394400, Cg007G2415700, Cg007G2413800, Cg007G2414400, Cg007G2414600, Cg007G2414200, Cg007G2415200, Cg007G2414900, Cg007G2415500, Cg007G2414700, Cg007G2394600, Cg007G2415300, Cg007G2414000, Cg007G2413900, Cg007G2414800, Cg007G2394300, Cg007G2394200, Cg007G2416100
OG0000355	AT5G60440.1	Cg003G0995200
OG0000355	AT4G36590.1	Cg001G0035500
OG0000357	AT1G29930.1, AT1G29920.1, AT1G29910.1	Cg006G1975000, Cg006G1975200, Cg006G1975100, Cg005G1588800
OG0000357	AT2G34430.1	Cg005G1588700
OG0000359	AT5G54145.1	Cg003G0926700
OG0000359	AT4G27652.1	Cg001G0126400
OG0000362	AT3G30739.1	Cg008G2879000
OG0000363	AT5G48000.1	Cg001G0257100
OG0000363	AT3G44970.1	Cg001G0254400, Cg001G0257200
OG0000363	AT1G55940.2	Cg006G1783200
OG0000363	AT1G78490.1	Cg007G2555900
OG0000364	AT2G40560.1, AT2G40500.1	Cg005G1525600, Cg005G1524700
OG0000365	AT1G26390.1	Cg006G2014900
OG0000365	AT1G26420.1	Cg006G2015100
OG0000367	AT5G15030.1, AT5G15040.1	Cg008G2714400
OG0000368	AT3G46700.1	Cg002G0560600
OG0000368	AT3G46680.1	Cg002G0561600
OG0000368	AT3G46690.1	Cg002G0561500, Cg002G0561400
OG0000368	AT3G46720.1	Cg002G0560400
OG0000369	AT5G49490.1, AT5G49420.1, AT5G38620.1	Cg008G2838500, Cg008G2840500, Cg008G2846200, Cg008G2861000
OG0000371	AT5G36080.1	Cg004G1365900, Cg006G1943300, Cg007G2391700
OG0000371	AT1G35820.1, AT3G42870.1, AT3G30520.1	Cg001G0311500
OG0000376	AT1G60690.1	Cg007G2295400, Cg007G2295800
OG0000376	AT1G60710.1	Cg007G2295700
OG0000377	AT4G37370.1	Cg001G0027900
OG0000377	AT4G37360.1, AT4G37340.1	Cg001G0028000
OG0000377	AT4G37320.1	Cg001G0028200
OG0000377	AT4G37330.1	Cg001G0028100
