Orthogroup	Arabidopsis_thaliana	Brassica_oleracea
OG0000269	AT5G59720.1	XP_013625891.1
OG0000269	AT3G46230.1	XP_013629589.1
OG0000269	AT1G07400.1, AT1G59860.1, AT2G29500.1	XP_013634861.1, XP_013637342.1, XP_013637340.1
OG0000270	AT3G17370.1	XP_013633244.1
OG0000270	AT1G63320.1	XP_013624992.1, XP_013611661.1
OG0000273	AT5G53635.1, AT5G53637.1	XP_013610647.1
OG0000273	AT5G53640.1	XP_013619636.1
OG0000273	AT3G23955.2	XP_013610886.1
OG0000275	AT4G39760.1	XP_013607799.1
OG0000275	AT4G39753.1	XP_013627934.1, XP_013608532.1, XP_013608530.1, XP_013608536.1, XP_013627649.1, XP_013624778.1, XP_013593112.1
OG0000278	AT5G37470.2, AT5G37460.1, AT5G37920.1, AT5G37430.1, AT5G37410.2, AT4G16530.1, AT5G37420.1	XP_013628027.1
OG0000279	AT5G44950.1, AT5G44970.1, AT5G44980.1, AT5G44940.1, AT5G44960.1	XP_013594138.1, XP_013593806.1
