Orthogroup	Arabidopsis_thaliana	Noccaea_praecox
OG0000108	AT3G46520.1, AT5G59370.1	Np001G0462100
OG0000108	AT3G12110.1	Np007G4093400
OG0000108	AT5G09810.1	Np003G1360400
OG0000108	AT3G18780.2	Np007G3950400
OG0000110	AT1G36510.1, AT3G32260.1	Np002G1086700, Np005G2909800, Np002G1161200, Np004G2113400, Np005G3033600, Np002G0891500, Np007G4015500, Np008G4289300
OG0000111	AT4G01380.1	Np005G3154700
OG0000114	AT1G36970.1, AT4G05555.1, AT3G31560.1, AT1G36230.1, AT2G07280.1	Np002G1018000
OG0000116	AT1G14800.1	Np002G1124800
OG0000117	AT1G23640.1, AT1G23660.1	Np004G2300400
OG0000117	AT1G23590.1	Np004G2299300
OG0000117	AT1G23690.1	Np004G2300300
OG0000117	AT1G23570.2, AT1G23580.1	Np004G2300200
OG0000118	AT1G65990.1, AT4G10740.1	Np002G0786200
OG0000118	AT3G22940.1, AT3G22421.1, AT3G22870.1	Np004G1992500, Np006G3383100
OG0000119	AT2G16520.1	Np001G0493200
OG0000121	AT2G01050.1	Np006G3447000, Np005G2954700, Np011G4358600, Np004G2590300, Np002G0965100, Np006G3634700, Np005G2842000, Np001G0527800, Np001G0451100, Np008G4283900, Np005G2906600, Np007G4117800, Np002G0941800, Np002G0951800, Np005G2957200, Np005G3191500, Np004G2402900, Np002G0954000, Np002G0904100, Np001G0559000, Np006G3382900, Np005G3087600, Np002G0877900, Np006G3278500, Np004G2331700, Np006G3451400, Np005G2604800, Np006G3604300
OG0000122	AT1G32375.1	Np003G1578000
OG0000123	AT5G51105.1	Np003G1843300
OG0000125	AT2G28960.2	Np006G3600700
OG0000125	AT1G07560.1	Np004G2519400
OG0000125	AT1G49100.1	Np004G1951700
OG0000125	AT1G51820.1, AT1G51850.2, AT1G51830.2	Np004G1951500
OG0000125	AT1G51805.1	Np004G1951600
OG0000125	AT3G21340.1	Np007G3813400
OG0000126	AT3G29638.1	Np001G0233600
OG0000126	AT2G19960.3	Np004G2191600
OG0000127	AT5G22880.1	Np003G1510700
OG0000127	AT2G37470.1	Np006G3371500
OG0000127	AT3G53650.1	Np001G0565000
OG0000127	AT5G59910.1, AT3G45980.1	Np003G1523500
OG0000127	AT2G28720.1	Np006G3598300
OG0000128	AT3G59270.1	Np001G0645400
OG0000128	AT3G59200.1	Np001G0644700
OG0000128	AT3G59210.1	Np001G0644900
OG0000128	AT1G58310.1, AT4G14103.2, AT4G14096.1	Np001G0644500
OG0000129	AT1G65120.2	Np002G0866100
OG0000129	AT1G65200.1	Np005G3118200
OG0000130	AT3G25270.1, AT2G04420.1, AT1G50160.1	Np006G3485400
OG0000132	AT3G54910.1	Np001G0583700
OG0000132	AT5G38590.2, AT5G38570.1, AT5G38565.1	Np005G3117900, Np005G3137200, Np005G3137300, Np005G3137400
OG0000134	AT5G11250.2	Np003G1378400
OG0000137	AT5G55370.1	Np003G1600600
OG0000137	AT5G55380.1	Np003G1600500
OG0000137	AT5G55330.1	Np003G1602200
OG0000137	AT1G34490.1, AT1G34520.1	Np003G1596700
OG0000137	AT5G55360.1	Np003G1602000, Np003G1601500, Np003G1600700
OG0000137	AT5G55350.1	Np003G1602100
OG0000137	AT5G55340.1	Np003G1602400
OG0000141	AT1G62630.1, AT1G63360.1, AT1G63350.2	Np002G1165900
OG0000148	AT1G47730.1, AT1G48060.1	Np004G1960900, Np004G1960800
OG0000151	AT3G55100.1	Np001G0586800
OG0000151	AT2G39350.1	Np006G3339200
OG0000151	AT3G55090.1	Np001G0586700
OG0000151	AT3G53510.1	Np001G0563500
OG0000151	AT2G37360.1	Np006G3374700
OG0000151	AT5G13580.1	Np003G1404000
OG0000153	AT1G07450.1	Np004G2521100
OG0000154	AT5G18510.1	Np004G1998200
OG0000154	AT1G50790.1	Np004G1963300
OG0000157	AT1G32660.1	Np005G3104600, Np005G3104800, Np005G3107600, Np006G3343300
OG0000158	AT4G36840.1	Np002G0811900
OG0000159	AT4G03728.1	Np008G4256300, Np006G3412600, Np007G3979900, Np005G2983500, Np008G4256500
OG0000160	AT2G18960.1	Np007G3739600
OG0000160	AT4G30190.2	Np005G2740000
OG0000160	AT5G57350.1	Np003G1560700
OG0000160	AT2G07560.1	Np007G3899700
OG0000160	AT3G42640.1	Np001G0430500
OG0000160	AT1G80660.1	Np002G0711700
OG0000162	AT2G04830.1	Np007G3727700
OG0000162	AT2G03610.1	Np001G0244500
OG0000162	AT2G04810.1, AT2G04840.1	Np001G0244800
OG0000163	AT2G06105.1	Np006G3651700, Np002G0952300, Np002G0879200, Np007G3786700, Np007G3787500, Np002G1203300, Np001G0333500, Np003G1621000, Np001G0558600, Np007G3939100
OG0000165	AT2G15010.1	Np002G1201100, Np002G1201400, Np002G1201300, Np002G1201200
OG0000165	AT5G36910.1	Np003G1813000, Np003G1781700, Np003G1822600, Np003G1800900, Np003G1781600, Np003G1801300, Np003G1801500, Np007G4108400
OG0000167	AT3G21170.1	Np007G3808900
OG0000167	AT3G21130.1, AT3G21120.1	Np007G3810100, Np007G3810500
OG0000169	AT1G47340.1, AT1G47350.1	Np004G2006300, Np004G2270200, Np001G0564500
OG0000169	AT1G47300.1	Np004G2270300
OG0000170	AT3G61035.1	Np001G0660400
OG0000170	AT1G33720.1	Np006G3241500
OG0000171	AT5G53300.1	Np003G1641800
OG0000171	AT1G64230.4	Np002G1239200
OG0000171	AT2G16740.1	Np007G3768900
OG0000171	AT5G56150.1	Np003G1582900
OG0000171	AT4G27960.2	Np005G2770300
OG0000172	AT2G02520.1, AT4G05095.1, AT3G25727.1	Np003G1644100, Np006G3712300, Np004G1991300, Np004G1900300
OG0000175	AT5G14670.1	Np003G1416000
OG0000178	AT4G04490.1	Np003G1833700
OG0000178	AT4G04510.2	Np003G1835100
OG0000178	AT4G04500.1	Np003G1835200
OG0000178	AT4G04540.1	Np003G1834900, Np003G1834200
OG0000182	AT3G61100.1, AT3G61090.1	Np001G0465800, Np003G1776200
OG0000183	AT1G66410.2, AT5G37780.3	Np002G0949900, Np001G0612700, Np005G3124900
OG0000183	AT5G21274.1, AT2G27030.3	Np006G3615500
OG0000184	AT4G20610.1, AT4G20630.1, AT4G20580.1, AT4G20640.1, AT4G20670.1, AT4G20620.1, AT4G20590.1, AT4G20600.1, AT4G20540.1, AT4G20645.1, AT4G20550.1, AT4G20560.1, AT4G20530.1, AT4G20570.1, AT3G21990.1, AT3G21980.1	Np007G3824400, Np007G3829200
OG0000184	AT3G22040.1	Np007G3795700
OG0000185	AT1G19060.1, AT1G02770.1	Np001G0026600, Np001G0030000, Np001G0688200
OG0000188	AT2G13630.1, AT3G04660.1	Np007G4202800, Np004G1955500
OG0000189	AT4G35950.1	Np005G2675300
OG0000189	AT4G35020.1	Np007G3769000
OG0000189	AT1G75840.1	Np002G0772800
OG0000189	AT1G20090.1	Np004G2354100
OG0000192	AT3G51210.1	Np003G1311400
OG0000192	AT5G43690.1	Np003G1314300
OG0000192	AT4G26280.1	Np005G2794900
OG0000192	AT3G45080.1, AT3G45070.2, AT2G27570.1	Np004G2432200
OG0000195	AT2G04680.1, AT5G37620.1	Np007G3730700
OG0000196	AT5G41540.1	Np007G4161800
OG0000197	AT5G37750.1, AT5G37440.1	Np005G2896800
OG0000197	AT4G19570.1	Np004G2022400
OG0000198	AT4G14060.1, AT2G01530.1	Np001G0273200, Np001G0273100
OG0000198	AT1G14960.1, AT1G30990.1	Np006G3633600, Np003G1742600
OG0000198	AT1G14930.1, AT1G14940.1	Np004G2415000
OG0000198	AT1G14950.1	Np004G2414700
OG0000198	AT3G26450.1, AT3G26460.1	Np005G2833600
OG0000199	AT4G29770.2, AT5G18065.1, AT5G18040.1, AT4G29760.1	Np004G2471000, Np004G2469700, Np004G2471600, Np004G2469900, Np004G2460000
OG0000200	AT1G05550.3	Np004G2544000
OG0000200	AT1G05540.1	Np004G2543900
OG0000200	AT1G30170.1	Np004G2143200, Np004G2141700, Np003G1654700
OG0000200	AT1G30160.2	Np004G2141600, Np004G2143500
OG0000202	AT4G02190.1, AT4G01910.1, AT4G01930.1, AT4G01740.1, AT4G01920.1, AT4G11550.1, AT4G11390.2, AT4G11540.1, AT4G01760.1	Np007G3890500
OG0000202	AT1G69150.1, AT3G43890.1	Np007G3758700
OG0000202	AT4G01925.1	Np002G1149700
OG0000202	AT4G09690.1, AT4G11547.1	Np007G3791900
OG0000203	AT3G58370.1	Np005G3179800
OG0000203	AT3G58360.1	Np001G0632300
OG0000203	AT3G58350.1	Np001G0631800
OG0000209	AT5G10340.1	Np003G1366500
OG0000210	AT2G28580.2, AT2G44930.1	Np006G3250000
OG0000215	AT2G06265.1, AT2G07505.1	Np007G4021500, Np002G1038000
OG0000216	AT1G57790.1	Np002G1121800
OG0000216	AT3G56470.1	Np001G0606300, Np001G0606400
OG0000225	AT1G78730.1	Np002G0730800
OG0000225	AT1G69630.1	Np002G0730400
OG0000227	AT3G05650.1, AT3G05660.1, AT3G11010.2, AT5G27060.2, AT3G11080.1, AT3G28890.1, AT5G25910.1, AT2G15042.1	Np006G3524200, Np006G3524300
OG0000229	AT2G29880.1	Np006G3473000
OG0000229	AT5G35540.1	Np002G1043000
OG0000230	AT3G58900.4	Np001G0641400
OG0000233	AT5G07550.1	Np003G1335200, Np003G1335300
OG0000233	AT5G07571.1, AT5G07560.1	Np003G1335400
OG0000233	AT5G07540.1	Np003G1335100
OG0000233	AT5G07510.1, AT5G07600.1, AT5G07520.1	Np003G1334700, Np003G1334800, Np003G1334900, Np005G2911800
OG0000234	AT2G44030.1, AT2G45406.1	Np003G1792500
OG0000235	AT3G25080.1	Np003G1445200, Np003G1886600, Np003G1804500
OG0000235	AT1G24388.1	Np005G3191700, Np005G3191200
OG0000236	AT1G69650.1	Np002G0865900, Np002G0866200, Np002G0866000
OG0000236	AT2G15710.1	Np007G3825000
OG0000236	AT3G22080.1	Np003G1773300
OG0000237	AT1G77650.1	Np006G3664800, Np005G3024700
OG0000237	AT3G22650.2	Np007G3835000
OG0000237	AT3G21410.1	Np007G3814600
OG0000238	AT1G70840.1	Np002G0845300
OG0000238	AT5G28000.1, AT5G28010.1	Np004G2309500
OG0000239	AT1G43145.1	Np003G1674300, Np001G0362700, Np001G0271800, Np003G1818900, Np002G0913500, Np007G4007300, Np001G0271700
OG0000241	AT4G21860.1	Np005G2864100
OG0000241	AT4G04830.1	Np003G1837500
OG0000242	AT5G48670.1	Np007G4179600
OG0000242	AT5G26630.1	Np001G0141900
OG0000243	AT1G29420.2, AT1G29510.1	Np004G2125700, Np004G2125900, Np004G2125000
OG0000243	AT1G29460.2, AT1G29500.1	Np004G2125200
OG0000243	AT1G29440.1, AT1G29430.1, AT5G27780.1	Np004G2125600
OG0000244	AT4G05230.1	Np003G1858400
OG0000244	AT4G03370.1, AT4G03360.1, AT4G02950.1, AT4G03350.1, AT4G02970.1	Np003G1858200, Np003G1858100, Np003G1857800
OG0000246	AT2G36790.1, AT2G36800.1	Np006G3384100, Np003G1776100
OG0000246	AT2G36760.1	Np005G3092400
OG0000247	AT5G38500.1, AT3G49610.1	Np004G2545900
OG0000247	AT1G32030.1	Np004G2538200, Np003G1780900, Np003G1801100, Np003G1791800, Np003G1778100, Np003G1777900, Np003G1786000
OG0000248	AT1G70120.1	Np002G0857800
OG0000248	AT5G39330.1, AT1G70020.1	Np002G0860000
OG0000249	AT1G43260.1	Np008G4270100, Np009G4325200, Np001G0129900, Np003G1744700
OG0000250	AT4G05320.2	Np003G1507100, Np003G1848500
OG0000250	AT4G02890.3	Np003G1647300
OG0000251	AT3G26300.1, AT3G26310.1	Np001G0226900
OG0000251	AT3G26330.1, AT3G26320.1	Np001G0491300, Np001G0226800, Np001G0226600
OG0000251	AT5G57260.1	Np003G1562200
OG0000253	AT1G56410.1	Np002G0865000
OG0000253	AT3G09440.1	Np007G4134200
OG0000253	AT5G02500.1	Np003G1267200
OG0000254	AT4G15680.1	Np005G3023700, Np005G3023600
OG0000255	AT1G42190.1	Np007G4006000, Np008G4290400, Np007G4010300, Np006G3593600, Np003G1709200, Np005G2940900, Np005G2940700, Np004G2248500, Np007G4040600, Np006G3428900, Np003G1755900, Np002G0990800, Np009G4319500, Np002G0970800, Np011G4356100, Np006G3533100, Np003G1707800
OG0000259	AT1G49610.1, AT3G03360.1, AT1G57690.1	Np001G0461900
OG0000265	AT5G15690.1, AT4G04775.1	Np005G3140200, Np007G4120400, Np002G0744800, Np002G0778500, Np003G1560300, Np004G1972500, Np006G3567500, Np004G2255600, Np001G0314500
OG0000269	AT5G59720.1	Np003G1526500
OG0000269	AT3G46230.1	Np001G0459000, Np001G0458900
OG0000269	AT1G07400.1, AT1G59860.1, AT2G29500.1	Np004G2521600
OG0000270	AT1G63320.1	Np006G3619100
OG0000275	AT4G39760.1	Np001G0244400
OG0000275	AT4G39753.1	Np005G2619800
OG0000275	AT5G28180.1, AT5G28160.1	Np004G1985300
OG0000277	AT4G34720.1, AT2G16510.1, AT4G38920.1	Np007G3772100
OG0000277	AT1G75630.2	Np004G2355900
OG0000278	AT5G37470.2, AT5G37460.1, AT5G37920.1, AT5G37430.1, AT5G37410.2, AT4G16530.1, AT5G37420.1	Np005G3117100
OG0000279	AT2G26030.4	Np002G1141200, Np003G1803300
OG0000279	AT5G44950.1	Np005G3095700, Np001G0385400
OG0000279	AT5G44970.1	Np001G0386500
OG0000282	AT4G22170.1	Np006G3612000
OG0000282	AT4G14165.1	Np004G2027200, Np005G3148900, Np005G2741000
OG0000284	AT5G19270.1	Np005G2943000
OG0000285	AT4G21380.1	Np005G2879700
OG0000286	AT3G10750.1	Np003G1578100
OG0000286	AT1G05080.1	Np005G2707100, Np005G2706600, Np005G2707500
OG0000286	AT5G44850.1	Np003G1257000
OG0000290	AT1G49920.1	Np002G1240300
OG0000292	AT4G29090.1	Np001G0267600
OG0000294	AT4G11590.1	Np007G3931800, Np002G0947400
OG0000294	AT1G31000.1	Np002G1225100
OG0000295	AT1G05005.1	Np004G2551000
OG0000295	AT3G11380.1, AT3G11350.1	Np004G2108300
OG0000296	AT5G59090.1, AT5G59120.1	Np003G1534000, Np007G4243900, Np003G1534400
OG0000296	AT5G58840.1, AT5G58820.1, AT5G58830.1	Np003G1539300
OG0000298	AT1G33590.2	Np001G0361700, Np004G2066800, Np004G2066700
OG0000300	AT3G56670.1	Np004G1944000
OG0000301	AT2G44630.1, AT2G44700.1	Np001G0656600
OG0000301	AT4G02310.1	Np001G0664000
OG0000304	AT5G48510.1, AT2G05330.1	Np004G2005100, Np004G2005300
OG0000304	AT2G40450.1	Np003G1830800
OG0000305	AT1G17150.1	Np004G2040900, Np004G2390100
OG0000307	AT1G51240.1, AT1G51250.1, AT1G51230.1, AT5G39493.1, AT1G09245.1	Np007G3777700
OG0000308	AT5G43370.1, AT5G43350.1	Np001G0413900, Np001G0413800, Np001G0414200, Np001G0414100
OG0000313	AT2G20620.1	Np006G3363800, Np006G3363700
OG0000316	AT3G14680.1, AT3G14640.2	Np007G4052400, Np007G4052300, Np002G1064100
OG0000321	AT1G04820.1	Np004G1971000
OG0000321	AT5G19770.1, AT5G19780.1	Np003G1478700
OG0000323	AT5G40100.1	Np005G3167200
OG0000323	AT1G72840.2, AT4G09430.1, AT5G48770.1	Np004G2384500
OG0000325	AT1G04750.1	Np004G2554700
OG0000325	AT2G33120.2	Np006G3577000
OG0000325	AT1G04760.1	Np004G2554500
OG0000326	AT2G03460.1	Np006G3247600, Np004G2144700, Np005G3048100
OG0000327	AT1G77570.1	Np005G3168200
OG0000328	AT3G21000.1	Np007G3807700
OG0000329	AT4G14630.1	Np005G3045800
OG0000330	AT1G72920.1, AT1G72940.1, AT1G72900.1, AT1G72930.1, AT1G72910.1, AT1G72950.1	Np002G0817100, Np002G0817000
OG0000330	AT1G72890.2	Np002G0817200
OG0000331	AT4G01850.1	Np003G1874800
OG0000331	AT3G17390.1	Np007G3925500
OG0000331	AT2G36880.1	Np006G3382400
OG0000332	AT1G61500.3	Np002G1180900
OG0000335	AT1G06630.1	Np001G0491000, Np001G0490700
OG0000336	AT1G09690.1, AT1G09590.1	Np004G2494000, Np002G1126300, Np004G2495700, Np002G1118200
OG0000339	AT4G20235.1	Np001G0393100
OG0000339	AT4G13310.1, AT4G13290.1	Np005G3086500
OG0000342	AT2G24510.1	Np005G3060100, Np005G3059800
OG0000344	AT1G11270.1	Np007G3786100
OG0000345	AT1G33850.1, AT5G09500.1, AT5G43640.1	Np001G0410500
OG0000345	AT5G09490.1	Np003G1357300
OG0000345	AT1G04270.1	Np004G2560200
OG0000346	AT3G53280.1	Np001G0560600
OG0000346	AT3G26200.1	Np001G0228500, Np001G0228200, Np001G0228300
OG0000346	AT3G53290.1	Np004G1975800
OG0000346	AT5G35715.1, AT3G53305.1, AT3G53300.1	Np001G0561000
OG0000347	AT3G61430.1	Np001G0672700
OG0000347	AT4G23400.1	Np005G2837600
OG0000347	AT1G01620.1	Np004G2592100
OG0000347	AT4G00430.1	Np003G1893600
OG0000348	AT3G28223.1, AT3G48220.1	Np001G0200000
OG0000349	AT5G59660.3	Np003G1527400
OG0000349	AT5G59680.1	Np003G1526900
OG0000350	AT3G29050.2, AT3G21920.2, AT3G21930.1, AT3G21910.1, AT3G21900.2	Np007G3817600, Np007G3817500, Np007G3817800, Np007G3824500, Np007G3824300, Np007G3845500, Np007G3845200, Np007G3829000
OG0000351	AT2G15660.1	Np007G4098900, Np005G2793500, Np005G2793600, Np007G4098800
OG0000355	AT5G60440.1	Np003G1518500
OG0000357	AT1G29930.1, AT1G29920.1, AT1G29910.1	Np004G2131300, Np004G2131200
OG0000359	AT5G54145.1	Np003G1622800
OG0000359	AT4G27652.1	Np005G2774500, Np005G2774300
OG0000361	AT5G32613.1	Np004G1900200
OG0000362	AT3G30730.2	Np001G0541800, Np001G0386300, Np002G0787100, Np002G0996100
OG0000362	AT3G30739.1	Np004G2558000
OG0000363	AT3G44970.1	Np003G1299400
OG0000363	AT1G55940.2	Np004G1904600
OG0000363	AT1G78490.1	Np004G2083300
OG0000364	AT2G40560.1, AT2G40500.1	Np006G3315100
OG0000365	AT1G26380.1, AT1G26410.1, AT1G26400.1, AT1G26420.1	Np004G2256300
OG0000367	AT5G35610.1	Np002G0859300, Np002G0859700
OG0000367	AT1G27250.1	Np005G2934000
OG0000368	AT3G46650.1	Np001G0464200
OG0000368	AT3G46720.1	Np001G0464500, Np001G0465000, Np001G0464400
OG0000369	AT5G49490.1, AT5G49420.1, AT5G38620.1	Np007G3873300, Np007G3872900, Np007G3878000, Np003G1659100, Np006G3612900
OG0000370	AT3G23950.1, AT3G23970.1	Np007G3881700
OG0000371	AT5G36080.1	Np005G2999700
OG0000371	AT1G35820.1, AT3G42870.1, AT3G30520.1	Np003G1738900
OG0000371	AT1G43720.1	Np005G2999800
OG0000376	AT1G60750.1	Np002G1165500
OG0000376	AT1G10810.1	Np002G1164800, Np002G0907800
OG0000376	AT1G60690.1	Np002G1165400
OG0000376	AT1G60710.1	Np002G1165100
OG0000377	AT4G37370.1	Np005G2692900
OG0000377	AT1G66540.1, AT4G37360.1, AT4G37340.1	Np005G2692800
OG0000377	AT4G37320.1	Np005G2692500
OG0000377	AT4G37330.1	Np005G2692700
OG0000379	AT2G02040.1	Np001G0262000
OG0000379	AT3G54140.1	Np001G0572200
OG0000379	AT2G02020.1	Np001G0262300
OG0000380	AT1G35850.1, AT5G59280.1, AT1G21620.1	Np003G1532600
OG0000380	AT5G60180.1, AT5G60110.1	Np003G1521100, Np003G1521000, Np001G0458000
OG0000381	AT1G78635.1, AT1G78640.1	Np002G0731800
OG0000381	AT2G33720.1	Np006G3437400
OG0000382	AT4G02420.1, AT4G02410.1	Np003G1866800
OG0000382	AT2G37710.1	Np006G3368000
OG0000383	AT1G23720.2	Np006G3646200, Np006G3646100, Np004G2298600
OG0000383	AT3G28550.1, AT3G54590.3, AT3G54580.1	Np001G0576800, Np001G0576700, Np001G0576600, Np002G0976000
OG0000384	AT5G46940.1, AT5G46970.1, AT5G46930.1	Np001G0337300
OG0000386	AT1G33960.2	Np004G2069400
OG0000386	AT1G33930.1	Np004G2074600, Np004G2076900, Np004G2072700
OG0000386	AT1G33870.1	Np004G2078600, Np004G2071200
OG0000386	AT1G33910.1	Np004G2074700
OG0000386	AT1G33900.1	Np004G2078500, Np004G2079300, Np004G2073500, Np004G2071300, Np004G2074900
OG0000388	AT3G17550.1	Np007G3923800, Np007G3923600, Np007G3924100, Np007G3782200
OG0000388	AT5G54210.1	Np003G1624100, Np003G1624300
OG0000388	AT5G23470.1, AT2G02290.1	Np001G0105800
OG0000388	AT2G04930.1, AT3G19595.1	Np007G3969000, Np007G3969100
OG0000389	AT5G56700.2, AT5G56690.1	Np004G2014700, Np004G2017900
OG0000389	AT2G26860.1	Np005G3094800
