Orthogroup	Alyssum_gmelinii	Arabidopsis_thaliana
OG0000121	Ag057G4960300, Ag004G0478000, Ag034G3917400, Ag002G0199500, Ag026G2979400, Ag001G0038000, Ag013G1486800, Ag034G3979800, Ag075G5293000, Ag034G3918700, Ag012G1325100, Ag048G4615600, Ag022G2667600, Ag013G1657600, Ag033G3603300, Ag088G5429800, Ag004G0527800, Ag004G0752500, Ag032G3454000, Ag013G1348300, Ag034G4049200, Ag034G4062600, Ag013G1643800, Ag004G0663600, Ag011G1257700, Ag042G4409800, Ag050G4765300, Ag025G2939600, Ag033G3480100, Ag066G5155600, Ag048G4631500, Ag002G0194900, Ag039G4332100, Ag074G5275500, Ag013G1525700, Ag020G2575400, Ag058G4990100, Ag040G4352400, Ag036G4114000, Ag004G0594400, Ag020G2574400, Ag013G1341000, Ag013G1341700, Ag048G4606800, Ag021G2626200, Ag030G3125100, Ag022G2663000, Ag013G1681600, Ag022G2636200, Ag039G4328200	AT2G01050.1
OG0000125	Ag034G3743800	AT1G07560.1
OG0000125	Ag001G0065100	AT1G49100.1
OG0000125	Ag001G0066100	AT1G51820.1, AT1G51850.2, AT1G51830.2
OG0000125	Ag027G3062400	AT3G21340.1
OG0000125	Ag001G0065900	AT1G51810.1
OG0000127	Ag004G0605400	AT5G22880.1
OG0000127	Ag031G3386800, Ag039G4310500	AT3G53650.1
OG0000127	Ag013G1609800	AT5G59910.1, AT3G45980.1, AT3G46030.1, AT2G28720.1
OG0000128	Ag031G3245400, Ag031G3245300, Ag031G3245200	AT3G59270.1
OG0000128	Ag031G3245700, Ag031G3245600	AT3G59250.1
OG0000128	Ag031G3246800, Ag031G3247000, Ag031G3246900	AT3G59200.1
OG0000128	Ag031G3246700	AT3G59210.1
OG0000128	Ag031G3249200, Ag031G3249100, Ag031G3248800, Ag031G3351900, Ag031G3350800, Ag031G3350000, Ag031G3350700, Ag002G0204500, Ag031G3349900	AT1G58310.1, AT4G14103.2, AT4G14096.1
OG0000129	Ag013G1553100, Ag013G1550500, Ag013G1552900, Ag016G2401500, Ag013G1550300	AT1G65120.2
OG0000130	Ag006G0840700	AT3G32130.1
OG0000130	Ag074G5269900	AT3G25270.1, AT2G04420.1, AT1G50160.1
OG0000130	Ag018G2457000	AT5G43755.1
OG0000132	Ag039G4243000, Ag039G4243200, Ag039G4241900	AT5G38590.2, AT5G38570.1, AT5G38565.1
OG0000134	Ag033G3544500	AT3G04220.3
OG0000136	Ag013G1519100, Ag024G2872900, Ag033G3633700, Ag006G0798400, Ag020G2576300, Ag039G4209200, Ag033G3590600, Ag012G1284000	AT1G40390.1
OG0000137	Ag004G0742000	AT5G55360.1
OG0000137	Ag004G0741800	AT5G51420.1
OG0000137	Ag004G0742300	AT5G55350.1
OG0000137	Ag004G0742500, Ag004G0742600	AT5G55340.1
OG0000138	Ag031G3253900	AT3G58980.1
OG0000138	Ag033G3506400, Ag078G5363200	AT3G58960.1
OG0000138	Ag031G3182200, Ag031G3182000, Ag039G4256800	AT3G62430.1, AT3G54160.1
OG0000151	Ag031G3356400	AT3G55110.1
OG0000151	Ag031G3356700	AT3G55100.1
OG0000151	Ag039G4248200	AT2G39350.1
OG0000151	Ag031G3356800	AT3G55090.1
OG0000151	Ag031G3389200	AT3G53510.1
OG0000151	Ag039G4314300	AT2G37360.1
OG0000151	Ag013G1463800	AT5G13580.1
OG0000153	Ag013G1617600, Ag013G1618100	AT2G29330.1
OG0000153	Ag013G1616400	AT2G30670.1
OG0000153	Ag013G1615700	AT2G29300.2, AT2G29320.1
OG0000154	Ag001G0045800	AT1G50830.1, AT5G18510.1
OG0000154	Ag053G4872200	AT4G16050.1
OG0000154	Ag001G0045400, Ag001G0045500, Ag001G0045200, Ag001G0045100, Ag001G0045300, Ag001G0049100, Ag002G0262200	AT1G50790.1, AT1G50820.2
OG0000157	Ag013G1573100, Ag013G1573300, Ag013G1572900, Ag013G1573200, Ag013G1510300, Ag013G1510500, Ag013G1510800, Ag013G1510100, Ag013G1750400, Ag013G1750900, Ag013G1750300, Ag013G1751200, Ag013G1750800, Ag013G1744300, Ag007G0933400, Ag022G2711500, Ag022G2708900, Ag013G1473500, Ag046G4529800, Ag013G1572800	AT1G32660.1
OG0000158	Ag011G1191200	AT4G36840.1
OG0000160	Ag042G4405700	AT2G18960.1
OG0000160	Ag068G5221600	AT4G30190.2
OG0000160	Ag004G0692900	AT5G57350.1
OG0000160	Ag048G4572800	AT1G80660.1
OG0000162	Ag011G1165200, Ag011G1165400, Ag011G1163300, Ag011G1163400, Ag011G1167300, Ag011G1167100, Ag011G1166900, Ag011G1222300	AT2G03560.1, AT5G38270.1
OG0000162	Ag011G1166800	AT2G03610.1
OG0000162	Ag014G2098100	AT2G04810.1, AT2G04840.1
OG0000165	Ag014G1928400	AT2G15010.1
OG0000167	Ag014G2104000, Ag014G2103200, Ag014G2102400	AT3G21130.1
OG0000167	Ag003G0383500, Ag003G0383700	AT3G23260.1
OG0000170	Ag031G3214400	AT3G61040.1
OG0000170	Ag003G0320400	AT1G33730.1
OG0000170	Ag003G0319700, Ag003G0319800, Ag003G0320300, Ag003G0320600, Ag003G0320500, Ag003G0320200	AT1G33720.1
OG0000170	Ag003G0320000	AT2G45560.1
OG0000171	Ag020G2575200	AT5G53300.1
OG0000171	Ag024G2869500	AT1G64230.4
OG0000171	Ag044G4495800	AT2G16740.1
OG0000171	Ag004G0721800	AT5G56150.1
OG0000171	Ag014G1883300	AT3G08700.1, AT3G08690.1
OG0000171	Ag010G1018000	AT4G27960.2
OG0000173	Ag014G1845700, Ag014G1846300, Ag014G1846000	AT3G24610.1, AT2G14288.1
OG0000174	Ag025G2929800	AT1G52603.1
OG0000174	Ag043G4452900	AT1G67235.1
OG0000175	Ag034G4063600	AT1G23490.1
OG0000175	Ag013G1441100	AT5G14670.1
OG0000176	Ag014G1823200, Ag014G1822800, Ag014G1822900, Ag014G1823300, Ag014G1822700	AT3G05370.1
OG0000176	Ag014G1833000	AT3G05360.1
OG0000177	Ag034G3998900, Ag034G3998500, Ag034G3998600	AT1G21240.1, AT1G21250.1, AT1G21230.1
OG0000177	Ag034G3998400	AT1G21210.1
OG0000178	Ag066G5142800	AT4G04490.1
OG0000178	Ag016G2366900, Ag016G2366600	AT4G04510.2
OG0000178	Ag016G2366000, Ag016G2366700	AT4G04500.1
OG0000178	Ag066G5144100, Ag066G5143400	AT4G04570.1, AT4G04540.1
OG0000183	Ag061G5037800	AT1G66410.2, AT5G37780.3
OG0000183	Ag031G3311200	AT3G56800.1
OG0000183	Ag013G1588300	AT5G21274.1, AT2G27030.3
OG0000184	Ag027G3048100	AT4G20610.1, AT4G20630.1, AT4G20580.1, AT4G20640.1, AT4G20670.1, AT4G20620.1, AT4G20590.1, AT4G20600.1, AT4G20540.1, AT4G20645.1, AT4G20550.1, AT4G20560.1, AT4G20530.1, AT4G20570.1, AT3G21990.1, AT3G21980.1
OG0000184	Ag027G3047400	AT3G22020.1
OG0000184	Ag027G3047200, Ag027G3046800	AT3G22040.1
OG0000185	Ag032G3420100	AT1G23970.2, AT1G23950.2, AT1G23960.1, AT1G27860.1, AT1G28500.1
OG0000186	Ag039G4226500	AT1G61840.1
OG0000187	Ag034G3783000	AT2G29780.1, AT2G29770.1, AT2G29600.1, AT2G29800.1, AT2G29810.1, AT2G29830.1, AT2G29820.1, AT2G29860.1
OG0000188	Ag014G1820500, Ag014G1820600, Ag011G1195700	AT2G13630.1, AT3G04660.1
OG0000189	Ag011G1112900	AT2G17800.1
OG0000189	Ag044G4495700	AT4G35020.1
OG0000189	Ag048G4687900	AT1G75840.1, AT1G20090.1
OG0000193	Ag014G2035100, Ag014G2034500, Ag014G2034300, Ag014G2034200	AT2G14710.1, AT3G16580.1
OG0000193	Ag014G2096100, Ag014G2096200, Ag014G2036800, Ag034G3813900	AT1G47390.1
OG0000195	Ag004G0630200	AT4G01340.1, AT5G59920.1, AT4G01350.1
OG0000197	Ag001G0061800, Ag032G3452100, Ag033G3647000, Ag033G3646800	AT5G37760.1
OG0000197	Ag033G3647600, Ag033G3647500	AT5G37750.1, AT5G37440.1
OG0000198	Ag039G4275700	AT2G01520.1
OG0000198	Ag027G3046500	AT4G14060.1, AT2G01530.1
OG0000198	Ag034G3876100, Ag034G3875700, Ag034G3875800, Ag034G3876300, Ag034G3876400	AT1G14960.1, AT1G30990.1
OG0000198	Ag034G3875600	AT1G14930.1, AT1G14940.1, AT1G14950.1
OG0000198	Ag034G3844000, Ag033G3487200, Ag077G5316000	AT3G26450.1, AT3G26460.1
OG0000199	Ag068G5227600, Ag031G3205000	AT1G51670.1, AT1G48180.1
OG0000200	Ag034G3715300, Ag034G3715100, Ag034G3715600	AT1G05550.3
OG0000200	Ag034G3715200, Ag034G3715500	AT1G05540.1
OG0000200	Ag034G3715400	AT1G30170.1, AT1G30160.2
OG0000202	Ag022G2638600, Ag022G2638700, Ag022G2638400, Ag022G2633500, Ag022G2638100, Ag048G4675800	AT4G02180.1
OG0000202	Ag019G2492100	AT4G02190.1, AT4G01910.1, AT4G01930.1, AT4G01740.1, AT4G01920.1, AT4G11550.1, AT4G11390.2, AT4G11540.1, AT4G01760.1
OG0000202	Ag048G4676700	AT4G09690.1, AT4G11547.1
OG0000203	Ag031G3273700, Ag031G3272800, Ag031G3272600, Ag070G5235400	AT3G58250.1
OG0000203	Ag031G3304300	AT3G58270.1
OG0000203	Ag031G3270000	AT3G58360.1
OG0000203	Ag031G3270800	AT3G58350.1
OG0000208	Ag008G0951300, Ag029G3116900, Ag034G3931200, Ag013G1421500	AT2G06425.1, AT4G04265.1, AT5G34581.1
OG0000209	Ag013G1527000, Ag013G1527200, Ag013G1526500	AT5G10340.1
OG0000210	Ag003G0329800, Ag003G0330000	AT2G44930.1
OG0000210	Ag002G0166900	AT1G67150.2
OG0000210	Ag031G3221400, Ag031G3221100, Ag031G3221200	AT3G60470.1
OG0000215	Ag061G5039900, Ag040G4337500	AT2G06265.1, AT2G07505.1
OG0000216	Ag030G3133600	AT4G12370.1
OG0000216	Ag030G3134000, Ag030G3134400, Ag030G3133900	AT4G10700.1, AT4G10660.1, AT4G10695.1
OG0000216	Ag002G0262400	AT1G57790.1
OG0000216	Ag031G3320500	AT3G56470.1
OG0000219	Ag015G2278200, Ag013G1733900, Ag003G0403300	AT3G48835.1, AT3G48840.1, AT5G41690.1, AT3G10845.1, AT1G45100.1
OG0000225	Ag061G5039000, Ag048G4599700, Ag048G4599600, Ag048G4599100, Ag048G4599800, Ag048G4598800, Ag048G4598900, Ag048G4598600, Ag034G3762800, Ag048G4598700	AT1G78730.1
OG0000225	Ag025G2955300	AT1G69630.1, AT1G78750.1, AT1G78740.1
OG0000226	Ag022G2755100	AT4G13130.1
OG0000226	Ag022G2755600	AT1G66440.1, AT1G66450.2, AT1G29180.1
OG0000227	Ag014G1926300, Ag014G1926900	AT3G05650.1, AT3G05660.1
OG0000229	Ag031G3248700	AT5G28820.1
OG0000229	Ag013G1568700	AT2G29880.1
OG0000230	Ag031G3255600, Ag031G3298100, Ag031G3298200	AT3G58900.4
OG0000233	Ag013G1570300	AT5G07550.1
OG0000233	Ag013G1570500	AT5G07540.1
OG0000233	Ag031G3246600	AT5G07510.1, AT5G07600.1, AT5G07520.1
OG0000234	Ag003G0323000	AT2G44030.1, AT2G45406.1
OG0000234	Ag022G2764600, Ag022G2764800	AT5G02990.1
OG0000234	Ag022G2764200, Ag022G2764500, Ag022G2764700, Ag022G2764000, Ag022G2768000, Ag022G2768600, Ag022G2768200, Ag022G2768100, Ag022G2768400, Ag022G2768300, Ag011G1232900, Ag022G2767600, Ag022G2767700, Ag054G4882400, Ag022G2767800, Ag022G2764100, Ag022G2767900, Ag022G2764300, Ag039G4209400, Ag039G4208100, Ag039G4208800, Ag039G4208300, Ag039G4208700, Ag039G4209300, Ag039G4209100, Ag039G4209000, Ag039G4208400, Ag039G4208200	AT5G02980.1, AT5G02995.1, AT5G03020.1, AT5G03010.1, AT5G03000.1, AT3G46050.1
OG0000236	Ag004G0579500, Ag004G0579700, Ag004G0579800	AT3G22080.1
OG0000237	Ag014G1943900, Ag014G1944000	AT3G10430.1, AT4G04690.1, AT3G08750.1
OG0000237	Ag027G3032700	AT3G22650.2
OG0000238	Ag034G4054800	AT1G70840.1
OG0000238	Ag034G4035700	AT5G28000.1, AT5G28010.1
OG0000241	Ag033G3624000	AT4G21860.1
OG0000241	Ag033G3623800, Ag033G3623900	AT4G21850.1
OG0000241	Ag033G3623500	AT4G21840.1, AT4G21830.1
OG0000241	Ag066G5155300, Ag087G5425900	AT4G04840.1
OG0000241	Ag087G5425400, Ag066G5154800	AT4G04800.1
OG0000241	Ag066G5154900, Ag087G5425500	AT4G04830.1
OG0000242	Ag025G2907300, Ag053G4869700, Ag060G4999200	AT5G26630.1
OG0000243	Ag013G1732100, Ag013G1731300	AT1G29440.1, AT1G29430.1, AT5G27780.1
OG0000244	Ag016G2372100	AT4G05230.1
OG0000244	Ag013G1572000	AT4G03370.1, AT4G03360.1, AT4G02950.1, AT4G03350.1, AT4G02970.1
OG0000246	Ag031G3398800	AT3G53160.1
OG0000246	Ag054G4896600, Ag039G4258400	AT2G36790.1, AT2G36800.1
OG0000246	Ag054G4896300	AT2G36750.1
OG0000246	Ag054G4896100	AT2G36760.1
OG0000246	Ag054G4896400	AT2G36780.1, AT2G36770.1
OG0000247	Ag014G2114700, Ag014G2114900, Ag014G2114800, Ag014G2114500, Ag014G2114600, Ag027G3032000, Ag034G3721900, Ag033G3509400, Ag042G4395500, Ag033G3506700, Ag001G0009300, Ag007G0907500	AT1G32030.1
OG0000248	Ag011G1065700	AT3G54410.1
OG0000248	Ag034G3929700	AT1G70020.1
OG0000248	Ag031G3217400	AT3G60700.1
OG0000249	Ag047G4539500, Ag046G4528600, Ag033G3520600, Ag038G4158700, Ag001G0068400	AT1G43260.1
OG0000249	Ag026G2976600	AT5G31412.1
OG0000250	Ag002G0159600	AT4G02890.3
OG0000250	Ag025G2955800, Ag025G2956100	AT5G37640.1
OG0000250	Ag013G1434600	AT5G03240.1, AT1G65350.1
OG0000251	Ag039G4288800	AT3G26300.1, AT3G26310.1
OG0000251	Ag034G3997100	AT3G26330.1, AT3G26320.1
OG0000251	Ag003G0404600, Ag031G3334700	AT2G02580.1
OG0000251	Ag004G0694500	AT5G57260.1
OG0000252	Ag011G1243100	AT5G37170.1
OG0000253	Ag001G0017800	AT1G56410.1
OG0000253	Ag014G1951000	AT3G12580.1
OG0000254	Ag007G0925500	AT4G15660.1, AT4G15670.1, AT4G15690.1, AT4G15700.1
OG0000256	Ag014G2059200, Ag048G4625100, Ag014G2059300	AT3G17480.1, AT1G62270.1
OG0000257	Ag048G4688000, Ag048G4688200, Ag048G4688100	AT1G75830.1
OG0000259	Ag039G4215200, Ag039G4215400, Ag039G4215300	AT1G49610.1, AT3G03360.1
OG0000259	Ag014G2073900	AT1G57690.1
OG0000260	Ag011G1048500	AT4G39510.1
OG0000262	Ag024G2871800, Ag024G2871300, Ag024G2852700, Ag002G0098100	AT1G62170.2, AT2G14540.1
OG0000265	Ag007G0867200, Ag042G4396600, Ag050G4782300, Ag002G0175100, Ag002G0258600, Ag048G4700200, Ag014G1923200, Ag036G4112900, Ag023G2843400, Ag071G5240200, Ag052G4863000, Ag003G0334200, Ag033G3641000, Ag071G5246600, Ag071G5246700, Ag022G2726600, Ag065G5125400, Ag002G0115400, Ag039G4187900, Ag011G1185800, Ag008G0941300, Ag012G1307200, Ag075G5286000, Ag014G2065500, Ag053G4873100, Ag022G2747900, Ag004G0739500, Ag015G2248100, Ag054G4891200, Ag021G2601800, Ag055G4910100	AT5G15690.1, AT4G04775.1
OG0000269	Ag004G0636600, Ag004G0635100, Ag004G0636400, Ag007G0892200	AT5G59720.1
OG0000269	Ag016G2389000	AT3G46230.1
OG0000269	Ag013G1620300, Ag013G1620400, Ag013G1620600	AT2G29500.1
OG0000270	Ag002G0160600	AT1G63320.1
OG0000270	Ag002G0160400	AT1G63330.1
OG0000273	Ag042G4391800, Ag013G1639200, Ag013G1639000, Ag013G1638800, Ag013G1639100	AT5G53635.1
OG0000275	Ag014G1804000	AT4G39753.1
OG0000275	Ag011G1055200	AT5G28180.1, AT5G28160.1
OG0000277	Ag011G1147800	AT4G34720.1, AT2G16510.1, AT4G38920.1
OG0000277	Ag048G4700100	AT1G75630.2
OG0000278	Ag054G4882600, Ag054G4885700, Ag050G4747300	AT4G09440.1
OG0000279	Ag066G5133900, Ag016G2336900, Ag006G0843600	AT2G26030.4
OG0000279	Ag016G2337700	AT5G44950.1, AT5G44970.1, AT5G44980.1, AT5G44940.1, AT5G44960.1
OG0000282	Ag033G3614700, Ag033G3609700, Ag050G4769500, Ag033G3533000	AT4G14165.1
OG0000284	Ag056G4943900	AT5G19270.1
OG0000285	Ag033G3606300	AT4G21380.1
OG0000285	Ag033G3605400	AT4G27290.2
OG0000286	Ag002G0119000	AT3G10750.1
OG0000286	Ag011G1174800	AT5G44850.1
OG0000288	Ag039G4330500, Ag033G3504600, Ag039G4285400, Ag023G2834000, Ag045G4506700, Ag007G0870800, Ag040G4343400, Ag040G4342900, Ag033G3504200, Ag016G2383200, Ag039G4328800, Ag021G2628500, Ag011G1167700, Ag076G5315200, Ag007G0869600, Ag017G2430500, Ag041G4354400, Ag013G1396000	AT5G30520.1, AT2G06565.1
OG0000289	Ag001G0007500, Ag032G3460700	AT3G25010.2, AT3G25020.1, AT3G24982.1, AT3G24900.2, AT2G33080.1, AT2G33020.1, AT2G32680.1, AT2G25440.1
OG0000290	Ag014G2028900	AT1G64255.1
OG0000294	Ag013G1408700	AT4G11590.1
