Orthogroup	Alyssum_gmelinii	Noccaea_praecox
OG0000024	Ag050G4762100, Ag050G4762000, Ag050G4761900, Ag050G4746600, Ag050G4752600, Ag050G4752400, Ag050G4746500, Ag050G4746300, Ag022G2696300, Ag022G2696700, Ag050G4754800, Ag050G4755000, Ag050G4751800, Ag050G4752100, Ag050G4752300	Np004G1980700, Np004G1980500
OG0000024	Ag013G1663800	Np002G0932100
OG0000024	Ag031G3235600	Np004G2007800
OG0000024	Ag013G1754200	Np004G2150800, Np001G0579500, Np001G0579400, Np004G2148800, Np004G2148600, Np005G2717400
OG0000025	Ag015G2255100	Np006G3544700
OG0000025	Ag067G5188200, Ag030G3132300	Np003G1727000
OG0000026	Ag063G5074400, Ag063G5074600, Ag020G2577200, Ag030G3131700, Ag002G0272200, Ag055G4904800, Ag003G0347700, Ag014G2059100, Ag016G2402300, Ag016G2403500, Ag053G4869800	Np002G1023700, Np003G1714900, Np004G2296200, Np002G1036400, Np006G3505400
OG0000026	Ag287G5488300, Ag015G2272200, Ag023G2829200	Np002G0982000, Np002G0982200, Np004G2241900, Np002G1073000, Np002G1127100, Np004G2249100, Np002G1005400, Np001G0243300, Np002G0966100, Np004G2247000, Np001G0260700, Np002G1000900, Np004G2249200, Np006G3466700
OG0000026	Ag013G1736700, Ag015G2272100, Ag016G2403600, Ag025G2906900, Ag031G3406200, Ag063G5074500, Ag063G5074300, Ag016G2402400	Np001G0460600, Np001G0205400, Np002G1009300, Np006G3527300, Np001G0460700, Np003G1715000
OG0000027	Ag021G2619200	Np003G1806500
OG0000027	Ag093G5459600	Np005G2841300
OG0000027	Ag033G3496400	Np005G2840200
OG0000028	Ag078G5387500	Np003G1814100, Np006G3583400, Np006G3684500, Np006G3583600, Np006G3583100, Np003G1813800, Np003G1813300
OG0000030	Ag014G1952600, Ag014G1958800, Ag014G1958700, Ag014G1965000, Ag042G4396900, Ag042G4397700, Ag042G4398200, Ag014G1952300, Ag014G1952400	Np001G0090700
OG0000030	Ag039G4188300, Ag003G0399100, Ag014G1840000, Ag031G3271600	Np004G2249500, Np004G2249800
OG0000030	Ag013G1357800	Np004G2250000
OG0000031	Ag030G3130300	Np005G2850000
OG0000031	Ag028G3081200, Ag048G4605200, Ag023G2817900	Np006G3345400
OG0000032	Ag037G4132500	Np004G2267500
OG0000032	Ag005G0786000	Np005G3033300, Np004G2084500, Np002G1024100, Np004G2084400, Np005G3033400
OG0000032	Ag011G1160200, Ag011G1160300, Ag011G1160400	Np004G2267700
OG0000034	Ag093G5459200, Ag033G3498700	Np005G2840700, Np005G2840600
OG0000034	Ag093G5459500, Ag033G3498900	Np005G2841400
OG0000034	Ag033G3477100, Ag052G4847100	Np005G2839700, Np005G2840900
OG0000034	Ag033G3500200, Ag093G5460400	Np005G2841700
OG0000035	Ag061G5042200, Ag007G0851700, Ag007G0851600, Ag015G2256800, Ag031G3385600	Np005G2976300, Np005G2976500, Np004G2088100, Np005G3165600
OG0000035	Ag093G5463700	Np002G0910400
OG0000035	Ag011G1111100, Ag055G4905000	Np002G1076200
OG0000038	Ag013G1382300, Ag066G5165400, Ag002G0115800	Np007G3978400
OG0000040	Ag031G3415700	Np002G0854800
OG0000042	Ag007G0876900, Ag096G5474100	Np004G2298700
OG0000042	Ag015G2214400	Np004G2161100, Np002G0961400
OG0000042	Ag023G2817300, Ag039G4253700, Ag002G0154100	Np006G3309000, Np007G4027400, Np003G1737200, Np007G4178400, Np007G4238800, Np007G3908200, Np003G1737100, Np002G0963100
OG0000042	Ag014G2104800, Ag009G0976800, Ag006G0824100, Ag013G1471600	Np006G3478400
OG0000043	Ag036G4114100	Np006G3382800, Np003G1722000, Np002G0941700, Np003G1677700
OG0000043	Ag014G1940100, Ag078G5353500, Ag027G3068600, Ag002G0228700, Ag011G1124700, Ag004G0651000, Ag003G0322200	Np006G3278600
OG0000043	Ag013G1650200	Np002G1248100
OG0000043	Ag019G2521200	Np001G0091300, Np002G1233300, Np003G1487200, Np002G1108100, Np005G2745100
OG0000046	Ag041G4362900, Ag013G1668200, Ag007G0902600, Ag055G4927800, Ag019G2498100	Np004G2388700, Np001G0160700
OG0000046	Ag004G0691700	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400
OG0000048	Ag039G4227200, Ag039G4227400, Ag039G4227300	Np006G3565700
OG0000050	Ag019G2535000, Ag013G1454200, Ag002G0129500, Ag014G1805000, Ag002G0202200, Ag015G2221900, Ag015G2264900, Ag025G2919100, Ag014G2113900	Np005G2948800, Np006G3520600, Np001G0383900
OG0000050	Ag016G2298800, Ag034G3860900, Ag015G2213900, Ag020G2565400, Ag003G0365400, Ag022G2666500, Ag013G1429800, Ag023G2797800, Ag078G5357100, Ag088G5430600, Ag006G0803400, Ag034G3970700, Ag066G5153700	Np002G0988200, Np001G0256300, Np007G3953400
OG0000050	Ag031G3328800, Ag019G2527600, Ag020G2554600	Np001G0129000, Np001G0129100, Np001G0128800, Np004G2259400, Np004G2435300, Np001G0374100, Np006G3597400
OG0000050	Ag027G3020100, Ag013G1440200, Ag022G2649500, Ag066G5147200, Ag001G0043200, Ag024G2885900	Np004G1970300, Np005G2648800, Np001G0275100, Np006G3520500, Np001G0383800, Np003G1895000, Np008G4280900
OG0000051	Ag034G3687900	Np004G2552100, Np007G3843500, Np007G3849300, Np004G2593300, Np003G1312800, Np003G1313100, Np003G1316200, Np004G2360300
OG0000051	Ag003G0386300, Ag003G0378700, Ag003G0386600	Np006G3285300, Np006G3285400
OG0000051	Ag003G0387400, Ag003G0387300, Ag003G0387500, Ag003G0387800, Ag003G0387600, Ag003G0387700	Np006G3285800, Np006G3285900, Np006G3286000
OG0000051	Ag003G0385100, Ag003G0385000, Ag003G0384900	Np003G1730300
OG0000052	Ag032G3434200, Ag032G3433000	Np007G4239500
OG0000055	Ag034G4065400	Np006G3336100, Np006G3338700, Np003G1875300
OG0000055	Ag014G2041700	Np007G3923100, Np007G3922500
OG0000056	Ag039G4248400	Np002G1191800, Np002G1192300, Np002G1195300
OG0000058	Ag001G0033300, Ag033G3511000, Ag006G0820100	Np004G2334500, Np006G3421900
OG0000058	Ag007G0902800, Ag002G0124000, Ag002G0117600, Ag027G3030700, Ag004G0691500	Np006G3423100, Np006G3422500, Np004G2183000, Np007G3942100
OG0000058	Ag027G3040100, Ag048G4695000, Ag056G4940000	Np006G3504600, Np003G1369700, Np006G3421800, Np002G1073600, Np007G4038100
OG0000060	Ag031G3386000	Np005G3068800
OG0000060	Ag034G3744900	Np003G1526800, Np001G0456200
OG0000060	Ag004G0719000, Ag039G4308900	Np001G0460200
OG0000061	Ag025G2971300, Ag025G2971100	Np005G2892000, Np004G2504400, Np003G1460800, Np006G3212900, Np006G3217300
OG0000061	Ag025G2914700	Np003G1795500
OG0000061	Ag013G1627600	Np006G3280900
OG0000061	Ag056G4940400	Np002G1245100, Np002G1245200
OG0000062	Ag043G4453100	Np002G0958500
OG0000062	Ag043G4453200	Np002G0953400
OG0000062	Ag044G4491100, Ag016G2329800, Ag034G3892100	Np002G0935900, Np001G0402000, Np007G4021600
OG0000062	Ag035G4080000, Ag066G5159400, Ag002G0144600, Ag003G0364100, Ag011G1174400	Np002G0991500
OG0000063	Ag062G5064000	Np006G3435600
OG0000066	Ag034G3780100	Np004G2500100, Np003G1367200
OG0000066	Ag048G4702700	Np007G3771600
OG0000066	Ag011G1062500	Np002G0777800
OG0000068	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600
OG0000068	Ag013G1504700, Ag048G4718500	Np001G0604000, Np001G0601600, Np001G0591700, Np001G0569900, Np001G0618200, Np003G1442200, Np003G1442100
OG0000069	Ag048G4644300, Ag048G4643100	Np006G3706900, Np006G3707500
OG0000069	Ag048G4643600	Np006G3704200, Np006G3697500
OG0000070	Ag039G4215000	Np007G3899300, Np001G0248800
OG0000070	Ag034G3976800	Np004G2353400
OG0000070	Ag048G4685000	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400
OG0000070	Ag025G2960200, Ag025G2959800, Ag025G2962600, Ag025G2962700, Ag025G2947000, Ag025G2946300, Ag025G2959700, Ag025G2959400, Ag025G2974100, Ag025G2973400, Ag025G2973600, Ag025G2946200, Ag025G2946900	Np004G1988500, Np004G1989200, Np004G1988600, Np004G2059200, Np001G0355800, Np001G0356100, Np001G0356000
OG0000070	Ag031G3230400, Ag031G3231000, Ag031G3230900, Ag014G1944300, Ag031G3231400	Np007G3856900
OG0000072	Ag051G4812200	Np007G4041200, Np001G0368400, Np003G1731700, Np006G3587200, Np009G4327500, Np006G3447100, Np003G1510900, Np006G3565200
OG0000072	Ag039G4320700	Np007G4034300, Np001G0214400, Np004G2135500, Np006G3592300, Np006G3546700, Np006G3482700
OG0000072	Ag067G5173800, Ag020G2570900, Ag011G1215000, Ag022G2752500, Ag011G1246100, Ag001G0081500, Ag033G3527000, Ag011G1215100, Ag039G4238000, Ag055G4918900, Ag039G4305000, Ag068G5225100	Np002G0772500, Np004G2176900, Np006G3362700, Np002G0796100, Np001G0490300, Np008G4256100, Np001G0651800, Np002G1002300, Np005G3189400, Np007G3836600, Np006G3485300, Np004G2112600
OG0000072	Ag002G0206800	Np003G1588900, Np007G4122700, Np005G2824400
OG0000074	Ag025G2969700	Np001G0425700, Np002G0733000
OG0000075	Ag034G3817800, Ag001G0065600, Ag001G0065500, Ag001G0065400	Np005G2617200
OG0000075	Ag021G2601300	Np005G2617300
OG0000076	Ag011G1037000	Np005G2608900
OG0000076	Ag006G0792900	Np001G0369900
OG0000077	Ag033G3566700	Np001G0381300
OG0000077	Ag034G3937600, Ag034G3937000, Ag001G0019700, Ag025G2944900	Np001G0247700
OG0000077	Ag002G0173900	Np002G1126100
OG0000077	Ag006G0838600	Np001G0381400
OG0000078	Ag014G1809300, Ag014G1810300	Np007G4214700
OG0000079	Ag013G1457500, Ag048G4621400, Ag034G3932500, Ag057G4952600, Ag031G3220200, Ag096G5473600, Ag004G0591700, Ag013G1365900, Ag011G1219700, Ag013G1389800, Ag004G0767900, Ag066G5147300	Np004G2051400
OG0000079	Ag018G2444300, Ag022G2658800	Np004G2152100, Np004G2296400
OG0000080	Ag052G4837300, Ag013G1389600, Ag039G4333600, Ag057G4952500, Ag013G1421000	Np004G2051300
OG0000080	Ag025G2955200, Ag031G3220300, Ag042G4408900, Ag025G2921000, Ag024G2850500, Ag007G0892400, Ag014G1963800, Ag013G1458800, Ag031G3395500, Ag011G1186400, Ag048G4623700	Np002G1069800, Np003G1699800, Np003G1739700, Np005G2816500, Np005G2910900, Np002G1141300, Np006G3581700, Np006G3582100, Np002G0830100, Np003G1646000, Np005G2892700, Np005G3091900, Np003G1699700, Np005G2976700, Np009G4324800, Np002G1006200, Np003G1668800, Np002G1054600
OG0000081	Ag034G4022300	Np004G2188400, Np004G2195900, Np004G2188800, Np007G3988300
OG0000081	Ag019G2512100, Ag066G5159500, Ag002G0249600, Ag043G4447600, Ag014G2017300	Np005G2602400
OG0000082	Ag061G5051200	Np005G2991300, Np006G3323100
OG0000082	Ag066G5133800	Np001G0452000, Np005G2743400
OG0000083	Ag011G1108800	Np003G1476800
OG0000084	Ag087G5426100	Np004G2273500
OG0000084	Ag045G4513700, Ag039G4295400, Ag058G4994100, Ag004G0561600, Ag010G1007700	Np007G3915500
OG0000086	Ag036G4084000	Np002G0867100
OG0000089	Ag004G0519800	Np001G0109800
OG0000089	Ag055G4906500, Ag004G0479400	Np001G0070200
OG0000089	Ag013G1621300	Np006G3501600, Np008G4281600
OG0000089	Ag013G1488000	Np003G1391100
OG0000089	Ag016G2360800	Np001G0399300
OG0000089	Ag033G3591100	Np005G2871200
OG0000089	Ag048G4693300	Np002G0774400
OG0000090	Ag021G2604300, Ag013G1401800, Ag003G0404200	Np005G2971200, Np007G4113900, Np006G3546200, Np003G1792600, Np004G1961100, Np002G0878100, Np007G3883300
OG0000090	Ag013G1764600, Ag056G4937000, Ag003G0343600, Ag068G5212400, Ag002G0264300, Ag048G4621900, Ag019G2531000, Ag006G0823200, Ag013G1384300	Np006G3523700, Np004G2304300
OG0000091	Ag006G0816700	Np001G0389100, Np001G0389700
OG0000091	Ag004G0570300	Np003G1487100
OG0000095	Ag016G2362700, Ag016G2305100, Ag024G2851600, Ag006G0800000, Ag016G2308200, Ag006G0799900	Np006G3650600, Np006G3650500, Np006G3650700
OG0000095	Ag039G4205200	Np006G3650300
OG0000096	Ag002G0165500	Np007G3726500
OG0000098	Ag011G1254000, Ag011G1253500	Np007G3899100
OG0000098	Ag004G0531500	Np005G3053200
OG0000098	Ag040G4345100	Np004G2594800
OG0000098	Ag004G0482500, Ag004G0482700, Ag014G2044400	Np001G0116500, Np001G0115500
OG0000098	Ag004G0531100, Ag004G0531000, Ag004G0559400, Ag004G0559300	Np001G0127700
OG0000099	Ag056G4934400	Np005G2972700, Np006G3467800, Np004G2293200, Np002G0982400, Np002G0982300
OG0000100	Ag002G0106500	Np002G1237300
OG0000100	Ag002G0112700, Ag063G5079400	Np002G1231900
OG0000101	Ag015G2195700	Np002G0868700
OG0000101	Ag037G4126400	Np002G0736300
OG0000101	Ag017G2433300, Ag013G1679700	Np001G0036300
OG0000102	Ag016G2365600	Np003G1716100
OG0000102	Ag016G2370600	Np003G1795300
OG0000102	Ag016G2370800	Np003G1850000
OG0000105	Ag002G0112600	Np002G1229900
OG0000105	Ag048G4614100	Np003G1459200
OG0000106	Ag033G3599600, Ag006G0804300, Ag066G5146700, Ag014G2108300, Ag014G2107700	Np003G1577500, Np001G0089700, Np006G3705300
OG0000106	Ag014G1942900, Ag862G5518700, Ag001G0029000, Ag013G1729500, Ag034G3929600, Ag033G3563600, Ag006G0804600, Ag078G5342100, Ag006G0794900	Np005G2719900
OG0000107	Ag014G1858900	Np007G3984500
OG0000107	Ag014G2149100	Np007G3984300
OG0000108	Ag031G3385800, Ag039G4307100	Np001G0565800
OG0000108	Ag004G0614200, Ag004G0644200	Np003G1531300, Np001G0462100
OG0000108	Ag014G1944700	Np007G4093400
OG0000108	Ag013G1537900	Np003G1360400
OG0000108	Ag014G2095200	Np007G3950400
OG0000109	Ag029G3099600	Np002G1184600, Np005G2935200, Np007G4014300, Np005G2978600, Np006G3449000, Np003G1723900, Np003G1723300, Np003G1723600, Np011G4357100, Np002G1174400, Np008G4281000, Np002G1033400
OG0000117	Ag018G2454400, Ag018G2459300	Np004G2300400
OG0000117	Ag088G5431700	Np004G2300300
OG0000117	Ag022G2713800, Ag018G2459500, Ag018G2459700	Np004G2300200
OG0000118	Ag072G5253200	Np002G0786200
OG0000119	Ag004G0623100, Ag004G0623400	Np003G1836400
OG0000119	Ag031G3224900	Np001G0493200
OG0000120	Ag001G0032000	Np002G0949100
OG0000121	Ag057G4960300, Ag004G0478000, Ag034G3917400	Np006G3447000
OG0000121	Ag001G0038000, Ag013G1486800, Ag034G3979800, Ag075G5293000, Ag034G3918700, Ag012G1325100, Ag048G4615600, Ag022G2667600, Ag013G1657600, Ag033G3603300, Ag088G5429800, Ag004G0527800, Ag004G0752500, Ag032G3454000, Ag013G1348300, Ag034G4049200, Ag034G4062600, Ag013G1643800, Ag004G0663600, Ag011G1257700, Ag042G4409800, Ag050G4765300, Ag025G2939600, Ag033G3480100, Ag066G5155600, Ag048G4631500, Ag002G0194900, Ag039G4332100, Ag074G5275500, Ag013G1525700	Np005G2954700, Np011G4358600, Np004G2590300, Np002G0965100, Np006G3634700
OG0000121	Ag039G4328200	Np005G2604800, Np006G3604300
OG0000121	Ag038G4148800, Ag002G0147900	Np004G2331000, Np003G1581500
OG0000122	Ag004G0720700	Np003G1580100
OG0000122	Ag004G0718500	Np003G1578500
OG0000124	Ag031G3394500	Np003G1311000, Np002G1109100
OG0000124	Ag049G4732800	Np007G3982000
OG0000125	Ag013G1613200	Np006G3601100
OG0000125	Ag034G3743800	Np004G2519400
OG0000125	Ag001G0065100	Np004G1951700
OG0000125	Ag001G0066100, Ag001G0065800	Np004G1951500
OG0000125	Ag027G3062400	Np007G3813400
OG0000127	Ag004G0605400	Np003G1510700
OG0000127	Ag031G3386800, Ag039G4310500	Np001G0565000
OG0000127	Ag014G1898000	Np003G1268100
OG0000127	Ag013G1609800	Np003G1523500, Np001G0457300, Np006G3598300
OG0000128	Ag031G3245400, Ag031G3245300, Ag031G3245200	Np001G0645400
OG0000128	Ag031G3242400	Np001G0645200
OG0000128	Ag031G3246800, Ag031G3247000, Ag031G3246900	Np001G0644700
OG0000128	Ag031G3246700	Np001G0644900
OG0000128	Ag031G3249200, Ag031G3249100, Ag031G3248800, Ag031G3351900, Ag031G3350800, Ag031G3350000, Ag031G3350700, Ag002G0204500, Ag031G3349900	Np001G0644500
OG0000129	Ag013G1553100, Ag013G1550500, Ag013G1552900, Ag016G2401500, Ag013G1550300	Np002G0866100
OG0000130	Ag074G5269900	Np006G3485400
OG0000132	Ag048G4640200, Ag048G4640300, Ag048G4637800, Ag048G4638900, Ag048G4638800, Ag048G4639900, Ag048G4638300, Ag048G4640000, Ag004G0468700, Ag004G0468400, Ag004G0468800	Np001G0060000
OG0000132	Ag039G4243000, Ag039G4243200, Ag039G4241900	Np005G3117900, Np005G3137200, Np005G3137300, Np005G3137400
OG0000132	Ag022G2700300	Np001G0060200
OG0000134	Ag013G1506600	Np003G1378400
OG0000137	Ag014G1999700	Np003G1602700
OG0000137	Ag004G0742000	Np003G1602000, Np003G1601500, Np003G1600700
OG0000137	Ag004G0742300	Np003G1602100
OG0000137	Ag004G0742500, Ag004G0742600	Np003G1602400
OG0000140	Ag014G2136000	Np005G2883300
OG0000140	Ag038G4173300, Ag022G2672800, Ag033G3478700	Np001G0509300, Np001G0524900
OG0000150	Ag002G0131000, Ag068G5224900, Ag025G2934900	Np002G1102100, Np006G3465100, Np005G2952600
OG0000151	Ag031G3356700	Np001G0586800
OG0000151	Ag039G4248200	Np006G3339200
OG0000151	Ag031G3356800	Np001G0586700
OG0000151	Ag031G3389200	Np001G0563500
OG0000151	Ag039G4314300	Np006G3374700
OG0000151	Ag013G1463800	Np003G1404000
OG0000152	Ag048G4576400	Np011G4358800
OG0000154	Ag001G0045800	Np004G1998200
OG0000154	Ag001G0045400, Ag001G0045500, Ag001G0045200, Ag001G0045100, Ag001G0045300, Ag001G0049100, Ag002G0262200	Np004G1963300, Np004G1963200
OG0000155	Ag083G5410000, Ag013G1376100, Ag034G3868600, Ag022G2729400, Ag031G3154900, Ag013G1368700, Ag016G2361100, Ag067G5183100	Np007G3980100, Np003G1771100, Np003G1806600, Np003G1630300, Np003G1842800, Np002G0986800, Np003G1349300
OG0000155	Ag013G1584700	Np004G2326000, Np002G0924800, Np007G3958500, Np003G1811300, Np003G1729400, Np004G2275700, Np004G2136600, Np006G3676300
OG0000157	Ag013G1573100, Ag013G1573300, Ag013G1572900, Ag013G1573200, Ag013G1510300, Ag013G1510500, Ag013G1510800, Ag013G1510100, Ag013G1750400, Ag013G1750900, Ag013G1750300, Ag013G1751200, Ag013G1750800, Ag013G1744300, Ag007G0933400, Ag022G2711500, Ag022G2708900, Ag013G1473500	Np005G3104600, Np005G3104800, Np005G3107600
OG0000157	Ag046G4529800, Ag013G1572800	Np006G3343300
OG0000158	Ag011G1092000	Np001G0700500
OG0000158	Ag014G2168100, Ag027G3073200, Ag027G3072400	Np003G1292700
OG0000158	Ag014G2085500	Np002G0878300
OG0000158	Ag014G1900800	Np002G0807400, Np002G0811700, Np005G2956600, Np001G0506900, Np001G0492300, Np001G0486500, Np001G0283500, Np001G0283800, Np001G0282900, Np007G4061200, Np004G2036800, Np004G2174600, Np004G1934200, Np002G0909800, Np002G0811800
OG0000159	Ag011G1125800, Ag002G0098700, Ag002G0120500	Np003G1303600, Np003G1531700
OG0000159	Ag002G0124600	Np002G0996800
OG0000160	Ag042G4405700	Np007G3739600
OG0000160	Ag068G5221600	Np005G2740000
OG0000160	Ag004G0692900	Np003G1560700
OG0000160	Ag048G4572800	Np002G0711700
OG0000162	Ag013G1672500	Np006G3577700
OG0000162	Ag011G1166800	Np001G0244500
OG0000162	Ag014G2098100	Np001G0244800
OG0000162	Ag013G1672600	Np006G3578300
OG0000163	Ag042G4391500, Ag038G4161600	Np003G1731400, Np002G1026100
OG0000164	Ag025G2923700, Ag048G4709500	Np007G4010900, Np004G2250900, Np008G4276900, Np009G4319300, Np006G3505100
OG0000164	Ag060G5011600, Ag086G5422700	Np003G1679900, Np005G3087000, Np006G3688300, Np004G2138100, Np003G1793900
OG0000164	Ag006G0821000	Np004G2250800
OG0000164	Ag039G4325700	Np001G0316300, Np002G1011400, Np002G1016200, Np001G0433600, Np005G2941300, Np004G2582200, Np001G0316200, Np001G0316100, Np002G1011500, Np004G2239900
OG0000165	Ag014G1928400	Np002G1201100, Np002G1201400, Np002G1201300, Np002G1201200
OG0000167	Ag014G2104000, Ag014G2103200, Ag014G2102400	Np007G3810100, Np007G3810500
OG0000167	Ag003G0383500, Ag003G0383700	Np007G3877000, Np007G3840900, Np007G3843900
OG0000169	Ag031G3259300, Ag031G3259700, Ag031G3259400, Ag027G3044600, Ag013G1504100, Ag013G1503900	Np004G2522900
OG0000170	Ag031G3214600	Np001G0667900
OG0000170	Ag003G0319700, Ag003G0319800, Ag003G0320300, Ag003G0320600, Ag003G0320500, Ag003G0320200	Np006G3241500
OG0000171	Ag020G2575200	Np003G1641800
OG0000171	Ag024G2869500	Np002G1239200
OG0000171	Ag044G4495800	Np007G3768900
OG0000171	Ag004G0721800	Np003G1582900
OG0000171	Ag010G1018000	Np005G2770300
OG0000173	Ag011G1059500	Np005G2621400
OG0000173	Ag011G1199300, Ag068G5224200, Ag068G5224000, Ag011G1085700, Ag033G3597600	Np001G0199900
OG0000174	Ag014G1989900, Ag018G2446300, Ag039G4332400, Ag034G3903300, Ag031G3411400, Ag027G3023200	Np004G2073400, Np002G0998200, Np004G2311300, Np004G2306100, Np005G2829600, Np005G2992600, Np003G1659900, Np003G1696800, Np003G1769800
OG0000174	Ag064G5095900, Ag013G1514400, Ag004G0425200, Ag042G4401700, Ag072G5254600, Ag039G4257400, Ag014G1813500, Ag011G1172800	Np002G1029900
OG0000174	Ag061G5042100, Ag027G3034800, Ag075G5303100	Np004G2082700, Np004G2374700, Np004G2142500, Np007G4219300, Np005G2804000
OG0000175	Ag013G1441100	Np003G1416000
OG0000175	Ag002G0234800	Np004G2480900, Np002G1160900
OG0000175	Ag003G0294400	Np001G0685700
OG0000175	Ag012G1302600	Np006G3217800
OG0000176	Ag014G1823200, Ag014G1822800, Ag014G1822900, Ag014G1823300, Ag014G1822700	Np007G4189400
