Orthogroup	Alyssum_gmelinii	Arabidopsis_lyrata_Rawat
OG0000015	Ag018G2438800	AL3G46050
OG0000020	Ag068G5227400	AL189U10010, AL189U10020, AL3G44820, AL7G51100
OG0000020	Ag060G5002800, Ag014G2139700, Ag001G0002100, Ag013G1354100, Ag034G3996700, Ag078G5375900, Ag036G4119800, Ag019G2511100, Ag025G2915300, Ag017G2430400, Ag041G4354300, Ag013G1396100, Ag067G5206100, Ag022G2668600, Ag064G5103400, Ag023G2811600, Ag011G1267500	AL6G40580, AL7G44020, AL3G44050, AL460U10020
OG0000020	Ag039G4234300	AL4G19770
OG0000021	Ag013G1488900, Ag031G3408800	AL39U10070, AL8G31610, AL7G45200, AL2G25080, AL5G20460, AL4G19440, AL6G42400, AL3G43480, AL5G24330, AL3G37170, AL6G47300, AL5G41490, AL3G52170, AL2G40700, AL8G33160, AL4G18100, AL8G23170, AL4G13400, AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170, AL7G47350, AL7G51150
OG0000022	Ag034G3829100	AL1G24190
OG0000022	Ag034G3823300, Ag034G3823600, Ag034G3830900, Ag034G3837600, Ag034G3827100	AL1G24380
OG0000022	Ag024G2896000	AL1G16610, AL2G10190, AL2G10200
OG0000022	Ag006G0805800, Ag058G4977300, Ag022G2695300	AL7G48260
OG0000022	Ag014G2040000	AL3G29640
OG0000024	Ag050G4762100, Ag050G4762000, Ag050G4761900, Ag050G4746600, Ag050G4752600, Ag050G4752400, Ag050G4746500, Ag050G4746300, Ag022G2696300, Ag022G2696700, Ag050G4754800, Ag050G4755000, Ag050G4751800, Ag050G4752100, Ag050G4752300	AL4G16470
OG0000024	Ag013G1754200	AL3G45420, AL4G35160, AL5G38280, AL5G39160, AL5G39170, AL5G23680, AL1G45210
OG0000025	Ag015G2255100	AL6G41860
OG0000025	Ag067G5188200, Ag030G3132300	AL9U11280, AL5G16730, AL2G12870
OG0000025	Ag002G0276000, Ag054G4878700, Ag011G1115100, Ag066G5134600, Ag066G5170900, Ag064G5112200	AL460U10010
OG0000027	Ag021G2619200	nbis-gene-1639, AL6G45930
OG0000027	Ag021G2619800	AL6G45970
OG0000027	Ag021G2619900	AL6G46000
OG0000027	Ag077G5325000, Ag033G3496200	AL6G45910
OG0000027	Ag077G5325100, Ag033G3496300, Ag033G3642400	AL7G30160
OG0000027	Ag021G2620200	AL1G66280
OG0000027	Ag093G5459100, Ag033G3498600, Ag002G0200100, Ag077G5325600	AL7G30280
OG0000028	Ag078G5387500	AL8G29780
OG0000030	Ag014G2144800, Ag014G2145600, Ag014G2146200, Ag014G2146400, Ag014G2146900, Ag014G2147100, Ag014G2147000, Ag014G2146700, Ag014G2145800, Ag014G2145100, Ag014G2144300, Ag014G2147700	AL3G33700, AL275U10020, AL3G33320, AL3G33690, AL3G33370
OG0000030	Ag014G1952600, Ag014G1958800, Ag014G1958700, Ag014G1965000, Ag042G4396900, Ag042G4397700, Ag042G4398200, Ag014G1952300, Ag014G1952400	AL1G39630, AL1G35700, AL1G40180, AL1G40160, AL1G40170, AL3G27510
OG0000030	Ag014G2099300, Ag027G3062200, Ag014G1975300	AL5G29320, AL5G29310, AL5G29340, AL2G23050
OG0000030	Ag013G1357800	AL3G24770
OG0000030	Ag014G1839700, Ag014G1840100	AL5G24990
OG0000031	Ag018G2463100	AL2G19770
OG0000031	Ag014G2001300, Ag025G2974400, Ag067G5204400, Ag016G2379700, Ag064G5091800, Ag014G2046100, Ag002G0264600, Ag021G2582900, Ag026G3000600, Ag073G5260500, Ag034G3746100, Ag067G5192300	AL2G29770
OG0000031	Ag030G3130300	AL1G56200
OG0000031	Ag011G1132700, Ag003G0359800	AL1G41870
OG0000031	Ag057G4960600	AL5G21210
OG0000032	Ag011G1160200, Ag011G1160300, Ag011G1160400	AL4G17980
OG0000034	Ag093G5459200, Ag033G3498700	AL7G30290
OG0000034	Ag048G4579800	AL7G32680, AL7G32670
OG0000034	Ag033G3500200, Ag093G5460400	AL7G30310, AL7G30350
OG0000035	Ag061G5042200, Ag007G0851700, Ag007G0851600, Ag015G2256800, Ag031G3385600	AL3G42660, AL4G33750, AL7G46520, AL6G43970
OG0000035	Ag023G2841600, Ag033G3643700, Ag036G4119400, Ag002G0276700, Ag036G4121400	AL7G43840
OG0000035	Ag093G5463700	AL1G64690
OG0000040	Ag031G3415700	AL2G11290, AL3G43050
OG0000040	Ag038G4173200	AL364U10020
OG0000042	Ag046G4535300, Ag066G5171000, Ag024G2870100, Ag007G0876900, Ag096G5474100	AL1G54660
OG0000042	Ag011G1070600	AL3G44120, AL9U11580, AL2G38670, AL103U10010, AL8G23430, AL4G17850
OG0000042	Ag014G2104800	AL8G14180
OG0000042	Ag009G0976800, Ag006G0824100	AL1G42210
OG0000043	Ag074G5273900, Ag048G4698800	AL3G46620
OG0000043	Ag020G2574500	AL1G50770
OG0000043	Ag036G4114100	AL8G34940, AL1G48950, AL5G15500, AL7G45030, AL983U10010
OG0000043	Ag022G2736700, Ag016G2284200	AL8G31450, AL236U10040
OG0000043	Ag013G1650200	AL8G19930
OG0000044	Ag016G2313400	AL8G11930
OG0000046	Ag019G2498100	AL4G10770
OG0000046	Ag004G0691700	AL6G43460, AL8G24550, AL3G45110, AL3G45080, AL6G44180, AL8G21960, AL3G43290, AL1G51180, AL4G17640, AL3G40680, AL1G60090, AL7G41120, AL6G41380, AL1G53510, AL4G20190, AL3G44690, AL6G40760
OG0000048	Ag013G1657300, Ag013G1657200, Ag013G1657100, Ag013G1657000, Ag013G1657400, Ag013G1658600, Ag013G1658500, Ag013G1651500, Ag013G1657700, Ag022G2632300	AL4G27770, AL4G27390
OG0000048	Ag032G3445200, Ag048G4573000	AL2G14000, AL2G14020
OG0000049	Ag055G4909600, Ag034G3947200, Ag034G3947100	AL6G39930
OG0000049	Ag061G5034500	AL5G16120, AL5G16140
OG0000050	Ag002G0166000	AL1G24220
OG0000051	Ag034G3687900	AL1G20340
OG0000051	Ag003G0386800	AL4G40940
OG0000051	Ag003G0386200	AL4G40960
OG0000051	Ag003G0387300	AL2G15770
OG0000051	Ag003G0387500	AL4G40930
OG0000055	Ag034G4065400	nbis-gene-725, AL3G41130
OG0000055	Ag014G2041700	AL3G30730, AL3G30470, AL3G38080, AL769U10010
OG0000055	Ag014G2041600	AL3G29740
OG0000055	Ag014G2046500, Ag014G2046000, Ag014G2045800, Ag001G0027100	AL3G53160, AL3G53140
OG0000056	Ag002G0158500	AL2G13390
OG0000056	Ag011G1149600, Ag011G1148500	AL2G13900
OG0000056	Ag002G0180000	AL5G26170
OG0000058	Ag010G1012100, Ag001G0033300, Ag033G3511000, Ag006G0820100	AL5G26550, AL920U10010
OG0000058	Ag007G0902800, Ag002G0124000, Ag002G0117600, Ag027G3030700, Ag004G0691500	AL3G40670
OG0000058	Ag027G3040100, Ag048G4695000, Ag056G4940000	AL6G37450, AL6G45120, AL4G17610, AL3G30200, AL1G60100
OG0000060	Ag034G3746900	AL4G23280
OG0000060	Ag034G3744900	AL8G36210, AL5G24600
OG0000061	Ag025G2916200, Ag025G2916400, Ag025G2916000, Ag025G2915500, Ag025G2917200, Ag025G2915700, Ag025G2913000, Ag002G0098300	AL1G55000, AL1G55020, AL1G54370, AL1G25040, AL1G25030
OG0000061	Ag007G0932800, Ag024G2852400, Ag002G0098400, Ag025G2913600	AL1G54400
OG0000061	Ag025G2914700	AL6G23310, nbis-gene-1510
OG0000061	Ag013G1477400, Ag013G1477100, Ag013G1476800	AL1G53180
OG0000061	Ag013G1627600	AL4G24650
OG0000062	Ag043G4453200	AL9U10060
OG0000062	Ag044G4491100, Ag016G2329800, Ag034G3892100	AL8G40700, AL8G15100
OG0000062	Ag035G4080000, Ag066G5159400, Ag002G0144600, Ag003G0364100, Ag011G1174400	AL7G40460, AL2G19460, AL8G34860, AL8G13000
OG0000063	Ag025G2961700	AL2G36550
OG0000063	Ag012G1327000	AL1G44840
OG0000065	Ag016G2372900, Ag016G2372400	AL2G25320, AL2G25210
OG0000066	Ag004G0438400	AL6G20900
OG0000066	Ag013G1525800	AL1G66190
OG0000066	Ag016G2348500, Ag034G3765900, Ag034G3780100	AL6G20890
OG0000066	Ag048G4702700	AL6G21580
OG0000066	Ag011G1062400	AL7G12350
OG0000067	Ag013G1533100	AL3G45170
OG0000067	Ag015G2210000	AL5G32340
OG0000068	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900	AL6G15310, AL6G14890, AL3G20260, AL3G20250, AL3G20240
OG0000069	Ag048G4574700, Ag048G4708100, Ag034G3920200, Ag048G4553800, Ag048G4563500	AL3G40410, AL8G35170
OG0000069	Ag048G4644300, Ag048G4643100	AL5G45620
OG0000069	Ag048G4643600	AL1G10300, nbis-gene-18
OG0000069	Ag031G3335200, Ag031G3335500, Ag031G3335400	AL8G26350
OG0000070	Ag039G4215000	AL1G20940, AL3G47920, AL5G12840, AL5G12830
OG0000070	Ag034G3976800	AL4G11370, AL1G32980, AL2G24470
OG0000070	Ag048G4685000	AL2G35960
OG0000070	Ag025G2960200, Ag025G2959800, Ag025G2962600, Ag025G2962700, Ag025G2947000, Ag025G2946300, Ag025G2959700, Ag025G2959400, Ag025G2974100, Ag025G2973400, Ag025G2973600, Ag025G2946200, Ag025G2946900	AL5G42190
OG0000072	Ag039G4320700	AL8G19360, AL8G19010, AL6G44140, AL3G47230
OG0000072	Ag002G0206800	AL8G11190
OG0000075	Ag011G1157100, Ag011G1157200, Ag011G1157900, Ag011G1158100, Ag011G1157500, Ag011G1157400, Ag011G1157700, Ag011G1157800, Ag011G1157600, Ag048G4682200, Ag011G1050300, Ag011G1158000	AL7G11590
OG0000075	Ag011G1133100, Ag022G2654400	AL1G52760, AL1G52750, AL1G52780
OG0000075	Ag011G1119800, Ag011G1120100, Ag011G1120000	AL7G11690
OG0000076	Ag011G1037000	AL7G10840
OG0000076	Ag031G3285200, Ag031G3285100, Ag031G3285000, Ag011G1144200, Ag011G1144100, Ag006G0793600, Ag011G1036500, Ag011G1036300, Ag006G0792700, Ag034G3899200, Ag034G3899100	AL3G53220
OG0000076	Ag013G1400700	AL8G13050
OG0000077	Ag033G3566700	AL8G13900, AL8G13920
OG0000077	Ag034G3937600, Ag034G3937000, Ag001G0019700, Ag025G2944900	AL5G12960
OG0000077	Ag002G0173900	AL2G15700
OG0000078	Ag014G1810600	AL3G13680
OG0000078	Ag014G1809300, Ag014G1810300	AL3G13710
OG0000078	Ag014G1810400	AL3G13720
OG0000079	Ag013G1457500, Ag048G4621400, Ag034G3932500, Ag057G4952600, Ag031G3220200, Ag096G5473600, Ag004G0591700, Ag013G1365900, Ag011G1219700, Ag013G1389800, Ag004G0767900, Ag066G5147300, Ag018G2444300, Ag022G2658800	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210
OG0000081	Ag019G2512100, Ag066G5159500, Ag002G0249600, Ag043G4447600, Ag014G2017300	AL1G31420, AL8G29100, AL8G26420, AL6G33330
OG0000084	Ag087G5426100	AL3G40390
OG0000084	Ag058G4994100, Ag004G0561600	AL8G20470
OG0000086	Ag039G4314100, Ag014G2067200, Ag014G2064700, Ag012G1307900, Ag014G2067300	nbis-gene-1913, AL7G53060
OG0000086	Ag025G2922800	AL7G49470
OG0000086	Ag036G4084000	AL2G24590, AL2G24600
OG0000089	Ag004G0519800	AL6G35120
OG0000089	Ag055G4906500, Ag004G0479400	AL5G25960
OG0000089	Ag013G1621300	AL4G24260
OG0000089	Ag013G1488000	AL6G23060
OG0000089	Ag016G2360800	AL8G15560
OG0000089	Ag033G3591100	AL7G33260
OG0000089	Ag023G2824600	AL4G30750
OG0000089	Ag048G4693300	AL2G35770
OG0000091	Ag004G0570300	AL6G32010
OG0000091	Ag014G2119500, Ag014G2119400, Ag014G2119100	AL5G26370
OG0000095	Ag016G2362700, Ag016G2305100, Ag024G2851600, Ag006G0800000, Ag016G2308200, Ag006G0799900	AL4G18560
OG0000095	Ag039G4205200	AL4G14530, AL4G18570, AL4G15550
OG0000096	Ag002G0154900	nbis-gene-1025, AL4G22680, AL4G22640, AL3G41350, AL3G41330, AL3G41320, AL3G41340, nbis-gene-1973
OG0000096	Ag044G4496300	AL3G32300
OG0000096	Ag002G0165500	AL3G22030
OG0000098	Ag011G1254000, Ag011G1253500	AL3G44020, AL3G44030, AL3G43980, AL3G44060, nbis-gene-805
OG0000098	Ag040G4345100	AL2G26330
OG0000098	Ag004G0482500, Ag004G0482700, Ag014G2044400	AL1G41020, AL1G41000, AL1G41010, AL1G40990
OG0000099	Ag056G4934400	AL4G17790, AL4G17810
OG0000100	Ag002G0106500	AL2G11210
OG0000100	Ag002G0112700, Ag063G5079400	AL2G11380
OG0000101	Ag037G4126400, Ag017G2433300, Ag013G1679700	AL26U10050, AL3G41030
OG0000102	Ag016G2365600	AL6G49150
OG0000102	Ag016G2365900, Ag016G2370500, Ag016G2369900	AL6G49120
OG0000102	Ag016G2370600	AL6G49140
OG0000102	Ag016G2392700, Ag016G2377000, Ag016G2370800	AL6G49050
OG0000105	Ag048G4614100	nbis-gene-1539
OG0000106	Ag014G1942900, Ag862G5518700, Ag001G0029000, Ag013G1729500, Ag034G3929600, Ag033G3563600, Ag006G0804600, Ag078G5342100, Ag006G0794900	AL6G40690
OG0000107	Ag014G2149500	AL3G33810
OG0000107	Ag014G2149100	AL3G33780
OG0000107	Ag014G2150100	AL3G34900, AL3G33830, AL3G42780, nbis-gene-1853
OG0000107	Ag014G2149200	AL3G33790
OG0000108	Ag031G3385800, Ag039G4307100	AL5G34730
OG0000108	Ag004G0614200, Ag004G0644200	AL5G25390, AL8G35810
OG0000108	Ag014G1944700	AL3G23740
OG0000108	Ag052G4856100, Ag013G1537900	AL6G20220
OG0000108	Ag014G2095200	AL1G56110
OG0000108	Ag003G0396500	AL4G40470, AL4G40460
OG0000109	Ag029G3099600	AL2G19590, AL6G46480, AL7G48370, AL4G13100, AL5G17500, AL8G26200, AL3G45860, AL1G49480, AL3G47220, AL5G17870, AL8G24560, AL7G45510, AL6G38840, AL6G52460, AL6G40590, AL1G47050, AL2G22030, AL8G22080, AL2G35490, AL5G20740, AL1G54140, AL2G22170, AL3G44280, AL7G53070, AL5G17840, AL7G34330, AL8G17600, AL170U10010, AL3G46660, AL8G20850, AL4G12360, AL5G10400, AL3G43610, AL4G17930, AL5G17970, AL9U10780
OG0000115	Ag032G3465800	AL7G53080
OG0000117	Ag019G2506600, Ag018G2460700	AL1G37420
OG0000117	Ag018G2454400, Ag018G2459300	AL1G37400
OG0000117	Ag018G2459400	AL1G37430
OG0000117	Ag088G5431700	AL1G37440
OG0000117	Ag022G2713800, Ag018G2459500, Ag018G2459700, Ag078G5340800, Ag011G1218200, Ag033G3621900, Ag078G5340900	AL1G37330, AL1G37340
OG0000118	Ag078G5395500, Ag034G4070400, Ag002G0250500	AL4G35640, AL4G35680, AL4G35660, AL4G35650, AL7G47920
OG0000118	Ag072G5253200	AL2G23590, AL2G23540, AL2G23600, AL6G44790
OG0000119	Ag048G4660700, Ag013G1597500	AL5G25370
OG0000119	Ag019G2548800, Ag013G1361500	AL5G21720, AL5G21730
OG0000119	Ag031G3224900	AL6G15230
OG0000121	Ag039G4328200	AL2G20140, AL8G14910
OG0000122	Ag011G1267200	AL8G31960
OG0000125	Ag034G3743800	AL1G17740
OG0000125	Ag001G0065100	AL1G55940
OG0000125	Ag001G0066100	AL1G59870
OG0000127	Ag034G3746600	AL1G18070
OG0000127	Ag004G0605400	AL6G34020
OG0000127	Ag013G1609800	AL189U10030, AL8G36480, AL5G24690, AL5G24750, AL4G23250
OG0000128	Ag031G3351100	AL8G16450
OG0000128	Ag031G3246800, Ag031G3247000, Ag031G3246900	AL5G41080
OG0000128	Ag031G3246700	AL5G41090
OG0000128	Ag031G3249200, Ag031G3249100, Ag031G3248800, Ag031G3351900, Ag031G3350800, Ag031G3350000, Ag031G3350700, Ag002G0204500, Ag031G3349900	AL2G18450, AL7G42310, AL5G41050
OG0000129	Ag013G1553100, Ag013G1550500, Ag013G1552900, Ag016G2401500, Ag013G1550300	AL2G19870
OG0000130	Ag074G5269900	AL3G43990
OG0000132	Ag004G0468600, Ag004G0468500	AL8G40480
OG0000132	Ag039G4243000, Ag039G4243200, Ag039G4241900	AL315U10010, AL7G51940, AL7G52020, AL7G52000
OG0000134	Ag013G1506600	AL6G21880
OG0000137	Ag004G0742000	AL8G30920
OG0000137	Ag004G0742300	AL8G30900
OG0000137	Ag004G0742500, Ag004G0742600	AL8G30890
OG0000138	Ag031G3253900	AL5G40800
OG0000138	Ag033G3506400, Ag078G5363200	AL5G40760
OG0000138	Ag031G3319900, Ag031G3319600, Ag031G3253400, Ag031G3253300, Ag003G0293800	AL5G40860
OG0000138	Ag031G3253700, Ag031G3403500	AL5G40850
OG0000138	Ag031G3182800	AL5G44820
OG0000138	Ag031G3182200, Ag031G3182000, Ag039G4256800	AL2G23440, AL5G45250, AL5G35200
OG0000140	Ag027G3064900	nbis-gene-927
OG0000140	Ag038G4173300, Ag022G2672800, Ag033G3478700	AL6G10840
OG0000148	Ag013G1622400, Ag034G3735700	nbis-gene-1537
OG0000150	Ag002G0131000, Ag068G5224900, Ag025G2934900	AL4G25960, AL4G15810
OG0000151	Ag031G3356400	AL5G36230
OG0000151	Ag031G3356700	AL5G36220
OG0000151	Ag039G4248200	AL4G36690
OG0000151	Ag031G3356800	AL5G36210
OG0000151	Ag031G3389200	AL5G34430
OG0000151	Ag039G4314300	AL4G33730
OG0000151	Ag013G1463800	AL6G24190
OG0000152	Ag048G4576400	AL1G65830
OG0000153	Ag013G1617600, Ag013G1618100	AL4G23880
OG0000153	Ag013G1616400	AL4G25560
OG0000154	Ag001G0045800	AL1G58520, AL6G29770, AL6G29780
OG0000154	Ag001G0045400, Ag001G0045500, Ag001G0045200, Ag001G0045100, Ag001G0045300, Ag001G0049100, Ag002G0262200	AL1G58510, AL1G66290, AL1G58490
OG0000155	Ag083G5410000, Ag013G1376100, Ag034G3868600, Ag022G2729400, Ag031G3154900, Ag013G1368700, Ag016G2361100, Ag067G5183100	AL481U10020
OG0000157	Ag013G1573100, Ag013G1573300, Ag013G1572900, Ag013G1573200, Ag013G1510300, Ag013G1510500, Ag013G1510800, Ag013G1510100, Ag013G1750400, Ag013G1750900, Ag013G1750300, Ag013G1751200, Ag013G1750800, Ag013G1744300, Ag007G0933400, Ag022G2711500, Ag022G2708900, Ag013G1473500	AL1G44860
OG0000158	Ag011G1191200	nbis-gene-1710, AL2G28170
OG0000158	Ag014G2168100, Ag027G3073200, Ag027G3072400	AL7G32560, AL7G30180, AL7G33450
OG0000158	Ag014G1900800	AL4G29520, AL4G12250, AL6G25220, AL6G46400, AL1G67080, AL7G42520
OG0000160	Ag042G4405700	AL3G52950
OG0000160	Ag068G5221600	AL7G22000
OG0000160	Ag004G0692900	AL8G33330
OG0000160	Ag048G4572800	AL2G40780
OG0000161	Ag015G2193300, Ag055G4906800	AL1G16160, AL2G19110
OG0000162	Ag013G1672500	AL8G17590
OG0000162	Ag011G1165200, Ag011G1165400, Ag011G1163300, Ag011G1163400, Ag011G1167300, Ag011G1167100, Ag011G1166900, Ag011G1222300	nbis-gene-1198, AL6G22950, AL5G13340, nbis-gene-1199, AL5G13350, AL7G52550, AL7G52570
OG0000162	Ag014G2098100	AL3G42400, AL3G42420
OG0000162	Ag013G1672600	AL4G28810, AL4G28800
OG0000165	Ag014G1928400	AL3G46810
OG0000167	Ag003G0383500, Ag003G0383700	nbis-gene-744, AL3G35120, nbis-gene-789
OG0000169	Ag031G3259300, Ag031G3259700, Ag031G3259400, Ag027G3044600, Ag013G1504100, Ag013G1503900	AL9U10990
OG0000170	Ag031G3214600	AL5G43250
OG0000170	Ag003G0320000	AL4G44730
OG0000171	Ag020G2575200	AL8G28000
OG0000171	Ag024G2869500	AL2G10770
OG0000171	Ag044G4495800	AL3G49460
OG0000171	Ag004G0721800	AL8G31780
OG0000171	Ag014G1883300	AL3G19690
OG0000171	Ag010G1018000	AL7G24680
OG0000173	Ag011G1059500	AL7G12140
OG0000173	Ag060G4997300, Ag060G4996700, Ag060G4997500, Ag060G4997700, Ag060G4996200, Ag060G4997100, Ag022G2648900, Ag022G2648400, Ag022G2648200, Ag067G5186700, Ag011G1085300	AL7G13810
OG0000173	Ag014G1845700, Ag014G1846300, Ag014G1846000	AL3G40190
OG0000173	Ag068G5224200, Ag068G5224000, Ag011G1085700	AL7G12760
OG0000173	Ag033G3597600	AL7G13600, AL7G12790
OG0000174	Ag064G5095900, Ag013G1514400, Ag004G0425200, Ag042G4401700, Ag072G5254600, Ag039G4257400, Ag014G1813500, Ag011G1172800	AL5G24470, AL6G38890, AL3G40990, AL6G49470, AL2G19320, AL4G18060, AL1G56990
OG0000174	Ag043G4452900	AL1G41050
OG0000175	Ag034G4063600	AL1G37260
OG0000175	Ag013G1441100	AL6G25440
OG0000175	Ag003G0294400	AL2G23510
OG0000176	Ag014G1823200, Ag014G1822800, Ag014G1822900, Ag014G1823300, Ag014G1822700	AL3G15890
OG0000176	Ag014G1833000	AL3G15860
OG0000176	Ag014G1833200	AL4G14280, AL57U10030
OG0000177	Ag034G3998900, Ag034G3998500, Ag034G3998600	AL1G34320, AL1G34330, AL1G34340, AL1G34270, AL1G34310
OG0000177	Ag004G0483700	AL1G34280
OG0000178	Ag066G5142800	AL6G47960
OG0000178	Ag016G2366900, Ag016G2366600	AL6G47980
OG0000178	Ag016G2366000, Ag016G2366700	AL6G47970
OG0000178	Ag066G5144100, Ag066G5143400	AL6G48020, AL6G47990, AL1G49990
OG0000182	Ag013G1406700	AL7G51710, AL5G39240, AL1G52920, AL5G39230, AL5G39260
OG0000183	Ag061G5037800	AL2G24200, AL7G46650
OG0000183	Ag031G3311200	AL5G38180
OG0000183	Ag013G1588300	AL6G32820, AL4G20560
OG0000184	Ag027G3048100	AL3G36200, AL3G36210
OG0000184	Ag027G3047200, Ag027G3046800	nbis-gene-767
OG0000185	Ag032G3424500, Ag032G3425100, Ag032G3424800, Ag034G4009900, Ag032G3424200, Ag029G3091400, Ag032G3424300, Ag029G3092200, Ag032G3424400, Ag029G3091800, Ag032G3424900, Ag032G3424600	AL1G52850
OG0000185	Ag032G3420100	AL1G37710, AL1G37720, AL1G37670, AL1G42110, AL1G41350
OG0000186	Ag039G4226500	AL2G14230
OG0000187	Ag034G3783000	AL4G24590, AL4G24560, AL4G24330, AL4G24610, AL4G24350, AL4G24620, AL4G24340, AL4G24320
OG0000188	Ag042G4412300	AL7G22270
OG0000188	Ag063G5067000, Ag002G0125500, Ag014G1815800	AL6G22480, AL6G22490, AL6G22600, AL3G14200
OG0000188	Ag014G1820500, Ag014G1820600, Ag011G1195700	AL3G14700
OG0000188	Ag042G4428600, Ag042G4412400, Ag014G1989600	AL3G14720, AL3G14710
OG0000189	Ag011G1112900	AL3G50830
OG0000189	Ag044G4495700	AL7G16200
OG0000189	Ag048G4687900	AL2G35850, AL1G32900
OG0000193	Ag014G2033900	AL1G53620, AL3G29460
