Orthogroup	Alyssum_gmelinii	Raphanus_sativus
OG0000008	Ag005G0786100	XP_018487720.1
OG0000008	Ag027G3054100	XP_018454207.1, XP_018462648.1, XP_018465341.1
OG0000008	Ag014G2109900	XP_018462956.1
OG0000008	Ag001G0025300	XP_018487725.1, XP_018438736.1, XP_018473385.1, XP_018448604.1
OG0000008	Ag033G3526400	XP_018435526.1
OG0000009	Ag034G3970500, Ag034G3983500	XP_018458816.1
OG0000009	Ag034G3964200, Ag048G4700800	XP_018435786.1, XP_018461258.1
OG0000009	Ag015G2264800	XP_018463652.1, XP_018479189.1, XP_018479190.1, XP_018436049.1, XP_018479971.1, XP_018453423.1, XP_018487838.1, XP_018479007.1, XP_018479482.1
OG0000009	Ag040G4348900, Ag088G5430700	XP_018473658.1
OG0000009	Ag019G2551400	XP_018463676.1, XP_018474023.1
OG0000009	Ag016G2319900, Ag025G2919200	XP_018467418.1, XP_018443533.1, XP_018481184.1
OG0000009	Ag013G1476000	XP_018454182.1, XP_018466744.1
OG0000011	Ag027G3007700	XP_018436001.1, XP_018453737.1, XP_018450169.1, XP_018468839.1, XP_018448270.1, XP_018448446.1, XP_018453517.1, XP_018444097.1
OG0000015	Ag034G3936100	XP_018475313.1
OG0000015	Ag048G4644700, Ag011G1263600, Ag066G5170100, Ag019G2552700	XP_018459146.1
OG0000015	Ag058G4974300	XP_018463612.1
OG0000018	Ag007G0926800, Ag014G2174700, Ag054G4876900, Ag021G2605500, Ag075G5287400, Ag011G1256400, Ag025G2901700, Ag033G3478600, Ag014G1898500, Ag004G0480500, Ag004G0446600, Ag004G0716400, Ag024G2890600, Ag016G2280700, Ag004G0729200, Ag004G0729400, Ag004G0775100, Ag002G0196500, Ag014G2112900, Ag034G4006200, Ag014G2046300, Ag048G4699400, Ag031G3375000, Ag033G3505000, Ag067G5182000, Ag034G3751500, Ag013G1482900, Ag020G2558500, Ag034G3945000, Ag063G5069800, Ag016G2344300, Ag013G1402000, Ag016G2394800, Ag015G2197700, Ag044G4497700, Ag036G4103800, Ag001G0002700, Ag054G4885000, Ag020G2572000, Ag016G2390500, Ag031G3400200, Ag014G2174600, Ag004G0769100, Ag034G3891500	XP_018453711.1, XP_018467280.1
OG0000018	Ag013G1384600	XP_018448678.1
OG0000018	Ag074G5275600, Ag020G2558600	XP_018458644.1, XP_018474819.1
OG0000020	Ag068G5227400	XP_018487868.1, XP_018435883.1, XP_018466125.1, XP_018461261.1, XP_018467394.1, XP_018463332.1, XP_018458674.1, XP_018479532.1, XP_018459067.1, XP_018471648.1, XP_018473772.1, XP_018476168.1, XP_018461992.1, XP_018435266.1, XP_018436016.1, XP_018439110.1
OG0000020	Ag060G5002800, Ag014G2139700, Ag001G0002100, Ag013G1354100, Ag034G3996700, Ag078G5375900, Ag036G4119800, Ag019G2511100, Ag025G2915300, Ag017G2430400, Ag041G4354300, Ag013G1396100, Ag067G5206100, Ag022G2668600, Ag064G5103400, Ag023G2811600, Ag011G1267500	XP_018463043.1
OG0000021	Ag013G1488900, Ag031G3408800	XP_018487788.1, XP_018463527.1, XP_018454070.1, XP_018459374.1, XP_018435524.1, XP_018442989.1, XP_018473760.1, XP_018479172.1, XP_018473906.1, XP_018489333.1, XP_018490274.1, XP_018454217.1, XP_018462470.1, XP_018448885.1, XP_018448606.1, XP_018463040.1, XP_018448883.1, XP_018469035.1, XP_018479751.1, XP_018477832.1, XP_018436350.1, XP_018435707.1, XP_018435708.1, XP_018465161.1, XP_018458112.1, XP_018462856.1, XP_018488201.1, XP_018454208.1, XP_018459042.1, XP_018460929.1, XP_018461247.1, XP_018480047.1, XP_018475052.1, XP_018481163.1, XP_018464713.1, XP_018465008.1, XP_018457861.1, XP_018436132.1, XP_018464922.1, XP_018460936.1, XP_018487902.1, XP_018454082.1, XP_018489964.1, XP_018464618.1, XP_018461870.1, XP_018463351.1, XP_018454009.1, XP_018435368.1, XP_018462063.1, XP_018473966.1, XP_018462293.1, XP_018435614.1, XP_018469340.1, XP_018470860.1, XP_018437387.1, XP_018463883.1, XP_018443708.1, XP_018462647.1, XP_018460228.1, XP_018463561.1, XP_018444645.1, XP_018443745.1, XP_018443744.1, XP_018479594.1, XP_018486634.1, XP_018463665.1, XP_018463095.1, XP_018479103.1, XP_018435392.1
OG0000022	Ag034G3829100	XP_018439379.1
OG0000022	Ag024G2896000	XP_018493478.1, XP_018487942.1
OG0000022	Ag006G0805800, Ag058G4977300, Ag022G2695300	XP_018478989.1
OG0000022	Ag014G2040000	XP_018437843.1
OG0000023	Ag054G4895500, Ag002G0253500	XP_018480111.1
OG0000024	Ag050G4762100, Ag050G4762000, Ag050G4761900, Ag050G4746600, Ag050G4752600, Ag050G4752400, Ag050G4746500, Ag050G4746300, Ag022G2696300, Ag022G2696700, Ag050G4754800, Ag050G4755000, Ag050G4751800, Ag050G4752100, Ag050G4752300	XP_018485466.1, XP_018482596.1
OG0000024	Ag031G3235600	XP_018458976.1, XP_018467451.1
OG0000024	Ag013G1744400, Ag063G5083900	XP_018467712.1, XP_018467711.1
OG0000024	Ag013G1754200	XP_018436387.1, XP_018487153.1, XP_018448575.1, XP_018448576.1
OG0000025	Ag015G2255100	XP_018487947.1
OG0000025	Ag002G0276000, Ag054G4878700, Ag011G1115100, Ag066G5134600, Ag066G5170900	XP_018435935.1, XP_018448760.1, XP_018471288.1, XP_018462638.1, XP_018443466.1, XP_018487867.1, XP_018463331.1, XP_018480029.1, XP_018487802.1, XP_018476186.1, XP_018475505.1, XP_018475511.1, XP_018435267.1
OG0000025	Ag064G5112200	XP_018479341.1
OG0000026	Ag287G5488300, Ag015G2272200, Ag023G2829200	XP_018461685.1
OG0000026	Ag013G1736700, Ag015G2272100	XP_018465470.1, XP_018487975.1, XP_018487976.1, XP_018448492.1, XP_018487480.1
OG0000026	Ag016G2403600, Ag025G2906900, Ag031G3406200, Ag063G5074500, Ag063G5074300, Ag016G2402400	XP_018440445.1, XP_018458044.1, XP_018462689.1, XP_018458371.1, XP_018479432.1, XP_018432616.1, XP_018489035.1, XP_018448499.1, XP_018463920.1
OG0000027	Ag021G2619200	XP_018472886.1, XP_018472884.1
OG0000027	Ag021G2619800	XP_018476504.1, XP_018476512.1, XP_018454315.1
OG0000027	Ag077G5324400	XP_018468520.1, XP_018468522.1
OG0000027	Ag077G5325000, Ag033G3496200	XP_018464962.1, XP_018461167.1, XP_018471375.1
OG0000027	Ag077G5325100, Ag033G3496300, Ag033G3642400	XP_018478194.1, XP_018483533.1, XP_018451933.1, XP_018448914.1
OG0000027	Ag077G5325900	XP_018468502.1
OG0000027	Ag093G5459600	XP_018448923.1, XP_018448922.1
OG0000027	Ag021G2620200	XP_018454312.1
OG0000027	Ag021G2618400	XP_018454316.1
OG0000028	Ag034G4010900	XP_018467289.1, XP_018480012.1
OG0000028	Ag078G5387500	XP_018474189.1, XP_018474190.1, XP_018466632.1, XP_018466593.1, XP_018466641.1, XP_018466603.1, XP_018469501.1, XP_018466579.1, XP_018466613.1, XP_018469209.1, XP_018469254.1, XP_018440554.1, XP_018440555.1, XP_018469276.1, XP_018469113.1, XP_018466902.1, XP_018466824.1, XP_018469469.1
OG0000029	Ag002G0180900, Ag022G2648100	XP_018462178.1, XP_018479617.1, XP_018480098.1, XP_018453783.1, XP_018479504.1, XP_018453703.1, XP_018435876.1, XP_018478239.1, XP_018461350.1, XP_018473938.1, XP_018479503.1, XP_018453702.1, XP_018435877.1, XP_018463848.1, XP_018463679.1, XP_018479419.1, XP_018462971.1
OG0000030	Ag014G2144800, Ag014G2145600, Ag014G2146200, Ag014G2146400, Ag014G2146900, Ag014G2147100, Ag014G2147000, Ag014G2146700, Ag014G2145800, Ag014G2145100, Ag014G2144300, Ag014G2147700	XP_018435466.1, XP_018464547.1, XP_018443694.1, XP_018488539.1, XP_018481995.1, XP_018492454.1
OG0000030	Ag014G1952600, Ag014G1958800, Ag014G1958700, Ag014G1965000, Ag042G4396900, Ag042G4397700, Ag042G4398200, Ag014G1952300, Ag014G1952400	XP_018479424.1, XP_018466469.1, XP_018462013.1
OG0000030	Ag014G2099300, Ag027G3062200, Ag014G1975300	XP_018453812.1, XP_018462162.1, XP_018453970.1, XP_018488225.1
OG0000030	Ag014G1840000	XP_018454017.1
OG0000030	Ag013G1357800	XP_018435374.1, XP_018435377.1, XP_018435375.1, XP_018435378.1
OG0000031	Ag012G1290800	XP_018448790.1, XP_018466792.1
OG0000031	Ag011G1132700, Ag003G0359800	XP_018443765.1, XP_018474115.1, XP_018448786.1, XP_018479710.1, XP_018459816.1, XP_018465887.1, XP_018453952.1, XP_018466560.1, XP_018461533.1, XP_018453567.1, XP_018459998.1
OG0000031	Ag057G4960600	XP_018475205.1, XP_018458923.1, XP_018458922.1, XP_018435841.1, XP_018487910.1, XP_018460440.1, XP_018467136.1, XP_018487892.1, XP_018459206.1, XP_018487780.1, XP_018473845.1, XP_018435693.1, XP_018443503.1, XP_018488048.1, XP_018459566.1, XP_018462082.1, XP_018458803.1, XP_018458802.1, XP_018464385.1, XP_018463234.1, XP_018470686.1, XP_018474238.1, XP_018461195.1, XP_018454095.1, XP_018465810.1, XP_018436319.1, XP_018435367.1, XP_018464700.1, XP_018435915.1, XP_018453434.1, XP_018467690.1
OG0000031	Ag028G3081200, Ag048G4605200, Ag023G2817900	XP_018474461.1
OG0000032	Ag015G2181800, Ag004G0471300, Ag005G0786000	XP_018482431.1
OG0000032	Ag011G1160200, Ag011G1160300, Ag011G1160400	XP_018453806.1, XP_018465781.1, XP_018487698.1, XP_018487412.1
OG0000032	Ag051G4814500	XP_018461054.1, XP_018461372.1, XP_018487881.1, XP_018435314.1, XP_018460966.1, XP_018460967.1, XP_018463613.1, XP_018460165.1, XP_018460166.1
OG0000034	Ag093G5459200, Ag033G3498700	XP_018483350.1, XP_018468503.1
OG0000034	Ag093G5459500, Ag033G3498900	XP_018468506.1, XP_018468517.1
OG0000034	Ag033G3477100, Ag052G4847100	XP_018436206.1, XP_018483352.1
OG0000034	Ag048G4579800	XP_018460842.1, XP_018460841.1, XP_018484117.1, XP_018484118.1
OG0000034	Ag033G3500300, Ag093G5461000	XP_018483529.1
OG0000034	Ag033G3496000, Ag077G5324500	XP_018463089.1, XP_018468501.1
OG0000034	Ag033G3500200, Ag093G5460400	XP_018448921.1, XP_018448031.1
OG0000034	Ag033G3498800, Ag093G5459400	XP_018468505.1, XP_018467312.1
OG0000035	Ag061G5042200, Ag007G0851700, Ag007G0851600, Ag015G2256800, Ag031G3385600	XP_018460300.1, XP_018453765.1, XP_018464702.1, XP_018460797.1, XP_018464171.1, XP_018448429.1, XP_018448430.1, XP_018485080.1, XP_018460632.1
OG0000035	Ag023G2806500	XP_018436588.1, XP_018483955.1, XP_018487525.1, XP_018483954.1, XP_018473619.1, XP_018453751.1, XP_018453750.1, XP_018459074.1, XP_018480128.1, XP_018448648.1, XP_018453607.1, XP_018480116.1, XP_018480115.1, XP_018474844.1
OG0000035	Ag023G2825000, Ag061G5042300, Ag007G0851800, Ag068G5222600	XP_018448647.1
OG0000035	Ag042G4402900, Ag032G3436200	XP_018463315.1, XP_018463335.1, XP_018465407.1, XP_018487548.1, XP_018462584.1, XP_018448493.1, XP_018462583.1, XP_018463221.1, XP_018443726.1, XP_018443724.1, XP_018475185.1, XP_018453682.1, XP_018473884.1, XP_018453899.1, XP_018465931.1, XP_018463554.1, XP_018459565.1, XP_018488068.1
OG0000038	Ag013G1382300, Ag066G5165400	XP_018461383.1
OG0000040	Ag031G3415700	XP_018458169.1, XP_018474020.1, XP_018453898.1, XP_018467584.1
OG0000042	Ag007G0876900, Ag096G5474100	XP_018459378.1
OG0000042	Ag023G2817300, Ag039G4253700, Ag002G0154100	XP_018467598.1, XP_018463824.1
OG0000042	Ag014G2104800	XP_018436185.1, XP_018436037.1, XP_018487653.1, XP_018436040.1, XP_018475164.1
OG0000042	Ag009G0976800, Ag006G0824100	XP_018435669.1, XP_018462250.1, XP_018459297.1, XP_018480155.1, XP_018487654.1, XP_018472601.1, XP_018473860.1
OG0000042	Ag013G1471600	XP_018467317.1
OG0000043	Ag014G2139900, Ag038G4145200	XP_018465687.1
OG0000043	Ag036G4114100, Ag014G1940100, Ag078G5353500, Ag027G3068600, Ag002G0228700, Ag011G1124700, Ag004G0651000, Ag003G0322200	XP_018460645.1, XP_018474025.1, XP_018435759.1
OG0000044	Ag087G5424800	XP_018464129.1, XP_018440463.1
OG0000046	Ag041G4362900, Ag013G1668200, Ag007G0902600, Ag055G4927800, Ag019G2498100	XP_018472630.1
OG0000046	Ag004G0691700	XP_018461875.1, XP_018453591.1, XP_018463079.1, XP_018479642.1, XP_018462758.1, XP_018464201.1, XP_018439588.1, XP_018487494.1, XP_018458663.1, XP_018453758.1, XP_018453757.1, XP_018473919.1, XP_018463059.1
OG0000048	Ag039G4227200, Ag039G4227400, Ag039G4227300	XP_018479865.1, XP_018482211.1, XP_018482223.1, XP_018481628.1
OG0000048	Ag013G1657300, Ag013G1657200, Ag013G1657100, Ag013G1657000, Ag013G1657400, Ag013G1658600, Ag013G1658500, Ag013G1651500, Ag013G1657700, Ag022G2632300	XP_018465159.1, XP_018458896.1, XP_018468803.1
OG0000048	Ag034G3744100, Ag013G1648400, Ag016G2390700, Ag013G1573400, Ag013G1573000, Ag013G1626000, Ag013G1648500, Ag013G1647900	XP_018467221.1, XP_018487960.1, XP_018443410.1, XP_018444815.1, XP_018442224.1, XP_018463243.1, XP_018479860.1, XP_018463443.1, XP_018436316.1, XP_018436315.1, XP_018434883.1
OG0000048	Ag062G5058500	XP_018436322.1
OG0000048	Ag032G3445200, Ag048G4573000	XP_018453414.1
OG0000049	Ag068G5223300	XP_018448878.1
OG0000049	Ag061G5034500	XP_018467582.1
OG0000050	Ag002G0166000	XP_018462198.1
OG0000050	Ag019G2535000, Ag013G1454200, Ag002G0129500, Ag014G1805000, Ag002G0202200, Ag015G2221900, Ag015G2264900, Ag025G2919100, Ag014G2113900	XP_018479391.1, XP_018460528.1, XP_018479861.1
OG0000050	Ag004G0548900	XP_018459880.1
OG0000050	Ag016G2298800, Ag034G3860900, Ag015G2213900, Ag020G2565400, Ag003G0365400, Ag022G2666500, Ag013G1429800, Ag023G2797800, Ag078G5357100, Ag088G5430600, Ag006G0803400, Ag034G3970700, Ag066G5153700	XP_018467601.1, XP_018488190.1, XP_018436128.1
OG0000050	Ag027G3020100, Ag013G1440200, Ag022G2649500, Ag066G5147200, Ag001G0043200, Ag024G2885900	XP_018479406.1
OG0000051	Ag034G3687900	XP_018493126.1
OG0000051	Ag003G0386300, Ag003G0378700, Ag003G0386600	XP_018482785.1, XP_018482784.1, XP_018473989.1
OG0000051	Ag003G0387400, Ag003G0387300, Ag003G0387500, Ag003G0387800, Ag003G0387600, Ag003G0387700	XP_018473990.1, XP_018465828.1
OG0000051	Ag003G0385100, Ag003G0385000, Ag003G0384900	XP_018436547.1, XP_018436548.1, XP_018436546.1, XP_018436545.1, XP_018436438.1, XP_018436441.1
OG0000055	Ag034G4065400	XP_018474315.1, XP_018475877.1, XP_018475876.1, XP_018460442.1, XP_018475208.1, XP_018448356.1, XP_018469080.1, XP_018460063.1
OG0000055	Ag014G2041700	XP_018491504.1, XP_018488447.1, XP_018488227.1
OG0000055	Ag039G4264100, Ag014G2046500, Ag014G2046000, Ag014G2045800, Ag001G0027100	XP_018435448.1, XP_018464098.1, XP_018440394.1
OG0000056	Ag011G1149600, Ag011G1148500	XP_018452289.1, XP_018452239.1, XP_018452238.1, XP_018454291.1
OG0000056	Ag039G4248400	XP_018434948.1
OG0000056	Ag002G0180000	XP_018456965.1
OG0000058	Ag001G0033300, Ag033G3511000, Ag006G0820100	XP_018467931.1, XP_018487493.1
OG0000058	Ag007G0902800, Ag002G0124000, Ag002G0117600, Ag027G3030700, Ag004G0691500	XP_018464464.1, XP_018458133.1, XP_018458116.1, XP_018459170.1, XP_018487916.1, XP_018453759.1, XP_018462577.1, XP_018462557.1, XP_018480044.1, XP_018473916.1, XP_018473917.1, XP_018435571.1, XP_018462760.1, XP_018461876.1, XP_018457139.1
OG0000058	Ag027G3040100, Ag048G4695000, Ag056G4940000	XP_018464202.1, XP_018477823.1, XP_018458662.1
OG0000061	Ag007G0932800, Ag024G2852400, Ag002G0098400, Ag025G2913600	XP_018469367.1, XP_018471384.1, XP_018467960.1, XP_018457588.1
OG0000061	Ag025G2971300, Ag025G2971100	XP_018474093.1, XP_018469004.1, XP_018441440.1, XP_018463136.1, XP_018463514.1, XP_018460639.1
OG0000061	Ag025G2914700	XP_018464627.1
OG0000061	Ag013G1477400, Ag013G1477100, Ag013G1476800	XP_018482142.1
OG0000061	Ag013G1627600	XP_018467401.1
OG0000061	Ag056G4940400	XP_018487822.1
OG0000062	Ag033G3580500, Ag033G3643400, Ag090G5454300	XP_018487526.1, XP_018462640.1
OG0000062	Ag043G4453100	XP_018463607.1, XP_018464509.1
OG0000062	Ag016G2329700	XP_018474002.1
OG0000062	Ag031G3251600, Ag031G3301000, Ag082G5407200, Ag075G5303000, Ag002G0140500	XP_018460299.1, XP_018453766.1, XP_018479561.1, XP_018436368.1
OG0000062	Ag043G4453200	XP_018453735.1
OG0000062	Ag044G4491100, Ag016G2329800, Ag034G3892100	XP_018479829.1, XP_018467054.1, XP_018453734.1, XP_018487794.1, XP_018458698.1
OG0000065	Ag003G0361000	XP_018479733.1, XP_018460986.1
OG0000065	Ag016G2372900, Ag016G2372400	XP_018444649.1, XP_018442726.1, XP_018443463.1, XP_018445374.1, XP_018470553.1, XP_018470311.1, XP_018442727.1, XP_018444185.1, XP_018461764.1, XP_018469866.1, XP_018469869.1, XP_018442725.1
OG0000065	Ag016G2372600	XP_018467421.1, XP_018461735.1
OG0000066	Ag004G0438400, Ag013G1525900, Ag013G1525800, Ag016G2348500, Ag034G3765900, Ag034G3780100	XP_018433979.1, XP_018456938.1, XP_018470662.1, XP_018439713.1, XP_018448989.1, XP_018445234.1, XP_018448990.1, XP_018470661.1, XP_018456939.1
OG0000066	Ag048G4702700	XP_018474475.1, XP_018468122.1, XP_018468121.1, XP_018447173.1, XP_018443026.1, XP_018450392.1, XP_018442730.1, XP_018474474.1
OG0000067	Ag041G4373900, Ag010G1017800	XP_018460919.1, XP_018463862.1, XP_018473775.1
OG0000067	Ag011G1139500	XP_018453861.1, XP_018448851.1, XP_018489246.1, XP_018473786.1, XP_018437392.1
OG0000067	Ag066G5128400, Ag033G3619700, Ag002G0134400, Ag022G2724600, Ag031G3235200, Ag023G2826600	XP_018480173.1, XP_018460256.1
OG0000067	Ag013G1533100	XP_018448865.1
OG0000067	Ag031G3254900	XP_018467522.1
OG0000067	Ag007G0854100, Ag013G1533000	XP_018436246.1, XP_018436236.1
OG0000068	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900	XP_018442371.1, XP_018442368.1, XP_018443375.1, XP_018442366.1, XP_018444607.1, XP_018446006.1, XP_018472777.1, XP_018465626.1, XP_018474335.1
OG0000068	Ag013G1504700, Ag048G4718500	XP_018481460.1, XP_018464891.1, XP_018483168.1, XP_018482126.1, XP_018481938.1, XP_018443542.1, XP_018465698.1, XP_018482079.1, XP_018478114.1, XP_018478695.1, XP_018478694.1, XP_018474857.1, XP_018475140.1, XP_018472752.1, XP_018472753.1
OG0000069	Ag048G4574700, Ag048G4708100, Ag034G3920200, Ag048G4553800, Ag048G4563500, Ag001G0079400, Ag048G4644300, Ag048G4643100	XP_018458214.1, XP_018435567.1, XP_018479283.1, XP_018458190.1
OG0000069	Ag031G3335200, Ag031G3335500, Ag031G3335400	XP_018467622.1
OG0000070	Ag039G4215000	XP_018439895.1, XP_018455246.1
OG0000070	Ag034G3976800	XP_018435343.1
OG0000070	Ag048G4685000	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1
OG0000070	Ag025G2960200, Ag025G2959800, Ag025G2962600, Ag025G2962700, Ag025G2947000, Ag025G2946300, Ag025G2959700, Ag025G2959400, Ag025G2974100, Ag025G2973400, Ag025G2973600, Ag025G2946200, Ag025G2946900	XP_018485425.1, XP_018449875.1
OG0000070	Ag031G3230400, Ag031G3231000, Ag031G3230900, Ag014G1944300, Ag031G3231400	XP_018475135.1
OG0000072	Ag039G4320700	XP_018458408.1, XP_018483541.1, XP_018438781.1
OG0000072	Ag067G5173800, Ag020G2570900, Ag011G1215000, Ag022G2752500, Ag011G1246100, Ag001G0081500, Ag033G3527000, Ag011G1215100, Ag039G4238000, Ag055G4918900, Ag039G4305000, Ag068G5225100	XP_018460591.1, XP_018471856.1, XP_018461001.1, XP_018461103.1, XP_018453574.1
OG0000073	Ag077G5319300	XP_018474076.1, XP_018443369.1, XP_018435645.1, XP_018466991.1, XP_018487884.1, XP_018487997.1, XP_018436409.1
OG0000073	Ag028G3078200	XP_018466035.1, XP_018479807.1, XP_018479806.1, XP_018464863.1, XP_018435628.1, XP_018435716.1, XP_018453603.1, XP_018479700.1, XP_018461244.1, XP_018448444.1, XP_018488025.1, XP_018459279.1, XP_018474107.1, XP_018461598.1, XP_018465876.1, XP_018453526.1, XP_018453814.1, XP_018448666.1, XP_018488029.1, XP_018448543.1, XP_018435276.1
OG0000073	Ag048G4703300	XP_018443374.1, XP_018460643.1
OG0000073	Ag065G5125300, Ag015G2190800	XP_018479682.1
OG0000074	Ag004G0773100, Ag004G0661200, Ag029G3097800	XP_018453670.1
OG0000074	Ag025G2969700	XP_018477791.1
OG0000074	Ag027G3035200	XP_018463289.1
OG0000075	Ag034G3817800, Ag001G0065600, Ag001G0065500, Ag001G0065400	XP_018468037.1
OG0000075	Ag021G2601300	XP_018481197.1, XP_018459483.1
OG0000076	Ag011G1037000	XP_018480217.1
OG0000076	Ag025G2903400	XP_018436349.1, XP_018476025.1, XP_018475567.1, XP_018463206.1, XP_018474153.1, XP_018464851.1
OG0000076	Ag013G1628100, Ag013G1627300, Ag013G1626200, Ag006G0795200, Ag013G1628200, Ag013G1627800, Ag011G1200000	XP_018463265.1, XP_018482751.1, XP_018469272.1, XP_018436302.1, XP_018474027.1, XP_018474028.1, XP_018436303.1
OG0000076	Ag031G3285200, Ag031G3285100, Ag031G3285000, Ag011G1144200, Ag011G1144100, Ag006G0793600, Ag011G1036500, Ag011G1036300, Ag006G0792700, Ag034G3899200, Ag034G3899100	XP_018462841.1, XP_018475048.1, XP_018474599.1, XP_018474598.1, XP_018443200.1, XP_018443823.1, XP_018460203.1, XP_018473529.1, XP_018460207.1, XP_018460209.1, XP_018472945.1, XP_018460208.1, XP_018474714.1, XP_018473780.1, XP_018473779.1
OG0000077	Ag033G3566700	XP_018473635.1, XP_018473636.1, XP_018483784.1
OG0000077	Ag001G0019700, Ag025G2944900	XP_018435698.1
OG0000077	Ag002G0173900, Ag034G3775500	XP_018468968.1
OG0000077	Ag006G0838600	XP_018455896.1, XP_018472848.1
