Orthogroup	Alyssum_gmelinii	Eutrema_salsugineum
OG0000004	Ag015G2248700	XP_024010464.1, XP_024010442.1, XP_024015847.1, XP_024014224.1, XP_024009247.1
OG0000004	Ag012G1335000, Ag008G0950900, Ag016G2280500, Ag002G0174700, Ag011G1226600, Ag034G4031200, Ag002G0145400, Ag002G0123900, Ag014G1970800, Ag068G5216500, Ag011G1178300, Ag031G3300400	XP_024014847.1, XP_024016570.1
OG0000005	Ag041G4377100	XP_024016833.1
OG0000008	Ag027G3059500	XP_024006483.1, XP_024014781.1, XP_024004796.1, XP_024004794.1, XP_024014490.1
OG0000008	Ag005G0786100	XP_024015912.1, XP_024004048.1
OG0000008	Ag027G3054100	XP_024013171.1, XP_024010288.1, XP_024007970.1
OG0000008	Ag001G0025300	XP_024013173.1
OG0000008	Ag033G3526400	XP_024010217.1, XP_024010377.1
OG0000009	Ag015G2264800, Ag040G4348900, Ag088G5430700	XP_024013918.1, XP_024007904.1
OG0000009	Ag014G1796900, Ag018G2446400, Ag034G3932700, Ag042G4419400, Ag010G1025100	XP_024004860.1
OG0000009	Ag014G2105300	XP_024004892.1
OG0000011	Ag027G3007700	XP_024014259.1, XP_024004159.1, XP_024015297.1, XP_024014196.1, XP_024013207.1, XP_024014814.1, XP_024011246.1, XP_024004160.1
OG0000012	Ag006G0798800	XP_024011250.1, XP_024011270.1, XP_024013668.1, XP_024016101.1, XP_024013382.1, XP_024010432.1, XP_024006682.1, XP_024016577.1, XP_024004056.1, XP_024005228.1, XP_024015282.1, XP_024013555.1, XP_024014250.1, XP_024006510.1, XP_024004043.1, XP_024016298.1, XP_024008037.1, XP_024013925.1
OG0000014	Ag002G0182700	XP_024013115.1, XP_024014009.1, XP_024005602.1, XP_024005000.1, XP_024015955.1
OG0000015	Ag034G3936100	XP_024006143.1
OG0000015	Ag012G1294500	XP_024012449.1
OG0000018	Ag074G5275600, Ag020G2558600	XP_024010601.1
OG0000020	Ag016G2337300	XP_024013930.1, XP_024006617.1, XP_024013145.1, XP_024005036.1, XP_024010660.1, XP_024013948.1, XP_024013964.1, XP_024013965.1, XP_006405034.2, XP_024010782.1, XP_024016366.1, XP_024009241.1, XP_024010575.1, XP_024013043.1, XP_024013056.1, XP_024010319.1, XP_024014443.1, XP_024006547.1, XP_024014425.1, XP_024007259.1, XP_024009794.1, XP_024011333.1, XP_024006565.1, XP_024013063.1, XP_024010757.1, XP_024016106.1, XP_024014812.1, XP_024015878.1, XP_024010923.1, XP_024016723.1, XP_024004986.1, XP_024015902.1
OG0000020	Ag068G5227400	XP_024013981.1, XP_024007902.1, XP_024010205.1, XP_024010440.1, XP_024014746.1
OG0000021	Ag013G1488900, Ag031G3408800	XP_024013384.1, XP_024008232.1
OG0000022	Ag002G0160300, Ag002G0160500	XP_006391821.1, XP_006391819.1, XP_006391862.1, XP_006391806.1, XP_006391783.1, XP_006391822.1, XP_024003783.1, XP_006391808.1, XP_006391749.1
OG0000022	Ag034G3829100, Ag034G3823300, Ag034G3823600, Ag034G3830900, Ag034G3837600, Ag034G3827100	XP_006417237.2
OG0000022	Ag024G2896000	XP_024008093.1, XP_006391605.2
OG0000022	Ag006G0805800, Ag058G4977300, Ag022G2695300	XP_024014798.1
OG0000022	Ag014G2040000	XP_024015415.1
OG0000023	Ag013G1378800	XP_024013410.1
OG0000023	Ag054G4895500, Ag002G0253500	XP_024016167.1
OG0000024	Ag050G4762100, Ag050G4762000, Ag050G4761900, Ag050G4746600, Ag050G4752600, Ag050G4752400, Ag050G4746500, Ag050G4746300, Ag022G2696300, Ag022G2696700, Ag050G4754800, Ag050G4755000, Ag050G4751800, Ag050G4752100, Ag050G4752300	XP_006393242.1, XP_006393240.1, XP_006393292.2, XP_006393291.1, XP_006393290.1, XP_006393293.1, XP_006393224.2
OG0000024	Ag013G1744400, Ag063G5083900	XP_006415394.1, XP_024007951.1, XP_006415341.2
OG0000024	Ag013G1754200	XP_024004275.1, XP_006402766.1
OG0000025	Ag015G2255100	XP_024007336.1, XP_024013062.1
OG0000025	Ag067G5188200, Ag030G3132300	XP_024014962.1, XP_024010657.1, XP_024004987.1, XP_024006404.1, XP_024015864.1, XP_024007297.1, XP_024014500.1, XP_024012918.1
OG0000025	Ag002G0276000, Ag054G4878700, Ag011G1115100, Ag066G5134600, Ag066G5170900	XP_024013403.1, XP_024013306.1, XP_024009983.1, XP_024006433.1, XP_024014732.1, XP_024014743.1, XP_024007900.1, XP_024013980.1, XP_024010438.1, XP_024010204.1, XP_024015304.1, XP_024009430.1, XP_024010439.1
OG0000025	Ag064G5112200	XP_024009325.1, XP_024006530.1, XP_024011284.1, XP_024013992.1
OG0000027	Ag021G2619200	XP_006396898.1, XP_024009838.1, XP_006396897.2
OG0000027	Ag021G2619800	XP_006396896.1
OG0000027	Ag021G2619900	XP_024010236.1
OG0000027	Ag077G5324400	XP_006413565.1
OG0000027	Ag077G5325000, Ag033G3496200	XP_024009837.1
OG0000027	Ag021G2620200	XP_006396890.1
OG0000027	Ag021G2618400	XP_006396908.2
OG0000027	Ag093G5459100, Ag033G3498600, Ag002G0200100, Ag077G5325600	XP_024004623.1
OG0000029	Ag002G0180900, Ag022G2648100	XP_024015838.1, XP_024010450.1, XP_024014056.1, XP_024014403.1, XP_024004857.1, XP_024016540.1, XP_024013162.1, XP_024013053.1, XP_024009819.1, XP_024010241.1, XP_024014715.1
OG0000030	Ag014G2144800, Ag014G2145600, Ag014G2146200, Ag014G2146400, Ag014G2146900, Ag014G2147100, Ag014G2147000, Ag014G2146700, Ag014G2145800, Ag014G2145100, Ag014G2144300, Ag014G2147700	XP_006391637.1
OG0000030	Ag014G1952600, Ag014G1958800, Ag014G1958700, Ag014G1965000, Ag042G4396900, Ag042G4397700, Ag042G4398200, Ag014G1952300, Ag014G1952400	XP_024008003.1
OG0000030	Ag014G2099300, Ag027G3062200, Ag014G1975300	XP_024009293.1, XP_024016186.1, XP_024010547.1, XP_024015244.1, XP_006401009.1
OG0000031	Ag012G1290800	XP_024006123.1, XP_024006531.1, XP_024015844.1, XP_024010635.1, XP_024009411.1, XP_024011373.1
OG0000031	Ag018G2463100	XP_024010150.1
OG0000031	Ag014G2001300, Ag025G2974400, Ag067G5204400, Ag016G2379700, Ag064G5091800, Ag014G2046100, Ag002G0264600, Ag021G2582900, Ag026G3000600, Ag073G5260500, Ag034G3746100, Ag067G5192300	XP_024009588.1, XP_024010453.1, XP_024006101.1, XP_024007284.1
OG0000031	Ag030G3130300	XP_024008024.1, XP_024014349.1, XP_024006862.1, XP_024006618.1, XP_024016129.1
OG0000031	Ag011G1132700, Ag003G0359800	XP_024008010.1, XP_024009300.1, XP_024006120.1
OG0000031	Ag057G4960600	XP_024011224.1
OG0000032	Ag011G1160200, Ag011G1160300, Ag011G1160400	XP_024007954.1, XP_024004841.1, XP_024010402.1
OG0000034	Ag093G5459200, Ag033G3498700	XP_006413571.1, XP_024010975.1
OG0000034	Ag033G3477100, Ag052G4847100	XP_006413574.2
OG0000034	Ag048G4579800	XP_024005104.1
OG0000034	Ag033G3496000, Ag077G5324500	XP_006413567.2
OG0000034	Ag033G3500200, Ag093G5460400	XP_006413576.1
OG0000035	Ag061G5042200, Ag007G0851700, Ag007G0851600, Ag015G2256800, Ag031G3385600	XP_024010425.1, XP_024007977.1
OG0000035	Ag015G2256700, Ag023G2806500, Ag023G2825000, Ag061G5042300, Ag007G0851800, Ag068G5222600, Ag042G4402900, Ag032G3436200	XP_024004785.1, XP_024005785.1, XP_024004877.1, XP_024016694.1, XP_024016229.1, XP_024011093.1, XP_024010243.1, XP_024006613.1, XP_006409421.2, XP_024009313.1, XP_024006556.1, XP_024015936.1
OG0000035	Ag093G5463700	XP_006393440.2
OG0000039	Ag033G3629500	XP_024006661.1
OG0000040	Ag031G3415700	XP_024006069.1
OG0000042	Ag007G0876900, Ag096G5474100	XP_024009659.1
OG0000042	Ag023G2817300, Ag039G4253700, Ag002G0154100	XP_024009281.1, XP_024009944.1, XP_024011303.1, XP_024016200.1
OG0000042	Ag009G0976800, Ag006G0824100	XP_024006466.1
OG0000043	Ag014G2139900, Ag038G4145200	XP_024014240.1
OG0000046	Ag041G4362900, Ag013G1668200, Ag007G0902600, Ag055G4927800, Ag019G2498100	XP_024015030.1
OG0000046	Ag004G0691700	XP_006401889.2, XP_024011380.1, XP_006389862.1, XP_024013796.1, XP_024010208.1, XP_006403918.2, XP_024006486.1, XP_024009662.1, XP_024009472.1, XP_024009471.1, XP_024009726.1, XP_024010419.1
OG0000048	Ag013G1657300, Ag013G1657200, Ag013G1657100, Ag013G1657000, Ag013G1657400, Ag013G1658600, Ag013G1658500, Ag013G1651500, Ag013G1657700, Ag022G2632300	XP_006391498.1, XP_006406621.1, XP_006406579.1, XP_006410338.1
OG0000048	Ag032G3445200, Ag048G4573000	XP_006407903.2
OG0000050	Ag031G3328800, Ag019G2527600, Ag020G2554600	XP_024004962.1, XP_024006598.1
OG0000050	Ag027G3020100, Ag013G1440200, Ag022G2649500, Ag066G5147200, Ag001G0043200, Ag024G2885900	XP_024015913.1, XP_024007981.1
OG0000051	Ag034G3687900	XP_024009195.1, XP_006418389.2, XP_024008111.1
OG0000051	Ag003G0386300, Ag003G0378700, Ag003G0386600	XP_006411503.1
OG0000051	Ag003G0385100, Ag003G0385000, Ag003G0384900	XP_024004184.1
OG0000054	Ag043G4433900	XP_024013069.1
OG0000055	Ag014G2041700	XP_006398121.1, XP_006406735.1
OG0000055	Ag014G2041900	XP_006417574.1, XP_006406803.2
OG0000056	Ag011G1149600, Ag011G1148500	XP_024016867.1
OG0000058	Ag010G1012100	XP_024016128.1
OG0000058	Ag001G0033300, Ag033G3511000, Ag006G0820100	XP_024013600.1
OG0000058	Ag007G0902800, Ag002G0124000, Ag002G0117600, Ag027G3030700, Ag004G0691500	XP_024015982.1, XP_024013356.1, XP_024006629.1, XP_024016554.1, XP_024011207.1, XP_024014435.1, XP_024009368.1, XP_024014237.1, XP_024016380.1, XP_024011251.1, XP_024003653.1, XP_024009607.1, XP_024016240.1, XP_024016319.1, XP_024013206.1, XP_024011314.1, XP_024011360.1, XP_024010368.1, XP_024012295.1, XP_024009971.1, XP_024006803.1, XP_024006792.1, XP_024011140.1, XP_024013156.1
OG0000058	Ag027G3040100, Ag048G4695000, Ag056G4940000	XP_024009371.1, XP_024012609.1
OG0000061	Ag025G2971300, Ag025G2971100	XP_006400395.1
OG0000062	Ag043G4453100	XP_024009412.1
OG0000062	Ag016G2329700	XP_024004127.1
OG0000062	Ag043G4453200	XP_024016230.1, XP_024010222.1, XP_024006614.1, XP_024010315.1, XP_024006463.1, XP_024009419.1, XP_024011092.1, XP_024016359.1
OG0000062	Ag044G4491100, Ag016G2329800, Ag034G3892100	XP_024004129.1, XP_024013428.1, XP_024010363.1, XP_024010298.1, XP_024010297.1, XP_024008041.1
OG0000062	Ag035G4080000, Ag066G5159400, Ag002G0144600, Ag003G0364100, Ag011G1174400	XP_024011371.1, XP_024013346.1, XP_024010366.1, XP_024011367.1, XP_024010144.1, XP_024010551.1, XP_024009344.1, XP_024010927.1, XP_024007910.1
OG0000065	Ag016G2372900, Ag016G2372400	XP_024014567.1, XP_006391458.1
OG0000066	Ag004G0438400, Ag013G1525900, Ag013G1525800, Ag016G2348500, Ag034G3765900, Ag034G3780100	XP_006396911.1, XP_024012002.1, XP_006394194.1, XP_006394044.1
OG0000066	Ag048G4702700	XP_024005718.1, XP_006399597.1, XP_006390289.1, XP_024005720.1
OG0000067	Ag041G4373900, Ag010G1017800	XP_024010589.1
OG0000067	Ag013G1533100	XP_024013907.1
OG0000067	Ag007G0854100, Ag013G1533000	XP_024014292.1
OG0000068	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900	XP_024014925.1
OG0000068	Ag013G1504700, Ag048G4718500	XP_024012324.1
OG0000069	Ag001G0079400	XP_006402374.1
OG0000069	Ag048G4644300, Ag048G4643100	XP_006404944.1
OG0000070	Ag039G4215000	XP_006395735.1
OG0000070	Ag034G3976800	XP_006416426.1
OG0000070	Ag048G4685000	XP_006390250.1
OG0000070	Ag031G3230400, Ag031G3231000, Ag031G3230900, Ag014G1944300, Ag031G3231400	XP_006402629.2
OG0000072	Ag051G4812200	XP_024009686.1
OG0000072	Ag039G4320700	XP_024013305.1, XP_024009725.1, XP_024013046.1, XP_024014631.1, XP_024009608.1, XP_024004060.1, XP_024006592.1
OG0000072	Ag067G5173800, Ag020G2570900, Ag011G1215000, Ag022G2752500, Ag011G1246100, Ag001G0081500, Ag033G3527000, Ag011G1215100, Ag039G4238000, Ag055G4918900, Ag039G4305000, Ag068G5225100	XP_024009899.1, XP_024016377.1, XP_024014710.1, XP_024004977.1, XP_024016537.1
OG0000074	Ag004G0773100, Ag004G0661200, Ag029G3097800	XP_024016530.1
OG0000074	Ag025G2969700	XP_024016228.1
OG0000075	Ag011G1133100, Ag022G2654400	XP_006396818.1, XP_006396813.1
OG0000075	Ag002G0228800	XP_006418924.1
OG0000076	Ag011G1037000	XP_006411683.1
OG0000076	Ag006G0792900	XP_024010383.1
OG0000076	Ag025G2903400, Ag013G1628100, Ag013G1627300, Ag013G1626200, Ag006G0795200, Ag013G1628200, Ag013G1627800, Ag011G1200000	XP_024004093.1, XP_024004091.1, XP_006410069.1, XP_006410074.2, XP_006410076.1, XP_006410126.2, XP_024004081.1, XP_006410042.2, XP_006410043.2, XP_006410041.1
OG0000076	Ag031G3285200, Ag031G3285100, Ag031G3285000, Ag011G1144200, Ag011G1144100, Ag006G0793600, Ag011G1036500, Ag011G1036300, Ag006G0792700, Ag034G3899200, Ag034G3899100	XP_006397224.1, XP_006397217.1, XP_024010292.1, XP_006397043.1
OG0000077	Ag033G3566700	XP_006398175.2
OG0000077	Ag034G3937600, Ag034G3937000, Ag001G0019700, Ag025G2944900	XP_006395717.2, XP_006395727.1
OG0000077	Ag002G0173900	XP_006392390.2
OG0000078	Ag014G1810600	XP_006408254.2, XP_006408256.1
OG0000078	Ag014G1809300, Ag014G1810300	XP_024014979.1
OG0000078	Ag014G1810500	XP_006408255.1
OG0000079	Ag013G1457500, Ag048G4621400, Ag034G3932500, Ag057G4952600, Ag031G3220200, Ag096G5473600, Ag004G0591700, Ag013G1365900, Ag011G1219700, Ag013G1389800, Ag004G0767900, Ag066G5147300	XP_006405230.2, XP_024010130.1
OG0000080	Ag025G2955200, Ag031G3220300, Ag042G4408900, Ag025G2921000, Ag024G2850500, Ag007G0892400, Ag014G1963800, Ag013G1458800, Ag031G3395500, Ag011G1186400, Ag048G4623700	XP_024009590.1, XP_024006412.1, XP_024009577.1, XP_024014937.1, XP_024014015.1, XP_024009774.1, XP_024006600.1, XP_024006597.1, XP_024014043.1, XP_024011233.1, XP_024013383.1, XP_024004890.1, XP_024013704.1, XP_024013909.1, XP_024013996.1, XP_024010788.1, XP_024010580.1, XP_024013057.1, XP_024014532.1
OG0000081	Ag039G4247800, Ag031G3153300, Ag013G1414900, Ag034G4022300, Ag004G0723900	XP_024014389.1, XP_024004223.1
OG0000081	Ag019G2512100, Ag066G5159500, Ag002G0249600, Ag043G4447600, Ag014G2017300	XP_024014942.1, XP_024013908.1
OG0000082	Ag014G2015500	XP_024013185.1
OG0000083	Ag050G4770200	XP_024004889.1
OG0000086	Ag036G4084000	XP_006390991.1
OG0000089	Ag004G0519800	XP_006394642.1
OG0000089	Ag055G4906500, Ag004G0479400	XP_006404433.1, XP_006404432.1
OG0000089	Ag013G1621300	XP_006410012.1
OG0000089	Ag013G1488000	XP_006399740.1
OG0000089	Ag016G2360800	XP_006403108.1
OG0000089	Ag033G3591100	XP_006413842.1
OG0000089	Ag023G2824600	XP_006410628.1
OG0000089	Ag048G4693300	XP_006390273.1
OG0000090	Ag014G2110900, Ag039G4189800, Ag034G3794600, Ag011G1047900, Ag004G0600000, Ag013G1542300, Ag034G3946500, Ag014G1978300, Ag023G2832300, Ag068G5220000, Ag004G0700900, Ag031G3274800, Ag068G5231800, Ag049G4724100, Ag034G4006000, Ag004G0584200, Ag048G4605300, Ag040G4349000, Ag062G5054300, Ag007G0888700, Ag075G5298700, Ag055G4921900	XP_024004922.1, XP_024014456.1
OG0000090	Ag021G2604300	XP_024009890.1
OG0000090	Ag013G1764600, Ag056G4937000, Ag003G0343600, Ag068G5212400, Ag002G0264300, Ag048G4621900, Ag019G2531000, Ag006G0823200, Ag013G1384300	XP_024004593.1
OG0000091	Ag039G4278700	XP_006404361.1
OG0000091	Ag006G0816700	XP_006398110.2, XP_006398111.1
OG0000091	Ag004G0570300	XP_024011446.1
OG0000091	Ag014G2119500, Ag014G2119400, Ag014G2119100	XP_006404412.1
OG0000095	Ag016G2362700, Ag016G2305100, Ag024G2851600, Ag006G0800000, Ag016G2308200, Ag006G0799900	XP_006405024.2, XP_006405025.1, XP_006405019.2
OG0000096	Ag002G0154900	XP_024009294.1, XP_006418661.2, XP_006418628.2
OG0000098	Ag011G1254000, Ag011G1253500	XP_024009712.1, XP_006403292.2
OG0000098	Ag040G4345100	XP_006395726.1
OG0000098	Ag004G0482500, Ag004G0482700, Ag014G2044400	XP_006404383.1, XP_006394690.1, XP_006414046.1
OG0000099	Ag056G4934400	XP_024014024.1
OG0000101	Ag037G4126400	XP_024007307.1
OG0000101	Ag017G2433300, Ag013G1679700	XP_024013940.1
OG0000102	Ag016G2365900, Ag016G2370500, Ag016G2369900	XP_006405546.1
OG0000102	Ag016G2370800	XP_006417793.2
OG0000102	Ag016G2368300	XP_006396591.1
OG0000105	Ag014G1812600, Ag011G1082500, Ag011G1083100, Ag011G1082700, Ag011G1082400, Ag025G2901500	XP_024011529.1
OG0000106	Ag048G4637400, Ag078G5354400	XP_024004814.1, XP_024010468.1
OG0000107	Ag014G2149500	XP_024015177.1
OG0000107	Ag014G2150100	XP_006406420.1
OG0000108	Ag031G3385800, Ag039G4307100	XP_006410952.1, XP_006403657.1
OG0000108	Ag004G0614200, Ag004G0644200	XP_006400969.1, XP_006418890.1
OG0000108	Ag014G1944700	XP_006407369.1
OG0000108	Ag013G1537900	XP_006399464.1
OG0000108	Ag014G2095200	XP_006406564.1
OG0000108	Ag003G0396500	XP_006405819.1
OG0000109	Ag029G3099600	XP_024009711.1, XP_024010384.1, XP_024009792.1, XP_024009380.1, XP_024010244.1, XP_024014026.1, XP_024006561.1, XP_024013107.1, XP_024015896.1, XP_024009348.1, XP_024013914.1, XP_024009952.1, XP_024006596.1
OG0000110	Ag029G3103900	XP_024006585.1, XP_024009271.1, XP_024009446.1, XP_024009516.1, XP_024015963.1, XP_024010353.1, XP_024013220.1
OG0000113	Ag034G3960500, Ag018G2439200, Ag007G0866600	XP_024016555.1, XP_024007700.1, XP_024011197.1, XP_024007216.1, XP_024013363.1, XP_024009338.1, XP_024016346.1, XP_024013571.1, XP_024009336.1, XP_024007261.1, XP_024013855.1, XP_024006117.1, XP_024014693.1, XP_024014268.1, XP_024011115.1, XP_024009461.1, XP_024009754.1, XP_024009388.1, XP_024009384.1, XP_024010238.1, XP_024006581.1, XP_024015884.1, XP_024014021.1, XP_024014423.1, XP_024016197.1, XP_024004811.1, XP_024004062.1, XP_024006520.1, XP_024014323.1, XP_024007276.1, XP_024010350.1, XP_006405158.1, XP_024006508.1, XP_024004810.1, XP_024007978.1, XP_024006515.1, XP_024006576.1, XP_024009982.1, XP_024016247.1, XP_024014476.1, XP_024014052.1, XP_024006086.1
OG0000113	Ag013G1466300, Ag013G1360400, Ag024G2868000, Ag004G0725300, Ag014G2165200, Ag002G0185300, Ag004G0724400, Ag052G4861000, Ag078G5366500, Ag078G5365400, Ag078G5365900, Ag051G4836400, Ag023G2829100, Ag039G4333000, Ag011G1261400, Ag022G2665900, Ag066G5167600, Ag058G4992600	XP_024006509.1, XP_024009929.1, XP_024006467.1
OG0000113	Ag038G4168000, Ag040G4350600, Ag013G1419600, Ag020G2577300, Ag019G2516800	XP_024006524.1
OG0000117	Ag088G5442700	XP_024008857.1
OG0000117	Ag018G2454400, Ag018G2459300	XP_024008031.1
OG0000117	Ag088G5431700	XP_024008246.1
OG0000117	Ag022G2713800, Ag018G2459500, Ag018G2459700	XP_024008029.1, XP_024008030.1, XP_006416071.1
OG0000118	Ag078G5395500, Ag034G4070400, Ag002G0250500	XP_006416096.1
OG0000119	Ag004G0623100, Ag004G0623400	XP_024009951.1
OG0000119	Ag034G3967000	XP_006419033.2
OG0000120	Ag001G0032000	XP_024013368.1
OG0000121	Ag039G4328200	XP_024013152.1
OG0000122	Ag004G0720700	XP_006401346.1
OG0000122	Ag004G0718500	XP_006401333.2
OG0000124	Ag005G0788500, Ag031G3394500, Ag067G5193700, Ag049G4732800, Ag019G2494200	XP_024011275.1, XP_024009428.1, XP_024006620.1, XP_024007267.1, XP_024015892.1, XP_024009781.1, XP_024013977.1, XP_024010413.1, XP_024005584.1, XP_024010662.1, XP_024011095.1, XP_024010391.1, XP_006409642.2, XP_024007266.1, XP_024011274.1, XP_024016583.1
OG0000125	Ag013G1612800	XP_024003699.1
OG0000125	Ag001G0065100	XP_024006051.1
OG0000125	Ag001G0066100, Ag001G0065800	XP_006392987.1
OG0000125	Ag027G3062400	XP_006406282.1
OG0000125	Ag001G0065900	XP_024006009.1
OG0000127	Ag004G0605400	XP_006400797.1
OG0000127	Ag031G3386800, Ag039G4310500	XP_006403666.1
OG0000127	Ag013G1609800	XP_006400898.1, XP_006418979.1, XP_006418973.1, XP_006409905.1
OG0000128	Ag031G3245400, Ag031G3245300, Ag031G3245200	XP_024012970.1
OG0000128	Ag031G3250200	XP_006402714.1
OG0000128	Ag031G3242400	XP_024009571.1
OG0000128	Ag031G3246800, Ag031G3247000, Ag031G3246900	XP_006402712.2
OG0000128	Ag031G3246700	XP_006402710.1
OG0000128	Ag031G3249200, Ag031G3249100, Ag031G3248800, Ag031G3351900, Ag031G3350800, Ag031G3350000, Ag031G3350700, Ag002G0204500, Ag031G3349900	XP_006402715.1
OG0000129	Ag013G1553100, Ag013G1550500, Ag013G1552900, Ag016G2401500, Ag013G1550300	XP_006408194.2
OG0000129	Ag013G1673500, Ag013G1673600	XP_024011911.1
OG0000132	Ag048G4640200, Ag048G4640300, Ag048G4637800, Ag048G4638900, Ag048G4638800, Ag048G4639900, Ag048G4638300, Ag048G4640000, Ag004G0468700, Ag004G0468400, Ag004G0468800	XP_006394280.1
OG0000132	Ag004G0468600, Ag004G0468500	XP_006396648.1, XP_006391408.1, XP_006391409.1
OG0000132	Ag039G4243000, Ag039G4243200, Ag039G4241900	XP_006393001.2, XP_024014405.1, XP_024014786.1, XP_006405613.2, XP_006405755.2, XP_006405611.2, XP_024014617.1, XP_024014705.1
OG0000134	Ag013G1506600	XP_006399626.1
OG0000136	Ag013G1519100, Ag024G2872900, Ag033G3633700, Ag006G0798400, Ag020G2576300, Ag039G4209200, Ag033G3590600, Ag012G1284000	XP_024015179.1
OG0000136	Ag014G1903900	XP_024004038.1
OG0000137	Ag004G0742000	XP_006401462.1
OG0000137	Ag004G0742300	XP_006401463.2
OG0000137	Ag004G0742500, Ag004G0742600	XP_006401465.2
OG0000137	Ag039G4193200	XP_006395415.1
OG0000138	Ag033G3506400, Ag078G5363200	XP_024012920.1
OG0000138	Ag031G3319900, Ag031G3319600, Ag031G3253400, Ag031G3253300, Ag003G0293800, Ag031G3402200	XP_024016620.1
OG0000138	Ag031G3182200, Ag031G3182000, Ag039G4256800	XP_006402376.1, XP_006406628.2, XP_024015356.1
OG0000140	Ag002G0186700	XP_024010233.1, XP_024016314.1
OG0000140	Ag039G4233000, Ag014G2136000, Ag038G4173300, Ag022G2672800, Ag033G3478700	XP_024009937.1
OG0000140	Ag011G1144500	XP_024014271.1, XP_024011288.1
OG0000141	Ag034G3821900, Ag034G3821800	XP_006417248.1
OG0000148	Ag013G1622400, Ag034G3735700	XP_006415686.2, XP_024008000.1, XP_006415657.1
OG0000151	Ag031G3356400	XP_006403491.1
OG0000151	Ag031G3356700	XP_006403492.1
OG0000151	Ag039G4248200	XP_006411161.1
OG0000151	Ag031G3356800	XP_006403493.1
OG0000151	Ag031G3389200	XP_006403679.1
OG0000151	Ag039G4314300	XP_006410918.1
OG0000151	Ag013G1463800	XP_006399852.1
OG0000153	Ag013G1615700	XP_024003801.1, XP_006409980.1
OG0000153	Ag013G1615400	XP_006409978.1
OG0000154	Ag001G0045800	XP_006393107.1
OG0000154	Ag053G4872200	XP_024005670.1
OG0000154	Ag001G0045900	XP_024006135.1
OG0000154	Ag001G0045400, Ag001G0045500, Ag001G0045200, Ag001G0045100, Ag001G0045300, Ag001G0049100, Ag002G0262200	XP_024006134.1
OG0000155	Ag083G5410000, Ag013G1376100, Ag034G3868600, Ag022G2729400, Ag031G3154900, Ag013G1368700, Ag016G2361100, Ag067G5183100	XP_024016201.1, XP_024005989.1
OG0000157	Ag013G1747900, Ag014G2127200	XP_006415425.1
OG0000158	Ag011G1092000	XP_006402964.2
OG0000158	Ag014G2085500	XP_006390675.2
OG0000158	Ag014G1900800	XP_006397112.2, XP_006390521.2, XP_024007853.1
OG0000159	Ag011G1125800, Ag002G0098700, Ag002G0120500	XP_024007614.1
OG0000159	Ag002G0124600	XP_024007305.1
OG0000160	Ag042G4405700	XP_006409094.1
OG0000160	Ag068G5221600	XP_024005341.1
OG0000160	Ag004G0692900	XP_024012572.1
OG0000160	Ag048G4572800	XP_006389820.1
OG0000161	Ag015G2193300, Ag055G4906800	XP_024013331.1, XP_024013360.1
OG0000162	Ag013G1672500	XP_006410456.1
OG0000162	Ag034G3894100	XP_024015969.1
OG0000162	Ag013G1672600	XP_024004125.1
