Orthogroup	Alyssum_gmelinii	Cochlearia_excelsa
OG0000004	Ag014G1801700, Ag035G4075300, Ag012G1323700, Ag071G5244600, Ag012G1283500, Ag054G4887800, Ag042G4418600, Ag014G2066300, Ag034G4033900, Ag038G4153200, Ag024G2851700, Ag068G5218800, Ag004G0700600	g48661, g33568, g18221, g8678, g51092, g10991, g52741, g52421, g21073, g42791, g34845, g30252, g9059, g9287, g52509, g9224, g36650, g21099, g52367, g20888, g21409, g43220
OG0000004	Ag010G0992800, Ag014G1774700	g30215, g8478, g34832, g22569, g21980, g3591, g32844, g52627, g21889
OG0000004	Ag050G4758900	g32763, g3356, g49005, g48658, g4299, g19817, g52410, g42564
OG0000004	Ag039G4237400	g16396, g30119
OG0000004	Ag015G2248700	g30683, g11402, g42267, g4097, g35533, g26378, g25248, g4110, g26383, g33093, g52754
OG0000004	Ag038G4178200, Ag004G0763800	g6262
OG0000004	Ag066G5158800	g53542
OG0000005	Ag025G2943500	g36078
OG0000005	Ag041G4377100	g21085, g8878
OG0000005	Ag013G1642000	g41900
OG0000005	Ag078G5366100	g49127, g41144
OG0000008	Ag027G3059500	g36794
OG0000008	Ag005G0786100	g43261, g5353, g35020, g27856, g27175, g1942, g52586
OG0000008	Ag027G3054100	g26783
OG0000008	Ag014G2109900	g25873
OG0000008	Ag001G0025300	g4392, g11343, g33123
OG0000008	Ag033G3526400	g39484, g13991
OG0000009	Ag034G3983600	g10582
OG0000009	Ag050G4781200	g22674, g36759
OG0000009	Ag014G2149700	g2982
OG0000009	Ag027G3020200, Ag048G4712500, Ag088G5430400, Ag013G1719200, Ag066G5147100, Ag014G2109800, Ag078G5397100	g36187, g39720, g39344, g179, g5747, g29717, g34209, g30767
OG0000009	Ag014G2163600	g43889, g48006
OG0000009	Ag078G5396800, Ag034G3985100, Ag014G2137100, Ag030G3127000	g23664
OG0000009	Ag040G4348900, Ag088G5430700	g38135, g4, g54233, g32288, g9848, g3832, g54192, g31394, g30358, g44061, g36068, g44251
OG0000009	Ag058G4969600, Ag052G4854400	g39670, g22668, g25460, g181, g49313
OG0000009	Ag055G4920300, Ag019G2551400	g10580, g39986, g32058
OG0000009	Ag019G2526900	g43567
OG0000009	Ag016G2319900, Ag025G2919200	g11275, g53238, g41488, g4401, g4394, g44957
OG0000011	Ag015G2211300	g6794, g51199, g2482, g2714, g11450, g46138, g50714
OG0000011	Ag019G2529100, Ag039G4286000	g16592, g1020
OG0000011	Ag040G4344500	g33386, g45605, g4839
OG0000011	Ag013G1448000, Ag039G4298900, Ag021G2607700, Ag004G0775500, Ag011G1129700	g24216, g17795
OG0000011	Ag027G3007700	g450, g26627, g32634
OG0000012	Ag006G0798800	g3436
OG0000014	Ag002G0182700	g45670
OG0000014	Ag012G1285000	g15648, g3344, g15533, g22676, g53459, g25144, g49032, g52662, g35616, g50919, g33646, g12078, g52545, g35669, g14831, g24737, g46898, g25054, g45988, g53995, g27320, g24931, g24782, g1434, g42927, g51017, g13624, g47253, g45228, g14612, g43201, g43093, g53227, g6177, g4257, g35984, g2095, g18595, g15004, g12644, g53953, g25610, g41826, g14315, g1435, g44036, g3444, g18386, g3924, g43038, g24783, g17330, g10083, g17957, g20318, g43877, g52305, g16685, g26742, g25224, g30068, g14080, g18103, g11525, g41336, g53461, g3729, g3878, g27931, g21347, g33516, g21561, g43841, g4698, g24841, g19968, g35457, g4281, g36237, g44064, g30053, g15860, g25878, g50939, g3050, g24630, g27919, g25736, g49808, g40898, g44711, g46753, g17634, g18274, g13740, g37170, g42723, g50987, g11187, g34943, g32917, g16004, g14815, g35744, g35846, g14356, g16078, g16306, g53882, g35355, g4138, g22487, g22288, g42653, g21439, g21148, g30713, g42688, g52575, g35661, g1379, g18846, g18000, g50963, g6129, g24133, g5069, g47267, g30755, g43741, g37171, g21529, g19673, g30054, g35755, g41485, g35087, g18651, g52427, g4943, g26611
OG0000015	Ag034G3936100	g35711, g1865, g12584, g7633, g12284, g26669, g5447, g48096, g4042, g4014, g39164, g21912, g30179, g14948, g12283, g35471, g16154, g26107, g17276, g2986, g25292, g34684, g35217, g7329, g39702
OG0000015	Ag012G1294500	g53814, g952, g32985, g12170, g24863, g14880, g26256, g5557, g43592, g35813, g36776, g27727, g24865, g6380, g17786, g42099
OG0000015	Ag048G4644700, Ag011G1263600	g47632
OG0000015	Ag019G2552700	g40591
OG0000015	Ag002G0203200	g12285, g43718
OG0000015	Ag058G4974300	g40286, g1778
OG0000015	Ag024G2875100	g26035, g11220, g23998, g2048, g25181, g50053, g44770, g53467, g40288, g5196, g37977
OG0000018	Ag007G0926800, Ag014G2174700, Ag054G4876900, Ag021G2605500, Ag075G5287400, Ag011G1256400, Ag025G2901700, Ag033G3478600, Ag014G1898500, Ag004G0480500, Ag004G0446600, Ag004G0716400, Ag024G2890600, Ag016G2280700, Ag004G0729200, Ag004G0729400, Ag004G0775100, Ag002G0196500, Ag014G2112900, Ag034G4006200, Ag014G2046300, Ag048G4699400, Ag031G3375000, Ag033G3505000, Ag067G5182000, Ag034G3751500, Ag013G1482900, Ag020G2558500, Ag034G3945000, Ag063G5069800, Ag016G2344300, Ag013G1402000, Ag016G2394800, Ag015G2197700, Ag044G4497700, Ag036G4103800, Ag001G0002700, Ag054G4885000, Ag020G2572000, Ag016G2390500, Ag031G3400200, Ag014G2174600, Ag004G0769100, Ag034G3891500	g16177, g16042, g30020, g19811, g42269, g33163, g35707, g33621, g38595, g9170, g39203, g9232, g30079, g20922, g8680, g43303, g22450, g49080, g20884, g34255, g30334, g35739, g35715, g3557, g3800, g1406, g1731, g34303, g45124, g36592, g30241, g22178, g22177, g42074, g15587, g26133, g49000, g33242, g48916, g46455, g52653, g21880, g41722, g34939, g34229, g43876, g53716, g41538, g11427, g38783, g34799, g53178, g33713, g49263, g42960, g3085, g25310, g15011, g49060, g36788, g19945, g48662, g52301, g25141, g34307, g4841, g34516, g15876, g22231, g15499, g33620, g26661, g14696, g4267, g52726, g11575, g52999, g34386, g16152, g4546, g5989, g35625, g4708, g34558, g15594, g14708, g22069, g36940, g30064, g35434, g42919, g3581, g32708, g43865, g34852, g53011, g52932, g20839, g24984, g35494, g53447, g42604, g26425, g48079, g38645, g21507, g3213, g36483, g33660, g35277, g16169, g14733, g43020, g43092, g25006, g15498, g54033, g1407, g20677, g8188, g49057, g49056, g38762, g53569, g8939, g16491, g22537, g22046, g1729, g35908, g32840, g42346, g43905, g53010, g32489, g26514, g52990, g52987, g48009, g33241, g52654, g15742, g16751, g34866, g35060, g48247, g27553, g3558, g48244, g34442, g30195, g42250, g52934, g48669, g26576, g4468, g22464, g30032, g30047, g52647, g6407, g26316, g53069, g8943, g53755, g49089, g19964, g3536, g26493, g26492, g3678, g26578, g43385
OG0000018	Ag064G5103000	g9246, g16755
OG0000018	Ag074G5275600, Ag020G2558600	g22151, g4429, g25015, g53118, g3760, g25775, g17839
OG0000020	Ag068G5227400	g32689, g14805
OG0000020	Ag039G4234300	g41994
OG0000021	Ag013G1488900, Ag031G3408800	g43760, g4386, g34956, g53077, g43442, g33130, g45148, g29629, g14568, g25751, g49590, g27681, g2213, g37069, g2331, g33125, g14567, g25750, g33471
OG0000022	Ag002G0155300	g45205, g45149, g24844
OG0000022	Ag024G2896000	g40751, g40752
OG0000022	Ag006G0805800, Ag058G4977300, Ag022G2695300, Ag014G2040000	g13269
OG0000023	Ag013G1378800	g14801, g15067
OG0000023	Ag002G0253500	g6328
OG0000023	Ag004G0626900	g21395
OG0000024	Ag050G4762100, Ag050G4762000, Ag050G4761900, Ag050G4746600, Ag050G4752600, Ag050G4752400, Ag050G4746500, Ag050G4746300, Ag022G2696300, Ag022G2696700, Ag050G4754800, Ag050G4755000, Ag050G4751800, Ag050G4752100, Ag050G4752300	g43450
OG0000024	Ag013G1663800	g22601
OG0000024	Ag031G3235600	g43469
OG0000024	Ag013G1744400, Ag063G5083900	g40788
OG0000024	Ag013G1754200	g2269, g28294
OG0000025	Ag015G2255100	g17280
OG0000025	Ag002G0276000, Ag054G4878700, Ag011G1115100, Ag066G5134600, Ag066G5170900	g14806, g32688
OG0000026	Ag063G5074400, Ag063G5074600, Ag020G2577200, Ag030G3131700, Ag002G0272200, Ag055G4904800, Ag003G0347700, Ag014G2059100, Ag016G2402300, Ag016G2403500, Ag053G4869800	g36073
OG0000026	Ag013G1736700, Ag015G2272100, Ag016G2403600, Ag025G2906900, Ag031G3406200, Ag063G5074500, Ag063G5074300, Ag016G2402400	g28599
OG0000027	Ag021G2619200	g43193, g48946
OG0000027	Ag021G2619800	g25723
OG0000027	Ag021G2619900	g25717, g25713, g48941, g48949
OG0000027	Ag077G5325100, Ag033G3496300, Ag033G3642400	g47441
OG0000027	Ag021G2620200	g40374
OG0000027	Ag021G2618400	g25720
OG0000028	Ag034G4010900	g12012
OG0000030	Ag014G1952600, Ag014G1958800, Ag014G1958700, Ag014G1965000, Ag042G4396900, Ag042G4397700, Ag042G4398200, Ag014G1952300, Ag014G1952400	g38367, g38376, g38372, g38380
OG0000030	Ag014G2099300, Ag027G3062200, Ag014G1975300	g13799, g13797, g13193, g13194
OG0000030	Ag039G4188300, Ag003G0399100, Ag014G1840000, Ag031G3271600	g44631
OG0000031	Ag014G2001300, Ag025G2974400, Ag067G5204400, Ag016G2379700, Ag064G5091800, Ag014G2046100, Ag002G0264600, Ag021G2582900, Ag026G3000600, Ag073G5260500, Ag034G3746100, Ag067G5192300, Ag030G3130300, Ag011G1132700, Ag003G0359800, Ag057G4960600, Ag028G3081200, Ag048G4605200, Ag023G2817900	g39351, g7244, g17718, g41293
OG0000032	Ag037G4132500	g8719, g35299
OG0000032	Ag004G0471300	g15954
OG0000032	Ag005G0786000	g49592, g25930, g51375
OG0000032	Ag011G1160200, Ag011G1160300, Ag011G1160400	g15953, g5354, g4129, g3254, g35284
OG0000032	Ag051G4814500	g43260, g33493
OG0000034	Ag093G5459200, Ag033G3498700	g23911
OG0000034	Ag048G4579800	g24014
OG0000034	Ag033G3500200, Ag093G5460400	g23912
OG0000034	Ag033G3498800, Ag093G5459400	g23905
OG0000035	Ag093G5463700	g42054, g13304, g42055
OG0000038	Ag013G1382300, Ag066G5165400, Ag002G0115800	g2497
OG0000039	Ag033G3629500	g9477, g21185
OG0000040	Ag031G3415700	g49152
OG0000041	Ag011G1187400	g43788, g43772, g13437
OG0000042	Ag007G0876900, Ag096G5474100	g41465, g35926, g44522, g52187, g7355, g38829, g20859, g48552, g53555, g47921
OG0000042	Ag011G1070600	g44909, g43791
OG0000042	Ag023G2817300, Ag039G4253700, Ag002G0154100	g6340, g16111, g37181, g6307, g53556, g54342, g16927, g32521, g27960, g26692, g47920, g599, g13492, g35927, g43602, g51339
OG0000042	Ag014G2104800, Ag009G0976800, Ag006G0824100, Ag013G1471600	g40104, g13786, g31186, g8826, g30544
OG0000043	Ag074G5273900, Ag048G4698800	g38190
OG0000043	Ag020G2574500	g53495, g823, g9695
OG0000043	Ag014G2139900	g25656
OG0000043	Ag038G4145200	g34289
OG0000043	Ag036G4114100	g34290, g36380, g26266, g6284, g36271, g16303, g14499, g52886, g31367, g38501, g7845, g6015, g50701, g47671, g49147, g45898, g27089, g2884, g36624, g31230, g25655, g25290, g45657
OG0000043	Ag014G1940100, Ag078G5353500, Ag027G3068600, Ag002G0228700, Ag011G1124700, Ag004G0651000, Ag003G0322200	g41011, g7365, g27084, g45147, g53496, g52677, g41215, g12586, g49668, g44739, g51696, g43133, g54203, g37825, g2882, g36623, g36921, g23517, g17259, g53258, g12603, g48335, g32580, g17864, g11388, g16325, g50585, g18242
OG0000043	Ag022G2736700, Ag016G2284200	g53399, g13162, g50196, g46746, g14780, g13371
OG0000043	Ag013G1650200	g41214, g17678
OG0000043	Ag019G2521200	g31229, g24493, g12585, g3844, g50586
OG0000043	Ag025G2947100, Ag086G5422400, Ag022G2636100	g2114, g13306, g43527, g43530, g43534, g54041
OG0000046	Ag019G2498100	g3382, g2931
OG0000046	Ag004G0691700	g36166, g26196, g11589, g33267
OG0000048	Ag034G3744100, Ag013G1648400, Ag016G2390700, Ag013G1573400, Ag013G1573000, Ag013G1626000, Ag013G1648500, Ag013G1647900	g39852, g39841
OG0000048	Ag032G3445200, Ag048G4573000, Ag013G1577300, Ag013G1657800	g29294, g52069, g52073, g52064
OG0000049	Ag055G4909600, Ag034G3947200, Ag034G3947100	g5625
OG0000049	Ag061G5034500	g10538
OG0000050	Ag002G0166000	g32289
OG0000050	Ag016G2298800, Ag034G3860900, Ag015G2213900, Ag020G2565400, Ag003G0365400, Ag022G2666500, Ag013G1429800, Ag023G2797800, Ag078G5357100, Ag088G5430600, Ag006G0803400, Ag034G3970700, Ag066G5153700	g44252
OG0000050	Ag031G3328800, Ag019G2527600, Ag020G2554600	g30921, g53630, g4397, g10583, g5874
OG0000050	Ag027G3020100, Ag013G1440200, Ag022G2649500, Ag066G5147200, Ag001G0043200, Ag024G2885900, Ag039G4204500, Ag011G1056800, Ag002G0129400, Ag034G3874200, Ag034G4016500, Ag034G3996800, Ag004G0706700, Ag008G0951800, Ag034G3964300	g182
OG0000051	Ag003G0385100, Ag003G0385000, Ag003G0384900	g37450
OG0000054	Ag043G4433900	g53889, g53885, g42037
OG0000055	Ag034G4065400	g27361
OG0000055	Ag014G2041700	g700
OG0000055	Ag039G4264100	g48153, g33340, g33319, g33329, g48170, g15766
OG0000056	Ag002G0180000	g40901
OG0000058	Ag001G0033300, Ag033G3511000, Ag006G0820100	g3196
OG0000058	Ag027G3040100, Ag048G4695000, Ag056G4940000	g33000, g41178, g43966, g49100
OG0000059	Ag015G2211100, Ag014G2056100	g48001, g54246, g18941, g1179
OG0000059	Ag038G4156200	g43705, g16122
OG0000060	Ag031G3386000, Ag034G3746900, Ag004G0636900, Ag004G0629900, Ag034G3744900, Ag013G1692700, Ag004G0719000, Ag039G4308900, Ag016G2302600, Ag013G1610000	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647
OG0000061	Ag025G2971300, Ag025G2971100	g41322
OG0000061	Ag013G1627600	g50013
OG0000062	Ag035G4080000, Ag066G5159400, Ag002G0144600, Ag003G0364100, Ag011G1174400	g44326, g2819, g44187
OG0000063	Ag062G5064000	g4524
OG0000063	Ag025G2961700	g12637
OG0000063	Ag012G1327000	g34414, g40702
OG0000065	Ag003G0361000	g17485
OG0000065	Ag016G2372900, Ag016G2372400	g44951, g18042
OG0000066	Ag004G0438400	g31166, g49660, g5416, g9719
OG0000066	Ag034G3780100	g29501, g45535
OG0000066	Ag013G1513800, Ag048G4702700, Ag011G1062400, Ag011G1062500	g5393
OG0000067	Ag031G3153400, Ag034G4009600	g51362, g36935, g14554, g2942, g25473, g27561, g41540, g28657, g32593, g13831
OG0000067	Ag031G3254900	g12886
OG0000067	Ag013G1533000	g3384, g17624
OG0000067	Ag015G2210000	g51242, g33370, g49161, g33482, g53764, g27953, g24768, g45363, g3853, g51127, g41217, g37480, g4319, g10848, g26115, g14016, g28468, g43700, g18660, g44830, g11964, g42772, g51326, g11374
OG0000068	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900, Ag042G4417500, Ag042G4417900, Ag042G4417800, Ag013G1504700, Ag048G4718500	g27956, g25385, g25390, g46783
OG0000069	Ag048G4574700, Ag048G4708100, Ag034G3920200, Ag048G4553800, Ag048G4563500, Ag001G0079400, Ag048G4644300, Ag048G4643100	g13531
OG0000069	Ag048G4643600	g34297
OG0000070	Ag039G4215000	g10675
OG0000070	Ag034G3976800	g50123
OG0000070	Ag048G4685000	g46242
OG0000073	Ag015G2241600	g10672, g13435, g10819, g24404, g53393
OG0000073	Ag077G5319300	g36963, g43389, g14644, g41342
OG0000073	Ag028G3078200	g37235, g35439
OG0000073	Ag048G4703300	g41608
OG0000073	Ag048G4568000, Ag034G3947900	g41469
OG0000073	Ag015G2190800	g4275, g38079, g25547
OG0000074	Ag004G0773100, Ag004G0661200, Ag029G3097800	g25623, g25627, g44201, g37854
OG0000074	Ag025G2969700	g48940
OG0000074	Ag027G3035200	g51667
OG0000075	Ag021G2601300	g25975, g22716
OG0000076	Ag006G0792900, Ag025G2903400, Ag013G1628100, Ag013G1627300, Ag013G1626200, Ag006G0795200, Ag013G1628200, Ag013G1627800, Ag011G1200000	g32307, g51190
OG0000077	Ag033G3566700	g18408
OG0000077	Ag034G3937600, Ag034G3937000, Ag001G0019700, Ag025G2944900	g1538, g1535
OG0000077	Ag002G0173900	g44008, g44007, g44009
OG0000078	Ag014G1810600, Ag014G1809300, Ag014G1810300, Ag014G1810500, Ag014G1810400	g4945
OG0000079	Ag018G2444300, Ag022G2658800	g53126
OG0000080	Ag025G2955200, Ag031G3220300, Ag042G4408900, Ag025G2921000, Ag024G2850500, Ag007G0892400, Ag014G1963800, Ag013G1458800, Ag031G3395500, Ag011G1186400, Ag048G4623700	g50113, g4633, g53808
OG0000081	Ag034G4022300	g45295, g49162, g32135, g50796, g11094, g25177
OG0000081	Ag004G0723900	g17431, g25472, g32592, g28656, g13832
OG0000081	Ag019G2512100, Ag066G5159500, Ag002G0249600, Ag043G4447600, Ag014G2017300	g33350, g4665
OG0000082	Ag014G1913600, Ag038G4146900	g51169, g7128, g31724
OG0000082	Ag066G5133800	g2898, g6230, g11611, g54030, g36211, g52877, g26306
OG0000082	Ag014G2015500	g33411, g33412, g25297, g33414, g33413
OG0000083	Ag011G1108800	g37302, g49748
OG0000083	Ag001G0043300	g10032, g1216, g41168, g51553, g29851, g2079, g31823
OG0000083	Ag050G4770200	g14111, g41347, g2636
OG0000084	Ag087G5426100	g42707, g4476, g24837, g11486, g42576, g19530, g53855, g41781, g6971, g39474, g16020, g26091, g11688, g32213, g25861, g25746, g4175, g24845, g45402, g3396, g51983, g46692, g16507
OG0000084	Ag010G1007700	g14426
OG0000086	Ag025G2922800	g22657, g15074
OG0000089	Ag004G0519800	g9991
OG0000089	Ag013G1488000	g5316
OG0000089	Ag016G2360800	g11055, g40485
OG0000089	Ag033G3591100	g24042
OG0000089	Ag048G4693300	g46232
OG0000090	Ag007G0888700	g43843
OG0000091	Ag039G4278700	g19510
OG0000091	Ag006G0816700	g11030, g40516
OG0000091	Ag004G0570300	g28934, g28933
OG0000095	Ag016G2362700, Ag016G2305100, Ag024G2851600, Ag006G0800000, Ag016G2308200, Ag006G0799900, Ag039G4205200	g51024
OG0000096	Ag002G0154900	g6393
OG0000098	Ag011G1254000, Ag011G1253500	g11756
OG0000098	Ag013G1485800, Ag021G2621100, Ag004G0531500	g41770
OG0000100	Ag002G0112700, Ag063G5079400	g40795
OG0000101	Ag017G2433300, Ag013G1679700	g48266, g6083, g12208, g35531
OG0000102	Ag016G2392700, Ag016G2377000, Ag016G2370800	g45186
OG0000102	Ag016G2368300	g45182
OG0000105	Ag014G1812600, Ag011G1082500, Ag011G1083100, Ag011G1082700, Ag011G1082400, Ag025G2901500	g11211
OG0000105	Ag050G4782400	g17560
OG0000105	Ag048G4578200	g43820
OG0000107	Ag014G2149500	g6757
OG0000107	Ag014G2149100	g11936
OG0000107	Ag048G4609500	g17802, g17676, g17783
OG0000108	Ag031G3385800, Ag039G4307100	g37225, g38077, g2333, g51658
OG0000108	Ag013G1537900	g29544
OG0000108	Ag014G2095200	g13323
OG0000108	Ag003G0396500	g11989
OG0000109	Ag029G3099600	g30198, g33477
OG0000115	Ag032G3465800	g5236, g5604, g16651, g17473, g31783, g22741, g3371
OG0000115	Ag033G3499700	g24973
OG0000116	Ag078G5379100	g16087, g53769, g15634, g43756
OG0000117	Ag019G2506600, Ag018G2460700	g27550, g27549
OG0000118	Ag078G5395500, Ag034G4070400, Ag002G0250500	g35294, g50762, g6146, g12640
OG0000119	Ag034G3967000	g11441, g11440
OG0000120	Ag001G0032000	g27841
OG0000121	Ag039G4328200	g38498, g32974, g38499
OG0000122	Ag011G1267200, Ag004G0720700	g1066
OG0000124	Ag067G5193700	g51625, g52915, g53579
OG0000125	Ag013G1612600	g51118
OG0000125	Ag034G3743800	g31072
OG0000125	Ag001G0066100	g18497
OG0000125	Ag027G3062400	g6675
OG0000125	Ag001G0065900	g54236
OG0000127	Ag004G0605400	g41348
OG0000127	Ag031G3386800, Ag039G4310500	g19182
OG0000127	Ag013G1609800	g41311, g2919, g1294, g28781, g39998
OG0000128	Ag031G3245400, Ag031G3245300, Ag031G3245200	g2010
OG0000128	Ag031G3250200	g2008
OG0000128	Ag031G3247300, Ag031G3247200, Ag031G3247100, Ag031G3246800, Ag031G3247000, Ag031G3246900, Ag031G3246700	g2009
OG0000128	Ag031G3249200, Ag031G3249100, Ag031G3248800, Ag031G3351900, Ag031G3350800, Ag031G3350000, Ag031G3350700, Ag002G0204500, Ag031G3349900	g50627
OG0000129	Ag013G1553100, Ag013G1550500, Ag013G1552900, Ag016G2401500, Ag013G1550300	g45131
OG0000129	Ag013G1673500, Ag013G1673600	g24222, g24219
OG0000129	Ag004G0491000	g392
OG0000132	Ag048G4639100	g51064, g35150, g34743
OG0000134	Ag013G1506600, Ag033G3544500	g18420
OG0000136	Ag002G0180300	g52239
OG0000136	Ag014G2176200	g6807
OG0000140	Ag027G3064900	g47161
OG0000140	Ag002G0186700	g40049
OG0000140	Ag039G4233000	g49472, g35118
OG0000148	Ag013G1622400, Ag034G3735700	g6399
OG0000150	Ag002G0131000, Ag068G5224900, Ag025G2934900	g34628
OG0000151	Ag031G3356400	g19127
OG0000151	Ag031G3356700	g19128
OG0000151	Ag039G4248200	g51765
OG0000151	Ag031G3356800	g2235
OG0000151	Ag031G3389200	g2346
OG0000151	Ag039G4314300	g51633
OG0000151	Ag013G1463800	g29346
OG0000152	Ag048G4576400	g4677, g16585, g46635, g52312, g572, g39544, g37857, g1370
OG0000153	Ag013G1616400	g51155, g51154, g51130, g51156
OG0000153	Ag013G1615400	g37875, g37876
OG0000154	Ag001G0045800	g36466, g36467
OG0000154	Ag001G0045400, Ag001G0045500, Ag001G0045200, Ag001G0045100, Ag001G0045300, Ag001G0049100, Ag002G0262200	g36509, g54212, g36163, g36472
OG0000155	Ag083G5410000, Ag013G1376100, Ag034G3868600, Ag022G2729400, Ag031G3154900, Ag013G1368700, Ag016G2361100, Ag067G5183100	g36320, g54169, g36224, g24260
OG0000155	Ag004G0633600	g37113, g6888, g3418, g43341, g44494
OG0000155	Ag013G1584700	g36035, g6461, g14233, g35550, g48286, g41606, g13909
OG0000157	Ag013G1747900, Ag014G2127200	g27714
OG0000158	Ag014G2085500	g51427
OG0000160	Ag042G4405700	g5985
OG0000160	Ag068G5221600	g23426
OG0000160	Ag004G0692900	g1105
OG0000160	Ag007G0857500	g17885
OG0000160	Ag048G4572800	g46563
OG0000161	Ag015G2193300, Ag055G4906800	g27065, g39955, g42081
OG0000162	Ag011G1166800	g11479
OG0000163	Ag042G4391500, Ag038G4161600	g43620
OG0000164	Ag025G2923700, Ag048G4709500	g33080, g33073, g33069, g14660, g26417
OG0000164	Ag006G0821000	g15914
OG0000170	Ag003G0320400	g2799
OG0000170	Ag003G0319700, Ag003G0319800, Ag003G0320300, Ag003G0320600, Ag003G0320500, Ag003G0320200	g52256
OG0000171	Ag020G2575200	g915, g28415
OG0000171	Ag044G4495800	g14078
OG0000171	Ag004G0721800	g28546
OG0000171	Ag014G1883300	g7540
OG0000171	Ag010G1018000	g17072
OG0000172	Ag033G3608500, Ag022G2765300, Ag022G2757700, Ag004G0550900, Ag003G0373100, Ag004G0679600	g51256, g27772, g14066
OG0000174	Ag014G1989900, Ag018G2446300, Ag039G4332400, Ag034G3903300, Ag031G3411400, Ag027G3023200	g52379
OG0000174	Ag064G5095900, Ag013G1514400, Ag004G0425200, Ag042G4401700, Ag072G5254600, Ag039G4257400, Ag014G1813500, Ag011G1172800	g50178
OG0000175	Ag034G4063600	g45857
OG0000175	Ag013G1441100	g29297
OG0000175	Ag003G0294400, Ag012G1302600, Ag031G3188000	g50814
OG0000176	Ag014G1833000	g12860
OG0000177	Ag004G0483700	g27488, g50732, g31972
OG0000178	Ag066G5142800	g40442
OG0000178	Ag066G5144100, Ag066G5143400	g45158, g45173
OG0000183	Ag061G5037800	g18117
OG0000183	Ag004G0583300	g761, g28899
OG0000183	Ag039G4185200	g2056, g38152
OG0000183	Ag013G1588300	g40143
OG0000184	Ag027G3046100, Ag027G3046600, Ag027G3047400, Ag027G3046700, Ag027G3046000, Ag027G3047200, Ag027G3046800	g11846
OG0000185	Ag032G3424500, Ag032G3425100, Ag032G3424800, Ag034G4009900, Ag032G3424200, Ag029G3091400, Ag032G3424300, Ag029G3092200, Ag032G3424400, Ag029G3091800, Ag032G3424900, Ag032G3424600	g35799
OG0000189	Ag011G1112900	g18237
OG0000189	Ag044G4495700	g23036
OG0000189	Ag034G3975000	g31900
OG0000189	Ag048G4687900	g46237, g50117
OG0000193	Ag031G3245800, Ag011G1262700, Ag002G0190300, Ag014G2036500, Ag014G2036600	g6133, g6386, g39569, g39573, g2100, g39563, g6136, g6130
OG0000193	Ag014G2096100, Ag014G2096200, Ag014G2036800, Ag034G3813900	g27763
OG0000197	Ag001G0061800, Ag032G3452100, Ag033G3647000, Ag033G3646800	g24122
OG0000197	Ag033G3647600, Ag033G3647500	g17408
OG0000198	Ag039G4275700	g25893
OG0000198	Ag034G3875600	g31564, g49926
OG0000200	Ag034G3715300, Ag034G3715100, Ag034G3715600	g40675
OG0000200	Ag034G3715200, Ag034G3715500	g40674
OG0000200	Ag034G3715400	g27686
OG0000202	Ag048G4676700	g1023, g25454, g25477
OG0000203	Ag031G3273700, Ag031G3272800, Ag031G3272600, Ag070G5235400	g1974, g1973
OG0000203	Ag031G3304300	g18958
OG0000203	Ag031G3270000	g2360
OG0000205	Ag031G3396600, Ag012G1335200	g43917
OG0000206	Ag003G0367500	g8618, g48844, g29953, g30349, g34591, g45346, g42202, g30177, g35498, g42663
