Orthogroup	Alyssum_gmelinii	Arabis_alpina
OG0000060	Ag034G3744900	Aa_G550780.h5.t1, Aa_G375890.h7.t1
OG0000060	Ag013G1692700	Aa_G367650.h5.t1
OG0000060	Ag039G4308900	Aa_G257700.h3.t1
OG0000060	Ag016G2302600, Ag013G1610000	Aa_G318860.h7.t1
OG0000061	Ag025G2916200, Ag025G2916400, Ag025G2916000, Ag025G2915500, Ag025G2917200, Ag025G2915700, Ag025G2913000, Ag002G0098300	Aa_G496010.h1.t1, Aa_G380720.h1.t1
OG0000062	Ag044G4491100, Ag016G2329800, Ag034G3892100	Aa_G8040.h1.t1
OG0000062	Ag035G4080000, Ag066G5159400, Ag002G0144600, Ag003G0364100, Ag011G1174400	Aa_G417500.h1.t1
OG0000063	Ag031G3410300	Aa_G677680.h1.t1, Aa_G821820.h1.t1
OG0000065	Ag003G0361000	Aa_G369740.h1.t1
OG0000065	Ag016G2372900, Ag016G2372400, Ag016G2372600	Aa_G756440.h1.t1, Aa_G190950.h1.t1
OG0000066	Ag004G0438400, Ag013G1525900, Ag013G1525800, Ag016G2348500, Ag034G3765900, Ag034G3780100	Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37410.h1.t1, Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1, Aa_G37410.h5.t1, Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1
OG0000066	Ag048G4702700	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1
OG0000068	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900	Aa_G484940.h1.t1, Aa_G389030.h1.t1
OG0000068	Ag042G4417500, Ag042G4417900, Ag042G4417800	Aa_G72500.h1.t1
OG0000068	Ag013G1504700, Ag048G4718500	Aa_G176470.h1.t1, Aa_G602860.h1.t1, Aa_G602850.h1.t1
OG0000069	Ag048G4574700, Ag048G4708100, Ag034G3920200, Ag048G4553800, Ag048G4563500	Aa_G20960.h1.t1
OG0000069	Ag048G4569500	Aa_G24420.h1.t1
OG0000070	Ag039G4215000	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1
OG0000070	Ag034G3976800	Aa_G433160.h1.t1, Aa_G266320.h1.t1
OG0000070	Ag048G4685000	Aa_G410840.h1.t1
OG0000070	Ag025G2960200, Ag025G2959800, Ag025G2962600, Ag025G2962700, Ag025G2947000, Ag025G2946300, Ag025G2959700, Ag025G2959400, Ag025G2974100, Ag025G2973400, Ag025G2973600, Ag025G2946200, Ag025G2946900	Aa_G273730.h1.t1
OG0000070	Ag031G3230400, Ag031G3231000, Ag031G3230900, Ag014G1944300, Ag031G3231400	Aa_G349440.h1.t1, Aa_G349450.h1.t1
OG0000072	Ag051G4812200	Aa_G652160.h1.t1, Aa_G44560.h1.t1, Aa_G531310.h1.t1, Aa_G227280.h1.t1, Aa_G160160.h1.t1
OG0000072	Ag039G4320700	Aa_G505780.h1.t1
OG0000072	Ag067G5173800, Ag020G2570900, Ag011G1215000, Ag022G2752500, Ag011G1246100, Ag001G0081500, Ag033G3527000, Ag011G1215100, Ag039G4238000, Ag055G4918900, Ag039G4305000, Ag068G5225100	Aa_G159490.h1.t1, Aa_G742680.h1.t1, Aa_G880340.h1.t1, Aa_G204510.h1.t1, Aa_G233100.h1.t1, Aa_G9790.h1.t1
OG0000072	Ag051G4819700, Ag051G4800700	Aa_G101840.h1.t1
OG0000073	Ag065G5125300, Ag015G2190800	Aa_G108990.h1.t1
OG0000075	Ag011G1157100, Ag011G1157200, Ag011G1157900, Ag011G1158100, Ag011G1157500, Ag011G1157400, Ag011G1157700, Ag011G1157800, Ag011G1157600, Ag048G4682200, Ag011G1050300, Ag011G1158000, Ag034G3817800, Ag001G0065600, Ag001G0065500, Ag001G0065400	Aa_G374860.h1.t1, Aa_G374850.h1.t1
OG0000075	Ag011G1133100, Ag022G2654400	Aa_G254660.h1.t1
OG0000075	Ag011G1119800, Ag011G1120100, Ag011G1120000	Aa_G136250.h1.t1
OG0000076	Ag011G1037000	Aa_G137810.h1.t1
OG0000077	Ag034G3937600, Ag034G3937000, Ag001G0019700, Ag025G2944900	Aa_G683270.h1.t1
OG0000077	Ag002G0173900, Ag034G3775500	Aa_G161010.h1.t1
OG0000078	Ag014G1810600	Aa_G339750.h1.t1, Aa_G339690.h1.t1, Aa_G438190.h1.t1, Aa_G759390.h1.t1
OG0000078	Ag014G1809300, Ag014G1810300	Aa_G339720.h1.t1
OG0000078	Ag014G1810500	Aa_G339700.h1.t1, Aa_G759400.h1.t1, Aa_G438200.h1.t1
OG0000078	Ag014G1810400	Aa_G339730.h1.t1
OG0000079	Ag013G1457500, Ag048G4621400, Ag034G3932500, Ag057G4952600, Ag031G3220200, Ag096G5473600, Ag004G0591700, Ag013G1365900, Ag011G1219700, Ag013G1389800, Ag004G0767900, Ag066G5147300	Aa_G160120.h1.t1
OG0000084	Ag087G5426100	Aa_G572590.h1.t1, Aa_G204550.h1.t1, Aa_G896890.h1.t1, Aa_G278670.h1.t1, Aa_G454040.h1.t1, Aa_G40780.h1.t1, Aa_G128900.h1.t1
OG0000086	Ag039G4314100, Ag014G2067200, Ag014G2064700, Ag012G1307900, Ag014G2067300	Aa_G220980.h1.t1, Aa_G221010.h1.t1, Aa_G483980.h1.t1, Aa_G221000.h1.t1
OG0000086	Ag025G2922800, Ag036G4084000	Aa_G703520.h1.t1
OG0000089	Ag004G0519800	Aa_G630880.h1.t1
OG0000089	Ag055G4906500, Ag004G0479400	Aa_G409550.h1.t1, Aa_G88860.h1.t1
OG0000089	Ag013G1621300	Aa_G199760.h1.t1
OG0000089	Ag013G1488000	Aa_G256660.h1.t1
OG0000089	Ag016G2360800	Aa_G103150.h1.t1
OG0000089	Ag033G3591100	Aa_G580380.h1.t1
OG0000089	Ag023G2824600	Aa_G562810.h1.t1
OG0000089	Ag048G4693300	Aa_G656110.h1.t1
OG0000090	Ag021G2604300, Ag013G1401800, Ag003G0404200	Aa_G84800.h1.t1, Aa_G329020.h1.t1
OG0000091	Ag004G0570300	Aa_G15590.h1.t1
OG0000091	Ag014G2119500, Ag014G2119400, Ag014G2119100	Aa_G89050.h1.t1
OG0000095	Ag016G2362700, Ag016G2305100, Ag024G2851600, Ag006G0800000, Ag016G2308200, Ag006G0799900	Aa_G54460.h1.t1
OG0000096	Ag014G2082600, Ag014G1901900, Ag014G2081900, Ag014G2083000, Ag044G4496300, Ag002G0165500	Aa_G32180.h1.t1
OG0000098	Ag004G0531500	Aa_G539290.h1.t1
OG0000098	Ag004G0531100, Ag004G0531000, Ag004G0559400, Ag004G0559300	Aa_G70590.h1.t1, Aa_G539300.h1.t1
OG0000100	Ag002G0112700, Ag063G5079400	Aa_G65760.h1.t1
OG0000102	Ag016G2365600	Aa_G577800.h1.t1
OG0000102	Ag016G2370800	Aa_G42050.h1.t1
OG0000105	Ag011G1082700	Aa_G117390.h1.t1
OG0000105	Ag011G1082400	Aa_G84880.h1.t1
OG0000105	Ag050G4782400	Aa_G792870.h1.t1
OG0000105	Ag002G0105300, Ag002G0104800, Ag063G5087100, Ag025G2961900	Aa_G65730.h1.t1
OG0000107	Ag027G3070400, Ag014G2171000	Aa_G37190.h1.t1
OG0000107	Ag014G2148700	Aa_G323970.h1.t1
OG0000107	Ag014G2149800, Ag014G2150100	Aa_G323960.h1.t1
OG0000108	Ag031G3385800, Ag039G4307100	Aa_G367680.h1.t1, Aa_G576740.h1.t1
OG0000108	Ag004G0614200, Ag004G0644200	Aa_G99370.h1.t1, Aa_G27970.h1.t1
OG0000108	Ag014G1944700	Aa_G5290.h1.t1
OG0000108	Ag052G4856100	Aa_G537640.h1.t1
OG0000108	Ag013G1537900	Aa_G152880.h1.t1
OG0000108	Ag025G2965600	Aa_G429520.h1.t1
OG0000108	Ag003G0396500	Aa_G67360.h1.t1
OG0000110	Ag029G3103900, Ag001G0067200, Ag060G5005400, Ag010G1016200	Aa_G32020.h1.t1
OG0000113	Ag013G1466300, Ag013G1360400, Ag024G2868000, Ag004G0725300, Ag014G2165200, Ag002G0185300, Ag004G0724400, Ag052G4861000, Ag078G5366500, Ag078G5365400, Ag078G5365900, Ag051G4836400, Ag023G2829100, Ag039G4333000, Ag011G1261400, Ag022G2665900, Ag066G5167600, Ag058G4992600	Aa_G35860.h1.t1
OG0000115	Ag032G3465800	Aa_G264010.h1.t1
OG0000115	Ag033G3499700	Aa_G1023650.h1.t1
OG0000117	Ag019G2506600, Ag018G2460700	Aa_G349950.h1.t1
OG0000117	Ag088G5442700	Aa_G62330.h1.t1
OG0000117	Ag018G2454400, Ag018G2459300	Aa_G62240.h1.t1
OG0000117	Ag022G2713800, Ag018G2459500, Ag018G2459700	Aa_G436170.h1.t1, Aa_G187350.h1.t1
OG0000117	Ag078G5340800, Ag011G1218200, Ag033G3621900, Ag078G5340900	Aa_G349960.h1.t1
OG0000119	Ag034G3967000	Aa_G251660.h1.t1
OG0000120	Ag001G0032000	Aa_G248300.h1.t1
OG0000121	Ag038G4148800, Ag002G0147900	Aa_G527420.h1.t1, Aa_G180200.h1.t1
OG0000122	Ag011G1267200	Aa_G247680.h1.t1, Aa_G379610.h1.t1, Aa_G625770.h1.t1
OG0000122	Ag004G0718500	Aa_G592740.h1.t1
OG0000125	Ag034G3743800	Aa_G257560.h1.t1
OG0000125	Ag001G0065100	Aa_G166390.h1.t1
OG0000127	Ag004G0605400	Aa_G552180.h1.t1
OG0000127	Ag014G1898000	Aa_G506920.h1.t1, Aa_G403520.h1.t1
OG0000127	Ag013G1609800	Aa_G318840.h1.t1, Aa_G318820.h1.t1, Aa_G33880.h1.t1, Aa_G69270.h1.t1
OG0000128	Ag031G3245400, Ag031G3245300, Ag031G3245200	Aa_G271300.h1.t1
OG0000128	Ag031G3351100	Aa_G469550.h2.t1, Aa_G469550.h1.t1, Aa_G271280.h1.t1
OG0000128	Ag031G3250200	Aa_G319030.h1.t1
OG0000128	Ag031G3246800, Ag031G3247000, Ag031G3246900	Aa_G784880.h1.t1
OG0000128	Ag031G3246700	Aa_G271260.h1.t1
OG0000128	Ag031G3249200, Ag031G3249100, Ag031G3248800, Ag031G3351900, Ag031G3350800, Ag031G3350000, Ag031G3350700, Ag002G0204500, Ag031G3349900	Aa_G430920.h1.t1, Aa_G469560.h1.t1
OG0000129	Ag013G1553100, Ag013G1550500, Ag013G1552900, Ag016G2401500, Ag013G1550300	Aa_G323510.h1.t1
OG0000132	Ag004G0468600, Ag004G0468500	Aa_G75240.h1.t1
OG0000132	Ag039G4243000, Ag039G4243200, Ag039G4241900	Aa_G478490.h1.t1, Aa_G110070.h1.t1
OG0000132	Ag048G4639100	Aa_G462110.h1.t1
OG0000132	Ag022G2700300	Aa_G75250.h1.t1
OG0000134	Ag013G1506600	Aa_G84490.h1.t1
OG0000134	Ag033G3544500	Aa_G69050.h1.t1
OG0000136	Ag002G0180300	Aa_G1053460.h1.t1
OG0000137	Ag004G0742000	Aa_G732190.h1.t1, Aa_G643460.h1.t1
OG0000137	Ag004G0742500, Ag004G0742600	Aa_G643480.h1.t1
OG0000138	Ag031G3253900	Aa_G154170.h1.t1, Aa_G175690.h1.t1, Aa_G175700.h1.t1, Aa_G449520.h1.t1, Aa_G724730.h1.t1
OG0000138	Ag033G3506400, Ag078G5363200	Aa_G517130.h1.t1, Aa_G154110.h1.t1
OG0000138	Ag031G3319900, Ag031G3319600, Ag031G3253400, Ag031G3253300, Ag003G0293800, Ag031G3402200	Aa_G244940.h1.t1
OG0000140	Ag027G3064900	Aa_G89750.h1.t1
OG0000140	Ag002G0186700	Aa_G394930.h1.t1
OG0000140	Ag039G4233000	Aa_G292460.h1.t1, Aa_G151720.h1.t1, Aa_G688150.h1.t1
OG0000140	Ag014G2136000	Aa_G752660.h1.t1, Aa_G17020.h1.t1, Aa_G217680.h1.t1, Aa_G112920.h1.t1, Aa_G370590.h1.t1, Aa_G234310.h1.t1, Aa_G908230.h1.t1, Aa_G650540.h1.t1, Aa_G341600.h1.t1
OG0000150	Ag002G0131000, Ag068G5224900, Ag025G2934900	Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G717270.h1.t1, Aa_G741540.h1.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1
OG0000151	Ag031G3356400	Aa_G329140.h1.t1, Aa_G566620.h1.t1
OG0000151	Ag031G3356700	Aa_G729400.h1.t1
OG0000151	Ag039G4248200	Aa_G351720.h1.t1
OG0000151	Ag031G3389200	Aa_G13900.h1.t1
OG0000151	Ag039G4314300	Aa_G30120.h1.t1
OG0000151	Ag013G1463800	Aa_G388320.h1.t1
OG0000153	Ag013G1617600, Ag013G1618100	Aa_G49000.h1.t1, Aa_G235730.h1.t1
OG0000153	Ag013G1615700	Aa_G35530.h1.t1
OG0000153	Ag013G1615400	Aa_G173900.h1.t1
OG0000154	Ag001G0045800	Aa_G37000.h1.t1
OG0000154	Ag053G4872200	Aa_G507510.h1.t1, Aa_G507500.h1.t1
OG0000154	Ag001G0059900, Ag001G0060000, Ag001G0060200, Ag001G0060100, Ag001G0060300, Ag001G0045900	Aa_G406970.h1.t1, Aa_G434970.h1.t1, Aa_G462070.h1.t1, Aa_G434980.h1.t1
OG0000155	Ag083G5410000, Ag013G1376100, Ag034G3868600, Ag022G2729400, Ag031G3154900, Ag013G1368700, Ag016G2361100, Ag067G5183100	Aa_G11930.h1.t1, Aa_G86920.h1.t1, Aa_G83970.h1.t1
OG0000155	Ag013G1584700	Aa_G506350.h1.t1, Aa_G50920.h1.t1
OG0000158	Ag011G1092000	Aa_G223250.h1.t1
OG0000158	Ag014G1900800	Aa_G270230.h1.t1, Aa_G446770.h1.t1
OG0000159	Ag011G1125800, Ag002G0098700, Ag002G0120500	Aa_G50020.h1.t1
OG0000160	Ag042G4405700	Aa_G190130.h1.t1
OG0000160	Ag068G5221600	Aa_G620370.h1.t1
OG0000160	Ag004G0692900	Aa_G307400.h1.t1
OG0000160	Ag007G0857500	Aa_G241680.h1.t1
OG0000160	Ag048G4572800	Aa_G21590.h1.t1
OG0000161	Ag015G2193300, Ag055G4906800	Aa_G172360.h1.t1
OG0000162	Ag013G1672500	Aa_G851370.h1.t1
OG0000162	Ag011G1165200, Ag011G1165400, Ag011G1163300, Ag011G1163400, Ag011G1167300, Ag011G1167100, Ag011G1166900, Ag011G1222300, Ag011G1163200, Ag011G1165500, Ag011G1166800, Ag034G3894100, Ag022G2725000, Ag022G2724900, Ag022G2725100, Ag014G2098100, Ag013G1672600	Aa_G363640.h1.t1
OG0000164	Ag039G4325700	Aa_G1007810.h1.t1, Aa_G1080960.h1.t1
OG0000165	Ag004G0623500, Ag025G2946100, Ag016G2292600, Ag006G0843300, Ag004G0621300, Ag025G2946000	Aa_G285150.h1.t1
OG0000165	Ag014G1928400	Aa_G266430.h1.t1
OG0000166	Ag078G5376600	Aa_G98930.h1.t1
OG0000167	Ag003G0383500, Ag003G0383700	Aa_G162040.h1.t1
OG0000169	Ag031G3259300, Ag031G3259700, Ag031G3259400, Ag027G3044600, Ag013G1504100, Ag013G1503900	Aa_G296310.h1.t1
OG0000170	Ag031G3214600	Aa_G48820.h1.t1
OG0000170	Ag003G0320400	Aa_G385160.h1.t1, Aa_G16070.h1.t1, Aa_G16100.h1.t1
OG0000170	Ag003G0319700, Ag003G0319800, Ag003G0320300, Ag003G0320600, Ag003G0320500, Ag003G0320200	Aa_G16090.h1.t1, Aa_G569190.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1
OG0000171	Ag020G2575200	Aa_G134060.h1.t1
OG0000171	Ag024G2869500	Aa_G135580.h1.t1
OG0000171	Ag044G4495800	Aa_G70150.h1.t1
OG0000171	Ag004G0721800	Aa_G580840.h1.t1
OG0000171	Ag014G1883300	Aa_G24370.h1.t1
OG0000171	Ag010G1018000	Aa_G2000.h1.t1
OG0000173	Ag060G4997300, Ag060G4996700, Ag060G4997500, Ag060G4997700, Ag060G4996200, Ag060G4997100, Ag022G2648900, Ag022G2648400, Ag022G2648200, Ag067G5186700, Ag011G1085300	Aa_G139550.h1.t1, Aa_G187970.h1.t1, Aa_G187960.h1.t1
OG0000174	Ag014G1989900, Ag018G2446300, Ag039G4332400, Ag034G3903300, Ag031G3411400, Ag027G3023200	Aa_G311760.h4.t1, Aa_G311760.h7.t1, Aa_G311760.h3.t1, Aa_G311760.h1.t1, Aa_G311760.h5.t1, Aa_G311760.h2.t1, Aa_G311760.h6.t1
OG0000175	Ag034G4063600	Aa_G101710.h1.t1
OG0000175	Ag034G3791700, Ag002G0234800	Aa_G193050.h1.t1
OG0000177	Ag034G3999000	Aa_G86910.h1.t1
OG0000177	Ag034G3998800	Aa_G507530.h1.t1
OG0000178	Ag066G5142800	Aa_G320630.h1.t1
OG0000178	Ag066G5144100, Ag066G5143400	Aa_G320670.h1.t1
OG0000182	Ag013G1406700	Aa_G22640.h1.t1, Aa_G167450.h1.t1
OG0000183	Ag061G5037800	Aa_G505900.h1.t1
OG0000183	Ag031G3311200	Aa_G88530.h2.t1, Aa_G562480.h1.t1, Aa_G562480.h2.t1, Aa_G88530.h1.t1
OG0000183	Ag004G0583300	Aa_G337660.h1.t1
OG0000183	Ag039G4185200	Aa_G9100.h1.t1
OG0000184	Ag027G3048800	Aa_G310780.h1.t1
OG0000184	Ag027G3046600	Aa_G420960.h1.t1, Aa_G420970.h1.t1
OG0000185	Ag032G3424500, Ag032G3425100, Ag032G3424800, Ag034G4009900, Ag032G3424200, Ag029G3091400, Ag032G3424300, Ag029G3092200, Ag032G3424400, Ag029G3091800, Ag032G3424900, Ag032G3424600	Aa_G161250.h1.t1
OG0000185	Ag032G3420100	Aa_G464540.h1.t1, Aa_G464550.h1.t1
OG0000186	Ag039G4226500, Ag031G3213700	Aa_G218170.h1.t1
OG0000187	Ag034G3783000	Aa_G279220.h1.t1, Aa_G773360.h1.t1, Aa_G279150.h1.t1
OG0000188	Ag063G5067000, Ag002G0125500, Ag014G1815800	Aa_G606990.h1.t1
OG0000188	Ag014G2100300	Aa_G462700.h1.t1
OG0000188	Ag042G4428600, Ag042G4412400, Ag014G1989600	Aa_G4330.h1.t1
OG0000189	Ag011G1112900	Aa_G514660.h1.t1, Aa_G459730.h1.t1
OG0000189	Ag044G4495700	Aa_G70160.h1.t1
OG0000189	Ag034G3975000	Aa_G266390.h1.t1
OG0000189	Ag048G4687900	Aa_G281740.h1.t1
OG0000191	Ag033G3514800, Ag031G3293800, Ag052G4855700, Ag004G0666500, Ag022G2668400, Ag011G1171900, Ag015G2179500, Ag002G0258300	Aa_G26980.h1.t1
OG0000192	Ag034G3846600, Ag050G4764200, Ag034G3846200, Ag016G2290200	Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G184310.h1.t1, Aa_G457510.h1.t1
OG0000195	Ag004G0630200, Ag004G0631000	Aa_G376620.h1.t1
OG0000196	Ag075G5300100, Ag011G1221400	Aa_G165200.h1.t1
