Orthogroup	Alyssum_gmelinii	Camelina_sativa
OG0000024	Ag013G1754200	XP_010501685.1, XP_010431261.1, XP_010515603.1, XP_010504688.1, XP_010427639.1, XP_010427857.1, XP_010431427.1, XP_010427640.1, XP_010504689.1, XP_010427641.1, XP_019100391.1
OG0000025	Ag015G2255100	XP_010438543.1, XP_010496538.1, XP_010424792.1
OG0000025	Ag067G5188200, Ag030G3132300	XP_010495239.1, XP_010495240.1, XP_010507228.1
OG0000025	Ag002G0276000, Ag054G4878700, Ag011G1115100, Ag066G5134600, Ag066G5170900	XP_010474036.1, XP_010424602.1, XP_010496134.1, XP_010490452.1, XP_010474526.1, XP_010424785.1, XP_010474094.1, XP_010419434.1, XP_019084250.1, XP_010445859.1, XP_010501852.1
OG0000025	Ag064G5112200	XP_010445838.1
OG0000027	Ag021G2619200	XP_010434889.1, XP_010434897.1, XP_010455557.1, XP_010455558.1
OG0000027	Ag021G2619800	XP_019089721.1
OG0000027	Ag077G5324400	XP_010439188.2, XP_010433919.1
OG0000027	Ag077G5325100, Ag033G3496300, Ag033G3642400	XP_019089325.1, XP_010433927.1
OG0000027	Ag077G5325900	XP_019086469.1, XP_010439191.1
OG0000027	Ag093G5459600	XP_010418084.1, XP_010439216.1
OG0000027	Ag093G5459100, Ag033G3498600, Ag002G0200100, Ag077G5325600	XP_010439208.1, XP_010433929.1, XP_010448752.1
OG0000027	Ag033G3496400	XP_010439207.1, XP_010451240.1, XP_010445190.1
OG0000028	Ag078G5387500	XP_010485121.1, XP_010446111.1, XP_019086647.1, XP_010482860.1, XP_010485122.1, XP_010485123.1, XP_010443019.1
OG0000029	Ag002G0180900, Ag022G2648100	XP_019085353.1, XP_019083999.1, XP_019095330.1, XP_019088516.1, XP_019092964.1, XP_019097126.1, XP_010501650.1, XP_010484850.2, XP_019097927.1, XP_019092098.1, XP_019098406.1, XP_019093987.1, XP_010431039.1
OG0000030	Ag014G2144800, Ag014G2145600, Ag014G2146200, Ag014G2146400, Ag014G2146900, Ag014G2147100, Ag014G2147000, Ag014G2146700, Ag014G2145800, Ag014G2145100, Ag014G2144300, Ag014G2147700	XP_010424523.1, XP_010487966.1, XP_019092251.1, XP_010463131.1, XP_010481059.1, XP_010419044.1, XP_019100742.1, XP_010489955.2
OG0000030	Ag014G1952600, Ag014G1958800, Ag014G1958700, Ag014G1965000, Ag042G4396900, Ag042G4397700, Ag042G4398200, Ag014G1952300, Ag014G1952400	XP_010462901.2, XP_010462898.1, XP_010462936.2, XP_010462910.2, XP_010477981.2, XP_019091238.1, XP_010499061.1, XP_010506941.1, XP_010481243.1
OG0000030	Ag014G2099300, Ag027G3062200, Ag014G1975300	XP_019093261.1, XP_019099946.1, XP_019099931.1, XP_010431180.1, XP_019096352.1
OG0000030	Ag014G1840000	XP_010412587.1
OG0000030	Ag013G1357800	XP_010419025.2, XP_010489797.1, XP_019096559.1, XP_010468083.1
OG0000031	Ag012G1296200, Ag030G3133700	XP_019091421.1
OG0000032	Ag037G4132500	XP_010419309.1
OG0000032	Ag011G1160200, Ag011G1160300, Ag011G1160400	XP_010480897.2, XP_010445680.1, XP_010473999.1, XP_010425095.1, XP_010484862.1, XP_010436751.1, XP_010497251.1, XP_010412531.1, XP_019097480.1, XP_010484906.1, XP_010473639.1, XP_010446027.1, XP_010418918.1, XP_010436558.1, XP_010421223.1, XP_010497271.1
OG0000034	Ag093G5459200, Ag033G3498700	XP_010433941.1, XP_010439209.1, XP_010448753.1
OG0000034	Ag093G5459500, Ag033G3498900	XP_010418085.1, XP_010439218.1, XP_010448756.1
OG0000034	Ag033G3477100, Ag052G4847100	XP_010439226.1, XP_010439227.1
OG0000034	Ag048G4579800	XP_019086474.1, XP_019089519.1, XP_010434185.1, XP_019088150.1, XP_019089518.1
OG0000034	Ag093G5459900, Ag033G3499600, Ag033G3499900, Ag093G5460300, Ag033G3500000	XP_010448766.1, XP_019088941.1, XP_010473582.1, XP_010418366.1, XP_010430440.1, XP_019086470.1, XP_010439195.1
OG0000034	Ag033G3500300, Ag093G5461000	XP_010418758.2
OG0000034	Ag033G3496000, Ag077G5324500	XP_010439190.1, XP_019089061.1, XP_019086461.1, XP_019087860.1, XP_010451231.2, XP_010448725.1, XP_010448726.1
OG0000034	Ag033G3500200, Ag093G5460400	XP_010433930.1, XP_019087874.1, XP_010448768.1
OG0000038	Ag013G1382300, Ag066G5165400	XP_019096545.1, XP_019091034.1, XP_019095603.1, XP_019085897.1
OG0000038	Ag002G0115800	XP_019087357.1, XP_019095607.1
OG0000039	Ag033G3629500	XP_019098311.1
OG0000040	Ag031G3415700	XP_010474284.1, XP_010490455.1
OG0000040	Ag038G4173200	XP_019083342.1, XP_019094451.1
OG0000041	Ag011G1187400	XP_010495533.1
OG0000042	Ag046G4535300, Ag066G5171000, Ag024G2870100	XP_010445645.1, XP_010462855.1
OG0000042	Ag007G0876900, Ag096G5474100	XP_010415464.1, XP_010456305.1, XP_010424457.1
OG0000042	Ag011G1070600	XP_010513423.1, XP_010473769.1, XP_010513486.1
OG0000042	Ag023G2817300, Ag039G4253700, Ag002G0154100	XP_010506954.1, XP_010412394.1, XP_010506956.1, XP_010484797.1, XP_019101232.1, XP_010468709.1
OG0000042	Ag014G2104800	XP_010412790.1, XP_019084298.1, XP_019091192.1, XP_010463184.1, XP_010507036.1, XP_019093234.1
OG0000042	Ag009G0976800, Ag006G0824100	XP_010463124.1, XP_010473014.1, XP_010506923.1, XP_019095980.1
OG0000042	Ag013G1471600	XP_019098840.1, XP_010412406.1
OG0000043	Ag074G5273900, Ag048G4698800	XP_019089219.1
OG0000043	Ag038G4145200	XP_019087448.1
OG0000043	Ag036G4114100	XP_010471448.1
OG0000043	Ag014G1940100, Ag078G5353500, Ag027G3068600, Ag002G0228700, Ag011G1124700, Ag004G0651000, Ag003G0322200	XP_010473926.1, XP_010445335.1, XP_019091097.1
OG0000043	Ag013G1650200	XP_019097453.1
OG0000044	Ag016G2313400	XP_019082617.1, XP_010445862.2
OG0000046	Ag019G2498100	XP_019091484.1
OG0000046	Ag004G0691700	XP_010461751.1, XP_010502950.1, XP_010518653.2, XP_010412583.2, XP_010474317.1, XP_010490459.2, XP_010412458.2, XP_010495393.2, XP_019094411.1, XP_010507554.1, XP_010507003.1, XP_010451886.2, XP_019086303.1, XP_019097866.1, XP_019089513.1, XP_010435128.1, XP_019096471.1, XP_019094579.1, XP_010458616.1, XP_010495787.1, XP_019087961.1, XP_010502335.1
OG0000048	Ag039G4227200, Ag039G4227400, Ag039G4227300	XP_010418688.1, XP_010473891.1, XP_010473899.1, XP_010510053.1, XP_010510047.1
OG0000048	Ag013G1657300, Ag013G1657200, Ag013G1657100, Ag013G1657000, Ag013G1657400, Ag013G1658600, Ag013G1658500, Ag013G1651500, Ag013G1657700, Ag022G2632300	XP_010418692.1, XP_010513136.1, XP_019082534.1, XP_010510111.2, XP_019099592.1, XP_010430751.1
OG0000048	Ag034G3744100, Ag013G1648400, Ag016G2390700, Ag013G1573400, Ag013G1573000, Ag013G1626000, Ag013G1648500, Ag013G1647900	XP_019083013.1, XP_019083016.1, XP_019093684.1, XP_019100809.1, XP_010513158.1, XP_019082540.1, XP_010414120.1, XP_019098434.1, XP_010507693.2, XP_010512904.1, XP_019101431.1
OG0000048	Ag062G5058500	XP_010468111.1, XP_019094365.1
OG0000048	Ag032G3445200, Ag048G4573000	XP_010431681.1, XP_019082751.1, XP_010431684.1, XP_010431683.1, XP_010419453.1
OG0000049	Ag055G4909600, Ag034G3947200, Ag034G3947100	XP_019089269.1
OG0000049	Ag068G5223300	XP_019096539.1
OG0000049	Ag061G5034500	XP_019087412.1, XP_019098132.1, XP_019099318.1, XP_019101870.1
OG0000050	Ag002G0166000	XP_010412420.1
OG0000050	Ag019G2535000, Ag013G1454200, Ag002G0129500, Ag014G1805000, Ag002G0202200, Ag015G2221900, Ag015G2264900, Ag025G2919100, Ag014G2113900	XP_010495728.1, XP_019097515.1
OG0000050	Ag004G0548900	XP_010430899.1
OG0000050	Ag027G3020100, Ag013G1440200, Ag022G2649500, Ag066G5147200, Ag001G0043200, Ag024G2885900	XP_010463383.1
OG0000051	Ag034G3687900	XP_010475218.1, XP_019098849.1, XP_019094361.1, XP_019094954.1, XP_010457379.1
OG0000051	Ag003G0386800	XP_010508568.1, XP_019101977.1, XP_010506074.1
OG0000051	Ag003G0387300	XP_010489918.2, XP_019092650.1, XP_019101975.1, XP_019101079.1
OG0000051	Ag003G0385100, Ag003G0385000, Ag003G0384900	XP_019100718.1, XP_019102056.1
OG0000052	Ag032G3434200, Ag032G3433000	XP_010418931.1
OG0000054	Ag043G4433900	XP_010451852.2
OG0000055	Ag034G4065400	XP_019092356.1
OG0000055	Ag014G2041700	XP_010468237.1, XP_010466015.1, XP_010419774.1, XP_010468273.1, XP_010489926.1, XP_010507202.1, XP_010487805.1, XP_010465999.1, XP_019092636.1, XP_010456592.1
OG0000055	Ag014G2041600	XP_010440797.1, XP_019086313.1, XP_010451673.1
OG0000055	Ag014G2046500, Ag014G2046000, Ag014G2045800, Ag001G0027100	XP_010489359.1, XP_010515149.1
OG0000056	Ag002G0158500	XP_010430303.1
OG0000056	Ag002G0180000	XP_010426146.1, XP_010503309.1, XP_019084785.1, XP_010515018.1
OG0000058	Ag001G0033300, Ag033G3511000, Ag006G0820100	XP_019086887.1, XP_010493433.1, XP_010496594.1
OG0000058	Ag007G0902800, Ag002G0124000, Ag002G0117600, Ag027G3030700, Ag004G0691500	XP_010468509.1, XP_010513254.1, XP_010506939.1, XP_010480419.1, XP_010484891.1, XP_010468544.1, XP_010485044.1, XP_010412459.1, XP_019098310.1, XP_019096550.1, XP_019086270.1, XP_019101868.1, XP_019100846.1, XP_019101359.1, XP_019093349.1, XP_010507005.2, XP_019090153.1, XP_019099752.1, XP_010495718.2, XP_010457035.1, XP_010472188.1, XP_010441848.1, XP_010445492.1, XP_010430898.2, XP_019093221.1
OG0000058	Ag027G3040100, Ag048G4695000, Ag056G4940000	XP_010513622.1, XP_019085657.1, XP_010445597.1, XP_010495691.1, XP_010456723.1, XP_010501541.1, XP_010507131.1, XP_019084347.1, XP_019082584.1, XP_019093348.1
OG0000059	Ag038G4156200	XP_010451490.1, XP_010506938.1
OG0000061	Ag025G2916200, Ag025G2916400, Ag025G2916000, Ag025G2915500, Ag025G2917200, Ag025G2915700, Ag025G2913000, Ag002G0098300	XP_010479194.1, XP_019090915.1, XP_010479193.1, XP_010479197.1, XP_010479195.1, XP_010479119.1
OG0000061	Ag007G0932800, Ag024G2852400, Ag002G0098400, Ag025G2913600	XP_010434141.1, XP_010481076.1, XP_010495296.1, XP_010448996.1, XP_010451304.1
OG0000061	Ag025G2914700	XP_019101969.1, XP_019083787.1
OG0000061	Ag013G1477400, Ag013G1477100, Ag013G1476800	XP_019091030.1
OG0000061	Ag013G1627600	XP_010491240.1
OG0000061	Ag056G4940400	XP_010430593.1
OG0000062	Ag043G4453200	XP_010507126.1
OG0000062	Ag044G4491100, Ag016G2329800, Ag034G3892100	XP_019094835.1, XP_010445890.1, XP_010424291.1, XP_019097384.1, XP_019092382.1, XP_010513205.1, XP_010513649.1
OG0000062	Ag035G4080000, Ag066G5159400, Ag002G0144600, Ag003G0364100, Ag011G1174400	XP_010430727.1, XP_010430776.1, XP_010497024.1, XP_019085507.1
OG0000063	Ag062G5064000	XP_019098255.1, XP_019082506.1
OG0000063	Ag025G2961700	XP_010445567.1
OG0000065	Ag016G2372900, Ag016G2372400	XP_010415232.1, XP_010470573.1, XP_010511598.1, XP_019083199.1, XP_019100931.1, XP_010470591.2, XP_019100937.1, XP_010415241.1, XP_010415242.1, XP_019082630.1, XP_019098153.1, XP_010470581.1, XP_019100936.1, XP_019083220.1
OG0000066	Ag004G0438400, Ag013G1525900, Ag013G1525800, Ag016G2348500, Ag034G3765900, Ag034G3780100	XP_010489841.1, XP_010475747.1, XP_010484375.1, XP_010514443.1, XP_010502711.1, XP_010444536.1, XP_010425488.1, XP_010458200.1, XP_010463183.1
OG0000066	Ag048G4702700	XP_010419651.1, XP_010491788.1, XP_010431986.1, XP_010453132.1, XP_010437129.1, XP_010431988.1
OG0000067	Ag011G1139500	XP_010474142.1
OG0000067	Ag031G3153400, Ag034G4009600	XP_010462847.1, XP_010501825.1
OG0000067	Ag013G1533100	XP_010468532.1, XP_019085178.1, XP_010445366.1
OG0000067	Ag031G3254900	XP_010470520.1
OG0000067	Ag013G1533000	XP_010506977.1
OG0000068	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900	XP_010423843.1, XP_019090686.1, XP_010423328.1, XP_010423367.1, XP_010452589.1, XP_019097301.1, XP_010490972.1, XP_010424780.1, XP_010452237.1, XP_019084545.1, XP_019097292.1
OG0000069	Ag048G4643500	XP_019083270.1, XP_019100969.1
OG0000069	Ag048G4574700, Ag048G4708100, Ag034G3920200, Ag048G4553800, Ag048G4563500	XP_010424996.1, XP_019101786.1, XP_010506856.1, XP_010437086.1
OG0000069	Ag048G4644300, Ag048G4643100	XP_010457739.1, XP_010485812.1, XP_010475324.1
OG0000069	Ag048G4643600	XP_010485632.1
OG0000070	Ag039G4215000	XP_010458359.1, XP_010475885.1, XP_010490823.1, XP_010425101.1, XP_010502325.1, XP_010514084.1, XP_010425103.1, XP_010506934.1, XP_010502326.1, XP_010514085.1
OG0000070	Ag034G3976800	XP_010459699.1, XP_010477249.1, XP_010448526.1, XP_010438976.1, XP_010433736.1
OG0000070	Ag025G2960200, Ag025G2959800, Ag025G2962600, Ag025G2962700, Ag025G2947000, Ag025G2946300, Ag025G2959700, Ag025G2959400, Ag025G2974100, Ag025G2973400, Ag025G2973600, Ag025G2946200, Ag025G2946900	XP_010413610.1, XP_019093586.1, XP_010512295.1
OG0000072	Ag039G4320700	XP_019086564.1, XP_010446292.1
OG0000073	Ag015G2241600	XP_019089848.1, XP_010456900.1
OG0000074	Ag025G2969700	XP_019097678.1
OG0000075	Ag011G1157100, Ag011G1157200, Ag011G1157900, Ag011G1158100, Ag011G1157500, Ag011G1157400, Ag011G1157700, Ag011G1157800, Ag011G1157600, Ag048G4682200, Ag011G1050300, Ag011G1158000	XP_010431928.1, XP_010446504.1
OG0000075	Ag011G1133100, Ag022G2654400	XP_010446508.1, XP_019087113.1, XP_010431932.1
OG0000075	Ag011G1119800, Ag011G1120100, Ag011G1120000	XP_019086927.1
OG0000076	Ag011G1037000	XP_019086777.1, XP_019088762.1, XP_010446406.1
OG0000076	Ag031G3285200, Ag031G3285100, Ag031G3285000, Ag011G1144200, Ag011G1144100, Ag006G0793600, Ag011G1036500, Ag011G1036300, Ag006G0792700, Ag034G3899200, Ag034G3899100	XP_010497340.1
OG0000076	Ag013G1400700	XP_010484798.1, XP_019097581.1, XP_010441689.1
OG0000077	Ag033G3566700	XP_010481626.1
OG0000077	Ag034G3937600, Ag034G3937000, Ag001G0019700, Ag025G2944900	XP_010430698.1, XP_010489646.1, XP_010512993.2, XP_019099582.1, XP_010430699.1, XP_010518589.1, XP_010425134.1, XP_010425130.1
OG0000077	Ag034G3775500	XP_019094380.1, XP_010462608.1
OG0000077	Ag006G0838600	XP_010494467.1
OG0000078	Ag014G1810600	XP_010514749.1, XP_010485737.1, XP_010463845.1
OG0000078	Ag014G1809300, Ag014G1810300	XP_010485744.1, XP_010463847.1, XP_010514943.1, XP_019092533.1, XP_010485741.1
OG0000078	Ag014G1810400	XP_010514843.1, XP_010485743.1, XP_010463846.1
OG0000079	Ag013G1457500, Ag048G4621400, Ag034G3932500, Ag057G4952600, Ag031G3220200, Ag096G5473600, Ag004G0591700, Ag013G1365900, Ag011G1219700, Ag013G1389800, Ag004G0767900, Ag066G5147300	XP_010512845.1, XP_010415622.1, XP_019095296.1, XP_019090335.1, XP_019091163.1, XP_019082564.1, XP_019087463.1, XP_019093257.1
OG0000079	Ag018G2444300, Ag022G2658800	XP_010512724.1, XP_019100739.1, XP_019085561.1, XP_019099825.1, XP_019082800.1, XP_010455272.1, XP_010441029.1, XP_019092609.1, XP_010494915.2, XP_010495453.2, XP_010511426.1, XP_010494414.1
OG0000080	Ag052G4837300, Ag013G1389600, Ag039G4333600, Ag057G4952500, Ag013G1421000	XP_010481168.1
