Orthogroup	Alyssum_gmelinii	Rorippa_islandica
OG0000055	Ag034G4065400	Roisl.0053s0213.1.p, Roisl.0001s0543.1.p, Roisl.0210s1750.1.p, Roisl.0210s1827.1.p
OG0000055	Ag014G2041700	Roisl.0074s0202.1.p, Roisl.0053s0284.1.p
OG0000055	Ag014G2041600	Roisl.0053s0119.1.p
OG0000056	Ag011G1149600, Ag011G1148500	Roisl.0209s0603.1.p, Roisl.0209s0629.1.p
OG0000056	Ag002G0180000	Roisl.0209s0402.1.p
OG0000060	Ag034G3744900	Roisl.0091s1062.1.p
OG0000060	Ag016G2302600, Ag013G1610000	Roisl.0082s0647.1.p
OG0000061	Ag025G2916200, Ag025G2916400, Ag025G2916000, Ag025G2915500, Ag025G2917200, Ag025G2915700, Ag025G2913000, Ag002G0098300	Roisl.0045s0092.1.p
OG0000065	Ag016G2372900, Ag016G2372400	Roisl.0024s0064.1.p, Roisl.0024s0067.1.p, Roisl.0024s0060.1.p, Roisl.0024s0071.1.p, Roisl.0024s0082.1.p, Roisl.0024s0079.1.p, Roisl.0214s0743.1.p, Roisl.0024s0073.1.p
OG0000065	Ag016G2372600	Roisl.0024s0076.1.p
OG0000066	Ag004G0438400	Roisl.0210s0757.1.p
OG0000066	Ag034G3765900	Roisl.0210s0756.1.p
OG0000066	Ag034G3780100	Roisl.0024s0428.1.p
OG0000066	Ag013G1513800	Roisl.0210s0812.1.p
OG0000066	Ag048G4702700	Roisl.0001s0457.1.p
OG0000067	Ag013G1533100	Roisl.0214s0162.1.p
OG0000067	Ag031G3254900	Roisl.0046s0696.1.p
OG0000068	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900	Roisl.0034s0163.1.p
OG0000069	Ag048G4643500	Roisl.0035s0070.1.p, Roisl.0115s0262.1.p
OG0000069	Ag048G4574700, Ag048G4708100, Ag034G3920200, Ag048G4553800, Ag048G4563500	Roisl.0209s0754.1.p, Roisl.0004s0031.1.p, Roisl.0209s0663.1.p
OG0000069	Ag048G4644300, Ag048G4643100	Roisl.0115s0002.1.p
OG0000069	Ag031G3335200, Ag031G3335500, Ag031G3335400	Roisl.0019s0342.1.p
OG0000070	Ag039G4215000	Roisl.0021s0078.1.p, Roisl.0011s0203.1.p, Roisl.0011s0205.1.p
OG0000070	Ag034G3976800	Roisl.0007s0115.1.p
OG0000070	Ag048G4685000	Roisl.0004s0297.1.p
OG0000073	Ag077G5319300	Roisl.0045s0095.1.p, Roisl.0005s0073.1.p
OG0000073	Ag065G5125300	Roisl.0214s0170.1.p, Roisl.0039s0150.1.p
OG0000074	Ag025G2969700	Roisl.0054s0034.1.p
OG0000075	Ag021G2601300	Roisl.0001s0515.1.p
OG0000075	Ag011G1119800, Ag011G1120100, Ag011G1120000	Roisl.0001s0516.1.p
OG0000076	Ag011G1037000	Roisl.0115s0707.1.p
OG0000076	Ag013G1400700	Roisl.0005s0283.1.p, Roisl.0005s0282.1.p, Roisl.0005s0285.1.p
OG0000077	Ag033G3566700	Roisl.0005s0356.1.p, Roisl.0005s0357.1.p, Roisl.0005s0358.1.p, Roisl.0005s0330.1.p, Roisl.0213s0591.1.p, Roisl.0213s0589.1.p
OG0000077	Ag034G3937600, Ag034G3937000, Ag001G0019700, Ag025G2944900	Roisl.0011s0232.1.p, Roisl.0011s0236.1.p, Roisl.0011s0227.1.p, Roisl.0011s0212.1.p, Roisl.0011s0224.1.p, Roisl.0011s0218.1.p
OG0000077	Ag002G0173900	Roisl.0214s0806.1.p
OG0000077	Ag006G0838600	Roisl.0005s0364.1.p
OG0000078	Ag014G1810600	Roisl.0016s0321.1.p
OG0000078	Ag014G1809300, Ag014G1810300	Roisl.0016s0324.1.p
OG0000079	Ag018G2444300, Ag022G2658800	Roisl.0001s0523.1.p, Roisl.0115s0647.1.p, Roisl.0006s0142.1.p
OG0000081	Ag019G2512100, Ag066G5159500, Ag002G0249600, Ag043G4447600, Ag014G2017300	Roisl.0206s0028.1.p, Roisl.0036s0071.1.p, Roisl.0209s0160.1.p, Roisl.0038s0020.1.p, Roisl.0020s0165.1.p
OG0000081	Ag013G1532900, Ag015G2210200, Ag033G3619800, Ag034G3937400, Ag066G5128300, Ag050G4763200, Ag033G3590000, Ag011G1174500	Roisl.0184s0010.1.p, Roisl.0010s0050.1.p, Roisl.0003s0246.1.p, Roisl.0031s0106.1.p, Roisl.0001s0536.1.p, Roisl.0050s0003.1.p, Roisl.0046s0697.1.p
OG0000082	Ag061G5051200	Roisl.0028s0038.1.p, Roisl.0056s0001.1.p, Roisl.0020s0081.1.p, Roisl.0214s0040.1.p
OG0000082	Ag014G1913600, Ag038G4146900	Roisl.0020s0102.1.p
OG0000083	Ag011G1108800	Roisl.0209s0532.1.p
OG0000084	Ag087G5426100	Roisl.0064s0015.1.p, Roisl.0214s0736.1.p
OG0000089	Ag004G0519800	Roisl.0210s2052.1.p
OG0000089	Ag055G4906500, Ag004G0479400	Roisl.0209s0395.1.p
OG0000089	Ag013G1621300	Roisl.0082s0748.1.p
OG0000089	Ag013G1488000	Roisl.0210s0950.1.p
OG0000089	Ag016G2360800	Roisl.0012s0263.1.p
OG0000089	Ag033G3591100	Roisl.0091s0246.1.p
OG0000089	Ag023G2824600	Roisl.0028s0886.1.p
OG0000089	Ag048G4693300	Roisl.0004s0314.1.p
OG0000090	Ag062G5054300, Ag007G0888700	Roisl.0184s0229.1.p
OG0000090	Ag021G2604300	Roisl.0020s0036.1.p
OG0000090	Ag013G1764600, Ag056G4937000, Ag003G0343600, Ag068G5212400, Ag002G0264300, Ag048G4621900, Ag019G2531000, Ag006G0823200, Ag013G1384300	Roisl.0036s0108.1.p, Roisl.0053s0434.1.p, Roisl.0115s0613.1.p, Roisl.0013s0212.1.p, Roisl.0005s0146.1.p, Roisl.0213s0677.1.p, Roisl.0055s0040.1.p, Roisl.0184s0124.1.p, Roisl.0209s0078.1.p, Roisl.0188s0027.1.p, Roisl.0210s2141.1.p, Roisl.0189s0077.1.p, Roisl.0048s0025.1.p, Roisl.0214s0266.1.p, Roisl.0037s0059.1.p, Roisl.0189s0230.1.p, Roisl.0029s0078.1.p, Roisl.0209s0509.1.p, Roisl.0214s0183.1.p, Roisl.0045s0052.1.p, Roisl.0214s0234.1.p, Roisl.0214s0277.1.p, Roisl.0209s0077.1.p, Roisl.0111s0002.1.p
OG0000091	Ag004G0570300	Roisl.0070s0019.1.p, Roisl.0210s1772.1.p, Roisl.0210s1773.1.p
OG0000091	Ag014G2119500, Ag014G2119400, Ag014G2119100	Roisl.0209s0428.1.p
OG0000095	Ag016G2362700, Ag016G2305100, Ag024G2851600, Ag006G0800000, Ag016G2308200, Ag006G0799900	Roisl.0214s0044.1.p, Roisl.0214s0043.1.p
OG0000096	Ag002G0154900	Roisl.0204s0041.1.p, Roisl.0204s0039.1.p, Roisl.0204s0044.1.p, Roisl.0001s0531.1.p, Roisl.0074s0979.1.p, Roisl.0028s0613.1.p
OG0000096	Ag002G0165500	Roisl.0074s0977.1.p, Roisl.0204s0040.1.p
OG0000098	Ag013G1485800, Ag021G2621100, Ag004G0531500	Roisl.0038s0014.1.p
OG0000098	Ag040G4345100	Roisl.0050s0022.1.p, Roisl.0050s0026.1.p, Roisl.0050s0027.1.p
OG0000098	Ag004G0482500, Ag004G0482700, Ag014G2044400	Roisl.0006s0130.1.p
OG0000100	Ag002G0112700, Ag063G5079400	Roisl.0214s0220.1.p
OG0000100	Ag063G5086400, Ag002G0116500	Roisl.0209s0720.1.p
OG0000102	Ag016G2370600	Roisl.0082s0308.1.p
OG0000102	Ag016G2392700, Ag016G2377000, Ag016G2370800	Roisl.0082s0306.1.p
OG0000105	Ag014G1812600	Roisl.0016s0342.1.p
OG0000105	Ag011G1082500, Ag011G1083100	Roisl.0214s0835.1.p
OG0000105	Ag011G1082700	Roisl.0210s0842.1.p
OG0000105	Ag011G1082400	Roisl.0046s0013.1.p, Roisl.0045s0038.1.p, Roisl.0214s0850.1.p
OG0000105	Ag025G2901500	Roisl.0213s0408.1.p
OG0000105	Ag016G2303900	Roisl.0005s0131.1.p
OG0000105	Ag016G2287900	Roisl.0005s0149.1.p, Roisl.0005s0162.1.p
OG0000105	Ag050G4782400	Roisl.0005s0217.1.p
OG0000105	Ag048G4578200	Roisl.0009s0041.1.p
OG0000105	Ag002G0105300, Ag002G0104800, Ag063G5087100, Ag025G2961900	Roisl.0008s0044.1.p, Roisl.0021s0632.1.p
OG0000105	Ag048G4614100	Roisl.0006s0566.1.p
OG0000106	Ag014G1942900, Ag862G5518700, Ag001G0029000, Ag013G1729500, Ag034G3929600, Ag033G3563600, Ag006G0804600, Ag078G5342100, Ag006G0794900	Roisl.0021s0082.1.p, Roisl.0046s1283.1.p, Roisl.0082s0473.1.p
OG0000107	Ag014G2149500	Roisl.0115s0327.1.p
OG0000107	Ag014G2150100	Roisl.0115s0429.1.p
OG0000107	Ag014G2149200	Roisl.0115s0326.1.p
OG0000108	Ag031G3385800, Ag039G4307100	Roisl.0017s0109.1.p
OG0000108	Ag004G0614200, Ag004G0644200	Roisl.0209s0353.1.p, Roisl.0080s0345.1.p
OG0000108	Ag014G1944700	Roisl.0074s0792.1.p
OG0000108	Ag013G1537900	Roisl.0210s0691.1.p
OG0000108	Ag014G2095200	Roisl.0074s0053.1.p
OG0000108	Ag003G0396500	Roisl.0028s0385.1.p, Roisl.0028s0408.1.p
OG0000110	Ag001G0067200, Ag060G5005400, Ag010G1016200	Roisl.0023s0016.1.p, Roisl.0184s0022.1.p
OG0000117	Ag088G5442700	Roisl.0191s0190.1.p
OG0000117	Ag022G2713800, Ag018G2459500, Ag018G2459700, Ag078G5340800, Ag011G1218200, Ag033G3621900, Ag078G5340900	Roisl.0191s0196.1.p
OG0000118	Ag078G5395500, Ag034G4070400, Ag002G0250500	Roisl.0053s0176.1.p, Roisl.0053s0177.1.p, Roisl.0053s0178.1.p, Roisl.0012s0130.1.p, Roisl.0023s0087.1.p, Roisl.0023s0086.1.p, Roisl.0017s0203.1.p, Roisl.0017s0206.1.p
OG0000119	Ag031G3224800	Roisl.0042s0129.1.p
OG0000119	Ag048G4660700, Ag013G1597500	Roisl.0209s0264.1.p
OG0000119	Ag004G0623100, Ag004G0623400	Roisl.0080s0250.1.p
OG0000119	Ag019G2548800, Ag013G1361500	Roisl.0208s0010.1.p, Roisl.0021s0512.1.p
OG0000122	Ag004G0718500	Roisl.0080s0684.1.p
OG0000124	Ag075G5298000, Ag056G4938600	Roisl.0191s0300.1.p
OG0000124	Ag005G0788500, Ag031G3394500, Ag067G5193700	Roisl.0011s0204.1.p
OG0000125	Ag013G1613200	Roisl.0082s0689.1.p
OG0000125	Ag013G1613100, Ag013G1613000	Roisl.0082s0678.1.p
OG0000125	Ag034G3743800	Roisl.0091s1034.1.p
OG0000125	Ag001G0065100	Roisl.0013s0044.1.p
OG0000125	Ag001G0066100	Roisl.0006s0236.1.p
OG0000125	Ag001G0065800	Roisl.0006s0238.1.p, Roisl.0006s0239.1.p
OG0000125	Ag027G3062400	Roisl.0115s0481.1.p, Roisl.0115s0480.1.p
OG0000127	Ag034G3746600	Roisl.0091s1058.1.p
OG0000127	Ag004G0605400	Roisl.0210s1950.1.p
OG0000127	Ag031G3386800, Ag039G4310500	Roisl.0046s1343.1.p
OG0000127	Ag013G1609800	Roisl.0080s0276.1.p, Roisl.0209s0299.1.p, Roisl.0209s0304.1.p, Roisl.0082s0645.1.p
OG0000128	Ag031G3351100	Roisl.0019s0650.1.p
