Orthogroup	Alyssum_gmelinii	Cardamine_hirsuta
OG0000100	Ag002G0106500	CARHR047460, CARHR047540
OG0000100	Ag002G0112700, Ag063G5079400	CARHR047580, CARHR047440, CARHR261260, CARHR047450
OG0000100	Ag063G5086400, Ag002G0116500	CARHR051270, CARHR051280, CARHR051250
OG0000101	Ag015G2195700	CARHR154270
OG0000102	Ag016G2368300	CARHR252130
OG0000105	Ag014G1812600, Ag011G1082500, Ag011G1083100	CARHR077960
OG0000105	Ag011G1082700	CARHR181190, CARHR228760
OG0000105	Ag011G1082400	CARHR106060, CARHR104310
OG0000105	Ag016G2285400	CARHR178690, CARHR116320
OG0000105	Ag016G2287900	CARHR175110, CARHR175150, CARHR175080
OG0000105	Ag050G4782400	CARHR222460
OG0000105	Ag048G4578200	CARHR288500
OG0000105	Ag002G0112600	CARHR047590, CARHR048050, CARHR288100, CARHR047560, CARHR047570
OG0000105	Ag063G5086100	CARHR047200, CARHR047260
OG0000105	Ag002G0105600	CARHR262020
OG0000105	Ag024G2859800, Ag002G0126400, Ag002G0126500, Ag013G1589800	CARHR047480
OG0000105	Ag002G0105300, Ag002G0104800, Ag063G5087100, Ag025G2961900	CARHR215710
OG0000106	Ag014G1942900, Ag862G5518700, Ag001G0029000, Ag013G1729500, Ag034G3929600, Ag033G3563600, Ag006G0804600, Ag078G5342100, Ag006G0794900	CARHR183910
OG0000107	Ag014G1858900	CARHR119260, CARHR119250
OG0000107	Ag014G2149500	CARHR095660
OG0000107	Ag014G2149100	CARHR095650
OG0000107	Ag014G2150100	CARHR096820, CARHR096830, CARHR097220, CARHR095680, CARHR095690, CARHR095670
OG0000108	Ag004G0614200, Ag004G0644200	CARHR285740, CARHR155270
OG0000108	Ag014G1944700	CARHR086670
OG0000108	Ag013G1537900	CARHR203590
OG0000108	Ag014G2095200	CARHR094190
OG0000110	Ag001G0067200, Ag060G5005400, Ag010G1016200	CARHR151660
OG0000115	Ag032G3465800	CARHR155450
OG0000117	Ag088G5442700	CARHR023940
OG0000117	Ag088G5431700	CARHR024100
OG0000118	Ag078G5395500, Ag034G4070400, Ag002G0250500	CARHR101240, CARHR101220, CARHR133050, CARHR115930, CARHR115940, CARHR115970, CARHR133070, CARHR133060
OG0000119	Ag048G4660700, Ag013G1597500	CARHR150070, CARHR118170
OG0000119	Ag004G0623100, Ag004G0623400	CARHR118700, CARHR273840
OG0000119	Ag034G3967000	CARHR059580, CARHR150110
OG0000119	Ag019G2548800, Ag013G1361500	CARHR256190, CARHR263010
OG0000119	Ag031G3224900	CARHR150140, CARHR143200, CARHR207890
OG0000121	Ag001G0038000, Ag013G1486800, Ag034G3979800, Ag075G5293000, Ag034G3918700, Ag012G1325100, Ag048G4615600, Ag022G2667600, Ag013G1657600, Ag033G3603300, Ag088G5429800, Ag004G0527800, Ag004G0752500, Ag032G3454000, Ag013G1348300, Ag034G4049200, Ag034G4062600, Ag013G1643800, Ag004G0663600, Ag011G1257700, Ag042G4409800, Ag050G4765300, Ag025G2939600, Ag033G3480100, Ag066G5155600, Ag048G4631500, Ag002G0194900, Ag039G4332100, Ag074G5275500, Ag013G1525700	CARHR114800
OG0000121	Ag038G4148800, Ag002G0147900	CARHR054110, CARHR100990
OG0000122	Ag011G1267200	CARHR129080, CARHR031770, CARHR269910, CARHR269890
OG0000122	Ag004G0718500	CARHR269930
OG0000124	Ag075G5298000, Ag056G4938600	CARHR059180
OG0000124	Ag005G0788500, Ag031G3394500, Ag067G5193700	CARHR259840
OG0000125	Ag013G1613200	CARHR122240
OG0000125	Ag013G1612600	CARHR122140
OG0000125	Ag034G3743800	CARHR007350
OG0000125	Ag001G0065100	CARHR039100
OG0000125	Ag001G0066100	CARHR041970
OG0000125	Ag001G0065800	CARHR041980
OG0000125	Ag027G3062400	CARHR097260
OG0000125	Ag001G0065900	CARHR258870, CARHR041960
OG0000127	Ag034G3746600	CARHR007600
OG0000127	Ag004G0605400	CARHR190650
OG0000127	Ag031G3386800, Ag039G4310500	CARHR163570
OG0000127	Ag013G1609800	CARHR273520, CARHR154340, CARHR154390, CARHR121850
OG0000128	Ag031G3351100	CARHR061820
OG0000128	Ag031G3245700, Ag031G3245600	CARHR169630
OG0000128	Ag031G3246800, Ag031G3247000, Ag031G3246900	CARHR169580
OG0000128	Ag031G3246700	CARHR169600
OG0000128	Ag031G3249200, Ag031G3249100, Ag031G3248800, Ag031G3351900, Ag031G3350800, Ag031G3350000, Ag031G3350700, Ag002G0204500, Ag031G3349900	CARHR169570
OG0000129	Ag013G1553100, Ag013G1550500, Ag013G1552900, Ag016G2401500, Ag013G1550300	CARHR038520, CARHR038560
OG0000129	Ag013G1673500, Ag013G1673600	CARHR056680, CARHR056760, CARHR056690
OG0000132	Ag004G0468600, Ag004G0468500	CARHR277270
OG0000132	Ag039G4243000, Ag039G4243200, Ag039G4241900	CARHR214020
OG0000134	Ag013G1506600	CARHR202050
OG0000136	Ag013G1519100, Ag024G2872900, Ag033G3633700, Ag006G0798400, Ag020G2576300, Ag039G4209200, Ag033G3590600, Ag012G1284000	CARHR186370
OG0000137	Ag004G0742000	CARHR268700
OG0000137	Ag004G0742300	CARHR268690
OG0000137	Ag004G0742500, Ag004G0742600	CARHR268680
OG0000138	Ag031G3253900	CARHR169360
OG0000138	Ag033G3506400, Ag078G5363200	CARHR169320
OG0000138	Ag031G3253700, Ag031G3403500	CARHR169390
OG0000138	Ag001G0033000, Ag001G0031700, Ag032G3458900, Ag001G0033100, Ag001G0032800, Ag001G0032400, Ag001G0031800, Ag001G0032900, Ag001G0031500, Ag001G0032500, Ag001G0031600, Ag001G0033500, Ag001G0033400	CARHR052010, CARHR052020, CARHR053570
OG0000140	Ag038G4173300, Ag022G2672800, Ag033G3478700	CARHR146770
OG0000150	Ag002G0131000, Ag068G5224900, Ag025G2934900	CARHR217380, CARHR294480
OG0000151	Ag031G3356400	CARHR165130
OG0000151	Ag031G3356700	CARHR165120
OG0000151	Ag039G4248200	CARHR134140
OG0000151	Ag031G3356800	CARHR165110
OG0000151	Ag031G3389200	CARHR163410
OG0000151	Ag039G4314300	CARHR132240
OG0000151	Ag013G1463800	CARHR199860
OG0000153	Ag013G1616400	CARHR124170, CARHR124160, CARHR124140
OG0000153	Ag013G1615700	CARHR122540
OG0000153	Ag013G1615400	CARHR122550
OG0000154	Ag001G0045800	CARHR040870, CARHR121480
OG0000154	Ag053G4872200	CARHR290670
OG0000154	Ag001G0045900	CARHR040880, CARHR041470
OG0000154	Ag001G0045400, Ag001G0045500, Ag001G0045200, Ag001G0045100, Ag001G0045300, Ag001G0049100, Ag002G0262200	CARHR041490, CARHR040850, CARHR040760, CARHR040790, CARHR041510
OG0000158	Ag011G1092000	CARHR245230
OG0000158	Ag014G2168100, Ag027G3073200, Ag027G3072400	CARHR210870
OG0000158	Ag014G1900800	CARHR104280, CARHR150520
OG0000160	Ag042G4405700	CARHR109500
OG0000160	Ag068G5221600	CARHR238090
OG0000160	Ag004G0692900	CARHR271150
OG0000160	Ag048G4572800	CARHR073860
OG0000161	Ag015G2193300, Ag055G4906800	CARHR059960, CARHR284490
OG0000162	Ag011G1165200, Ag011G1165400, Ag011G1163300, Ag011G1163400, Ag011G1167300, Ag011G1167100, Ag011G1166900, Ag011G1222300	CARHR145900, CARHR145910, CARHR145930
OG0000162	Ag011G1166800	CARHR145920
OG0000162	Ag014G2098100	CARHR102810, CARHR103310
OG0000162	Ag013G1672600	CARHR127190
OG0000165	Ag004G0623500, Ag025G2946100, Ag016G2292600, Ag006G0843300, Ag004G0621300, Ag025G2946000	CARHR292600
OG0000165	Ag014G1928400	CARHR085710, CARHR085700, CARHR085180
OG0000167	Ag014G2104000, Ag014G2103200, Ag014G2102400	CARHR108190, CARHR108200
OG0000167	Ag003G0383500, Ag003G0383700	CARHR099220
OG0000170	Ag031G3214400	CARHR171350
OG0000170	Ag003G0319700, Ag003G0319800, Ag003G0320300, Ag003G0320600, Ag003G0320500, Ag003G0320200	CARHR140750
OG0000170	Ag003G0320000	CARHR140780, CARHR140790, CARHR140740
OG0000171	Ag020G2575200	CARHR266340
OG0000171	Ag024G2869500	CARHR046700
OG0000171	Ag044G4495800	CARHR107000
OG0000171	Ag004G0721800	CARHR269520
OG0000171	Ag014G1883300	CARHR083000, CARHR082990
OG0000171	Ag010G1018000	CARHR235660
OG0000173	Ag011G1059500, Ag011G1063500, Ag011G1063400, Ag011G1063300	CARHR246590
OG0000173	Ag060G4997300, Ag060G4996700, Ag060G4997500, Ag060G4997700, Ag060G4996200, Ag060G4997100, Ag022G2648900, Ag022G2648400, Ag022G2648200, Ag067G5186700, Ag011G1085300	CARHR132630
OG0000173	Ag014G1845700, Ag014G1846300, Ag014G1846000	CARHR100900
OG0000173	Ag068G5224200, Ag068G5224000, Ag011G1085700	CARHR246290, CARHR146050
OG0000174	Ag064G5095900, Ag013G1514400, Ag004G0425200, Ag042G4401700, Ag072G5254600, Ag039G4257400, Ag014G1813500, Ag011G1172800	CARHR292260, CARHR102990
OG0000174	Ag061G5042100, Ag027G3034800, Ag075G5303100, Ag025G2929800, Ag043G4452900	CARHR115250
OG0000175	Ag034G4063600	CARHR023910
OG0000175	Ag013G1441100	CARHR198650
OG0000175	Ag002G0234800	CARHR052550
OG0000175	Ag003G0294400	CARHR142560
OG0000176	Ag014G1823200, Ag014G1822800, Ag014G1822900, Ag014G1823300, Ag014G1822700	CARHR118040
OG0000176	Ag014G1833200	CARHR291360, CARHR291330, CARHR121440
OG0000177	Ag034G3998900, Ag034G3998500, Ag034G3998600	CARHR256500, CARHR181980
OG0000177	Ag004G0483700	CARHR181970
OG0000178	Ag066G5142800	CARHR253020
OG0000178	Ag016G2366900, Ag016G2366600	CARHR250370
OG0000178	Ag016G2366000, Ag016G2366700	CARHR250360
OG0000178	Ag066G5144100, Ag066G5143400	CARHR259510, CARHR252970, CARHR263930, CARHR252960
OG0000179	Ag003G0391500	CARHR058170
OG0000182	Ag013G1406700	CARHR167770
OG0000183	Ag061G5037800	CARHR215030, CARHR058380
OG0000183	Ag031G3311200	CARHR136200
OG0000183	Ag013G1588300	CARHR119300
OG0000184	Ag027G3048800	CARHR103600
OG0000185	Ag032G3420100	CARHR087540, CARHR087530, CARHR160040, CARHR160050, CARHR028040
OG0000186	Ag031G3213700	CARHR050630
OG0000188	Ag042G4412300	CARHR078890
OG0000188	Ag063G5067000, Ag002G0125500, Ag014G1815800	CARHR201470
OG0000188	Ag014G2100300	CARHR078860, CARHR078880
OG0000188	Ag014G1820500, Ag014G1820600, Ag011G1195700	CARHR078870
OG0000189	Ag011G1112900	CARHR108220
OG0000189	Ag048G4687900	CARHR069390, CARHR020570
OG0000191	Ag015G2179600, Ag002G0173300, Ag047G4543700, Ag033G3514800, Ag031G3293800, Ag052G4855700, Ag004G0666500, Ag022G2668400, Ag011G1171900, Ag015G2179500, Ag002G0258300	CARHR150970
OG0000193	Ag014G2033900	CARHR031320, CARHR091800, CARHR036940
OG0000193	Ag014G2035100, Ag014G2034500, Ag014G2034300, Ag014G2034200	CARHR091790
OG0000193	Ag014G2096100, Ag014G2096200, Ag014G2036800, Ag034G3813900	CARHR036380, CARHR036970
OG0000195	Ag004G0622100	CARHR175680
OG0000195	Ag004G0630200	CARHR273570
OG0000195	Ag004G0631000	CARHR273530, CARHR273550, CARHR273540
OG0000196	Ag075G5300100, Ag011G1221400	CARHR288120, CARHR287580, CARHR213590
OG0000197	Ag001G0061800, Ag032G3452100, Ag033G3647000, Ag033G3646800	CARHR215070, CARHR051370, CARHR215060, CARHR215050, CARHR215370, CARHR226280, CARHR226370
OG0000198	Ag039G4275700	CARHR144080
OG0000198	Ag034G3875600	CARHR015470, CARHR015480
OG0000198	Ag034G3844000, Ag033G3487200, Ag077G5316000	CARHR147290
OG0000199	Ag068G5227600	CARHR063270, CARHR063300
OG0000200	Ag034G3715200, Ag034G3715500	CARHR005020, CARHR203250
OG0000200	Ag034G3715400	CARHR028750, CARHR037140, CARHR037150, CARHR037160, CARHR037130
OG0000202	Ag019G2492100	CARHR250390, CARHR248840, CARHR250050, CARHR250400
OG0000203	Ag031G3304300	CARHR168640
OG0000203	Ag031G3270000	CARHR168740
OG0000203	Ag031G3270800	CARHR168690, CARHR168710
OG0000208	Ag008G0951300, Ag029G3116900, Ag034G3931200, Ag013G1421500	CARHR057780, CARHR183230
OG0000209	Ag034G3863700	CARHR014880, CARHR035940, CARHR010330
OG0000209	Ag013G1527000, Ag013G1527200, Ag013G1526500	CARHR202500
OG0000209	Ag033G3479100, Ag052G4844900, Ag033G3481200, Ag052G4843000	CARHR024930, CARHR008650
OG0000210	Ag003G0329800, Ag003G0330000	CARHR140170
OG0000210	Ag002G0166900	CARHR059620
OG0000210	Ag004G0616900	CARHR057970
OG0000210	Ag031G3221600	CARHR170840
OG0000210	Ag031G3221000	CARHR069160, CARHR059610
OG0000210	Ag031G3369000, Ag031G3377000	CARHR170850
OG0000215	Ag061G5039900, Ag040G4337500	CARHR033990, CARHR055980, CARHR108830
OG0000215	Ag007G0896700	CARHR284710
OG0000216	Ag030G3133600	CARHR253870
OG0000216	Ag030G3134000, Ag030G3134400, Ag030G3133900	CARHR253840
OG0000216	Ag002G0262400	CARHR054340
OG0000216	Ag031G3320500	CARHR166590
OG0000219	Ag015G2278200, Ag013G1733900, Ag003G0403300	CARHR065380, CARHR037370, CARHR272960, CARHR219370, CARHR253110, CARHR037380, CARHR123890
OG0000225	Ag061G5039000, Ag048G4599700, Ag048G4599600, Ag048G4599100, Ag048G4599800, Ag048G4598800, Ag048G4598900, Ag048G4598600, Ag034G3762800, Ag048G4598700	CARHR072290
OG0000225	Ag025G2955300	CARHR072300, CARHR072270, CARHR141370, CARHR201930, CARHR072280
OG0000226	Ag022G2747400, Ag022G2743200	CARHR209980
OG0000227	Ag014G1926300, Ag014G1926900	CARHR080100, CARHR085660
OG0000229	Ag031G3248700	CARHR062190
OG0000229	Ag013G1568700, Ag015G2186100	CARHR004570
OG0000230	Ag039G4289100, Ag031G3254100, Ag031G3253000, Ag031G3254300, Ag031G3402900, Ag031G3254500, Ag031G3254400, Ag031G3254600, Ag031G3402700	CARHR169340
OG0000230	Ag031G3402000	CARHR051200
OG0000230	Ag031G3255600, Ag031G3298100, Ag031G3298200	CARHR169400
OG0000232	Ag047G4548200	CARHR180870, CARHR049200, CARHR122740, CARHR110940, CARHR174010, CARHR102280
OG0000233	Ag013G1570500	CARHR205620
OG0000234	Ag003G0323000	CARHR139700
OG0000234	Ag022G2764600, Ag022G2764800	CARHR135510, CARHR049800
OG0000234	Ag022G2764200, Ag022G2764500, Ag022G2764700, Ag022G2764000, Ag022G2768000, Ag022G2768600, Ag022G2768200, Ag022G2768100, Ag022G2768400, Ag022G2768300, Ag011G1232900, Ag022G2767600, Ag022G2767700, Ag054G4882400, Ag022G2767800, Ag022G2764100, Ag022G2767900, Ag022G2764300, Ag039G4209400, Ag039G4208100, Ag039G4208800, Ag039G4208300, Ag039G4208700, Ag039G4209300, Ag039G4209100, Ag039G4209000, Ag039G4208400, Ag039G4208200	CARHR210320, CARHR095200, CARHR095190, CARHR100580, CARHR100650, CARHR100570, CARHR210300
OG0000237	Ag014G1943900, Ag014G1944000	CARHR099050
OG0000237	Ag002G0200000	CARHR043980
OG0000237	Ag027G3032700	CARHR098530
OG0000238	Ag034G4055200	CARHR064100, CARHR064090
OG0000238	Ag034G4054800	CARHR064110
OG0000238	Ag002G0184700	CARHR292540
OG0000238	Ag034G4035700	CARHR185670, CARHR023530, CARHR023500, CARHR023520, CARHR023510
OG0000238	Ag034G4054700	CARHR064120
OG0000241	Ag033G3624000	CARHR228610
OG0000241	Ag087G5425400, Ag066G5154800	CARHR252730
OG0000241	Ag066G5154900, Ag087G5425500	CARHR107520
OG0000242	Ag025G2907300, Ag053G4869700, Ag060G4999200	CARHR175670
OG0000243	Ag013G1732000, Ag013G1731400	CARHR028760
OG0000243	Ag013G1732100, Ag013G1731300	CARHR028880, CARHR028810
OG0000244	Ag016G2372100	CARHR251320, CARHR252330, CARHR252290
OG0000244	Ag013G1572000	CARHR251330, CARHR251340
OG0000246	Ag054G4896600, Ag039G4258400	CARHR131170, CARHR131180
OG0000246	Ag054G4896300	CARHR131110
OG0000246	Ag054G4896100, Ag054G4896400	CARHR131140, CARHR131130, CARHR131150, CARHR131160
OG0000248	Ag011G1039300, Ag011G1039400	CARHR215600
