Orthogroup	Alyssum_gmelinii	Euclidium_syriacum
OG0000021	Ag013G1488900, Ag031G3408800	ESY2_g36897_DN3_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY4_g26006_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1, ESY9_g43840_DN2_SP0_c0.t1, ESY9_g43986_DN3_SP0_c0.t1, ESY10_g14065_DN3_SP0_c0.t1, ESY14_g21238_DN3_SP0_c0.t1
OG0000023	Ag013G1378800	ESY11_g53222_DN2_SP0_c100.t1
OG0000024	Ag050G4762100, Ag050G4762000, Ag050G4761900, Ag050G4746600, Ag050G4752600, Ag050G4752400, Ag050G4746500, Ag050G4746300, Ag022G2696300, Ag022G2696700, Ag050G4754800, Ag050G4755000, Ag050G4751800, Ag050G4752100, Ag050G4752300	ESY7_g16494_DN2_SP0_c0.t1, ESY1_g12041_DN3_SP0_c0.t1, ESY8_g58334_DN1_SP0_c0.t1, ESY2_g33352_DN2_SP0_c0.t1, ESY2_g33350_DN2_SP0_c0.t1, ESY7_g19344_DN3_SP0_c0.t1, ESY1_g11290_DN3_SP0_c0.t1, ESY12_g51910_DN2_SP0_c0.t1, ESY12_g51907_DN2_SP0_c40.t1, ESY12_g51878_DN2_SP0_c0.t1
OG0000024	Ag013G1663800	ESY7_g18150_DN2_SP0_c0.t1, ESY1_g10652_DN1_SP0_c0.t1, ESY11_g54749_DN3_SP0_c0.t1, ESY8_g58303_DN2_SP0_c0.t1
OG0000024	Ag031G3235600	ESY12_g51909_DN2_SP0_c0.t1, ESY2_g33351_DN3_SP0_c0.t1, ESY5_g1897_DN2_SP0_c0.t1, ESY12_g51218_DN3_SP0_c0.t1, ESY20_g13272_DN2_SP0_c0.t1
OG0000026	Ag063G5074400, Ag063G5074600, Ag020G2577200, Ag030G3131700, Ag002G0272200, Ag055G4904800, Ag003G0347700, Ag014G2059100, Ag016G2402300, Ag016G2403500, Ag053G4869800	ESY4_g24970_DN3_SP0_c0.t1, ESY11_g52546_DN2_SP0_c0.t1, ESY15_g65549_DN2_SP0_c0.t1, ESY13_g56315_DN1_SP0_c55.t1, ESY18_g64157_DN2_SP0_c0.t1, ESY21_g55910_DN1_SP0_c17.t1, ESY13_g56316_DN1_SP0_c0.t1, ESY1_g7853_DN1_SP0_c0.t1
OG0000027	Ag021G2619900	ESY9_g42764_DN3_SP0_c0.t1
OG0000027	Ag033G3496400	ESY9_g42607_DN2_SP0_c68.t1
OG0000029	Ag002G0180900, Ag022G2648100	ESY6_g48344_DN1_SP0_c0.t1
OG0000030	Ag014G2144800, Ag014G2145600, Ag014G2146200, Ag014G2146400, Ag014G2146900, Ag014G2147100, Ag014G2147000, Ag014G2146700, Ag014G2145800, Ag014G2145100, Ag014G2144300, Ag014G2147700	ESY3_g29331_DN1_SP0_c0.t1, ESY3_g29330_DN1_SP0_c0.t1, ESY3_g29344_DN3_SP0_c0.t1
OG0000030	Ag014G1952600, Ag014G1958800, Ag014G1958700, Ag014G1965000, Ag042G4396900, Ag042G4397700, Ag042G4398200, Ag014G1952300, Ag014G1952400	ESY5_g3960_DN3_SP0_c0.t1, ESY4_g24700_DN2_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY5_g3539_DN1_SP0_c0.t1, ESY9_g43210_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1
OG0000030	Ag014G2099300, Ag027G3062200, Ag014G1975300	ESY3_g30289_DN3_SP0_c0.t1, ESY3_g30290_DN3_SP0_c0.t1, ESY3_g30283_DN1_SP0_c0.t1, ESY7_g18283_DN2_SP0_c0.t1, ESY3_g29392_DN3_SP0_c0.t1, ESY11_g54853_DN3_SP0_c0.t1, ESY3_g30282_DN2_SP0_c0.t1
OG0000030	Ag014G1840000	ESY2_g33562_DN1_SP0_c0.t1
OG0000030	Ag031G3271600	ESY5_g4904_DN2_SP0_c0.t1, ESY9_g42497_DN1_SP0_c0.t1
OG0000030	Ag013G1357800	ESY9_g42498_DN1_SP0_c0.t1, ESY9_g42515_DN2_SP0_c0.t1
OG0000032	Ag037G4132500	ESY1_g7080_DN3_SP0_c33.t1, ESY11_g52738_DN2_SP0_c0.t1, ESY15_g65701_DN1_SP0_c88.t1
OG0000032	Ag004G0471300	ESY22_g40386_DN3_SP0_c42.t1
OG0000035	Ag061G5042200, Ag007G0851700, Ag007G0851600, Ag015G2256800, Ag031G3385600	ESY1_g11366_DN3_SP0_c0.t1, ESY1_g8356_DN1_SP0_c0.t1, ESY2_g36091_DN2_SP0_c0.t1, ESY14_g20662_DN3_SP0_c0.t1
OG0000035	Ag015G2256700, Ag023G2806500, Ag023G2825000, Ag061G5042300, Ag007G0851800, Ag068G5222600, Ag042G4402900, Ag032G3436200	ESY10_g13892_DN3_SP0_c0.t1
OG0000035	Ag011G1111100, Ag055G4905000	ESY10_g13893_DN3_SP0_c0.t1
OG0000040	Ag031G3415700	ESY2_g38709_DN3_SP0_c0.t1, ESY9_g43776_DN1_SP0_c0.t1, ESY8_g60365_DN2_SP0_c0.t1, ESY5_g2557_DN3_SP0_c0.t1
OG0000040	Ag038G4173200	ESY7_g16531_DN2_SP0_c0.t1
OG0000042	Ag007G0876900, Ag096G5474100	ESY1_g9008_DN2_SP0_c16.t1
OG0000042	Ag023G2817300, Ag039G4253700, Ag002G0154100	ESY11_g53669_DN2_SP0_c100.t1, ESY11_g52866_DN2_SP0_c100.t1
OG0000043	Ag074G5273900, Ag048G4698800, Ag006G0822100, Ag001G0009400, Ag019G2497300, Ag052G4841300, Ag022G2790700, Ag027G3024300, Ag089G5447200, Ag004G0779300, Ag020G2574500, Ag014G2139900, Ag038G4145200, Ag036G4114100, Ag014G1940100, Ag078G5353500, Ag027G3068600, Ag002G0228700, Ag011G1124700, Ag004G0651000, Ag003G0322200, Ag022G2736700, Ag016G2284200, Ag013G1650200, Ag019G2521200, Ag025G2947100, Ag086G5422400, Ag022G2636100	ESY4_g23863_DN2_SP0_c100.t1
OG0000044	Ag087G5424800	ESY6_g50480_DN2_SP0_c0.t1
OG0000046	Ag019G2498100	ESY14_g21426_DN1_SP0_c0.t1
OG0000046	Ag004G0691700	ESY15_g65758_DN2_SP0_c100.t1
OG0000048	Ag039G4227200, Ag039G4227400, Ag039G4227300	ESY2_g33720_DN3_SP0_c0.t1, ESY2_g33725_DN2_SP0_c0.t1, ESY2_g33709_DN1_SP0_c0.t1, ESY2_g33707_DN3_SP0_c0.t1, ESY2_g33721_DN1_SP0_c0.t1, ESY20_g13338_DN3_SP0_c0.t1
OG0000048	Ag013G1657300, Ag013G1657200, Ag013G1657100, Ag013G1657000, Ag013G1657400, Ag013G1658600, Ag013G1658500, Ag013G1651500, Ag013G1657700, Ag022G2632300	ESY5_g5235_DN1_SP0_c0.t1, ESY5_g5227_DN1_SP0_c0.t1, ESY5_g5237_DN2_SP0_c0.t1, ESY8_g58363_DN2_SP0_c0.t1, ESY7_g16708_DN2_SP0_c0.t1
OG0000048	Ag062G5058500	ESY1_g10653_DN1_SP0_c0.t1
OG0000050	Ag002G0166000	ESY7_g16182_DN3_SP0_c92.t1
OG0000050	Ag019G2535000, Ag013G1454200, Ag002G0129500, Ag014G1805000, Ag002G0202200, Ag015G2221900, Ag015G2264900, Ag025G2919100, Ag014G2113900	ESY11_g54389_DN1_SP0_c0.t1, ESY22_g40701_DN2_SP0_c0.t1
OG0000050	Ag016G2298800, Ag034G3860900, Ag015G2213900, Ag020G2565400, Ag003G0365400, Ag022G2666500, Ag013G1429800, Ag023G2797800, Ag078G5357100, Ag088G5430600, Ag006G0803400, Ag034G3970700, Ag066G5153700	ESY3_g27878_DN2_SP0_c0.t1
OG0000050	Ag039G4204500, Ag011G1056800, Ag002G0129400, Ag034G3874200, Ag034G4016500, Ag034G3996800, Ag004G0706700, Ag008G0951800, Ag034G3964300	ESY6_g47795_DN2_SP0_c0.t1, ESY5_g1710_DN1_SP0_c25.t1, ESY26_g42314_DN2_SP0_c0.t1, ESY13_g57122_DN3_SP0_c0.t1, ESY11_g53171_DN2_SP0_c0.t1
OG0000051	Ag034G3687900	ESY5_g5128_DN3_SP0_c0.t1
OG0000051	Ag003G0386300, Ag003G0378700, Ag003G0386600	ESY5_g2704_DN3_SP0_c0.t1
OG0000051	Ag003G0386800	ESY5_g5127_DN3_SP0_c0.t1
OG0000051	Ag003G0387400, Ag003G0387300, Ag003G0387500, Ag003G0387800, Ag003G0387600, Ag003G0387700	ESY12_g51336_DN3_SP0_c0.t1
OG0000051	Ag003G0385100, Ag003G0385000, Ag003G0384900	ESY5_g2706_DN3_SP0_c11.t1
OG0000055	Ag034G4065400	ESY2_g35826_DN2_SP0_c0.t1
OG0000055	Ag014G2041700	ESY8_g59290_DN2_SP0_c0.t1, ESY16_g61649_DN2_SP0_c0.t1
OG0000055	Ag014G2041600	ESY9_g43255_DN3_SP0_c0.t1, ESY10_g15079_DN3_SP0_c0.t1, ESY3_g29892_DN1_SP0_c0.t1
OG0000056	Ag011G1149600, Ag011G1148500	ESY2_g33767_DN3_SP0_c0.t1, ESY2_g33769_DN3_SP0_c0.t1, ESY2_g33764_DN2_SP0_c0.t1, ESY2_g33770_DN3_SP0_c0.t1, ESY2_g33763_DN2_SP0_c0.t1, ESY2_g33774_DN3_SP0_c0.t1
OG0000056	Ag002G0180000	ESY2_g33671_DN2_SP0_c0.t1
OG0000058	Ag010G1012100, Ag001G0033300, Ag033G3511000, Ag006G0820100	ESY15_g65727_DN2_SP0_c85.t1
OG0000058	Ag007G0902800, Ag002G0124000, Ag002G0117600, Ag027G3030700, Ag004G0691500, Ag027G3040100, Ag048G4695000, Ag056G4940000	ESY13_g56710_DN1_SP0_c0.t1
OG0000059	Ag015G2211100, Ag014G2056100	ESY8_g60186_DN3_SP0_c0.t1, ESY10_g15827_DN1_SP0_c0.t1, ESY3_g29655_DN3_SP0_c0.t1, ESY4_g22922_DN2_SP0_c0.t1, ESY8_g60955_DN2_SP0_c0.t1
OG0000059	Ag038G4156200	ESY1_g9125_DN2_SP0_c0.t1
OG0000060	Ag031G3386000	ESY7_g19007_DN3_SP0_c0.t1, ESY6_g48855_DN3_SP0_c0.t1
OG0000060	Ag034G3746900	ESY3_g31636_DN3_SP0_c0.t1
OG0000060	Ag004G0636900	ESY6_g48809_DN3_SP0_c0.t1
OG0000060	Ag004G0629900	ESY9_g44877_DN3_SP0_c0.t1
OG0000060	Ag013G1692700	ESY8_g58878_DN3_SP0_c0.t1
OG0000060	Ag004G0719000, Ag039G4308900	ESY5_g4464_DN2_SP0_c0.t1
OG0000061	Ag025G2914700	ESY3_g29585_DN1_SP0_c98.t1
OG0000062	Ag033G3580500, Ag033G3643400, Ag090G5454300	ESY17_g40168_DN2_SP0_c0.t1
OG0000062	Ag023G2814500, Ag045G4510200	ESY1_g8355_DN3_SP0_c0.t1
OG0000062	Ag016G2329700	ESY9_g44155_DN3_SP0_c0.t1, ESY2_g36090_DN3_SP0_c34.t1, ESY1_g11365_DN3_SP0_c59.t1
OG0000062	Ag044G4491100, Ag016G2329800, Ag034G3892100	ESY11_g52398_DN3_SP0_c0.t1
OG0000062	Ag035G4080000, Ag066G5159400, Ag002G0144600, Ag003G0364100, Ag011G1174400	ESY9_g44156_DN3_SP0_c0.t1, ESY14_g20663_DN3_SP0_c36.t1, ESY1_g8354_DN1_SP0_c0.t1, ESY1_g9427_DN1_SP0_c0.t1, ESY3_g28537_DN2_SP0_c0.t1, ESY6_g47209_DN3_SP0_c0.t1
OG0000063	Ag062G5064000, Ag025G2961700, Ag031G3410300, Ag012G1327000	ESY17_g40075_DN1_SP0_c10.t1
OG0000066	Ag004G0438400	ESY23_g163_DN2_SP0_c0.t1
OG0000066	Ag034G3780100	ESY11_g54349_DN3_SP0_c0.t1
OG0000066	Ag013G1513800, Ag048G4702700	ESY2_g36068_DN3_SP8_c0.t1
OG0000067	Ag041G4373900, Ag010G1017800, Ag011G1139500, Ag066G5128400, Ag033G3619700, Ag002G0134400, Ag022G2724600, Ag031G3235200, Ag023G2826600, Ag031G3153400, Ag034G4009600, Ag013G1533100, Ag031G3254900, Ag007G0854100, Ag013G1533000, Ag015G2210000	ESY3_g28898_DN3_SP0_c0.t1
OG0000068	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900	ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14570_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1
OG0000069	Ag048G4643600	ESY6_g49560_DN2_SP0_c0.t1
OG0000069	Ag031G3335200, Ag031G3335500, Ag031G3335400	ESY20_g13229_DN3_SP0_c0.t1
OG0000070	Ag039G4215000	ESY10_g14297_DN3_SP0_c35.t1, ESY3_g32095_DN2_SP0_c41.t1
OG0000070	Ag025G2960200, Ag025G2959800, Ag025G2962600, Ag025G2962700, Ag025G2947000, Ag025G2946300, Ag025G2959700, Ag025G2959400, Ag025G2974100, Ag025G2973400, Ag025G2973600, Ag025G2946200, Ag025G2946900	ESY2_g37816_DN3_SP0_c0.t1, ESY2_g37886_DN2_SP0_c0.t1
OG0000070	Ag031G3230400, Ag031G3231000, Ag031G3230900, Ag014G1944300, Ag031G3231400	ESY1_g11985_DN1_SP0_c74.t1
OG0000072	Ag051G4812200	ESY7_g16117_DN2_SP0_c0.t1
OG0000072	Ag039G4320700	ESY9_g44874_DN3_SP0_c0.t1, ESY6_g47138_DN1_SP0_c0.t1, ESY21_g55397_DN2_SP0_c0.t1, ESY9_g44731_DN3_SP0_c0.t1
OG0000072	Ag067G5173800, Ag020G2570900, Ag011G1215000, Ag022G2752500, Ag011G1246100, Ag001G0081500, Ag033G3527000, Ag011G1215100, Ag039G4238000, Ag055G4918900, Ag039G4305000, Ag068G5225100	ESY2_g37912_DN2_SP0_c0.t1
OG0000072	Ag002G0206800	ESY15_g64467_DN1_SP0_c0.t1, ESY4_g23383_DN2_SP0_c0.t1
OG0000072	Ag051G4819700, Ag051G4800700	ESY3_g31973_DN1_SP0_c0.t1, ESY3_g29084_DN2_SP0_c0.t1
OG0000073	Ag003G0334800	ESY7_g16953_DN1_SP0_c0.t1, ESY16_g62306_DN2_SP0_c0.t1
OG0000073	Ag015G2190800	ESY6_g48384_DN1_SP0_c0.t1
OG0000075	Ag011G1133100, Ag022G2654400	ESY12_g52268_DN2_SP0_c19.t1
OG0000075	Ag021G2601300	ESY5_g3131_DN2_SP0_c0.t1
OG0000075	Ag011G1050500	ESY4_g26259_DN2_SP0_c32.t1
OG0000075	Ag002G0228800	ESY11_g53682_DN3_SP0_c0.t1, ESY2_g33377_DN3_SP0_c32.t1
OG0000076	Ag011G1037000	ESY4_g26855_DN3_SP0_c0.t1, ESY4_g26853_DN2_SP0_c0.t1
OG0000076	Ag006G0792900	ESY2_g33369_DN2_SP0_c0.t1
OG0000076	Ag031G3285200, Ag031G3285100, Ag031G3285000, Ag011G1144200, Ag011G1144100, Ag006G0793600, Ag011G1036500, Ag011G1036300, Ag006G0792700, Ag034G3899200, Ag034G3899100	ESY5_g5006_DN2_SP0_c0.t1, ESY4_g26296_DN3_SP0_c0.t1, ESY6_g50580_DN1_SP0_c0.t1
OG0000076	Ag013G1400700	ESY4_g25261_DN2_SP0_c0.t1
OG0000079	Ag013G1457500, Ag048G4621400, Ag034G3932500, Ag057G4952600, Ag031G3220200, Ag096G5473600, Ag004G0591700, Ag013G1365900, Ag011G1219700, Ag013G1389800, Ag004G0767900, Ag066G5147300, Ag018G2444300, Ag022G2658800	ESY8_g59723_DN2_SP0_c0.t1
OG0000081	Ag019G2512100, Ag066G5159500, Ag002G0249600, Ag043G4447600, Ag014G2017300	ESY9_g44119_DN3_SP0_c0.t1, ESY7_g18625_DN3_SP0_c96.t1
OG0000081	Ag013G1532900, Ag015G2210200, Ag033G3619800, Ag034G3937400, Ag066G5128300, Ag050G4763200, Ag033G3590000, Ag011G1174500	ESY17_g40277_DN2_SP0_c0.t1, ESY5_g3834_DN3_SP0_c0.t1, ESY7_g16987_DN3_SP0_c0.t1, ESY6_g48601_DN3_SP0_c0.t1, ESY3_g28672_DN3_SP0_c0.t1, ESY8_g59466_DN2_SP0_c0.t1, ESY14_g20487_DN3_SP0_c0.t1, ESY19_g42085_DN3_SP0_c0.t1, ESY1_g9171_DN3_SP0_c0.t1, ESY9_g45318_DN3_SP0_c0.t1, ESY1_g8230_DN3_SP0_c0.t1, ESY5_g1202_DN3_SP0_c0.t1, ESY1_g11506_DN2_SP0_c0.t1, ESY9_g43347_DN2_SP0_c0.t1
OG0000082	Ag061G5051200	ESY3_g28725_DN2_SP0_c0.t1
OG0000082	Ag002G0147600, Ag016G2381700	ESY21_g55672_DN3_SP0_c0.t1
OG0000082	Ag011G1180400, Ag011G1180800	ESY11_g54332_DN2_SP0_c0.t1
OG0000082	Ag014G2015500	ESY1_g8490_DN3_SP0_c0.t1, ESY5_g2616_DN3_SP0_c0.t1
OG0000083	Ag050G4770200	ESY4_g22995_DN2_SP0_c100.t1
OG0000084	Ag087G5426100	ESY10_g15253_DN1_SP0_c0.t1, ESY14_g20372_DN1_SP0_c0.t1, ESY6_g47811_DN1_SP0_c0.t1, ESY23_g105_DN2_SP0_c89.t1, ESY14_g20371_DN1_SP0_c0.t1
OG0000086	Ag039G4314100, Ag014G2067200, Ag014G2064700, Ag012G1307900, Ag014G2067300	ESY10_g14582_DN1_SP0_c0.t1
OG0000086	Ag036G4084000	ESY2_g35232_DN2_SP0_c0.t1
OG0000089	Ag004G0519800	ESY6_g50131_DN3_SP8_c0.t1
OG0000089	Ag013G1621300	ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58770_DN3_SP0_c0.t1
OG0000089	Ag013G1488000	ESY7_g18326_DN3_SP8_c0.t1
OG0000089	Ag016G2360800	ESY7_g16559_DN3_SP8_c0.t1
OG0000089	Ag033G3591100	ESY9_g43361_DN3_SP8_c0.t1
OG0000089	Ag048G4693300	ESY2_g34829_DN3_SP8_c0.t1
OG0000090	Ag014G2110900, Ag039G4189800, Ag034G3794600, Ag011G1047900, Ag004G0600000, Ag013G1542300, Ag034G3946500, Ag014G1978300, Ag023G2832300, Ag068G5220000, Ag004G0700900, Ag031G3274800, Ag068G5231800, Ag049G4724100, Ag034G4006000, Ag004G0584200, Ag048G4605300, Ag040G4349000	ESY4_g22476_DN1_SP0_c0.t1, ESY1_g10304_DN2_SP0_c0.t1, ESY9_g44839_DN1_SP0_c0.t1
OG0000090	Ag062G5054300	ESY15_g64509_DN2_SP0_c0.t1
OG0000090	Ag007G0888700	ESY4_g22477_DN2_SP0_c0.t1, ESY4_g26657_DN1_SP0_c0.t1
OG0000090	Ag013G1764600, Ag056G4937000, Ag003G0343600, Ag068G5212400, Ag002G0264300, Ag048G4621900, Ag019G2531000, Ag006G0823200, Ag013G1384300	ESY26_g42317_DN1_SP0_c0.t1, ESY3_g30048_DN2_SP0_c0.t1, ESY2_g35989_DN3_SP0_c0.t1, ESY7_g17919_DN1_SP0_c0.t1, ESY6_g48406_DN3_SP0_c0.t1, ESY4_g24790_DN3_SP0_c0.t1, ESY6_g47216_DN3_SP0_c0.t1, ESY1_g12432_DN3_SP0_c0.t1, ESY2_g36671_DN2_SP0_c0.t1, ESY1_g7918_DN1_SP0_c0.t1, ESY8_g60387_DN3_SP0_c0.t1, ESY5_g1685_DN1_SP0_c0.t1, ESY6_g49736_DN3_SP0_c0.t1, ESY7_g18543_DN2_SP0_c0.t1
OG0000095	Ag016G2362700, Ag016G2305100, Ag024G2851600, Ag006G0800000, Ag016G2308200, Ag006G0799900	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1
OG0000096	Ag002G0154900	ESY3_g31121_DN3_SP0_c0.t1
OG0000096	Ag014G2081900, Ag014G2083000	ESY5_g3423_DN1_SP0_c0.t1, ESY3_g30215_DN2_SP0_c0.t1
OG0000096	Ag002G0165500	ESY6_g49252_DN1_SP0_c0.t1, ESY11_g54414_DN1_SP0_c0.t1
OG0000098	Ag011G1254000, Ag011G1253500	ESY7_g16092_DN2_SP0_c0.t1, ESY7_g16160_DN2_SP0_c0.t1, ESY6_g50064_DN2_SP0_c0.t1, ESY5_g5060_DN3_SP0_c0.t1
OG0000098	Ag004G0531500	ESY7_g18472_DN3_SP0_c0.t1
OG0000098	Ag040G4345100	ESY11_g53834_DN2_SP0_c0.t1
OG0000098	Ag004G0482500, Ag004G0482700, Ag014G2044400	ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1, ESY7_g17569_DN3_SP0_c0.t1
OG0000100	Ag002G0106500, Ag002G0112700, Ag063G5079400, Ag063G5086400, Ag002G0116500	ESY1_g11939_DN1_SP0_c0.t1
OG0000101	Ag024G2897100, Ag015G2244100, Ag015G2195700, Ag037G4126400, Ag017G2433300, Ag013G1679700	ESY13_g57677_DN1_SP0_c0.t1
OG0000102	Ag016G2365600	ESY7_g16540_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1, ESY7_g16443_DN3_SP0_c0.t1
OG0000102	Ag016G2368300	ESY7_g16537_DN2_SP0_c0.t1
OG0000105	Ag014G1812600	ESY3_g32130_DN3_SP0_c69.t1
OG0000105	Ag011G1082400	ESY3_g32066_DN2_SP0_c100.t1, ESY6_g49439_DN2_SP0_c0.t1, ESY9_g43950_DN2_SP0_c87.t1
OG0000105	Ag050G4782400	ESY16_g61595_DN1_SP0_c0.t1
OG0000105	Ag002G0112600	ESY5_g1810_DN2_SP0_c0.t1
OG0000105	Ag063G5086100, Ag002G0105600, Ag063G5086500, Ag024G2859800, Ag002G0126400, Ag002G0126500, Ag013G1589800, Ag002G0126800	ESY5_g2214_DN1_SP0_c94.t1
OG0000105	Ag048G4614100	ESY3_g32007_DN1_SP0_c0.t1, ESY7_g17046_DN1_SP0_c0.t1
