Orthogroup	Alyssum_gmelinii	Brassica_oleracea
OG0000011	Ag013G1448000, Ag039G4298900, Ag021G2607700, Ag004G0775500, Ag011G1129700	XP_013615397.1
OG0000011	Ag027G3007700	XP_013615036.1, XP_013632920.1, XP_013617587.1, XP_013633062.1, XP_013622528.1, XP_013590672.1, XP_013612034.1, XP_013594587.1, XP_013607728.1
OG0000014	Ag002G0182700	XP_013594557.1
OG0000015	Ag018G2438800	XP_013594602.1
OG0000015	Ag076G5308600	XP_013639376.1, XP_013583421.1, XP_013607863.1
OG0000015	Ag058G4974300	XP_013615586.1
OG0000018	Ag007G0926800, Ag014G2174700, Ag054G4876900, Ag021G2605500, Ag075G5287400, Ag011G1256400, Ag025G2901700, Ag033G3478600, Ag014G1898500, Ag004G0480500, Ag004G0446600, Ag004G0716400, Ag024G2890600, Ag016G2280700, Ag004G0729200, Ag004G0729400, Ag004G0775100, Ag002G0196500, Ag014G2112900, Ag034G4006200, Ag014G2046300, Ag048G4699400, Ag031G3375000, Ag033G3505000, Ag067G5182000, Ag034G3751500, Ag013G1482900, Ag020G2558500, Ag034G3945000, Ag063G5069800, Ag016G2344300, Ag013G1402000, Ag016G2394800, Ag015G2197700, Ag044G4497700, Ag036G4103800, Ag001G0002700, Ag054G4885000, Ag020G2572000, Ag016G2390500, Ag031G3400200, Ag014G2174600, Ag004G0769100, Ag034G3891500	XP_013632952.1, XP_013617848.1
OG0000018	Ag074G5275600, Ag020G2558600	XP_013602970.1
OG0000020	Ag068G5227400	XP_013632401.1, XP_013624672.1, XP_013594657.1, XP_013601111.1, XP_013613669.1, XP_013589042.1, XP_013589244.1, XP_013632054.1, XP_013626814.1, XP_013616921.1, XP_013626793.1, XP_013601623.1, XP_013617516.1, XP_013624895.1, XP_013632844.1, XP_013615448.1, XP_013624951.1, XP_013601120.1, XP_013617481.1, XP_013633218.1, XP_013633384.1
OG0000021	Ag013G1488900, Ag031G3408800	XP_013608093.1, XP_013624295.1, XP_013632740.1, XP_013632330.1, XP_013594600.1, XP_013624087.1, XP_013616795.1, XP_013624037.1, XP_013635359.1, XP_013624942.1, XP_013639781.1, XP_013601073.1, XP_013632716.1, XP_013615260.1, XP_013639694.1, XP_013616959.1, XP_013633321.1, XP_013617328.1, XP_013633276.1, XP_013583343.1, XP_013624309.1, XP_013625589.1, XP_013592110.1, XP_013589433.1, XP_013595678.1, XP_013607721.1, XP_013608306.1, XP_013594522.1, XP_013608090.1, XP_013608094.1, XP_013632801.1, XP_013599600.1, XP_013589650.1, XP_013633047.1, XP_013613761.1, XP_013639394.1, XP_013601657.1, XP_013615573.1, XP_013608056.1, XP_013583415.1, XP_013624628.1, XP_013594507.1, XP_013631302.1
OG0000022	Ag034G3829100	XP_013601047.1
OG0000022	Ag024G2896000	XP_013603447.1
OG0000022	Ag006G0805800, Ag058G4977300, Ag022G2695300	XP_013635968.1
OG0000022	Ag014G2040000	XP_013609571.1
OG0000023	Ag054G4895500, Ag002G0253500	XP_013617060.1
OG0000024	Ag050G4762100, Ag050G4762000, Ag050G4761900, Ag050G4746600, Ag050G4752600, Ag050G4752400, Ag050G4746500, Ag050G4746300, Ag022G2696300, Ag022G2696700, Ag050G4754800, Ag050G4755000, Ag050G4751800, Ag050G4752100, Ag050G4752300	XP_013597425.1
OG0000024	Ag013G1744400, Ag063G5083900	XP_013592438.1
OG0000024	Ag013G1754200	XP_013632478.1, XP_013605203.1, XP_013624897.1
OG0000025	Ag002G0276000, Ag054G4878700, Ag011G1115100, Ag066G5134600, Ag066G5170900	XP_013613890.1, XP_013615021.1, XP_013631055.1, XP_013639470.1, XP_013624796.1, XP_013608134.1, XP_013633125.1, XP_013622540.1, XP_013607923.1, XP_013617624.1, XP_013623937.1, XP_013589161.1, XP_013589474.1, XP_013624039.1, XP_013625401.1, XP_013633137.1, XP_013617519.1, XP_013589471.1, XP_013624655.1, XP_013624950.1, XP_013617179.1, XP_013594903.1, XP_013626805.1, XP_013632787.1, XP_013617500.1, XP_013633014.1, XP_013589304.1, XP_013589043.1, XP_013607489.1, XP_013601110.1, XP_013630835.1, XP_013607866.1, XP_013633381.1, XP_013617480.1
OG0000025	Ag064G5112200	XP_013615038.1, XP_013639661.1
OG0000026	Ag013G1736700, Ag015G2272100	XP_013624845.1, XP_013617677.1, XP_013639735.1, XP_013614002.1, XP_013608308.1
OG0000027	Ag021G2619200	XP_013623631.1, XP_013618611.1, XP_013608009.1
OG0000027	Ag021G2619800	XP_013608654.1
OG0000027	Ag021G2619900	XP_013624060.1
OG0000027	Ag077G5324400	XP_013598807.1
OG0000027	Ag077G5325100, Ag033G3496300, Ag033G3642400	XP_013631155.1, XP_013626010.1, XP_013634493.1
OG0000027	Ag077G5325900	XP_013595103.1
OG0000027	Ag093G5459600	XP_013625142.1
OG0000027	Ag021G2620200	XP_013617506.1
OG0000027	Ag021G2618400	XP_013608656.1
OG0000028	Ag078G5387500	XP_013619743.1, XP_013619793.1, XP_013617023.1, XP_013636546.1, XP_013618838.1, XP_013617013.1, XP_013617012.1, XP_013619638.1, XP_013620896.1, XP_013615558.1
OG0000029	Ag002G0180900, Ag022G2648100	XP_013639358.1, XP_013607940.1, XP_013594529.1, XP_013632897.1, XP_013589092.1
OG0000030	Ag014G2144800, Ag014G2145600, Ag014G2146200, Ag014G2146400, Ag014G2146900, Ag014G2147100, Ag014G2147000, Ag014G2146700, Ag014G2145800, Ag014G2145100, Ag014G2144300, Ag014G2147700	XP_013608319.1, XP_013628311.1, XP_013628312.1, XP_013615042.1
OG0000030	Ag014G1952600, Ag014G1958800, Ag014G1958700, Ag014G1965000, Ag042G4396900, Ag042G4397700, Ag042G4398200, Ag014G1952300, Ag014G1952400	XP_013594890.1, XP_013594892.1, XP_013593712.1, XP_013589720.1, XP_013589717.1
OG0000030	Ag014G2099300, Ag027G3062200, Ag014G1975300	XP_013624262.1
OG0000030	Ag014G1840000	XP_013614569.1
OG0000030	Ag013G1357800	XP_013634175.1, XP_013615698.1, XP_013593493.1
OG0000031	Ag030G3130300	XP_013624050.1
OG0000031	Ag011G1132700, Ag003G0359800	XP_013616776.1, XP_013614852.1, XP_013607758.1, XP_013583385.1
OG0000031	Ag057G4960600	XP_013639523.1, XP_013617600.1, XP_013613695.1, XP_013613933.1, XP_013634348.1, XP_013614917.1, XP_013633236.1, XP_013624976.1, XP_013624480.1, XP_013624130.1, XP_013594397.1, XP_013624165.1, XP_013624059.1, XP_013601571.1, XP_013594684.1, XP_013623894.1, XP_013616943.1, XP_013607912.1, XP_013607913.1, XP_013639448.1, XP_013632732.1, XP_013628576.1, XP_013615610.1, XP_013595052.1, XP_013623848.1, XP_013632735.1
OG0000032	Ag037G4132500	XP_013638158.1
OG0000032	Ag011G1160200, Ag011G1160300, Ag011G1160400	XP_013629542.1, XP_013607685.1
OG0000032	Ag051G4814500	XP_013617271.1, XP_013622638.1, XP_013589344.1, XP_013623591.1, XP_013617698.1, XP_013632386.1, XP_013632756.1, XP_013632536.1, XP_013632823.1, XP_013583287.1, XP_013583371.1, XP_013589401.1, XP_013617380.1, XP_013613951.1, XP_013639558.1, XP_013615052.1, XP_013607917.1, XP_013601347.1, XP_013624335.1, XP_013632824.1, XP_013632537.1, XP_013632603.1, XP_013589125.1, XP_013622631.1, XP_013617718.1, XP_013624707.1, XP_013633274.1, XP_013629391.1, XP_013594308.1, XP_013633024.1, XP_013594942.1, XP_013633360.1, XP_013588997.1, XP_013632755.1, XP_013607568.1, XP_013633130.1, XP_013614455.1, XP_013601087.1, XP_013594392.1, XP_013613949.1, XP_013633399.1, XP_013601358.1, XP_013639239.1, XP_013617183.1, XP_013614792.1
OG0000034	Ag093G5459200, Ag033G3498700	XP_013595252.1, XP_013595253.1, XP_013598717.1
OG0000034	Ag093G5459500, Ag033G3498900	XP_013598740.1, XP_013598782.1
OG0000034	Ag033G3477100, Ag052G4847100	XP_013595246.1, XP_013595249.1
OG0000034	Ag048G4579800	XP_013594180.1, XP_013598071.1
OG0000034	Ag033G3500300, Ag093G5461000	XP_013635129.1, XP_013632244.1
OG0000034	Ag033G3496000, Ag077G5324500	XP_013598971.1
OG0000034	Ag033G3500200, Ag093G5460400	XP_013593131.1, XP_013626222.1
OG0000034	Ag033G3498800, Ag093G5459400	XP_013598684.1, XP_013598676.1
OG0000035	Ag061G5042200, Ag007G0851700, Ag007G0851600, Ag015G2256800, Ag031G3385600	XP_013636991.1, XP_013607885.1, XP_013618965.1
OG0000035	Ag023G2806500	XP_013591294.1, XP_013589634.1, XP_013619342.1, XP_013609967.1, XP_013610013.1, XP_013613456.1, XP_013608076.1
OG0000035	Ag042G4402900, Ag032G3436200	XP_013602972.1, XP_013583292.1, XP_013636990.1
OG0000038	Ag013G1382300, Ag066G5165400, Ag002G0115800	XP_013608456.1
OG0000039	Ag033G3629500	XP_013609584.1
OG0000040	Ag031G3415700	XP_013585161.1, XP_013614126.1, XP_013601180.1, XP_013639418.1, XP_013601552.1, XP_013616916.1, XP_013601670.1
OG0000041	Ag011G1187400	XP_013639502.1
OG0000042	Ag007G0876900, Ag096G5474100	XP_013632940.1, XP_013639621.1, XP_013630837.1
OG0000042	Ag015G2214400, Ag011G1070600	XP_013589127.1, XP_013624490.1
OG0000042	Ag023G2817300, Ag039G4253700, Ag002G0154100	XP_013594980.1, XP_013624692.1, XP_013624117.1, XP_013601612.1, XP_013639620.1, XP_013617264.1, XP_013639811.1, XP_013624086.1
OG0000042	Ag014G2104800	XP_013632400.1, XP_013584806.1
OG0000042	Ag009G0976800, Ag006G0824100	XP_013598956.1, XP_013607631.1, XP_013594825.1
OG0000042	Ag013G1471600	XP_013633216.1
OG0000043	Ag014G2139900	XP_013639450.1
OG0000046	Ag004G0691700	XP_013594734.1, XP_013591267.1, XP_013617808.1, XP_013617807.1, XP_013633382.1, XP_013589049.1, XP_013617512.1, XP_013633177.1
OG0000048	Ag039G4227200, Ag039G4227400, Ag039G4227300	XP_013634382.1
OG0000048	Ag013G1657300, Ag013G1657200, Ag013G1657100, Ag013G1657000, Ag013G1657400, Ag013G1658600, Ag013G1658500, Ag013G1651500, Ag013G1657700, Ag022G2632300	XP_013589584.1, XP_013619895.1
OG0000048	Ag034G3744100, Ag013G1648400, Ag016G2390700, Ag013G1573400, Ag013G1573000, Ag013G1626000, Ag013G1648500, Ag013G1647900	XP_013610681.1, XP_013633506.1, XP_013633508.1, XP_013632602.1, XP_013634597.1, XP_013634026.1
OG0000049	Ag055G4909600, Ag034G3947200, Ag034G3947100	XP_013617009.1
OG0000049	Ag068G5223300	XP_013632791.1
OG0000050	Ag002G0166000	XP_013607678.1
OG0000050	Ag004G0548900	XP_013601409.1
OG0000050	Ag016G2298800, Ag034G3860900, Ag015G2213900, Ag020G2565400, Ag003G0365400, Ag022G2666500, Ag013G1429800, Ag023G2797800, Ag078G5357100, Ag088G5430600, Ag006G0803400, Ag034G3970700, Ag066G5153700	XP_013594629.1, XP_013601399.1, XP_013617744.1, XP_013594969.1, XP_013624450.1, XP_013617867.1, XP_013583376.1, XP_013589145.1, XP_013583387.1, XP_013615022.1, XP_013617828.1
OG0000050	Ag031G3328800, Ag019G2527600, Ag020G2554600	XP_013617130.1
OG0000050	Ag027G3020100, Ag013G1440200, Ag022G2649500, Ag066G5147200, Ag001G0043200, Ag024G2885900	XP_013624813.1
OG0000051	Ag034G3687900	XP_013609148.1, XP_013623987.1, XP_013601904.1
OG0000051	Ag003G0386300, Ag003G0378700, Ag003G0386600	XP_013635946.1, XP_013623985.1
OG0000051	Ag003G0387300	XP_013623984.1
OG0000051	Ag003G0385100, Ag003G0385000, Ag003G0384900	XP_013610546.1
OG0000054	Ag043G4433900	XP_013615632.1, XP_013628408.1, XP_013639507.1, XP_013594559.1, XP_013632543.1
OG0000055	Ag034G4065400	XP_013623695.1, XP_013623796.1, XP_013628424.1, XP_013606594.1, XP_013593729.1
OG0000055	Ag039G4264100, Ag014G2046500, Ag014G2046000, Ag014G2045800, Ag001G0027100	XP_013609840.1
OG0000056	Ag011G1149600, Ag011G1148500	XP_013607317.1
OG0000056	Ag039G4248400	XP_013616526.1
OG0000056	Ag002G0180000	XP_013615259.1, XP_013588767.1, XP_013611134.1
OG0000058	Ag001G0033300, Ag033G3511000, Ag006G0820100	XP_013595076.1, XP_013611257.1, XP_013589048.1, XP_013617878.1
OG0000058	Ag007G0902800, Ag002G0124000, Ag002G0117600, Ag027G3030700, Ag004G0691500	XP_013617663.1, XP_013639834.1, XP_013617679.1, XP_013627147.1, XP_013608105.1, XP_013615368.1, XP_013639532.1, XP_013632562.1, XP_013624216.1, XP_013632506.1, XP_013617639.1, XP_013617202.1, XP_013633937.1, XP_013617146.1, XP_013639508.1, XP_013617228.1, XP_013589295.1
OG0000058	Ag027G3040100, Ag048G4695000, Ag056G4940000	XP_013623959.1
OG0000061	Ag007G0932800, Ag024G2852400, Ag002G0098400, Ag025G2913600	XP_013615973.1
OG0000061	Ag025G2971300, Ag025G2971100	XP_013615642.1, XP_013615706.1, XP_013600421.1
OG0000061	Ag025G2914700	XP_013615702.1
OG0000061	Ag013G1477400, Ag013G1477100, Ag013G1476800	XP_013637545.1
OG0000061	Ag013G1627600	XP_013633314.1
OG0000061	Ag056G4940400	XP_013639701.1
OG0000062	Ag043G4453100	XP_013607943.1
OG0000062	Ag016G2329700	XP_013633119.1
OG0000062	Ag031G3251600, Ag031G3301000, Ag082G5407200, Ag075G5303000, Ag002G0140500	XP_013613729.1, XP_013607856.1, XP_013589554.1, XP_013631291.1, XP_013607791.1, XP_013614157.1, XP_013614159.1, XP_013608122.1
OG0000062	Ag043G4453200	XP_013639544.1
OG0000062	Ag044G4491100, Ag016G2329800, Ag034G3892100	XP_013614135.1, XP_013608129.1, XP_013589201.1, XP_013628127.1, XP_013616946.1
OG0000063	Ag062G5064000	XP_013594553.1
OG0000063	Ag025G2961700	XP_013624346.1, XP_013589240.1
OG0000063	Ag031G3410300	XP_013624876.1
OG0000065	Ag003G0361000	XP_013632687.1
OG0000065	Ag016G2372900, Ag016G2372400	XP_013591996.1, XP_013616106.1, XP_013620167.1, XP_013591997.1, XP_013615935.1, XP_013613580.1
OG0000065	Ag016G2372600	XP_013617106.1
OG0000066	Ag004G0438400, Ag013G1525900, Ag013G1525800, Ag016G2348500, Ag034G3765900, Ag034G3780100	XP_013606481.1, XP_013621521.1, XP_013609086.1, XP_013631332.1, XP_013599938.1, XP_013637372.1, XP_013618388.1
OG0000066	Ag048G4702700	XP_013587978.1, XP_013629194.1, XP_013612748.1, XP_013612488.1, XP_013607869.1
OG0000067	Ag041G4373900, Ag010G1017800	XP_013607769.1, XP_013617274.1, XP_013628824.1
OG0000067	Ag011G1139500	XP_013624947.1, XP_013625669.1, XP_013614098.1, XP_013617376.1, XP_013594753.1, XP_013583275.1, XP_013616913.1, XP_013588882.1
OG0000067	Ag013G1533100	XP_013617582.1
OG0000067	Ag031G3254900	XP_013632721.1, XP_013639226.1, XP_013639577.1
OG0000067	Ag013G1533000	XP_013632722.1
OG0000068	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900	XP_013610551.1, XP_013611652.1, XP_013606907.1, XP_013623793.1, XP_013626885.1
OG0000068	Ag013G1504700, Ag048G4718500	XP_013635194.1, XP_013630844.1, XP_013633412.1, XP_013633440.1, XP_013588036.1, XP_013623517.1, XP_013602672.1, XP_013629845.1, XP_013626915.1, XP_013623813.1, XP_013627886.1
OG0000069	Ag048G4643500	XP_013629093.1, XP_013626856.1
OG0000069	Ag048G4574700, Ag048G4708100, Ag034G3920200, Ag048G4553800, Ag048G4563500, Ag001G0079400, Ag048G4644300, Ag048G4643100	XP_013617969.1, XP_013590488.1, XP_013609088.1
OG0000069	Ag048G4569500	XP_013639643.1
OG0000069	Ag031G3335200, Ag031G3335500, Ag031G3335400	XP_013594576.1
OG0000070	Ag039G4215000	XP_013620477.1, XP_013596659.1, XP_013610618.1
OG0000070	Ag034G3976800	XP_013628560.1
OG0000070	Ag048G4685000	XP_013591920.1, XP_013588434.1, XP_013616229.1
OG0000070	Ag025G2960200, Ag025G2959800, Ag025G2962600, Ag025G2962700, Ag025G2947000, Ag025G2946300, Ag025G2959700, Ag025G2959400, Ag025G2974100, Ag025G2973400, Ag025G2973600, Ag025G2946200, Ag025G2946900	XP_013590715.1, XP_013590802.1, XP_013603439.1
OG0000072	Ag039G4320700	XP_013608083.1, XP_013596572.1, XP_013614874.1
OG0000072	Ag067G5173800, Ag020G2570900, Ag011G1215000, Ag022G2752500, Ag011G1246100, Ag001G0081500, Ag033G3527000, Ag011G1215100, Ag039G4238000, Ag055G4918900, Ag039G4305000, Ag068G5225100	XP_013607578.1, XP_013589124.1, XP_013632615.1
OG0000072	Ag002G0206800, Ag051G4819700, Ag051G4800700, Ag018G2459600	XP_013624988.1
OG0000073	Ag077G5319300	XP_013617021.1, XP_013632987.1, XP_013607595.1, XP_013632443.1, XP_013633273.1, XP_013600985.1
OG0000073	Ag028G3078200	XP_013632654.1, XP_013623950.1, XP_013589302.1, XP_013623829.1, XP_013632353.1, XP_013624286.1, XP_013626150.1, XP_013624344.1, XP_013633316.1, XP_013639441.1, XP_013639777.1, XP_013608552.1, XP_013608116.1, XP_013624277.1, XP_013601182.1
OG0000073	Ag048G4703300	XP_013632609.1, XP_013624269.1
OG0000074	Ag004G0773100, Ag004G0661200, Ag029G3097800	XP_013627369.1, XP_013623548.1, XP_013608123.1, XP_013607767.1
OG0000074	Ag025G2969700	XP_013608398.1
OG0000074	Ag027G3035200	XP_013632213.1
OG0000075	Ag034G3817800, Ag001G0065600, Ag001G0065500, Ag001G0065400	XP_013602439.1
OG0000075	Ag021G2601300	XP_013596175.1
OG0000076	Ag011G1037000	XP_013598018.1
OG0000076	Ag025G2903400	XP_013635482.1, XP_013627588.1, XP_013635116.1, XP_013628026.1
OG0000076	Ag013G1628100, Ag013G1627300, Ag013G1626200, Ag006G0795200, Ag013G1628200, Ag013G1627800, Ag011G1200000	XP_013632670.1, XP_013632671.1
OG0000076	Ag031G3285200, Ag031G3285100, Ag031G3285000, Ag011G1144200, Ag011G1144100, Ag006G0793600, Ag011G1036500, Ag011G1036300, Ag006G0792700, Ag034G3899200, Ag034G3899100	XP_013625990.1, XP_013601953.1, XP_013619488.1, XP_013587128.1, XP_013587126.1, XP_013627762.1, XP_013627931.1, XP_013625555.1, XP_013623638.1, XP_013626117.1
OG0000077	Ag033G3566700	XP_013623925.1, XP_013617650.1
OG0000077	Ag001G0019700, Ag025G2944900	XP_013619910.1
OG0000077	Ag002G0173900, Ag034G3775500	XP_013586946.1
OG0000078	Ag014G1810600	XP_013595132.1
OG0000079	Ag013G1457500, Ag048G4621400, Ag034G3932500, Ag057G4952600, Ag031G3220200, Ag096G5473600, Ag004G0591700, Ag013G1365900, Ag011G1219700, Ag013G1389800, Ag004G0767900, Ag066G5147300	XP_013624970.1, XP_013594646.1, XP_013614132.1, XP_013616960.1, XP_013617303.1, XP_013624135.1, XP_013633128.1, XP_013589234.1, XP_013617072.1, XP_013628163.1, XP_013607582.1, XP_013633006.1, XP_013624630.1, XP_013639297.1, XP_013634828.1, XP_013583409.1, XP_013639827.1, XP_013588116.1, XP_013594953.1, XP_013624305.1, XP_013614606.1, XP_013617685.1, XP_013617550.1, XP_013617194.1, XP_013639436.1, XP_013623727.1, XP_013594276.1, XP_013589590.1, XP_013583246.1, XP_013617780.1, XP_013633220.1, XP_013607786.1, XP_013608501.1, XP_013624109.1, XP_013594551.1, XP_013639155.1, XP_013624409.1, XP_013583323.1, XP_013594743.1, XP_013601442.1, XP_013631864.1, XP_013589277.1, XP_013639764.1, XP_013583349.1, XP_013589235.1, XP_013624731.1, XP_013591028.1, XP_013584961.1
OG0000079	Ag018G2444300, Ag022G2658800	XP_013624775.1, XP_013594486.1
OG0000080	Ag052G4837300, Ag013G1389600, Ag039G4333600, Ag057G4952500, Ag013G1421000	XP_013594990.1, XP_013617302.1, XP_013589233.1
OG0000080	Ag025G2955200, Ag031G3220300, Ag042G4408900, Ag025G2921000, Ag024G2850500, Ag007G0892400, Ag014G1963800, Ag013G1458800, Ag031G3395500, Ag011G1186400, Ag048G4623700	XP_013594442.1, XP_013607999.1, XP_013589103.1, XP_013608143.1, XP_013589206.1, XP_013589132.1, XP_013632419.1, XP_013594549.1, XP_013589091.1, XP_013631875.1, XP_013624977.1, XP_013594884.1, XP_013632923.1, XP_013583322.1, XP_013594744.1, XP_013589278.1, XP_013583288.1, XP_013601137.1, XP_013631887.1, XP_013624408.1, XP_013607813.1, XP_013583348.1, XP_013632584.1, XP_013631314.1, XP_013589150.1
OG0000081	Ag039G4247800, Ag031G3153300, Ag013G1414900, Ag034G4022300, Ag004G0723900	XP_013628529.1
OG0000081	Ag019G2512100, Ag066G5159500, Ag002G0249600, Ag043G4447600, Ag014G2017300	XP_013607575.1
OG0000081	Ag013G1532900, Ag015G2210200, Ag033G3619800, Ag034G3937400, Ag066G5128300, Ag050G4763200, Ag033G3590000, Ag011G1174500	XP_013635812.1, XP_013585220.1, XP_013616683.1, XP_013589430.1, XP_013632723.1, XP_013589214.1, XP_013617738.1
OG0000082	Ag061G5051200	XP_013598864.1
OG0000082	Ag014G1913600, Ag038G4146900	XP_013617490.1, XP_013594652.1, XP_013617421.1, XP_013622886.1, XP_013607528.1
