protein	mRNA	gene
XP_013592479.1	XM_013737025.1	LOC106300794
XP_013606521.1	XM_013751067.1	LOC106313290
XP_013591942.1	XM_013736488.1	LOC106300356
XP_013587891.1	XM_013732437.1	LOC106296329
XP_013587900.1	XM_013732446.1	LOC106296329
XP_013609129.1	XM_013753675.1	LOC106315844
XP_013618293.1	XM_013762839.1	LOC106324847
XP_013591161.1	XM_013735707.1	LOC106299646
XP_013636630.1	XM_013781176.1	LOC106342293
XP_013610736.1	XM_013755282.1	LOC106317435
XP_013594682.1	XM_013739228.1	LOC106302799
XP_013594688.1	XM_013739234.1	LOC106302805
XP_013594670.1	XM_013739216.1	LOC106302779
XP_013594665.1	XM_013739211.1	LOC106302771
XP_013594679.1	XM_013739225.1	LOC106302787
XP_013594675.1	XM_013739221.1	LOC106302787
XP_013622429.1	XM_013766975.1	LOC106328518
XP_013599332.1	XM_013743878.1	LOC106307039
XP_013622441.1	XM_013766987.1	LOC106328527
XP_013622453.1	XM_013766999.1	LOC106328535
XP_013614782.1	XM_013759328.1	LOC106292165
XP_013636856.1	XM_013781402.1	LOC106342457
XP_013585599.1	XM_013730145.1	LOC106294555
XP_013607869.1	XM_013752415.1	LOC106314557
XP_013607873.1	XM_013752419.1	LOC106314557
XP_013617112.1	XM_013761658.1	LOC106323549
XP_013617108.1	XM_013761654.1	LOC106323549
XP_013617095.1	XM_013761641.1	LOC106323536
XP_013617099.1	XM_013761645.1	LOC106323536
XP_013617103.1	XM_013761649.1	LOC106323536
XP_013608567.1	XM_013753113.1	LOC106315384
XP_013609167.1	XM_013753713.1	LOC106315865
XP_013609158.1	XM_013753704.1	LOC106315865
XP_013609150.1	XM_013753696.1	LOC106315865
XP_013584527.1	XM_013729073.1	LOC106293386
XP_013590781.1	XM_013735327.1	LOC106299196
XP_013636137.1	XM_013780683.1	LOC106341926
XP_013607722.1	XM_013752268.1	LOC106314392
XP_013607731.1	XM_013752277.1	LOC106314400
XP_013622465.1	XM_013767011.1	LOC106328544
XP_013638245.1	XM_013782791.1	LOC106343544
XP_013589609.1	XM_013734155.1	LOC106298049
XP_013639314.1	XM_013783860.1	LOC106344488
XP_013603889.1	XM_013748435.1	LOC106311182
XP_013589012.1	XM_013733558.1	LOC106297281
XP_013607410.1	XM_013751956.1	LOC106314004
XP_013595862.1	XM_013740408.1	LOC106304028
XP_013595853.1	XM_013740399.1	LOC106304019
XP_013595874.1	XM_013740420.1	LOC106304036
XP_013601469.1	XM_013746015.1	LOC106308910
XP_013592631.1	XM_013737177.1	LOC106300909
XP_013593134.1	XM_013737680.1	LOC106301312
XP_013622487.1	XM_013767033.1	LOC106328561
XP_013593211.1	XM_013737757.1	LOC106301374
XP_013590589.1	XM_013735135.1	LOC106299004
XP_013590948.1	XM_013735494.1	LOC106299398
XP_013635747.1	XM_013780293.1	LOC106341549
XP_013589662.1	XM_013734208.1	LOC106298117
XP_013583494.1	XM_013728040.1	LOC106292450
XP_013607571.1	XM_013752117.1	LOC106314195
XP_013618705.1	XM_013763251.1	LOC106325217
XP_013621763.1	XM_013766309.1	LOC106327972
XP_013638165.1	XM_013782711.1	LOC106343479
XP_013630832.1	XM_013775378.1	LOC106336511
XP_013606432.1	XM_013750978.1	LOC106313218
XP_013606443.1	XM_013750989.1	LOC106313228
XP_013614372.1	XM_013758918.1	LOC106320512
XP_013619798.1	XM_013764344.1	LOC106326341
XP_013619804.1	XM_013764350.1	LOC106326341
XP_013587508.1	XM_013732054.1	LOC106296012
XP_013600744.1	XM_013745290.1	LOC106308153
XP_013600752.1	XM_013745298.1	LOC106308162
XP_013636936.1	XM_013781482.1	LOC106342521
XP_013593170.1	XM_013737716.1	LOC106301335
XP_013593161.1	XM_013737707.1	LOC106301335
XP_013619573.1	XM_013764119.1	LOC106326083
XP_013600574.1	XM_013745120.1	LOC106308010
XP_013600580.1	XM_013745126.1	LOC106308010
XP_013600592.1	XM_013745138.1	LOC106308023
XP_013601929.1	XM_013746475.1	LOC106309448
XP_013601935.1	XM_013746481.1	LOC106309448
XP_013583391.1	XM_013727937.1	LOC106292339
XP_013589129.1	XM_013733675.1	LOC106297438
XP_013585146.1	XM_013729692.1	LOC106294073
XP_013622529.1	XM_013767075.1	LOC106328596
XP_013637393.1	XM_013781939.1	LOC106342880
XP_013622540.1	XM_013767086.1	LOC106328607
XP_013622553.1	XM_013767099.1	LOC106328617
XP_013594279.1	XM_013738825.1	LOC106302281
XP_013594283.1	XM_013738829.1	LOC106302281
XP_013619791.1	XM_013764337.1	LOC106326330
XP_013617842.1	XM_013762388.1	LOC106324414
XP_013622564.1	XM_013767110.1	LOC106328626
XP_013589307.1	XM_013733853.1	LOC106297649
XP_013593070.1	XM_013737616.1	LOC106301254
XP_013589973.1	XM_013734519.1	LOC106298401
XP_013622063.1	XM_013766609.1	LOC106328210
XP_013619655.1	XM_013764201.1	LOC106326181
XP_013605587.1	XM_013750133.1	LOC106312565
XP_013590187.1	XM_013734733.1	LOC106298596
XP_013601168.1	XM_013745714.1	LOC106308556
XP_013619212.1	XM_013763758.1	LOC106325701
XP_013619218.1	XM_013763764.1	LOC106325703
XP_013594465.1	XM_013739011.1	LOC106302516
XP_013595833.1	XM_013740379.1	LOC106304007
XP_013595841.1	XM_013740387.1	LOC106304007
XP_013595810.1	XM_013740356.1	LOC106303988
XP_013595822.1	XM_013740368.1	LOC106303996
XP_013620633.1	XM_013765179.1	LOC106327121
XP_013588828.1	XM_013733374.1	LOC106297093
XP_013607660.1	XM_013752206.1	LOC106314307
XP_013637709.1	XM_013782255.1	LOC106343119
XP_013622585.1	XM_013767131.1	LOC106328646
XP_013617200.1	XM_013761746.1	LOC106323658
XP_013617207.1	XM_013761753.1	LOC106323658
XP_013617211.1	XM_013761757.1	LOC106323658
XP_013583356.1	XM_013727902.1	LOC106292302
XP_013583361.1	XM_013727907.1	LOC106292302
XP_013585817.1	XM_013730363.1	LOC106294729
XP_013622596.1	XM_013767142.1	LOC106328654
XP_013619206.1	XM_013763752.1	LOC106325688
XP_013603780.1	XM_013748326.1	LOC106311088
XP_013603788.1	XM_013748334.1	LOC106311088
XP_013617634.1	XM_013762180.1	LOC106324162
XP_013618504.1	XM_013763050.1	LOC106325027
XP_013584591.1	XM_013729137.1	LOC106293459
XP_013616466.1	XM_013761012.1	LOC106322866
XP_013616461.1	XM_013761007.1	LOC106322859
XP_013585189.1	XM_013729735.1	LOC106294129
XP_013586084.1	XM_013730630.1	LOC106294915
XP_013622608.1	XM_013767154.1	LOC106328664
XP_013622630.1	XM_013767176.1	LOC106328682
XP_013622638.1	XM_013767184.1	LOC106328691
XP_013622648.1	XM_013767194.1	LOC106328701
XP_013639734.1	XM_013784280.1	LOC106345000
XP_013637516.1	XM_013782062.1	LOC106342975
XP_013595182.1	XM_013739728.1	LOC106303468
XP_013595189.1	XM_013739735.1	LOC106303475
XP_013595177.1	XM_013739723.1	LOC106303460
XP_013584137.1	XM_013728683.1	LOC106293010
XP_013604448.1	XM_013748994.1	LOC106311722
XP_013604460.1	XM_013749006.1	LOC106311732
XP_013587371.1	XM_013731917.1	LOC106295903
XP_013617779.1	XM_013762325.1	LOC106324337
XP_013617177.1	XM_013761723.1	LOC106323631
XP_013622679.1	XM_013767225.1	LOC106328727
XP_013604880.1	XM_013749426.1	LOC106312050
XP_013604871.1	XM_013749417.1	LOC106312042
XP_013593835.1	XM_013738381.1	LOC106301893
XP_013639236.1	XM_013783782.1	LOC106344390
XP_013596924.1	XM_013741470.1	LOC106305088
XP_013596914.1	XM_013741460.1	LOC106305078
XP_013622692.1	XM_013767238.1	LOC106328737
XP_013586054.1	XM_013730600.1	LOC106294872
XP_013617488.1	XM_013762034.1	LOC106324004
XP_013617495.1	XM_013762041.1	LOC106324010
XP_013596174.1	XM_013740720.1	LOC106304306
XP_013596190.1	XM_013740736.1	LOC106304325
XP_013596162.1	XM_013740708.1	LOC106304296
XP_013596182.1	XM_013740728.1	LOC106304317
XP_013592490.1	XM_013737036.1	LOC106300803
XP_013584296.1	XM_013728842.1	LOC106293166
XP_013584304.1	XM_013728850.1	LOC106293166
XP_013639744.1	XM_013784290.1	LOC106345011
XP_013583998.1	XM_013728544.1	LOC106292870
XP_013601847.1	XM_013746393.1	LOC106309354
XP_013601841.1	XM_013746387.1	LOC106309354
XP_013601834.1	XM_013746380.1	LOC106309344
XP_013622715.1	XM_013767261.1	LOC106328749
XP_013639186.1	XM_013783732.1	LOC106344330
XP_013584214.1	XM_013728760.1	LOC106293086
XP_013589776.1	XM_013734322.1	LOC106298237
XP_013622725.1	XM_013767271.1	LOC106328759
XP_013602580.1	XM_013747126.1	LOC106309955
XP_013602589.1	XM_013747135.1	LOC106309955
XP_013638818.1	XM_013783364.1	LOC106343992
XP_013638826.1	XM_013783372.1	LOC106343992
XP_013589725.1	XM_013734271.1	LOC106298191
XP_013588106.1	XM_013732652.1	LOC106296503
XP_013592148.1	XM_013736694.1	LOC106300504
XP_013592221.1	XM_013736767.1	LOC106300504
XP_013592039.1	XM_013736585.1	LOC106300414
XP_013588727.1	XM_013733273.1	LOC106296996
XP_013613296.1	XM_013757842.1	LOC106319469
XP_013610249.1	XM_013754795.1	LOC106316930
XP_013596950.1	XM_013741496.1	LOC106305120
XP_013596958.1	XM_013741504.1	LOC106305131
XP_013606732.1	XM_013751278.1	LOC106313439
XP_013606626.1	XM_013751172.1	LOC106313342
XP_013620778.1	XM_013765324.1	LOC106327230
XP_013620767.1	XM_013765313.1	LOC106327221
XP_013635737.1	XM_013780283.1	LOC106341524
XP_013635734.1	XM_013780280.1	LOC106341524
XP_013635740.1	XM_013780286.1	LOC106341524
XP_013639129.1	XM_013783675.1	LOC106344263
XP_013588202.1	XM_013732748.1	LOC106296583
XP_013601860.1	XM_013746406.1	LOC106309376
XP_013601865.1	XM_013746411.1	LOC106309376
XP_013599646.1	XM_013744192.1	LOC106307279
XP_013599633.1	XM_013744179.1	LOC106307265
XP_013599624.1	XM_013744170.1	LOC106307265
XP_013603612.1	XM_013748158.1	LOC106310930
XP_013603622.1	XM_013748168.1	LOC106310930
XP_013603627.1	XM_013748173.1	LOC106310930
XP_013589684.1	XM_013734230.1	LOC106298148
XP_013617282.1	XM_013761828.1	LOC106323744
XP_013617278.1	XM_013761824.1	LOC106323744
XP_013599276.1	XM_013743822.1	LOC106306995
XP_013622765.1	XM_013767311.1	LOC106328793
XP_013599286.1	XM_013743832.1	LOC106307006
XP_013610838.1	XM_013755384.1	LOC106317591
XP_013598036.1	XM_013742582.1	LOC106306105
XP_013598024.1	XM_013742570.1	LOC106306097
XP_013621861.1	XM_013766407.1	LOC106328048
XP_013620927.1	XM_013765473.1	LOC106327345
XP_013616825.1	XM_013761371.1	LOC106323220
XP_013622799.1	XM_013767345.1	LOC106328817
XP_013622810.1	XM_013767356.1	LOC106328827
XP_013610824.1	XM_013755370.1	LOC106317540
XP_013610884.1	XM_013755430.1	LOC106317540
XP_013610926.1	XM_013755472.1	LOC106317540
XP_013610992.1	XM_013755538.1	LOC106317540
XP_013622818.1	XM_013767364.1	LOC106328835
XP_013622830.1	XM_013767376.1	LOC106328845
XP_013584042.1	XM_013728588.1	LOC106292888
XP_013599885.1	XM_013744431.1	LOC106307438
XP_013588814.1	XM_013733360.1	LOC106297075
XP_013608107.1	XM_013752653.1	LOC106314813
XP_013608054.1	XM_013752600.1	LOC106314758
XP_013594360.1	XM_013738906.1	LOC106302387
XP_013594370.1	XM_013738916.1	LOC106302392
XP_013594366.1	XM_013738912.1	LOC106302392
XP_013594363.1	XM_013738909.1	LOC106302392
XP_013583365.1	XM_013727911.1	LOC106292286
XP_013583469.1	XM_013728015.1	LOC106292286
XP_013583414.1	XM_013727960.1	LOC106292286
XP_013601229.1	XM_013745775.1	LOC106308614
XP_013614869.1	XM_013759415.1	LOC106321069
XP_013596032.1	XM_013740578.1	LOC106304179
XP_013596043.1	XM_013740589.1	LOC106304189
XP_013622841.1	XM_013767387.1	LOC106328855
XP_013597596.1	XM_013742142.1	LOC106305743
XP_013639638.1	XM_013784184.1	LOC106344884
XP_013622853.1	XM_013767399.1	LOC106328864
XP_013618362.1	XM_013762908.1	LOC106324901
XP_013618352.1	XM_013762898.1	LOC106324893
XP_013584411.1	XM_013728957.1	LOC106293295
XP_013638504.1	XM_013783050.1	LOC106343750
XP_013594939.1	XM_013739485.1	LOC106303054
XP_013594899.1	XM_013739445.1	LOC106303054
XP_013588616.1	XM_013733162.1	LOC106296906
XP_013605776.1	XM_013750322.1	LOC106312704
XP_013617461.1	XM_013762007.1	LOC106323969
XP_013606688.1	XM_013751234.1	LOC106313429
XP_013606676.1	XM_013751222.1	LOC106313420
XP_013636200.1	XM_013780746.1	LOC106341977
XP_013622875.1	XM_013767421.1	LOC106328881
XP_013622886.1	XM_013767432.1	LOC106328890
XP_013601275.1	XM_013745821.1	LOC106308688
XP_013622904.1	XM_013767450.1	LOC106328905
XP_013617141.1	XM_013761687.1	LOC106323587
XP_013602796.1	XM_013747342.1	LOC106310131
XP_013617943.1	XM_013762489.1	LOC106324533
XP_013617949.1	XM_013762495.1	LOC106324533
XP_013617957.1	XM_013762503.1	LOC106324549
XP_013584160.1	XM_013728706.1	LOC106293021
XP_013584152.1	XM_013728698.1	LOC106293021
XP_013584146.1	XM_013728692.1	LOC106293021
XP_013597614.1	XM_013742160.1	LOC106305765
XP_013597605.1	XM_013742151.1	LOC106305765
XP_013597597.1	XM_013742143.1	LOC106305765
XP_013597625.1	XM_013742171.1	LOC106305785
XP_013597638.1	XM_013742184.1	LOC106305792
XP_013591069.1	XM_013735615.1	LOC106299535
XP_013587423.1	XM_013731969.1	LOC106295950
XP_013590465.1	XM_013735011.1	LOC106298878
XP_013592252.1	XM_013736798.1	LOC106300615
XP_013637586.1	XM_013782132.1	LOC106343026
XP_013589101.1	XM_013733647.1	LOC106297402
XP_013591373.1	XM_013735919.1	LOC106299904
XP_013594692.1	XM_013739238.1	LOC106302811
XP_013639161.1	XM_013783707.1	LOC106344301
XP_013605677.1	XM_013750223.1	LOC106312631
XP_013605665.1	XM_013750211.1	LOC106312622
XP_013637661.1	XM_013782207.1	LOC106343079
XP_013600295.1	XM_013744841.1	LOC106307760
XP_013638890.1	XM_013783436.1	LOC106344051
XP_013603744.1	XM_013748290.1	LOC106311060
XP_013596560.1	XM_013741106.1	LOC106304708
XP_013596571.1	XM_013741117.1	LOC106304708
XP_013596566.1	XM_013741112.1	LOC106304708
XP_013596552.1	XM_013741098.1	LOC106304692
XP_013596547.1	XM_013741093.1	LOC106304692
XP_013596588.1	XM_013741134.1	LOC106304730
XP_013596581.1	XM_013741127.1	LOC106304730
XP_013622910.1	XM_013767456.1	LOC106328914
XP_013596597.1	XM_013741143.1	LOC106304748
XP_013585252.1	XM_013729798.1	LOC106294220
XP_013596507.1	XM_013741053.1	LOC106304651
XP_013622917.1	XM_013767463.1	LOC106328918
XP_013596524.1	XM_013741070.1	LOC106304671
XP_013596514.1	XM_013741060.1	LOC106304661
XP_013596536.1	XM_013741082.1	LOC106304681
XP_013639120.1	XM_013783666.1	LOC106344253
XP_013599613.1	XM_013744159.1	LOC106307255
XP_013601181.1	XM_013745727.1	LOC106308565
XP_013601175.1	XM_013745721.1	LOC106308565
XP_013604944.1	XM_013749490.1	LOC106312102
XP_013622927.1	XM_013767473.1	LOC106328927
XP_013594007.1	XM_013738553.1	LOC106302040
XP_013604758.1	XM_013749304.1	LOC106311950
XP_013604767.1	XM_013749313.1	LOC106311950
XP_013604775.1	XM_013749321.1	LOC106311950
XP_013611345.1	XM_013755891.1	LOC106318047
XP_013636602.1	XM_013781148.1	LOC106342268
XP_013600284.1	XM_013744830.1	LOC106307776
XP_013609937.1	XM_013754483.1	LOC106316591
XP_013636080.1	XM_013780626.1	LOC106341883
XP_013636067.1	XM_013780613.1	LOC106341872
XP_013589119.1	XM_013733665.1	LOC106297426
XP_013620327.1	XM_013764873.1	LOC106326910
XP_013612883.1	XM_013757429.1	LOC106319150
XP_013612960.1	XM_013757506.1	LOC106319150
XP_013617820.1	XM_013762366.1	LOC106324386
XP_013616383.1	XM_013760929.1	LOC106322790
XP_013604798.1	XM_013749344.1	LOC106311980
XP_013620738.1	XM_013765284.1	LOC106327174
XP_013583842.1	XM_013728388.1	LOC106292738
XP_013585364.1	XM_013729910.1	LOC106294353
XP_013618870.1	XM_013763416.1	LOC106325357
XP_013611357.1	XM_013755903.1	LOC106318054
XP_013611367.1	XM_013755913.1	LOC106318061
XP_013635521.1	XM_013780067.1	LOC106341259
XP_013636375.1	XM_013780921.1	LOC106342089
XP_013587746.1	XM_013732292.1	LOC106296209
XP_013616961.1	XM_013761507.1	LOC106323366
XP_013604631.1	XM_013749177.1	LOC106311858
XP_013591257.1	XM_013735803.1	LOC106299784
XP_013616860.1	XM_013761406.1	LOC106323250
XP_013635607.1	XM_013780153.1	LOC106341371
XP_013635634.1	XM_013780180.1	LOC106341409
XP_013635655.1	XM_013780201.1	LOC106341430
XP_013635628.1	XM_013780174.1	LOC106341397
XP_013635615.1	XM_013780161.1	LOC106341380
XP_013635620.1	XM_013780166.1	LOC106341380
XP_013635667.1	XM_013780213.1	LOC106341436
XP_013587787.1	XM_013732333.1	LOC106296244
XP_013590276.1	XM_013734822.1	LOC106298679
XP_013589112.1	XM_013733658.1	LOC106297419
XP_013585716.1	XM_013730262.1	LOC106294650
XP_013584505.1	XM_013729051.1	LOC106293370
XP_013596718.1	XM_013741264.1	LOC106304870
XP_013596727.1	XM_013741273.1	LOC106304881
XP_013596735.1	XM_013741281.1	LOC106304889
XP_013586323.1	XM_013730869.1	LOC106295066
XP_013586298.1	XM_013730844.1	LOC106295066
XP_013586315.1	XM_013730861.1	LOC106295066
XP_013586303.1	XM_013730849.1	LOC106295066
XP_013586309.1	XM_013730855.1	LOC106295066
XP_013622955.1	XM_013767501.1	LOC106328949
XP_013601693.1	XM_013746239.1	LOC106309175
XP_013601702.1	XM_013746248.1	LOC106309175
XP_013619613.1	XM_013764159.1	LOC106326120
XP_013619607.1	XM_013764153.1	LOC106326120
XP_013619600.1	XM_013764146.1	LOC106326120
XP_013601191.1	XM_013745737.1	LOC106308585
XP_013601184.1	XM_013745730.1	LOC106308577
XP_013601197.1	XM_013745743.1	LOC106308593
XP_013617811.1	XM_013762357.1	LOC106324379
XP_013617435.1	XM_013761981.1	LOC106323935
XP_013621225.1	XM_013765771.1	LOC106327590
XP_013589231.1	XM_013733777.1	LOC106297560
XP_013599663.1	XM_013744209.1	LOC106307270
XP_013599772.1	XM_013744318.1	LOC106307349
XP_013602263.1	XM_013746809.1	LOC106309704
XP_013602282.1	XM_013746828.1	LOC106309714
XP_013602297.1	XM_013746843.1	LOC106309714
XP_013602288.1	XM_013746834.1	LOC106309714
XP_013602323.1	XM_013746869.1	LOC106309714
XP_013602305.1	XM_013746851.1	LOC106309714
XP_013602314.1	XM_013746860.1	LOC106309714
XP_013602275.1	XM_013746821.1	LOC106309714
XP_013602336.1	XM_013746882.1	LOC106309754
XP_013637112.1	XM_013781658.1	LOC106342657
XP_013619687.1	XM_013764233.1	LOC106326210
XP_013597707.1	XM_013742253.1	LOC106305852
XP_013597720.1	XM_013742266.1	LOC106305861
XP_013597697.1	XM_013742243.1	LOC106305842
XP_013602111.1	XM_013746657.1	LOC106309597
XP_013632461.1	XM_013777007.1	LOC106337880
XP_013601569.1	XM_013746115.1	LOC106309025
XP_013587878.1	XM_013732424.1	LOC106296317
XP_013601240.1	XM_013745786.1	LOC106308644
XP_013591584.1	XM_013736130.1	LOC106300066
XP_013593222.1	XM_013737768.1	LOC106301385
XP_013610104.1	XM_013754650.1	LOC106316777
XP_013622969.1	XM_013767515.1	LOC106328956
XP_013610095.1	XM_013754641.1	LOC106316758
XP_013610092.1	XM_013754638.1	LOC106316758
XP_013601002.1	XM_013745548.1	LOC106308383
XP_013600997.1	XM_013745543.1	LOC106308383
XP_013588559.1	XM_013733105.1	LOC106296866
XP_013607746.1	XM_013752292.1	LOC106314414
XP_013607740.1	XM_013752286.1	LOC106314414
XP_013639464.1	XM_013784010.1	LOC106344687
XP_013600184.1	XM_013744730.1	LOC106307675
XP_013636537.1	XM_013781083.1	LOC106342210
XP_013603409.1	XM_013747955.1	LOC106310732
XP_013636291.1	XM_013780837.1	LOC106342047
XP_013608773.1	XM_013753319.1	LOC106315547
XP_013608765.1	XM_013753311.1	LOC106315547
XP_013637220.1	XM_013781766.1	LOC106342742
XP_013591234.1	XM_013735780.1	LOC106299716
XP_013591453.1	XM_013735999.1	LOC106299825
XP_013591382.1	XM_013735928.1	LOC106299825
XP_013591315.1	XM_013735861.1	LOC106299825
XP_013601224.1	XM_013745770.1	LOC106308629
XP_013619783.1	XM_013764329.1	LOC106326318
XP_013608668.1	XM_013753214.1	LOC106315472
XP_013608676.1	XM_013753222.1	LOC106315472
XP_013583569.1	XM_013728115.1	LOC106292506
XP_013583565.1	XM_013728111.1	LOC106292506
XP_013620707.1	XM_013765253.1	LOC106327178
XP_013622979.1	XM_013767525.1	LOC106328965
XP_013607907.1	XM_013752453.1	LOC106314606
XP_013603806.1	XM_013748352.1	LOC106311117
XP_013603797.1	XM_013748343.1	LOC106311106
XP_013594548.1	XM_013739094.1	LOC106302625
XP_013594554.1	XM_013739100.1	LOC106302625
XP_013598542.1	XM_013743088.1	LOC106306458
XP_013598532.1	XM_013743078.1	LOC106306442
XP_013598525.1	XM_013743071.1	LOC106306442
XP_013598518.1	XM_013743064.1	LOC106306442
XP_013603320.1	XM_013747866.1	LOC106310638
XP_013617858.1	XM_013762404.1	LOC106324435
XP_013638666.1	XM_013783212.1	LOC106343871
XP_013638674.1	XM_013783220.1	LOC106343871
XP_013638683.1	XM_013783229.1	LOC106343871
XP_013638692.1	XM_013783238.1	LOC106343871
XP_013638704.1	XM_013783250.1	LOC106343893
XP_013596133.1	XM_013740679.1	LOC106304266
XP_013595278.1	XM_013739824.1	LOC106303556
XP_013595286.1	XM_013739832.1	LOC106303556
XP_013595267.1	XM_013739813.1	LOC106303543
XP_013595261.1	XM_013739807.1	LOC106303543
XP_013618235.1	XM_013762781.1	LOC106324795
XP_013606577.1	XM_013751123.1	LOC106313324
XP_013606568.1	XM_013751114.1	LOC106313324
XP_013606583.1	XM_013751129.1	LOC106313324
XP_013584346.1	XM_013728892.1	LOC106293235
XP_013619907.1	XM_013764453.1	LOC106326479
XP_013586190.1	XM_013730736.1	LOC106294992
XP_013637177.1	XM_013781723.1	LOC106342708
XP_013615921.1	XM_013760467.1	LOC106322449
XP_013639799.1	XM_013784345.1	LOC106345082
XP_013585894.1	XM_013730440.1	LOC106294775
XP_013585885.1	XM_013730431.1	LOC106294775
XP_013585665.1	XM_013730211.1	LOC106294605
XP_013593795.1	XM_013738341.1	LOC106301855
XP_013589535.1	XM_013734081.1	LOC106297958
XP_013590716.1	XM_013735262.1	LOC106299121
XP_013596623.1	XM_013741169.1	LOC106304774
XP_013596638.1	XM_013741184.1	LOC106304786
XP_013617991.1	XM_013762537.1	LOC106324602
XP_013588898.1	XM_013733444.1	LOC106297142
XP_013607695.1	XM_013752241.1	LOC106314360
XP_013591762.1	XM_013736308.1	LOC106300209
XP_013586047.1	XM_013730593.1	LOC106294895
XP_013587045.1	XM_013731591.1	LOC106295625
