protein	mRNA	gene
XP_006411661.1	XM_006411598.2	LOC18028384
XP_006411662.2	XM_006411599.2	LOC18028385
XP_024004577.1	XM_024148809.1	LOC18028385
XP_006411664.1	XM_006411601.2	LOC18028387
XP_006411665.1	XM_006411602.2	LOC18028388
XP_006411668.1	XM_006411605.2	LOC18028389
XP_024004343.1	XM_024148575.1	LOC18028390
XP_006411670.1	XM_006411607.2	LOC18028391
XP_006411672.1	XM_006411609.2	LOC18028392
XP_024004525.1	XM_024148757.1	LOC18028393
XP_006411674.1	XM_006411611.2	LOC18028394
XP_006411675.1	XM_006411612.2	LOC18028395
XP_006411676.1	XM_006411613.2	LOC18028396
XP_006411677.1	XM_006411614.2	LOC18028397
XP_006411678.1	XM_006411615.2	LOC18028397
XP_006411679.1	XM_006411616.2	LOC18028398
XP_006411680.1	XM_006411617.2	LOC18028399
XP_006411681.1	XM_006411618.2	LOC18028400
XP_024005542.1	XM_024149774.1	LOC18028400
XP_024005544.1	XM_024149776.1	LOC18028400
XP_024005543.1	XM_024149775.1	LOC18028400
XP_006411682.1	XM_006411619.2	LOC18028401
XP_006411683.1	XM_006411620.2	LOC18028402
XP_006411685.1	XM_006411622.2	LOC18028404
XP_024005381.1	XM_024149613.1	LOC18028405
XP_024005379.1	XM_024149611.1	LOC18028405
XP_006411686.2	XM_006411623.2	LOC18028405
XP_024005378.1	XM_024149610.1	LOC18028405
XP_006411687.1	XM_006411624.2	LOC18028406
XP_024005456.1	XM_024149688.1	LOC18028342
XP_006411690.1	XM_006411627.2	LOC18028342
XP_006411689.1	XM_006411626.2	LOC18028342
XP_024005457.1	XM_024149689.1	LOC18028342
XP_006411692.1	XM_006411629.2	LOC18028343
XP_006411693.1	XM_006411630.2	LOC18028344
XP_024004383.1	XM_024148615.1	LOC18028345
XP_006411695.1	XM_006411632.2	LOC18028346
XP_006411696.1	XM_006411633.2	LOC18028347
XP_006411697.2	XM_006411634.2	LOC18028348
XP_006411698.1	XM_006411635.2	LOC18028349
XP_006411700.1	XM_006411637.2	LOC18028350
XP_006411701.1	XM_006411638.2	LOC18028351
XP_006411702.1	XM_006411639.2	LOC18028352
XP_006411703.1	XM_006411640.2	LOC18028353
XP_006411704.1	XM_006411641.2	LOC18028354
XP_006411705.1	XM_006411642.2	LOC18028355
XP_006411706.1	XM_006411643.2	LOC18028356
XP_006411708.1	XM_006411645.2	LOC18028357
XP_006411710.1	XM_006411647.2	LOC18028359
XP_006411711.1	XM_006411648.2	LOC18028360
XP_024005306.1	XM_024149538.1	LOC18028361
XP_006411712.1	XM_006411649.2	LOC18028361
XP_024005426.1	XM_024149658.1	LOC18029061
XP_006411714.1	XM_006411651.2	LOC18029061
XP_006411713.1	XM_006411650.2	LOC18029061
XP_024005485.1	XM_024149717.1	LOC18029062
XP_006411716.1	XM_006411653.2	LOC18029062
XP_024005819.1	XM_024150051.1	LOC18029063
XP_006411719.1	XM_006411656.2	LOC18029064
XP_024004342.1	XM_024148574.1	LOC18029065
XP_006411721.1	XM_006411658.2	LOC18029066
XP_024005293.1	XM_024149525.1	LOC18029067
XP_006411723.1	XM_006411660.2	LOC18029068
XP_006411724.1	XM_006411661.2	LOC18029069
XP_006411725.1	XM_006411662.2	LOC18029070
XP_024005520.1	XM_024149752.1	LOC18029071
XP_024005518.1	XM_024149750.1	LOC18029072
XP_006411728.1	XM_006411665.1	LOC18029073
XP_024005519.1	XM_024149751.1	LOC112082233
XP_006411729.1	XM_006411666.1	LOC18029074
XP_006411731.2	XM_006411668.2	LOC18029076
XP_006411733.1	XM_006411670.2	LOC18029077
XP_006411732.1	XM_006411669.2	LOC18029077
XP_006411734.1	XM_006411671.2	LOC18029078
XP_006411735.1	XM_006411672.2	LOC18029079
XP_006411736.1	XM_006411673.2	LOC18029080
XP_006411737.1	XM_006411674.2	LOC18029081
XP_006411738.2	XM_006411675.2	LOC18029082
XP_006411739.1	XM_006411676.2	LOC18029083
XP_006411740.1	XM_006411677.2	LOC18029035
XP_006411741.1	XM_006411678.2	LOC18029036
XP_024005848.1	XM_024150080.1	LOC18029036
XP_006411742.1	XM_006411679.2	LOC18029037
XP_006411743.1	XM_006411680.2	LOC18029038
XP_024004384.1	XM_024148616.1	LOC112081852
XP_006411744.1	XM_006411681.2	LOC18029039
XP_006411745.1	XM_006411682.2	LOC18029040
XP_024004647.1	XM_024148879.1	LOC18029040
XP_024004648.1	XM_024148880.1	LOC18029040
XP_024005826.1	XM_024150058.1	LOC18029041
XP_024005827.1	XM_024150059.1	LOC18029041
XP_006411747.1	XM_006411684.2	LOC18029042
XP_006411749.1	XM_006411686.2	LOC18029044
XP_006411750.1	XM_006411687.2	LOC18029045
XP_006411751.1	XM_006411688.2	LOC18029046
XP_006411752.1	XM_006411689.2	LOC18029047
XP_024004385.1	XM_024148617.1	LOC18029048
XP_024005690.1	XM_024149922.1	LOC112082297
XP_006411754.1	XM_006411691.2	LOC18029049
XP_006411755.1	XM_006411692.2	LOC18029050
XP_006411756.2	XM_006411693.2	LOC18029051
XP_006411757.1	XM_006411694.2	LOC18029052
XP_024004387.1	XM_024148619.1	LOC18029053
XP_006411759.1	XM_006411696.2	LOC18029054
XP_024005803.1	XM_024150035.1	LOC18029054
XP_006411760.1	XM_006411697.2	LOC18029055
XP_006411761.1	XM_006411698.1	LOC18029056
XP_006411762.1	XM_006411699.2	LOC18029057
XP_006411763.1	XM_006411700.2	LOC18029058
XP_024005401.1	XM_024149633.1	LOC18029058
XP_006411764.1	XM_006411701.2	LOC18029059
XP_006411767.1	XM_006411704.2	LOC18028986
XP_006411768.1	XM_006411705.2	LOC18028987
XP_024005879.1	XM_024150111.1	LOC18028988
XP_006411770.1	XM_006411707.2	LOC18028989
XP_024004388.1	XM_024148620.1	LOC18028990
XP_006411772.1	XM_006411709.1	LOC18028991
XP_006411773.1	XM_006411710.2	LOC18028992
XP_006411774.1	XM_006411711.2	LOC18028993
XP_006411775.1	XM_006411712.2	LOC18028994
XP_006411776.1	XM_006411713.2	LOC18028995
XP_006411777.2	XM_006411714.2	LOC18028996
XP_006411778.1	XM_006411715.2	LOC18028997
XP_006411780.1	XM_006411717.2	LOC18028998
XP_006411781.1	XM_006411718.2	LOC18028999
XP_006411783.1	XM_006411720.2	LOC18029000
XP_006411782.1	XM_006411719.2	LOC18029000
XP_024005274.1	XM_024149506.1	LOC112082193
XP_024005853.1	XM_024150085.1	LOC18029001
XP_024005854.1	XM_024150086.1	LOC18029001
XP_024005262.1	XM_024149494.1	LOC18029002
XP_006411785.1	XM_006411722.2	LOC18029002
XP_006411786.1	XM_006411723.2	LOC18029003
XP_006411787.1	XM_006411724.2	LOC18029004
XP_006411788.1	XM_006411725.2	LOC18029005
XP_006411789.1	XM_006411726.2	LOC18029005
XP_006411790.1	XM_006411727.2	LOC18029006
XP_006411792.1	XM_006411729.1	LOC18029008
XP_006411793.1	XM_006411730.2	LOC18029009
XP_006411795.1	XM_006411732.2	LOC18029011
XP_006411796.1	XM_006411733.2	LOC18029012
XP_006411798.1	XM_006411735.2	LOC18029014
XP_006411799.1	XM_006411736.2	LOC18029015
XP_006411800.1	XM_006411737.2	LOC18029016
XP_006411801.1	XM_006411738.2	LOC18029017
XP_006411803.1	XM_006411740.2	LOC18029018
XP_006411804.1	XM_006411741.2	LOC18029019
XP_006411805.1	XM_006411742.2	LOC18029021
XP_006411806.2	XM_006411743.2	LOC18029022
XP_024005718.1	XM_024149950.1	LOC18029022
XP_024005719.1	XM_024149951.1	LOC18029022
XP_024005720.1	XM_024149952.1	LOC112082320
XP_024005721.1	XM_024149953.1	LOC112082320
XP_024005595.1	XM_024149827.1	LOC18029023
XP_006411808.1	XM_006411745.2	LOC18029024
XP_006411809.1	XM_006411746.2	LOC18029025
XP_006411810.1	XM_006411747.2	LOC18029026
XP_006411811.1	XM_006411748.2	LOC18029027
XP_006411812.1	XM_006411749.2	LOC18029028
XP_006411813.1	XM_006411750.2	LOC18029029
XP_006411814.1	XM_006411751.2	LOC18029030
XP_024005086.1	XM_024149318.1	LOC18029030
XP_006411815.1	XM_006411752.2	LOC18029031
XP_006411816.1	XM_006411753.2	LOC18029032
XP_024005085.1	XM_024149317.1	LOC18029032
XP_006411817.1	XM_006411754.2	LOC18029033
XP_006411818.1	XM_006411755.2	LOC18029034
XP_006411819.1	XM_006411756.1	LOC18030069
XP_006411820.1	XM_006411757.2	LOC18030070
XP_006411821.1	XM_006411758.2	LOC18030071
XP_006411822.1	XM_006411759.2	LOC18030072
XP_006411823.1	XM_006411760.2	LOC18030073
XP_006411824.1	XM_006411761.2	LOC18030074
XP_006411825.1	XM_006411762.2	LOC18030075
XP_006411826.1	XM_006411763.2	LOC18030076
XP_006411827.1	XM_006411764.2	LOC18030077
XP_024005099.1	XM_024149331.1	LOC18030078
XP_006411830.1	XM_006411767.2	LOC18030079
XP_006411831.1	XM_006411768.2	LOC18030080
XP_006411832.1	XM_006411769.2	LOC18030081
XP_006411833.1	XM_006411770.2	LOC18030082
XP_024005482.1	XM_024149714.1	LOC18030082
XP_024005483.1	XM_024149715.1	LOC18030082
XP_024005484.1	XM_024149716.1	LOC18030082
XP_006411834.1	XM_006411771.2	LOC18030083
XP_006411836.1	XM_006411773.2	LOC18030084
XP_006411837.1	XM_006411774.2	LOC18030085
XP_006411838.1	XM_006411775.2	LOC18030086
XP_006411839.1	XM_006411776.2	LOC18030087
XP_024004327.1	XM_024148559.1	LOC112081844
XP_006411841.1	XM_006411778.2	LOC18030089
XP_006411842.1	XM_006411779.2	LOC18030090
XP_024004583.1	XM_024148815.1	LOC18030091
XP_024004389.1	XM_024148621.1	LOC18030092
XP_024005681.1	XM_024149913.1	LOC18030093
XP_006411846.1	XM_006411783.1	LOC18030094
XP_006411847.1	XM_006411784.2	LOC18030095
XP_024004578.1	XM_024148810.1	LOC18030095
XP_006411849.1	XM_006411786.2	LOC18030096
XP_006411848.1	XM_006411785.2	LOC18030096
XP_006411850.1	XM_006411787.2	LOC18030097
XP_006411851.1	XM_006411788.2	LOC18030098
XP_006411852.1	XM_006411789.2	LOC18030099
XP_006411853.1	XM_006411790.2	LOC18030100
XP_006411854.1	XM_006411791.2	LOC18030101
XP_006411855.1	XM_006411792.2	LOC18030102
XP_006411856.1	XM_006411793.2	LOC18030103
XP_006411857.1	XM_006411794.2	LOC18030104
XP_006411858.1	XM_006411795.2	LOC18030105
XP_006411859.1	XM_006411796.2	LOC18030106
XP_006411860.2	XM_006411797.2	LOC18030107
XP_006411861.1	XM_006411798.2	LOC18030108
XP_024005633.1	XM_024149865.1	LOC18030108
XP_006411862.2	XM_006411799.2	LOC18030109
XP_006411863.1	XM_006411800.2	LOC18030110
XP_006411864.1	XM_006411801.2	LOC18030111
XP_006411865.1	XM_006411802.2	LOC18030112
XP_006411866.1	XM_006411803.2	LOC18030113
XP_024005383.1	XM_024149615.1	LOC18030114
XP_024005384.1	XM_024149616.1	LOC18030114
XP_006411869.1	XM_006411806.2	LOC18030115
XP_006411870.1	XM_006411807.2	LOC18030115
XP_006411868.2	XM_006411805.2	LOC18030117
XP_024005821.1	XM_024150053.1	LOC18030117
XP_006411871.1	XM_006411808.2	LOC18030116
XP_006411873.1	XM_006411810.2	LOC18030118
XP_006411874.1	XM_006411811.2	LOC18030119
XP_006411875.1	XM_006411812.2	LOC18030120
XP_024005272.1	XM_024149504.1	LOC18030120
XP_024005273.1	XM_024149505.1	LOC112082191
XP_006411876.1	XM_006411813.2	LOC18030473
XP_006411877.1	XM_006411814.2	LOC18030474
XP_006411878.1	XM_006411815.2	LOC18030475
XP_006411879.1	XM_006411816.2	LOC18030476
XP_006411880.1	XM_006411817.2	LOC18030477
XP_006411881.1	XM_006411818.2	LOC18030478
XP_006411882.1	XM_006411819.2	LOC18030479
XP_006411883.2	XM_006411820.2	LOC18030480
XP_006411887.2	XM_006411824.2	LOC18030482
XP_006411888.1	XM_006411825.2	LOC18030483
XP_006411889.1	XM_006411826.2	LOC18030484
XP_006411890.2	XM_006411827.2	LOC18030485
XP_006411892.1	XM_006411829.2	LOC18030487
XP_006411893.1	XM_006411830.2	LOC18030488
XP_024004390.1	XM_024148622.1	LOC112081853
XP_006411894.1	XM_006411831.1	LOC18030489
XP_006411895.1	XM_006411832.2	LOC18030490
XP_024005823.1	XM_024150055.1	LOC18030491
XP_006411897.1	XM_006411834.2	LOC18030492
XP_006411898.1	XM_006411835.2	LOC18030493
XP_024004487.1	XM_024148719.1	LOC18030494
XP_006411900.1	XM_006411837.2	LOC18030495
XP_006411901.1	XM_006411838.2	LOC18030496
XP_006411903.1	XM_006411840.2	LOC18030498
XP_006411904.1	XM_006411841.2	LOC18030606
XP_006411905.1	XM_006411842.2	LOC18030607
XP_006411906.1	XM_006411843.2	LOC18030608
XP_006411907.1	XM_006411844.2	LOC18030609
XP_006411908.1	XM_006411845.2	LOC18030610
XP_006411909.1	XM_006411846.2	LOC18030611
XP_006411910.1	XM_006411847.2	LOC18030612
XP_024005748.1	XM_024149980.1	LOC18030613
XP_024005749.1	XM_024149981.1	LOC18030613
XP_024005750.1	XM_024149982.1	LOC18030613
XP_024005751.1	XM_024149983.1	LOC18030613
XP_006411911.1	XM_006411848.2	LOC18030613
XP_024005746.1	XM_024149978.1	LOC18030614
XP_024005747.1	XM_024149979.1	LOC18030614
XP_006411913.1	XM_006411850.2	LOC18030615
XP_006411914.1	XM_006411851.2	LOC18030616
XP_006411915.1	XM_006411852.2	LOC18030617
XP_024005745.1	XM_024149977.1	LOC18030618
XP_006411917.2	XM_006411854.2	LOC18030619
XP_024005744.1	XM_024149976.1	LOC18030620
XP_006411920.2	XM_006411857.2	LOC18030621
XP_006411921.1	XM_006411858.2	LOC18030622
XP_006411923.1	XM_006411860.2	LOC18030624
XP_024004675.1	XM_024148907.1	LOC18030624
XP_006411924.1	XM_006411861.2	LOC18030625
XP_006411926.1	XM_006411863.2	LOC18030626
XP_006411927.1	XM_006411864.2	LOC18030627
XP_006411928.1	XM_006411865.2	LOC18030628
XP_006411929.2	XM_006411866.2	LOC18030629
XP_006411930.1	XM_006411867.2	LOC18030630
XP_024005580.1	XM_024149812.1	LOC18030631
XP_006411931.1	XM_006411868.2	LOC18030631
XP_006411932.1	XM_006411869.2	LOC18030632
XP_024005581.1	XM_024149813.1	LOC18030632
XP_006411933.1	XM_006411870.2	LOC18030633
XP_006411934.1	XM_006411871.2	LOC18030634
XP_006411935.1	XM_006411872.2	LOC18030635
XP_024005511.1	XM_024149743.1	LOC18030635
XP_024005510.1	XM_024149742.1	LOC18030635
XP_006411937.2	XM_006411874.2	LOC18030636
XP_006411938.1	XM_006411875.2	LOC18030637
XP_006411939.1	XM_006411876.2	LOC18030638
XP_024005454.1	XM_024149686.1	LOC18030639
XP_006411940.1	XM_006411877.2	LOC18030639
XP_006411941.1	XM_006411878.2	LOC18030640
XP_006411942.1	XM_006411879.2	LOC18030641
XP_006411943.1	XM_006411880.2	LOC18030642
XP_006411944.1	XM_006411881.2	LOC18030643
XP_006411945.1	XM_006411882.2	LOC18030644
XP_024005728.1	XM_024149960.1	LOC18030645
XP_006411947.1	XM_006411884.2	LOC18030646
XP_006411948.1	XM_006411885.2	LOC18030647
XP_006411949.1	XM_006411886.2	LOC18030648
XP_006411950.1	XM_006411887.2	LOC18030649
XP_006411951.1	XM_006411888.2	LOC18030650
XP_006411952.1	XM_006411889.2	LOC18030651
XP_006411953.1	XM_006411890.2	LOC18030652
XP_006411954.1	XM_006411891.2	LOC18030653
XP_024005715.1	XM_024149947.1	LOC18030653
XP_024005229.1	XM_024149461.1	LOC18030654
XP_006411955.1	XM_006411892.2	LOC18030654
XP_006411956.1	XM_006411893.2	LOC18031142
XP_006411957.1	XM_006411894.2	LOC18031143
XP_006411958.2	XM_006411895.2	LOC18031144
XP_006411959.1	XM_006411896.2	LOC18031145
XP_006411960.1	XM_006411897.2	LOC18031146
XP_006411961.1	XM_006411898.2	LOC18031147
XP_006411962.1	XM_006411899.2	LOC18031148
XP_006411963.1	XM_006411900.1	LOC18031149
XP_006411964.1	XM_006411901.2	LOC18031150
XP_006411965.1	XM_006411902.2	LOC18031151
XP_006411966.1	XM_006411903.2	LOC18031152
XP_006411967.1	XM_006411904.2	LOC18031153
XP_006411969.1	XM_006411906.2	LOC18031154
XP_006411970.1	XM_006411907.2	LOC18031155
XP_006411971.1	XM_006411908.2	LOC18031156
XP_006411972.1	XM_006411909.2	LOC18031157
XP_024004665.1	XM_024148897.1	LOC18031157
XP_024004666.1	XM_024148898.1	LOC18031157
XP_006411973.1	XM_006411910.2	LOC18031158
XP_006411974.1	XM_006411911.2	LOC18031159
XP_006411975.1	XM_006411912.2	LOC18031160
XP_024004585.1	XM_024148817.1	LOC18031161
XP_006411976.1	XM_006411913.2	LOC18031161
XP_024005366.1	XM_024149598.1	LOC18031162
XP_006411978.1	XM_006411915.2	LOC18031163
XP_006411979.1	XM_006411916.2	LOC18031163
XP_024005278.1	XM_024149510.1	LOC18031164
XP_006411980.1	XM_006411917.2	LOC18031164
XP_006411981.1	XM_006411918.2	LOC18031165
XP_024005662.1	XM_024149894.1	LOC18031165
XP_024005663.1	XM_024149895.1	LOC18031165
XP_006411982.1	XM_006411919.2	LOC18031166
XP_006411983.1	XM_006411920.2	LOC18028460
XP_006411984.2	XM_006411921.2	LOC18028461
XP_006411985.1	XM_006411922.1	LOC18028462
XP_006411986.1	XM_006411923.2	LOC18028463
XP_006411987.1	XM_006411924.2	LOC18028464
XP_006411988.2	XM_006411925.2	LOC18028465
XP_006411989.1	XM_006411926.2	LOC18028466
XP_024004495.1	XM_024148727.1	LOC18028466
XP_024004496.1	XM_024148728.1	LOC18028467
XP_006411992.1	XM_006411929.2	LOC18028467
XP_006411993.1	XM_006411930.2	LOC18028468
XP_024005683.1	XM_024149915.1	LOC18028469
XP_006411995.1	XM_006411932.2	LOC18028470
XP_006411996.1	XM_006411933.2	LOC18028471
XP_006411997.1	XM_006411934.2	LOC18028472
XP_006411998.1	XM_006411935.2	LOC18028473
XP_006411999.1	XM_006411936.2	LOC18028474
XP_024005103.1	XM_024149335.1	LOC18028474
XP_006412000.1	XM_006411937.2	LOC18028475
XP_006412001.1	XM_006411938.2	LOC18028476
XP_006412002.1	XM_006411939.1	LOC18028477
XP_006412003.1	XM_006411940.2	LOC18028480
XP_006412005.1	XM_006411942.2	LOC18028479
XP_006412006.1	XM_006411943.2	LOC18028481
XP_006412008.1	XM_006411945.2	LOC18028482
XP_006412009.1	XM_006411946.2	LOC18028483
XP_024004393.1	XM_024148625.1	LOC112081854
XP_006412011.1	XM_006411948.2	LOC18030743
XP_006412012.2	XM_006411949.2	LOC18030744
XP_024004405.1	XM_024148637.1	LOC18030744
XP_006412013.1	XM_006411950.2	LOC18030745
XP_006412014.1	XM_006411951.2	LOC18030746
XP_006412015.1	XM_006411952.2	LOC18030747
XP_006412016.1	XM_006411953.2	LOC18030748
XP_006412017.1	XM_006411954.2	LOC18030749
XP_024005338.1	XM_024149570.1	LOC18030750
XP_006412019.1	XM_006411956.2	LOC18030751
XP_024005640.1	XM_024149872.1	LOC18030752
XP_006412021.1	XM_006411958.2	LOC18030753
XP_006412022.1	XM_006411959.2	LOC18030754
XP_006412023.1	XM_006411960.2	LOC18030755
XP_006412024.1	XM_006411961.2	LOC18030756
XP_024004317.1	XM_024148549.1	LOC18030757
XP_006412025.1	XM_006411962.2	LOC18030757
XP_024004592.1	XM_024148824.1	LOC112081900
XP_024004593.1	XM_024148825.1	LOC112081901
XP_006412026.1	XM_006411963.2	LOC18030758
XP_024004594.1	XM_024148826.1	LOC18030758
XP_024005494.1	XM_024149726.1	LOC18030759
XP_024005285.1	XM_024149517.1	LOC18030760
XP_006412029.1	XM_006411966.2	LOC18030761
XP_024005770.1	XM_024150002.1	LOC18030761
XP_024005768.1	XM_024150000.1	LOC18030761
XP_024005769.1	XM_024150001.1	LOC18030761
XP_024004591.1	XM_024148823.1	LOC112081899
XP_006412030.1	XM_006411967.2	LOC18030762
XP_006412031.1	XM_006411968.2	LOC18028407
XP_006412032.1	XM_006411969.2	LOC18028408
XP_006412034.1	XM_006411971.2	LOC18028410
XP_006412036.2	XM_006411973.2	LOC18028412
XP_006412037.1	XM_006411974.2	LOC18028413
XP_006412038.1	XM_006411975.2	LOC18028414
XP_006412039.1	XM_006411976.2	LOC18028415
XP_006412040.2	XM_006411977.2	LOC18028416
XP_024004537.1	XM_024148769.1	LOC18028416
XP_024004536.1	XM_024148768.1	LOC18028416
XP_006412041.1	XM_006411978.2	LOC18028417
XP_006412042.1	XM_006411979.2	LOC18028418
XP_024005339.1	XM_024149571.1	LOC18028418
XP_006412045.1	XM_006411982.2	LOC18028418
XP_006412046.1	XM_006411983.2	LOC18028419
XP_024005340.1	XM_024149572.1	LOC18028420
XP_006412048.1	XM_006411985.2	LOC18028421
XP_006412049.1	XM_006411986.2	LOC18028422
XP_006412050.1	XM_006411987.2	LOC18028423
XP_006412051.1	XM_006411988.2	LOC18028424
XP_006412052.1	XM_006411989.2	LOC18028425
XP_006412053.1	XM_006411990.2	LOC18028426
XP_006412056.1	XM_006411993.2	LOC18028427
XP_024004394.1	XM_024148626.1	LOC18028428
XP_024004382.1	XM_024148614.1	LOC18028247
XP_006412059.1	XM_006411996.2	LOC18028248
XP_006412060.1	XM_006411997.2	LOC18028249
XP_024004395.1	XM_024148627.1	LOC112081855
XP_024005666.1	XM_024149898.1	LOC112082279
XP_006412062.1	XM_006411999.2	LOC18028250
XP_006412061.1	XM_006411998.2	LOC18028252
XP_024004710.1	XM_024148942.1	LOC18028252
XP_006412064.1	XM_006412001.2	LOC18028251
XP_006412065.1	XM_006412002.2	LOC18028253
XP_006412066.1	XM_006412003.2	LOC18028254
XP_006412067.1	XM_006412004.2	LOC18028255
XP_024005286.1	XM_024149518.1	LOC18028256
XP_006412069.2	XM_006412006.2	LOC18028257
XP_006412070.1	XM_006412007.2	LOC18028258
XP_006412071.1	XM_006412008.1	LOC18028259
XP_006412072.2	XM_006412009.2	LOC18028260
XP_006412073.1	XM_006412010.1	LOC18028261
XP_006412074.1	XM_006412011.1	LOC18028262
XP_024004396.1	XM_024148628.1	LOC18028263
XP_006412076.1	XM_006412013.1	LOC18028264
XP_006412077.1	XM_006412014.1	LOC18028265
XP_006412078.1	XM_006412015.2	LOC18028266
XP_024004644.1	XM_024148876.1	LOC18028267
XP_024004645.1	XM_024148877.1	LOC18028267
XP_024004646.1	XM_024148878.1	LOC18028267
XP_006412081.2	XM_006412018.2	LOC18028268
XP_024005481.1	XM_024149713.1	LOC18028269
XP_006412083.1	XM_006412020.2	LOC18028270
XP_006412084.1	XM_006412021.2	LOC18028271
XP_006412085.1	XM_006412022.2	LOC18028272
XP_024005601.1	XM_024149833.1	LOC112082240
XP_006412087.1	XM_006412024.2	LOC18028274
XP_006412090.2	XM_006412027.2	LOC18028275
XP_006412089.1	XM_006412026.2	LOC18028275
XP_024004398.1	XM_024148630.1	LOC112081857
XP_024004313.1	XM_024148545.1	LOC112081839
XP_024004315.1	XM_024148547.1	LOC112081839
XP_024004314.1	XM_024148546.1	LOC112081839
XP_006412091.1	XM_006412028.2	LOC18028276
XP_006412092.1	XM_006412029.2	LOC18028277
XP_006412093.1	XM_006412030.2	LOC18028278
XP_024005255.1	XM_024149487.1	LOC18028279
XP_024004399.1	XM_024148631.1	LOC112081858
XP_006412095.1	XM_006412032.2	LOC18028280
XP_006412096.1	XM_006412033.2	LOC18028281
XP_006412097.1	XM_006412034.2	LOC18028282
XP_006412098.1	XM_006412035.2	LOC18028283
XP_006412099.1	XM_006412036.2	LOC18028284
XP_006412100.1	XM_006412037.2	LOC18028285
XP_006412103.1	XM_006412040.2	LOC18028286
XP_006412102.1	XM_006412039.2	LOC18028286
XP_006412105.1	XM_006412042.2	LOC18028287
XP_024004404.1	XM_024148636.1	LOC112081859
XP_006412106.1	XM_006412043.2	LOC18028288
XP_006412107.2	XM_006412044.2	LOC18028226
