protein	mRNA	gene
XP_006304638.1	XM_006304576.2	LOC17897701
XP_023645094.1	XM_023789326.1	LOC17897859
XP_023645097.1	XM_023789329.1	LOC17897859
XP_023645095.1	XM_023789327.1	LOC17897859
XP_023645096.1	XM_023789328.1	LOC17897859
XP_023645098.1	XM_023789330.1	LOC17897160
XP_023646072.1	XM_023790304.1	LOC17897541
XP_006305484.1	XM_006305422.2	LOC17897541
XP_006307592.1	XM_006307530.2	LOC17900498
XP_023645839.1	XM_023790071.1	LOC17899350
XP_006304625.1	XM_006304563.2	LOC17899350
XP_006307577.1	XM_006307515.2	LOC17899442
XP_006307512.1	XM_006307450.2	LOC17898627
XP_023632607.1	XM_023776839.1	LOC17898627
XP_023632606.1	XM_023776838.1	LOC17898627
XP_006305388.1	XM_006305326.2	LOC17898783
XP_006307571.1	XM_006307509.2	LOC17899712
XP_023645158.1	XM_023789390.1	LOC17899712
XP_023645159.1	XM_023789391.1	LOC17899712
XP_023645160.1	XM_023789392.1	LOC17899712
XP_023645161.1	XM_023789393.1	LOC17898622
XP_006303940.2	XM_006303878.2	LOC17900573
XP_006303837.1	XM_006303775.2	LOC17899892
XP_006304123.1	XM_006304061.2	LOC17900398
XP_006304071.1	XM_006304009.2	LOC17897210
XP_006307308.1	XM_006307246.2	LOC17899022
XP_023645576.1	XM_023789808.1	LOC111832573
XP_023632713.1	XM_023776945.1	LOC111828607
XP_023632685.1	XM_023776917.1	LOC111828599
XP_006303436.2	XM_006303374.2	LOC17897912
XP_006306887.1	XM_006306825.2	LOC17900764
XP_006303976.1	XM_006303914.2	LOC17899460
XP_006305119.1	XM_006305057.2	LOC17897605
XP_006305254.1	XM_006305192.2	LOC17897889
XP_006303639.1	XM_006303577.2	LOC17898055
XP_006304156.1	XM_006304094.2	LOC17897044
XP_023645035.1	XM_023789267.1	LOC17897844
XP_006304974.1	XM_006304912.2	LOC17896755
XP_006304018.1	XM_006303956.2	LOC17900660
XP_023645957.1	XM_023790189.1	LOC111832648
XP_006305031.2	XM_006304969.2	LOC17898028
XP_006305749.1	XM_006305687.2	LOC17900442
XP_006307598.1	XM_006307536.2	LOC17898242
XP_006305528.1	XM_006305466.2	LOC17897429
XP_006303540.2	XM_006303478.2	LOC17896801
XP_006303927.1	XM_006303865.2	LOC17900618
XP_006307480.1	XM_006307418.2	LOC17900385
XP_023645587.1	XM_023789819.1	LOC111832577
XP_023632569.1	XM_023776801.1	LOC17897639
XP_023632735.1	XM_023776967.1	LOC17897320
XP_006306065.1	XM_006306003.2	LOC17897320
XP_006304244.1	XM_006304182.2	LOC17897451
XP_023645793.1	XM_023790025.1	LOC17897451
XP_006305674.1	XM_006305612.2	LOC17898005
XP_006305264.1	XM_006305202.2	LOC17898234
XP_023645143.1	XM_023789375.1	LOC17898234
XP_006306882.1	XM_006306820.2	LOC17897591
XP_006306883.1	XM_006306821.2	LOC17897591
XP_023632592.1	XM_023776824.1	LOC17899456
XP_006304460.1	XM_006304398.2	LOC17899456
XP_006303868.1	XM_006303806.2	LOC17900677
XP_023645593.1	XM_023789825.1	LOC111832578
XP_006307379.1	XM_006307317.2	LOC17897548
XP_006305522.2	XM_006305460.2	LOC17900476
XP_006305521.2	XM_006305459.2	LOC17900476
XP_006305523.2	XM_006305461.2	LOC17900476
XP_006306019.1	XM_006305957.1	LOC17896796
XP_006307052.1	XM_006306990.2	LOC17896711
XP_023645911.1	XM_023790143.1	LOC17896711
XP_006305645.1	XM_006305583.2	LOC17897240
XP_006305330.1	XM_006305268.2	LOC17896982
XP_023645243.1	XM_023789475.1	LOC17896982
XP_023645242.1	XM_023789474.1	LOC17896982
XP_006303379.1	XM_006303317.2	LOC17897838
XP_006305677.2	XM_006305615.2	LOC17899804
XP_006305568.1	XM_006305506.2	LOC17898237
XP_006307157.2	XM_006307095.2	LOC17897314
XP_006305435.1	XM_006305373.2	LOC17899204
XP_006304344.1	XM_006304282.2	LOC17899139
XP_023632682.1	XM_023776914.1	LOC17899330
XP_023632681.1	XM_023776913.1	LOC17899330
XP_006305651.1	XM_006305589.2	LOC17899330
XP_023646000.1	XM_023790232.1	LOC17896988
XP_006307506.1	XM_006307444.2	LOC17898453
XP_006306361.1	XM_006306299.2	LOC17898777
XP_006307205.1	XM_006307143.2	LOC17898983
XP_006304319.1	XM_006304257.2	LOC17900087
XP_006307579.1	XM_006307517.2	LOC17898862
XP_006305480.1	XM_006305418.2	LOC17898629
XP_023632698.1	XM_023776930.1	LOC17900494
XP_023644400.1	XM_023788632.1	LOC17896998
XP_023644401.1	XM_023788633.1	LOC17896998
XP_006306976.1	XM_006306914.2	LOC17896998
XP_023644402.1	XM_023788634.1	LOC17896998
XP_006305610.1	XM_006305548.2	LOC17900348
XP_006306578.1	XM_006306516.2	LOC17900300
XP_006305173.1	XM_006305111.2	LOC17897802
XP_006304913.1	XM_006304851.2	LOC17899065
XP_023632800.1	XM_023777032.1	LOC17899065
XP_006305085.1	XM_006305023.2	LOC17899028
XP_006307425.1	XM_006307363.2	LOC17898990
XP_023632870.1	XM_023777102.1	LOC17900876
XP_023645605.1	XM_023789837.1	LOC111832580
XP_023633007.1	XM_023777239.1	LOC111828697
XP_023633006.1	XM_023777238.1	LOC111828697
XP_006305025.2	XM_006304963.2	LOC17899155
XP_006305341.1	XM_006305279.2	LOC17900436
XP_006303980.1	XM_006303918.2	LOC17897388
XP_006307364.1	XM_006307302.2	LOC17897609
XP_006303697.1	XM_006303635.2	LOC17898735
XP_006305333.2	XM_006305271.2	LOC17898081
XP_023645826.1	XM_023790058.1	LOC17898081
XP_006303523.1	XM_006303461.2	LOC17897841
XP_006304730.1	XM_006304668.2	LOC17900176
XP_006305170.1	XM_006305108.2	LOC17900801
XP_006304532.2	XM_006304470.2	LOC17899025
XP_006305510.1	XM_006305448.2	LOC17896718
XP_006305595.1	XM_006305533.2	LOC17896787
XP_006305278.2	XM_006305216.2	LOC17897787
XP_006303267.1	XM_006303205.2	LOC17897604
XP_006307239.1	XM_006307177.2	LOC17899187
XP_006304164.1	XM_006304102.2	LOC17898845
XP_006307128.2	XM_006307066.2	LOC17897851
XP_006303210.1	XM_006303148.2	LOC17899354
XP_023646044.1	XM_023790276.1	LOC17899354
XP_006303177.1	XM_006303115.2	LOC17898674
XP_023633218.1	XM_023777450.1	LOC111828747
XP_006305482.1	XM_006305420.2	LOC17898366
XP_006303227.1	XM_006303165.2	LOC17900496
XP_006306020.2	XM_006305958.2	LOC17898691
XP_006305772.2	XM_006305710.2	LOC17896712
XP_006303966.2	XM_006303904.2	LOC17898335
XP_023632963.1	XM_023777195.1	LOC17900422
XP_023632962.1	XM_023777194.1	LOC17900422
XP_006303529.1	XM_006303467.2	LOC17897175
XP_006305011.1	XM_006304949.2	LOC17900607
XP_006306036.1	XM_006305974.1	LOC17899625
XP_023645457.1	XM_023789689.1	LOC17897271
XP_006303137.2	XM_006303075.2	LOC17897271
XP_006303713.1	XM_006303651.1	LOC17900305
XP_006303744.2	XM_006303682.2	LOC17898097
XP_006303999.1	XM_006303937.1	LOC17900003
XP_006305466.1	XM_006305404.2	LOC17898639
XP_006305500.1	XM_006305438.2	LOC17900917
XP_023645619.1	XM_023789851.1	LOC17897739
XP_006303338.1	XM_006303276.2	LOC17897249
XP_023645608.1	XM_023789840.1	LOC17897249
XP_006305654.1	XM_006305592.2	LOC17899232
XP_006306581.1	XM_006306519.2	LOC17896991
XP_006305036.1	XM_006304974.2	LOC17900642
XP_006306829.1	XM_006306767.2	LOC17900447
XP_006307197.2	XM_006307135.2	LOC17897971
XP_006303577.1	XM_006303515.2	LOC17900080
XP_006303365.2	XM_006303303.2	LOC17899758
XP_006305682.1	XM_006305620.2	LOC17897193
XP_006305967.1	XM_006305905.2	LOC17898899
XP_006307204.1	XM_006307142.2	LOC17900113
XP_006303299.1	XM_006303237.2	LOC17900086
XP_023645606.1	XM_023789838.1	LOC111832581
XP_006305161.1	XM_006305099.2	LOC17899083
XP_006304155.1	XM_006304093.2	LOC17898963
XP_006306607.1	XM_006306545.2	LOC17897843
XP_023644626.1	XM_023788858.1	LOC17898177
XP_023644625.1	XM_023788857.1	LOC17898177
XP_023644635.1	XM_023788867.1	LOC17896923
XP_023644634.1	XM_023788866.1	LOC17896923
XP_023644633.1	XM_023788865.1	LOC17896923
XP_023644632.1	XM_023788864.1	LOC17896923
XP_023644631.1	XM_023788863.1	LOC17896923
XP_023644638.1	XM_023788870.1	LOC17896923
XP_023644636.1	XM_023788868.1	LOC17896923
XP_023644637.1	XM_023788869.1	LOC17896923
XP_006305589.1	XM_006305527.2	LOC17896923
XP_006304200.1	XM_006304138.2	LOC17896885
XP_006303792.1	XM_006303730.2	LOC17900061
XP_006304674.1	XM_006304612.2	LOC17900847
XP_006306147.1	XM_006306085.2	LOC17897094
XP_006306322.1	XM_006306260.1	LOC17896658
XP_006305628.2	XM_006305566.2	LOC17897257
XP_006303463.1	XM_006303401.2	LOC17897466
XP_023644630.1	XM_023788862.1	LOC17898768
XP_023644627.1	XM_023788859.1	LOC17899292
XP_023644629.1	XM_023788861.1	LOC17899292
XP_023644628.1	XM_023788860.1	LOC17899292
XP_023644617.1	XM_023788849.1	LOC17899542
XP_023644618.1	XM_023788850.1	LOC17899542
XP_023644619.1	XM_023788851.1	LOC17899542
XP_023644621.1	XM_023788853.1	LOC17899542
XP_023644623.1	XM_023788855.1	LOC17899542
XP_023644622.1	XM_023788854.1	LOC17899542
XP_006305276.1	XM_006305214.2	LOC17898752
XP_006305664.1	XM_006305602.2	LOC17897602
XP_023644624.1	XM_023788856.1	LOC17898224
XP_023645463.1	XM_023789695.1	LOC17899573
XP_023645464.1	XM_023789696.1	LOC17899573
XP_023645465.1	XM_023789697.1	LOC17899573
XP_006303888.2	XM_006303826.2	LOC17898408
XP_006304742.1	XM_006304680.2	LOC17899128
XP_006307484.1	XM_006307422.2	LOC17900813
XP_006305617.1	XM_006305555.2	LOC17897337
XP_006306479.1	XM_006306417.2	LOC17897455
XP_023645820.1	XM_023790052.1	LOC17897871
XP_006305553.1	XM_006305491.2	LOC17897753
XP_023645850.1	XM_023790082.1	LOC17897753
XP_006307723.2	XM_006307661.2	LOC17897299
XP_006307347.1	XM_006307285.2	LOC17900213
XP_006303539.2	XM_006303477.2	LOC17898749
XP_006306600.1	XM_006306538.2	LOC17900617
XP_023645545.1	XM_023789777.1	LOC17900617
XP_023645544.1	XM_023789776.1	LOC17900617
XP_006304497.1	XM_006304435.2	LOC17897064
XP_006307014.2	XM_006306952.2	LOC17897498
XP_006303520.1	XM_006303458.2	LOC17900404
XP_006305457.1	XM_006305395.2	LOC17900173
XP_006305432.1	XM_006305370.2	LOC17900908
XP_006307040.1	XM_006306978.2	LOC17900797
XP_006303275.1	XM_006303213.2	LOC17896826
XP_023645008.1	XM_023789240.1	LOC17899664
XP_006306566.1	XM_006306504.2	LOC17899664
XP_006303615.1	XM_006303553.2	LOC17899414
XP_006303883.1	XM_006303821.2	LOC17898613
XP_023645199.1	XM_023789431.1	LOC17899124
XP_006306852.1	XM_006306790.2	LOC17899124
XP_006306195.1	XM_006306133.2	LOC17897581
XP_006307604.1	XM_006307542.2	LOC17897357
XP_006305695.1	XM_006305633.2	LOC17898142
XP_006306434.1	XM_006306372.2	LOC17898912
XP_006306008.1	XM_006305946.2	LOC17900289
XP_006303362.1	XM_006303300.2	LOC17896700
XP_023644692.1	XM_023788924.1	LOC17897190
XP_006306709.1	XM_006306647.2	LOC17897190
XP_023644691.1	XM_023788923.1	LOC17897190
XP_023645657.1	XM_023789889.1	LOC111832588
XP_023644693.1	XM_023788925.1	LOC17897092
XP_006305317.2	XM_006305255.2	LOC17899366
XP_023645859.1	XM_023790091.1	LOC17899366
XP_023632817.1	XM_023777049.1	LOC17897828
XP_006304586.1	XM_006304524.2	LOC17896677
XP_006305470.1	XM_006305408.2	LOC17898439
XP_006305556.1	XM_006305494.2	LOC17900921
XP_006304093.1	XM_006304031.2	LOC17897302
XP_023633153.1	XM_023777385.1	LOC17899090
XP_006307322.1	XM_006307260.2	LOC17899090
XP_006307444.1	XM_006307382.2	LOC17899651
XP_006307162.1	XM_006307100.2	LOC17900309
XP_006303834.1	XM_006303772.2	LOC17899635
XP_006303226.1	XM_006303164.2	LOC17897207
XP_023645347.1	XM_023789579.1	LOC17897207
XP_023645345.1	XM_023789577.1	LOC17897207
XP_023645346.1	XM_023789578.1	LOC17897207
XP_023645351.1	XM_023789583.1	LOC17898690
XP_023645352.1	XM_023789584.1	LOC17898690
XP_006306230.1	XM_006306168.2	LOC17898690
XP_006305805.1	XM_006305743.2	LOC17897116
XP_023645349.1	XM_023789581.1	LOC17898493
XP_006304945.1	XM_006304883.2	LOC17898493
XP_023645348.1	XM_023789580.1	LOC17900272
XP_006307489.1	XM_006307427.2	LOC17897601
XP_006305361.1	XM_006305299.2	LOC17897340
XP_006306728.2	XM_006306666.2	LOC17899248
XP_006306660.1	XM_006306598.2	LOC17899919
XP_006306694.1	XM_006306632.2	LOC17899589
XP_023645268.1	XM_023789500.1	LOC17899589
XP_006306146.2	XM_006306084.2	LOC17899386
XP_023645272.1	XM_023789504.1	LOC111832546
XP_006303859.1	XM_006303797.2	LOC17896657
XP_023645270.1	XM_023789502.1	LOC17898666
XP_023645269.1	XM_023789501.1	LOC111832545
XP_023645271.1	XM_023789503.1	LOC17900873
XP_006305009.1	XM_006304947.2	LOC17897402
XP_023632542.1	XM_023776774.1	LOC17899623
XP_006307466.2	XM_006307404.2	LOC17900753
XP_006305427.2	XM_006305365.2	LOC17897628
XP_006305426.2	XM_006305364.2	LOC17897628
XP_006305017.1	XM_006304955.2	LOC17900792
XP_023632974.1	XM_023777206.1	LOC17900792
XP_006306044.2	XM_006305982.2	LOC17899631
XP_023645676.1	XM_023789908.1	LOC17897279
XP_006306057.1	XM_006305995.2	LOC17898880
XP_006307501.1	XM_006307439.2	LOC17897443
XP_006306794.1	XM_006306732.2	LOC17897352
XP_006305995.1	XM_006305933.2	LOC17899974
XP_023646065.1	XM_023790297.1	LOC17899974
XP_006306523.1	XM_006306461.2	LOC17899753
XP_006306944.1	XM_006306882.2	LOC17898198
XP_006307439.1	XM_006307377.2	LOC17900715
XP_006305712.1	XM_006305650.2	LOC17900516
XP_006306452.1	XM_006306390.2	LOC17898570
XP_006303276.1	XM_006303214.2	LOC17897749
XP_023645835.1	XM_023790067.1	LOC17897749
XP_006307715.1	XM_006307653.2	LOC17899665
XP_006305658.2	XM_006305596.2	LOC17898404
XP_023645748.1	XM_023789980.1	LOC17898219
XP_023645743.1	XM_023789975.1	LOC17898219
XP_023645746.1	XM_023789978.1	LOC17898219
XP_023645745.1	XM_023789977.1	LOC17898219
XP_023645747.1	XM_023789979.1	LOC17898219
XP_023645737.1	XM_023789969.1	LOC17898219
XP_023645741.1	XM_023789973.1	LOC17898219
XP_023645742.1	XM_023789974.1	LOC17898219
XP_023645744.1	XM_023789976.1	LOC17898219
XP_023645740.1	XM_023789972.1	LOC17898219
XP_023645739.1	XM_023789971.1	LOC17898219
XP_023645738.1	XM_023789970.1	LOC17898219
XP_006305692.1	XM_006305630.2	LOC17899812
XP_006305052.1	XM_006304990.2	LOC17898909
XP_006306319.1	XM_006306257.2	LOC17896867
XP_023645692.1	XM_023789924.1	LOC17897254
XP_006304253.1	XM_006304191.2	LOC17898449
XP_006306864.1	XM_006306802.2	LOC17898014
XP_006306750.1	XM_006306688.2	LOC17897131
XP_023645518.1	XM_023789750.1	LOC17897131
XP_023645519.1	XM_023789751.1	LOC17900351
XP_006307390.1	XM_006307328.2	LOC17899995
XP_006303911.1	XM_006303849.2	LOC17900557
XP_006304480.1	XM_006304418.2	LOC17899485
XP_006306056.1	XM_006305994.2	LOC17896693
XP_006305753.1	XM_006305691.2	LOC17897442
XP_006304520.2	XM_006304458.2	LOC17898246
XP_023645335.1	XM_023789567.1	LOC17896973
XP_023645336.1	XM_023789568.1	LOC17896973
XP_023645337.1	XM_023789569.1	LOC17896973
XP_006307283.1	XM_006307221.2	LOC17899793
XP_006305751.2	XM_006305689.2	LOC17899121
XP_006305483.1	XM_006305421.2	LOC17898244
XP_006304423.1	XM_006304361.2	LOC17900497
XP_006303676.1	XM_006303614.2	LOC17898069
XP_006306303.1	XM_006306241.2	LOC17899766
XP_023632811.1	XM_023777043.1	LOC17897567
XP_006305353.2	XM_006305291.2	LOC17897567
XP_006305479.1	XM_006305417.2	LOC17897398
XP_023645712.1	XM_023789944.1	LOC17900493
XP_023645730.1	XM_023789962.1	LOC17900716
XP_023645731.1	XM_023789963.1	LOC17900716
XP_023645729.1	XM_023789961.1	LOC17900716
XP_006303945.1	XM_006303883.2	LOC17900716
XP_023645629.1	XM_023789861.1	LOC17900574
XP_006304592.1	XM_006304530.2	LOC17897020
XP_006305614.1	XM_006305552.2	LOC17898445
XP_023645228.1	XM_023789460.1	LOC17897452
XP_023645229.1	XM_023789461.1	LOC17897452
XP_023645231.1	XM_023789463.1	LOC17897452
XP_023645232.1	XM_023789464.1	LOC17897452
XP_023645233.1	XM_023789465.1	LOC17897452
XP_006304565.1	XM_006304503.2	LOC17897635
XP_023645415.1	XM_023789647.1	LOC111832558
XP_023645416.1	XM_023789648.1	LOC17897987
XP_006306477.1	XM_006306415.2	LOC17897478
XP_006304640.1	XM_006304578.2	LOC17897869
XP_023645531.1	XM_023789763.1	LOC17897162
XP_023645530.1	XM_023789762.1	LOC17897162
XP_023645370.1	XM_023789602.1	LOC17898472
XP_023645197.1	XM_023789429.1	LOC17899963
XP_006304427.1	XM_006304365.2	LOC17899963
XP_006304095.1	XM_006304033.2	LOC17898073
XP_023645551.1	XM_023789783.1	LOC17899092
XP_006306909.1	XM_006306847.2	LOC17899092
XP_023645549.1	XM_023789781.1	LOC17899092
XP_023645550.1	XM_023789782.1	LOC17899092
XP_006306368.1	XM_006306306.2	LOC17898307
XP_006304405.1	XM_006304343.2	LOC17900148
XP_023644666.1	XM_023788898.1	LOC17900148
XP_023644667.1	XM_023788899.1	LOC17900148
XP_023645021.1	XM_023789253.1	LOC17897477
XP_023645025.1	XM_023789257.1	LOC17899003
XP_023645024.1	XM_023789256.1	LOC17899003
XP_023645023.1	XM_023789255.1	LOC17899003
XP_023645022.1	XM_023789254.1	LOC17899003
XP_006304967.1	XM_006304905.2	LOC17898929
XP_006306584.1	XM_006306522.2	LOC17900653
XP_023644462.1	XM_023788694.1	LOC17900645
XP_006304626.1	XM_006304564.2	LOC17896952
XP_023644461.1	XM_023788693.1	LOC17896952
XP_006306506.2	XM_006306444.2	LOC17899443
XP_006303136.1	XM_006303074.2	LOC17897525
XP_006307240.2	XM_006307178.2	LOC17900304
XP_006307620.1	XM_006307558.2	LOC17898846
XP_006305335.1	XM_006305273.2	LOC17900025
XP_006303915.1	XM_006303853.2	LOC17897382
XP_023632912.1	XM_023777144.1	LOC17899488
XP_023632913.1	XM_023777145.1	LOC17899488
XP_006307251.1	XM_006307189.2	LOC17897688
XP_023632552.1	XM_023776784.1	LOC17896721
XP_006304378.2	XM_006304316.2	LOC17896721
XP_006305659.1	XM_006305597.2	LOC17899854
XP_006304183.1	XM_006304121.2	LOC17898220
XP_006303636.1	XM_006303574.2	LOC17900370
XP_006303184.2	XM_006303122.2	LOC17897041
XP_006306530.1	XM_006306468.2	LOC17898373
XP_006303380.1	XM_006303318.2	LOC17898757
XP_023644656.1	XM_023788888.1	LOC17899805
XP_006306324.1	XM_006306262.2	LOC17899805
XP_023644655.1	XM_023788887.1	LOC17899805
XP_023644657.1	XM_023788889.1	LOC17899805
XP_023645675.1	XM_023789907.1	LOC17897259
XP_006306986.1	XM_006306924.2	LOC17897259
XP_006303192.1	XM_006303130.2	LOC17900627
XP_006304220.2	XM_006304158.2	LOC17898381
XP_006303772.1	XM_006303710.2	LOC17898527
XP_006305893.1	XM_006305831.1	LOC17900327
XP_006306485.1	XM_006306423.2	LOC17899959
XP_023645948.1	XM_023790180.1	LOC17897877
XP_023632757.1	XM_023776989.1	LOC111828617
XP_023632758.1	XM_023776990.1	LOC111828617
XP_023645141.1	XM_023789373.1	LOC17898184
XP_023645142.1	XM_023789374.1	LOC17898184
XP_023645479.1	XM_023789711.1	LOC111832567
XP_023645343.1	XM_023789575.1	LOC17900411
XP_006305986.1	XM_006305924.2	LOC17897640
XP_006303777.1	XM_006303715.2	LOC17899833
XP_006304014.1	XM_006303952.2	LOC17900332
XP_023645673.1	XM_023789905.1	LOC17898024
XP_006303814.1	XM_006303752.2	LOC17898024
XP_006305792.2	XM_006305730.2	LOC17898592
XP_006306347.1	XM_006306285.2	LOC17898355
XP_006304841.1	XM_006304779.2	LOC17898969
XP_006305943.1	XM_006305881.2	LOC17897654
XP_006305045.1	XM_006304983.2	LOC17899611
XP_006307243.1	XM_006307181.2	LOC17896860
XP_006305424.1	XM_006305362.2	LOC17898849
XP_006303252.1	XM_006303190.2	LOC17900790
XP_006303752.1	XM_006303690.2	LOC17899174
XP_006304026.1	XM_006303964.2	LOC17897808
XP_006304286.1	XM_006304224.2	LOC17898036
XP_006306448.1	XM_006306386.2	LOC17897683
XP_006303956.1	XM_006303894.2	LOC17899913
XP_023645020.1	XM_023789252.1	LOC17900582
XP_006305933.1	XM_006305871.2	LOC17900582
XP_006304991.2	XM_006304929.2	LOC17899601
XP_023645863.1	XM_023790095.1	LOC17900930
XP_023645864.1	XM_023790096.1	LOC17900930
XP_006303679.1	XM_006303617.2	LOC17897566
XP_023644388.1	XM_023788620.1	LOC17899769
XP_006304690.1	XM_006304628.2	LOC17899769
XP_006304294.1	XM_006304232.2	LOC17897110
XP_006303397.1	XM_006303335.2	LOC17898317
XP_006305536.2	XM_006305474.2	LOC17897403
XP_023644389.1	XM_023788621.1	LOC17897403
XP_006304426.1	XM_006304364.2	LOC17896894
XP_006306681.1	XM_006306619.2	LOC17898072
XP_023645916.1	XM_023790148.1	LOC111832637
XP_006304784.1	XM_006304722.2	LOC17896836
XP_006307575.1	XM_006307513.2	LOC17900129
XP_006305336.1	XM_006305274.2	LOC17898625
XP_006303648.1	XM_006303586.2	LOC17897383
XP_006306939.1	XM_006306877.2	LOC17899160
XP_006307517.1	XM_006307455.2	LOC17900710
XP_023632923.1	XM_023777155.1	LOC17898786
XP_023632922.1	XM_023777154.1	LOC17898786
XP_006304190.1	XM_006304128.2	LOC17900638
XP_006306317.1	XM_006306255.2	LOC17900377
XP_006305438.1	XM_006305376.2	LOC17897252
XP_023645012.1	XM_023789244.1	LOC111832518
XP_023645011.1	XM_023789243.1	LOC17899142
XP_006307005.1	XM_006306943.2	LOC17899494
XP_023645130.1	XM_023789362.1	LOC111832530
XP_006306675.1	XM_006306613.2	LOC17900897
XP_006307498.1	XM_006307436.2	LOC17896832
XP_023632854.1	XM_023777086.1	LOC17896832
XP_006306938.2	XM_006306876.2	LOC17898504
XP_006304447.1	XM_006304385.2	LOC17900709
XP_006306689.1	XM_006306627.2	LOC17900550
XP_006306690.1	XM_006306628.2	LOC17900550
XP_023645278.1	XM_023789510.1	LOC17900550
XP_023645279.1	XM_023789511.1	LOC17900550
XP_006305064.1	XM_006305002.2	LOC17899382
XP_006303497.2	XM_006303435.2	LOC17896742
XP_006306024.2	XM_006305962.2	LOC17899402
XP_006305960.1	XM_006305898.2	LOC17896716
XP_006303975.1	XM_006303913.2	LOC17900106
XP_006306646.1	XM_006306584.2	LOC17900430
XP_006304033.1	XM_006303971.2	LOC17897684
XP_023644966.1	XM_023789198.1	LOC111832513
XP_023644967.1	XM_023789199.1	LOC111832513
XP_023644965.1	XM_023789197.1	LOC17898043
XP_023645133.1	XM_023789365.1	LOC17899583
XP_006307177.1	XM_006307115.2	LOC17899583
XP_023645134.1	XM_023789366.1	LOC17899717
XP_023645135.1	XM_023789367.1	LOC17899717
XP_006307306.1	XM_006307244.2	LOC17900725
XP_006306333.1	XM_006306271.2	LOC17898938
XP_023644766.1	XM_023788998.1	LOC17898938
XP_006304927.1	XM_006304865.2	LOC17898882
XP_023632804.1	XM_023777036.1	LOC17899004
XP_006304089.2	XM_006304027.2	LOC17897731
XP_006304088.2	XM_006304026.2	LOC17897731
XP_023644982.1	XM_023789214.1	LOC17898215
XP_006305365.1	XM_006305303.2	LOC17898510
XP_006306965.1	XM_006306903.2	LOC17899251
XP_006304652.1	XM_006304590.2	LOC17900292
XP_006307618.1	XM_006307556.2	LOC17897174
XP_006305937.2	XM_006305875.2	LOC17900023
XP_006306085.2	XM_006306023.2	LOC17899605
XP_006303288.1	XM_006303226.2	LOC17898420
XP_006303477.2	XM_006303415.2	LOC17900502
XP_023645772.1	XM_023790004.1	LOC17900247
XP_023645771.1	XM_023790003.1	LOC17900247
XP_023645770.1	XM_023790002.1	LOC17900247
