protein	mRNA	gene
XP_018434870.1	XM_018579368.1	LOC108807111
XP_018465158.1	XM_018609656.1	LOC108836470
XP_018486658.1	XM_018631156.1	LOC108857200
XP_018482313.1	XM_018626811.1	LOC108853392
XP_018436384.1	XM_018580882.1	LOC108808775
XP_018436388.1	XM_018580886.1	LOC108808775
XP_018436378.1	XM_018580876.1	LOC108808775
XP_018436364.1	XM_018580862.1	LOC108808756
XP_018436371.1	XM_018580869.1	LOC108808764
XP_018441803.1	XM_018586301.1	LOC108813669
XP_018441792.1	XM_018586290.1	LOC108813660
XP_018479301.1	XM_018623799.1	LOC108850201
XP_018474670.1	XM_018619168.1	LOC108845934
XP_018435050.1	XM_018579548.1	LOC108807252
XP_018470686.1	XM_018615184.1	LOC108842312
XP_018485928.1	XM_018630426.1	LOC108856584
XP_018438624.1	XM_018583122.1	LOC108811043
XP_018438618.1	XM_018583116.1	LOC108811043
XP_018438629.1	XM_018583127.1	LOC108811043
XP_018438611.1	XM_018583109.1	LOC108811043
XP_018440446.1	XM_018584944.1	LOC108812627
XP_018470171.1	XM_018614669.1	LOC108841885
XP_018436138.1	XM_018580636.1	LOC108808501
XP_018436144.1	XM_018580642.1	LOC108808509
XP_018476450.1	XM_018620948.1	LOC108847621
XP_018492373.1	XM_018636871.1	LOC108862661
XP_018487546.1	XM_018632044.1	LOC108858057
XP_018489093.1	XM_018633591.1	LOC108859680
XP_018482512.1	XM_018627010.1	LOC108853597
XP_018480292.1	XM_018624790.1	LOC108851368
XP_018470710.1	XM_018615208.1	LOC108842329
XP_018487599.1	XM_018632097.1	LOC108858121
XP_018489082.1	XM_018633580.1	LOC108859669
XP_018482447.1	XM_018626945.1	LOC108853529
XP_018440887.1	XM_018585385.1	LOC108812974
XP_018440876.1	XM_018585374.1	LOC108812958
XP_018440868.1	XM_018585366.1	LOC108812958
XP_018432999.1	XM_018577497.1	LOC108805568
XP_018433008.1	XM_018577506.1	LOC108805582
XP_018437812.1	XM_018582310.1	LOC108810178
XP_018482580.1	XM_018627078.1	LOC108853661
XP_018441162.1	XM_018585660.1	LOC108813180
XP_018470484.1	XM_018614982.1	LOC108842152
XP_018481967.1	XM_018626465.1	LOC108852997
XP_018470720.1	XM_018615218.1	LOC108842340
XP_018490856.1	XM_018635354.1	LOC108861479
XP_018486865.1	XM_018631363.1	LOC108857348
XP_018486753.1	XM_018631251.1	LOC108857255
XP_018490428.1	XM_018634926.1	LOC108861096
XP_018490417.1	XM_018634915.1	LOC108861086
XP_018490437.1	XM_018634935.1	LOC108861106
XP_018490449.1	XM_018634947.1	LOC108861116
XP_018490473.1	XM_018634971.1	LOC108861127
XP_018490458.1	XM_018634956.1	LOC108861127
XP_018490465.1	XM_018634963.1	LOC108861127
XP_018490479.1	XM_018634977.1	LOC108861127
XP_018432605.1	XM_018577103.1	LOC108805131
XP_018432594.1	XM_018577092.1	LOC108805120
XP_018480401.1	XM_018624899.1	LOC108851455
XP_018480393.1	XM_018624891.1	LOC108851455
XP_018469175.1	XM_018613673.1	LOC108840858
XP_018470731.1	XM_018615229.1	LOC108842350
XP_018485376.1	XM_018629874.1	LOC108856040
XP_018492222.1	XM_018636720.1	LOC108862555
XP_018470744.1	XM_018615242.1	LOC108842358
XP_018470754.1	XM_018615252.1	LOC108842365
XP_018492211.1	XM_018636709.1	LOC108862546
XP_018492302.1	XM_018636800.1	LOC108862610
XP_018492201.1	XM_018636699.1	LOC108862536
XP_018492258.1	XM_018636756.1	LOC108862580
XP_018492271.1	XM_018636769.1	LOC108862589
XP_018492279.1	XM_018636777.1	LOC108862589
XP_018492235.1	XM_018636733.1	LOC108862563
XP_018492246.1	XM_018636744.1	LOC108862569
XP_018492291.1	XM_018636789.1	LOC108862600
XP_018482397.1	XM_018626895.1	LOC108853480
XP_018482388.1	XM_018626886.1	LOC108853462
XP_018482381.1	XM_018626879.1	LOC108853462
XP_018470768.1	XM_018615266.1	LOC108842370
XP_018455109.1	XM_018599607.1	LOC108825905
XP_018469938.1	XM_018614436.1	LOC108841673
XP_018469948.1	XM_018614446.1	LOC108841684
XP_018480849.1	XM_018625347.1	LOC108851869
XP_018491693.1	XM_018636191.1	LOC108862052
XP_018491615.1	XM_018636113.1	LOC108862052
XP_018442025.1	XM_018586523.1	LOC108813847
XP_018467639.1	XM_018612137.1	LOC108839361
XP_018470534.1	XM_018615032.1	LOC108842191
XP_018482591.1	XM_018627089.1	LOC108853669
XP_018482598.1	XM_018627096.1	LOC108853669
XP_018459031.1	XM_018603529.1	LOC108829642
XP_018468984.1	XM_018613482.1	LOC108840652
XP_018435014.1	XM_018579512.1	LOC108806945
XP_018469920.1	XM_018614418.1	LOC108841654
XP_018463539.1	XM_018608037.1	LOC108834683
XP_018468351.1	XM_018612849.1	LOC108840033
XP_018469773.1	XM_018614271.1	LOC108841508
XP_018469783.1	XM_018614281.1	LOC108841518
XP_018443120.1	XM_018587618.1	LOC108814959
XP_018443129.1	XM_018587627.1	LOC108814970
XP_018443139.1	XM_018587637.1	LOC108814980
XP_018452062.1	XM_018596560.1	LOC108823343
XP_018475267.1	XM_018619765.1	LOC108846506
XP_018487488.1	XM_018631986.1	LOC108857987
XP_018470791.1	XM_018615289.1	LOC108842388
XP_018470802.1	XM_018615300.1	LOC108842397
XP_018491610.1	XM_018636108.1	LOC108862079
XP_018436287.1	XM_018580785.1	LOC108808669
XP_018480619.1	XM_018625117.1	LOC108851655
XP_018480609.1	XM_018625107.1	LOC108851645
XP_018432785.1	XM_018577283.1	LOC108805276
XP_018470835.1	XM_018615333.1	LOC108842423
XP_018432757.1	XM_018577255.1	LOC108805255
XP_018432771.1	XM_018577269.1	LOC108805268
XP_018432745.1	XM_018577243.1	LOC108805244
XP_018463860.1	XM_018608358.1	LOC108835016
XP_018440212.1	XM_018584710.1	LOC108812419
XP_018470847.1	XM_018615345.1	LOC108842432
XP_018483584.1	XM_018628082.1	LOC108854505
XP_018492614.1	XM_018637112.1	LOC108862850
XP_018484346.1	XM_018628844.1	LOC108855116
XP_018470147.1	XM_018614645.1	LOC108841864
XP_018484040.1	XM_018628538.1	LOC108854867
XP_018480465.1	XM_018624963.1	LOC108851521
XP_018480789.1	XM_018625287.1	LOC108851817
XP_018480797.1	XM_018625295.1	LOC108851817
XP_018475420.1	XM_018619918.1	LOC108846611
XP_018475359.1	XM_018619857.1	LOC108846611
XP_018475504.1	XM_018620002.1	LOC108846779
XP_018451072.1	XM_018595570.1	LOC108822452
XP_018448117.1	XM_018592615.1	LOC108819463
XP_018448042.1	XM_018592540.1	LOC108819463
XP_018448181.1	XM_018592679.1	LOC108819463
XP_018437210.1	XM_018581708.1	LOC108809559
XP_018437218.1	XM_018581716.1	LOC108809559
XP_018437202.1	XM_018581700.1	LOC108809559
XP_018481298.1	XM_018625796.1	LOC108852289
XP_018482135.1	XM_018626633.1	LOC108853181
XP_018468815.1	XM_018613313.1	LOC108840481
XP_018488167.1	XM_018632665.1	LOC108858791
XP_018487647.1	XM_018632145.1	LOC108858180
XP_018467733.1	XM_018612231.1	LOC108839474
XP_018438061.1	XM_018582559.1	LOC108810448
XP_018438047.1	XM_018582545.1	LOC108810430
XP_018438053.1	XM_018582551.1	LOC108810430
XP_018466088.1	XM_018610586.1	LOC108837520
XP_018485380.1	XM_018629878.1	LOC108856088
XP_018439189.1	XM_018583687.1	LOC108811617
XP_018439199.1	XM_018583697.1	LOC108811626
XP_018487766.1	XM_018632264.1	LOC108858312
XP_018488305.1	XM_018632803.1	LOC108858957
XP_018488310.1	XM_018632808.1	LOC108858957
XP_018433541.1	XM_018578039.1	LOC108806024
XP_018433553.1	XM_018578051.1	LOC108806032
XP_018433520.1	XM_018578018.1	LOC108806006
XP_018433531.1	XM_018578029.1	LOC108806015
XP_018480967.1	XM_018625465.1	LOC108851981
XP_018485669.1	XM_018630167.1	LOC108856381
XP_018484309.1	XM_018628807.1	LOC108855092
XP_018470860.1	XM_018615358.1	LOC108842440
XP_018442209.1	XM_018586707.1	LOC108814190
XP_018442216.1	XM_018586714.1	LOC108814190
XP_018438040.1	XM_018582538.1	LOC108810394
XP_018438107.1	XM_018582605.1	LOC108810394
XP_018443264.1	XM_018587762.1	LOC108815099
XP_018470872.1	XM_018615370.1	LOC108842449
XP_018470883.1	XM_018615381.1	LOC108842458
XP_018481388.1	XM_018625886.1	LOC108852382
XP_018441218.1	XM_018585716.1	LOC108813221
XP_018441205.1	XM_018585703.1	LOC108813210
XP_018482767.1	XM_018627265.1	LOC108853819
XP_018482737.1	XM_018627235.1	LOC108853790
XP_018482711.1	XM_018627209.1	LOC108853771
XP_018482728.1	XM_018627226.1	LOC108853771
XP_018482721.1	XM_018627219.1	LOC108853771
XP_018482748.1	XM_018627246.1	LOC108853800
XP_018482759.1	XM_018627257.1	LOC108853810
XP_018482805.1	XM_018627303.1	LOC108853851
XP_018482818.1	XM_018627316.1	LOC108853851
XP_018482811.1	XM_018627309.1	LOC108853851
XP_018482779.1	XM_018627277.1	LOC108853829
XP_018482793.1	XM_018627291.1	LOC108853829
XP_018482786.1	XM_018627284.1	LOC108853829
XP_018482839.1	XM_018627337.1	LOC108853870
XP_018482831.1	XM_018627329.1	LOC108853870
XP_018482855.1	XM_018627353.1	LOC108853870
XP_018482845.1	XM_018627343.1	LOC108853870
XP_018438622.1	XM_018583120.1	LOC108811022
XP_018470245.1	XM_018614743.1	LOC108841955
XP_018470894.1	XM_018615392.1	LOC108842468
XP_018486853.1	XM_018631351.1	LOC108857367
XP_018470906.1	XM_018615404.1	LOC108842480
XP_018479557.1	XM_018624055.1	LOC108850532
XP_018479563.1	XM_018624061.1	LOC108850532
XP_018479553.1	XM_018624051.1	LOC108850532
XP_018479559.1	XM_018624057.1	LOC108850532
XP_018443154.1	XM_018587652.1	LOC108814962
XP_018470917.1	XM_018615415.1	LOC108842489
XP_018440100.1	XM_018584598.1	LOC108812322
XP_018470087.1	XM_018614585.1	LOC108841816
XP_018470928.1	XM_018615426.1	LOC108842499
XP_018486622.1	XM_018631120.1	LOC108857172
XP_018470942.1	XM_018615440.1	LOC108842506
XP_018470401.1	XM_018614899.1	LOC108842080
XP_018470415.1	XM_018614913.1	LOC108842080
XP_018470395.1	XM_018614893.1	LOC108842080
XP_018470409.1	XM_018614907.1	LOC108842080
XP_018444023.1	XM_018588521.1	LOC108815940
XP_018470954.1	XM_018615452.1	LOC108842514
XP_018490539.1	XM_018635037.1	LOC108861206
XP_018490546.1	XM_018635044.1	LOC108861206
XP_018490500.1	XM_018634998.1	LOC108861166
XP_018490511.1	XM_018635009.1	LOC108861178
XP_018490518.1	XM_018635016.1	LOC108861178
XP_018490528.1	XM_018635026.1	LOC108861195
XP_018469593.1	XM_018614091.1	LOC108841317
XP_018469599.1	XM_018614097.1	LOC108841317
XP_018469574.1	XM_018614072.1	LOC108841295
XP_018467331.1	XM_018611829.1	LOC108838947
XP_018478185.1	XM_018622683.1	LOC108848904
XP_018477973.1	XM_018622471.1	LOC108848904
XP_018478117.1	XM_018622615.1	LOC108848904
XP_018478391.1	XM_018622889.1	LOC108848904
XP_018478043.1	XM_018622541.1	LOC108848904
XP_018478332.1	XM_018622830.1	LOC108848904
XP_018477898.1	XM_018622396.1	LOC108848904
XP_018478261.1	XM_018622759.1	LOC108848904
XP_018478466.1	XM_018622964.1	LOC108848904
XP_018477724.1	XM_018622222.1	LOC108848752
XP_018477795.1	XM_018622293.1	LOC108848752
XP_018485372.1	XM_018629870.1	LOC108855950
XP_018470976.1	XM_018615474.1	LOC108842530
XP_018491149.1	XM_018635647.1	LOC108861708
XP_018470989.1	XM_018615487.1	LOC108842539
XP_018470349.1	XM_018614847.1	LOC108842040
XP_018493556.1	XM_018638054.1	LOC108863583
XP_018441733.1	XM_018586231.1	LOC108813619
XP_018441740.1	XM_018586238.1	LOC108813619
XP_018484520.1	XM_018629018.1	LOC108855245
XP_018442047.1	XM_018586545.1	LOC108813866
XP_018442056.1	XM_018586554.1	LOC108813866
XP_018436837.1	XM_018581335.1	LOC108809194
XP_018452176.1	XM_018596674.1	LOC108823436
XP_018471000.1	XM_018615498.1	LOC108842547
XP_018479619.1	XM_018624117.1	LOC108850620
XP_018479624.1	XM_018624122.1	LOC108850620
XP_018479655.1	XM_018624153.1	LOC108850657
XP_018479598.1	XM_018624096.1	LOC108850592
XP_018479602.1	XM_018624100.1	LOC108850592
XP_018479627.1	XM_018624125.1	LOC108850626
XP_018479637.1	XM_018624135.1	LOC108850637
XP_018479577.1	XM_018624075.1	LOC108850559
XP_018479574.1	XM_018624072.1	LOC108850559
XP_018479578.1	XM_018624076.1	LOC108850559
XP_018479647.1	XM_018624145.1	LOC108850647
XP_018479588.1	XM_018624086.1	LOC108850570
XP_018479584.1	XM_018624082.1	LOC108850570
XP_018479592.1	XM_018624090.1	LOC108850570
XP_018479593.1	XM_018624091.1	LOC108850588
XP_018479663.1	XM_018624161.1	LOC108850667
XP_018479631.1	XM_018624129.1	LOC108850629
XP_018471011.1	XM_018615509.1	LOC108842557
XP_018479613.1	XM_018624111.1	LOC108850611
XP_018479608.1	XM_018624106.1	LOC108850605
XP_018480413.1	XM_018624911.1	LOC108851470
XP_018471050.1	XM_018615548.1	LOC108842574
XP_018479322.1	XM_018623820.1	LOC108850249
XP_018479327.1	XM_018623825.1	LOC108850249
XP_018439908.1	XM_018584406.1	LOC108812213
XP_018439889.1	XM_018584387.1	LOC108812196
XP_018439897.1	XM_018584395.1	LOC108812196
XP_018471061.1	XM_018615559.1	LOC108842585
XP_018455110.1	XM_018599608.1	LOC108826193
XP_018483082.1	XM_018627580.1	LOC108854075
XP_018484715.1	XM_018629213.1	LOC108855401
XP_018441423.1	XM_018585921.1	LOC108813378
XP_018441434.1	XM_018585932.1	LOC108813389
XP_018471082.1	XM_018615580.1	LOC108842603
XP_018482889.1	XM_018627387.1	LOC108853906
XP_018490390.1	XM_018634888.1	LOC108861055
XP_018490379.1	XM_018634877.1	LOC108861044
XP_018488081.1	XM_018632579.1	LOC108858695
XP_018488087.1	XM_018632585.1	LOC108858695
XP_018488124.1	XM_018632622.1	LOC108858705
XP_018488092.1	XM_018632590.1	LOC108858705
XP_018488097.1	XM_018632595.1	LOC108858705
XP_018488117.1	XM_018632615.1	LOC108858705
XP_018488104.1	XM_018632602.1	LOC108858705
XP_018488111.1	XM_018632609.1	LOC108858705
XP_018488135.1	XM_018632633.1	LOC108858754
XP_018488142.1	XM_018632640.1	LOC108858764
XP_018488128.1	XM_018632626.1	LOC108858744
XP_018488149.1	XM_018632647.1	LOC108858773
XP_018437554.1	XM_018582052.1	LOC108809914
XP_018442369.1	XM_018586867.1	LOC108814319
XP_018442377.1	XM_018586875.1	LOC108814319
XP_018487133.1	XM_018631631.1	LOC108857626
XP_018436924.1	XM_018581422.1	LOC108809246
XP_018436821.1	XM_018581319.1	LOC108808959
XP_018436751.1	XM_018581249.1	LOC108808959
XP_018436679.1	XM_018581177.1	LOC108808959
XP_018436608.1	XM_018581106.1	LOC108808959
XP_018487915.1	XM_018632413.1	LOC108858495
XP_018487923.1	XM_018632421.1	LOC108858495
XP_018476847.1	XM_018621345.1	LOC108847931
XP_018479838.1	XM_018624336.1	LOC108850846
XP_018452694.1	XM_018597192.1	LOC108823862
XP_018471106.1	XM_018615604.1	LOC108842621
XP_018480045.1	XM_018624543.1	LOC108851124
XP_018443296.1	XM_018587794.1	LOC108815136
XP_018443303.1	XM_018587801.1	LOC108815147
XP_018487611.1	XM_018632109.1	LOC108858138
XP_018435517.1	XM_018580015.1	LOC108807769
XP_018435550.1	XM_018580048.1	LOC108807801
XP_018435539.1	XM_018580037.1	LOC108807791
XP_018435528.1	XM_018580026.1	LOC108807778
XP_018435532.1	XM_018580030.1	LOC108807778
XP_018435553.1	XM_018580051.1	LOC108807808
XP_018471126.1	XM_018615624.1	LOC108842641
XP_018487403.1	XM_018631901.1	LOC108857887
XP_018437503.1	XM_018582001.1	LOC108809863
XP_018482604.1	XM_018627102.1	LOC108853655
XP_018489646.1	XM_018634144.1	LOC108860239
XP_018437802.1	XM_018582300.1	LOC108810167
XP_018490769.1	XM_018635267.1	LOC108861407
XP_018490803.1	XM_018635301.1	LOC108861435
XP_018490792.1	XM_018635290.1	LOC108861426
XP_018490813.1	XM_018635311.1	LOC108861445
XP_018490781.1	XM_018635279.1	LOC108861416
XP_018435970.1	XM_018580468.1	LOC108808277
XP_018436042.1	XM_018580540.1	LOC108808353
XP_018441659.1	XM_018586157.1	LOC108813569
XP_018441680.1	XM_018586178.1	LOC108813578
XP_018441671.1	XM_018586169.1	LOC108813578
XP_018441688.1	XM_018586186.1	LOC108813578
XP_018484111.1	XM_018628609.1	LOC108854928
XP_018488865.1	XM_018633363.1	LOC108859457
XP_018482098.1	XM_018626596.1	LOC108853138
XP_018469140.1	XM_018613638.1	LOC108840816
XP_018471147.1	XM_018615645.1	LOC108842662
XP_018471157.1	XM_018615655.1	LOC108842672
XP_018440698.1	XM_018585196.1	LOC108812824
XP_018440686.1	XM_018585184.1	LOC108812813
XP_018480032.1	XM_018624530.1	LOC108851109
XP_018443435.1	XM_018587933.1	LOC108815287
XP_018478631.1	XM_018623129.1	LOC108849474
XP_018478564.1	XM_018623062.1	LOC108849474
XP_018478705.1	XM_018623203.1	LOC108849474
XP_018485529.1	XM_018630027.1	LOC108856258
XP_018443390.1	XM_018587888.1	LOC108815241
XP_018443380.1	XM_018587878.1	LOC108815222
XP_018443372.1	XM_018587870.1	LOC108815222
XP_018440907.1	XM_018585405.1	LOC108812961
XP_018441141.1	XM_018585639.1	LOC108813164
XP_018441128.1	XM_018585626.1	LOC108813154
XP_018485968.1	XM_018630466.1	LOC108856615
XP_018471170.1	XM_018615668.1	LOC108842682
XP_018471180.1	XM_018615678.1	LOC108842688
XP_018484978.1	XM_018629476.1	LOC108855612
XP_018471192.1	XM_018615690.1	LOC108842697
XP_018487630.1	XM_018632128.1	LOC108858161
XP_018440678.1	XM_018585176.1	LOC108812784
XP_018492118.1	XM_018636616.1	LOC108862474
XP_018471203.1	XM_018615701.1	LOC108842705
XP_018439273.1	XM_018583771.1	LOC108811681
XP_018488854.1	XM_018633352.1	LOC108859447
XP_018490919.1	XM_018635417.1	LOC108861532
XP_018490927.1	XM_018635425.1	LOC108861532
XP_018490935.1	XM_018635433.1	LOC108861532
XP_018490961.1	XM_018635459.1	LOC108861561
XP_018490949.1	XM_018635447.1	LOC108861551
XP_018471215.1	XM_018615713.1	LOC108842714
XP_018479055.1	XM_018623553.1	LOC108849930
XP_018487811.1	XM_018632309.1	LOC108858366
XP_018480626.1	XM_018625124.1	LOC108851630
XP_018440511.1	XM_018585009.1	LOC108812680
XP_018447643.1	XM_018592141.1	LOC108819119
XP_018447753.1	XM_018592251.1	LOC108819218
XP_018447825.1	XM_018592323.1	LOC108819218
XP_018487839.1	XM_018632337.1	LOC108858406
XP_018479136.1	XM_018623634.1	LOC108850047
XP_018479338.1	XM_018623836.1	LOC108850268
XP_018487121.1	XM_018631619.1	LOC108857615
XP_018487377.1	XM_018631875.1	LOC108857858
XP_018487844.1	XM_018632342.1	LOC108858413
XP_018468080.1	XM_018612578.1	LOC108839801
XP_018468088.1	XM_018612586.1	LOC108839801
XP_018468101.1	XM_018612599.1	LOC108839801
XP_018488995.1	XM_018633493.1	LOC108859581
XP_018437860.1	XM_018582358.1	LOC108810198
XP_018481810.1	XM_018626308.1	LOC108852826
XP_018481821.1	XM_018626319.1	LOC108852836
XP_018471238.1	XM_018615736.1	LOC108842731
XP_018439430.1	XM_018583928.1	LOC108811800
XP_018471252.1	XM_018615750.1	LOC108842740
XP_018468752.1	XM_018613250.1	LOC108840415
XP_018472809.1	XM_018617307.1	LOC108844098
XP_018436938.1	XM_018581436.1	LOC108809289
XP_018436950.1	XM_018581448.1	LOC108809298
XP_018436957.1	XM_018581455.1	LOC108809298
XP_018483990.1	XM_018628488.1	LOC108854817
XP_018467669.1	XM_018612167.1	LOC108839395
XP_018468597.1	XM_018613095.1	LOC108840254
XP_018482548.1	XM_018627046.1	LOC108853633
XP_018471263.1	XM_018615761.1	LOC108842748
XP_018435791.1	XM_018580289.1	LOC108808089
XP_018435785.1	XM_018580283.1	LOC108808081
XP_018441607.1	XM_018586105.1	LOC108813523
XP_018441618.1	XM_018586116.1	LOC108813530
XP_018486741.1	XM_018631239.1	LOC108857278
XP_018442035.1	XM_018586533.1	LOC108813857
XP_018489036.1	XM_018633534.1	LOC108859622
XP_018441251.1	XM_018585749.1	LOC108813249
XP_018441278.1	XM_018585776.1	LOC108813249
XP_018441269.1	XM_018585767.1	LOC108813249
XP_018441261.1	XM_018585759.1	LOC108813249
XP_018491919.1	XM_018636417.1	LOC108862295
XP_018463367.1	XM_018607865.1	LOC108834499
XP_018432869.1	XM_018577367.1	LOC108805338
XP_018432861.1	XM_018577359.1	LOC108805338
XP_018486190.1	XM_018630688.1	LOC108856799
XP_018471288.1	XM_018615786.1	LOC108842763
XP_018487864.1	XM_018632362.1	LOC108858435
XP_018434647.1	XM_018579145.1	LOC108806928
XP_018434658.1	XM_018579156.1	LOC108806937
XP_018434671.1	XM_018579169.1	LOC108806937
XP_018434678.1	XM_018579176.1	LOC108806937
XP_018434664.1	XM_018579162.1	LOC108806937
XP_018434687.1	XM_018579185.1	LOC108806937
XP_018434706.1	XM_018579204.1	LOC108806969
XP_018434700.1	XM_018579198.1	LOC108806969
XP_018471320.1	XM_018615818.1	LOC108842791
XP_018471332.1	XM_018615830.1	LOC108842799
XP_018434727.1	XM_018579225.1	LOC108806996
XP_018434734.1	XM_018579232.1	LOC108806996
XP_018434747.1	XM_018579245.1	LOC108807010
XP_018434717.1	XM_018579215.1	LOC108806985
XP_018471342.1	XM_018615840.1	LOC108842810
XP_018471355.1	XM_018615853.1	LOC108842818
XP_018471365.1	XM_018615863.1	LOC108842826
XP_018471377.1	XM_018615875.1	LOC108842836
XP_018481054.1	XM_018625552.1	LOC108852055
XP_018481047.1	XM_018625545.1	LOC108852055
XP_018481501.1	XM_018625999.1	LOC108852491
XP_018481505.1	XM_018626003.1	LOC108852491
XP_018486679.1	XM_018631177.1	LOC108857220
XP_018471389.1	XM_018615887.1	LOC108842845
XP_018471402.1	XM_018615900.1	LOC108842854
XP_018471423.1	XM_018615921.1	LOC108842874
XP_018438277.1	XM_018582775.1	LOC108810670
XP_018489682.1	XM_018634180.1	LOC108860281
XP_018489693.1	XM_018634191.1	LOC108860290
XP_018489664.1	XM_018634162.1	LOC108860261
XP_018489673.1	XM_018634171.1	LOC108860270
XP_018489730.1	XM_018634228.1	LOC108860314
XP_018489723.1	XM_018634221.1	LOC108860314
XP_018489718.1	XM_018634216.1	LOC108860314
XP_018489736.1	XM_018634234.1	LOC108860334
XP_018489703.1	XM_018634201.1	LOC108860300
XP_018489711.1	XM_018634209.1	LOC108860300
XP_018488174.1	XM_018632672.1	LOC108858801
XP_018467659.1	XM_018612157.1	LOC108839378
XP_018467652.1	XM_018612150.1	LOC108839378
XP_018467665.1	XM_018612163.1	LOC108839378
XP_018468000.1	XM_018612498.1	LOC108839708
XP_018467993.1	XM_018612491.1	LOC108839708
XP_018467989.1	XM_018612487.1	LOC108839708
XP_018486754.1	XM_018631252.1	LOC108857287
XP_018434217.1	XM_018578715.1	LOC108806567
XP_018434227.1	XM_018578725.1	LOC108806567
XP_018434199.1	XM_018578697.1	LOC108806551
XP_018434207.1	XM_018578705.1	LOC108806551
XP_018434188.1	XM_018578686.1	LOC108806540
XP_018485320.1	XM_018629818.1	LOC108855890
XP_018483166.1	XM_018627664.1	LOC108854149
XP_018483154.1	XM_018627652.1	LOC108854139
XP_018483176.1	XM_018627674.1	LOC108854159
XP_018461224.1	XM_018605722.1	LOC108832197
XP_018491355.1	XM_018635853.1	LOC108861875
XP_018483070.1	XM_018627568.1	LOC108854067
XP_018437032.1	XM_018581530.1	LOC108809381
XP_018437021.1	XM_018581519.1	LOC108809371
XP_018437042.1	XM_018581540.1	LOC108809391
XP_018453207.1	XM_018597705.1	LOC108824276
XP_018453313.1	XM_018597811.1	LOC108824362
XP_018489473.1	XM_018633971.1	LOC108860062
XP_018435573.1	XM_018580071.1	LOC108807816
XP_018435562.1	XM_018580060.1	LOC108807816
XP_018435568.1	XM_018580066.1	LOC108807816
XP_018435586.1	XM_018580084.1	LOC108807835
XP_018435582.1	XM_018580080.1	LOC108807835
XP_018435593.1	XM_018580091.1	LOC108807846
XP_018435598.1	XM_018580096.1	LOC108807854
XP_018440957.1	XM_018585455.1	LOC108813026
XP_018440979.1	XM_018585477.1	LOC108813043
XP_018440967.1	XM_018585465.1	LOC108813035
XP_018482322.1	XM_018626820.1	LOC108853403
XP_018492907.1	XM_018637405.1	LOC108863085
XP_018492898.1	XM_018637396.1	LOC108863085
XP_018471434.1	XM_018615932.1	LOC108842883
XP_018492916.1	XM_018637414.1	LOC108863100
XP_018492924.1	XM_018637422.1	LOC108863100
XP_018442853.1	XM_018587351.1	LOC108814717
XP_018442846.1	XM_018587344.1	LOC108814717
XP_018442870.1	XM_018587368.1	LOC108814734
XP_018442863.1	XM_018587361.1	LOC108814734
XP_018433183.1	XM_018577681.1	LOC108805711
XP_018433290.1	XM_018577788.1	LOC108805801
XP_018472495.1	XM_018616993.1	LOC108843791
XP_018472767.1	XM_018617265.1	LOC108844061
XP_018472726.1	XM_018617224.1	LOC108844025
