protein	mRNA	gene
XP_013747708.2	XM_013892254.3	LOC106450303
XP_013664997.2	XM_013809543.3	LOC106369379
XP_013648560.2	XM_013793106.3	LOC106353357
XP_048633496.1	XM_048777539.1	LOC106369401
XP_048633469.1	XM_048777512.1	LOC125575016
XP_048633471.1	XM_048777514.1	LOC125575016
XP_013692558.2	XM_013837104.3	LOC106396647
XP_048633493.1	XM_048777536.1	LOC106396647
XP_013639854.1	XM_013784400.3	LOC106454100
XP_013640791.1	XM_013785337.3	LOC106345792
XP_048633515.1	XM_048777558.1	LOC106396837
XP_013692787.2	XM_013837333.3	LOC106396837
XP_013692788.2	XM_013837334.3	LOC106396837
XP_013691034.1	XM_013835580.3	LOC106395048
XP_013691035.1	XM_013835581.3	LOC106395048
XP_013665037.2	XM_013809583.3	LOC106369422
XP_013691607.2	XM_013836153.3	LOC106395801
NP_001302952.1	NM_001316023.1	LOC106348176
XP_048596694.1	XM_048740737.1	LOC106348176
XP_013691751.2	XM_013836297.3	LOC106395997
XP_048633547.1	XM_048777590.1	LOC106349660
XP_048633544.1	XM_048777587.1	LOC106351012
XP_048633549.1	XM_048777592.1	LOC106369443
XP_048633551.1	XM_048777594.1	LOC106352043
XP_013665058.1	XM_013809604.3	LOC106369450
XP_048633560.1	XM_048777603.1	LOC106352938
XP_013648405.1	XM_013792951.3	LOC106352938
XP_013651178.2	XM_013795724.2	LOC106355569
XP_048633574.1	XM_048777617.1	LOC106355569
XP_013650494.2	XM_013795040.3	LOC106354745
XP_013665066.2	XM_013809612.3	LOC106369457
XP_048633626.1	XM_048777669.1	LOC106369467
XP_048633609.1	XM_048777652.1	LOC106369475
XP_013652959.2	XM_013797505.3	LOC106357497
XP_022563778.2	XM_022708057.2	LOC106357497
XP_013653925.2	XM_013798471.3	LOC106358406
XP_013656254.1	XM_013800800.3	LOC106360787
XP_048590941.1	XM_048734984.1	LOC125575852
XP_013654640.2	XM_013799186.3	LOC106359207
XP_048633592.1	XM_048777635.1	LOC106359207
XP_013657895.2	XM_013802441.3	LOC106362305
XP_048633633.1	XM_048777676.1	LOC106363140
XP_048633636.1	XM_048777679.1	LOC111199852
XP_048633639.1	XM_048777682.1	LOC111199852
XP_013665095.1	XM_013809641.3	LOC106369490
XP_013659372.2	XM_013803918.3	LOC106363957
XP_013665102.1	XM_013809648.3	BNAA01G05730D
XP_013665111.1	XM_013809657.3	LOC106369505
XP_013665120.2	XM_013809666.3	LOC106369516
XP_048590945.1	XM_048734988.1	LOC125575854
XP_013660243.1	XM_013804789.3	LOC106365006
XP_048633673.1	XM_048777716.1	LOC106368610
XP_013661283.2	XM_013805829.3	LOC106365958
XP_013665125.2	XM_013809671.3	LOC106369525
XP_048633682.1	XM_048777725.1	LOC106353425
XP_013665138.2	XM_013809684.3	LOC106369539
XP_013668138.2	XM_013812684.3	LOC106372163
XP_048633710.1	XM_048777753.1	BNAA01G34670D
XP_048633713.1	XM_048777756.1	LOC106374696
XP_013648650.3	XM_013793196.3	LOC106353435
XP_048633721.1	XM_048777764.1	LOC106376554
XP_048633715.1	XM_048777758.1	LOC106376554
XP_048633724.1	XM_048777767.1	LOC106376554
XP_048633720.1	XM_048777763.1	LOC106376554
XP_013673415.2	XM_013817961.3	LOC106377440
XP_013674075.1	XM_013818621.3	LOC106378250
XP_013736215.2	XM_013880761.3	LOC106439341
XP_048633741.1	XM_048777784.1	LOC125608039
XP_048633752.1	XM_048777795.1	LOC111213622
XP_048633753.1	XM_048777796.1	LOC111213622
XP_013733571.1	XM_013878117.3	LOC106437202
XP_013733570.1	XM_013878116.3	LOC106437201
XP_022575662.2	XM_022719941.2	LOC111215813
XP_022575667.1	XM_022719946.2	LOC111215815
XP_013731342.2	XM_013875888.3	LOC106435007
XP_013731924.1	XM_013876470.3	LOC106435535
XP_013732015.1	XM_013876561.3	LOC106435624
XP_013731823.2	XM_013876369.3	LOC106435388
XP_013731756.2	XM_013876302.3	LOC106435388
XP_013731420.2	XM_013875966.3	LOC106435092
XP_013731518.2	XM_013876064.2	LOC106435172
XP_013731663.2	XM_013876209.3	LOC106435248
XP_013731599.2	XM_013876145.3	LOC106435248
XP_013732107.2	XM_013876653.3	LOC106435706
XP_013669004.2	XM_013813550.3	LOC106373365
XP_048633820.1	XM_048777863.1	LOC106419441
XP_013732208.2	XM_013876754.3	LOC106435796
XP_048633804.1	XM_048777847.1	LOC106435983
XP_048633799.1	XM_048777842.1	LOC106435983
XP_013732307.2	XM_013876853.3	LOC106435885
XP_048633812.1	XM_048777855.1	LOC106436073
XP_013732610.2	XM_013877156.3	LOC106436165
XP_013732886.1	XM_013877432.3	LOC106436256
XP_013669015.2	XM_013813561.3	LOC106373382
XP_013733111.1	XM_013877657.3	LOC106436609
XP_048633843.1	XM_048777886.1	LOC106436527
XP_048633848.1	XM_048777891.1	LOC106357919
XP_048633852.1	XM_048777895.1	LOC106357919
XP_022572106.2	XM_022716385.2	LOC106436763
XP_013733287.2	XM_013877833.3	LOC106436853
XP_048633863.1	XM_048777906.1	LOC106436853
XP_048633867.1	XM_048777910.1	LOC106436992
XP_013653109.1	XM_013797655.3	BNAA01G00220D
XP_048633874.1	XM_048777917.1	LOC106373391
XP_013669033.2	XM_013813579.3	LOC106373402
XP_048633881.1	XM_048777924.1	LOC106373402
XP_048633876.1	XM_048777919.1	LOC106373402
XP_013669048.1	XM_013813594.3	LOC106373417
XP_013728828.1	XM_013873374.3	LOC106432527
XP_022568754.1	XM_022713033.2	LOC111211763
XP_022568755.1	XM_022713034.2	LOC111211763
XP_022572265.1	XM_022716544.2	LOC111214175
XP_013728814.1	XM_013873360.3	LOC106432517
XP_013728759.1	XM_013873305.3	LOC106432465
NP_001303103.1	NM_001316174.1	LOC106383561
XP_013665225.2	XM_013809771.3	LOC106369643
XP_013680052.2	XM_013824598.3	LOC106384397
XP_048633904.1	XM_048777947.1	LOC106385260
XP_013681870.2	XM_013826416.3	LOC106386234
XP_013682869.2	XM_013827415.3	LOC106387240
XP_013683960.2	XM_013828506.3	LOC106388147
XP_013685982.2	XM_013830528.3	LOC106389913
XP_013685005.2	XM_013829551.3	LOC106389037
XP_022572641.1	XM_022716920.2	LOC111214300
XP_013688077.1	XM_013832623.3	LOC106391590
XP_013688971.2	XM_013833517.3	LOC106392474
XP_013689642.2	XM_013834188.3	LOC106393240
XP_013737963.2	XM_013882509.3	LOC106440740
XP_013723006.2	XM_013867552.3	LOC106426821
XP_048633947.1	XM_048777990.1	LOC106418514
XP_013706635.2	XM_013851181.2	LOC106410334
XP_022544810.2	XM_022689089.2	LOC111199297
XP_013705704.2	XM_013850250.3	LOC106409330
XP_013723026.2	XM_013867572.3	LOC106426843
XP_048633961.1	XM_048778004.1	LOC106403563
XP_013737135.2	XM_013881681.3	LOC106440059
XP_013723030.2	XM_013867576.3	LOC106426847
XP_013651796.2	XM_013796342.3	LOC106356609
XP_013723052.2	XM_013867598.3	LOC106426868
XP_013722965.2	XM_013867511.3	LOC106353688
XP_022573448.1	XM_022717727.2	LOC111214705
XP_013665310.2	XM_013809856.3	LOC106369737
XP_013736693.2	XM_013881239.3	LOC106439706
XP_013723053.2	XM_013867599.3	LOC106426869
XP_022573659.1	XM_022717938.2	LOC111214989
XP_022573690.1	XM_022717969.2	LOC111214999
XP_013722997.2	XM_013867543.3	LOC106426813
XP_048633999.1	XM_048778042.1	LOC106426810
NP_001303071.1	NM_001316142.1	LOC106426812
XP_013736482.2	XM_013881028.3	LOC106439523
XP_013723012.2	XM_013867558.3	LOC106426828
XP_013736262.2	XM_013880808.3	LOC106439348
XP_048634020.1	XM_048778063.1	LOC106351991
XP_048634029.1	XM_048778072.1	LOC106348248
XP_048634033.1	XM_048778076.1	LOC106348248
XP_048634022.1	XM_048778065.1	LOC106348248
XP_048634025.1	XM_048778068.1	LOC106348248
XP_013723018.2	XM_013867564.3	LOC106426835
XP_013723034.1	XM_013867580.3	LOC106426850
XP_048634048.1	XM_048778091.1	LOC125608143
XP_013723033.1	XM_013867579.3	LOC106426849
XP_048634051.1	XM_048778094.1	LOC111202025
XP_048634056.1	XM_048778099.1	LOC106438703
XP_048591075.1	XM_048735118.1	LOC125575900
XP_048634058.1	XM_048778101.1	LOC111215242
XP_013665264.1	XM_013809810.3	LOC106369686
XP_013734573.2	XM_013879119.3	LOC106437978
XP_013665255.1	XM_013809801.3	LOC106369676
XP_048634072.1	XM_048778115.1	LOC106437828
XP_048634073.1	XM_048778116.1	LOC106437828
XP_013734198.1	XM_013878744.3	LOC106437746
XP_048634080.1	XM_048778123.1	LOC125608164
XP_013734088.1	XM_013878634.3	LOC106437669
XP_013648871.2	XM_013793417.3	LOC106353643
XP_048634107.1	XM_048778150.1	LOC125608185
XP_013733371.1	XM_013877917.3	LOC106436674
XP_013732487.1	XM_013877033.3	LOC106435763
XP_048634121.1	XM_048778164.1	LOC106434309
XP_013729073.2	XM_013873619.3	BNAA01G00960D
XP_013728163.2	XM_013872709.3	LOC106431592
XP_048634126.1	XM_048778169.1	LOC106353611
XP_048634133.1	XM_048778176.1	LOC106353611
XP_048634147.1	XM_048778190.1	LOC106430712
XP_048634153.1	XM_048778196.1	LOC106430712
XP_048634158.1	XM_048778201.1	LOC125608219
XP_013725478.1	XM_013870024.3	LOC106428979
XP_013722211.1	XM_013866757.3	LOC106425731
XP_013738908.1	XM_013883454.3	LOC106441642
XP_013738955.1	XM_013883501.3	LOC106441642
XP_013719568.1	XM_013864114.3	LOC106423042
XP_048634175.1	XM_048778218.1	LOC106426645
XP_048634187.1	XM_048778230.1	LOC125608235
XP_013739035.2	XM_013883581.3	LOC106441785
XP_048634194.1	XM_048778237.1	LOC125608242
XP_048591077.1	XM_048735120.1	LOC106417474
XP_013665374.1	XM_013809920.3	LOC106369808
XP_048634204.1	XM_048778247.1	LOC106442036
XP_013739326.2	XM_013883872.3	LOC106442125
XP_013739179.1	XM_013883725.3	LOC106441953
XP_048634212.1	XM_048778255.1	LOC106353725
XP_013739402.1	XM_013883948.3	LOC106442210
XP_013739485.1	XM_013884031.3	LOC106442304
XP_013739562.2	XM_013884108.3	LOC106442389
XP_022575478.2	XM_022719757.2	LOC106442389
XP_048634225.1	XM_048778268.1	LOC106442692
XP_048634230.1	XM_048778273.1	LOC106442692
XP_048634228.1	XM_048778271.1	LOC106442692
XP_048634229.1	XM_048778272.1	LOC106442692
XP_048634234.1	XM_048778277.1	LOC106442692
XP_048634241.1	XM_048778284.1	LOC106354039
XP_013665391.2	XM_013809937.3	LOC106369830
XP_048634253.1	XM_048778296.1	LOC106442863
XP_013739904.2	XM_013884450.3	LOC106442781
XP_013740043.1	XM_013884589.3	LOC106442937
XP_048634259.1	XM_048778302.1	LOC106443038
XP_013740130.2	XM_013884676.3	LOC106443038
XP_048634261.1	XM_048778304.1	LOC106443144
XP_048634267.1	XM_048778310.1	LOC106443256
XP_013740414.2	XM_013884960.3	LOC106443360
XP_013680974.2	XM_013825520.3	LOC106385607
XP_048634279.1	XM_048778322.1	LOC106443463
XP_048634275.1	XM_048778318.1	LOC106443566
XP_048634276.1	XM_048778319.1	LOC106443566
XP_022546112.2	XM_022690391.2	LOC106353743
XP_022546113.1	XM_022690392.2	LOC106353743
XP_048634290.1	XM_048778333.1	LOC125608259
XP_022575970.2	XM_022720249.2	LOC106443672
XP_013740700.2	XM_013885246.3	LOC106443672
XP_048634285.1	XM_048778328.1	LOC106369846
XP_013665406.2	XM_013809952.3	LOC106369846
XP_013665413.1	XM_013809959.3	LOC106369853
XP_048634295.1	XM_048778338.1	LOC106443763
XP_048634297.1	XM_048778340.1	LOC106443763
XP_013665420.2	XM_013809966.3	LOC106369862
XP_022576066.2	XM_022720345.2	LOC111216055
XP_022576092.2	XM_022720371.2	LOC111198055
XP_013745728.2	XM_013890274.3	LOC106448365
XP_013665838.3	XM_013810384.3	LOC106370360
XP_013645610.2	XM_013790156.3	LOC106350219
XP_048634343.1	XM_048778386.1	LOC106370339
XP_048634338.1	XM_048778381.1	LOC106370339
XP_048634332.1	XM_048778375.1	LOC125608272
NP_001303112.1	NM_001316183.1	LOC106350027
XP_013645282.2	XM_013789828.3	LOC106349836
XP_013645210.2	XM_013789756.3	LOC106349697
XP_048634352.1	XM_048778395.1	LOC106349697
XP_013645065.2	XM_013789611.3	LOC106349593
XP_013644981.1	XM_013789527.3	LOC106349506
XP_048634369.1	XM_048778412.1	LOC106349418
XP_013644649.1	XM_013789195.3	LOC106349225
XP_048634364.1	XM_048778407.1	LOC106349225
XP_013644763.1	XM_013789309.3	LOC106349324
XP_013644543.2	XM_013789089.3	LOC106349134
XP_048634378.1	XM_048778421.1	LOC106349048
XP_048634388.1	XM_048778431.1	LOC106348968
XP_048634382.1	XM_048778425.1	LOC125608281
XP_048634391.1	XM_048778434.1	LOC106354240
XP_048634395.1	XM_048778438.1	LOC106354240
XP_013644090.1	XM_013788636.3	LOC106348729
XP_013644018.1	XM_013788564.3	LOC106348729
XP_013643839.1	XM_013788385.3	LOC106348593
XP_013643913.1	XM_013788459.3	LOC106348593
XP_013643636.1	XM_013788182.3	LOC106348415
XP_013643531.1	XM_013788077.3	LOC106348260
XP_013643348.3	XM_013787894.3	LOC106348177
XP_013643234.1	XM_013787780.3	LOC106348086
XP_013643125.2	XM_013787671.3	LOC106347996
XP_013643011.1	XM_013787557.3	LOC106347902
XP_013649575.2	XM_013794121.3	LOC106354231
XP_048634451.1	XM_048778494.1	LOC106347749
XP_048634453.1	XM_048778496.1	LOC106347749
XP_013665806.2	XM_013810352.3	LOC106370319
XP_013642733.2	XM_013787279.3	LOC106347663
XP_048634464.1	XM_048778507.1	LOC106347574
XP_013642527.1	XM_013787073.3	LOC106347491
XP_013642417.2	XM_013786963.3	LOC106347402
XP_013642309.1	XM_013786855.3	LOC106347304
XP_013642213.1	XM_013786759.3	LOC106347211
XP_048591089.1	XM_048735132.1	LOC106370308
XP_048591093.1	XM_048735136.1	LOC125575902
XP_013665792.2	XM_013810338.3	LOC106370297
XP_048634507.1	XM_048778550.1	LOC106370281
XP_013665781.2	XM_013810327.3	LOC106370281
XP_022543609.2	XM_022687888.2	LOC106370281
XP_048634520.1	XM_048778563.1	LOC106354225
XP_048634527.1	XM_048778570.1	LOC106347061
XP_013641939.2	XM_013786485.3	LOC106346973
XP_013665767.2	XM_013810313.3	LOC106370269
XP_013641759.2	XM_013786305.3	LOC106346829
XP_013641832.2	XM_013786378.3	LOC106346829
XP_013641579.2	XM_013786125.3	LOC106346686
XP_048634554.1	XM_048778597.1	LOC106346686
XP_013641458.1	XM_013786004.3	LOC106346599
XP_013641359.2	XM_013785905.3	LOC106346514
XP_013665757.1	XM_013810303.3	LOC106370260
XP_013649554.2	XM_013794100.3	LOC106354214
XP_048591100.1	XM_048735143.1	LOC106346428
XP_048634569.1	XM_048778612.1	LOC125608338
XP_013665750.2	XM_013810296.3	LOC106370249
XP_013649543.2	XM_013794089.3	BNAA01G01860D
XP_013640896.2	XM_013785442.3	LOC106346151
XP_013641009.2	XM_013785555.3	LOC106346248
XP_013641126.1	XM_013785672.3	BNAA01G01890D
XP_048634586.1	XM_048778629.1	LOC106370238
XP_013640721.1	XM_013785267.3	LOC106345995
XP_048634590.1	XM_048778633.1	LOC106345995
XP_013640612.2	XM_013785158.3	LOC106345905
XP_013640500.2	XM_013785046.3	LOC106345822
XP_013665735.2	XM_013810281.3	LOC106370229
XP_013640335.2	XM_013784881.3	LOC106345680
XP_013640240.2	XM_013784786.3	LOC106345575
XP_013640390.2	XM_013784936.3	LOC106345732
XP_013640156.2	XM_013784702.3	LOC106345468
XP_048634615.1	XM_048778658.1	LOC106345468
XP_013640000.2	XM_013784546.3	LOC106345293
XP_013640056.2	XM_013784602.3	LOC106345293
XP_048634637.1	XM_048778680.1	LOC106345293
XP_013639908.2	XM_013784454.3	LOC106455035
XP_013639855.2	XM_013784401.3	LOC106455035
XP_048634640.1	XM_048778683.1	LOC106454936
XP_048634664.1	XM_048778707.1	LOC106354195
XP_048634647.1	XM_048778690.1	LOC125608358
XP_048634642.1	XM_048778685.1	LOC125608358
XP_048634677.1	XM_048778720.1	LOC125608360
XP_013665727.1	XM_013810273.3	LOC106370221
XP_013752324.2	XM_013896870.3	LOC106454724
XP_048634684.1	XM_048778727.1	LOC106454724
XP_013752023.2	XM_013896569.3	LOC106454413
XP_013752127.2	XM_013896673.3	LOC106454519
XP_048634695.1	XM_048778738.1	LOC106454626
XP_013752224.2	XM_013896770.3	LOC106454626
XP_013669723.2	XM_013814269.3	BNAC01G03230D
XP_048634703.1	XM_048778746.1	LOC125608364
XP_013751822.1	XM_013896368.3	LOC106454128
XP_013751773.1	XM_013896319.3	LOC106454128
XP_013751706.2	XM_013896252.3	LOC106454048
XP_048634722.1	XM_048778765.1	LOC106434636
XP_048634726.1	XM_048778769.1	LOC106434636
XP_048634737.1	XM_048778780.1	LOC106434636
XP_048634730.1	XM_048778773.1	LOC106434636
XP_048634734.1	XM_048778777.1	LOC106434636
XP_048634740.1	XM_048778783.1	LOC106434912
XP_048634748.1	XM_048778791.1	LOC106453914
XP_048634747.1	XM_048778790.1	LOC106453914
XP_013751581.2	XM_013896127.3	LOC106453914
XP_048634753.1	XM_048778796.1	LOC106453914
XP_022544635.2	XM_022688914.2	LOC106453914
XP_022544686.2	XM_022688965.2	LOC106453699
XP_048634759.1	XM_048778802.1	LOC106453780
XP_048634768.1	XM_048778811.1	LOC106453336
XP_022544695.2	XM_022688974.2	LOC106453336
XP_013751159.2	XM_013895705.3	LOC106453426
XP_048634772.1	XM_048778815.1	LOC106453426
XP_048634775.1	XM_048778818.1	LOC125608387
XP_048634774.1	XM_048778817.1	LOC125608387
XP_048634784.1	XM_048778827.1	LOC106453605
XP_013750894.1	XM_013895440.3	LOC106453151
XP_013750998.2	XM_013895544.3	LOC106453249
XP_013746828.2	XM_013891374.3	LOC106449634
XP_013746833.2	XM_013891379.3	LOC106449642
XP_013746839.2	XM_013891385.3	LOC106449642
XP_022571306.2	XM_022715585.2	LOC111213755
XP_022571307.2	XM_022715586.2	LOC111213756
XP_022571308.2	XM_022715587.2	LOC111213757
XP_013750488.1	XM_013895034.3	LOC106452692
XP_022544958.1	XM_022689237.2	LOC106452692
XP_048634835.1	XM_048778878.1	LOC106452692
XP_013750351.1	XM_013894897.3	LOC106452692
XP_048634831.1	XM_048778874.1	LOC106452692
XP_013750240.1	XM_013894786.2	LOC106452594
XP_013731055.2	XM_013875601.3	LOC106434744
XP_048634843.1	XM_048778886.1	LOC106434744
XP_048634847.1	XM_048778890.1	LOC106434744
XP_013731053.2	XM_013875599.3	LOC106434742
XP_013731029.2	XM_013875575.3	LOC106434718
XP_013669725.1	XM_013814271.3	LOC106374189
XP_013731054.2	XM_013875600.3	LOC106434743
XP_048634872.1	XM_048778915.1	LOC106375278
XP_048634866.1	XM_048778909.1	LOC106375278
XP_048634877.1	XM_048778920.1	LOC106375278
XP_048634876.1	XM_048778919.1	LOC106375278
XP_048634874.1	XM_048778917.1	LOC106375278
XP_048634878.1	XM_048778921.1	LOC106375278
XP_048634870.1	XM_048778913.1	LOC106375278
XP_048634875.1	XM_048778918.1	LOC106375278
XP_013731018.1	XM_013875564.3	LOC106434708
XP_013731035.2	XM_013875581.3	LOC106434725
XP_022546301.1	XM_022690580.2	LOC106381665
XP_013731020.2	XM_013875566.3	LOC106434709
XP_013731034.1	XM_013875580.3	LOC106434724
XP_013731021.2	XM_013875567.3	LOC106434711
XP_048634879.1	XM_048778922.1	LOC125608516
XP_013670022.2	XM_013814568.3	LOC106374572
XP_048634886.1	XM_048778929.1	LOC106434707
XP_022545301.2	XM_022689580.2	LOC106434738
XP_022545284.2	XM_022689563.2	LOC106434738
XP_048591119.1	XM_048735162.1	LOC106434739
XP_022570381.2	XM_022714660.2	LOC111212999
XP_013731043.3	XM_013875589.3	LOC106434732
XP_013731041.1	XM_013875587.3	LOC106434729
XP_048634913.1	XM_048778956.1	LOC106434729
XP_013707052.2	XM_013851598.3	LOC106410960
XP_048634901.1	XM_048778944.1	LOC106434728
XP_048634907.1	XM_048778950.1	LOC106434728
XP_013731046.1	XM_013875592.3	LOC106434733
XP_048634921.1	XM_048778964.1	LOC106374191
XP_013731036.1	XM_013875582.3	LOC106434726
XP_013731031.2	XM_013875577.3	LOC106434720
XP_013665980.2	XM_013810526.3	LOC106370522
XP_013731030.2	XM_013875576.3	LOC106434719
XP_013647782.2	XM_013792328.3	LOC106352666
XP_048634945.1	XM_048778988.1	LOC106352754
XP_013647872.2	XM_013792418.3	LOC106352754
XP_013647974.1	XM_013792520.3	LOC106352848
XP_048634955.1	XM_048778998.1	LOC106352939
XP_048634959.1	XM_048779002.1	LOC106353024
XP_013648293.1	XM_013792839.3	LOC106353122
XP_013648406.2	XM_013792952.3	LOC106353210
XP_022546471.2	XM_022690750.2	LOC106353210
XP_013648593.1	XM_013793139.3	LOC106353356
XP_013648908.1	XM_013793454.3	LOC106353642
XP_013648704.2	XM_013793250.3	LOC106353454
XP_048634980.1	XM_048779023.1	LOC106353554
XP_048634983.1	XM_048779026.1	LOC106353554
XP_013649011.2	XM_013793557.3	LOC106353736
XP_013649123.1	XM_013793669.3	LOC106353827
XP_048634994.1	XM_048779037.1	LOC106370539
XP_013649232.2	XM_013793778.3	LOC106353915
XP_048635002.1	XM_048779045.1	LOC125608617
XP_013649443.2	XM_013793989.3	LOC106354095
XP_048635008.1	XM_048779051.1	LOC106354095
XP_048635004.1	XM_048779047.1	LOC106354095
XP_048635031.1	XM_048779074.1	LOC106354095
XP_013649592.2	XM_013794138.3	LOC106354095
XP_048635022.1	XM_048779065.1	LOC106354095
XP_048635011.1	XM_048779054.1	LOC106354095
XP_048635036.1	XM_048779079.1	LOC106354095
XP_013649518.2	XM_013794064.3	LOC106354095
XP_048635012.1	XM_048779055.1	LOC106354095
XP_013666023.1	XM_013810569.3	LOC106370562
XP_013649706.2	XM_013794252.3	LOC106354307
XP_013649815.2	XM_013794361.3	LOC106354402
XP_013651096.2	XM_013795642.3	LOC106355721
XP_048635056.1	XM_048779099.1	LOC125608661
XP_048635052.1	XM_048779095.1	LOC125608658
XP_022547274.1	XM_022691553.2	LOC111200422
XP_013650294.1	XM_013794840.3	LOC106354772
XP_013650623.2	XM_013795169.3	LOC106355146
XP_048635067.1	XM_048779110.1	LOC106354692
XP_013651301.3	XM_013795847.3	LOC106355969
XP_022549893.2	XM_022694172.2	LOC111201836
XP_013651695.2	XM_013796241.3	LOC106356459
XP_013651528.2	XM_013796074.3	LOC106356256
XP_013650451.2	XM_013794997.3	LOC106354941
XP_048635108.1	XM_048779151.1	LOC106354341
XP_013650733.1	XM_013795279.3	LOC106355227
XP_013650684.1	XM_013795230.3	LOC106355227
XP_048635123.1	XM_048779166.1	LOC106356160
XP_013651022.2	XM_013795568.3	LOC106355630
XP_013651223.2	XM_013795769.3	LOC106355877
XP_013650000.2	XM_013794546.3	LOC106354546
XP_013650074.2	XM_013794620.3	LOC106354546
XP_022546904.2	XM_022691183.2	LOC106354546
XP_022546891.2	XM_022691170.2	LOC106354546
XP_013651780.2	XM_013796326.3	LOC106356561
XP_013650558.2	XM_013795104.3	LOC106355015
XP_013650507.2	XM_013795053.3	LOC106355015
XP_013651606.2	XM_013796152.3	LOC106356360
XP_013651381.2	XM_013795927.3	LOC106356056
XP_048635176.1	XM_048779219.1	LOC106356056
XP_048635181.1	XM_048779224.1	LOC106356056
XP_022547518.1	XM_022691797.2	BNAA01G02850D
XP_013652035.1	XM_013796581.3	BNAA01G02850D
XP_048635191.1	XM_048779234.1	BNAA01G02850D
XP_048635151.1	XM_048779194.1	LOC106396165
XP_013691043.1	XM_013835589.3	LOC106395059
XP_013652122.2	XM_013796668.3	LOC106356928
XP_013690929.2	XM_013835475.3	LOC106394935
XP_022549315.1	XM_022693594.2	LOC111201498
XP_013691939.2	XM_013836485.3	LOC106396162
XP_013691940.1	XM_013836486.3	LOC106396163
XP_013652586.2	XM_013797132.3	LOC106357431
XP_013691858.1	XM_013836404.3	LOC106396105
XP_022549442.1	XM_022693721.2	LOC111201521
XP_022546237.1	XM_022690516.2	LOC111199898
XP_013652887.2	XM_013797433.3	LOC106357709
XP_013692410.1	XM_013836956.3	LOC106396541
XP_013692407.1	XM_013836953.3	LOC106396539
XP_013692406.1	XM_013836952.3	LOC106396539
XP_048635253.1	XM_048779296.1	LOC106396539
XP_048635244.1	XM_048779287.1	LOC106396539
XP_013653205.2	XM_013797751.3	LOC106357987
XP_013653475.2	XM_013798021.3	LOC106358242
XP_013653309.2	XM_013797855.3	LOC106358083
XP_013666049.2	XM_013810595.3	LOC106370590
XP_022547861.2	XM_022692140.2	LOC106358331
XP_013653579.2	XM_013798125.3	LOC106358331
XP_048635344.1	XM_048779387.1	LOC106370907
XP_022548513.2	XM_022692792.2	LOC106370907
XP_048635338.1	XM_048779381.1	LOC106370907
XP_013653762.2	XM_013798308.2	LOC106358407
XP_013653688.2	XM_013798234.3	LOC106358407
XP_013657703.1	XM_013802249.3	LOC106362333
XP_013657429.2	XM_013801975.3	LOC106362112
XP_013640733.1	XM_013785279.3	LOC106346026
XP_022576415.1	XM_022720694.2	LOC106346026
XP_013666341.1	XM_013810887.3	LOC106370891
XP_013657315.2	XM_013801861.3	LOC106362014
XP_013666335.1	XM_013810881.3	LOC106370884
XP_013743290.1	XM_013887836.3	LOC106446149
XP_013671513.1	XM_013816059.3	LOC106376004
XP_013671505.1	XM_013816051.3	LOC106376004
