protein	mRNA	gene
XP_019099274.1	XM_019243729.1	LOC104708829
XP_010426612.1	XM_010428310.2	LOC104710161
XP_010425981.1	XM_010427679.2	LOC104710161
XP_010425344.1	XM_010427042.2	LOC104710161
XP_019099816.1	XM_019244271.1	LOC104702940
XP_010429549.1	XM_010431247.2	LOC104713707
XP_010430647.1	XM_010432345.2	LOC104714570
XP_010431253.1	XM_010432951.1	LOC104715309
XP_010432103.1	XM_010433801.2	LOC104716118
XP_010433194.1	XM_010434892.2	LOC104717022
XP_010434273.1	XM_010435971.2	LOC104717959
XP_010434985.1	XM_010436683.2	LOC104717959
XP_019100029.1	XM_019244484.1	LOC104702958
XP_010436016.1	XM_010437714.2	LOC104719452
XP_019099313.1	XM_019243768.1	LOC104702967
XP_010436790.1	XM_010438488.1	LOC104720349
XP_019099324.1	XM_019243779.1	LOC104721122
XP_019099319.1	XM_019243774.1	LOC104721122
XP_010437677.1	XM_010439375.2	LOC104721122
XP_010439112.1	XM_010440810.2	LOC104722312
XP_010440188.1	XM_010441886.2	LOC104723202
XP_010441141.1	XM_010442839.2	LOC104724088
XP_010443979.1	XM_010445677.1	LOC104725843
XP_010443247.1	XM_010444945.1	LOC104725843
XP_010442178.1	XM_010443876.2	LOC104724948
XP_019092469.1	XM_019236924.1	LOC104702979
XP_010445019.1	XM_010446717.2	LOC104727330
XP_010445700.1	XM_010447398.2	LOC104728156
XP_010446376.1	XM_010448074.1	LOC104728935
XP_019099336.1	XM_019243791.1	LOC104729779
XP_010447456.1	XM_010449154.2	LOC104729779
XP_010448534.1	XM_010450232.2	LOC104730668
XP_010450307.1	XM_010452005.2	LOC104732155
XP_010453199.1	XM_010454897.2	LOC104733842
XP_010452458.1	XM_010454156.2	LOC104733842
XP_010453939.1	XM_010455637.2	LOC104733842
XP_010451879.1	XM_010453577.2	LOC104733842
XP_010451241.1	XM_010452939.2	LOC104733045
XP_010417009.2	XM_010418707.2	LOC104733045
XP_010455733.1	XM_010457431.2	LOC104736394
XP_010455021.1	XM_010456719.2	LOC104736394
XP_010457149.1	XM_010458847.2	LOC104738418
XP_010458222.1	XM_010459920.2	LOC104739251
XP_010459308.1	XM_010461006.2	LOC104740116
XP_010460417.1	XM_010462115.2	LOC104740997
XP_010461132.1	XM_010462830.2	LOC104740997
XP_010462164.1	XM_010463862.2	LOC104742501
XP_010417228.2	XM_010418926.2	LOC104702988
XP_010463051.1	XM_010464749.2	LOC104743415
XP_010417240.1	XM_010418938.1	LOC104703006
XP_010463842.1	XM_010465540.2	LOC104744203
XP_010464948.1	XM_010466646.2	LOC104745102
XP_019100771.1	XM_019245226.1	LOC104746011
XP_010468062.1	XM_010469760.1	LOC104747755
XP_019099367.1	XM_019243822.1	LOC104747755
XP_019099368.1	XM_019243823.1	LOC104747755
XP_010468719.1	XM_010470417.2	LOC104748600
XP_010469616.1	XM_010471314.2	LOC104749370
XP_010470619.1	XM_010472317.2	LOC104750231
XP_010474409.1	XM_010476107.2	LOC104753653
XP_010476066.1	XM_010477764.2	LOC104755081
XP_010478914.1	XM_010480612.2	LOC104756927
XP_010477172.1	XM_010478870.2	LOC104756002
XP_010479901.1	XM_010481599.2	LOC104758396
XP_019101432.1	XM_019245887.1	LOC104703028
XP_010486759.1	XM_010488457.2	LOC104764554
XP_010488544.1	XM_010490242.2	LOC109124816
XP_010487836.1	XM_010489534.2	LOC109124816
XP_019099408.1	XM_019243863.1	LOC109124816
XP_010417271.1	XM_010418969.2	LOC104703038
XP_010490331.1	XM_010492029.1	LOC104767843
XP_010496354.1	XM_010498052.2	LOC104772726
XP_010495813.1	XM_010497511.2	LOC104772726
XP_010496908.1	XM_010498606.2	LOC104772726
XP_019099426.1	XM_019243881.1	LOC104774421
XP_019099428.1	XM_019243883.1	LOC109132285
XP_010417283.1	XM_010418981.1	LOC104703046
XP_010498008.1	XM_010499706.2	LOC104775710
XP_019099055.1	XM_019243510.1	LOC109132222
XP_010417294.1	XM_010418992.2	LOC104703056
XP_010498199.1	XM_010499897.2	LOC104775898
XP_010498313.1	XM_010500011.1	LOC104775989
XP_010498426.1	XM_010500124.2	LOC104776080
XP_010498530.1	XM_010500228.2	LOC104776180
XP_010498637.1	XM_010500335.2	LOC104776267
XP_010498751.1	XM_010500449.2	LOC104776363
XP_010498937.1	XM_010500635.2	LOC104776451
XP_010498868.1	XM_010500566.2	LOC104776451
XP_010499042.1	XM_010500740.2	LOC104776610
XP_010499152.1	XM_010500850.2	LOC104776707
XP_019099456.1	XM_019243911.1	LOC104776707
XP_019101431.1	XM_019245886.1	LOC109132900
XP_010499556.1	XM_010501254.2	LOC104776796
XP_010499482.1	XM_010501180.2	LOC104776796
XP_019099454.1	XM_019243909.1	LOC104776796
XP_010499263.1	XM_010500961.2	LOC104776796
XP_010499332.1	XM_010501030.2	LOC104776796
XP_010499410.1	XM_010501108.2	LOC104776796
XP_010499659.1	XM_010501357.2	LOC104777112
XP_010499762.1	XM_010501460.2	LOC104777214
XP_010417318.2	XM_010419016.2	LOC104703073
XP_019099463.1	XM_019243918.1	LOC104777359
XP_010417325.1	XM_010419023.1	LOC104703084
XP_010500279.1	XM_010501977.2	LOC104777652
XP_010417335.1	XM_010419033.2	LOC104703091
XP_010500039.1	XM_010501737.2	LOC104777440
XP_010500171.1	XM_010501869.2	LOC104777440
XP_010500108.1	XM_010501806.2	LOC104777440
XP_010500389.1	XM_010502087.1	LOC104777744
XP_010501106.1	XM_010502804.2	LOC104778340
XP_010500992.1	XM_010502690.1	LOC104778252
XP_010500883.1	XM_010502581.2	LOC104778106
XP_010500808.1	XM_010502506.2	LOC104778106
XP_010500707.1	XM_010502405.2	LOC104778013
XP_010500592.1	XM_010502290.2	LOC104777928
XP_010500496.1	XM_010502194.2	LOC104777833
XP_010501216.1	XM_010502914.2	LOC104778432
XP_010501311.1	XM_010503009.2	LOC104778524
XP_010501405.1	XM_010503103.2	LOC104778620
XP_010501491.1	XM_010503189.2	LOC104778713
XP_010501565.1	XM_010503263.2	LOC104778815
XP_010501714.1	XM_010503412.2	LOC104778986
XP_010501789.1	XM_010503487.2	LOC104779061
XP_010501886.1	XM_010503584.2	LOC104779137
XP_010501847.1	XM_010503545.1	LOC104779137
XP_010502050.1	XM_010503748.2	LOC104779397
XP_010502003.1	XM_010503701.2	LOC104779325
XP_019099490.1	XM_019243945.1	LOC104779325
XP_010502138.1	XM_010503836.2	LOC104779443
XP_010502238.1	XM_010503936.1	LOC104779537
XP_010502342.1	XM_010504040.2	LOC104779626
XP_010502431.1	XM_010504129.2	LOC104779714
XP_010502522.1	XM_010504220.2	LOC104779801
XP_010502842.1	XM_010504540.1	LOC104779880
XP_010502985.1	XM_010504683.2	LOC104779880
XP_010502637.1	XM_010504335.2	LOC104779880
XP_010502787.1	XM_010504485.2	LOC104779880
XP_010503115.1	XM_010504813.1	LOC104780281
XP_010503203.1	XM_010504901.2	LOC104780372
XP_010503306.1	XM_010505004.2	LOC104780471
XP_010503399.1	XM_010505097.2	LOC104780566
XP_010503646.1	XM_010505344.2	LOC104780655
XP_010503774.1	XM_010505472.2	LOC104780655
XP_010503577.1	XM_010505275.1	LOC104780655
XP_010503849.1	XM_010505547.1	LOC104780655
XP_019099512.1	XM_019243967.1	LOC104780655
XP_010504070.1	XM_010505768.2	LOC104781135
XP_010504178.1	XM_010505876.1	LOC104781227
XP_010504555.2	XM_010506253.2	LOC104781516
XP_010504293.1	XM_010505991.2	LOC104781315
XP_010504368.1	XM_010506066.2	LOC104781315
XP_010504664.1	XM_010506362.2	LOC104781611
XP_010504847.1	XM_010506545.1	LOC104781764
XP_010505144.1	XM_010506842.2	LOC104781999
XP_010504964.1	XM_010506662.2	LOC104781852
XP_010505037.1	XM_010506735.2	LOC104781852
XP_010417389.1	XM_010419087.1	LOC104703134
XP_010505483.1	XM_010507181.2	LOC104782264
XP_010417413.1	XM_010419111.2	LOC104703153
XP_010505859.1	XM_010507557.2	LOC104782495
XP_019099538.1	XM_019243993.1	LOC104782495
XP_019092609.1	XM_019237064.1	LOC109129243
XP_019092614.1	XM_019237069.1	LOC109129243
XP_019092633.1	XM_019237088.1	LOC104782350
XP_010505970.1	XM_010507668.2	LOC104782641
XP_010506077.1	XM_010507775.2	LOC104782731
XP_010506197.1	XM_010507895.2	LOC104782816
XP_010506301.1	XM_010507999.1	LOC104782905
XP_010506401.1	XM_010508099.1	LOC104782994
XP_010506498.1	XM_010508196.2	LOC104783082
XP_010506605.1	XM_010508303.2	LOC104783161
XP_010506711.1	XM_010508409.2	LOC104783246
XP_010506908.1	XM_010508606.2	LOC104783428
XP_010506986.1	XM_010508684.2	LOC104783428
XP_019099553.1	XM_019244008.1	LOC104783428
XP_010506826.1	XM_010508524.2	LOC104783339
XP_010507048.1	XM_010508746.2	LOC104783592
XP_010507107.1	XM_010508805.2	LOC104783659
XP_010507438.1	XM_010509136.2	LOC104784036
XP_010507366.1	XM_010509064.2	LOC104783792
XP_010507223.1	XM_010508921.2	LOC104783792
XP_010507160.1	XM_010508858.1	LOC104783722
XP_010507566.1	XM_010509264.2	LOC104784177
XP_010507648.1	XM_010509346.2	LOC104784268
XP_010507732.1	XM_010509430.2	LOC104784368
XP_010507797.1	XM_010509495.2	LOC104784460
XP_010507893.1	XM_010509591.2	LOC104784522
XP_010507998.1	XM_010509696.1	LOC104784621
XP_010508189.1	XM_010509887.2	LOC104784775
XP_010417424.1	XM_010419122.1	LOC104703161
XP_010508298.1	XM_010509996.1	LOC104784866
XP_019099050.1	XM_019243505.1	LOC104784957
XP_010508779.1	XM_010510477.2	LOC104785142
XP_010508629.1	XM_010510327.2	LOC104785142
XP_010508854.1	XM_010510552.1	LOC104785142
XP_010508709.1	XM_010510407.2	LOC104785142
XP_010508518.1	XM_010510216.1	LOC104785054
XP_010417437.1	XM_010419135.1	LOC104703170
XP_010509032.1	XM_010510730.1	LOC104785476
XP_010509109.1	XM_010510807.1	LOC104785476
XP_019099577.1	XM_019244032.1	LOC104785476
XP_010509221.1	XM_010510919.1	LOC104785629
XP_010509327.1	XM_010511025.2	LOC104785723
XP_010509766.1	XM_010511464.2	LOC104786096
XP_010509440.1	XM_010511138.2	LOC104785818
XP_010509507.1	XM_010511205.2	LOC104785818
XP_010417447.2	XM_010419145.2	LOC104703180
XP_010510056.1	XM_010511754.2	LOC104786283
XP_010509982.1	XM_010511680.2	LOC104786283
XP_010509879.1	XM_010511577.2	LOC104786189
XP_010510166.1	XM_010511864.2	LOC104786416
XP_010510262.1	XM_010511960.2	LOC104786504
XP_010510332.1	XM_010512030.2	LOC104786504
XP_010510429.1	XM_010512127.1	LOC104786651
XP_010510521.1	XM_010512219.2	LOC104786736
XP_010510613.1	XM_010512311.2	LOC104786829
XP_010510727.1	XM_010512425.2	LOC104786914
XP_010510882.1	XM_010512580.2	LOC104786990
XP_019099599.1	XM_019244054.1	LOC104786990
XP_010511040.1	XM_010512738.2	LOC104787178
XP_010511136.1	XM_010512834.2	LOC104787261
XP_010417470.2	XM_010419168.2	LOC104703197
XP_010511244.1	XM_010512942.2	LOC104787341
XP_010511330.1	XM_010513028.2	LOC104787414
XP_010511433.1	XM_010513131.2	LOC104787501
XP_010511520.1	XM_010513218.2	LOC104787579
XP_010511717.1	XM_010513415.2	LOC104787755
XP_010511964.1	XM_010513662.2	LOC104787842
XP_010511898.1	XM_010513596.2	LOC104787842
XP_019099617.1	XM_019244072.1	LOC104787842
XP_010511823.1	XM_010513521.2	LOC104787842
XP_010512066.1	XM_010513764.1	LOC104788049
XP_010417482.1	XM_010419180.2	LOC104703206
XP_010512159.1	XM_010513857.1	LOC104788135
XP_010512254.1	XM_010513952.2	LOC104788206
XP_019099632.1	XM_019244087.1	LOC104788290
XP_010512560.1	XM_010514258.2	LOC104788290
XP_010512490.1	XM_010514188.2	LOC104788290
XP_010512432.1	XM_010514130.2	LOC104788290
XP_010512367.1	XM_010514065.2	LOC104788290
XP_010417492.1	XM_010419190.2	LOC104703216
XP_010512773.1	XM_010514471.2	LOC104788662
XP_010512872.1	XM_010514570.2	LOC104788754
XP_010513094.1	XM_010514792.2	LOC104788950
XP_010513039.1	XM_010514737.2	LOC104788950
XP_010513169.1	XM_010514867.2	LOC104789095
XP_019099654.1	XM_019244109.1	LOC104789095
XP_019099651.1	XM_019244106.1	LOC104789095
XP_019084782.1	XM_019229237.1	LOC104703227
XP_010513283.1	XM_010514981.2	LOC104789236
XP_010513337.1	XM_010515035.2	LOC104789294
XP_010513395.1	XM_010515093.2	LOC104789367
XP_019099663.1	XM_019244118.1	LOC104789367
XP_010513456.1	XM_010515154.2	LOC104789437
XP_010513614.1	XM_010515312.2	LOC104789621
XP_010513547.1	XM_010515245.2	LOC104789552
XP_010513722.1	XM_010515420.1	LOC104789748
XP_010513804.1	XM_010515502.2	LOC104789836
XP_010513936.1	XM_010515634.2	LOC104789875
XP_010513859.1	XM_010515557.2	LOC104789875
XP_010514104.1	XM_010515802.2	LOC104790012
XP_010514039.1	XM_010515737.2	LOC104790012
XP_010514202.1	XM_010515900.2	LOC104790170
XP_019099692.1	XM_019244147.1	LOC104790170
XP_019099696.1	XM_019244151.1	LOC104790170
XP_019099695.1	XM_019244150.1	LOC104790170
XP_019099700.1	XM_019244155.1	LOC104790264
XP_010514675.1	XM_010516373.2	LOC104790563
XP_019099702.1	XM_019244157.1	LOC104790350
XP_019099703.1	XM_019244158.1	LOC104790350
XP_010514424.1	XM_010516122.2	LOC104790350
XP_010514496.1	XM_010516194.2	LOC104790350
XP_010514749.1	XM_010516447.1	LOC104790657
XP_010514843.1	XM_010516541.1	LOC104790729
XP_010514943.1	XM_010516641.2	LOC104790820
XP_019084935.1	XM_019229390.1	LOC109126186
XP_010515215.1	XM_010516913.2	LOC104791078
XP_010515325.1	XM_010517023.2	LOC104791163
XP_010515396.1	XM_010517094.2	LOC104791163
XP_010515509.1	XM_010517207.2	LOC104791320
XP_010515621.1	XM_010517319.2	LOC104791402
XP_010515733.1	XM_010517431.2	LOC104791489
XP_010515838.1	XM_010517536.2	LOC104791580
XP_010515953.1	XM_010517651.2	LOC104791673
XP_010516215.1	XM_010517913.2	LOC104791759
XP_010516062.1	XM_010517760.2	LOC104791759
XP_010516137.1	XM_010517835.2	LOC104791759
XP_010417532.1	XM_010419230.1	LOC104703254
XP_010516312.1	XM_010518010.2	LOC104791965
XP_010417541.1	XM_010419239.1	LOC104703264
XP_010417554.1	XM_010419252.1	LOC104703273
XP_010516654.1	XM_010518352.2	LOC104792218
XP_019099729.1	XM_019244184.1	LOC104792307
XP_010516833.1	XM_010518531.2	LOC104792363
XP_010516945.1	XM_010518643.2	LOC104792457
XP_010517061.1	XM_010518759.2	LOC104792543
XP_010517168.1	XM_010518866.2	LOC104792640
XP_010517275.1	XM_010518973.2	LOC104792723
XP_010517383.1	XM_010519081.2	LOC104792818
XP_010517654.1	XM_010519352.2	LOC104792990
XP_010517592.1	XM_010519290.2	LOC104792990
XP_010517765.1	XM_010519463.2	LOC104793136
XP_010517842.1	XM_010519540.2	LOC104793136
XP_010517952.2	XM_010519650.2	LOC104793282
XP_010518044.1	XM_010519742.2	LOC104793365
XP_010518139.1	XM_010519837.1	LOC104793456
XP_010518233.1	XM_010519931.1	LOC104793537
XP_010518340.1	XM_010520038.2	LOC104793606
XP_010417570.1	XM_010419268.1	LOC104703274
XP_010518444.1	XM_010520142.1	LOC104793704
XP_019099764.1	XM_019244219.1	LOC109124878
XP_019099767.1	XM_019244222.1	LOC109124878
XP_010412703.1	XM_010414401.2	LOC104699018
XP_010417585.1	XM_010419283.1	LOC104703275
XP_010412782.1	XM_010414480.2	LOC104699106
XP_010412838.1	XM_010414536.2	LOC104699106
XP_019092913.1	XM_019237368.1	LOC109129332
XP_019092925.1	XM_019237380.1	LOC104703283
XP_010412923.1	XM_010414621.2	LOC104699265
XP_010413060.1	XM_010414758.2	LOC104699359
XP_019099800.1	XM_019244255.1	LOC104699359
XP_019099793.1	XM_019244248.1	LOC104699567
XP_010413233.1	XM_010414931.1	LOC104699567
XP_010413121.1	XM_010414819.1	LOC104699510
XP_019086156.1	XM_019230611.1	LOC104703294
XP_010417616.1	XM_010419314.2	LOC104703303
XP_010413395.1	XM_010415093.2	LOC104699653
XP_010413329.1	XM_010415027.2	LOC104699653
XP_010413520.1	XM_010415218.2	LOC104699797
XP_019099812.1	XM_019244267.1	LOC109132567
XP_010413617.1	XM_010415315.2	LOC104699886
XP_010413731.1	XM_010415429.2	LOC104699969
XP_010413830.1	XM_010415528.2	LOC104700047
XP_010413938.1	XM_010415636.2	LOC104700138
XP_010414047.1	XM_010415745.2	LOC104700228
XP_019099817.1	XM_019244272.1	LOC104700228
XP_019099820.1	XM_019244275.1	LOC104700228
XP_010414155.1	XM_010415853.2	LOC104700315
XP_010417623.2	XM_010419321.2	LOC104703311
XP_010414257.1	XM_010415955.2	LOC104700404
XP_010414322.1	XM_010416020.2	LOC104700404
XP_010414742.1	XM_010416440.2	LOC104700814
XP_010414847.1	XM_010416545.2	LOC104700906
XP_010414952.1	XM_010416650.2	LOC104700996
XP_010415014.1	XM_010416712.2	LOC104700996
XP_019099837.1	XM_019244292.1	LOC104700996
XP_010415110.1	XM_010416808.2	LOC104701135
XP_019099842.1	XM_019244297.1	LOC104701135
XP_010415265.1	XM_010416963.2	LOC104701220
XP_010415201.1	XM_010416899.2	LOC104701220
XP_010415451.1	XM_010417149.2	LOC104701366
XP_010415376.1	XM_010417074.2	LOC104701366
XP_010417645.1	XM_010419343.1	LOC104703332
XP_010417665.1	XM_010419363.1	LOC104703353
XP_010415659.1	XM_010417357.2	LOC104701605
XP_010415759.1	XM_010417457.2	LOC104701688
XP_019099104.1	XM_019243559.1	LOC109132233
XP_010416082.1	XM_010417780.2	LOC104701962
XP_010415969.1	XM_010417667.2	LOC104701881
XP_010416191.1	XM_010417889.2	LOC104702044
XP_010416294.1	XM_010417992.2	LOC104702135
XP_010416395.1	XM_010418093.2	LOC104702233
XP_010416503.1	XM_010418201.1	LOC104702319
XP_010416605.1	XM_010418303.2	LOC104702417
XP_010416990.1	XM_010418688.2	LOC104702743
XP_010416887.1	XM_010418585.2	LOC104702593
XP_010416702.1	XM_010418400.2	LOC104702507
XP_010417092.1	XM_010418790.2	LOC104702836
XP_019099863.1	XM_019244318.1	LOC104702935
XP_010417202.1	XM_010418900.2	LOC104702935
XP_019099861.1	XM_019244316.1	LOC104702935
XP_010417299.1	XM_010418997.2	LOC104703032
XP_010417405.1	XM_010419103.2	LOC104703120
XP_019099870.1	XM_019244325.1	LOC104703209
XP_010417674.1	XM_010419372.1	LOC104703363
XP_010417686.1	XM_010419384.1	LOC104703371
XP_010417626.1	XM_010419324.2	LOC104703287
XP_010417718.1	XM_010419416.2	LOC104703375
XP_010417830.1	XM_010419528.2	LOC104703470
XP_010417937.1	XM_010419635.2	LOC104703569
XP_010418051.1	XM_010419749.2	LOC104703659
XP_019093032.1	XM_019237487.1	LOC104703742
XP_010418259.1	XM_010419957.2	LOC104703838
XP_010418365.1	XM_010420063.1	LOC104703936
XP_010418480.1	XM_010420178.2	LOC104704026
XP_019099885.1	XM_019244340.1	LOC109124962
XP_010418627.1	XM_010420325.2	LOC104704116
XP_019099888.1	XM_019244343.1	LOC104704116
XP_010418757.1	XM_010420455.2	LOC104704320
XP_010418822.1	XM_010420520.2	LOC104704400
XP_010418949.1	XM_010420647.2	LOC104704563
XP_010419008.1	XM_010420706.2	LOC104704631
XP_010419070.1	XM_010420768.2	LOC104704707
XP_010417695.1	XM_010419393.2	LOC104703382
XP_010419141.1	XM_010420839.2	LOC104704784
XP_010419205.1	XM_010420903.2	LOC104704859
XP_010419273.1	XM_010420971.2	LOC104704950
XP_010419332.1	XM_010421030.2	LOC104704950
XP_010419519.1	XM_010421217.2	LOC104705248
XP_010419792.1	XM_010421490.2	LOC104705395
XP_010419623.1	XM_010421321.2	LOC104705307
XP_010419896.1	XM_010421594.2	LOC104705542
XP_019099110.1	XM_019243565.1	LOC109132235
XP_019099910.1	XM_019244365.1	LOC104705626
XP_010420004.1	XM_010421702.2	LOC104705626
XP_010420118.1	XM_010421816.2	LOC104705715
XP_010420228.1	XM_010421926.2	LOC104705810
XP_010420402.1	XM_010422100.2	LOC104705896
XP_010420329.1	XM_010422027.2	LOC104705896
XP_019088222.1	XM_019232677.1	LOC104703403
XP_010420513.1	XM_010422211.1	LOC104706048
XP_010420622.1	XM_010422320.2	LOC104706140
XP_010420731.1	XM_010422429.2	LOC104706224
XP_010421313.1	XM_010423011.2	LOC104706702
XP_010421247.1	XM_010422945.2	LOC104706702
XP_010421074.1	XM_010422772.1	LOC104706542
XP_010421138.1	XM_010422836.2	LOC104706542
XP_010420907.1	XM_010422605.2	LOC104706319
XP_019099929.1	XM_019244384.1	LOC104706319
XP_010420977.1	XM_010422675.2	LOC104706319
XP_010421475.1	XM_010423173.2	LOC104706904
XP_010421572.1	XM_010423270.2	LOC104706992
XP_010421737.1	XM_010423435.2	LOC104707067
XP_010421675.1	XM_010423373.2	LOC104707067
XP_010421835.1	XM_010423533.2	LOC104707201
XP_010421939.1	XM_010423637.2	LOC104707282
XP_019099968.1	XM_019244423.1	LOC104707282
XP_019099954.1	XM_019244409.1	LOC104707369
XP_010422378.1	XM_010424076.1	LOC104707652
XP_010422481.1	XM_010424179.1	LOC104707726
XP_010422722.1	XM_010424420.2	LOC104707816
XP_010422659.1	XM_010424357.2	LOC104707816
XP_010422585.1	XM_010424283.2	LOC104707816
XP_010422824.1	XM_010424522.2	LOC104708008
XP_019099980.1	XM_019244435.1	LOC104708008
XP_010422930.1	XM_010424628.2	LOC104708098
XP_019093111.1	XM_019237566.1	LOC104708098
XP_010423040.1	XM_010424738.2	LOC104708183
XP_019099985.1	XM_019244440.1	LOC104708267
XP_010423254.1	XM_010424952.2	LOC104708362
XP_019099993.1	XM_019244448.1	LOC104708539
XP_010423468.1	XM_010425166.2	LOC104708539
XP_019099988.1	XM_019244443.1	LOC104708539
XP_010423638.1	XM_010425336.2	LOC104708692
XP_010423735.1	XM_010425433.2	LOC104708780
XP_010423838.1	XM_010425536.1	LOC104708854
XP_019100000.1	XM_019244455.1	LOC104708936
XP_010424124.1	XM_010425822.1	LOC104709140
XP_019100014.1	XM_019244469.1	LOC104709246
XP_019100007.1	XM_019244462.1	LOC104709246
XP_019100006.1	XM_019244461.1	LOC104709246
XP_019100010.1	XM_019244465.1	LOC104709246
XP_019100023.1	XM_019244478.1	LOC104709246
XP_010424290.1	XM_010425988.2	LOC104709332
XP_010424476.1	XM_010426174.2	LOC104709565
XP_019100037.1	XM_019244492.1	LOC104709565
XP_010424413.1	XM_010426111.1	LOC104709492
XP_010424535.1	XM_010426233.2	LOC104709637
XP_010424603.1	XM_010426301.2	LOC104709709
XP_019100047.1	XM_019244502.1	LOC104709795
XP_010424677.1	XM_010426375.2	LOC104709795
XP_010424752.1	XM_010426450.2	LOC104709880
XP_010424829.1	XM_010426527.2	LOC104709972
XP_010417739.1	XM_010419437.2	LOC104703421
XP_010424885.2	XM_010426583.2	LOC104710020
XP_019100061.1	XM_019244516.1	LOC104710020
XP_010424987.1	XM_010426685.2	LOC104710105
XP_010425152.1	XM_010426850.2	LOC104710192
XP_010425089.1	XM_010426787.2	LOC104710192
XP_010425236.1	XM_010426934.2	LOC104710327
XP_010425345.1	XM_010427043.2	LOC104710413
XP_010425514.1	XM_010427212.2	LOC104710496
XP_010425447.1	XM_010427145.2	LOC104710496
XP_010425578.1	XM_010427276.2	LOC104710496
XP_010425682.1	XM_010427380.2	LOC104710706
XP_010425883.1	XM_010427581.2	LOC104710792
XP_010425777.1	XM_010427475.2	LOC104710792
XP_010425982.2	XM_010427680.2	LOC104710987
XP_019093156.1	XM_019237611.1	LOC104710987
XP_019100082.1	XM_019244537.1	LOC104711075
XP_010426082.1	XM_010427780.2	LOC104711075
XP_010426338.2	XM_010428036.2	LOC104711311
XP_010426246.1	XM_010427944.2	LOC104711166
XP_010426180.1	XM_010427878.2	LOC104711166
XP_019100088.1	XM_019244543.1	LOC104703450
XP_019100090.1	XM_019244545.1	LOC104711393
XP_019100091.1	XM_019244546.1	LOC104711393
XP_010426521.1	XM_010428219.2	LOC104711485
XP_010426718.1	XM_010428416.2	LOC104711669
XP_010426795.1	XM_010428493.2	LOC104711669
XP_019100095.1	XM_019244550.1	LOC104711669
XP_010426875.1	XM_010428573.2	LOC104711669
XP_010426613.1	XM_010428311.2	LOC104711581
XP_010426982.1	XM_010428680.2	LOC104711870
XP_010417784.1	XM_010419482.2	LOC104703457
XP_010427148.1	XM_010428846.2	LOC104711954
XP_010427075.1	XM_010428773.2	LOC104711954
XP_010417794.1	XM_010419492.1	LOC104703466
XP_010417807.1	XM_010419505.1	LOC104703474
