protein	mRNA	gene
XP_020870185.1	XM_021014526.1	LOC9328137
XP_002892075.1	XM_002892029.2	LOC9328137
XP_020870184.1	XM_021014525.1	LOC9328137
XP_020870178.1	XM_021014519.1	LOC9328138
XP_020870177.1	XM_021014518.1	LOC9328139
XP_020870176.1	XM_021014517.1	LOC9328139
XP_002889375.1	XM_002889329.2	LOC9328140
XP_020870011.1	XM_021014352.1	LOC9325440
XP_020870010.1	XM_021014351.1	LOC9325440
XP_020870527.1	XM_021014868.1	LOC9328141
XP_020870626.1	XM_021014967.1	LOC9328142
XP_002892081.1	XM_002892035.2	LOC9328143
XP_020866678.1	XM_021011019.1	LOC9328144
XP_020866679.1	XM_021011020.1	LOC9328144
XP_002892083.1	XM_002892037.2	LOC9328145
XP_020866680.1	XM_021011021.1	LOC9328146
XP_002889377.1	XM_002889331.2	LOC9325441
XP_020870618.1	XM_021014959.1	LOC9325443
XP_020866518.1	XM_021010859.1	LOC9328147
XP_020866519.1	XM_021010860.1	LOC9328147
XP_020866516.1	XM_021010857.1	LOC9325444
XP_020866515.1	XM_021010856.1	LOC9325444
XP_020866514.1	XM_021010855.1	LOC9328148
XP_002889380.1	XM_002889334.2	LOC9328148
XP_020866513.1	XM_021010854.1	LOC9325445
XP_020866517.1	XM_021010858.1	LOC9328149
XP_002889383.1	XM_002889337.2	LOC9325447
XP_002892087.1	XM_002892041.2	LOC9325448
XP_002889384.1	XM_002889338.2	LOC9328150
XP_020867077.1	XM_021011418.1	LOC9325449
XP_002889386.1	XM_002889340.2	LOC9325450
XP_002889387.2	XM_002889341.2	LOC9325451
XP_020868154.1	XM_021012495.1	LOC9325452
XP_020868152.1	XM_021012493.1	LOC9325452
XP_020868153.1	XM_021012494.1	LOC9325452
XP_020868155.1	XM_021012496.1	LOC9325452
XP_002889389.1	XM_002889343.2	LOC9325453
XP_020866655.1	XM_021010996.1	LOC9325454
XP_020870149.1	XM_021014490.1	LOC9328151
XP_020870150.1	XM_021014491.1	LOC9328151
XP_020869203.1	XM_021013544.1	LOC9325455
XP_002889391.2	XM_002889345.2	LOC9325455
XP_020869204.1	XM_021013545.1	LOC9325455
XP_002892089.1	XM_002892043.2	LOC9325457
XP_002889393.1	XM_002889347.2	LOC9328153
XP_020866671.1	XM_021011012.1	LOC9325458
XP_002892092.1	XM_002892046.2	LOC9328154
XP_002892093.1	XM_002892047.2	LOC9328155
XP_020866030.1	XM_021010371.1	LOC9328156
XP_020868096.1	XM_021012437.1	LOC9328157
XP_020868097.1	XM_021012438.1	LOC9328158
XP_002892097.1	XM_002892051.2	LOC9328159
XP_002892098.1	XM_002892052.2	LOC9328160
XP_020868913.1	XM_021013254.1	LOC9328160
XP_002889394.1	XM_002889348.2	LOC9328161
XP_020868092.1	XM_021012433.1	LOC9328161
XP_020868091.1	XM_021012432.1	LOC9328161
XP_002889395.1	XM_002889349.2	LOC9325459
XP_020868090.1	XM_021012431.1	LOC9325460
XP_002892100.1	XM_002892054.2	LOC9328162
XP_020869556.1	XM_021013897.1	LOC9328163
XP_002892102.2	XM_002892056.2	LOC9328164
XP_002892104.2	XM_002892058.2	LOC9328166
XP_020870707.1	XM_021015048.1	LOC9328167
XP_002889398.1	XM_002889352.2	LOC9328168
XP_020870981.1	XM_021015322.1	LOC9328168
XP_002889399.1	XM_002889353.2	LOC9325463
XP_002889400.1	XM_002889354.2	LOC9325464
XP_020869563.1	XM_021013904.1	LOC9325465
XP_002889401.1	XM_002889355.2	LOC9328169
XP_020869085.1	XM_021013426.1	LOC9325466
XP_020869086.1	XM_021013427.1	LOC9325466
XP_020869087.1	XM_021013428.1	LOC9325466
XP_002889402.2	XM_002889356.2	LOC9325466
XP_020869088.1	XM_021013429.1	LOC9325467
XP_002892107.1	XM_002892061.2	LOC9325467
XP_002892108.2	XM_002892062.2	LOC9328170
XP_002892109.1	XM_002892063.2	LOC9328171
XP_020869936.1	XM_021014277.1	LOC9328172
XP_020869937.1	XM_021014278.1	LOC9328173
XP_020869361.1	XM_021013702.1	LOC110225055
XP_020867795.1	XM_021012136.1	LOC9328174
XP_002892112.1	XM_002892066.2	LOC9325468
XP_020867796.1	XM_021012137.1	LOC9325468
XP_020868942.1	XM_021013283.1	LOC9328175
XP_020868943.1	XM_021013284.1	LOC9328175
XP_020868941.1	XM_021013282.1	LOC110224984
XP_002889405.1	XM_002889359.2	LOC9325469
XP_002889406.1	XM_002889360.2	LOC9325470
XP_020869410.1	XM_021013751.1	LOC9325471
XP_020870586.1	XM_021014927.1	LOC110225370
XP_020868823.1	XM_021013164.1	LOC9325472
XP_002892113.1	XM_002892067.2	LOC9325473
XP_002889409.1	XM_002889363.2	LOC9328176
XP_020869462.1	XM_021013803.1	LOC9325474
XP_020869459.1	XM_021013800.1	LOC9325474
XP_020869460.1	XM_021013801.1	LOC9325474
XP_020869461.1	XM_021013802.1	LOC9325474
XP_020869464.1	XM_021013805.1	LOC9325474
XP_020869574.1	XM_021013915.1	LOC9328177
XP_020868989.1	XM_021013330.1	LOC9328178
XP_020868990.1	XM_021013331.1	LOC9325475
XP_002892116.1	XM_002892070.2	LOC9325476
XP_002889412.1	XM_002889366.2	LOC9328179
XP_002892117.1	XM_002892071.2	LOC9325477
XP_020869120.1	XM_021013461.1	LOC9328180
XP_020868826.1	XM_021013167.1	LOC9325478
XP_020869119.1	XM_021013460.1	LOC9325479
XP_002889416.2	XM_002889370.2	LOC9325480
XP_020870288.1	XM_021014629.1	LOC110225284
XP_020870285.1	XM_021014626.1	LOC9328181
XP_002892121.1	XM_002892075.2	LOC9328183
XP_020870286.1	XM_021014627.1	LOC9328184
XP_020870287.1	XM_021014628.1	LOC9328185
XP_020868829.1	XM_021013170.1	LOC9325483
XP_002892124.1	XM_002892078.2	LOC9328186
XP_020868978.1	XM_021013319.1	LOC9328187
XP_002892125.1	XM_002892079.2	LOC9328187
XP_020868832.1	XM_021013173.1	LOC9328188
XP_020868980.1	XM_021013321.1	LOC9325485
XP_020868979.1	XM_021013320.1	LOC110224131
XP_002892126.1	XM_002892080.2	LOC9325486
XP_020870645.1	XM_021014986.1	LOC9328189
XP_020866992.1	XM_021011333.1	LOC9328191
XP_020866988.1	XM_021011329.1	LOC9328192
XP_020866990.1	XM_021011331.1	LOC9328192
XP_020866991.1	XM_021011332.1	LOC9328192
XP_020866985.1	XM_021011326.1	LOC9328192
XP_020866986.1	XM_021011327.1	LOC9328192
XP_020866987.1	XM_021011328.1	LOC9328192
XP_020866984.1	XM_021011325.1	LOC9325487
XP_020868245.1	XM_021012586.1	LOC9325488
XP_020868247.1	XM_021012588.1	LOC9325489
XP_020868246.1	XM_021012587.1	LOC9328193
XP_020870423.1	XM_021014764.1	LOC9328194
XP_020870425.1	XM_021014766.1	LOC9328194
XP_020870424.1	XM_021014765.1	LOC9328194
XP_020867327.1	XM_021011668.1	LOC9325491
XP_002892134.2	XM_002892088.2	LOC9328196
XP_002892135.1	XM_002892089.2	LOC9328197
XP_020866863.1	XM_021011204.1	LOC9328198
XP_020866864.1	XM_021011205.1	LOC9328199
XP_002892138.2	XM_002892092.2	LOC9328200
XP_020870872.1	XM_021015213.1	LOC9328201
XP_002892139.1	XM_002892093.2	LOC9328201
XP_020870873.1	XM_021015214.1	LOC9328201
XP_020870463.1	XM_021014804.1	LOC9328202
XP_002889428.1	XM_002889382.2	LOC9325492
XP_002889430.1	XM_002889384.2	LOC9325494
XP_002892141.1	XM_002892095.2	LOC9325495
XP_020870571.1	XM_021014912.1	LOC9325495
XP_020870573.1	XM_021014914.1	LOC9328204
XP_020870572.1	XM_021014913.1	LOC9328204
XP_002889431.2	XM_002889385.2	LOC9328205
XP_020866288.1	XM_021010629.1	LOC9328205
XP_002892143.1	XM_002892097.2	LOC9325496
XP_020867759.1	XM_021012100.1	LOC9328206
XP_020867758.1	XM_021012099.1	LOC9325497
XP_020867757.1	XM_021012098.1	LOC9328207
XP_020867760.1	XM_021012101.1	LOC9325498
XP_020869079.1	XM_021013420.1	LOC9328208
XP_020869080.1	XM_021013421.1	LOC9328208
XP_020869078.1	XM_021013419.1	LOC9328208
XP_020870643.1	XM_021014984.1	LOC9328209
XP_002892147.1	XM_002892101.2	LOC9325499
XP_020870641.1	XM_021014982.1	LOC9325499
XP_020868323.1	XM_021012664.1	LOC9328210
XP_020868324.1	XM_021012665.1	LOC9328210
XP_020868322.1	XM_021012663.1	LOC110224910
XP_002889436.1	XM_002889390.2	LOC9325500
XP_020870650.1	XM_021014991.1	LOC9325500
XP_002889437.1	XM_002889391.2	LOC9325501
XP_020869906.1	XM_021014247.1	LOC9325502
XP_002892148.1	XM_002892102.2	LOC9325503
XP_002892149.1	XM_002892103.2	LOC9328211
XP_002889439.2	XM_002889393.2	LOC9328212
XP_020867862.1	XM_021012203.1	LOC9328213
XP_002889440.1	XM_002889394.2	LOC9328213
XP_020868847.1	XM_021013188.1	LOC110224972
XP_002889441.2	XM_002889395.2	LOC9325505
XP_020868082.1	XM_021012423.1	LOC9325506
XP_020868080.1	XM_021012421.1	LOC9325508
XP_020868081.1	XM_021012422.1	LOC9325509
XP_002889445.1	XM_002889399.2	LOC9325509
XP_020866451.1	XM_021010792.1	LOC9328214
XP_020869288.1	XM_021013629.1	LOC9328215
XP_020869285.1	XM_021013626.1	LOC9325511
XP_002892154.1	XM_002892108.2	LOC9328216
XP_020870316.1	XM_021014657.1	LOC9328217
XP_002889448.1	XM_002889402.2	LOC9325512
XP_020870317.1	XM_021014658.1	LOC9325513
XP_020870318.1	XM_021014659.1	LOC9325513
XP_002889449.1	XM_002889403.2	LOC9325513
XP_020870314.1	XM_021014655.1	LOC9325515
XP_020870315.1	XM_021014656.1	LOC9325515
XP_002889451.1	XM_002889405.2	LOC9325515
XP_020870313.1	XM_021014654.1	LOC9325515
XP_020870312.1	XM_021014653.1	LOC9325516
XP_020870308.1	XM_021014649.1	LOC9328218
XP_020870309.1	XM_021014650.1	LOC9328218
XP_002889453.1	XM_002889407.2	LOC9325517
XP_002892156.1	XM_002892110.2	LOC9325518
XP_020870320.1	XM_021014661.1	LOC9328219
XP_002889454.1	XM_002889408.2	LOC9328219
XP_002892157.1	XM_002892111.2	LOC9325519
XP_020870319.1	XM_021014660.1	LOC9328220
XP_020870322.1	XM_021014663.1	LOC9328221
XP_020870311.1	XM_021014652.1	LOC110225291
XP_020870310.1	XM_021014651.1	LOC110225291
XP_020867955.1	XM_021012296.1	LOC9325520
XP_002889457.1	XM_002889411.2	LOC9325521
XP_002892159.1	XM_002892113.2	LOC9325522
XP_002889458.1	XM_002889412.2	LOC9328222
XP_002889459.1	XM_002889413.2	LOC9325523
XP_020866457.1	XM_021010798.1	LOC9325524
XP_020867705.1	XM_021012046.1	LOC9328223
XP_020867709.1	XM_021012050.1	LOC9328224
XP_020867710.1	XM_021012051.1	LOC9328224
XP_020867708.1	XM_021012049.1	LOC9328224
XP_020867706.1	XM_021012047.1	LOC9328224
XP_002892163.1	XM_002892117.2	LOC9328225
XP_020869775.1	XM_021014116.1	LOC9328227
XP_020868859.1	XM_021013200.1	LOC9325525
XP_002892165.1	XM_002892119.2	LOC9325526
XP_002892166.1	XM_002892120.2	LOC9328228
XP_002892167.1	XM_002892121.2	LOC9328229
XP_002889462.1	XM_002889416.2	LOC9328230
XP_020869776.1	XM_021014117.1	LOC9325527
XP_002892169.1	XM_002892123.2	LOC9328231
XP_002892170.1	XM_002892124.2	LOC9328232
XP_020869877.1	XM_021014218.1	LOC9328233
XP_020869931.1	XM_021014272.1	LOC9325528
XP_020868684.1	XM_021013025.1	LOC9325529
XP_020868682.1	XM_021013023.1	LOC9325529
XP_020868681.1	XM_021013022.1	LOC9325529
XP_020868686.1	XM_021013027.1	LOC9325529
XP_020868685.1	XM_021013026.1	LOC9325529
XP_020868683.1	XM_021013024.1	LOC9325529
XP_002892171.1	XM_002892125.2	LOC9325529
XP_020868689.1	XM_021013030.1	LOC9325529
XP_020868688.1	XM_021013029.1	LOC9325529
XP_020868687.1	XM_021013028.1	LOC9325529
XP_002889465.1	XM_002889419.2	LOC9328234
XP_002892172.2	XM_002892126.2	LOC9325530
XP_020869569.1	XM_021013910.1	LOC9328235
XP_020869615.1	XM_021013956.1	LOC9328236
XP_020870437.1	XM_021014778.1	LOC9328237
XP_020870438.1	XM_021014779.1	LOC9325531
XP_020868890.1	XM_021013231.1	LOC9325532
XP_020869134.1	XM_021013475.1	LOC9325534
XP_020869135.1	XM_021013476.1	LOC9325534
XP_002889469.1	XM_002889423.2	LOC9325534
XP_020869131.1	XM_021013472.1	LOC9325534
XP_020869132.1	XM_021013473.1	LOC9325534
XP_020869133.1	XM_021013474.1	LOC9325534
XP_002889470.2	XM_002889424.2	LOC9325534
XP_020869168.1	XM_021013509.1	LOC110225019
XP_020866476.1	XM_021010817.1	LOC9325535
XP_020866875.1	XM_021011216.1	LOC9325536
XP_002892177.2	XM_002892131.2	LOC9328239
XP_020866086.1	XM_021010427.1	LOC110224387
XP_002889473.1	XM_002889427.2	LOC9325537
XP_020866085.1	XM_021010426.1	LOC9325537
XP_020866087.1	XM_021010428.1	LOC9325538
XP_020869259.1	XM_021013600.1	LOC9328241
XP_002889474.1	XM_002889428.2	LOC9328241
XP_002892179.1	XM_002892133.2	LOC9325539
XP_020869385.1	XM_021013726.1	LOC9325540
XP_002892180.1	XM_002892134.2	LOC9325541
XP_002889477.1	XM_002889431.2	LOC9328243
XP_002892181.1	XM_002892135.2	LOC9325542
XP_020869188.1	XM_021013529.1	LOC110225024
XP_002892182.1	XM_002892136.2	LOC9328244
XP_020866429.1	XM_021010770.1	LOC9325543
XP_020869767.1	XM_021014108.1	LOC9328246
XP_020869768.1	XM_021014109.1	LOC9328246
XP_002892185.1	XM_002892139.2	LOC9328247
XP_002889479.1	XM_002889433.2	LOC9328248
XP_002889480.1	XM_002889434.2	LOC9325544
XP_020868646.1	XM_021012987.1	LOC110224950
XP_020870732.1	XM_021015073.1	LOC9325545
XP_002889482.1	XM_002889436.2	LOC9328249
XP_002889483.1	XM_002889437.2	LOC9325547
XP_020870096.1	XM_021014437.1	LOC9325547
XP_020870095.1	XM_021014436.1	LOC9325547
XP_002889484.2	XM_002889438.2	LOC9325548
XP_020869240.1	XM_021013581.1	LOC9325549
XP_002892188.1	XM_002892142.2	LOC9328250
XP_002892189.1	XM_002892143.2	LOC9328251
XP_020869659.1	XM_021014000.1	LOC9328252
XP_020869656.1	XM_021013997.1	LOC9328252
XP_020869657.1	XM_021013998.1	LOC9328252
XP_020869655.1	XM_021013996.1	LOC9328252
XP_020869660.1	XM_021014001.1	LOC9328252
XP_020869661.1	XM_021014002.1	LOC9328252
XP_020869662.1	XM_021014003.1	LOC9328252
XP_020869466.1	XM_021013807.1	LOC9325550
XP_020869465.1	XM_021013806.1	LOC9325551
XP_020868929.1	XM_021013270.1	LOC9328253
XP_002889487.1	XM_002889441.2	LOC9328254
XP_020869564.1	XM_021013905.1	LOC9325552
XP_020869778.1	XM_021014119.1	LOC9328255
XP_020868861.1	XM_021013202.1	LOC9328256
XP_002889489.1	XM_002889443.2	LOC9325553
XP_020868862.1	XM_021013203.1	LOC9325553
XP_002892194.2	XM_002892148.2	LOC9325554
XP_020870721.1	XM_021015062.1	LOC9328257
XP_020870720.1	XM_021015061.1	LOC9328257
XP_020870719.1	XM_021015060.1	LOC9328257
XP_002892196.1	XM_002892150.2	LOC9328258
XP_020867264.1	XM_021011605.1	LOC9328259
XP_020867262.1	XM_021011603.1	LOC9328259
XP_020867261.1	XM_021011602.1	LOC9328259
XP_020867263.1	XM_021011604.1	LOC9328259
XP_020867265.1	XM_021011606.1	LOC110224740
XP_020867266.1	XM_021011607.1	LOC9325555
XP_002892197.1	XM_002892151.2	LOC9325556
XP_002892198.1	XM_002892152.2	LOC9328260
XP_020870597.1	XM_021014938.1	LOC9328261
XP_020867550.1	XM_021011891.1	LOC9325557
XP_020867549.1	XM_021011890.1	LOC9325557
XP_020868933.1	XM_021013274.1	LOC110224981
XP_002889493.1	XM_002889447.2	LOC9328263
XP_002889494.1	XM_002889448.2	LOC9325558
XP_002889495.1	XM_002889449.2	LOC9325559
XP_020870536.1	XM_021014877.1	LOC110225356
XP_020869646.1	XM_021013987.1	LOC9325560
XP_002889497.1	XM_002889451.2	LOC9325561
XP_020869644.1	XM_021013985.1	LOC9325561
XP_020869645.1	XM_021013986.1	LOC9325561
XP_002892201.1	XM_002892155.2	LOC9325562
XP_020868853.1	XM_021013194.1	LOC9328264
XP_002892202.1	XM_002892156.2	LOC9325563
XP_002889499.2	XM_002889453.2	LOC9328265
XP_020867605.1	XM_021011946.1	LOC9325564
XP_002892204.1	XM_002892158.2	LOC9328266
XP_020867606.1	XM_021011947.1	LOC9328267
XP_002892205.1	XM_002892159.2	LOC9328267
XP_002892206.1	XM_002892160.2	LOC9328268
XP_020870453.1	XM_021014794.1	LOC9328269
XP_020870452.1	XM_021014793.1	LOC9328269
XP_020870451.1	XM_021014792.1	LOC9328269
XP_020870454.1	XM_021014795.1	LOC9328269
XP_020870455.1	XM_021014796.1	LOC9328269
XP_002892208.1	XM_002892162.2	LOC9328270
XP_020870456.1	XM_021014797.1	LOC9328270
XP_002892209.1	XM_002892163.2	LOC9328271
XP_002892210.1	XM_002892164.2	LOC9328272
XP_020868733.1	XM_021013074.1	LOC9328273
XP_002892211.1	XM_002892165.2	LOC9325565
XP_002889501.1	XM_002889455.2	LOC9328274
XP_020867547.1	XM_021011888.1	LOC9325566
XP_020867545.1	XM_021011886.1	LOC9328276
XP_020867546.1	XM_021011887.1	LOC9328277
XP_020867548.1	XM_021011889.1	LOC9328278
XP_002889502.1	XM_002889456.2	LOC9328279
XP_020867603.1	XM_021011944.1	LOC9325568
XP_020867604.1	XM_021011945.1	LOC9325568
XP_002889505.1	XM_002889459.2	LOC9325569
XP_020870674.1	XM_021015015.1	LOC9325570
XP_020870357.1	XM_021014698.1	LOC9325571
XP_020870358.1	XM_021014699.1	LOC9325571
XP_002892218.1	XM_002892172.2	LOC9325572
XP_002892219.1	XM_002892173.2	LOC9325573
XP_002889509.1	XM_002889463.2	LOC9328282
XP_020868212.1	XM_021012553.1	LOC9325574
XP_020868211.1	XM_021012552.1	LOC9325574
XP_002892221.1	XM_002892175.2	LOC9328283
XP_002889510.1	XM_002889464.2	LOC9328284
XP_020868054.1	XM_021012395.1	LOC9325575
XP_020868053.1	XM_021012394.1	LOC9325576
XP_002889512.1	XM_002889466.2	LOC9328285
XP_020869149.1	XM_021013490.1	LOC9325577
XP_020869407.1	XM_021013748.1	LOC9328288
XP_020869409.1	XM_021013750.1	LOC9325578
XP_002889515.1	XM_002889469.2	LOC9325579
XP_020869248.1	XM_021013589.1	LOC9325580
XP_002892226.1	XM_002892180.2	LOC9325580
XP_020868535.1	XM_021012876.1	LOC9328289
XP_002892227.1	XM_002892181.2	LOC9328289
XP_020868536.1	XM_021012877.1	LOC9328290
XP_002892228.1	XM_002892182.2	LOC9328290
XP_020870370.1	XM_021014711.1	LOC9328291
XP_020870371.1	XM_021014712.1	LOC9328291
XP_020867463.1	XM_021011804.1	LOC9325581
XP_020867462.1	XM_021011803.1	LOC9325582
XP_020867461.1	XM_021011802.1	LOC9325582
XP_002892229.1	XM_002892183.2	LOC9325582
XP_020867468.1	XM_021011809.1	LOC9328292
XP_020867467.1	XM_021011808.1	LOC110224772
XP_020867465.1	XM_021011806.1	LOC9328293
XP_020867466.1	XM_021011807.1	LOC9328293
XP_020867464.1	XM_021011805.1	LOC9328293
XP_002892231.1	XM_002892185.2	LOC9325583
XP_002892233.1	XM_002892187.2	LOC9328295
XP_020870628.1	XM_021014969.1	LOC9328296
XP_020870629.1	XM_021014970.1	LOC9328296
XP_020866003.1	XM_021010344.1	LOC9328297
XP_020866004.1	XM_021010345.1	LOC9328298
XP_002892236.1	XM_002892190.2	LOC9325584
XP_002889520.1	XM_002889474.2	LOC9328299
XP_020867116.1	XM_021011457.1	LOC9325585
XP_020867117.1	XM_021011458.1	LOC9325585
XP_002892237.1	XM_002892191.2	LOC9325586
