protein	mRNA	gene
XP_033137505.1	XM_033281614.1	LOC103844658
XP_033137504.1	XM_033281613.1	LOC103844658
XP_033137937.1	XM_033282046.1	LOC103844654
XP_009119703.2	XM_009121455.3	LOC103844655
XP_009119701.1	XM_009121453.3	LOC103844653
XP_009119700.1	XM_009121452.2	LOC103844652
XP_009119698.1	XM_009121450.3	LOC103844651
XP_033138039.1	XM_033282148.1	LOC103844650
XP_009119694.1	XM_009121446.3	LOC103844649
XP_009119692.1	XM_009121444.3	LOC103844648
XP_018510805.1	XM_018655289.2	LOC103844648
XP_009119693.1	XM_009121445.3	LOC103844648
XP_018510717.1	XM_018655201.2	LOC103844646
XP_009119690.1	XM_009121442.3	LOC103844645
XP_009119689.1	XM_009121441.3	LOC103844644
XP_009119687.1	XM_009121439.2	LOC103844643
XP_009119688.1	XM_009121440.3	LOC103844643
XP_033138040.1	XM_033282149.1	LOC103844641
XP_009119686.1	XM_009121438.3	LOC103844642
XP_009119684.1	XM_009121436.3	LOC103844639
XP_009119683.1	XM_009121435.3	LOC103844638
XP_009119682.1	XM_009121434.3	LOC103844637
XP_033138041.1	XM_033282150.1	LOC103844632
XP_009119679.1	XM_009121431.3	LOC103844632
XP_009119681.1	XM_009121433.3	LOC103844635
XP_009119680.1	XM_009121432.3	LOC103844633
XP_009119678.1	XM_009121430.3	LOC103844631
XP_009119677.1	XM_009121429.3	LOC103844630
XP_009119674.1	XM_009121426.3	LOC103844628
XP_033138116.1	XM_033282225.1	LOC103844628
XP_009119676.1	XM_009121428.3	LOC103844629
XP_009119673.1	XM_009121425.2	LOC103844627
XP_018511260.1	XM_018655744.2	LOC108870241
XP_018511259.1	XM_018655743.2	LOC108870241
XP_018511257.1	XM_018655741.2	LOC108870241
XP_009119672.2	XM_009121424.3	LOC103844626
XP_009119671.1	XM_009121423.3	LOC103844624
XP_009119670.1	XM_009121422.3	LOC103844623
XP_009119669.1	XM_009121421.3	LOC103844622
XP_009119667.1	XM_009121419.3	LOC103844620
XP_009119668.1	XM_009121420.3	LOC103844621
XP_033138121.1	XM_033282230.1	LOC103844619
XP_009119791.1	XM_009121543.1	LOC103844731
XP_009119665.2	XM_009121417.3	LOC103844617
XP_033138119.1	XM_033282228.1	LOC103844616
XP_033138120.1	XM_033282229.1	LOC103844616
XP_009119663.1	XM_009121415.3	LOC103844615
XP_033138117.1	XM_033282226.1	LOC103844613
XP_033138118.1	XM_033282227.1	LOC103844613
XP_009119661.2	XM_009121413.3	LOC103844612
XP_009119660.1	XM_009121412.3	LOC103844611
XP_009119659.1	XM_009121411.3	LOC103844610
XP_009119658.1	XM_009121410.3	LOC103844610
XP_018510870.2	XM_018655354.2	LOC108870122
XP_033138411.1	XM_033282520.1	LOC103844730
XP_033138408.1	XM_033282517.1	LOC103844609
XP_033138407.1	XM_033282516.1	LOC103844609
XP_033138409.1	XM_033282518.1	LOC103844609
XP_033138410.1	XM_033282519.1	LOC103844608
XP_033137605.1	XM_033281714.1	LOC108870108
XP_033137604.1	XM_033281713.1	LOC108870108
XP_033137602.1	XM_033281711.1	LOC108870108
XP_033137598.1	XM_033281707.1	LOC108870108
XP_033137601.1	XM_033281710.1	LOC108870108
XP_033137600.1	XM_033281709.1	LOC108870108
XP_033137597.1	XM_033281706.1	LOC108870108
XP_033137599.1	XM_033281708.1	LOC108870108
XP_033137596.1	XM_033281705.1	LOC108870108
XP_033137608.1	XM_033281717.1	LOC117128904
XP_009119654.2	XM_009121406.2	LOC103844607
XP_033138156.1	XM_033282265.1	LOC103844729
XP_009119786.2	XM_009121538.3	LOC103844727
XP_033137594.1	XM_033281703.1	LOC103844727
XP_033138157.1	XM_033282266.1	LOC117129001
XP_033137606.1	XM_033281715.1	LOC103844724
XP_009119651.1	XM_009121403.3	LOC103844602
XP_009119648.1	XM_009121400.3	LOC103844600
XP_009119650.1	XM_009121402.3	LOC103844601
XP_009119649.1	XM_009121401.3	LOC103844601
XP_009119647.2	XM_009121399.3	LOC103844599
XP_009119646.1	XM_009121398.3	LOC103844598
XP_018511169.1	XM_018655653.2	LOC103844597
XP_009119645.1	XM_009121397.3	LOC103844597
XP_033138342.1	XM_033282451.1	LOC103844596
XP_009119642.1	XM_009121394.3	LOC103844594
XP_009119641.3	XM_009121393.3	LOC103844592
XP_033138327.1	XM_033282436.1	LOC103844723
XP_009119782.1	XM_009121534.1	LOC103844722
XP_009119640.1	XM_009121392.3	LOC103844591
XP_009119639.1	XM_009121391.3	LOC103844590
XP_009119637.1	XM_009121389.2	LOC103844590
XP_009119638.1	XM_009121390.3	LOC103844590
XP_009119636.1	XM_009121388.3	LOC103844589
XP_009119635.1	XM_009121387.3	LOC103844588
XP_009119634.1	XM_009121386.3	LOC103844587
XP_009119630.1	XM_009121382.3	LOC103844582
XP_009119780.2	XM_009121532.2	LOC103844720
XP_009119631.3	XM_009121383.3	LOC103844583
XP_033138358.1	XM_033282467.1	LOC103844586
XP_009119629.2	XM_009121381.2	LOC103844581
XP_009119626.1	XM_009121378.3	LOC103844579
XP_009119627.1	XM_009121379.3	LOC103844579
XP_009119628.1	XM_009121380.3	LOC103844580
XP_009119625.2	XM_009121377.3	LOC103844578
XP_033138280.1	XM_033282389.1	LOC103844578
XP_009119624.1	XM_009121376.3	LOC103844577
XP_033138346.1	XM_033282455.1	LOC103844576
XP_033138158.1	XM_033282267.1	LOC103844718
XP_009119622.1	XM_009121374.3	LOC103844575
XP_018511021.2	XM_018655505.2	LOC103844717
XP_009119616.1	XM_009121368.3	LOC103844567
XP_009119617.1	XM_009121369.3	LOC103844568
XP_009119618.2	XM_009121370.3	LOC103844569
XP_009119619.1	XM_009121371.3	LOC103844570
XP_018510868.1	XM_018655352.1	LOC108870121
XP_033138312.1	XM_033282421.1	LOC103844572
XP_009119620.1	XM_009121372.3	LOC103844572
XP_033138313.1	XM_033282422.1	LOC103844572
XP_009119621.1	XM_009121373.3	LOC103844573
XP_009119615.1	XM_009121367.3	LOC103844566
XP_009119614.1	XM_009121366.3	LOC103844565
XP_009119613.2	XM_009121365.3	LOC103844564
XP_009119612.1	XM_009121364.3	LOC103844563
XP_009119610.2	XM_009121362.3	LOC103844561
XP_009119611.1	XM_009121363.3	LOC103844562
XP_009119609.1	XM_009121361.3	LOC103844560
XP_009119608.1	XM_009121360.3	LOC103844559
XP_009119607.1	XM_009121359.3	LOC103844558
XP_009119606.1	XM_009121358.3	LOC103844557
XP_009119604.1	XM_009121356.3	LOC103844555
XP_009119605.2	XM_009121357.3	LOC103844556
XP_009119603.1	XM_009121355.3	LOC103844554
XP_033138345.1	XM_033282454.1	LOC103844552
XP_009119601.2	XM_009121353.3	LOC103844552
XP_009119602.1	XM_009121354.3	LOC103844552
XP_009119599.1	XM_009121351.3	LOC103844551
XP_009119600.1	XM_009121352.3	LOC103844551
XP_033138281.1	XM_033282390.1	LOC103844551
XP_009119598.3	XM_009121350.3	LOC103844550
XP_009119597.1	XM_009121349.3	LOC103844549
XP_009119594.1	XM_009121346.2	LOC103844548
XP_009119592.1	XM_009121344.2	LOC103844547
XP_009119590.1	XM_009121342.3	LOC103844545
XP_009119591.1	XM_009121343.3	LOC103844545
XP_033138367.1	XM_033282476.1	LOC103844544
XP_009119587.1	XM_009121339.3	LOC103844542
XP_033138294.1	XM_033282403.1	LOC103844542
XP_033138366.1	XM_033282475.1	LOC103844543
XP_018511083.2	XM_018655567.2	LOC108868796
XP_009119585.1	XM_009121337.3	LOC103844540
XP_009119586.1	XM_009121338.3	LOC103844540
XP_033138298.1	XM_033282407.1	LOC103844540
XP_033138360.1	XM_033282469.1	LOC103844538
XP_033138338.1	XM_033282447.1	LOC103844536
XP_033138340.1	XM_033282449.1	LOC103844536
XP_009119581.1	XM_009121333.3	LOC103844536
XP_033138341.1	XM_033282450.1	LOC103844536
XP_033138339.1	XM_033282448.1	LOC103844536
XP_009119582.1	XM_009121334.3	LOC103844536
XP_009119583.1	XM_009121335.3	LOC103844537
XP_009119579.1	XM_009121331.3	LOC103844535
XP_033138277.1	XM_033282386.1	LOC103844534
XP_009119578.2	XM_009121330.3	LOC103844534
XP_009119775.3	XM_009121527.3	LOC103844716
XP_033138365.1	XM_033282474.1	LOC117129090
XP_033138353.1	XM_033282462.1	LOC117129081
XP_009119572.1	XM_009121324.3	LOC103844530
XP_033138278.1	XM_033282387.1	LOC103844532
XP_033138291.1	XM_033282400.1	LOC103844533
XP_033138292.1	XM_033282401.1	LOC103844533
XP_009119571.1	XM_009121323.3	LOC103844529
XP_033138326.1	XM_033282435.1	LOC103844712
XP_009119570.1	XM_009121322.3	LOC103844528
XP_009119569.1	XM_009121321.2	LOC103844527
XP_009119568.1	XM_009121320.3	LOC103844526
XP_009119567.1	XM_009121319.2	LOC103844525
XP_033138348.1	XM_033282457.1	LOC103844525
XP_009119566.3	XM_009121318.3	LOC103844524
XP_033138311.1	XM_033282420.1	LOC103844524
XP_009119564.1	XM_009121316.2	LOC103844523
XP_009119558.1	XM_009121310.3	LOC103844521
XP_009119562.1	XM_009121314.3	LOC103844521
XP_018511153.1	XM_018655637.2	LOC103844521
XP_033138310.1	XM_033282419.1	LOC103844521
XP_009119560.1	XM_009121312.3	LOC103844521
XP_033138309.1	XM_033282418.1	LOC103844521
XP_018511150.1	XM_018655634.2	LOC103844521
XP_009119561.1	XM_009121313.3	LOC103844521
XP_018511152.1	XM_018655636.2	LOC103844521
XP_018511151.1	XM_018655635.2	LOC103844521
XP_033138328.1	XM_033282437.1	LOC103844520
XP_033138289.1	XM_033282398.1	LOC103844710
XP_033138169.1	XM_033282278.1	LOC117129003
XP_033138352.1	XM_033282461.1	LOC103844708
XP_009119556.1	XM_009121308.3	LOC103844518
XP_009119555.1	XM_009121307.3	LOC103844518
XP_033138357.1	XM_033282466.1	LOC103844516
XP_009119554.1	XM_009121306.3	LOC103844517
XP_009119550.1	XM_009121302.3	LOC103844514
XP_009119551.1	XM_009121303.3	LOC103844515
XP_009119549.1	XM_009121301.3	LOC103844513
XP_009119548.1	XM_009121300.3	LOC103844512
XP_033138290.1	XM_033282399.1	LOC117129043
XP_033138170.1	XM_033282279.1	LOC117129004
XP_033138171.1	XM_033282280.1	LOC117129005
XP_033138172.1	XM_033282281.1	LOC117129006
XP_033138330.1	XM_033282439.1	LOC117129066
XP_033138337.1	XM_033282446.1	LOC117129068
XP_009119546.1	XM_009121298.3	LOC103844510
XP_009119547.1	XM_009121299.3	LOC103844511
XP_009119545.1	XM_009121297.3	LOC103844509
XP_009119544.1	XM_009121296.3	LOC103844507
XP_018510744.1	XM_018655228.2	LOC103844506
XP_009119542.1	XM_009121294.3	LOC103844505
XP_009119541.1	XM_009121293.3	LOC103844504
XP_018510778.1	XM_018655262.2	LOC103844503
XP_018510779.1	XM_018655263.2	LOC103844503
XP_009119540.1	XM_009121292.3	LOC103844503
XP_009119539.1	XM_009121291.3	LOC103844503
XP_033138347.1	XM_033282456.1	LOC103844503
XP_009119536.2	XM_009121288.3	LOC103844502
XP_033138297.1	XM_033282406.1	LOC117129048
XP_033138354.1	XM_033282463.1	LOC103844500
XP_033138296.1	XM_033282405.1	LOC117129046
XP_033138173.1	XM_033282282.1	LOC103844705
XP_033138174.1	XM_033282283.1	LOC103844703
XP_033138321.1	XM_033282430.1	LOC103844498
XP_009119534.1	XM_009121286.3	LOC103844497
XP_033138343.1	XM_033282452.1	LOC117129073
XP_033138344.1	XM_033282453.1	LOC117129073
XP_009119532.2	XM_009121284.2	LOC103844495
XP_009119530.1	XM_009121282.3	LOC103844494
XP_009119529.1	XM_009121281.3	LOC103844493
XP_009119528.1	XM_009121280.3	LOC103844492
XP_009119527.2	XM_009121279.3	LOC103844490
XP_009119525.2	XM_009121277.3	LOC103844490
XP_018511059.2	XM_018655543.2	LOC103844490
XP_033138329.1	XM_033282438.1	LOC103844489
XP_009119523.1	XM_009121275.3	LOC103844489
XP_033138175.1	XM_033282284.1	LOC103844702
XP_009119376.1	XM_009121128.3	LOC103844326
XP_009119375.2	XM_009121127.3	LOC103844325
XP_033138351.1	XM_033282460.1	LOC103844324
XP_009119374.1	XM_009121126.3	LOC103844324
XP_009119373.1	XM_009121125.3	LOC103844323
XP_033138369.1	XM_033282478.1	LOC103844322
XP_009119368.2	XM_009121120.2	LOC103844321
XP_033138295.1	XM_033282404.1	LOC103844321
XP_009119367.1	XM_009121119.3	LOC103844320
XP_009119366.1	XM_009121118.3	LOC103844319
XP_009119365.1	XM_009121117.3	LOC103844317
XP_009119364.2	XM_009121116.3	LOC103844316
XP_033138324.1	XM_033282433.1	LOC103844315
XP_033138325.1	XM_033282434.1	LOC103844315
XP_033138176.1	XM_033282285.1	LOC117129007
XP_009119488.1	XM_009121240.1	LOC103844459
XP_009119362.2	XM_009121114.3	LOC103844313
XP_009119360.1	XM_009121112.2	LOC103844311
XP_009119361.1	XM_009121113.3	LOC103844312
XP_033138318.1	XM_033282427.1	LOC103844310
XP_033138317.1	XM_033282426.1	LOC103844310
XP_009119356.1	XM_009121108.2	LOC103844309
XP_009119355.2	XM_009121107.3	LOC103844307
XP_009119354.1	XM_009121106.3	LOC103844306
XP_009119353.1	XM_009121105.2	LOC103844305
XP_009119352.2	XM_009121104.3	LOC103844304
XP_009119351.1	XM_009121103.2	LOC103844303
XP_009119350.2	XM_009121102.3	LOC103844302
XP_009119348.2	XM_009121100.3	LOC103844299
XP_033138304.1	XM_033282413.1	LOC103844299
XP_033138305.1	XM_033282414.1	LOC103844299
XP_009119485.2	XM_009121237.2	LOC103844457
XP_009119347.1	XM_009121099.3	LOC103844298
XP_033138355.1	XM_033282464.1	LOC103844298
XP_009119346.1	XM_009121098.3	LOC103844297
XP_033138356.1	XM_033282465.1	LOC103844296
XP_009119344.1	XM_009121096.3	LOC103844295
XP_009119343.1	XM_009121095.3	LOC103844295
XP_009119342.1	XM_009121094.3	LOC103844295
XP_009119340.1	XM_009121092.2	LOC103844293
XP_018511180.1	XM_018655664.2	LOC108868757
XP_033138363.1	XM_033282472.1	LOC103844291
XP_033138361.1	XM_033282470.1	LOC103844291
XP_033138362.1	XM_033282471.1	LOC103844291
XP_009119334.1	XM_009121086.3	LOC103844289
XP_033138293.1	XM_033282402.1	LOC103844289
XP_009119336.1	XM_009121088.3	LOC103844289
XP_009119337.1	XM_009121089.3	LOC103844289
XP_009119330.1	XM_009121082.3	LOC103844286
XP_009119331.1	XM_009121083.3	LOC103844287
XP_009119332.1	XM_009121084.3	LOC103844288
XP_033138323.1	XM_033282432.1	LOC108870213
XP_033138322.1	XM_033282431.1	LOC108870213
XP_033138177.1	XM_033282286.1	LOC117129008
XP_009119329.1	XM_009121081.3	LOC103844284
XP_033138178.1	XM_033282287.1	LOC103844455
XP_009119328.2	XM_009121080.3	LOC103844283
XP_009119482.2	XM_009121234.2	LOC103844454
XP_009119327.1	XM_009121079.3	LOC103844281
XP_033138306.1	XM_033282415.1	LOC117129053
XP_033138307.1	XM_033282416.1	LOC117129053
XP_033138308.1	XM_033282417.1	LOC117129053
XP_033138314.1	XM_033282423.1	LOC117129058
XP_033138315.1	XM_033282424.1	LOC117129059
XP_033138180.1	XM_033282289.1	LOC117129009
XP_033138288.1	XM_033282397.1	LOC117129041
XP_033138287.1	XM_033282396.1	LOC117129041
XP_033138320.1	XM_033282429.1	LOC117129062
XP_009119326.1	XM_009121078.3	LOC103844279
XP_009119325.1	XM_009121077.3	LOC103844277
XP_009119324.1	XM_009121076.3	LOC103844276
XP_009119323.2	XM_009121075.3	LOC103844275
XP_009119322.1	XM_009121074.3	LOC103844274
XP_009119320.1	XM_009121072.3	LOC103844273
XP_009119321.1	XM_009121073.3	LOC103844273
XP_009119319.1	XM_009121071.3	LOC103844272
XP_033138284.1	XM_033282393.1	LOC103844271
XP_033138283.1	XM_033282392.1	LOC103844271
XP_033138282.1	XM_033282391.1	LOC103844271
XP_009119315.1	XM_009121067.3	LOC103844270
XP_033138181.1	XM_033282290.1	LOC103851739
XP_009119314.1	XM_009121066.3	LOC103844268
XP_009119313.1	XM_009121065.3	LOC103844267
XP_009119312.2	XM_009121064.3	LOC103844266
XP_009119310.1	XM_009121062.3	LOC103844264
XP_009119311.1	XM_009121063.3	LOC103844265
XP_033138359.1	XM_033282468.1	LOC103844263
XP_009119308.1	XM_009121060.3	LOC103844262
XP_033138299.1	XM_033282408.1	LOC117129050
XP_033138286.1	XM_033282395.1	LOC117129040
XP_033138285.1	XM_033282394.1	LOC117129040
XP_009119304.1	XM_009121056.3	LOC103844259
XP_009119305.1	XM_009121057.2	LOC103844259
XP_009119306.3	XM_009121058.3	LOC103844260
XP_033138303.1	XM_033282412.1	LOC103844260
XP_018511056.2	XM_018655540.2	LOC103844260
XP_018511055.2	XM_018655539.2	LOC103844260
XP_009119303.2	XM_009121055.3	LOC103844258
XP_009119302.1	XM_009121054.3	LOC103844256
XP_009119300.1	XM_009121052.3	LOC103844255
XP_033138301.1	XM_033282410.1	LOC103844255
XP_033138300.1	XM_033282409.1	LOC103844255
XP_033138319.1	XM_033282428.1	LOC103844254
XP_009119298.1	XM_009121050.3	LOC103844254
XP_009119297.1	XM_009121049.3	LOC103844253
XP_009119294.2	XM_009121046.3	LOC103844251
XP_009119296.1	XM_009121048.3	LOC103844252
XP_033138364.1	XM_033282473.1	LOC103844453
XP_009119291.1	XM_009121043.3	LOC103844250
XP_033138334.1	XM_033282443.1	LOC103844250
XP_009119293.1	XM_009121045.3	LOC103844250
XP_018511062.1	XM_018655546.2	LOC103844250
XP_033138333.1	XM_033282442.1	LOC103844250
XP_033138332.1	XM_033282441.1	LOC103844250
XP_009119290.1	XM_009121042.3	LOC103844248
XP_009119289.1	XM_009121041.3	LOC103844247
XP_009119288.1	XM_009121040.3	LOC103844246
XP_009119478.1	XM_009121230.1	LOC103844451
XP_033138302.1	XM_033282411.1	LOC103844449
XP_009119283.1	XM_009121035.3	LOC103844245
XP_009119284.1	XM_009121036.3	LOC103844245
XP_009119285.1	XM_009121037.3	LOC103844245
XP_009119286.1	XM_009121038.3	LOC103844245
XP_033138349.1	XM_033282458.1	LOC103844245
XP_009119281.1	XM_009121033.3	LOC103844244
XP_009119280.1	XM_009121032.3	LOC103844243
XP_009119279.1	XM_009121031.3	LOC103844242
XP_018510721.1	XM_018655205.2	LOC103844242
XP_033138279.1	XM_033282388.1	LOC103844240
XP_009119278.1	XM_009121030.3	LOC103844240
XP_033138336.1	XM_033282445.1	LOC103844239
XP_033138335.1	XM_033282444.1	LOC103844239
XP_009119275.1	XM_009121027.3	LOC103844239
XP_033138316.1	XM_033282425.1	LOC103844236
XP_009119273.1	XM_009121025.3	LOC103844236
XP_009119272.1	XM_009121024.2	LOC103844235
XP_009119270.1	XM_009121022.3	LOC103844234
XP_009119269.1	XM_009121021.3	LOC103844233
XP_009119267.1	XM_009121019.3	LOC103844232
XP_033138368.1	XM_033282477.1	LOC103844448
XP_009119476.1	XM_009121228.1	LOC103844447
XP_009119266.1	XM_009121018.2	LOC103844230
XP_009119265.2	XM_009121017.3	LOC103844229
XP_009119264.1	XM_009121016.3	LOC103844228
XP_009119261.1	XM_009121013.3	LOC103844226
XP_033137450.1	XM_033281559.1	LOC103844226
XP_009119262.1	XM_009121014.3	LOC103844226
XP_009119263.2	XM_009121015.2	LOC103844227
XP_018511096.2	XM_018655580.2	LOC103844227
XP_009119260.1	XM_009121012.3	LOC103844225
XP_009119258.1	XM_009121010.3	LOC103844224
XP_009119257.1	XM_009121009.3	LOC103844223
XP_033138203.1	XM_033282312.1	LOC103844221
XP_018511177.1	XM_018655661.2	LOC103844221
XP_033138207.1	XM_033282316.1	LOC103844221
XP_033138205.1	XM_033282314.1	LOC103844221
XP_033138202.1	XM_033282311.1	LOC103844221
XP_033138206.1	XM_033282315.1	LOC103844221
XP_033138208.1	XM_033282317.1	LOC103844221
XP_009119254.1	XM_009121006.3	LOC103844219
XP_009119252.1	XM_009121004.3	LOC103844217
XP_018511199.1	XM_018655683.2	LOC103844217
XP_009119251.1	XM_009121003.3	LOC103844216
XP_009119250.1	XM_009121002.3	LOC103844215
XP_033138192.1	XM_033282301.1	LOC103844206
XP_033138193.1	XM_033282302.1	LOC103844206
XP_009119249.1	XM_009121001.3	LOC103844206
XP_009119241.2	XM_009120993.3	LOC103844206
XP_033138199.1	XM_033282308.1	LOC103844442
XP_033138198.1	XM_033282307.1	LOC103844442
XP_033138197.1	XM_033282306.1	LOC103844442
XP_009119238.2	XM_009120990.3	LOC103844204
XP_009119243.1	XM_009120995.3	LOC103844207
XP_009119242.1	XM_009120994.3	LOC103844207
XP_018511119.1	XM_018655603.2	LOC103844207
XP_009119237.2	XM_009120989.3	LOC103844203
XP_033138196.1	XM_033282305.1	LOC103844202
XP_009119236.1	XM_009120988.3	LOC103844202
XP_033138191.1	XM_033282300.1	LOC103844441
XP_009119234.1	XM_009120986.3	LOC103844200
XP_009119235.1	XM_009120987.3	LOC103844200
XP_033138189.1	XM_033282298.1	LOC103844199
XP_033138190.1	XM_033282299.1	LOC103844199
XP_009119232.1	XM_009120984.3	LOC103844198
XP_033138201.1	XM_033282310.1	LOC103844198
XP_009119228.1	XM_009120980.3	LOC103844196
XP_009119229.1	XM_009120981.2	LOC103844197
XP_033138194.1	XM_033282303.1	LOC103844197
XP_033137757.1	XM_033281866.1	LOC103844195
XP_009119227.1	XM_009120979.3	LOC103844195
XP_009119225.1	XM_009120977.3	LOC103844195
XP_033137755.1	XM_033281864.1	LOC103844195
XP_033137754.1	XM_033281863.1	LOC103844195
XP_033137753.1	XM_033281862.1	LOC103844194
XP_033137751.1	XM_033281860.1	LOC103844192
XP_009119221.1	XM_009120973.3	LOC103844192
XP_033137752.1	XM_033281861.1	LOC103844192
XP_009119222.1	XM_009120974.2	LOC103844192
XP_033138183.1	XM_033282292.1	LOC117129012
XP_009119220.1	XM_009120972.3	LOC103844190
XP_033138184.1	XM_033282293.1	LOC103844439
XP_009119218.1	XM_009120970.3	LOC103844188
XP_009119217.1	XM_009120969.3	LOC103844187
XP_018511215.1	XM_018655699.2	LOC103844186
XP_009119216.1	XM_009120968.3	LOC103844186
XP_009119214.1	XM_009120966.3	LOC103844184
XP_009119213.2	XM_009120965.3	LOC103844183
XP_033138391.1	XM_033282500.1	LOC103844438
XP_009119471.2	XM_009121223.3	LOC103844438
XP_009119470.2	XM_009121222.3	LOC103844437
XP_009119211.1	XM_009120963.3	LOC103844180
XP_033138475.1	XM_033282584.1	LOC103844179
XP_009119208.1	XM_009120960.3	LOC103844177
XP_009119209.1	XM_009120961.3	LOC103844178
XP_033138474.1	XM_033282583.1	LOC103844178
XP_009119207.2	XM_009120959.3	LOC103844176
XP_009119201.1	XM_009120953.3	LOC103844170
XP_009119203.1	XM_009120955.3	LOC103844174
XP_033138472.1	XM_033282581.1	LOC103844175
XP_009119204.1	XM_009120956.3	LOC103844175
XP_018511113.1	XM_018655597.2	LOC103844175
XP_033138473.1	XM_033282582.1	LOC103844175
XP_009119200.1	XM_009120952.3	LOC103844169
XP_009119196.1	XM_009120948.2	LOC103844165
XP_009119194.1	XM_009120946.2	LOC103844165
XP_009119195.1	XM_009120947.2	LOC103844165
XP_009119198.1	XM_009120950.2	LOC103844168
XP_009119197.1	XM_009120949.2	LOC103844168
XP_009119191.1	XM_009120943.3	LOC103844164
XP_009119193.1	XM_009120945.3	LOC103844164
XP_033137876.1	XM_033281985.1	LOC103844164
XP_009119192.1	XM_009120944.3	LOC103844164
XP_033137314.1	XM_033281423.1	LOC103844163
NP_001288878.1	NM_001301949.1	LOC103844163
XP_009119188.1	XM_009120940.3	LOC103844162
XP_009119184.1	XM_009120936.3	LOC103844161
XP_009119183.1	XM_009120935.3	LOC103844161
XP_009119186.1	XM_009120938.3	LOC103844161
XP_033137864.1	XM_033281973.1	LOC103844161
XP_009119182.1	XM_009120934.3	LOC103844160
XP_009119181.1	XM_009120933.3	LOC103844158
XP_009119179.1	XM_009120931.3	LOC103844157
XP_009119178.1	XM_009120930.3	LOC103844157
XP_009119177.1	XM_009120929.3	LOC103844157
XP_033137866.1	XM_033281975.1	LOC103844157
XP_033137867.1	XM_033281976.1	LOC103844157
XP_009119180.1	XM_009120932.3	LOC103844157
XP_033137865.1	XM_033281974.1	LOC103844157
XP_009119176.2	XM_009120928.2	LOC103844156
