Orthogroup	Aethionema_saxatile	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_napus	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_amara	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Erysimum_linariifolium	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Odontarrhena_muralis	Raphanus_sativus
OG0038182	As001G011820																						
OG0038183	As001G011920																						
OG0038184	As001G011950																						
OG0038185	As001G011980																						
OG0038186	As001G012580																						
OG0038187	As001G012660																						
OG0038188	As001G012740																						
OG0038189	As001G012930																						
OG0038190	As001G013200																						
OG0038191	As001G013410																						
OG0038192	As001G013450																						
OG0038193	As001G013900																						
OG0038194	As001G013930																						
OG0038195	As001G014000																						
OG0038196	As001G014050																						
OG0038197	As001G015230																						
OG0038198	As001G015400																						
OG0038199	As001G015500																						
OG0038200	As001G016430																						
OG0038201	As001G017000																						
OG0038202	As001G017160																						
OG0038203	As001G017240																						
OG0038204	As001G017910																						
OG0038205	As001G018190																						
OG0038206	As001G018250																						
OG0038207	As001G018290																						
OG0038208	As001G019170																						
OG0038209	As001G019990																						
OG0038210	As001G020750																						
OG0038211	As001G021280																						
OG0038212	As001G021320																						
OG0038213	As001G022160																						
OG0038214	As001G022540																						
OG0038215	As001G022960																						
OG0038216	As001G023490																						
OG0038217	As001G023740																						
OG0038218	As001G024250																						
OG0038219	As001G024970																						
OG0038220	As001G025030																						
OG0038221	As001G025360																						
OG0038222	As001G026560																						
OG0038223	As001G026640																						
OG0038224	As001G027290																						
OG0038225	As001G027340																						
OG0038226	As001G027930																						
OG0038227	As001G028610																						
OG0038228	As001G028620																						
OG0038229	As001G028630																						
OG0038230	As001G028640																						
OG0038231	As001G028860																						
OG0038232	As001G028950																						
OG0038233	As001G029560																						
OG0038234	As001G030050																						
OG0038235	As001G030120																						
OG0038236	As001G030780																						
OG0038237	As001G030790																						
OG0038238	As001G030880																						
OG0038239	As001G030980																						
OG0038240	As001G031100																						
OG0038241	As001G031270																						
OG0038242	As001G031480																						
OG0038243	As001G031960																						
OG0038244	As001G032250																						
OG0038245	As001G032290																						
OG0038246	As002G033200																						
OG0038247	As002G033390																						
OG0038248	As002G034950																						
OG0038249	As002G035860																						
OG0038250	As002G035890																						
OG0038251	As002G036060																						
OG0038252	As002G036420																						
OG0038253	As002G036550																						
OG0038254	As002G037450																						
OG0038255	As002G037640																						
OG0038256	As002G038020																						
OG0038257	As002G038800																						
OG0038258	As002G038910																						
OG0038259	As002G038980																						
OG0038260	As002G039330																						
OG0038261	As002G039370																						
OG0038262	As002G039420																						
OG0038263	As002G039620																						
OG0038264	As002G040000																						
OG0038265	As002G040190																						
OG0038266	As002G040340																						
OG0038267	As002G040470																						
OG0038268	As002G040550																						
OG0038269	As002G040660																						
OG0038270	As002G041000																						
OG0038271	As002G041020																						
OG0038272	As002G041160																						
OG0038273	As002G041520																						
OG0038274	As002G041640																						
OG0038275	As002G042040																						
OG0038276	As002G042360																						
OG0038277	As002G042470																						
OG0038278	As002G042530																						
OG0038279	As002G042570																						
OG0038280	As002G043220																						
OG0038281	As002G044200																						
OG0038282	As002G044360																						
OG0038283	As002G044470																						
OG0038284	As002G044560																						
OG0038285	As002G044570																						
OG0038286	As002G046000																						
OG0038287	As002G046110																						
OG0038288	As002G046170																						
OG0038289	As002G046230																						
OG0038290	As002G046490																						
OG0038291	As002G048590																						
OG0038292	As002G048680																						
OG0038293	As002G048830																						
OG0038294	As002G049490																						
OG0038295	As002G049890																						
OG0038296	As002G051040																						
OG0038297	As002G051470																						
OG0038298	As002G052600																						
OG0038299	As002G052770																						
OG0038300	As002G052950																						
OG0038301	As002G053030																						
OG0038302	As002G053200																						
OG0038303	As002G053350																						
OG0038304	As002G053640																						
OG0038305	As002G053660																						
OG0038306	As002G053710																						
OG0038307	As002G054430																						
OG0038308	As002G054440																						
OG0038309	As002G055180																						
OG0038310	As002G055190																						
OG0038311	As002G055230																						
OG0038312	As002G055300																						
OG0038313	As002G055520																						
OG0038314	As003G055800																						
OG0038315	As003G056120																						
OG0038316	As003G056870																						
OG0038317	As003G057150																						
OG0038318	As003G057160																						
OG0038319	As003G057620																						
OG0038320	As003G057880																						
OG0038321	As003G057990																						
OG0038322	As003G058010																						
OG0038323	As003G059040																						
OG0038324	As003G059670																						
OG0038325	As003G059830																						
OG0038326	As003G060020																						
OG0038327	As003G060090																						
OG0038328	As003G060100																						
OG0038329	As003G060130																						
OG0038330	As003G060200																						
OG0038331	As003G060520																						
OG0038332	As003G060700																						
OG0038333	As003G061220																						
OG0038334	As003G061260																						
OG0038335	As003G061320																						
OG0038336	As003G061330																						
OG0038337	As003G061740																						
OG0038338	As003G061980																						
OG0038339	As003G062330																						
OG0038340	As003G062510																						
OG0038341	As003G062550																						
OG0038342	As003G062710																						
OG0038343	As003G064040																						
OG0038344	As003G064480																						
OG0038345	As003G064500																						
OG0038346	As003G064730																						
OG0038347	As003G065140																						
OG0038348	As003G065280																						
OG0038349	As003G065300																						
OG0038350	As003G065320																						
OG0038351	As003G065550																						
OG0038352	As003G065680																						
OG0038353	As003G065800																						
OG0038354	As003G065840																						
OG0038355	As003G066030																						
OG0038356	As003G066120																						
OG0038357	As003G066410																						
OG0038358	As003G066440																						
OG0038359	As003G066470																						
OG0038360	As003G066540																						
OG0038361	As003G066560																						
OG0038362	As003G066590																						
OG0038363	As003G066830																						
OG0038364	As003G066930																						
OG0038365	As003G066950																						
OG0038366	As003G067190																						
OG0038367	As003G067220																						
OG0038368	As003G067250																						
OG0038369	As003G067290																						
OG0038370	As003G067500																						
OG0038371	As003G067700																						
OG0038372	As003G067780																						
OG0038373	As003G067940																						
OG0038374	As003G068010																						
OG0038375	As003G068040																						
OG0038376	As003G068070																						
OG0038377	As003G068090																						
OG0038378	As003G068110																						
OG0038379	As003G068130																						
OG0038380	As003G068170																						
OG0038381	As003G068180																						
OG0038382	As003G068240																						
OG0038383	As003G068310																						
OG0038384	As003G068340																						
OG0038385	As003G068410																						
OG0038386	As003G068440																						
OG0038387	As003G068650																						
OG0038388	As003G068880																						
OG0038389	As003G069350																						
OG0038390	As003G069530																						
OG0038391	As003G069770																						
OG0038392	As003G070000																						
OG0038393	As003G070270																						
OG0038394	As003G070560																						
OG0038395	As003G070930																						
OG0038396	As003G071780																						
OG0038397	As003G072640																						
OG0038398	As003G072680																						
OG0038399	As003G072770																						
OG0038400	As003G073850																						
OG0038401	As003G074960																						
OG0038402	As004G077000																						
OG0038403	As004G077590																						
OG0038404	As004G078200																						
OG0038405	As004G078280																						
OG0038406	As004G079120																						
OG0038407	As004G079340																						
OG0038408	As004G079480																						
OG0038409	As004G079580																						
OG0038410	As004G079880																						
OG0038411	As004G080280																						
OG0038412	As004G080370																						
OG0038413	As004G080750																						
OG0038414	As004G081000																						
OG0038415	As004G081150																						
OG0038416	As004G081480																						
OG0038417	As004G081490																						
OG0038418	As004G081740																						
OG0038419	As004G081870																						
OG0038420	As004G082370																						
OG0038421	As004G083180																						
OG0038422	As004G084380																						
OG0038423	As004G085230																						
OG0038424	As004G085260																						
OG0038425	As004G086360																						
OG0038426	As004G086520																						
OG0038427	As004G086600																						
OG0038428	As004G087200																						
OG0038429	As004G087230																						
OG0038430	As004G087260																						
OG0038431	As004G088430																						
OG0038432	As004G088790																						
OG0038433	As004G089110																						
OG0038434	As004G089580																						
OG0038435	As004G089730																						
OG0038436	As004G089790																						
OG0038437	As004G090420																						
OG0038438	As004G090450																						
OG0038439	As004G090530																						
OG0038440	As004G090630																						
OG0038441	As004G090760																						
OG0038442	As004G090890																						
OG0038443	As004G091030																						
OG0038444	As004G091680																						
OG0038445	As004G091770																						
OG0038446	As004G091840																						
OG0038447	As004G091950																						
OG0038448	As004G092200																						
OG0038449	As004G092360																						
OG0038450	As004G092370																						
OG0038451	As004G092390																						
OG0038452	As004G092400																						
OG0038453	As004G092480																						
OG0038454	As004G093120																						
OG0038455	As004G093160																						
OG0038456	As004G094100																						
OG0038457	As004G094160																						
OG0038458	As004G094310																						
OG0038459	As004G094390																						
OG0038460	As004G094770																						
OG0038461	As004G095170																						
OG0038462	As004G095520																						
OG0038463	As004G095530																						
OG0038464	As004G095540																						
OG0038465	As004G096210																						
OG0038466	As004G096730																						
OG0038467	As004G096890																						
OG0038468	As004G097420																						
OG0038469	As004G097830																						
OG0038470	As004G098130																						
OG0038471	As004G098160																						
OG0038472	As004G098430																						
OG0038473	As004G098500																						
OG0038474	As004G098540																						
OG0038475	As005G098960																						
OG0038476	As005G098970																						
OG0038477	As005G099080																						
OG0038478	As005G099290																						
OG0038479	As005G099760																						
OG0038480	As005G100630																						
OG0038481	As005G101520																						
OG0038482	As005G102070																						
OG0038483	As005G103640																						
OG0038484	As005G103740																						
OG0038485	As005G104160																						
OG0038486	As005G104610																						
OG0038487	As005G104720																						
OG0038488	As005G105070																						
OG0038489	As005G105410																						
OG0038490	As005G105520																						
OG0038491	As005G105740																						
OG0038492	As005G106050																						
OG0038493	As005G106430																						
OG0038494	As005G106930																						
OG0038495	As005G107110																						
OG0038496	As005G107470																						
OG0038497	As005G107650																						
OG0038498	As005G108110																						
OG0038499	As005G108870																						
OG0038500	As005G109030																						
OG0038501	As005G109090																						
OG0038502	As005G109300																						
OG0038503	As005G109620																						
OG0038504	As005G109640																						
OG0038505	As005G109660																						
OG0038506	As005G109740																						
OG0038507	As005G109820																						
OG0038508	As005G109930																						
OG0038509	As005G109960																						
OG0038510	As005G110090																						
OG0038511	As005G110210																						
OG0038512	As005G110220																						
OG0038513	As005G110430																						
OG0038514	As005G110480																						
OG0038515	As005G110640																						
OG0038516	As005G110990																						
OG0038517	As005G111170																						
OG0038518	As005G111290																						
OG0038519	As005G111350																						
OG0038520	As005G111630																						
OG0038521	As005G111640																						
OG0038522	As005G111700																						
OG0038523	As005G111750																						
OG0038524	As005G111970																						
OG0038525	As005G112050																						
OG0038526	As005G112400																						
OG0038527	As005G112510																						
OG0038528	As005G112870																						
OG0038529	As005G113520																						
OG0038530	As005G113610																						
OG0038531	As005G113620																						
OG0038532	As005G114790																						
OG0038533	As005G114890																						
OG0038534	As005G114940																						
OG0038535	As005G115330																						
OG0038536	As005G115680																						
OG0038537	As005G115790																						
OG0038538	As005G117430																						
OG0038539	As005G117930																						
OG0038540	As005G119850																						
OG0038541	As005G120370																						
OG0038542	As006G121070																						
OG0038543	As006G122810																						
OG0038544	As006G122940																						
OG0038545	As006G123350																						
OG0038546	As006G123490																						
OG0038547	As006G123530																						
OG0038548	As006G123940																						
OG0038549	As006G124480																						
OG0038550	As006G126060																						
OG0038551	As006G126580																						
OG0038552	As006G126650																						
OG0038553	As006G126760																						
OG0038554	As006G127550																						
OG0038555	As006G129270																						
OG0038556	As006G129770																						
OG0038557	As006G131040																						
OG0038558	As006G131080																						
OG0038559	As006G131140																						
OG0038560	As006G132230																						
OG0038561	As006G132530																						
OG0038562	As006G133200																						
OG0038563	As006G134460																						
OG0038564	As006G134620																						
OG0038565	As006G134630																						
OG0038566	As006G135350																						
OG0038567	As006G135540																						
OG0038568	As006G136510																						
OG0038569	As006G136550																						
OG0038570	As006G136870																						
OG0038571	As006G138500																						
OG0038572	As006G138510																						
OG0038573	As006G138700																						
OG0038574	As006G138920																						
OG0038575	As006G140020																						
OG0038576	As006G140060																						
OG0038577	As006G140510																						
OG0038578	As006G140520																						
OG0038579	As006G140710																						
OG0038580	As006G140720																						
OG0038581	As006G140910																						
OG0038582	As006G141750																						
OG0038583	As006G141790																						
OG0038584	As006G141900																						
OG0038585	As006G142200																						
OG0038586	As006G142440																						
OG0038587	As006G142760																						
OG0038588	As006G142860																						
OG0038589	As006G143420																						
OG0038590	As006G143450																						
OG0038591	As006G144020																						
OG0038592	As006G144210																						
OG0038593	As006G144800																						
OG0038594	As006G145820																						
OG0038595	As006G145850																						
OG0038596	As006G145990																						
OG0038597	As006G146110																						
OG0038598	As006G146390																						
OG0038599	As006G146470																						
OG0038600	As006G146540																						
OG0038601	As006G146900																						
OG0038602	As006G146980																						
OG0038603	As006G146990																						
OG0038604	As006G147250																						
OG0038605	As006G147360																						
OG0038606	As006G147620																						
OG0038607	As006G147640																						
OG0038608	As006G147720																						
OG0038609	As006G147730																						
OG0038610	As006G147740																						
OG0038611	As006G147750																						
OG0038612	As006G147790																						
OG0038613	As006G147800																						
OG0038614	As006G147880																						
OG0038615	As006G147920																						
OG0038616	As006G148130																						
OG0038617	As006G148460																						
OG0038618	As006G148750																						
OG0038619	As006G148840																						
OG0038620	As006G148980																						
OG0038621	As006G149010																						
OG0038622	As006G149030																						
OG0038623	As007G151910																						
OG0038624	As007G151990																						
OG0038625	As007G152050																						
OG0038626	As007G152120																						
OG0038627	As007G152390																						
OG0038628	As007G152460																						
OG0038629	As007G152720																						
OG0038630	As007G152730																						
OG0038631	As007G153360																						
OG0038632	As007G153500																						
OG0038633	As007G153630																						
OG0038634	As007G153670																						
OG0038635	As007G154070																						
OG0038636	As007G154220																						
OG0038637	As007G154820																						
OG0038638	As007G154970																						
OG0038639	As007G155000																						
OG0038640	As007G155220																						
OG0038641	As007G155830																						
OG0038642	As007G156300																						
OG0038643	As007G156320																						
OG0038644	As007G156330																						
OG0038645	As007G156580																						
OG0038646	As007G156710																						
OG0038647	As007G156940																						
OG0038648	As007G156950																						
OG0038649	As007G157070																						
OG0038650	As007G157240																						
OG0038651	As007G158240																						
OG0038652	As007G158280																						
OG0038653	As007G158430																						
OG0038654	As007G159070																						
OG0038655	As007G159090																						
OG0038656	As007G159290																						
OG0038657	As007G159410																						
OG0038658	As007G160980																						
OG0038659	As007G161670																						
OG0038660	As007G162240																						
OG0038661	As007G162350																						
OG0038662	As007G162420																						
OG0038663	As007G163070																						
OG0038664	As007G163220																						
OG0038665	As007G163270																						
OG0038666	As007G163290																						
OG0038667	As007G163510																						
OG0038668	As007G163690																						
OG0038669	As007G163870																						
OG0038670	As007G163910																						
OG0038671	As007G163960																						
OG0038672	As007G163970																						
OG0038673	As007G164270																						
OG0038674	As007G164290																						
OG0038675	As007G164700																						
OG0038676	As007G164770																						
OG0038677	As007G164810																						
OG0038678	As007G164930																						
OG0038679	As007G165050																						
OG0038680	As007G165190																						
OG0038681	As007G165220																						
OG0038682	As007G165230																						
OG0038683	As007G165420																						
OG0038684	As007G165670																						
OG0038685	As007G165690																						
OG0038686	As007G165760																						
OG0038687	As007G165890																						
OG0038688	As007G165900																						
OG0038689	As007G165980																						
OG0038690	As007G166000																						
OG0038691	As007G166020																						
OG0038692	As007G166050																						
OG0038693	As007G166190																						
OG0038694	As007G166270																						
OG0038695	As007G166620																						
OG0038696	As007G166700																						
OG0038697	As007G166930																						
OG0038698	As007G167340																						
OG0038699	As007G176580																						
OG0038700	As007G176640																						
OG0038701	As007G176650																						
OG0038702	As007G177080																						
OG0038703	As007G177150																						
OG0038704	As007G177400																						
OG0038705	As007G177480																						
OG0038706	As007G177760																						
OG0038707	As007G178200																						
OG0038708	As007G178280																						
OG0038709	As007G178370																						
OG0038710	As007G178780																						
OG0038711	As007G178950																						
OG0038712	As007G179020																						
OG0038713	As007G179460																						
OG0038714	As007G179620																						
OG0038715	As007G179880																						
OG0038716	As007G179910																						
OG0038717	As007G180060																						
OG0038718	As007G180190																						
OG0038719	As007G180760																						
OG0038720	As007G181550																						
OG0038721	As007G181690																						
OG0038722	As007G182080																						
OG0038723	As007G182160																						
OG0038724	As007G182250																						
OG0038725	As008G182350																						
OG0038726	As008G182450																						
OG0038727	As008G182930																						
OG0038728	As008G183050																						
OG0038729	As008G184070																						
OG0038730	As008G184500																						
OG0038731	As008G185250																						
OG0038732	As008G185410																						
OG0038733	As008G186090																						
OG0038734	As008G186110																						
OG0038735	As008G186680																						
OG0038736	As008G186950																						
OG0038737	As008G187470																						
OG0038738	As008G187510																						
OG0038739	As008G188560																						
OG0038740	As008G188600																						
OG0038741	As008G189040																						
OG0038742	As008G189050																						
OG0038743	As008G189280																						
OG0038744	As008G189450																						
OG0038745	As008G189940																						
OG0038746	As008G189960																						
OG0038747	As008G190570																						
OG0038748	As008G190990																						
OG0038749	As008G191060																						
OG0038750	As008G191090																						
OG0038751	As008G191100																						
OG0038752	As008G191340																						
OG0038753	As008G191450																						
OG0038754	As008G191870																						
OG0038755	As008G192020																						
OG0038756	As008G192080																						
OG0038757	As008G192250																						
OG0038758	As008G192310																						
OG0038759	As008G192390																						
OG0038760	As008G192520																						
OG0038761	As008G192720																						
OG0038762	As008G192810																						
OG0038763	As008G193430																						
OG0038764	As008G193790																						
OG0038765	As008G194100																						
OG0038766	As008G195310																						
OG0038767	As008G195530																						
OG0038768	As008G195680																						
OG0038769	As008G195850																						
OG0038770	As008G196380																						
OG0038771	As008G196550																						
OG0038772	As008G196640																						
OG0038773	As008G196650																						
OG0038774	As008G198080																						
OG0038775	As008G198430																						
OG0038776	As008G198680																						
OG0038777	As008G198900																						
OG0038778	As008G198910																						
OG0038779	As008G199180																						
OG0038780	As008G199510																						
OG0038781	As008G199650																						
OG0038782	As009G200530																						
OG0038783	As009G200940																						
OG0038784	As009G201300																						
OG0038785	As009G201380																						
OG0038786	As009G201780																						
OG0038787	As009G202120																						
OG0038788	As009G202590																						
OG0038789	As009G203090																						
OG0038790	As009G203870																						
OG0038791	As009G204130																						
OG0038792	As009G204230																						
OG0038793	As009G204600																						
OG0038794	As009G204790																						
OG0038795	As009G204910																						
OG0038796	As009G205520																						
OG0038797	As009G205550																						
OG0038798	As009G206050																						
OG0038799	As009G206070																						
OG0038800	As009G206250																						
OG0038801	As009G206450																						
OG0038802	As009G206470																						
OG0038803	As009G206650																						
OG0038804	As009G206740																						
OG0038805	As009G206750																						
OG0038806	As009G207030																						
OG0038807	As009G207610																						
OG0038808	As009G207650																						
OG0038809	As009G207790																						
OG0038810	As009G207890																						
OG0038811	As009G208310																						
OG0038812	As009G208380																						
OG0038813	As009G208610																						
OG0038814	As009G208640																						
OG0038815	As009G208650																						
OG0038816	As009G208840																						
OG0038817	As009G208850																						
OG0038818	As009G209060																						
OG0038819	As009G209070																						
OG0038820	As009G209090																						
OG0038821	As009G209360																						
OG0038822	As009G209510																						
OG0038823	As009G209750																						
OG0038824	As009G209780																						
OG0038825	As009G209920																						
OG0038826	As009G210080																						
OG0038827	As009G210090																						
OG0038828	As009G210100																						
OG0038829	As009G210300																						
OG0038830	As009G210850																						
OG0038831	As009G210920																						
OG0038832	As009G211100																						
OG0038833	As009G211110																						
OG0038834	As009G211310																						
OG0038835	As009G211460																						
OG0038836	As009G211600																						
OG0038837	As009G212160																						
OG0038838	As009G213390																						
OG0038839	As009G213610																						
OG0038840	As009G213700																						
OG0038841	As009G213710																						
OG0038842	As009G214240																						
OG0038843	As009G214390																						
OG0038844	As009G215140																						
OG0038845	As009G215240																						
OG0038846	As009G215830																						
OG0038847	As009G215960																						
OG0038848	As009G216700																						
OG0038849	As009G216970																						
OG0038850	As009G217240																						
OG0038851	As009G217300																						
OG0038852	As009G217310																						
OG0038853	As009G217480																						
OG0038854	As009G217910																						
OG0038855	As009G218200																						
OG0038856	As009G219290																						
OG0038857	As009G219530																						
OG0038858	As009G219670																						
OG0038859	As009G219990																						
OG0038860	As009G220050																						
OG0038861	As009G220090																						
OG0038862	As009G220170																						
OG0038863	As010G220210																						
OG0038864	As010G220220																						
OG0038865	As010G220960																						
OG0038866	As010G221710																						
OG0038867	As010G221760																						
OG0038868	As010G222630																						
OG0038869	As010G223420																						
OG0038870	As010G223980																						
OG0038871	As010G224150																						
OG0038872	As010G225560																						
OG0038873	As010G225600																						
OG0038874	As010G225740																						
OG0038875	As010G225780																						
OG0038876	As010G225850																						
OG0038877	As010G225970																						
OG0038878	As010G225980																						
OG0038879	As010G226100																						
OG0038880	As010G226510																						
OG0038881	As010G226590																						
OG0038882	As010G226670																						
OG0038883	As010G226770																						
OG0038884	As010G227040																						
OG0038885	As010G227600																						
OG0038886	As010G227620																						
OG0038887	As010G227650																						
OG0038888	As010G227880																						
OG0038889	As010G227990																						
OG0038890	As010G228250																						
OG0038891	As010G228490																						
OG0038892	As010G228730																						
OG0038893	As010G229100																						
OG0038894	As010G229190																						
OG0038895	As010G229280																						
OG0038896	As010G229340																						
OG0038897	As010G229360																						
OG0038898	As010G229370																						
OG0038899	As010G229550																						
OG0038900	As010G229640																						
OG0038901	As010G229720																						
OG0038902	As010G229800																						
OG0038903	As010G229900																						
OG0038904	As010G229970																						
OG0038905	As010G230040																						
OG0038906	As010G230450																						
OG0038907	As010G230920																						
OG0038908	As010G231000																						
OG0038909	As010G231010																						
OG0038910	As010G231080																						
OG0038911	As010G231230																						
OG0038912	As010G231430																						
OG0038913	As010G231450																						
OG0038914	As010G232160																						
OG0038915	As010G232360																						
OG0038916	As010G233460																						
OG0038917	As010G233730																						
OG0038918	As010G234180																						
OG0038919	As010G234380																						
OG0038920	As010G234430																						
OG0038921	As010G234450																						
OG0038922	As010G234460																						
OG0038923	As010G235580																						
OG0038924	As010G235600																						
OG0038925	As010G235640																						
OG0038926	As010G236150																						
OG0038927	As010G236240																						
OG0038928	As010G236480																						
OG0038929	As010G237380																						
OG0038930	As010G238080																						
OG0038931	As010G238110																						
OG0038932	As010G238580																						
OG0038933	As010G238590																						
OG0038934	As010G239300																						
OG0038935	As010G239830																						
OG0038936	As010G239990																						
OG0038937	As010G240710																						
OG0038938	As010G240720																						
OG0038939	As010G240730																						
OG0038940	As010G241970																						
OG0038941	As010G242870																						
OG0038942	As010G242930																						
OG0038943	As010G243130																						
OG0038944	As010G244190																						
OG0038945	As011G246060																						
OG0038946	As011G246920																						
OG0038947	As011G247900																						
OG0038948	As011G248580																						
OG0038949	As011G248730																						
OG0038950	As011G248760																						
OG0038951	As011G249270																						
OG0038952	As011G250140																						
OG0038953	As011G250880																						
OG0038954	As011G251040																						
OG0038955	As011G251660																						
OG0038956	As011G251880																						
OG0038957	As011G252230																						
OG0038958	As011G252320																						
OG0038959	As011G254030																						
OG0038960	As011G254120																						
OG0038961	As011G254130																						
OG0038962	As011G254400																						
OG0038963	As011G254420																						
OG0038964	As011G254930																						
OG0038965	As011G254980																						
OG0038966	As011G255810																						
OG0038967	As011G256890																						
OG0038968	As011G256980																						
OG0038969	As011G257390																						
OG0038970	As011G257410																						
OG0038971	As011G257800																						
OG0038972	As011G257820																						
OG0038973	As011G257830																						
OG0038974	As011G257840																						
OG0038975	As011G257980																						
OG0038976	As011G258050																						
OG0038977	As011G258110																						
OG0038978	As011G258400																						
OG0038979	As011G258440																						
OG0038980	As011G258700																						
OG0038981	As011G258830																						
OG0038982	As011G258890																						
OG0038983	As011G259120																						
OG0038984	As011G259150																						
OG0038985	As011G259210																						
OG0038986	As011G259290																						
OG0038987	As011G259710																						
OG0038988	As011G259730																						
OG0038989	As011G259780																						
OG0038990	As011G259800																						
OG0038991	As011G259900																						
OG0038992	As011G260120																						
OG0038993	As011G260240																						
OG0038994	As011G260340																						
OG0038995	As011G260420																						
OG0038996	As011G260440																						
OG0038997	As011G260460																						
OG0038998	As011G260520																						
OG0038999	As011G260830																						
OG0039000	As011G260940																						
OG0039001	As011G261170																						
OG0039002	As011G261180																						
OG0039003	As011G261590																						
OG0039004	As011G261650																						
OG0039005	As011G261660																						
OG0039006	As011G261910																						
OG0039007	As011G261990																						
OG0039008	As011G262180																						
OG0039009	As011G262370																						
OG0039010	As011G262800																						
OG0039011	As011G262820																						
OG0039012	As011G263360																						
OG0039013	As011G264070																						
OG0039014	As011G264200																						
OG0039015	As011G264770																						
OG0039016	As011G264790																						
OG0039017	As011G265120																						
OG0039018	As011G265160																						
OG0039019	As011G265290																						
OG0039020	As011G265300																						
OG0039021	As011G265380																						
OG0039022	As011G265490																						
OG0039023	As011G265940																						
OG0039024	As011G265950																						
OG0039025	As011G266130																						
OG0039026	As011G266220																						
OG0039027	As012G267660																						
OG0039028	As012G268690																						
OG0039029	As012G268820																						
OG0039030	As012G269550																						
OG0039031	As012G270300																						
OG0039032	As012G270350																						
OG0039033	As012G270540																						
OG0039034	As012G270600																						
OG0039035	As012G271650																						
OG0039036	As012G271960																						
OG0039037	As012G272540																						
OG0039038	As012G272920																						
OG0039039	As012G273850																						
OG0039040	As012G273860																						
OG0039041	As012G274880																						
OG0039042	As012G275190																						
OG0039043	As012G275410																						
OG0039044	As012G275970																						
OG0039045	As012G276360																						
OG0039046	As012G276660																						
OG0039047	As012G277490																						
OG0039048	As012G277700																						
OG0039049	As012G277990																						
OG0039050	As012G278000																						
OG0039051	As012G278230																						
OG0039052	As012G278380																						
OG0039053	As012G278480																						
OG0039054	As012G278590																						
OG0039055	As012G278750																						
OG0039056	As012G278760																						
OG0039057	As012G278890																						
OG0039058	As012G278950																						
OG0039059	As012G279090																						
OG0039060	As012G279110																						
OG0039061	As012G279150																						
OG0039062	As012G279290																						
OG0039063	As012G279440																						
OG0039064	As012G279730																						
OG0039065	As012G279820																						
OG0039066	As012G280050																						
OG0039067	As012G280280																						
OG0039068	As012G280380																						
OG0039069	As012G280430																						
OG0039070	As012G280480																						
OG0039071	As012G280530																						
OG0039072	As012G280630																						
OG0039073	As012G280710																						
OG0039074	As012G280830																						
OG0039075	As012G281020																						
OG0039076	As012G281050																						
OG0039077	As012G281250																						
