Orthogroup	Brassica_napus	Cardamine_hirsuta
OG0000031	XP_013731595.1, XP_013743363.2	CARHR213210
OG0000031	XP_048602151.1, XP_048594826.1	CARHR091960
OG0000031	XP_013742432.1, XP_013741893.2	CARHR234420
OG0000031	XP_013664370.2, XP_048595644.1	CARHR049120
OG0000031	XP_013716382.2	CARHR046360, CARHR046370
OG0000032	XP_013673963.2, XP_048604886.1, XP_048623808.1, XP_048605001.1, XP_048605635.1, XP_048605059.1, XP_013658348.1, XP_013689883.2, XP_048611576.1, XP_013659958.1, XP_013679015.2, XP_048619995.1, XP_048619996.1, XP_048605078.1, XP_048605690.1, XP_013669046.1, XP_013738775.1, XP_013727502.2, XP_048604963.1, XP_013654241.2, XP_013690096.1, XP_048598071.1, XP_013727509.2, XP_013673638.2, XP_013713362.2, XP_048611594.1, XP_048605714.1, XP_022557518.2, XP_048623908.1, XP_022567665.2, XP_013673844.2, XP_013717718.2, XP_013665240.2, XP_013751474.2, XP_013654495.2, XP_013662945.2, XP_048622756.1, XP_022558240.2, XP_048623903.1, XP_048605618.1, XP_048613309.1, XP_048613371.1, XP_013665241.2, XP_013690150.1, XP_013673343.2, XP_013673339.2, XP_013673341.1, XP_048613422.1, XP_048604975.1, XP_048611622.1, XP_013665277.1, XP_013663883.1, XP_022565137.1, XP_048635026.1, XP_048605667.1, XP_048605614.1, XP_013669028.2, XP_013668976.1, XP_048599799.1, XP_048623918.1, XP_013654493.2, XP_048623901.1, XP_013645657.1, XP_013708987.2, XP_013665268.2, XP_048626829.1, XP_048630590.1, XP_048630611.1, XP_013726205.2, XP_013708892.1, XP_048599785.1, XP_048623905.1, XP_048605651.1, XP_048622669.1, XP_013689091.1, XP_013651086.2, XP_013651083.1, XP_048605642.1, XP_048630802.1, XP_048605656.1, XP_048599756.1, XP_013751673.1, XP_022552264.1, XP_013673342.2, XP_022557382.2	CARHR257880
OG0000033	XP_013714969.1, XP_013737559.2, XP_022555869.1, XP_013694313.2, XP_013737653.2, XP_013694321.1	CARHR230270, CARHR230290
OG0000033	XP_048622964.1	CARHR230240
OG0000033	XP_048596525.1	CARHR230360
OG0000033	XP_013717260.1, XP_013737259.1	CARHR289950
OG0000033	XP_013718529.1, XP_013694845.2, XP_048630548.1	CARHR106160
OG0000033	XP_022573444.1, XP_048597043.1, XP_048601628.1, XP_048597076.1	CARHR230650, CARHR230570, CARHR230590, CARHR230540, CARHR230620
OG0000033	XP_013737581.2, XP_048608846.1, XP_013663884.1	CARHR230230
OG0000033	XP_048596713.1, XP_013644429.1	CARHR252350
OG0000035	XP_013751269.1	CARHR125800
OG0000035	XP_048634166.1	CARHR207670
OG0000038	XP_013674918.2	CARHR141500
OG0000038	XP_013683826.1, XP_048620271.1, XP_048620270.1	CARHR178840
OG0000040	XP_048600575.1	CARHR223790
OG0000040	XP_048596338.1	CARHR158530
OG0000040	XP_022550055.1, XP_022547723.2, XP_048600572.1, XP_048627995.1, XP_048600577.1, XP_048600576.1, XP_048600578.1, XP_048600582.1, XP_048600573.1, XP_048634184.1, XP_013744698.2, XP_048634467.1, XP_013744695.2, XP_013687565.1	CARHR088870
OG0000040	XP_048600581.1, XP_048600574.1, XP_048600570.1	CARHR026350, CARHR095910, CARHR149840, CARHR088860, CARHR289440
OG0000040	XP_013706039.1, XP_013675588.2, XP_013719126.2, XP_013716736.2, XP_048611111.1, XP_013747379.2	CARHR059990, CARHR060010, CARHR134370
OG0000043	XP_048611687.1	CARHR218450
OG0000043	XP_013699896.1	CARHR221160, CARHR034710, CARHR057830, CARHR284340, CARHR219040, CARHR182000, CARHR104410, CARHR218070, CARHR153240
OG0000044	XP_022547672.2, XP_013669672.2, XP_048623948.1, XP_048598164.1, XP_048613213.1, XP_048615669.1, XP_013642234.3, XP_013669592.2, XP_048608518.1, XP_013736305.1	CARHR286710, CARHR217190, CARHR273180, CARHR150330, CARHR152970, CARHR258020, CARHR104690, CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR057390, CARHR183570, CARHR116100, CARHR107370
OG0000046	XP_048591104.1	CARHR263410
OG0000046	XP_048633450.1, XP_013710778.1	CARHR214340
OG0000046	XP_048621377.1, XP_048619217.1	CARHR059200
OG0000046	XP_048638243.1, XP_013669844.2	CARHR225000, CARHR225010
OG0000046	XP_048592857.1, XP_048610726.1, XP_048610838.1	CARHR214320
OG0000046	XP_013729318.2	CARHR059260, CARHR059160
OG0000046	XP_048616752.1, XP_048610981.1, XP_048604137.1	CARHR059270, CARHR059250
OG0000046	XP_048591561.1	CARHR059140, CARHR059070, CARHR059130
OG0000046	XP_048611004.1, XP_013731656.2	CARHR059080
OG0000046	XP_022551748.1, XP_048629558.1	CARHR059360, CARHR263420
OG0000048	XP_048599159.1, XP_022555240.1, XP_048605157.1, XP_022568749.1, XP_048605165.1, XP_013728801.1, XP_048605161.1, XP_013680529.1, XP_048627116.1, XP_022554450.2, XP_048627114.1, XP_048625022.1, XP_013676074.2, XP_013683129.2, XP_048625023.1, XP_022544292.2, XP_048607995.1	CARHR195020
OG0000048	XP_013680531.1, XP_013740217.1	CARHR195040
OG0000052	XP_048613662.1, XP_048599350.1, XP_013680648.2, XP_022549241.2, XP_048598261.1, XP_048597938.1	CARHR002800
OG0000052	XP_048637055.1	CARHR260850
OG0000052	XP_048605363.1, XP_048632926.1	CARHR127280
OG0000052	XP_022556477.2	CARHR137550
OG0000052	XP_022564157.2	CARHR137540
OG0000052	XP_013691544.1, XP_013747419.2	CARHR256260
OG0000053	XP_013651105.1, XP_048633080.1, XP_013650489.2, XP_048637467.1, XP_048635066.1, XP_013645312.2, XP_013674059.1, XP_013694485.1, XP_022559955.1, XP_013689214.2, XP_013713672.1	CARHR148640, CARHR293330, CARHR118340, CARHR151940
OG0000053	XP_013740947.1, XP_013741291.2, XP_013676972.1, XP_048633337.1, XP_013647473.2, XP_013741357.2, XP_013691360.1, XP_048610556.1, XP_013713105.2	CARHR152130, CARHR102470, CARHR286550
OG0000053	XP_013673756.1, XP_022571037.1	CARHR044830
OG0000054	XP_022553428.2, XP_013737743.2, XP_048623720.1, XP_022553704.2, XP_048634735.1, XP_048610596.1, XP_048602294.1, XP_022574445.2, XP_048635553.1, XP_048618573.1, XP_048622748.1, XP_013713188.2, XP_048619894.1, XP_048611783.1, XP_048613170.1, XP_048615234.1, XP_048637818.1, XP_048637045.1, XP_048596138.1, XP_048612574.1, XP_048634954.1, XP_048609051.1, XP_022574301.2, XP_048633225.1, XP_022574506.1, XP_013704260.2, XP_022562802.1, XP_048620993.1, XP_048599089.1, XP_048592551.1, XP_048621337.1, XP_022551131.2, XP_048597720.1, XP_048606142.1, XP_048619790.1, XP_048621209.1, XP_048622552.1, XP_048629346.1, XP_048633888.1, XP_048598954.1, XP_022549978.2, XP_048605107.1, XP_013705438.2, XP_048615650.1, XP_048602917.1, XP_048628816.1, XP_048605478.1, XP_022574390.2, XP_048622671.1, XP_048599304.1, XP_048610747.1, XP_048596260.1, XP_013695048.2, XP_013654745.2, XP_048601641.1, XP_048608968.1, XP_048609577.1, XP_048592841.1, XP_048613136.1, XP_048634116.1, XP_048628169.1, XP_048592471.1, XP_013691238.2, XP_048622172.1, XP_048637571.1, XP_048605502.1, XP_013647204.3, XP_048610577.1, XP_048613967.1, XP_013687924.1, XP_048602061.1, XP_048623747.1, XP_013704261.2, XP_013751821.2, XP_013650559.3, XP_048598103.1, XP_048603738.1, XP_048604831.1, XP_048595714.1, XP_013658115.3, XP_048621182.1, XP_048617675.1, XP_048637491.1, XP_048617786.1, XP_048595653.1, XP_013710693.1, XP_048616894.1, XP_048620459.1, XP_022568362.2, XP_013668723.1, XP_048615647.1, XP_048623398.1, XP_048623607.1, XP_048618016.1, XP_048624004.1, XP_048613408.1, XP_013651174.2, XP_048604895.1, XP_013746819.2, XP_048625926.1, XP_022553477.2	CARHR056490
OG0000055	XP_013647831.2, XP_013642588.2	CARHR155600
OG0000056	XP_022549102.1	CARHR292290
OG0000056	XP_013668678.3, XP_048624531.1, XP_048623988.1	CARHR153090
OG0000057	XP_048613510.1	CARHR107830, CARHR108270, CARHR149830, CARHR094260
OG0000057	XP_048635092.1, XP_048635090.1, XP_013695133.1, XP_048613531.1, XP_048635764.1, XP_013693721.1	CARHR090170
OG0000057	XP_013665444.2, XP_022565713.1	CARHR100810, CARHR192030, CARHR177430, CARHR107470
OG0000057	XP_022568087.1	CARHR096180, CARHR096160, CARHR098050, CARHR100820, CARHR222490, CARHR100840
OG0000058	XP_013722514.1, XP_013700583.1, XP_013745363.2, XP_013694732.1, XP_048591504.1, XP_048593222.1, XP_022562618.1, XP_013710788.1, XP_022568760.1, XP_013700064.1, XP_048599667.1, XP_022571757.2, XP_013700531.2, XP_048591560.1, XP_048603602.1, XP_048629394.1, XP_013648539.2, XP_048596304.1, XP_048631614.1, XP_048634594.1	CARHR153550
OG0000061	XP_048609345.1	CARHR117010, CARHR217030
OG0000061	XP_048637558.1, XP_048596723.1, XP_013696292.3, XP_013739780.2, XP_048623330.1, XP_048624587.1, XP_048600681.1, XP_013732657.2, XP_022554064.1, XP_013743691.1, XP_013723290.2, XP_048595762.1, XP_048592686.1, XP_048592725.1, XP_048615070.1, XP_048630784.1, XP_048608631.1, XP_048630841.1, XP_013651771.2, XP_048618601.1, XP_048603650.1, XP_048606030.1, XP_048606466.1, XP_013706470.2, XP_013729547.2, XP_013687886.1, XP_013680970.2, XP_048622924.1, XP_048615428.1, XP_048602960.1, XP_022557143.1, XP_022556335.1, XP_013691840.1, XP_013662162.2, XP_048592595.1, XP_013677735.1, XP_013738633.2, XP_013700197.1, XP_048611597.1, XP_013739555.1, XP_013739489.3, XP_022552117.1, XP_048604597.1	CARHR264280, CARHR258030
OG0000062	XP_048611761.1, XP_013701495.2, XP_048619707.1, XP_013703977.2, XP_022575147.1, XP_048602568.1, XP_048630018.1, XP_013741022.1, XP_022574457.1, XP_013723697.1, XP_013717352.1, XP_013745422.2, XP_013725743.2, XP_048636767.1, XP_048628779.1, XP_048602176.1, XP_048628782.1, XP_048613487.1, XP_048624175.1, XP_013694681.2, XP_048604692.1, XP_048623683.1, XP_013705125.2, XP_013658760.2, XP_048633093.1	CARHR100910
OG0000063	XP_013702039.1	CARHR273610
OG0000064	XP_013644911.1, XP_013706797.1	CARHR247830
OG0000064	XP_013679593.1	CARHR127180, CARHR260300
OG0000065	XP_048613235.1, XP_048604923.1	CARHR117850
OG0000066	XP_013750874.1, XP_013686753.1, XP_013709910.2, XP_022552886.1, XP_013678750.1, XP_013657686.1, XP_013726586.1, XP_013686743.2, XP_013731494.1, XP_013698649.1, XP_013712760.1, XP_048627501.1, XP_048626247.1, XP_048627503.1, XP_048626251.1, XP_048630526.1, XP_048601368.1, XP_013738537.1, XP_013718218.1, XP_013686742.1	CARHR279310
OG0000068	XP_048623748.1, XP_013718384.1, XP_013704169.3, XP_048611398.1, XP_022562330.1, XP_048620191.1	CARHR153260, CARHR182390
OG0000069	XP_048599924.1	CARHR119500
OG0000071	XP_048616732.1	CARHR082570
OG0000071	XP_048609054.1, XP_013713679.2, XP_048618295.1	CARHR183910
OG0000073	XP_048609421.1, XP_013699603.2, XP_048602979.1, XP_013672745.1	CARHR223530
OG0000073	XP_048607107.1, XP_048607408.1	CARHR116350
OG0000073	XP_048616162.1, XP_048629185.1, XP_048632242.1	CARHR174840
OG0000073	XP_022570605.2, XP_013724112.2	CARHR116330
OG0000073	XP_022548483.2	CARHR292230
OG0000073	XP_048637358.1	CARHR175060
OG0000074	XP_048597301.1, XP_022564630.1, XP_013705955.1, XP_013658420.2, XP_013695922.2	CARHR023940
OG0000075	XP_022547516.1, XP_048596886.1	CARHR125670, CARHR125660, CARHR124000
OG0000075	XP_048621333.1	CARHR292150, CARHR011460
OG0000075	XP_048624103.1, XP_048599144.1, XP_013675654.2, XP_048626145.1, XP_013742958.2, XP_022570234.2, XP_013730487.2	CARHR099040
OG0000075	XP_048620324.1	CARHR010330, CARHR008650, CARHR024930
OG0000075	XP_048617869.1, XP_022543434.2, XP_013703735.2	CARHR035940
OG0000076	XP_048625706.1	CARHR162500, CARHR162510, CARHR162540, CARHR162570
OG0000076	XP_013659850.2, XP_022549905.1, XP_048633975.1, XP_048633972.1, XP_048633971.1, XP_013645263.2	CARHR162490
OG0000076	XP_048595244.1, XP_048625573.1	CARHR065210, CARHR065340, CARHR121130, CARHR148040, CARHR278910, CARHR150860
OG0000076	XP_013644701.2, XP_022561919.2, XP_013672574.2	CARHR148060, CARHR148030, CARHR148020
OG0000077	XP_022543769.2, XP_013707234.1	CARHR247150, CARHR221070, CARHR247140
OG0000079	XP_013686220.2	CARHR051200, CARHR051170
OG0000079	XP_022563621.2	CARHR217330
OG0000079	XP_013648987.2	CARHR182570
OG0000079	XP_048593056.1, XP_048615760.1, XP_022573359.2, XP_013724447.1, XP_048593057.1, XP_013724445.1	CARHR186450, CARHR286030, CARHR217340
OG0000080	XP_013715458.2, XP_048624999.1, XP_048625002.1, XP_048625005.1, XP_048599127.1	CARHR270010
OG0000080	XP_013718586.2, XP_022559171.2, XP_013708652.1	CARHR228580
OG0000080	XP_048622513.1, XP_048601564.1, XP_048596444.1, XP_022552667.1, XP_048622020.1, XP_048622024.1	CARHR039590
OG0000081	XP_022543076.2	CARHR121110
OG0000081	XP_048614723.1	CARHR037720, CARHR037850, CARHR037710
OG0000083	XP_013694863.1	CARHR121440, CARHR291360, CARHR291330
OG0000083	XP_048595388.1	CARHR099020
OG0000084	XP_048612342.1	CARHR117220, CARHR116970
OG0000084	XP_013716110.2, XP_048627361.1, XP_013729540.1	CARHR117030, CARHR118620
OG0000084	XP_048611942.1, XP_048634134.1, XP_013688312.2, XP_022574378.2, XP_048633678.1	CARHR117020
OG0000085	XP_013673820.1, XP_013650723.1, XP_048596508.1	CARHR187570
OG0000085	XP_022569788.1	CARHR259820
OG0000086	XP_048596830.1, XP_013654149.2, XP_048596828.1, XP_048596826.1, XP_048596831.1, XP_048596838.1, XP_048596825.1, XP_013670270.2, XP_048625411.1, XP_048625797.1, XP_048624818.1, XP_048624742.1, XP_048623032.1, XP_048624743.1, XP_048625421.1, XP_013670272.1, XP_048625417.1, XP_048596836.1, XP_048596827.1, XP_048596835.1, XP_013654809.1, XP_048596829.1, XP_048596834.1, XP_048596833.1, XP_048596839.1, XP_013654148.2, XP_048596832.1, XP_048596823.1, XP_013654807.2, XP_048596837.1, XP_013654814.2, XP_048596824.1	CARHR054410, CARHR289710, CARHR289730, CARHR289690, CARHR054420, CARHR250760, CARHR201430, CARHR201440, CARHR250740, CARHR250750
OG0000087	XP_022562884.1	CARHR189700
OG0000087	XP_013744215.1, XP_048609898.1, XP_013748897.2, XP_048630422.1, XP_013748912.1	CARHR122890
OG0000087	XP_013711754.2	CARHR155480
OG0000087	XP_013727135.1, XP_013668012.1	CARHR200860
OG0000087	XP_048636624.1, XP_022571399.1, XP_013692248.1	CARHR128920
OG0000087	XP_048623521.1, XP_013730319.2, XP_048615524.1, XP_048595999.1, XP_013685704.1, XP_013723718.1, XP_048637415.1	CARHR178800
OG0000087	XP_013735145.1, XP_013671115.1, XP_013717468.1, XP_013737534.1	CARHR227450
OG0000087	XP_013702315.1, XP_013717905.1	CARHR069200
OG0000088	XP_013686818.1	CARHR155710, CARHR155700
OG0000088	XP_048605729.1	CARHR155720
OG0000088	XP_013667304.2, XP_013703852.2	CARHR192340, CARHR192330
OG0000088	XP_048637102.1, XP_013686530.2	CARHR262970
OG0000089	XP_013738692.2, XP_013680302.1, XP_013715593.1, XP_022570770.1, XP_048603560.1, XP_013678548.1	CARHR203590
OG0000089	XP_013750120.1, XP_022575481.1	CARHR086670
OG0000089	XP_013703107.1	CARHR285740
OG0000089	XP_013642751.1	CARHR155270
OG0000090	XP_013642020.1, XP_013729969.1	CARHR020650
OG0000090	XP_013648765.1, XP_013721160.1, XP_013702919.2, XP_013717976.1, XP_013693443.1, XP_022551927.1	CARHR069500
OG0000090	XP_013713419.1, XP_013691588.1	CARHR145500, CARHR145480
OG0000090	XP_013685705.1, XP_022560926.1, XP_048630146.1, XP_013730312.2	CARHR010350
OG0000091	XP_048627377.1, XP_048615316.1, XP_048624700.1, XP_048596203.1, XP_048633150.1, XP_048637987.1, XP_048593296.1, XP_048634089.1, XP_013650774.2, XP_048634942.1, XP_048635057.1, XP_048593286.1, XP_048598143.1, XP_048634898.1, XP_048635047.1, XP_048627327.1, XP_048599218.1, XP_048620809.1, XP_048596530.1, XP_048596381.1, XP_048595299.1, XP_048593449.1, XP_048593421.1, XP_048593397.1, XP_048633148.1, XP_048627318.1, XP_022575874.2, XP_048634850.1, XP_048637539.1, XP_048637588.1, XP_048637591.1, XP_048635079.1, XP_048633071.1, XP_048627556.1, XP_048627330.1, XP_048591402.1, XP_048596288.1, XP_022547659.2	CARHR149850, CARHR055460, CARHR118410, CARHR263280, CARHR179050
OG0000091	XP_048593297.1, XP_048593705.1, XP_022545742.2, XP_048599114.1, XP_022547657.2, XP_022562419.2, XP_048620428.1, XP_048633438.1, XP_048633226.1, XP_048618496.1, XP_048596983.1, XP_048591399.1, XP_048633033.1, XP_048594579.1, XP_048627329.1, XP_048604790.1, XP_048611766.1, XP_048611816.1, XP_048610908.1, XP_048619916.1, XP_048605058.1, XP_048637516.1, XP_048600324.1, XP_048627376.1, XP_048599718.1, XP_048623586.1, XP_048614765.1, XP_048622838.1, XP_048604838.1, XP_048606406.1, XP_048593183.1, XP_048622543.1, XP_048633151.1, XP_048634899.1, XP_048606392.1, XP_048619743.1, XP_022557497.2, XP_048623432.1, XP_048594718.1, XP_048627320.1, XP_048630477.1, XP_048599438.1, XP_048635272.1, XP_048593298.1, XP_048615324.1, XP_048597000.1, XP_048635222.1, XP_048597541.1, XP_048618470.1, XP_048592012.1, XP_048625213.1, XP_048634093.1, XP_048637131.1, XP_048591776.1, XP_048596856.1, XP_048594535.1, XP_013749125.2, XP_022565263.2, XP_048600327.1, XP_048606391.1, XP_013675098.2, XP_048618789.1, XP_048622294.1, XP_048618498.1, XP_048610648.1, XP_048633437.1, XP_048627562.1, XP_048596853.1, XP_048590731.1, XP_022547658.2, XP_013752544.3, XP_048593186.1, XP_048593323.1, XP_048618479.1, XP_048622556.1, XP_048593246.1, XP_013651724.2, XP_048593303.1, XP_048615320.1, XP_022573140.2, XP_048593310.1, XP_048633232.1, XP_048595900.1, XP_048638628.1, XP_048596383.1, XP_048623307.1, XP_048606289.1, XP_013725772.2	CARHR221560
OG0000093	XP_048634291.1, XP_013691599.1, XP_013728903.1, XP_013691684.1	CARHR168740
OG0000093	XP_048593044.1	CARHR168710
OG0000093	XP_022572075.2	CARHR168640
OG0000096	XP_048620183.1, XP_048620181.1	CARHR145650
OG0000096	XP_048596675.1, XP_048630053.1	CARHR145630
OG0000096	XP_048631311.1, XP_013689048.2	CARHR176420
OG0000096	XP_048603802.1	CARHR177990
OG0000096	XP_048605333.1, XP_022571361.1	CARHR176910
OG0000097	XP_048595228.1	CARHR252090, CARHR252110
OG0000097	XP_048602514.1, XP_013712776.2	CARHR252130
OG0000098	XP_022564393.1	CARHR048210
OG0000098	XP_048625900.1	CARHR156260
OG0000098	XP_048619287.1, XP_013719593.1, XP_048626041.1	CARHR052090, CARHR052140, CARHR051470, CARHR052110
OG0000098	XP_048594192.1, XP_048613985.1, XP_013671755.2	CARHR220990, CARHR220970
OG0000098	XP_048621297.1, XP_048597756.1	CARHR012600
OG0000098	XP_048597763.1	CARHR255820
