Orthogroup	Brassica_napus	Noccaea_praecox
OG0000012	XP_013738772.1, XP_013729011.2	Np002G110330
OG0000012	XP_048605700.1	Np007G401570
OG0000012	XP_013657490.1, XP_013674351.2, XP_013691298.1, XP_048614816.1, XP_048623324.1, XP_048630348.1, XP_048628908.1, XP_048624621.1, XP_048619695.1, XP_048614056.1, XP_022569354.1, XP_013734848.1, XP_013726622.1, XP_013691321.1, XP_013703519.1, XP_013708319.1, XP_022548061.2	Np004G217770
OG0000012	XP_022551324.2, XP_048611834.1	Np010G434900
OG0000013	XP_013651736.2, XP_013665254.2	Np001G055860, Np003G162090, Np001G033350, Np002G120320, Np002G087920, Np007G378740, Np007G378660, Np007G393900, Np002G095230, Np001G029000, Np006G365160
OG0000013	XP_013673830.1	Np002G102600, Np003G173130
OG0000013	XP_048605139.1, XP_048605122.1, XP_048617118.1	Np004G228920
OG0000014	XP_013673593.2, XP_013679731.1, XP_048627630.1, XP_013678908.1, XP_013731373.1, XP_048599227.1, XP_013709749.1, XP_013654635.1, XP_013726049.1, XP_048611570.1, XP_048630262.1, XP_022552432.1, XP_048611538.1, XP_048593366.1, XP_013658387.1, XP_013674050.1, XP_013673957.1, XP_013665229.1, XP_013729439.2, XP_048611726.1, XP_013704117.1, XP_022562283.2, XP_013658625.2, XP_013650466.1	Np001G042570, Np002G073300
OG0000014	XP_013654467.2	Np004G227310
OG0000014	XP_013658577.1, XP_048602505.1	Np003G187370
OG0000015	XP_048613565.1, XP_048634846.1, XP_048611773.1, XP_048616950.1, XP_048602698.1, XP_048622170.1	Np007G402630
OG0000015	XP_048623927.1, XP_013645200.2, XP_048611390.1, XP_048606234.1	Np008G427030
OG0000015	XP_048595749.1	Np007G409210
OG0000015	XP_048599610.1	Np007G416100
OG0000015	XP_048595752.1, XP_048605580.1	Np001G029500
OG0000017	XP_048615612.1, XP_048610757.1, XP_022559532.2	Np003G171300
OG0000017	XP_048603682.1	Np005G282110, Np005G282180, Np007G396400
OG0000018	XP_048605770.1, XP_048596272.1, XP_048599222.1, XP_048605670.1, XP_013723218.1, XP_013688917.1, XP_013651116.2, XP_048633126.1, XP_013729972.2, XP_048605202.1, XP_048611582.1, XP_013700193.2, XP_048637481.1, XP_048594395.1, XP_048634308.1, XP_048610225.1, XP_048610582.1, XP_048599165.1, XP_048593225.1, XP_022567697.1, XP_013664995.2, XP_048627957.1, XP_048633984.1, XP_048612571.1, XP_048599180.1, XP_013723386.1, XP_048620905.1, XP_048596639.1, XP_022565086.2, XP_048615837.1, XP_048623681.1, XP_013694986.1, XP_013651110.1, XP_048604736.1, XP_013724413.2, XP_048621801.1, XP_048621797.1, XP_048619956.1, XP_048619958.1, XP_048633112.1, XP_048623936.1, XP_013669249.1	Np004G226280, Np003G180600, Np001G028240, Np005G281980, Np003G149980
OG0000019	XP_022551193.1	Np004G211950
OG0000019	XP_048621485.1	Np001G027630
OG0000019	XP_022564361.1, XP_048596600.1, XP_013745161.1, XP_048620186.1, XP_048604827.1, XP_022571038.1, XP_022562585.2, XP_048593373.1, XP_013658360.2, XP_013674258.2, XP_048596246.1	Np003G166760, Np002G106220
OG0000019	XP_048604600.1, XP_048615740.1	Np001G029890
OG0000020	XP_013694335.2	Np002G102400
OG0000021	XP_048615773.1, XP_048620188.1, XP_022552080.1, XP_013694633.1, XP_048634143.1, XP_013700085.1, XP_048594884.1, XP_048629072.1, XP_013713218.2, XP_022553574.1	Np005G303890
OG0000021	XP_048591559.1, XP_013690322.2	Np005G270390, Np007G393560
OG0000021	XP_048628766.1	Np004G199130
OG0000021	XP_013709779.2, XP_013713803.1, XP_048635125.1, XP_048615863.1, XP_013709566.2, XP_048609226.1, XP_048605433.1, XP_048634108.1, XP_013722646.2, XP_013751498.1, XP_048604867.1, XP_048611893.1, XP_013650079.2, XP_048596309.1, XP_048626541.1, XP_048622704.1, XP_048599653.1, XP_048608107.1, XP_013650404.1, XP_048611506.1, XP_013713351.1, XP_013665547.2, XP_022564512.1, XP_048628934.1, XP_048618543.1, XP_048637051.1, XP_013689051.1, XP_048620220.1, XP_048624032.1, XP_048634857.1, XP_013703729.2, XP_048591077.1, XP_048590929.1, XP_048609742.1, XP_048613501.1, XP_013651789.1, XP_048598150.1, XP_048633049.1, XP_048630963.1, XP_013679738.1, XP_013658178.1, XP_048626986.1, XP_048626984.1, XP_048612021.1, XP_048611796.1, XP_048622942.1, XP_048604845.1, XP_048611396.1, XP_022567212.1, XP_048604962.1, XP_048637078.1, XP_048604910.1, XP_048620249.1, XP_013669673.1, XP_048593364.1, XP_048599759.1, XP_048604911.1, XP_048605373.1, XP_048593340.1, XP_013678980.1, XP_013651351.1, XP_013727244.2	Np004G199140
OG0000021	XP_048604627.1, XP_048611960.1, XP_048604719.1, XP_048622881.1, XP_013704354.2	Np007G402490, Np003G147560
OG0000021	XP_013720866.1, XP_022557494.1	Np002G120150
OG0000023	XP_048634136.1	Np005G283850
OG0000023	XP_013694257.1, XP_013737657.1	Np005G283730
OG0000023	XP_022558747.1	Np003G180640
OG0000023	XP_022572340.2, XP_048632570.1, XP_013690743.1	Np005G284120
OG0000023	XP_048605876.1	Np005G284010
OG0000023	XP_013741339.2	Np005G283870
OG0000025	XP_048603142.1	Np003G164310
OG0000025	XP_013717234.2, XP_048627191.1, XP_022569752.1, XP_048607491.1, XP_013712755.1, XP_013686788.2, XP_013674736.2, XP_048604076.1, XP_048604483.1, XP_022560149.2, XP_048630233.1, XP_013726076.2	Np006G368440, Np006G358350, Np006G358300, Np003G181320, Np003G181370, Np006G358330, Np003G181400
OG0000025	XP_022548711.2	Np003G160480
OG0000025	XP_022546346.2, XP_048630650.1, XP_013674435.1, XP_048627723.1, XP_013674438.1, XP_022563912.2, XP_022563911.2, XP_048631222.1, XP_013674433.2, XP_048627722.1, XP_048627726.1, XP_013674436.2, XP_013645094.1, XP_013645334.2, XP_013651019.1, XP_022569112.2, XP_013739125.2, XP_013733752.2, XP_013645330.1, XP_013651021.2, XP_013733741.2, XP_013734914.2	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360
OG0000026	XP_013660801.2, XP_013693183.2	Np002G101380, Np004G216210
OG0000026	XP_013645721.1, XP_013673982.1, XP_022544275.2, XP_022546075.2, XP_013742091.2, XP_013642305.2, XP_013748306.2, XP_048604834.1, XP_013745200.2, XP_022570115.1, XP_048591410.1, XP_048629058.1, XP_048609175.1, XP_013695840.2, XP_013689267.2, XP_013689142.2, XP_022565688.2, XP_013704163.2, XP_048633191.1, XP_048596374.1, XP_013694198.1, XP_013655249.2, XP_013709327.2, XP_022568227.1, XP_048619935.1, XP_048624252.1, XP_048613225.1, XP_048605392.1, XP_048608748.1	Np003G171320
OG0000027	XP_048618819.1	Np004G198060, Np004G198040
OG0000027	XP_022567836.1, XP_022546469.2	Np004G214870, Np005G271730, Np004G214850
OG0000027	XP_022575972.2, XP_048609431.1, XP_048636470.1	Np004G215070
OG0000027	XP_013663491.2, XP_013663656.1	Np001G057950, Np001G057940
OG0000028	XP_013665034.1	Np003G168060, Np003G175100, Np002G106380
OG0000028	XP_013679109.3, XP_013745224.1, XP_048616838.1, XP_013704224.2, XP_048593390.1, XP_013650700.1, XP_048627799.1, XP_013658458.1, XP_013719392.2, XP_013704816.2, XP_048613359.1, XP_048611760.1, XP_022561462.1, XP_048624139.1, XP_048613477.1, XP_048599192.1, XP_048615949.1, XP_013658247.1	Np003G170790, Np003G189760, Np004G207130
OG0000028	XP_048622652.1	Np006G356860
OG0000029	XP_048615827.1, XP_048613466.1, XP_048632854.1, XP_013655251.2, XP_013679244.2	Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900
OG0000029	XP_048634081.1	Np002G073630
OG0000029	XP_048596000.1	Np002G090000
OG0000029	XP_048624916.1, XP_048604271.1	Np001G034960, Np004G225420
OG0000029	XP_022551038.1, XP_048635815.1, XP_048611551.1, XP_048635103.1, XP_022558100.2, XP_048591075.1, XP_048638384.1, XP_048596031.1, XP_013738696.2, XP_048634928.1, XP_048632933.1, XP_048591471.1, XP_048596550.1, XP_048634105.1, XP_048623704.1, XP_013650865.2, XP_048609092.1, XP_048594955.1, XP_048615335.1, XP_048634156.1, XP_013721193.1, XP_048608517.1	Np002G113330, Np005G304980
OG0000029	XP_048613259.1, XP_048627705.1, XP_048634162.1, XP_048637574.1, XP_048591545.1, XP_013689748.1, XP_013719196.1	Np001G058950, Np007G394270
OG0000029	XP_048593383.1	Np003G172510
OG0000030	XP_013673703.1	Np004G229860, Np003G173700
OG0000030	XP_013695679.1	Np002G096310
OG0000030	XP_022566780.1, XP_013741789.1, XP_048601881.1, XP_048622454.1, XP_048605476.1, XP_013656438.1, XP_013679446.2	Np003G173710, Np007G417840, Np007G402740, Np007G390810, Np007G423880
OG0000030	XP_013678830.1	Np002G096140, Np004G216100
OG0000030	XP_048611490.1, XP_013669162.1, XP_013713780.1, XP_048620176.1, XP_048615642.1, XP_048613169.1	Np006G330890
OG0000031	XP_022563326.1, XP_048621294.1, XP_013693457.2, XP_013657308.1, XP_048594187.1, XP_013677849.2, XP_013708901.1, XP_022547209.2, XP_013712408.2	Np004G244900
OG0000031	XP_013731595.1, XP_013743363.2	Np005G318980
OG0000033	XP_013737559.2, XP_022555869.1	Np005G284050
OG0000033	XP_013694313.2, XP_013737653.2, XP_013694321.1	Np005G284060
OG0000033	XP_013686564.1	Np005G284130
OG0000033	XP_048622964.1, XP_013694292.1, XP_013694271.1, XP_013737656.2	Np005G283960, Np005G284080
OG0000033	XP_048591452.1	Np005G283820
OG0000033	XP_013737646.2, XP_013737574.2	Np005G284140
OG0000033	XP_013737581.2	Np005G284160
OG0000034	XP_048614495.1, XP_013658499.2	Np001G040260, Np002G107010
OG0000034	XP_022565462.2	Np006G350340
OG0000034	XP_048623388.1, XP_048602182.1, XP_048623276.1, XP_013743057.1	Np002G118070, Np005G284230, Np002G100100, Np007G396350, Np004G239130, Np006G359400, Np005G318530
OG0000034	XP_048603823.1	Np006G345750, Np009G431360
OG0000034	XP_013752183.1, XP_048610695.1, XP_022562393.1, XP_048594912.1	Np003G168290, Np001G007970
OG0000035	XP_048634166.1	Np002G092640, Np006G364470
OG0000035	XP_048611992.1, XP_048634350.1	Np006G356560
OG0000035	XP_013683389.1, XP_013715831.2, XP_022551123.2, XP_048603751.1, XP_013715819.2	Np005G313520
OG0000036	XP_048604985.1	Np005G260660
OG0000036	XP_048605396.1, XP_013657831.1, XP_022573022.1	Np006G342170, Np003G136960, Np002G107350, Np007G403810
OG0000037	XP_048633129.1, XP_013645251.1, XP_048605902.1, XP_048611485.1, XP_013751552.2, XP_048609075.1, XP_048593395.1, XP_013674415.1	Np001G045190
OG0000037	XP_048618200.1	Np002G110300, Np005G302190
OG0000038	XP_022547515.1	Np001G060270
OG0000038	XP_013674918.2	Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020
OG0000038	XP_048619708.1	Np003G125690
OG0000039	XP_048613290.1, XP_013673364.2, XP_048619899.1, XP_013751169.2, XP_013689393.2, XP_048620122.1, XP_048605572.1, XP_013645439.1, XP_013751439.2, XP_048629915.1, XP_013751717.2, XP_048637655.1, XP_048613153.1, XP_048599674.1, XP_048613505.1, XP_013726379.1, XP_048596421.1, XP_013728311.2, XP_048623581.1, XP_013694959.1, XP_048620004.1, XP_013751185.2, XP_013688822.2, XP_048620169.1, XP_048611689.1, XP_048633912.1, XP_048593428.1, XP_048596168.1, XP_048633051.1, XP_048609074.1, XP_048624007.1, XP_013713494.2, XP_013663773.1, XP_048592114.1, XP_048637551.1, XP_048613445.1, XP_048633036.1, XP_048601495.1, XP_013654398.2, XP_048602058.1, XP_048632982.1, XP_013709416.1, XP_013688880.2, XP_048611954.1, XP_013690286.1, XP_048635038.1, XP_048618301.1, XP_048622658.1, XP_013679480.1, XP_048620081.1, XP_013651104.2, XP_013713684.1, XP_022567796.2, XP_013704287.1, XP_013713534.1, XP_013725620.1, XP_048611751.1, XP_013658548.2, XP_013700327.1, XP_048599930.1, XP_022567347.2, XP_013722711.1, XP_048599873.1, XP_013751078.2, XP_013719943.2, XP_013700403.2, XP_048613141.1, XP_013663809.2, XP_022544190.2, XP_013751128.2, XP_048627869.1, XP_048591456.1, XP_013751384.2, XP_048624061.1, XP_013690109.2, XP_013745762.2, XP_013745497.2, XP_048623785.1	Np005G289260, Np005G309180, Np003G166870, Np003G169960
OG0000039	XP_013679936.2	Np002G100620, Np005G297660, Np009G432470
OG0000040	XP_013701833.2, XP_022560216.2, XP_048591590.1	Np001G009070
OG0000040	XP_048600575.1, XP_048596338.1	Np004G224970, Np004G224940
OG0000040	XP_048634184.1, XP_013744698.2, XP_048634467.1, XP_013744695.2, XP_013687565.1	Np007G407000
OG0000040	XP_048600581.1, XP_048600574.1, XP_048600570.1	Np004G224990
OG0000042	XP_013674220.1, XP_013653696.1, XP_013673846.1, XP_048629753.1	Np001G027800
OG0000042	XP_048626916.1, XP_013739572.2, XP_013668593.2, XP_048596563.1, XP_048608023.1	Np004G191660
OG0000042	XP_013694862.1	Np003G181700
OG0000043	XP_013713707.2, XP_048604980.1	Np005G296770, Np005G292440
OG0000043	XP_048605617.1, XP_013751538.1	Np002G102430
OG0000044	XP_048599977.1, XP_013733293.2, XP_048591383.1, XP_048592554.1, XP_048605908.1, XP_048613135.1, XP_048623805.1, XP_048631733.1, XP_048591444.1, XP_048600193.1, XP_048606399.1, XP_048605166.1, XP_022567046.1, XP_048620073.1, XP_022552709.1, XP_048609363.1, XP_048607154.1, XP_048626706.1, XP_048595608.1, XP_048604688.1, XP_048627544.1, XP_048616284.1, XP_022552197.1, XP_048628171.1, XP_048608413.1, XP_048628439.1, XP_048593377.1, XP_013724632.2, XP_013723763.2	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510
OG0000044	XP_022547672.2, XP_013669672.2, XP_048623948.1, XP_048598164.1, XP_048613213.1, XP_048615669.1, XP_013642234.3, XP_013669592.2, XP_048608518.1, XP_013736305.1	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850
OG0000045	XP_013653957.2, XP_048610024.1, XP_048594918.1, XP_048593338.1, XP_013650961.1, XP_013689509.1, XP_013679635.1	Np006G334530
OG0000045	XP_013713178.1, XP_022562451.1, XP_048613579.1	Np007G389140
OG0000046	XP_048591104.1	Np005G314650
OG0000046	XP_048633450.1, XP_013710778.1	Np005G313240
OG0000046	XP_048621377.1, XP_048619217.1	Np002G093730
OG0000046	XP_048638243.1, XP_013669844.2	Np005G292150
OG0000046	XP_022574226.2	Np005G292140
OG0000046	XP_013724742.2	Np005G313330
OG0000046	XP_048592857.1, XP_048610726.1, XP_048610838.1	Np007G386460
OG0000047	XP_013673366.2, XP_048609206.1, XP_013745490.2	Np005G282680
OG0000048	XP_048599159.1, XP_022555240.1, XP_048605157.1, XP_022568749.1, XP_048605165.1, XP_013728801.1, XP_048605161.1, XP_013680529.1, XP_048627116.1, XP_022554450.2, XP_048627114.1	Np003G145480
OG0000048	XP_048625022.1, XP_013676074.2, XP_013683129.2, XP_048625023.1, XP_022544292.2, XP_048607995.1	Np003G145420
OG0000048	XP_048605148.1, XP_013728790.2	Np003G145430
OG0000048	XP_013680693.1, XP_013722306.3, XP_048625026.1, XP_048599157.1, XP_013722311.1, XP_048599156.1	Np003G145400, Np003G145550
OG0000048	XP_022555256.1	Np003G145440
OG0000048	XP_013676061.1, XP_022555254.1, XP_013728782.2, XP_013728785.2, XP_048605292.1, XP_013676068.2	Np003G145490, Np003G145410
OG0000050	XP_013655825.2, XP_013721760.1, XP_013705039.1, XP_013669077.1	Np007G402160
OG0000050	XP_013718383.1	Np002G095850
OG0000050	XP_048634070.1	Np002G095350
OG0000052	XP_048613662.1, XP_048599350.1, XP_013680648.2, XP_022549241.2, XP_048598261.1, XP_048597938.1	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920
OG0000052	XP_013691740.1, XP_013747418.2	Np006G328530, Np006G328520
OG0000052	XP_013657952.2, XP_022547321.2, XP_013675087.1, XP_013725308.1	Np002G116790, Np002G107170, Np002G116330
OG0000052	XP_048637055.1	Np002G116290, Np002G116590
OG0000052	XP_048601858.1	Np002G116810
OG0000052	XP_048605363.1, XP_048632926.1	Np006G328590, Np006G328570, Np006G328580
OG0000052	XP_022556477.2, XP_022564157.2, XP_048637054.1, XP_022558010.2, XP_013752059.2, XP_013716726.2, XP_013716727.2	Np003G173020
OG0000052	XP_013691544.1, XP_013747419.2	Np006G328390, Np006G328410, Np006G328470
OG0000052	XP_013747770.2, XP_048636340.1, XP_013747769.2, XP_022574743.2	Np006G328480
OG0000053	XP_022561273.1, XP_048591460.1, XP_013724193.2, XP_013717316.2, XP_013739400.3, XP_013732982.2, XP_013708966.1, XP_013660144.1, XP_013660140.1, XP_013658530.1	Np002G100500, Np004G233450, Np007G396260
OG0000053	XP_013740947.1, XP_013741291.2, XP_013676972.1, XP_048633337.1, XP_013647473.2, XP_013741357.2, XP_013691360.1, XP_048610556.1, XP_013713105.2	Np006G348630, Np005G304720, Np005G288880, Np007G395450, Np003G166680, Np003G167380, Np005G287740
OG0000053	XP_022564363.1, XP_048623806.1, XP_013711122.2, XP_013747493.2, XP_013668598.1, XP_013660360.1, XP_048613279.1, XP_013675621.2, XP_013726592.2, XP_013708501.1, XP_022548821.1	Np001G008270, Np001G039230, Np003G166770
OG0000053	XP_013673756.1, XP_022571037.1	Np001G040210, Np005G311290, Np006G327430
OG0000054	XP_048623542.1	Np004G255790
OG0000055	XP_013647831.2, XP_013642588.2	Np001G046730
OG0000055	XP_013670350.1, XP_013691180.2	Np002G119410
OG0000055	XP_022565366.1, XP_048596263.1, XP_013714829.1	Np002G119230
OG0000055	XP_048633192.1, XP_013686982.2, XP_048600561.1, XP_013728715.2	Np002G119520, Np002G119220, Np002G119170
OG0000055	XP_013730405.1, XP_013657084.2, XP_013686021.1, XP_013728720.2, XP_013688021.2, XP_013728745.2	Np002G119390, Np002G118970, Np002G120090, Np002G120080, Np002G119490, Np002G119430, Np002G119510, Np002G118960, Np002G118940, Np002G119480
OG0000056	XP_013689080.1	Np005G318930, Np007G383650, Np004G211250, Np006G348520, Np002G077250, Np006G336260, Np004G217680, Np001G049030, Np002G079610, Np008G425610, Np001G065180, Np002G100230
