Orthogroup	Brassica_napus	Eutrema_salsugineum
OG0000019	XP_022557639.1, XP_048592640.1, XP_048625519.1, XP_013658536.1, XP_048593485.1, XP_048624077.1	XP_024007941.1, XP_024011405.1
OG0000019	XP_022564361.1, XP_048596600.1, XP_013745161.1, XP_048620186.1	XP_024013301.1, XP_024010379.1, XP_024013975.1, XP_024006589.1, XP_024014025.1, XP_024006532.1, XP_024010647.1, XP_024011223.1, XP_024013321.1
OG0000019	XP_048604827.1, XP_022571038.1, XP_022562585.2, XP_048593373.1, XP_013658360.2, XP_013674258.2, XP_048596246.1	XP_024016207.1, XP_024004800.1, XP_024016569.1
OG0000019	XP_013717169.2, XP_022547619.1, XP_022547620.1	XP_024016750.1
OG0000020	XP_048615648.1, XP_048605650.1, XP_048634952.1, XP_048603589.1, XP_048634953.1, XP_048607600.1, XP_048606214.1, XP_048603551.1, XP_013669005.1, XP_048605533.1, XP_013654031.1, XP_048612010.1, XP_048622775.1	XP_024005014.1
OG0000020	XP_013713722.1	XP_024009309.1
OG0000020	XP_013745514.1, XP_048605186.1, XP_048620230.1, XP_048623769.1, XP_013679767.1, XP_048621666.1, XP_013745491.2, XP_013650967.1, XP_048591571.1, XP_048626859.1, XP_048613161.1, XP_013658586.2, XP_048611725.1, XP_013699854.1, XP_022562366.2, XP_048620316.1, XP_013732066.2, XP_013674089.2, XP_048605043.1, XP_048599908.1, XP_048619511.1, XP_048611724.1, XP_048611452.1, XP_048603603.1, XP_048605540.1, XP_048595588.1, XP_048596917.1, XP_048596183.1, XP_048613160.1, XP_048626856.1, XP_048600450.1, XP_048620012.1, XP_048608714.1, XP_048615699.1, XP_048611812.1, XP_013709011.1, XP_048604246.1, XP_048604535.1	XP_024007229.1
OG0000021	XP_048615773.1, XP_048620188.1, XP_022552080.1, XP_013694633.1	XP_024015179.1
OG0000021	XP_022553574.1	XP_024016553.1
OG0000021	XP_048628766.1	XP_024004985.1
OG0000021	XP_048615863.1	XP_024004072.1
OG0000021	XP_013722646.2, XP_013751498.1, XP_048604867.1, XP_048611893.1, XP_013650079.2, XP_048596309.1, XP_048626541.1, XP_048622704.1	XP_024006452.1
OG0000021	XP_048593340.1	XP_024010290.1
OG0000021	XP_013678980.1, XP_013651351.1, XP_013727244.2	XP_024004813.1, XP_024004020.1
OG0000021	XP_048620273.1, XP_013658199.2	XP_024009969.1
OG0000021	XP_048604627.1, XP_048611960.1, XP_048604719.1, XP_048622881.1, XP_013704354.2	XP_024013347.1
OG0000023	XP_013697411.2, XP_013738434.2, XP_013738445.2, XP_022570725.1	XP_006413565.1
OG0000023	XP_013694257.1, XP_013737657.1	XP_006413557.1
OG0000023	XP_048612374.1	XP_024013896.1
OG0000023	XP_048605400.1	XP_024010236.1
OG0000023	XP_022558747.1	XP_006396897.2, XP_024009838.1
OG0000023	XP_013735533.1, XP_013684115.2	XP_006396898.1
OG0000023	XP_048625802.1, XP_048632003.1	XP_006396896.1
OG0000023	XP_013718560.2	XP_006396890.1
OG0000023	XP_022572340.2, XP_048632570.1, XP_013690743.1	XP_006413569.1
OG0000023	XP_013710801.1, XP_013717353.1	XP_024004623.1
OG0000024	XP_013669031.1	XP_024007273.1, XP_024009463.1
OG0000024	XP_013699736.1, XP_048599752.1, XP_013651153.1	XP_024016266.1, XP_024013219.1
OG0000025	XP_013690637.1	XP_006405436.1, XP_006405441.2
OG0000025	XP_022546346.2, XP_048630650.1, XP_013674435.1, XP_048627723.1, XP_013674438.1, XP_022563912.2	XP_006411607.2
OG0000026	XP_013688792.2, XP_022575800.1, XP_013689982.1, XP_048604113.1, XP_048605402.1, XP_013694923.1, XP_022565088.1, XP_013694081.2, XP_048599629.1, XP_048611708.1, XP_013700163.2, XP_022560041.2, XP_048623977.1, XP_048619887.1, XP_013716236.1, XP_048604696.1, XP_048604608.1, XP_048615510.1, XP_013690069.1, XP_013679158.1, XP_048613434.1, XP_022570698.1, XP_048622697.1, XP_048593382.1, XP_013650782.2, XP_048633038.1, XP_013654050.2, XP_013656470.2, XP_048621728.1, XP_013709768.2, XP_013676571.2, XP_048605928.1, XP_013650482.2, XP_013725579.1, XP_022569794.1, XP_013678944.3, XP_048618333.1, XP_013649960.1, XP_013708922.1, XP_013701765.1, XP_048607574.1, XP_022559746.2, XP_013665567.3, XP_048600036.1, XP_048600035.1, XP_013718697.2, XP_013726689.1	XP_024010204.1, XP_024006433.1, XP_024014732.1, XP_024013306.1, XP_024013403.1, XP_024009430.1, XP_024009983.1, XP_024015304.1, XP_024014743.1, XP_024013980.1, XP_024010438.1, XP_024007900.1
OG0000027	XP_048618819.1	XP_006393240.1, XP_006393242.1, XP_006393293.1, XP_006393290.1, XP_006393291.1, XP_006393292.2, XP_006393224.2
OG0000027	XP_048594072.1, XP_013684599.1	XP_024007920.1, XP_006415205.2, XP_006415203.1, XP_024009297.1, XP_006415204.1, XP_024010028.1, XP_024007955.1, XP_006415371.1
OG0000027	XP_013746916.2, XP_013669867.2	XP_006415341.2, XP_024007951.1, XP_006415394.1
OG0000027	XP_013663491.2, XP_013663656.1	XP_006402766.1
OG0000028	XP_013665034.1	XP_024006637.1, XP_024004809.1, XP_024013054.1, XP_024013055.1, XP_024009554.1, XP_024004858.1, XP_024016120.1
OG0000028	XP_048615845.1, XP_013745854.2, XP_013730647.1, XP_013720478.1, XP_013649023.1, XP_013709149.1, XP_013645637.1, XP_013668696.1, XP_013732741.2, XP_048635134.1, XP_048613316.1, XP_022553264.2, XP_013652806.1, XP_048596339.1, XP_013732607.1, XP_048596328.1, XP_013716211.2, XP_013663457.2, XP_048613315.1, XP_048611865.1, XP_013645696.2, XP_048605437.1, XP_048625180.1, XP_048607633.1, XP_013665469.2	XP_024009126.1
OG0000028	XP_013726546.1, XP_048638265.1, XP_013688983.1, XP_022558343.1, XP_013706275.2, XP_013650677.1, XP_013705054.1, XP_013729440.1, XP_013668860.2	XP_024004857.1, XP_024016540.1, XP_024013053.1, XP_024013162.1, XP_024014403.1, XP_024014056.1, XP_024010241.1, XP_024014715.1, XP_024009819.1, XP_024010450.1, XP_024015838.1
OG0000028	XP_022548807.2, XP_013646182.2, XP_048623697.1, XP_013651197.1	XP_024016311.1
OG0000028	XP_013658604.1, XP_013707922.2, XP_013679109.3, XP_013745224.1, XP_048616838.1, XP_013704224.2, XP_048593390.1, XP_013650700.1, XP_048627799.1, XP_013658458.1, XP_013719392.2, XP_013704816.2, XP_048613359.1, XP_048611760.1, XP_022561462.1, XP_048624139.1, XP_048613477.1, XP_048599192.1, XP_048615949.1, XP_013658247.1	XP_024004754.1, XP_024004102.1, XP_024007219.1
OG0000028	XP_013723155.1	XP_024004045.1
OG0000028	XP_013665035.2, XP_048613429.1	XP_024009259.1
OG0000028	XP_048622652.1	XP_024013800.1, XP_024012069.1
OG0000029	XP_013705057.2, XP_048622978.1, XP_013664351.1, XP_048611771.1, XP_048627924.1, XP_048627923.1, XP_048611772.1, XP_048613515.1, XP_013745291.1, XP_013738737.2, XP_048620192.1, XP_048632518.1, XP_048621879.1, XP_048615827.1, XP_048613466.1, XP_048632854.1, XP_013655251.2, XP_013679244.2, XP_022565176.2	XP_024007307.1
OG0000029	XP_048606316.1	XP_024015973.1
OG0000029	XP_048596000.1	XP_024010526.1
OG0000029	XP_048613259.1, XP_048627705.1, XP_048634162.1, XP_048637574.1, XP_048591545.1, XP_013689748.1, XP_013719196.1	XP_024004951.1
OG0000029	XP_048593383.1	XP_024005553.1
OG0000030	XP_013673703.1	XP_024009659.1, XP_024009944.1
OG0000030	XP_013695679.1	XP_024011303.1
OG0000030	XP_013674366.2, XP_048630454.1, XP_048614763.1, XP_013654433.1, XP_048605211.1, XP_048622936.1, XP_013658434.2, XP_048626196.1	XP_024009281.1
OG0000031	XP_013733295.2, XP_013664368.1	XP_006391833.2
OG0000031	XP_022563326.1, XP_048621294.1, XP_013693457.2, XP_013657308.1, XP_048594187.1, XP_013677849.2	XP_006417237.2
OG0000031	XP_013708901.1, XP_022547209.2	XP_006417216.1, XP_006417205.1, XP_006417199.1
OG0000031	XP_013728454.1, XP_013667568.2	XP_006400202.2
OG0000031	XP_013731595.1, XP_013743363.2	XP_024014798.1
OG0000031	XP_048602151.1, XP_048594826.1	XP_024015415.1
OG0000031	XP_013742432.1, XP_013741893.2	XP_006413138.1
OG0000031	XP_013716382.2	XP_006391605.2, XP_024008093.1
OG0000032	XP_013673963.2, XP_048604886.1, XP_048623808.1, XP_048605001.1, XP_048605635.1, XP_048605059.1, XP_013658348.1	XP_024014421.1
OG0000032	XP_048593368.1, XP_022566280.2, XP_048605055.1, XP_013668632.2, XP_013704494.1, XP_048605031.1, XP_013704147.1	XP_024011365.1
OG0000033	XP_013737559.2, XP_022555869.1	XP_024010975.1
OG0000033	XP_013694313.2, XP_013737653.2, XP_013694321.1	XP_006413571.1
OG0000033	XP_048622964.1, XP_013694292.1, XP_013694271.1, XP_013737656.2	XP_006413574.2
OG0000033	XP_013737259.1	XP_024005104.1
OG0000033	XP_048591452.1	XP_006413566.2
OG0000033	XP_048597020.1, XP_013738358.2, XP_022570722.1	XP_006413567.2
OG0000033	XP_013737646.2, XP_013737574.2	XP_024004626.1
OG0000033	XP_013737581.2	XP_006413576.1
OG0000034	XP_048623297.1, XP_048623038.1, XP_048592734.1, XP_022574481.2, XP_048621898.1, XP_048603766.1	XP_024016360.1, XP_024014012.1, XP_024016375.1
OG0000034	XP_048602612.1, XP_048593533.1	XP_024005459.1
OG0000034	XP_048618955.1, XP_048630873.1, XP_048604268.1, XP_013720627.2, XP_048604734.1, XP_022561433.2	XP_024004424.1
