Orthogroup	Brassica_napus	Brassica_oleracea
OG0000002	XP_048599943.1, XP_013739462.1, XP_013673932.1, XP_048622631.1, XP_013669043.1, XP_048599750.1, XP_048611618.1, XP_022558122.1	XP_013613929.1
OG0000002	XP_013689755.1, XP_013721006.1, XP_013719469.1	XP_013594570.1
OG0000002	XP_013658791.1, XP_048622703.1	XP_013601542.1
OG0000002	XP_013673642.1, XP_048598070.1	XP_013617579.1
OG0000002	XP_048622695.1, XP_022568272.1, XP_048619908.1, XP_048605843.1	XP_013630563.1
OG0000002	XP_048611539.1	XP_013613891.1
OG0000002	XP_013704325.2	XP_013617544.1
OG0000002	XP_013745790.2	XP_013624534.1
OG0000002	XP_048605726.1	XP_013594480.1
OG0000002	XP_013651109.1, XP_013658793.1	XP_013617388.1
OG0000002	XP_013709438.1, XP_013751657.3	XP_013614913.1
OG0000002	XP_048622095.1	XP_013632753.1
OG0000002	XP_013655273.1	XP_013601334.1
OG0000002	XP_022549820.1	XP_013628799.1
OG0000002	XP_013689535.2, XP_048619845.1, XP_013715871.1	XP_013614663.1, XP_013614632.1, XP_013639584.1, XP_013594875.1
OG0000002	XP_048596410.1, XP_048599727.1	XP_013633334.1, XP_013617422.1
OG0000002	XP_048626784.1, XP_013732945.1	XP_013630619.1
OG0000002	XP_048599369.1	XP_013629057.1
OG0000002	XP_013668866.2, XP_048605779.1, XP_048611520.1	XP_013615062.1
OG0000002	XP_048627900.1, XP_048628323.1, XP_048608335.1, XP_013654120.1	XP_013589138.1
OG0000002	XP_013673471.3, XP_048615611.1, XP_048619891.1, XP_013665252.2, XP_013658186.1, XP_048629974.1, XP_022552341.1, XP_013739277.2, XP_048613130.1	XP_013614638.1
OG0000002	XP_048615541.1, XP_048623567.1	XP_013589574.1
OG0000002	XP_048605721.1, XP_048613199.1	XP_013629770.1
OG0000002	XP_013721281.1	XP_013616926.1
OG0000002	XP_048605621.1, XP_048623642.1, XP_013731515.1, XP_048604101.1, XP_048614819.1	XP_013608095.1, XP_013639504.1, XP_013624879.1
OG0000002	XP_048622678.1, XP_048623931.1	XP_013632894.1
OG0000002	XP_013673725.1	XP_013601080.1, XP_013594822.1
OG0000002	XP_048622679.1	XP_013639686.1, XP_013624189.1
OG0000002	XP_013689350.1	XP_013627007.1
OG0000002	XP_048590889.1, XP_022575799.1, XP_048605884.1	XP_013614194.1, XP_013624889.1
OG0000002	XP_048611767.1, XP_048637575.1, XP_048596375.1	XP_013617190.1
OG0000002	XP_013745502.1	XP_013613743.1
OG0000002	XP_048611628.1, XP_013700006.2	XP_013617774.1
OG0000002	XP_048622610.1	XP_013614633.1
OG0000002	XP_013699873.2, XP_013668901.1, XP_013733765.2	XP_013617626.1
OG0000002	XP_048613381.1	XP_013583360.1, XP_013632797.1
OG0000003	XP_048623031.1	XP_013632989.1, XP_013624327.1, XP_013594796.1
OG0000003	XP_013694964.1	XP_013624018.1
OG0000003	XP_048630494.1	XP_013626656.1, XP_013589417.1, XP_013639462.1, XP_013624390.1
OG0000003	XP_022551562.1, XP_013650516.2, XP_048611467.1, XP_048622667.1	XP_013601267.1
OG0000003	XP_048615663.1	XP_013617697.1, XP_013607686.1, XP_013589115.1
OG0000003	XP_048596497.1	XP_013632587.1
OG0000003	XP_013650417.1	XP_013624493.1
OG0000003	XP_048599712.1	XP_013627530.1
OG0000003	XP_013713350.1	XP_013632538.1, XP_013624806.1
OG0000003	XP_022560082.1, XP_013729306.2, XP_022567565.1	XP_013607867.1, XP_013615207.1
OG0000003	XP_013723216.2, XP_048599891.1, XP_048621360.1, XP_048605811.1, XP_013751647.1, XP_048605647.1	XP_013624595.1
OG0000003	XP_022575815.1, XP_048599772.1	XP_013614810.1
OG0000003	XP_048611684.1, XP_048604999.1, XP_048605785.1, XP_048605458.1	XP_013614006.1
OG0000003	XP_013717832.1	XP_013601193.1
OG0000003	XP_048628762.1, XP_048628164.1, XP_048630693.1	XP_013601450.1
OG0000003	XP_048622366.1	XP_013614675.1
OG0000003	XP_022552131.1, XP_013669317.2	XP_013613453.1
OG0000003	XP_013658381.1	XP_013588872.1
OG0000003	XP_013751798.1	XP_013583408.1
OG0000003	XP_048620084.1	XP_013594487.1, XP_013615216.1, XP_013589558.1, XP_013589160.1
OG0000003	XP_048619938.1	XP_013605027.1
OG0000003	XP_048631220.1	XP_013601228.1
OG0000003	XP_048628244.1, XP_048628243.1, XP_048628350.1, XP_048630864.1, XP_048628796.1, XP_048627881.1, XP_048628805.1, XP_048590783.1	XP_013601164.1
OG0000003	XP_048620014.1	XP_013613865.1
OG0000003	XP_048629521.1, XP_048629519.1, XP_048620066.1	XP_013624627.1
OG0000003	XP_048611562.1	XP_013628848.1, XP_013632777.1
OG0000003	XP_048630520.1, XP_022557580.1	XP_013639715.1, XP_013639588.1, XP_013624597.1
OG0000003	XP_048627743.1	XP_013589090.1
OG0000003	XP_013669098.1, XP_048611542.1	XP_013639562.1
OG0000003	XP_048628470.1	XP_013624568.1, XP_013632769.1
OG0000004	XP_048593472.1, XP_048633069.1	XP_013632878.1
OG0000004	XP_013720023.2	XP_013601024.1
OG0000004	XP_048605758.1, XP_048613516.1	XP_013639767.1
OG0000004	XP_048630790.1, XP_048635080.1	XP_013601459.1
OG0000004	XP_048591457.1	XP_013633199.1, XP_013608522.1
OG0000004	XP_048599890.1	XP_013601125.1
OG0000004	XP_048622927.1	XP_013639798.1
OG0000004	XP_048620167.1	XP_013617255.1
OG0000004	XP_048608449.1	XP_013595166.1
OG0000004	XP_048590919.1	XP_013617747.1
OG0000004	XP_048628328.1, XP_022573038.2, XP_013738903.1, XP_013723746.2, XP_048613577.1	XP_013583433.1
OG0000004	XP_048599985.1	XP_013608467.1
OG0000004	XP_013649372.1	XP_013633135.1
OG0000004	XP_013650878.1	XP_013633487.1
OG0000004	XP_048593474.1, XP_013720997.1	XP_013639278.1
OG0000004	XP_048624048.1	XP_013608309.1
OG0000004	XP_048605491.1, XP_013679256.1	XP_013633016.1
OG0000004	XP_048610021.1	XP_013607729.1
OG0000004	XP_048622593.1	XP_013607977.1, XP_013589266.1
OG0000004	XP_013700233.1	XP_013629442.1
OG0000004	XP_013751510.1	XP_013589255.1
OG0000004	XP_048605041.1	XP_013608111.1, XP_013594674.1, XP_013594666.1, XP_013594588.1
OG0000004	XP_013689881.1	XP_013601232.1
OG0000004	XP_048591584.1	XP_013617485.1
OG0000004	XP_048608697.1, XP_048622814.1, XP_048623574.1, XP_048613300.1, XP_048611589.1	XP_013624981.1
OG0000004	XP_048623952.1	XP_013632943.1
OG0000004	XP_048611432.1, XP_048622601.1, XP_013700421.1, XP_048633139.1	XP_013589029.1
OG0000004	XP_022553652.1	XP_013594791.1
OG0000004	XP_048620199.1, XP_048627170.1, XP_048599931.1, XP_048610005.1	XP_013639579.1
OG0000004	XP_048594891.1	XP_013632803.1
OG0000004	XP_013718382.2, XP_048615660.1, XP_048622886.1, XP_048604743.1	XP_013639401.1
OG0000004	XP_048633082.1, XP_048623919.1	XP_013607959.1
OG0000004	XP_048623608.1	XP_013624943.1
OG0000004	XP_013700585.1	XP_013624834.1
OG0000004	XP_048591490.1, XP_048633068.1, XP_048627306.1, XP_048606736.1, XP_048638523.1, XP_048613061.1, XP_048609142.1, XP_048624264.1, XP_048609510.1, XP_048604054.1, XP_048637040.1	XP_013594561.1
OG0000004	XP_048613115.1, XP_048596422.1, XP_048605045.1	XP_013617633.1
OG0000005	XP_013713475.1	XP_013608026.1
OG0000005	XP_013658836.1	XP_013639201.1
OG0000005	XP_013699684.2	XP_013615524.1
OG0000005	XP_013751330.1, XP_048612061.1, XP_048626961.1, XP_013745159.1, XP_048604761.1	XP_013608547.1
OG0000005	XP_013668599.2, XP_013669340.1	XP_013589654.1
OG0000005	XP_013658945.2, XP_048611304.1	XP_013633488.1
OG0000005	XP_048622965.1	XP_013588992.1, XP_013601782.1
OG0000005	XP_048596320.1	XP_013589640.1, XP_013595158.1
OG0000005	XP_048602704.1	XP_013608540.1
OG0000005	XP_013720458.1	XP_013633284.1
OG0000005	XP_022548621.1	XP_013616789.1
OG0000005	XP_013674511.1, XP_013658926.1	XP_013607654.1
OG0000005	XP_013739679.2	XP_013617184.1
OG0000005	XP_013729746.2	XP_013595190.1
OG0000005	XP_013729497.1	XP_013601015.1
OG0000005	XP_048615948.1	XP_013589719.1
OG0000005	XP_013665527.2	XP_013624846.1
OG0000005	XP_048631460.1	XP_013613667.1
OG0000005	XP_022569212.1, XP_013657649.1	XP_013617039.1
OG0000005	XP_048632940.1, XP_013645014.2	XP_013623859.1
OG0000005	XP_013713423.1, XP_013668888.1, XP_048599649.1, XP_048621848.1	XP_013600965.1
OG0000005	XP_013651316.1	XP_013607455.1, XP_013607693.1
OG0000005	XP_048626999.1, XP_048590909.1, XP_022562640.1, XP_048633723.1, XP_013710782.1, XP_022568759.2	XP_013608471.1
OG0000005	XP_048615786.1	XP_013623891.1
OG0000005	XP_013669691.1, XP_048617358.1, XP_013709376.2	XP_013623976.1
OG0000005	XP_048591522.1, XP_048621914.1	XP_013601013.1
OG0000005	XP_022557398.2, XP_048599189.1, XP_048615609.1, XP_013746138.2, XP_013751397.2, XP_022575814.1, XP_013739634.2, XP_013703270.2	XP_013625016.1
OG0000005	XP_022564533.1	XP_013624124.1
OG0000005	XP_048591512.1	XP_013614431.1
OG0000005	XP_048622755.1, XP_048631394.1	XP_013594815.1
OG0000005	XP_013650434.2	XP_013613616.1
OG0000005	XP_048626850.1, XP_013665497.1, XP_013709689.1, XP_048605197.1, XP_048611727.1, XP_048596344.1	XP_013639114.1
OG0000005	XP_048637311.1, XP_048621840.1	XP_013627264.1
OG0000005	XP_048620322.1, XP_022553759.1, XP_013739997.1	XP_013633205.1
OG0000005	XP_013722776.3	XP_013607452.1
OG0000005	XP_048593504.1, XP_013728385.1	XP_013589362.1
OG0000005	XP_048596130.1, XP_048626384.1, XP_022559081.2	XP_013614191.1
OG0000005	XP_048604677.1, XP_013699975.1	XP_013615193.1, XP_013624812.1, XP_013617492.1
OG0000005	XP_048613553.1	XP_013583375.1
OG0000005	XP_022564309.1	XP_013632594.1
OG0000005	XP_048599654.1, XP_013713504.1	XP_013624887.1
OG0000005	XP_013658645.2	XP_013608346.1, XP_013583336.1, XP_013624321.1
OG0000005	XP_022569213.1	XP_013601519.1
OG0000005	XP_048605927.1	XP_013616941.1, XP_013639093.1, XP_013589256.1
OG0000005	XP_013718672.1	XP_013583274.1
OG0000005	XP_022566666.1	XP_013589398.1, XP_013601140.1
OG0000005	XP_022557495.1	XP_013594364.1
OG0000005	XP_048623614.1	XP_013633351.1
OG0000006	XP_048622592.1	XP_013634604.1
OG0000006	XP_048624591.1, XP_048624595.1	XP_013601509.1
OG0000006	XP_048615643.1	XP_013632690.1, XP_013589492.1, XP_013601489.1, XP_013594943.1
OG0000006	XP_013699761.3	XP_013634243.1
OG0000006	XP_013747307.1	XP_013607658.1
OG0000006	XP_048606681.1	XP_013632912.1
OG0000006	XP_048611470.1, XP_048604740.1, XP_013704285.1	XP_013633055.1
OG0000006	XP_048612141.1, XP_048624568.1, XP_022549981.2, XP_022552001.1, XP_048601748.1, XP_048606946.1, XP_048609380.1, XP_048610801.1	XP_013639373.1
OG0000006	XP_013694123.2, XP_048595263.1	XP_013634404.1
OG0000006	XP_048596256.1	XP_013624232.1
OG0000006	XP_022561816.2, XP_048599680.1, XP_048596122.1, XP_048611876.1, XP_048604684.1, XP_048598045.1, XP_048599957.1	XP_013589057.1
OG0000006	XP_022542942.2, XP_022546681.1, XP_048608453.1, XP_048635919.1, XP_048633777.1	XP_013589618.1
OG0000006	XP_022553853.1	XP_013610211.1
OG0000006	XP_048606830.1, XP_048614443.1, XP_048618668.1	XP_013632892.1
OG0000006	XP_048620440.1, XP_048609298.1, XP_048599813.1, XP_013750505.1, XP_048602265.1	XP_013617022.1
OG0000006	XP_048610917.1	XP_013632874.1, XP_013601472.1, XP_013594005.1
OG0000006	XP_048601765.1	XP_013639708.1
OG0000006	XP_048617042.1	XP_013614260.1
OG0000006	XP_048616274.1	XP_013624837.1, XP_013589419.1
OG0000006	XP_048600215.1	XP_013594807.1
OG0000006	XP_048631151.1	XP_013601610.1, XP_013595036.1
OG0000006	XP_048602935.1	XP_013608454.1
OG0000006	XP_048631548.1, XP_013739847.3	XP_013594910.1
OG0000006	XP_048593351.1	XP_013617289.1
OG0000006	XP_048633298.1	XP_013603784.1, XP_013635455.1
OG0000006	XP_048612781.1	XP_013585405.1
OG0000006	XP_048613045.1	XP_013617290.1
OG0000006	XP_048625987.1	XP_013605146.1
OG0000006	XP_048606381.1	XP_013632908.1, XP_013617071.1
OG0000007	XP_013704198.1	XP_013594726.1
OG0000007	XP_013739370.1	XP_013594888.1
OG0000007	XP_048608217.1	XP_013595181.1
OG0000007	XP_013679168.1	XP_013629098.1
OG0000007	XP_013699903.1	XP_013601491.1
OG0000007	XP_013739523.2	XP_013625599.1
OG0000007	XP_048621886.1	XP_013601000.1
OG0000007	XP_013751838.3	XP_013633348.1
OG0000007	XP_048605509.1, XP_013726320.2	XP_013627809.1
OG0000007	XP_048599635.1	XP_013594959.1, XP_013625538.1
OG0000007	XP_022569889.1	XP_013616974.1
OG0000007	XP_013689641.1	XP_013589191.1, XP_013594546.1, XP_013624739.1, XP_013617741.1
OG0000007	XP_048603717.1	XP_013595033.1, XP_013616899.1
OG0000007	XP_013669482.2	XP_013601226.1
OG0000007	XP_048637624.1	XP_013624835.1
OG0000007	XP_048606193.1	XP_013624723.1
OG0000007	XP_048599926.1	XP_013632833.1, XP_013594838.1
OG0000007	XP_048608923.1	XP_013639528.1
OG0000007	XP_048637623.1	XP_013617764.1
OG0000007	XP_022549744.1	XP_013628112.1
OG0000007	XP_048620110.1, XP_013704630.2	XP_013617205.1
OG0000007	XP_048634091.1	XP_013607556.1, XP_013594455.1
OG0000007	XP_013658983.1	XP_013608296.1, XP_013595003.1, XP_013623967.1, XP_013594889.1
OG0000007	XP_013658904.1	XP_013594406.1
OG0000007	XP_048605398.1, XP_013713691.1	XP_013601638.1
OG0000007	XP_013673581.2, XP_048624114.1, XP_013689634.1, XP_013723992.2, XP_013694206.1, XP_048623693.1	XP_013589700.1
OG0000007	XP_048605578.1	XP_013601345.1, XP_013634222.1
OG0000007	XP_048632958.1	XP_013623801.1
OG0000007	XP_013660781.1	XP_013589172.1
OG0000007	XP_048624140.1	XP_013595032.1
OG0000007	XP_048624246.1, XP_013709372.2, XP_022553380.1	XP_013600971.1
OG0000007	XP_048634063.1, XP_048615667.1, XP_013654036.3, XP_013654011.2, XP_013646207.2, XP_048591502.1	XP_013617761.1
OG0000007	XP_048599664.1	XP_013639421.1
OG0000007	XP_013726547.1	XP_013594530.1
OG0000007	XP_013688737.1	XP_013632378.1
OG0000007	XP_013688835.1	XP_013601857.1, XP_013622853.1
OG0000007	XP_048637520.1, XP_048628012.1, XP_048635094.1, XP_022565607.2	XP_013615253.1
OG0000008	XP_013709535.2	XP_013639786.1
OG0000008	XP_048602208.1, XP_048637614.1, XP_048637817.1	XP_013601357.1
OG0000008	XP_048622563.1, XP_048599589.1	XP_013624707.1
OG0000008	XP_013705001.2, XP_048620224.1	XP_013601568.1, XP_013594960.1
OG0000008	XP_048602098.1, XP_013729777.3	XP_013608259.1
OG0000008	XP_048613386.1, XP_013726652.1	XP_013614821.1
OG0000008	XP_048615675.1, XP_048627521.1, XP_048600989.1, XP_013649895.1, XP_048593291.1, XP_048637651.1, XP_048634041.1, XP_048599181.1, XP_048607915.1, XP_048607904.1, XP_013717411.2, XP_013691111.2, XP_013722649.1, XP_048633127.1, XP_048599584.1	XP_013584735.1
OG0000008	XP_048623066.1, XP_022565168.1, XP_048619957.1	XP_013639639.1
OG0000008	XP_048605317.1, XP_048630259.1, XP_048623705.1	XP_013617721.1
OG0000008	XP_048635054.1	XP_013633025.1
OG0000008	XP_048619954.1	XP_013616794.1
OG0000008	XP_048614935.1, XP_048613237.1	XP_013624474.1
OG0000008	XP_013732053.2	XP_013639623.1, XP_013639271.1
OG0000008	XP_048634791.1, XP_013673836.1	XP_013615258.1
OG0000008	XP_048592068.1	XP_013615301.1
OG0000008	XP_048616725.1, XP_048606607.1	XP_013624694.1
OG0000008	XP_048612049.1	XP_013633438.1
OG0000008	XP_048620060.1	XP_013594703.1
OG0000008	XP_013751877.2	XP_013639704.1, XP_013583429.1
OG0000008	XP_048626080.1	XP_013612199.1
OG0000008	XP_048631227.1, XP_048602312.1, XP_048615107.1, XP_048625201.1	XP_013594705.1
OG0000008	XP_048597022.1, XP_013658616.2	XP_013601615.1
OG0000008	XP_048627537.1	XP_013615550.1
OG0000010	XP_048623789.1	XP_013607986.1
OG0000010	XP_048596327.1, XP_013665414.1, XP_048604997.1, XP_048628579.1, XP_048623941.1, XP_048605628.1, XP_048611718.1, XP_013728551.1, XP_048605715.1, XP_048613231.1, XP_048611546.1	XP_013632760.1
OG0000010	XP_022560075.1	XP_013613442.1, XP_013608075.1
OG0000010	XP_048622787.1, XP_048617027.1	XP_013639554.1
OG0000010	XP_048605625.1	XP_013614262.1
OG0000010	XP_013689750.1	XP_013617479.1
OG0000010	XP_048602901.1	XP_013601086.1
OG0000010	XP_013745801.1	XP_013614685.1
OG0000010	XP_048615585.1, XP_022567036.1	XP_013594427.1
OG0000010	XP_048601526.1, XP_048619900.1, XP_048624648.1, XP_048618294.1, XP_048602548.1, XP_048606091.1, XP_048606319.1, XP_048607341.1, XP_048608467.1, XP_048608572.1, XP_048610672.1, XP_022568469.2, XP_048615557.1, XP_048611670.1, XP_048601152.1, XP_048605792.1, XP_048631636.1, XP_048601441.1, XP_048606987.1, XP_048625241.1, XP_048612064.1, XP_048615530.1, XP_048622882.1, XP_048602322.1	XP_013613796.1
OG0000010	XP_048618623.1	XP_013634434.1
OG0000010	YP_717137.1	YP_004927512.1
OG0000011	XP_048599992.1, XP_048620029.1	XP_013617880.1, XP_013594971.1, XP_013633088.1, XP_013616799.1
OG0000011	XP_048611560.1	XP_013632776.1, XP_013632771.1
OG0000011	XP_013659705.2, XP_048599380.1, XP_048637426.1, XP_048624045.1	XP_013608304.1
OG0000011	XP_048605761.1	XP_013624714.1
OG0000011	XP_013738651.1	XP_013583467.1, XP_013601355.1, XP_013624342.1
OG0000011	XP_048620327.1	XP_013594605.1
OG0000011	XP_013653955.2	XP_013588899.1
OG0000011	XP_048598012.1, XP_048598119.1, XP_013665132.2, XP_048623694.1, XP_048621704.1, XP_048615584.1, XP_048622963.1, XP_022560000.2	XP_013614778.1
OG0000011	XP_048623617.1	XP_013607652.1
OG0000011	XP_048635024.1	XP_013601161.1
OG0000011	XP_013690055.1	XP_013633302.1
OG0000011	XP_048623729.1	XP_013594716.1, XP_013608513.1, XP_013624746.1
OG0000011	XP_048602105.1	XP_013623653.1
OG0000011	XP_048622519.1	XP_013633008.1, XP_013633347.1, XP_013601548.1
OG0000011	XP_022571427.1	XP_013616871.1, XP_013594810.1
OG0000011	XP_013673712.1, XP_048613543.1, XP_013646120.2, XP_013723816.1	XP_013623942.1
OG0000011	XP_048611936.1, XP_022570022.2, XP_048610411.1, XP_048613120.1, XP_022564313.2, XP_048615529.1, XP_048623978.1, XP_048598115.1, XP_013739031.1	XP_013588969.1
OG0000011	XP_022564938.2	XP_013607542.1, XP_013594779.1
OG0000011	XP_048605143.1	XP_013608275.1
OG0000011	XP_013694454.1	XP_013639230.1
OG0000011	XP_048615558.1	XP_013589030.1
OG0000011	XP_048620274.1, XP_048630039.1, XP_013694905.1, XP_048599633.1, XP_013658351.1, XP_013700275.2	XP_013583306.1
OG0000011	XP_048623742.1	XP_013607871.1
OG0000011	XP_022557706.2	XP_013639326.1
OG0000011	XP_013673871.2	XP_013617609.1
OG0000011	XP_013711594.2, XP_048599938.1, XP_048599866.1, XP_022556449.1, XP_013668512.1, XP_048604715.1	XP_013617062.1
OG0000011	XP_013721125.1	XP_013608342.1
OG0000011	XP_048596352.1	XP_013632501.1
OG0000011	XP_013745969.2, XP_048596557.1, XP_048599923.1, XP_048622827.1, XP_048637633.1, XP_013700423.1	XP_013617311.1
OG0000011	XP_048605917.1, XP_048624119.1	XP_013608475.1, XP_013624149.1
OG0000011	XP_013665471.2	XP_013594401.1, XP_013608215.1, XP_013601474.1
OG0000011	XP_048620021.1, XP_048601344.1, XP_048616593.1, XP_013673600.2	XP_013589446.1, XP_013615322.1
OG0000011	XP_022557474.2	XP_013624918.1
OG0000011	XP_048638510.1, XP_013721574.1	XP_013589324.1
OG0000011	XP_048605555.1	XP_013624371.1
OG0000011	XP_013668590.2, XP_048605160.1, XP_013711654.1, XP_048630989.1, XP_048599557.1	XP_013639160.1
OG0000011	XP_048615826.1, XP_048612540.1	XP_013639852.1
OG0000011	XP_048615923.1	XP_013607597.1
OG0000011	XP_013694209.2	XP_013632893.1
OG0000011	XP_013668563.1	XP_013623455.1
OG0000011	XP_048611795.1	XP_013613506.1
OG0000011	XP_048604660.1	XP_013608356.1
OG0000011	XP_048604154.1	XP_013617763.1, XP_013624952.1, XP_013632469.1
OG0000011	XP_048623923.1	XP_013624389.1, XP_013639143.1, XP_013608057.1
OG0000011	XP_022551178.1, XP_048605490.1	XP_013617337.1
OG0000011	XP_048607127.1	XP_013624348.1
OG0000011	XP_048620540.1, XP_048605592.1	XP_013601625.1
OG0000011	XP_048624406.1	XP_013608173.1
OG0000011	XP_048615315.1	XP_013583440.1
OG0000011	XP_013739652.1	XP_013617074.1
OG0000011	XP_013697297.1, XP_013752157.1	XP_013639372.1
OG0000011	XP_013651057.2	XP_013633419.1
OG0000011	XP_013699609.2	XP_013589462.1
OG0000011	XP_048624972.1	XP_013608370.1
OG0000011	XP_013689590.2, XP_048625258.1	XP_013607434.1
OG0000011	XP_048618052.1	XP_013594932.1
OG0000011	XP_048617631.1	XP_013589147.1
OG0000011	XP_013751784.1	XP_013632620.1, XP_013617879.1
OG0000011	XP_013645429.2	XP_013594808.1, XP_013632621.1, XP_013624069.1
OG0000011	XP_048616619.1	XP_013589134.1
OG0000011	XP_048609749.1	XP_013632664.1, XP_013632853.1
OG0000011	XP_013728374.1	XP_013632980.1
OG0000011	XP_013694418.1, XP_013709710.2, XP_048598099.1	XP_013632658.1
OG0000011	XP_013679783.1	XP_013615145.1
OG0000011	XP_022553787.2, XP_048612325.1	XP_013639263.1, XP_013623879.1
OG0000011	XP_048623773.1, XP_013704328.1	XP_013617543.1
OG0000011	XP_048611431.1, XP_013674395.2	XP_013614955.1
OG0000012	XP_048613104.1	XP_013617060.1
OG0000012	XP_022546024.2, XP_013713433.2, XP_013709291.2	XP_013624019.1
OG0000012	XP_022549599.2	XP_013639693.1
OG0000012	XP_048627969.1	XP_013623215.1
OG0000012	XP_048605693.1	XP_013614919.1
OG0000012	XP_013723380.2, XP_048605575.1	XP_013601010.1
OG0000012	XP_048611476.1	XP_013589351.1
OG0000012	XP_013668675.1	XP_013608082.1
OG0000012	XP_048596428.1, XP_048633208.1, XP_048604748.1, XP_048623272.1	XP_013639746.1
OG0000012	XP_048596310.1, XP_013694784.2	XP_013632550.1
OG0000012	XP_048623788.1	XP_013589200.1, XP_013607989.1
OG0000012	XP_048627970.1, XP_048611568.1	XP_013614920.1
OG0000012	XP_048630875.1, XP_048604176.1	XP_013632474.1
OG0000012	XP_048633152.1	XP_013631991.1, XP_013617615.1
OG0000012	XP_048615539.1, XP_022559943.2, XP_048619505.1, XP_048620283.1, XP_048604733.1, XP_048630872.1	XP_013617401.1
OG0000012	XP_022552307.2	XP_013624598.1
OG0000012	XP_022553364.1, XP_048613450.1	XP_013630282.1
OG0000012	XP_013709255.2	XP_013633092.1
OG0000012	XP_048605550.1, XP_013729012.2	XP_013589396.1
OG0000012	XP_048615869.1, XP_048613343.1	XP_013607670.1
OG0000012	XP_048613275.1	XP_013607828.1
OG0000012	XP_048615703.1, XP_048604640.1	XP_013616977.1
OG0000012	XP_013679651.1	XP_013617360.1, XP_013624147.1
OG0000012	XP_013738772.1, XP_013729011.2	XP_013589397.1
OG0000012	XP_048605700.1	XP_013624559.1
OG0000012	XP_048619941.1	XP_013630371.1
OG0000012	XP_048599789.1	XP_013613579.1
OG0000012	XP_048596427.1	XP_013614407.1, XP_013588965.1
OG0000012	XP_022568711.1, XP_022557732.1	XP_013639689.1
