Orthogroup	Brassica_napus	Erysimum_linariifolium
OG0000005	XP_013700236.1	El002G135590, El005G263180
OG0000005	XP_022557495.1, XP_048623614.1	El006G313170
OG0000005	XP_048601578.1	El007G348140
OG0000006	XP_048609003.1	El004G209180
OG0000006	XP_022552029.1, XP_048613774.1, XP_048622367.1, XP_048631659.1, XP_048603250.1, XP_048637106.1, XP_048598904.1, XP_013695575.2, XP_048610916.1, XP_048620445.1, XP_048610124.1, XP_048632505.1, XP_048623319.1, XP_048600356.1, XP_048625945.1, XP_013723589.1, XP_022570193.2, XP_048618736.1, XP_048602106.1, XP_048607511.1, XP_048632021.1, XP_048597905.1, XP_048636872.1, XP_048591253.1, XP_048615872.1, XP_048606696.1, XP_048617198.1, XP_048623373.1, XP_022564863.1, XP_048624591.1, XP_048624595.1, XP_048602119.1, XP_048615643.1, XP_013699761.3	El006G316810
OG0000006	XP_048593388.1, XP_048609348.1, XP_048609347.1, XP_013665085.2, XP_048613183.1	El001G046690
OG0000006	XP_048631151.1, XP_048621605.1, XP_048621349.1, XP_048612104.1, XP_048602935.1, XP_048607098.1, XP_048602894.1, XP_022557024.2, XP_048631548.1, XP_013739847.3, XP_048597124.1, XP_048632399.1, XP_048629681.1	El007G324910, El001G079730
OG0000007	XP_048621886.1, XP_013751838.3, XP_048605509.1, XP_013726320.2, XP_048599635.1	El006G311470
OG0000007	XP_013700020.1, XP_048635088.1	El007G349510
OG0000007	XP_013689641.1	El006G311480
OG0000007	XP_013669482.2	El007G348570
OG0000007	XP_048606193.1, XP_048599926.1, XP_048608923.1, XP_048637623.1, XP_022549744.1, XP_013694951.1, XP_022569685.1, XP_013674205.2, XP_048634083.1, XP_048606175.1, XP_048611825.1, XP_048620110.1, XP_013704630.2, XP_048632995.1, XP_048634091.1, XP_013658983.1, XP_048598085.1, XP_013658904.1, XP_048605398.1, XP_013713691.1	El001G053750, El002G123330, El004G208390, El007G348150
OG0000007	XP_022553380.1	El002G114670
OG0000007	XP_048591447.1, XP_048605541.1, XP_013678969.2, XP_048596342.1, XP_048621839.1, XP_022549722.2, XP_013658576.2, XP_013745771.2, XP_013690321.2, XP_048599593.1, XP_048599664.1	El008G369640
OG0000008	XP_048605305.1	El007G351000
OG0000008	XP_013679543.2	El005G264190
OG0000008	XP_048628475.1, XP_048590797.1	El004G212460
OG0000008	XP_048602098.1, XP_013729777.3, XP_048614654.1, XP_048613386.1, XP_013726652.1, XP_048634180.1	El003G182320
OG0000008	XP_048619954.1	El003G167760
OG0000008	XP_048597022.1, XP_013658616.2	El003G174670
OG0000010	XP_048604663.1, XP_048602901.1, XP_048622602.1, XP_048605413.1, XP_013745801.1, XP_048615585.1, XP_022567036.1, XP_048605091.1	El007G350710
OG0000011	XP_048611936.1, XP_022570022.2, XP_048610411.1, XP_048613120.1, XP_022564313.2, XP_048615529.1, XP_048623978.1, XP_048598115.1, XP_013739031.1	El002G121150
OG0000011	XP_013728374.1, XP_013645682.2, XP_013694418.1, XP_013709710.2, XP_048598099.1, XP_048603651.1, XP_013679783.1, XP_022553787.2, XP_048612325.1, XP_048623773.1, XP_013704328.1, XP_048611431.1, XP_013674395.2	El002G082610
OG0000012	XP_048613104.1	El002G120760
OG0000012	XP_013695049.2, XP_048623277.1	El006G310180, El001G048000, El003G154210, El007G344400, El007G350120
OG0000012	XP_048633152.1	El007G355770, El007G355890
OG0000012	XP_048602192.1, XP_048603410.1, XP_048628529.1, XP_048628532.1, XP_048627388.1, XP_048616616.1	El005G268860, El003G182880
OG0000012	XP_048596427.1	El002G129160
OG0000013	XP_013700535.1, XP_013700318.1, XP_048615689.1, XP_013673894.2, XP_048620109.1, XP_013713592.1, XP_048603843.1, XP_048603078.1, XP_048617046.1, XP_048626973.1, XP_048600408.1, XP_048605631.1, XP_048622706.1, XP_013651736.2, XP_013665254.2	El001G045710
OG0000013	XP_048605773.1, XP_013669126.1, XP_013657861.1, XP_013680128.1, XP_048623792.1, XP_048627540.1, XP_048627019.1, XP_013654293.1, XP_013719470.1, XP_048628567.1, XP_013673938.1, XP_048599702.1, XP_048623790.1, XP_013657845.1, XP_013674358.1, XP_048611696.1, XP_013731674.1, XP_048620209.1, XP_048622591.1, XP_048613189.1, XP_013680096.1, XP_048599805.1, XP_048590782.1, XP_013695068.1, XP_048611913.1, XP_013709233.2, XP_013700181.2, XP_013715874.2, XP_048623780.1, XP_048622700.1, XP_048611935.1, XP_048604998.1, XP_048604852.1, XP_048611575.1, XP_048626950.1, XP_013745730.1, XP_013689885.1, XP_013709546.1, XP_048623897.1, XP_013658724.1, XP_048599858.1, XP_048626494.1, XP_048637553.1, XP_048613190.1, XP_048595147.1, XP_048611591.1, XP_013695057.1, XP_048622786.1, XP_048605855.1, XP_048596261.1, XP_048619839.1, XP_048599844.1, XP_048605676.1, XP_013705952.3, XP_048599685.1, XP_048605016.1, XP_048613311.1, XP_048605019.1, XP_048608870.1, XP_013689149.2, XP_048604885.1, XP_048599929.1, XP_048613405.1, XP_013721758.1, XP_048611835.1, XP_013689890.1, XP_048627565.1, XP_048598108.1, XP_013720996.1, XP_013654288.1, XP_013688904.1, XP_048611534.1, XP_048599780.1, XP_013700321.1, XP_013651348.2, XP_013694077.1, XP_022575826.1, XP_013689893.1, XP_048613103.1, XP_013669278.1, XP_013728369.1, XP_048619878.1, XP_048605061.1, XP_013730694.1, XP_048622616.1, XP_022570400.1, XP_048599566.1, XP_013699867.2, XP_013665415.1, XP_048599565.1, XP_013704069.1, XP_013650512.1	El007G350800
OG0000014	XP_013654635.1, XP_013726049.1	El005G242270
OG0000014	XP_022552432.1	El006G319390, El001G002640
OG0000014	XP_013674747.2, XP_048625675.1, XP_013688809.1	El001G041310
OG0000014	XP_013658577.1, XP_048602505.1	El003G178520
OG0000015	XP_048622603.1	El001G070750
OG0000015	XP_048627782.1, XP_048595751.1, XP_048607541.1, XP_048613565.1, XP_048634846.1, XP_048611773.1, XP_048616950.1, XP_048602698.1, XP_048622170.1, XP_048623927.1, XP_013645200.2, XP_048611390.1, XP_048606234.1	El060G376140, El053G375740
OG0000015	XP_048595752.1	El001G047930
OG0000017	XP_048622511.1, XP_048606925.1, XP_022570736.1, XP_048605556.1, XP_013654026.2, XP_013700317.1, XP_013709336.2, XP_048615768.1, XP_013650781.2, XP_048638133.1, XP_022546268.1, XP_048599243.1, XP_048621674.1, XP_048601570.1, XP_048605890.1, XP_048614703.1, XP_048607286.1, XP_022565172.2, XP_048624705.1, XP_048602823.1, XP_048609626.1, XP_048614569.1, XP_048608279.1, XP_048607119.1, XP_048622871.1, XP_048616199.1, XP_048599687.1, XP_048596318.1, XP_048615681.1, XP_048631555.1, XP_022564699.2, XP_048605724.1, XP_048624468.1, XP_048622792.1, XP_048615810.1, XP_022565299.2, XP_013681784.2, XP_048605597.1, XP_048618332.1, XP_048610882.1, XP_022563919.2, XP_013649958.1, XP_013645061.2, XP_048622874.1, XP_022562505.2, XP_013700865.1, XP_048600781.1, XP_048600780.1, XP_048605929.1	El007G336340
OG0000017	XP_048592801.1, XP_048620235.1, XP_048599118.1, XP_048594622.1, XP_022546269.2, XP_013715010.1	El007G356670
OG0000018	XP_048605770.1, XP_048596272.1, XP_048599222.1, XP_048605670.1, XP_013723218.1, XP_013688917.1, XP_013651116.2, XP_048633126.1, XP_013729972.2, XP_048605202.1, XP_048611582.1, XP_013700193.2, XP_048637481.1, XP_048594395.1, XP_048634308.1, XP_048610225.1, XP_048610582.1, XP_048599165.1, XP_048593225.1, XP_022567697.1, XP_013664995.2, XP_048627957.1, XP_048633984.1, XP_048612571.1, XP_048599180.1, XP_013723386.1, XP_048620905.1, XP_048596639.1, XP_022565086.2, XP_048615837.1, XP_048623681.1, XP_013694986.1, XP_013651110.1, XP_048604736.1, XP_013724413.2, XP_048621801.1, XP_048621797.1, XP_048619956.1, XP_048619958.1, XP_048633112.1, XP_048623936.1, XP_013669249.1	El004G194720, El003G167750, El004G215650, El001G009450, El004G215630, El001G041830
OG0000018	XP_048634179.1, XP_048605751.1, XP_022571151.1, XP_013673578.1, XP_048630900.1, XP_022575868.2, XP_048605747.1, XP_048605222.1, XP_048614689.1, XP_048596417.1, XP_013720098.2, XP_048601334.1, XP_048624799.1, XP_013673827.2, XP_048637603.1, XP_022550513.2, XP_048622957.1, XP_048590776.1, XP_013665022.2, XP_048611445.1, XP_048604864.1, XP_013745820.1, XP_048613131.1, XP_048606197.1, XP_022557717.1, XP_013751868.1, XP_022568346.1, XP_048611977.1, XP_013679337.1, XP_013704991.1, XP_048620421.1, XP_048604881.1, XP_013658330.1, XP_013726653.1, XP_013745661.1, XP_022552507.2, XP_013658329.1, XP_013726201.1, XP_048611537.1, XP_048599852.1, XP_048612004.1, XP_048612001.1, XP_048612006.1, XP_022569830.1, XP_013653854.1, XP_013658519.1, XP_048637099.1, XP_013674025.1, XP_048599651.1, XP_048629918.1, XP_022544100.1, XP_013657853.2, XP_013704346.2, XP_048605132.1, XP_048608829.1, XP_048615824.1, XP_048635015.1, XP_048604882.1, XP_013658447.2	El001G077880, El004G225550
OG0000019	XP_022551193.1	El004G213790
OG0000020	XP_013694335.2	El003G191190
OG0000020	XP_048615648.1	El005G264160
OG0000021	XP_048628766.1	El007G346120, El007G348120
OG0000021	XP_048596309.1, XP_048626541.1	El001G037390
OG0000021	XP_048598150.1, XP_048633049.1, XP_048630963.1, XP_013679738.1, XP_013658178.1, XP_048626986.1, XP_048626984.1, XP_048612021.1, XP_048611796.1, XP_048622942.1, XP_048604845.1, XP_048611396.1, XP_022567212.1, XP_048604962.1, XP_048637078.1, XP_048604910.1, XP_048620249.1, XP_013669673.1, XP_048593364.1, XP_048599759.1	El001G064400
OG0000021	XP_048604911.1, XP_048605373.1, XP_048593340.1	El001G063330, El006G289540
OG0000021	XP_013678980.1	El002G141120
OG0000021	XP_013661539.2, XP_013727601.1, XP_048620920.1, XP_048615710.1, XP_013708382.1, XP_013700007.2, XP_048604811.1, XP_048611847.1, XP_048620273.1, XP_013658199.2, XP_048604627.1, XP_048611960.1, XP_048604719.1, XP_048622881.1, XP_013704354.2, XP_013700069.1, XP_013700070.1, XP_013720866.1, XP_022557494.1, XP_022574317.2, XP_013717736.1, XP_013713632.1, XP_013745275.1	El005G277430, El007G325630
OG0000023	XP_048633858.1	El007G357800
OG0000023	XP_013690743.1	El003G162170
OG0000023	XP_013710801.1, XP_013717353.1	El003G162130
OG0000025	XP_048604678.1, XP_048603144.1, XP_013714776.2, XP_013674735.2	El003G190320, El007G338170, El007G338190, El007G338230, El007G338200
OG0000025	XP_022548570.1	El007G339540, El007G339570
OG0000025	XP_013645330.1, XP_013651021.2, XP_013733741.2, XP_013734914.2	El007G342390, El007G340950
OG0000026	XP_013660801.2, XP_013693183.2	El003G183480
OG0000026	XP_013688792.2, XP_022575800.1, XP_013689982.1, XP_048604113.1, XP_048605402.1, XP_013694923.1, XP_022565088.1, XP_013694081.2, XP_048599629.1, XP_048611708.1, XP_013700163.2, XP_022560041.2, XP_048623977.1, XP_048619887.1, XP_013716236.1, XP_048604696.1, XP_048604608.1, XP_048615510.1, XP_013690069.1, XP_013679158.1, XP_048613434.1, XP_022570698.1, XP_048622697.1, XP_048593382.1, XP_013650782.2, XP_048633038.1, XP_013654050.2, XP_013656470.2, XP_048621728.1, XP_013709768.2, XP_013676571.2, XP_048605928.1, XP_013650482.2, XP_013725579.1, XP_022569794.1, XP_013678944.3, XP_048618333.1, XP_013649960.1, XP_013708922.1, XP_013701765.1, XP_048607574.1, XP_022559746.2, XP_013665567.3, XP_048600036.1, XP_048600035.1, XP_013718697.2, XP_013726689.1	El007G356660
OG0000027	XP_022567836.1, XP_022546469.2	El002G117730
OG0000027	XP_022575972.2, XP_048609431.1, XP_048636470.1	El002G117790, El002G117690, El002G117760, El002G117870, El002G117820
OG0000027	XP_013663491.2, XP_013663656.1	El001G029050, El001G025570
OG0000028	XP_013751299.2	El008G369630
OG0000028	XP_013665034.1	El004G212000, El004G211990, El007G348580, El007G334290, El007G365340, El007G351990
OG0000028	XP_013658604.1, XP_013707922.2	El004G220890, El005G261200, El001G000530, El003G163730, El006G311620
OG0000028	XP_022549798.1, XP_013645232.1, XP_048632999.1, XP_013725945.1, XP_022557655.1, XP_048637584.1, XP_048593411.1, XP_013652335.1, XP_048599560.1, XP_048618607.1, XP_013645857.1, XP_013718802.1, XP_013720035.1, XP_013657814.2, XP_022562306.1	El001G018960, El002G114660, El007G326060
OG0000028	XP_013665035.2, XP_048613429.1	El007G352000
OG0000029	XP_048613515.1	El001G031910
OG0000029	XP_013655251.2, XP_013679244.2	El006G302870, El002G125750, El008G368530
OG0000029	XP_013708649.1, XP_048636014.1, XP_022552362.2, XP_048610765.1	El003G179090
OG0000029	XP_048624916.1, XP_048604271.1	El008G371400, El008G371420, El008G371370, El008G371360
OG0000029	XP_048630615.1	El001G044810
OG0000029	XP_048593383.1	El006G307470
OG0000030	XP_048593313.1	El001G014970
OG0000030	XP_013673703.1	El007G358700, El008G371380, El007G349640, El003G181950
OG0000030	XP_048634976.1	El005G265320, El003G181970
OG0000030	XP_048631703.1, XP_048593350.1, XP_048599751.1	El007G346180
OG0000030	XP_013674366.2, XP_048630454.1, XP_048614763.1	El003G181960
OG0000030	XP_048611490.1, XP_013669162.1, XP_013713780.1, XP_048620176.1	El003G178390, El003G178450
OG0000030	XP_048615642.1, XP_048613169.1	El002G136200
OG0000031	XP_013733295.2, XP_013664368.1	El004G197790, El004G197660
OG0000031	XP_013712408.2	El002G096100
OG0000031	XP_013731595.1, XP_013743363.2	El003G192370
OG0000031	XP_048602151.1, XP_048594826.1	El005G253470
OG0000031	XP_013742432.1, XP_013741893.2	El003G157520
OG0000031	XP_013716382.2	El002G127940, El004G193990
OG0000033	XP_013714969.1, XP_013737559.2, XP_022555869.1, XP_013694313.2, XP_013737653.2, XP_013694321.1	El003G162140, El003G162150
OG0000033	XP_013686564.1	El003G162160
OG0000033	XP_013718529.1, XP_013694845.2, XP_048630548.1	El005G273190
OG0000033	XP_013737646.2, XP_013737574.2	El003G162180
OG0000033	XP_048596713.1, XP_013644429.1	El001G004730
OG0000034	XP_048623038.1, XP_048592734.1, XP_022574481.2	El001G041330
OG0000034	XP_048602612.1, XP_048593533.1	El002G123500
OG0000034	XP_048614495.1, XP_013658499.2	El003G154390, El001G040620, El004G214030
OG0000034	XP_048629230.1, XP_048613039.1, XP_013657357.3, XP_048604157.1, XP_048600875.1, XP_048602885.1, XP_048622341.1, XP_048624629.1, XP_048614704.1, XP_048615203.1, XP_048601602.1, XP_013739469.3, XP_048622524.1, XP_013682194.3, XP_048621943.1, XP_048613063.1, XP_048604204.1, XP_048611588.1, XP_048607524.1, XP_048609770.1, XP_048606770.1, XP_048603896.1, XP_048600393.1, XP_048600357.1, XP_013713559.3, XP_013710842.2, XP_013652140.3, XP_013710791.2, XP_048626102.1	El002G126180
OG0000034	XP_048618955.1, XP_048630873.1, XP_048604268.1, XP_013720627.2, XP_048604734.1, XP_022561433.2	El027G373510
OG0000034	XP_022565462.2	El005G264310, El005G268870
OG0000034	XP_048612319.1, XP_048602271.1	El006G311550
OG0000035	XP_048634349.1, XP_048611991.1, XP_013747176.2, XP_048610025.1, XP_013723850.2, XP_013747222.2, XP_048635821.1, XP_048613549.1, XP_013645362.1, XP_048611994.1, XP_048634354.1, XP_013746089.2, XP_013696206.2, XP_013747225.2, XP_013723835.2, XP_048612494.1, XP_013666043.2, XP_013747220.2, XP_022574418.2, XP_013723790.1, XP_013723791.2, XP_048634353.1, XP_048633807.1	El001G043940
OG0000035	XP_013683389.1	El006G299540
OG0000036	XP_013694559.1	El003G178170
OG0000036	XP_048634998.1, XP_048633135.1, XP_048631005.1, XP_048628642.1, XP_013679728.2, XP_048628613.1, XP_013704206.1, XP_048613286.1, XP_013689017.1, XP_013723742.2, XP_048596196.1, XP_013669690.1, XP_048622803.1, XP_048605475.1, XP_013665380.2, XP_013713590.2, XP_048634962.1, XP_048619840.1, XP_048604795.1, XP_048605056.1, XP_013721762.1, XP_013745805.1, XP_048591395.1, XP_048633128.1, XP_048634988.1, XP_048636937.1, XP_022570208.2, XP_048599567.1, XP_013689571.2, XP_013689575.1, XP_048620303.1, XP_048635023.1, XP_048591429.1, XP_013751417.2, XP_048630409.1, XP_048627410.1, XP_048632997.1, XP_048591345.1, XP_048630860.1, XP_048635784.1, XP_048615571.1, XP_013674398.1, XP_048627287.1, XP_048596389.1, XP_048627847.1, XP_013658424.2, XP_048608393.1, XP_013658575.1, XP_013659482.2, XP_048619926.1, XP_013729499.1, XP_013674029.1, XP_022549692.2, XP_013669055.1, XP_048634960.1, XP_048629054.1, XP_013700503.1, XP_013705965.1, XP_013719878.1, XP_048635001.1	El006G311410, El002G122040, El002G126960
OG0000037	XP_013751552.2	El001G053830
OG0000037	XP_048603180.1	El003G180470
OG0000038	XP_013674918.2	El006G281890, El006G282510
OG0000038	XP_013683826.1, XP_048620271.1, XP_048620270.1	El007G360620, El007G360550, El007G360490, El007G360510, El007G360600, El007G360640
OG0000039	XP_013679936.2	El004G212610
OG0000040	XP_013701833.2, XP_022560216.2, XP_048591590.1	El006G296490, El006G297130
OG0000040	XP_022550055.1, XP_022547723.2, XP_048600572.1, XP_048627995.1, XP_048600577.1, XP_048600576.1, XP_048600578.1, XP_048600582.1, XP_048600573.1, XP_048634184.1, XP_013744698.2, XP_048634467.1, XP_013744695.2, XP_013687565.1	El005G250180
OG0000040	XP_048628652.1, XP_022574870.2	El005G257710
OG0000040	XP_013706039.1, XP_013675588.2, XP_013719126.2, XP_013716736.2, XP_048611111.1, XP_013747379.2	El005G257410
OG0000042	XP_013669693.1, XP_013728373.1, XP_048599707.1	El001G058460
OG0000042	XP_048596317.1, XP_048602093.1	El003G192700
OG0000042	XP_048626442.1, XP_048630045.1, XP_048605221.1, XP_013669445.2	El006G318460
OG0000042	XP_048629753.1	El006G306460
OG0000042	XP_048626916.1, XP_013739572.2, XP_013668593.2	El004G194460, El007G344540
OG0000042	XP_048596563.1	El005G265850
OG0000043	XP_048605617.1, XP_013751538.1, XP_048610020.1, XP_048615105.1, XP_013718150.2, XP_048633116.1, XP_013746095.1, XP_048623797.1, XP_013689211.1, XP_048605762.1, XP_022575840.1, XP_048636416.1, XP_048615744.1, XP_013662062.1, XP_048605629.1, XP_013668954.1, XP_013738678.1, XP_013695066.2, XP_048605627.1, XP_048599779.1, XP_048623896.1, XP_013688873.1, XP_022560137.1, XP_013660823.1, XP_048622617.1, XP_013699880.1, XP_048611690.1, XP_048599987.1, XP_048623798.1, XP_022552322.2, XP_013689963.1, XP_048605095.1	El007G350700
OG0000044	XP_048599977.1, XP_013733293.2, XP_048591383.1, XP_048592554.1, XP_048605908.1, XP_048613135.1, XP_048623805.1, XP_048631733.1, XP_048591444.1, XP_048600193.1, XP_048606399.1, XP_048605166.1, XP_022567046.1, XP_048620073.1, XP_022552709.1, XP_048609363.1, XP_048607154.1, XP_048626706.1, XP_048595608.1, XP_048604688.1, XP_048627544.1, XP_048616284.1, XP_022552197.1, XP_048628171.1, XP_048608413.1, XP_048628439.1, XP_048593377.1, XP_013724632.2, XP_013723763.2	El006G308910, El006G308940
OG0000044	XP_022547672.2, XP_013669672.2, XP_048623948.1, XP_048598164.1, XP_048613213.1, XP_048615669.1, XP_013642234.3, XP_013669592.2, XP_048608518.1, XP_013736305.1	El007G360870
OG0000045	XP_013653957.2, XP_048610024.1	El005G249570, El003G188840, El005G264730
OG0000045	XP_048627518.1, XP_048625806.1, XP_048633024.1, XP_048615579.1, XP_048598081.1	El002G101480
OG0000045	XP_013751220.1, XP_022546552.1, XP_013694239.1, XP_048628468.1, XP_013724424.1, XP_013689123.2, XP_013713286.1, XP_013669586.1	El004G208130
OG0000045	XP_013713178.1	El006G320830
OG0000046	XP_048591104.1	El003G188710
OG0000046	XP_048633450.1, XP_013710778.1	El003G186960, El003G186970
OG0000046	XP_048638243.1, XP_013669844.2	El003G168460
OG0000046	XP_013724742.2	El003G187000, El003G186990
OG0000046	XP_048604140.1, XP_013676351.2, XP_013729317.1	El004G216790
OG0000046	XP_048616752.1, XP_048610981.1, XP_048604137.1	El004G216850, El004G216660
OG0000046	XP_048591561.1	El004G216560, El004G216600
OG0000046	XP_048611004.1, XP_013731656.2	El004G216520
OG0000046	XP_022551748.1, XP_048629558.1	El004G216760
OG0000046	XP_048633516.1, XP_048628795.1, XP_048612190.1	El003G186890
OG0000047	XP_048611664.1	El004G207210
OG0000047	XP_048606465.1, XP_048615063.1, XP_048630782.1, XP_022563248.1	El004G204540, El001G049540, El007G364690
OG0000049	XP_048593367.1	El007G333440
OG0000052	XP_048613662.1, XP_048599350.1, XP_013680648.2, XP_022549241.2, XP_048598261.1, XP_048597938.1	El007G364450, El002G116290
OG0000052	XP_048609295.1, XP_048601858.1	El006G286610
OG0000052	XP_048605363.1, XP_048632926.1	El006G286630
OG0000052	XP_022556477.2, XP_022564157.2, XP_048637054.1, XP_022558010.2, XP_013752059.2, XP_013716726.2, XP_013716727.2	El006G286580
OG0000055	XP_013647831.2, XP_013642588.2	El001G016330, El001G016310, El001G016300
OG0000055	XP_013670350.1, XP_013691180.2	El004G198640
OG0000056	XP_013689080.1	El003G171800, El004G200570
OG0000057	XP_048613510.1	El003G184060
OG0000058	XP_048605594.1, XP_048620815.1, XP_013705003.1, XP_048627202.1	El001G046460
OG0000061	XP_048609345.1	El006G308960, El006G308930, El002G121930
OG0000062	XP_048611761.1, XP_013701495.2, XP_048619707.1, XP_013703977.2, XP_022575147.1, XP_048602568.1, XP_048630018.1, XP_013741022.1, XP_022574457.1, XP_013723697.1, XP_013717352.1, XP_013745422.2, XP_013725743.2, XP_048636767.1, XP_048628779.1, XP_048602176.1, XP_048628782.1, XP_048613487.1	El003G186180, El004G203440, El004G203430
OG0000062	XP_048624175.1, XP_013694681.2, XP_048604692.1, XP_048623683.1, XP_013705125.2, XP_013658760.2, XP_048633093.1	El007G346680, El005G263100
OG0000062	XP_013658933.1	El001G054390
OG0000064	XP_013644911.1, XP_013706797.1	El003G142390
OG0000064	XP_013679593.1	El006G298100
OG0000064	XP_048604746.1	El004G232120
OG0000066	XP_013750874.1, XP_013686753.1, XP_013709910.2, XP_022552886.1, XP_013678750.1, XP_013657686.1, XP_013726586.1, XP_013686743.2, XP_013731494.1, XP_013698649.1, XP_013712760.1, XP_048627501.1, XP_048626247.1, XP_048627503.1, XP_048626251.1, XP_048630526.1, XP_048601368.1, XP_013738537.1, XP_013718218.1, XP_013686742.1	El007G324780
OG0000067	XP_013715412.1, XP_013670850.1, XP_048623178.1, XP_022548777.1, XP_048598519.1, XP_013668584.1	El001G050000
OG0000067	XP_013709805.1, XP_013710177.1, XP_048596544.1, XP_048629618.1, XP_048597699.1, XP_048621264.1, XP_048597728.1, XP_048597729.1, XP_048597726.1, XP_048621263.1, XP_013710755.2, XP_048626256.1, XP_048597725.1, XP_048621323.1	El005G274450, El007G348170
OG0000067	XP_022566489.1, XP_022573196.2, XP_048624900.1, XP_048626836.1, XP_013716195.1, XP_048597874.1, XP_048607790.1, XP_048607781.1, XP_048607786.1, XP_048607791.1, XP_048624661.1, XP_048624657.1, XP_048607787.1, XP_048607782.1, XP_013722477.1, XP_013722478.1, XP_048607668.1	El001G059350
OG0000069	XP_013705347.1, XP_048620488.1	El001G064640
OG0000070	XP_048609984.1	El002G125720
OG0000070	XP_013723762.2, XP_048630545.1	El007G351510
OG0000070	XP_048630613.1, XP_048627468.1	El007G351470
OG0000071	XP_048593443.1, XP_013739437.1, XP_013728665.1, XP_013739111.2, XP_013709837.1, XP_048623943.1, XP_013694390.2, XP_048613267.1, XP_013678912.2, XP_022553097.1, XP_013668702.2, XP_048605145.1	El003G186380
OG0000071	XP_048613215.1	El003G161900, El007G348480
OG0000071	XP_048616732.1	El005G246820
OG0000071	XP_048609054.1, XP_013713679.2, XP_048618295.1, XP_013694308.2, XP_048619240.1, XP_048602142.1, XP_048597827.1, XP_048613740.1, XP_048609191.1, XP_048602227.1, XP_048590918.1, XP_048611693.1, XP_048607794.1, XP_048634699.1, XP_048593576.1, XP_048622539.1, XP_048609011.1, XP_013668572.1, XP_048599864.1, XP_013704573.1, XP_048610443.1, XP_048602877.1, XP_048604701.1, XP_048596552.1, XP_022549881.1, XP_048613071.1, XP_048622994.1, XP_048617994.1	El002G129540
OG0000071	XP_013694349.1, XP_048605778.1	El003G186390, El001G051200, El006G305000
