Orthogroup	Brassica_napus	Capsella_rubella
OG0000018	XP_048634179.1, XP_048605751.1, XP_022571151.1, XP_013673578.1, XP_048630900.1, XP_022575868.2, XP_048605747.1, XP_048605222.1, XP_048614689.1, XP_048596417.1, XP_013720098.2, XP_048601334.1, XP_048624799.1, XP_013673827.2, XP_048637603.1, XP_022550513.2, XP_048622957.1, XP_048590776.1, XP_013665022.2, XP_048611445.1, XP_048604864.1, XP_013745820.1, XP_048613131.1, XP_048606197.1, XP_022557717.1, XP_013751868.1, XP_022568346.1, XP_048611977.1, XP_013679337.1, XP_013704991.1, XP_048620421.1, XP_048604881.1, XP_013658330.1, XP_013726653.1, XP_013745661.1, XP_022552507.2, XP_013658329.1, XP_013726201.1, XP_048611537.1, XP_048599852.1, XP_048612004.1, XP_048612001.1, XP_048612006.1, XP_022569830.1, XP_013653854.1, XP_013658519.1, XP_048637099.1, XP_013674025.1, XP_048599651.1, XP_048629918.1, XP_022544100.1, XP_013657853.2, XP_013704346.2, XP_048605132.1, XP_048608829.1, XP_048615824.1, XP_048635015.1, XP_048604882.1, XP_013658447.2	XP_023634347.1, XP_023644512.1, XP_023636053.1, XP_023638958.1, XP_006285455.2
OG0000019	XP_048615741.1, XP_048613232.1, XP_048631187.1, XP_048591492.1, XP_048600050.1, XP_048604601.1, XP_048633529.1, XP_013667922.1, XP_013650790.2, XP_048616705.1, XP_048623938.1, XP_048634915.1, XP_048596323.1, XP_048635128.1, XP_013689709.2	XP_023636144.1, XP_023635713.1
OG0000019	XP_048619647.1, XP_048633186.1	XP_023641370.1
OG0000020	XP_048615648.1, XP_048605650.1, XP_048634952.1, XP_048603589.1, XP_048634953.1, XP_048607600.1, XP_048606214.1, XP_048603551.1, XP_013669005.1, XP_048605533.1, XP_013654031.1, XP_048612010.1, XP_048622775.1	XP_023634318.1
OG0000021	XP_013690322.2	XP_023641338.1
OG0000023	XP_013697411.2, XP_013738434.2, XP_013738445.2, XP_022570725.1	XP_006284983.1
OG0000023	XP_048633858.1	XP_023634683.1
OG0000023	XP_013694257.1, XP_013737657.1, XP_048612374.1	XP_006283253.1
OG0000023	XP_048605400.1	XP_023635866.1
OG0000023	XP_048625802.1, XP_048632003.1	XP_006287218.1
OG0000023	XP_013718638.2	XP_006289052.2, XP_023635860.1
OG0000023	XP_013690743.1	XP_006285954.1
OG0000023	XP_048605876.1	XP_006286185.1, XP_023634702.1
OG0000023	XP_013741339.2	XP_023634685.1
OG0000025	XP_048604678.1, XP_048603144.1, XP_013714776.2, XP_013674735.2	XP_006281712.1
OG0000025	XP_048607423.1, XP_048607435.1, XP_013655489.2, XP_022571152.1, XP_048626769.1, XP_048626770.1, XP_013693915.2, XP_048606182.1, XP_048624533.1, XP_022554086.2, XP_048607422.1, XP_013670188.1, XP_022554085.2, XP_048607429.1	XP_006304936.1, XP_023644946.1
OG0000025	XP_013690637.1	XP_006299262.2
OG0000025	XP_022563911.2, XP_048631222.1, XP_013674433.2, XP_048627722.1, XP_048627726.1, XP_013674436.2, XP_013645094.1	XP_006285133.1
OG0000026	XP_013660801.2, XP_013693183.2	XP_023639056.1
OG0000026	XP_013645721.1, XP_013673982.1, XP_022544275.2, XP_022546075.2, XP_013742091.2, XP_013642305.2, XP_013748306.2, XP_048604834.1, XP_013745200.2, XP_022570115.1, XP_048591410.1, XP_048629058.1, XP_048609175.1, XP_013695840.2, XP_013689267.2, XP_013689142.2, XP_022565688.2, XP_013704163.2, XP_048633191.1, XP_048596374.1, XP_013694198.1, XP_013655249.2, XP_013709327.2, XP_022568227.1, XP_048619935.1, XP_048624252.1, XP_048613225.1, XP_048605392.1, XP_048608748.1	XP_023644550.1, XP_023641958.1, XP_023644451.1, XP_023634078.1, XP_023644235.1, XP_023636040.1
OG0000027	XP_022567836.1, XP_022546469.2	XP_023633039.1
OG0000027	XP_022575972.2, XP_048609431.1, XP_048636470.1	XP_023632980.1, XP_023632975.1, XP_023632970.1
OG0000027	XP_013663491.2, XP_013663656.1	XP_023633004.1, XP_023639207.1
OG0000028	XP_013665034.1	XP_023633422.1, XP_023636106.1, XP_023638859.1, XP_023644241.1, XP_023633373.1, XP_023638123.1, XP_023644257.1, XP_023644242.1, XP_023634002.1, XP_023638860.1, XP_023633615.1, XP_023641909.1
OG0000028	XP_013658604.1, XP_013707922.2	XP_023634815.1, XP_023641328.1, XP_023644323.1, XP_023644233.1, XP_023642217.1
OG0000028	XP_013679109.3, XP_013745224.1, XP_048616838.1, XP_013704224.2, XP_048593390.1, XP_013650700.1, XP_048627799.1, XP_013658458.1, XP_013719392.2, XP_013704816.2, XP_048613359.1, XP_048611760.1, XP_022561462.1, XP_048624139.1, XP_048613477.1, XP_048599192.1, XP_048615949.1, XP_013658247.1	XP_023640355.1
OG0000028	XP_048603572.1	XP_023640390.1, XP_023635785.1, XP_023637682.1
OG0000030	XP_013654433.1, XP_048605211.1, XP_048622936.1, XP_013658434.2, XP_048626196.1	XP_023644481.1
OG0000031	XP_013733295.2, XP_013664368.1	XP_006301194.2, XP_006300860.1, XP_006302102.1
OG0000031	XP_013708901.1, XP_022547209.2	XP_006306232.1
OG0000031	XP_013728454.1, XP_013667568.2	XP_023636761.1
OG0000031	XP_013731595.1, XP_013743363.2	XP_023635463.1
OG0000031	XP_048602151.1, XP_048594826.1	XP_006297483.1
OG0000031	XP_013742432.1, XP_013741893.2	XP_006283550.1
OG0000031	XP_013664370.2, XP_048595644.1	XP_006301814.1
OG0000031	XP_013716382.2	XP_023643559.1, XP_006302132.1
OG0000033	XP_013714969.1, XP_013737559.2, XP_022555869.1, XP_013694313.2, XP_013737653.2, XP_013694321.1	XP_006283285.1
OG0000033	XP_013686564.1	XP_023634692.1
OG0000033	XP_013715780.1, XP_048628576.1, XP_048627598.1	XP_023634635.1
OG0000033	XP_048622964.1, XP_013694292.1, XP_013694271.1, XP_013737656.2	XP_006285944.1
OG0000033	XP_013717260.1, XP_013737259.1	XP_023634856.1
OG0000033	XP_048597020.1, XP_013738358.2, XP_022570722.1	XP_006283273.1, XP_006283145.1
OG0000033	XP_013737646.2, XP_013737574.2	XP_006283283.1
OG0000033	XP_048596713.1, XP_013644429.1	XP_006287210.1
OG0000034	XP_048621898.1, XP_048603766.1	XP_023635220.1
OG0000034	XP_048612319.1, XP_048602271.1	XP_023636243.1
OG0000035	XP_048634349.1, XP_048611991.1, XP_013747176.2, XP_048610025.1, XP_013723850.2, XP_013747222.2, XP_048635821.1, XP_048613549.1, XP_013645362.1, XP_048611994.1, XP_048634354.1, XP_013746089.2, XP_013696206.2, XP_013747225.2, XP_013723835.2, XP_048612494.1, XP_013666043.2, XP_013747220.2, XP_022574418.2, XP_013723790.1, XP_013723791.2, XP_048634353.1, XP_048633807.1	XP_006299189.1
OG0000035	XP_048634166.1	XP_023641959.1
OG0000035	XP_048611992.1, XP_048634350.1	XP_023640388.1
OG0000035	XP_013683389.1	XP_023640514.1
OG0000036	XP_013694559.1	XP_023644496.1
OG0000036	XP_048634998.1, XP_048633135.1, XP_048631005.1, XP_048628642.1, XP_013679728.2, XP_048628613.1, XP_013704206.1, XP_048613286.1, XP_013689017.1, XP_013723742.2, XP_048596196.1, XP_013669690.1, XP_048622803.1, XP_048605475.1, XP_013665380.2, XP_013713590.2, XP_048634962.1, XP_048619840.1, XP_048604795.1, XP_048605056.1, XP_013721762.1, XP_013745805.1, XP_048591395.1, XP_048633128.1, XP_048634988.1, XP_048636937.1, XP_022570208.2, XP_048599567.1, XP_013689571.2, XP_013689575.1, XP_048620303.1, XP_048635023.1, XP_048591429.1, XP_013751417.2, XP_048630409.1, XP_048627410.1, XP_048632997.1, XP_048591345.1, XP_048630860.1, XP_048635784.1, XP_048615571.1, XP_013674398.1, XP_048627287.1, XP_048596389.1, XP_048627847.1, XP_013658424.2, XP_048608393.1, XP_013658575.1, XP_013659482.2, XP_048619926.1, XP_013729499.1, XP_013674029.1, XP_022549692.2, XP_013669055.1, XP_048634960.1, XP_048629054.1, XP_013700503.1, XP_013705965.1, XP_013719878.1, XP_048635001.1	XP_023640345.1, XP_023634265.1, XP_023640320.1, XP_023643584.1, XP_023640315.1, XP_023636058.1, XP_023644147.1, XP_023634034.1, XP_023644470.1
OG0000036	XP_048612013.1	XP_023638869.1
OG0000037	XP_048605097.1, XP_048613413.1, XP_048611981.1	XP_023634626.1
OG0000038	XP_013674918.2	XP_006296301.2
OG0000038	XP_048594240.1, XP_048622251.1, XP_048622252.1, XP_022546529.1, XP_013719588.1, XP_048621240.1	XP_023635611.1
OG0000038	XP_013683826.1, XP_048620271.1, XP_048620270.1	XP_023637684.1, XP_023637652.1
OG0000038	XP_048615236.1, XP_048635940.1, XP_048635115.1, XP_048615249.1, XP_048635116.1, XP_048615246.1	XP_023642772.1
OG0000039	XP_048637497.1, XP_013745367.1, XP_013704436.1, XP_048615849.1	XP_023644219.1
OG0000040	XP_013701833.2, XP_022560216.2, XP_048591590.1	XP_006303634.1
OG0000040	XP_022550055.1, XP_022547723.2, XP_048600572.1, XP_048627995.1, XP_048600577.1, XP_048600576.1, XP_048600578.1, XP_048600582.1, XP_048600573.1	XP_006300177.2
OG0000040	XP_048634184.1, XP_013744698.2, XP_048634467.1, XP_013744695.2, XP_013687565.1	XP_006298407.2
OG0000040	XP_048628652.1, XP_022574870.2	XP_023641336.1, XP_023642658.1, XP_006296044.1
OG0000040	XP_013706039.1, XP_013675588.2, XP_013719126.2, XP_013716736.2, XP_048611111.1, XP_013747379.2	XP_023644289.1, XP_006297884.1
OG0000042	XP_013645292.2, XP_048623708.1, XP_022548579.1	XP_023643216.1, XP_023641303.1
OG0000042	XP_013751105.1, XP_048596476.1, XP_048611388.1, XP_048617238.1, XP_048626337.1, XP_013739245.1, XP_022549769.1, XP_048637482.1, XP_013650090.1, XP_048620040.1, XP_048599546.1, XP_013652272.1, XP_048618226.1, XP_048622954.1, XP_048596126.1, XP_048625808.1, XP_048626211.1, XP_013739441.2, XP_022569094.2, XP_013704236.1, XP_013656004.2, XP_013720036.1, XP_013740016.1, XP_048615590.1	XP_023644573.1
OG0000042	XP_048628387.1, XP_048594252.1	XP_023639239.1, XP_023634852.1, XP_023644222.1, XP_023644534.1, XP_023640572.1
OG0000042	XP_048596563.1	XP_023640353.1
OG0000043	XP_048611687.1	XP_023640334.1
OG0000043	XP_048605617.1, XP_013751538.1	XP_023640313.1, XP_023637997.1
OG0000044	XP_048599977.1, XP_013733293.2, XP_048591383.1, XP_048592554.1, XP_048605908.1, XP_048613135.1, XP_048623805.1, XP_048631733.1, XP_048591444.1, XP_048600193.1, XP_048606399.1, XP_048605166.1, XP_022567046.1, XP_048620073.1, XP_022552709.1, XP_048609363.1, XP_048607154.1, XP_048626706.1, XP_048595608.1, XP_048604688.1, XP_048627544.1, XP_048616284.1, XP_022552197.1, XP_048628171.1, XP_048608413.1, XP_048628439.1, XP_048593377.1, XP_013724632.2, XP_013723763.2	XP_006289233.2, XP_023636067.1, XP_023638196.1, XP_023640348.1, XP_023641942.1
OG0000045	XP_048627518.1, XP_048625806.1, XP_048633024.1, XP_048615579.1, XP_048598081.1	XP_023633361.1
OG0000045	XP_013751220.1, XP_022546552.1, XP_013694239.1, XP_048628468.1, XP_013724424.1, XP_013689123.2, XP_013713286.1, XP_013669586.1, XP_048596540.1, XP_048637065.1, XP_013739454.2, XP_048612059.1, XP_013727563.2, XP_048604915.1, XP_013733850.2, XP_013710371.1, XP_022552649.1, XP_048615901.1, XP_048612605.1, XP_013713178.1, XP_022562451.1, XP_048613579.1	XP_023635342.1
OG0000046	XP_048591104.1	XP_006286236.1
OG0000046	XP_048633450.1, XP_013710778.1	XP_006290703.1, XP_023638915.1
OG0000046	XP_048621377.1, XP_048619217.1	XP_023644284.1
OG0000046	XP_048638243.1, XP_013669844.2	XP_006286158.2
OG0000046	XP_022574226.2	XP_023635662.1
OG0000046	XP_013724742.2	XP_023638604.1, XP_023638598.1, XP_006290694.2
OG0000046	XP_048616752.1, XP_048610981.1, XP_048604137.1	XP_023643067.1
OG0000046	XP_048591561.1	XP_023644283.1
OG0000046	XP_048610999.1	XP_023643077.1
OG0000046	XP_048611004.1, XP_013731656.2	XP_006300887.1
OG0000047	XP_048605495.1, XP_048606198.1, XP_022565160.1	XP_023634337.1
OG0000047	XP_022562643.1, XP_048630749.1, XP_013646205.1, XP_013713305.1, XP_013730190.2, XP_048623760.1, XP_048612616.1, XP_013673366.2, XP_048609206.1, XP_013745490.2, XP_013704829.2, XP_048604967.1, XP_048611522.1, XP_048596443.1, XP_048637573.1, XP_048620210.1, XP_048622632.1	XP_023645924.1
OG0000048	XP_048625022.1, XP_013676074.2, XP_013683129.2, XP_048625023.1, XP_022544292.2, XP_048607995.1	XP_023636997.1
OG0000048	XP_013680531.1, XP_013740217.1	XP_006286674.1, XP_006289917.1
OG0000050	XP_048634070.1	XP_023633725.1
OG0000052	XP_048613662.1, XP_048599350.1, XP_013680648.2, XP_022549241.2, XP_048598261.1, XP_048597938.1	XP_006304062.1
OG0000052	XP_022556477.2, XP_022564157.2, XP_048637054.1, XP_022558010.2, XP_013752059.2, XP_013716726.2, XP_013716727.2	XP_023640424.1
OG0000053	XP_013651105.1, XP_048633080.1, XP_013650489.2, XP_048637467.1, XP_048635066.1, XP_013645312.2, XP_013674059.1, XP_013694485.1, XP_022559955.1, XP_013689214.2, XP_013713672.1	XP_023644244.1, XP_023633548.1, XP_023634277.1
OG0000053	XP_013705753.2, XP_048594916.1, XP_022562586.2, XP_013704607.1	XP_023633025.1
OG0000053	XP_022564363.1, XP_048623806.1, XP_013711122.2, XP_013747493.2, XP_013668598.1, XP_013660360.1, XP_048613279.1, XP_013675621.2, XP_013726592.2, XP_013708501.1, XP_022548821.1	XP_006290464.1
OG0000055	XP_013647831.2, XP_013642588.2	XP_006292456.1
OG0000055	XP_048633192.1, XP_013686982.2	XP_023643438.1
OG0000056	XP_013689080.1	XP_006290241.2, XP_023637455.1, XP_023644542.1
OG0000056	XP_013668678.3, XP_048624531.1, XP_048623988.1	XP_023638967.1, XP_006282913.2
OG0000057	XP_048613510.1	XP_023642764.1
OG0000057	XP_048635092.1, XP_048635090.1, XP_013695133.1	XP_023643291.1
OG0000057	XP_013665444.2, XP_022565713.1	XP_006300113.1, XP_006299228.1
OG0000059	XP_048630102.1, XP_048604784.1	XP_023637566.1, XP_023637460.1
OG0000059	XP_048611527.1	XP_023644456.1
OG0000059	XP_048599182.1, XP_048604603.1, XP_013669543.1, XP_048599730.1	XP_023638041.1
OG0000061	XP_048609345.1	XP_023641960.1, XP_023634808.1, XP_023638026.1
OG0000061	XP_048637558.1, XP_048596723.1, XP_013696292.3, XP_013739780.2, XP_048623330.1, XP_048624587.1, XP_048600681.1, XP_013732657.2, XP_022554064.1, XP_013743691.1, XP_013723290.2, XP_048595762.1, XP_048592686.1, XP_048592725.1, XP_048615070.1, XP_048630784.1, XP_048608631.1, XP_048630841.1, XP_013651771.2, XP_048618601.1, XP_048603650.1, XP_048606030.1, XP_048606466.1, XP_013706470.2, XP_013729547.2, XP_013687886.1, XP_013680970.2, XP_048622924.1, XP_048615428.1, XP_048602960.1, XP_022557143.1, XP_022556335.1, XP_013691840.1, XP_013662162.2, XP_048592595.1, XP_013677735.1, XP_013738633.2, XP_013700197.1, XP_048611597.1, XP_013739555.1, XP_013739489.3, XP_022552117.1, XP_048604597.1	XP_023634311.1
OG0000062	XP_013658933.1	XP_023645325.1
OG0000063	XP_013729484.1	XP_006295294.1
OG0000063	XP_013642542.1, XP_013734919.1	XP_006292099.1
OG0000063	XP_013723951.1	XP_006279505.1
OG0000063	XP_013744725.1	XP_006292098.1
OG0000063	XP_013732634.1	XP_006303457.1
OG0000064	XP_013644911.1, XP_013706797.1	XP_023634774.1
OG0000064	XP_013679593.1	XP_006295567.2
OG0000066	XP_013693331.1, XP_013729633.1, XP_013736360.1, XP_013731924.1, XP_022554306.1, XP_013726329.1	XP_006284722.1
OG0000066	XP_013726586.1, XP_013686743.2	XP_006304637.1
OG0000066	XP_013698649.1	XP_006292533.1
OG0000067	XP_013715412.1, XP_013670850.1, XP_048623178.1, XP_022548777.1, XP_048598519.1, XP_013668584.1	XP_006289556.2, XP_023637280.1
OG0000069	XP_013751106.1, XP_048635044.1	XP_023644828.1
OG0000070	XP_048627235.1, XP_048635003.1, XP_048633120.1, XP_048619942.1	XP_023634145.1
OG0000070	XP_048619861.1	XP_023639630.1
OG0000070	XP_048629624.1	XP_023638848.1
OG0000071	XP_048599861.1, XP_048623054.1, XP_013699951.1	XP_006301047.2
OG0000071	XP_048616732.1	XP_023646042.1, XP_023644298.1
OG0000071	XP_013694349.1, XP_048605778.1	XP_023643263.1
OG0000072	XP_048596580.1, XP_048594542.1	XP_023633613.1
OG0000072	XP_048627555.1, XP_048591403.1, XP_048613739.1	XP_023644486.1
OG0000073	XP_048618855.1	XP_023636310.1
OG0000073	XP_048616162.1, XP_048629185.1, XP_048632242.1	XP_006281533.1
OG0000073	XP_048616181.1, XP_048603851.1, XP_048629187.1, XP_013705861.2	XP_023638542.1
OG0000073	XP_048637358.1	XP_023638545.1, XP_023634755.1
OG0000074	XP_048618642.1, XP_013650642.2, XP_048592695.1, XP_013659564.1, XP_048618639.1, XP_048592696.1	XP_006296266.1
OG0000074	XP_013693122.1, XP_013662871.2	XP_006306513.2
OG0000074	XP_048597301.1, XP_022564630.1, XP_013705955.1, XP_013658420.2, XP_013695922.2	XP_006303770.1
OG0000075	XP_022547516.1, XP_048596886.1	XP_006287874.1, XP_006296766.1
OG0000075	XP_048620324.1	XP_006289118.1
OG0000076	XP_022574473.2, XP_013691589.1	XP_023638594.1
OG0000076	XP_048637555.1	XP_023641037.1, XP_023633372.1
OG0000076	XP_048625706.1	XP_023638946.1, XP_023639178.1
OG0000076	XP_013662287.2	XP_006291090.1
OG0000076	XP_013659850.2, XP_022549905.1, XP_048633975.1, XP_048633972.1, XP_048633971.1, XP_013645263.2	XP_006291114.1, XP_006291129.1
OG0000076	XP_048595244.1, XP_048625573.1	XP_006301891.2, XP_006301896.2, XP_023638056.1, XP_023639204.1, XP_006293172.2
OG0000076	XP_013644701.2, XP_022561919.2, XP_013672574.2	XP_023639245.1, XP_023639087.1
OG0000077	XP_013735884.1, XP_013735871.1, XP_013735860.1, XP_013707233.1	XP_006285279.1
OG0000077	XP_022543769.2, XP_013707234.1	XP_006283916.1, XP_023635518.1
OG0000078	XP_013665481.1	XP_023642819.1, XP_023644458.1, XP_023644523.1, XP_023633346.1, XP_023633349.1, XP_023640339.1
