Orthogroup	Brassica_napus	Raphanus_sativus
OG0000004	XP_048605758.1, XP_048613516.1	XP_018454128.1, XP_018466708.1
OG0000004	XP_048626290.1, XP_013709134.2	XP_018435931.1
OG0000004	XP_048631415.1, XP_048628884.1, XP_013751163.2	XP_018464681.1
OG0000004	XP_013668578.2	XP_018461587.1
OG0000004	XP_048590919.1	XP_018479550.1
OG0000004	XP_048605567.1, XP_013745811.1, XP_048623656.1	XP_018435819.1
OG0000004	XP_013709365.2, XP_013689957.1	XP_018479791.1
OG0000004	XP_048599985.1	XP_018477037.1, XP_018479597.1, XP_018487968.1, XP_018473623.1, XP_018479587.1, XP_018443691.1, XP_018436376.1, XP_018479586.1
OG0000004	XP_048593474.1, XP_013720997.1	XP_018463022.1
OG0000004	XP_013694423.1	XP_018463807.1
OG0000004	XP_048624048.1	XP_018479254.1, XP_018474361.1, XP_018458945.1
OG0000004	XP_013739852.2	XP_018463519.1
OG0000004	XP_048605017.1	XP_018462044.1, XP_018478488.1
OG0000004	XP_048605537.1	XP_018435536.1, XP_018448777.1
OG0000004	XP_048605491.1, XP_013679256.1	XP_018466718.1
OG0000004	XP_013751510.1	XP_018463796.1, XP_018473896.1, XP_018448677.1
OG0000004	XP_048620086.1, XP_048613285.1, XP_048629226.1, XP_048604979.1, XP_048595626.1, XP_048591584.1	XP_018473859.1
OG0000004	XP_048623952.1	XP_018458831.1
OG0000004	XP_022553652.1	XP_018487419.1
OG0000004	XP_048594891.1, XP_013718382.2, XP_048615660.1, XP_048622886.1, XP_048604743.1	XP_018466408.1
OG0000004	XP_048637537.1	XP_018460445.1
OG0000004	XP_048611782.1, XP_048598079.1	XP_018473811.1, XP_018487729.1, XP_018459879.1
OG0000004	XP_048622723.1, XP_048605708.1, XP_048611774.1, XP_022549590.1, XP_048635018.1	XP_018453885.1
OG0000004	XP_048593475.1, XP_048623608.1, XP_013700585.1	XP_018473827.1
OG0000004	XP_048624010.1	XP_018435953.1
OG0000004	XP_048591490.1, XP_048633068.1, XP_048627306.1, XP_048606736.1, XP_048638523.1, XP_048613061.1, XP_048609142.1, XP_048624264.1, XP_048609510.1, XP_048604054.1, XP_048637040.1	XP_018448539.1
OG0000004	XP_048596459.1, XP_048609324.1	XP_018443672.1, XP_018443671.1, XP_018488129.1, XP_018487799.1, XP_018462308.1
OG0000004	XP_048593220.1	XP_018462595.1, XP_018435292.1, XP_018464994.1, XP_018463801.1
OG0000005	XP_048615628.1, XP_048591448.1, XP_013713475.1, XP_013658836.1	XP_018479454.1
OG0000005	XP_048634185.1, XP_013650490.2, XP_013668599.2, XP_013669340.1, XP_013658945.2, XP_048611304.1, XP_048622965.1	XP_018443533.1
OG0000005	XP_048602704.1	XP_018481184.1
OG0000005	XP_013720458.1, XP_048626877.1, XP_048594904.1, XP_013739148.2, XP_013713578.1	XP_018467418.1
OG0000005	XP_013673764.3	XP_018461258.1
OG0000005	XP_048622638.1	XP_018435786.1
OG0000005	XP_048631460.1, XP_022569212.1, XP_013657649.1	XP_018479482.1
OG0000005	XP_048632940.1, XP_013645014.2	XP_018479007.1, XP_018487838.1
OG0000005	XP_013713423.1	XP_018479971.1
OG0000005	XP_013668888.1, XP_048599649.1, XP_048621848.1	XP_018453423.1
OG0000005	XP_048615786.1	XP_018479190.1, XP_018479189.1
OG0000005	XP_048596248.1	XP_018436049.1
OG0000005	XP_013669691.1	XP_018458389.1, XP_018474214.1
OG0000005	XP_048617358.1	XP_018448431.1
OG0000005	XP_013709376.2	XP_018474296.1
OG0000005	XP_048613106.1	XP_018467672.1
OG0000005	XP_048599212.1	XP_018488051.1
OG0000005	XP_013751397.2	XP_018443348.1
OG0000005	XP_022575814.1	XP_018479302.1
OG0000005	XP_013739903.1	XP_018479430.1
OG0000005	XP_048622755.1, XP_048631394.1	XP_018448691.1
OG0000005	XP_013650434.2	XP_018435561.1, XP_018479324.1
OG0000005	XP_048626850.1	XP_018474243.1
OG0000005	XP_013665497.1	XP_018458174.1
OG0000005	XP_048591270.1, XP_048633020.1, XP_048606173.1	XP_018463676.1, XP_018474023.1
OG0000005	XP_013722776.3, XP_048593504.1, XP_013728385.1	XP_018479849.1
OG0000005	XP_048608242.1	XP_018458816.1
OG0000005	XP_022564309.1	XP_018473658.1
OG0000005	XP_048599654.1, XP_013713504.1	XP_018479530.1
OG0000005	XP_013658645.2	XP_018462391.1
OG0000006	XP_048632505.1	XP_018465863.1
OG0000006	XP_048623319.1, XP_048600356.1, XP_048625945.1, XP_013723589.1, XP_022570193.2	XP_018448282.1
OG0000006	XP_048618736.1, XP_048602106.1, XP_048607511.1, XP_048632021.1, XP_048597905.1, XP_048636872.1, XP_048591253.1, XP_048615872.1, XP_048606696.1, XP_048617198.1	XP_018438060.1
OG0000006	XP_048606681.1	XP_018443248.1
OG0000006	XP_048611470.1, XP_048604740.1, XP_013704285.1	XP_018480139.1
OG0000006	XP_048600198.1, XP_048632513.1, XP_022548161.2, XP_048607705.1, XP_048600483.1, XP_048605783.1, XP_048608223.1, XP_048610731.1, XP_048608167.1, XP_048633194.1, XP_048595740.1, XP_048608477.1, XP_048634500.1, XP_048595950.1, XP_048591706.1, XP_048599362.1, XP_048599195.1, XP_048633886.1, XP_048633566.1, XP_022550583.2, XP_048623214.1, XP_048623269.1, XP_022561816.2, XP_048599680.1, XP_048596122.1, XP_048611876.1, XP_048604684.1, XP_048598045.1, XP_048599957.1, XP_048634673.1, XP_048627686.1, XP_048596592.1, XP_048598128.1, XP_048599668.1, XP_048623622.1, XP_048623620.1, XP_048604456.1, XP_048596576.1, XP_048593931.1	XP_018474045.1
OG0000006	XP_048592647.1, XP_022545293.2, XP_048598665.1, XP_048637663.1	XP_018488171.1, XP_018461527.1, XP_018443685.1, XP_018474163.1
OG0000006	XP_022542942.2, XP_022546681.1, XP_048608453.1, XP_048635919.1, XP_048633777.1, XP_022553853.1, XP_048618793.1, XP_048615634.1, XP_048636544.1, XP_048618843.1, XP_048595865.1, XP_048606283.1, XP_048591073.1, XP_048605393.1, XP_022545844.2, XP_048635111.1, XP_013720746.1, XP_048596555.1, XP_048605381.1, XP_048605321.1, XP_048602103.1, XP_048613007.1, XP_048602202.1, XP_048617000.1, XP_013670433.2, XP_048638605.1, XP_048637581.1	XP_018479202.1
OG0000006	XP_048612088.1, XP_048594681.1, XP_048611448.1	XP_018436374.1
OG0000006	XP_048606830.1	XP_018466154.1, XP_018479922.1
OG0000006	XP_048614443.1, XP_048618668.1	XP_018485455.1
OG0000006	XP_048601378.1, XP_048620827.1	XP_018471975.1
OG0000006	XP_048610413.1, XP_048602951.1, XP_048606056.1	XP_018466130.1, XP_018467308.1, XP_018464921.1
OG0000006	XP_048601765.1, XP_048618116.1, XP_048617042.1, XP_048616274.1	XP_018479657.1
OG0000006	XP_048620254.1	XP_018462223.1
OG0000006	XP_048593388.1, XP_048609348.1, XP_048609347.1, XP_013665085.2, XP_048613183.1	XP_018454081.1, XP_018453629.1
OG0000006	XP_048631151.1, XP_048621605.1, XP_048621349.1, XP_048612104.1	XP_018443492.1, XP_018437596.1
OG0000006	XP_048602894.1, XP_022557024.2	XP_018474159.1
OG0000006	XP_048597124.1	XP_018439630.1
OG0000006	XP_048623979.1	XP_018448724.1, XP_018448723.1
OG0000007	XP_013709207.1	XP_018436035.1
OG0000007	XP_013694314.1, XP_048629182.1	XP_018443468.1
OG0000007	XP_013657892.1	XP_018453653.1
OG0000007	XP_048609270.1	XP_018443420.1
OG0000007	XP_013669482.2	XP_018463775.1, XP_018479789.1
OG0000007	XP_013679317.2	XP_018487667.1, XP_018479790.1
OG0000007	XP_048611547.1, XP_013674098.1, XP_048604662.1	XP_018488079.1
OG0000007	XP_048606175.1, XP_048611825.1	XP_018443673.1
OG0000007	XP_048634091.1	XP_018475855.1
OG0000007	XP_013658904.1	XP_018453689.1
OG0000007	XP_048605398.1, XP_013713691.1	XP_018479455.1
OG0000007	XP_013673581.2, XP_048624114.1, XP_013689634.1, XP_013723992.2, XP_013694206.1, XP_048623693.1	XP_018443746.1
OG0000007	XP_048624136.1	XP_018460172.1
OG0000007	XP_048605578.1	XP_018473555.1
OG0000007	XP_048627392.1, XP_048606192.1, XP_013731064.2, XP_048608898.1, XP_048627245.1, XP_048596526.1, XP_013658564.2, XP_013668733.2, XP_013659695.2, XP_013694544.2, XP_048632958.1, XP_013660781.1, XP_048604778.1, XP_048615950.1, XP_013649395.2	XP_018453921.1
OG0000007	XP_048624140.1	XP_018453541.1, XP_018474641.1
OG0000007	XP_048624246.1	XP_018463113.1
OG0000007	XP_013709372.2, XP_022553380.1	XP_018459162.1
OG0000007	XP_048634063.1, XP_048615667.1, XP_013654036.3, XP_013654011.2, XP_013646207.2, XP_048591502.1	XP_018479757.1
OG0000007	XP_048591447.1	XP_018459875.1
OG0000007	XP_048605541.1, XP_013678969.2, XP_048596342.1, XP_048621839.1	XP_018472282.1
OG0000007	XP_022549722.2, XP_013658576.2	XP_018460558.1
OG0000007	XP_013745771.2, XP_013690321.2	XP_018478413.1, XP_018479618.1
OG0000007	XP_048599593.1	XP_018479119.1
OG0000007	XP_048599664.1	XP_018487413.1, XP_018487416.1
OG0000007	XP_013688737.1	XP_018453501.1
OG0000007	XP_048628012.1, XP_048635094.1, XP_022565607.2	XP_018459856.1, XP_018443699.1
OG0000008	XP_013709535.2	XP_018462957.1
OG0000008	XP_048605305.1	XP_018487527.1, XP_018467072.1
OG0000008	XP_013705001.2, XP_048620224.1	XP_018462956.1
OG0000008	XP_048628475.1, XP_048590797.1	XP_018488004.1, XP_018453879.1
OG0000008	XP_048605193.1	XP_018465341.1
OG0000008	XP_048602098.1, XP_013729777.3	XP_018462648.1
OG0000008	XP_048614654.1	XP_018454207.1
OG0000008	XP_048634180.1	XP_018448605.1
OG0000008	XP_048615675.1	XP_018458139.1
OG0000008	XP_048627521.1	XP_018488090.1
OG0000008	XP_048593291.1, XP_048637651.1, XP_048634041.1, XP_048599181.1, XP_048607915.1, XP_048607904.1	XP_018489767.1
OG0000008	XP_013717411.2	XP_018459643.1, XP_018463424.1, XP_018487499.1, XP_018435369.1, XP_018454008.1, XP_018475693.1
OG0000008	XP_013691111.2, XP_013722649.1, XP_048633127.1, XP_048599584.1	XP_018435390.1, XP_018435386.1
OG0000008	XP_048603850.1	XP_018455757.1
OG0000008	XP_048614138.1, XP_022548693.2, XP_022557716.2, XP_048612002.1, XP_048612005.1	XP_018436131.1
OG0000008	XP_048630290.1, XP_048637523.1, XP_048605750.1, XP_048630899.1	XP_018459798.1, XP_018473907.1
OG0000008	XP_048612699.1	XP_018482699.1
OG0000008	XP_048611975.1, XP_048622867.1	XP_018464317.1
OG0000008	XP_022549239.1	XP_018469961.1
OG0000008	XP_048615069.1, XP_048622956.1, XP_048621207.1, XP_048605224.1, XP_048622188.1	XP_018463415.1, XP_018453388.1
OG0000008	XP_022574272.2, XP_048593363.1	XP_018463041.1, XP_018448884.1, XP_018448882.1
OG0000008	XP_048623066.1, XP_022565168.1, XP_048619957.1	XP_018460935.1
OG0000008	XP_048605317.1, XP_048630259.1	XP_018473874.1
OG0000008	XP_048623705.1	XP_018461035.1
OG0000008	XP_048635054.1	XP_018435954.1, XP_018473912.1, XP_018443581.1
OG0000008	XP_048608588.1, XP_048609223.1	XP_018462136.1
OG0000008	XP_048605194.1	XP_018467440.1
OG0000008	XP_048604578.1	XP_018454076.1, XP_018448604.1
OG0000008	XP_048619954.1	XP_018476077.1
OG0000008	XP_048614935.1, XP_048613237.1	XP_018487483.1
OG0000008	XP_048634791.1, XP_013673836.1, XP_048592068.1	XP_018453589.1
OG0000008	XP_048605748.1, XP_048594969.1, XP_048622433.1	XP_018473385.1
OG0000008	XP_048614737.1	XP_018460436.1, XP_018467327.1
OG0000008	XP_048612049.1, XP_048620060.1, XP_013751877.2	XP_018463808.1, XP_018464542.1
OG0000008	XP_048603863.1	XP_018458167.1
OG0000008	XP_048626080.1	XP_018436091.1
OG0000008	XP_048631227.1, XP_048602312.1, XP_048615107.1, XP_048625201.1	XP_018453646.1, XP_018466936.1, XP_018443646.1
OG0000008	XP_048597022.1, XP_013658616.2	XP_018438736.1
OG0000008	XP_048623802.1	XP_018459044.1
OG0000010	XP_048623789.1, XP_048596327.1, XP_013665414.1, XP_048604997.1, XP_048628579.1, XP_048623941.1, XP_048605628.1, XP_048611718.1, XP_013728551.1, XP_048605715.1, XP_048613231.1, XP_048611546.1, XP_048599790.1, XP_048611592.1, XP_048601692.1, XP_048628689.1	XP_018443681.1
OG0000010	XP_022560075.1	XP_018476133.1, XP_018461000.1
OG0000010	XP_048622787.1, XP_048617027.1	XP_018467146.1
OG0000010	XP_048605625.1	XP_018467318.1
OG0000010	XP_048602901.1	XP_018458906.1
OG0000010	XP_048601526.1, XP_048619900.1, XP_048624648.1, XP_048618294.1, XP_048602548.1, XP_048606091.1, XP_048606319.1, XP_048607341.1, XP_048608467.1, XP_048608572.1, XP_048610672.1, XP_022568469.2, XP_048615557.1, XP_048611670.1, XP_048601152.1, XP_048605792.1, XP_048631636.1, XP_048601441.1, XP_048606987.1, XP_048625241.1, XP_048612064.1, XP_048615530.1, XP_048622882.1, XP_048602322.1, XP_048600541.1, XP_048600549.1, XP_048606235.1, XP_048611418.1, XP_048609705.1, XP_048622751.1, XP_048629171.1, XP_048633056.1	XP_018487321.1
OG0000011	XP_013659705.2, XP_048599380.1, XP_048637426.1, XP_048624045.1	XP_018479604.1
OG0000011	XP_048605761.1, XP_013738651.1, XP_048620327.1, XP_013653955.2, XP_048598012.1, XP_048598119.1, XP_013665132.2, XP_048623694.1, XP_048621704.1, XP_048615584.1, XP_048622963.1, XP_022560000.2, XP_022556483.2, XP_022552299.1, XP_048622694.1, XP_022552139.2, XP_013658487.1, XP_048623617.1, XP_048635024.1, XP_048599617.1, XP_048612614.1, XP_048600528.1, XP_013690055.1, XP_048623729.1, XP_048602105.1, XP_013726425.1, XP_048622519.1, XP_022571427.1, XP_048611788.1, XP_013673712.1, XP_048613543.1, XP_013646120.2, XP_013723816.1	XP_018459024.1, XP_018462958.1
OG0000011	XP_048611936.1, XP_022570022.2, XP_048610411.1, XP_048613120.1, XP_022564313.2, XP_048615529.1, XP_048623978.1, XP_048598115.1, XP_013739031.1	XP_018479316.1, XP_018481586.1, XP_018466155.1
OG0000011	XP_022564938.2, XP_048605143.1	XP_018479745.1, XP_018479747.1
OG0000011	XP_013694454.1, XP_048615558.1, XP_048620274.1, XP_048630039.1, XP_013694905.1, XP_048599633.1, XP_013658351.1, XP_013700275.2	XP_018450842.1
OG0000011	XP_048605310.1	XP_018466969.1, XP_018487564.1
OG0000011	XP_013745969.2, XP_048596557.1, XP_048599923.1, XP_048622827.1, XP_048637633.1, XP_013700423.1, XP_048605917.1, XP_048624119.1, XP_013665471.2, XP_048620021.1, XP_048601344.1, XP_048616593.1, XP_013673600.2, XP_022557474.2, XP_048603707.1, XP_022569514.1, XP_048638510.1, XP_013721574.1, XP_048605555.1, XP_022571312.1, XP_013668590.2, XP_048605160.1, XP_013711654.1, XP_048630989.1, XP_048599557.1, XP_048615826.1, XP_048612540.1, XP_013668567.2	XP_018479889.1
OG0000011	XP_048615923.1, XP_013694209.2	XP_018471963.1
OG0000011	XP_013728374.1	XP_018463968.1
OG0000011	XP_013694418.1, XP_013709710.2, XP_048598099.1	XP_018477654.1
OG0000011	XP_048611431.1, XP_013674395.2	XP_018458558.1
OG0000012	XP_048613104.1	XP_018480111.1
OG0000012	XP_048606561.1	XP_018466303.1
OG0000012	XP_048599723.1	XP_018460255.1
OG0000012	XP_048630516.1, XP_013679369.1	XP_018453504.1
OG0000012	XP_048623298.1, XP_048629573.1, XP_048598672.1, XP_048627969.1, XP_048605693.1	XP_018463354.1
OG0000012	XP_013695049.2, XP_048623277.1	XP_018458669.1, XP_018458672.1
OG0000012	XP_013668675.1	XP_018484156.1
OG0000012	XP_048596413.1, XP_048624078.1, XP_048599976.1	XP_018435326.1
OG0000012	XP_048596371.1	XP_018463391.1
OG0000012	XP_048605645.1	XP_018443767.1
OG0000012	XP_048596310.1, XP_013694784.2	XP_018458912.1
OG0000012	XP_048627970.1, XP_048611568.1	XP_018435516.1
OG0000012	XP_048637502.1	XP_018458687.1
OG0000012	XP_022552307.2	XP_018460988.1
OG0000012	XP_022553364.1, XP_048613450.1, XP_013709255.2, XP_013745893.1, XP_048616717.1	XP_018459711.1
OG0000012	XP_048604901.1	XP_018462251.1
OG0000012	XP_013679651.1	XP_018459712.1, XP_018466264.1
OG0000012	XP_013657490.1, XP_013674351.2, XP_013691298.1, XP_048614816.1, XP_048623324.1, XP_048630348.1, XP_048628908.1, XP_048624621.1, XP_048619695.1, XP_048614056.1, XP_022569354.1, XP_013734848.1, XP_013726622.1, XP_013691321.1, XP_013703519.1, XP_013708319.1, XP_022548061.2	XP_018443761.1
OG0000012	XP_048619941.1	XP_018448573.1
OG0000012	XP_048599789.1	XP_018460031.1, XP_018453821.1
OG0000012	XP_048596427.1	XP_018448717.1
OG0000012	XP_022568711.1, XP_022557732.1	XP_018458661.1
OG0000012	XP_013708269.2, XP_048621865.1, XP_048599599.1, XP_048605626.1, XP_048623965.1, XP_013689439.2, XP_013694857.2, XP_048623929.1, XP_048599867.1, XP_048605149.1, XP_048623958.1, XP_013688786.1, XP_048611444.1, XP_048613196.1, XP_048599881.1, XP_048622618.1, XP_022569359.2, XP_013658500.2	XP_018459050.1
OG0000012	XP_048633986.1, XP_048605079.1, XP_048604933.1, XP_013645445.1	XP_018465360.1
OG0000012	XP_048613462.1	XP_018479707.1, XP_018435914.1
OG0000012	XP_048630404.1	XP_018464886.1, XP_018473834.1, XP_018479565.1
OG0000012	XP_022549155.2, XP_048615829.1	XP_018466726.1, XP_018466974.1
OG0000012	XP_022551324.2, XP_048611834.1	XP_018462951.1
OG0000013	XP_013700318.1, XP_048615689.1	XP_018473864.1, XP_018476696.1
OG0000013	XP_048604687.1	XP_018459729.1
OG0000013	XP_048605139.1, XP_048605122.1, XP_048617118.1	XP_018463067.1
OG0000013	XP_048609588.1, XP_013694773.1	XP_018487762.1
OG0000013	XP_048628567.1, XP_013673938.1, XP_048599702.1, XP_048623790.1	XP_018467319.1
OG0000013	XP_013657845.1, XP_013674358.1, XP_048611696.1, XP_013731674.1, XP_048620209.1, XP_048622591.1, XP_048613189.1, XP_013680096.1, XP_048599805.1	XP_018453656.1, XP_018458136.1, XP_018458135.1, XP_018458664.1, XP_018459125.1
OG0000013	XP_048599858.1, XP_048626494.1, XP_048637553.1, XP_048613190.1, XP_048595147.1, XP_048611591.1, XP_013695057.1, XP_048622786.1	XP_018453657.1
OG0000013	XP_048605855.1	XP_018458096.1
OG0000013	XP_013720996.1, XP_013654288.1, XP_013688904.1, XP_048611534.1, XP_048599780.1	XP_018464106.1, XP_018436081.1
OG0000013	XP_013699883.2, XP_013654290.1, XP_022558217.1, XP_048611650.1, XP_048605932.1, XP_013699887.1, XP_013645659.1, XP_022566330.1	XP_018479703.1
OG0000014	XP_048599227.1	XP_018479674.1
OG0000014	XP_013709749.1, XP_013654635.1, XP_013726049.1, XP_048611570.1, XP_048630262.1	XP_018473881.1
OG0000014	XP_048611538.1	XP_018453670.1
OG0000014	XP_013674050.1	XP_018487609.1
OG0000014	XP_048611726.1, XP_013704117.1, XP_022562283.2, XP_013658625.2, XP_013650466.1	XP_018435910.1
OG0000014	XP_048622974.1	XP_018443663.1
OG0000014	XP_048605138.1, XP_048625982.1, XP_013704133.1, XP_048604637.1	XP_018453745.1, XP_018453747.1
OG0000014	XP_048628089.1, XP_013694775.2, XP_013665386.3, XP_048613249.1, XP_013674378.2	XP_018463378.1
OG0000014	XP_013722901.1, XP_048623672.1, XP_013703493.2, XP_013713287.1, XP_013645645.2, XP_013704858.1, XP_013669211.2	XP_018467295.1
OG0000014	XP_048623583.1, XP_013645651.2, XP_013659049.1, XP_048605480.1, XP_048615803.1, XP_013709311.1, XP_013694537.1	XP_018460750.1
OG0000014	XP_048611805.1	XP_018435497.1
OG0000014	XP_013674396.1, XP_013694070.1, XP_013658466.1	XP_018478850.1
OG0000014	XP_048613067.1	XP_018476436.1
OG0000014	XP_048604658.1	XP_018460637.1
OG0000014	XP_013700001.1, XP_048635027.1, XP_048596283.1	XP_018448896.1
OG0000014	XP_013654467.2	XP_018463271.1, XP_018479581.1, XP_018477791.1
OG0000015	XP_022553445.1	XP_018448688.1, XP_018443665.1
OG0000015	XP_048611374.1	XP_018458093.1
OG0000015	XP_048613411.1, XP_048616944.1, XP_048599610.1, XP_048623763.1	XP_018435929.1
OG0000015	XP_048615659.1, XP_048596340.1, XP_048599755.1, XP_013689811.1, XP_022548659.1	XP_018454014.1
OG0000017	XP_013700317.1	XP_018460983.1
OG0000017	XP_048599243.1, XP_048621674.1, XP_048601570.1	XP_018435883.1, XP_018487868.1
OG0000017	XP_048605890.1, XP_048614703.1, XP_048607286.1, XP_022565172.2, XP_048624705.1, XP_048602823.1, XP_048609626.1, XP_048614569.1, XP_048608279.1, XP_048607119.1, XP_048622871.1, XP_048616199.1	XP_018466125.1
OG0000017	XP_048631555.1	XP_018463332.1, XP_018467394.1, XP_018461261.1, XP_018458674.1
OG0000017	XP_022564699.2, XP_048605724.1	XP_018479532.1
OG0000017	XP_048624468.1, XP_048622792.1	XP_018473772.1
