Orthogroup	Cardamine_glauca	Capsella_rubella
OG0000027	Cg001G0170600	XP_006284983.1
OG0000027	Cg001G0171100	XP_006283253.1
OG0000027	Cg001G0171400	XP_023638659.1
OG0000027	Cg001G0172400	XP_006285954.1
OG0000027	Cg001G0171700	XP_006283274.1, XP_006282816.1, XP_023634698.1, XP_006283296.1, XP_023634685.1
OG0000028	Cg003G0981300	XP_023634475.1
OG0000028	Cg007G2581000	XP_006285133.1
OG0000028	Cg006G2183100	XP_006299262.2
OG0000028	Cg003G0941300	XP_023633414.1
OG0000029	Cg007G2405400, Cg007G2364600	XP_023644241.1
OG0000029	Cg001G0384100	XP_023638860.1, XP_023634002.1, XP_023644242.1, XP_023644257.1, XP_023638123.1, XP_023633373.1, XP_023633615.1, XP_023641909.1
OG0000030	Cg004G1270000	XP_023642658.1, XP_023641336.1, XP_006296044.1
OG0000030	Cg004G1261500	XP_023644289.1
OG0000030	Cg004G1264800	XP_006297884.1
OG0000030	Cg006G1982700	XP_006303634.1, XP_023632886.1, XP_023632793.1
OG0000030	Cg002G0532900	XP_006293126.1
OG0000030	Cg006G2154000	XP_006305030.1
OG0000031	Cg003G0842000	XP_023635342.1
OG0000032	Cg001G0339700	XP_023632591.1
OG0000034	Cg001G0172000	XP_006283285.1
OG0000034	Cg001G0172200, Cg001G0172300	XP_023634692.1
OG0000034	Cg001G0172500	XP_006285944.1
OG0000034	Cg001G0190500	XP_023634856.1
OG0000034	Cg001G0172600	XP_023634693.1, XP_023634678.1
OG0000034	Cg001G0170800	XP_006283145.1
OG0000034	Cg001G0172700	XP_023635576.1
OG0000040	Cg003G0770800, Cg006G1822500, Cg003G0954000	XP_023634840.1, XP_023636105.1, XP_023633811.1
OG0000040	Cg008G2847400, Cg008G2861900	XP_023640353.1
OG0000043	Cg007G2421300, Cg006G1860500	XP_006299187.2
OG0000044	Cg008G2973700	XP_023638545.1
OG0000044	Cg008G2897600	XP_006282385.2
OG0000044	Cg004G1380900	XP_023636248.1, XP_023634969.1
OG0000050	Cg002G0525300, Cg008G2715000, Cg001G0215700	XP_006299955.2
OG0000050	Cg005G1737200	XP_023643276.1
OG0000051	Cg006G2232100	XP_006304062.1
OG0000051	Cg005G1506300	XP_023640868.1
OG0000051	Cg005G1723400	XP_023640424.1
OG0000051	Cg003G0782100	XP_023639525.1, XP_023640425.1, XP_023640455.1, XP_023640454.1
OG0000052	Cg007G2494300	XP_006301891.2, XP_006301896.2
OG0000052	Cg002G0501500	XP_006291114.1, XP_006291129.1
OG0000052	Cg002G0537500	XP_006291102.1
OG0000055	Cg004G1239300	XP_023641570.1
OG0000056	Cg007G2285200	XP_006302241.1
OG0000056	Cg007G2283300	XP_006302237.1
OG0000056	Cg007G2283500	XP_006302243.1
OG0000056	Cg007G2284900, Cg007G2285100	XP_006301193.1
OG0000056	Cg002G0557700	XP_006292456.1
OG0000058	Cg005G1680800, Cg005G1670600	XP_023636060.1
OG0000058	Cg002G0582900, Cg004G1300700, Cg006G1919800	XP_023640345.1, XP_023636058.1, XP_023640315.1, XP_023643584.1, XP_023640320.1, XP_023634265.1, XP_023644147.1, XP_023644470.1, XP_023634034.1, XP_023638869.1
OG0000059	Cg003G0778100	XP_023636099.1, XP_006290464.1
OG0000061	Cg004G1379900	XP_006307356.2, XP_023645797.1
OG0000061	Cg005G1631000	XP_023640829.1
OG0000064	Cg003G0987600	XP_006301177.1, XP_006279224.1, XP_006279222.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301373.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006301675.1, XP_006301967.1, XP_006281741.1, XP_006301107.1, XP_006301805.1, XP_006301207.1, XP_006301336.1, XP_006301472.1, XP_006301343.1, XP_006301855.1, XP_006301176.1, XP_006306169.1
OG0000065	Cg007G2434600	XP_023644283.1
OG0000065	Cg007G2435800	XP_023643067.1
OG0000065	Cg007G2435300	XP_023644284.1
OG0000066	Cg006G2172200, Cg008G2671100, Cg003G1045600, Cg003G1045700, Cg008G2671000	XP_006301260.2, XP_006304637.1, XP_006292533.1
OG0000066	Cg001G0018800	XP_006284727.1, XP_006288773.2, XP_006284722.1, XP_006302978.1
OG0000066	Cg006G2066700	XP_006304375.1
OG0000068	Cg008G2597800, Cg002G0415500	XP_006289028.2
OG0000068	Cg008G2596900	XP_006289556.2, XP_023637280.1
OG0000068	Cg008G2602600, Cg008G2600100	XP_006289558.2, XP_023637635.1, XP_006286541.1
OG0000069	Cg004G1201400	XP_023645826.1
OG0000070	Cg006G2161100	XP_006305612.2
OG0000070	Cg002G0680500	XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1
OG0000070	Cg006G2064200	XP_006304273.1
OG0000070	Cg001G0322900, Cg001G0323200, Cg007G2530800	XP_006302938.1
OG0000070	Cg008G2918500, Cg011G3015900	XP_023637791.1
OG0000070	Cg006G1844100, Cg006G1844000, Cg006G1844200, Cg006G1840200, Cg006G1844300	XP_006295429.1
OG0000070	Cg001G0056200	XP_006299005.1, XP_023638023.1, XP_006286731.1, XP_006289176.1, XP_006285109.1
OG0000074	Cg008G2873100	XP_023641911.1
OG0000074	Cg007G2434800	XP_023634274.1, XP_023636038.1
OG0000075	Cg001G0013900	XP_006283916.1
OG0000075	Cg001G0013800	XP_023634488.1
OG0000075	Cg004G1368500	XP_006282335.1, XP_023638987.1
OG0000076	Cg001G0007600	XP_023634774.1
OG0000076	Cg005G1594800	XP_006295567.2
OG0000076	Cg008G2983800	XP_006286831.1
OG0000077	Cg007G2324000	XP_023643297.1
OG0000077	Cg002G0678300	XP_006292566.2, XP_006292626.2
OG0000077	Cg002G0679000	XP_006292432.2
OG0000077	Cg002G0679200, Cg002G0679300	XP_006292790.1, XP_006293218.1
OG0000077	Cg008G2956300	XP_006281861.1
OG0000078	Cg004G1099900	XP_006296650.2
OG0000078	Cg008G2744900	XP_023636207.1
OG0000079	Cg010G2993500	XP_023644218.1, XP_023645325.1
OG0000081	Cg003G0774600, Cg008G2921900	XP_023638026.1, XP_023634808.1
OG0000082	Cg002G0616100	XP_023639594.1
OG0000086	Cg001G0342500	XP_006291706.2
OG0000089	Cg008G2794800	XP_006287738.1
OG0000089	Cg003G1017300, Cg002G0558400	XP_006292748.1, XP_006291122.1
OG0000089	Cg005G1638200	XP_006294210.1
OG0000089	Cg008G2689500	XP_006289933.1
OG0000089	Cg008G2943700	XP_006281513.1
OG0000089	Cg001G0195600	XP_006283733.1
OG0000089	Cg006G2065500	XP_006307490.1
OG0000089	Cg007G2528700	XP_006302256.1
OG0000091	Cg001G0362300, Cg008G2769400	XP_023636467.1
OG0000091	Cg003G0829200, Cg003G0877100	XP_023644362.1
OG0000095	Cg005G1737700, Cg005G1737600	XP_006295705.1, XP_006294284.1
OG0000096	Cg004G1249200, Cg004G1257700, Cg004G1249300	XP_006297893.1, XP_006299978.1
OG0000096	Cg004G1260000	XP_006297929.1
OG0000098	Cg004G1351900	XP_023641898.1, XP_006297881.1
OG0000098	Cg007G2258600, Cg007G2258500	XP_006292655.1
OG0000098	Cg008G2823500	XP_006305026.1
OG0000100	Cg007G2332300	XP_006301098.2, XP_023643317.1, XP_023643319.1, XP_023643315.1
OG0000102	Cg003G0864200, Cg003G0734200	XP_006288400.1
OG0000102	Cg003G0864100, Cg003G0734300	XP_006285555.2
OG0000102	Cg003G0863700, Cg003G0734700	XP_023634256.1
OG0000102	Cg003G0734400, Cg003G0864000	XP_006289089.1
OG0000102	Cg003G0863600, Cg003G0734800	XP_006288252.1
OG0000105	Cg007G2332200, Cg007G2332800	XP_023639256.1
OG0000106	Cg007G2419200, Cg008G2833600	XP_023646042.1, XP_023644298.1
OG0000107	Cg004G1267700	XP_006299861.1
OG0000107	Cg004G1267500	XP_006300030.1, XP_006297457.1
OG0000107	Cg004G1267600	XP_006299064.2
OG0000108	Cg005G1557400	XP_006291303.1, XP_006294425.1
OG0000108	Cg003G0983900, Cg002G0564200	XP_006282193.1, XP_006291307.1
OG0000108	Cg004G1180800	XP_006297921.1
OG0000108	Cg008G2664600	XP_006287952.1
OG0000108	Cg004G1253800	XP_006297920.1
OG0000109	Cg008G2837800	XP_023643495.1, XP_023633300.1, XP_023637389.1, XP_023634490.1, XP_023634624.1
OG0000110	Cg002G0653700	XP_023634352.1
OG0000111	Cg003G0769600, Cg003G0769200, Cg003G0769000, Cg003G0769100, Cg003G0768800, Cg003G0768700, Cg003G0768900, Cg003G0768500, Cg003G0768100, Cg003G0769400, Cg003G0768000, Cg003G0767700, Cg006G1873400, Cg006G1939000, Cg006G1938900, Cg006G1938700, Cg013G3026300, Cg002G0596600	XP_023638950.1, XP_023644251.1, XP_023643207.1, XP_006301030.1, XP_023634314.1, XP_006289239.1, XP_006289948.1, XP_006289559.1, XP_006285378.1
OG0000117	Cg006G2029700	XP_006306513.2
OG0000117	Cg006G2031100	XP_006304583.1
OG0000117	Cg006G2029800	XP_006304377.2, XP_006306553.1
OG0000117	Cg006G2029600	XP_023632777.1
OG0000117	Cg006G2029500, Cg006G2030300, Cg006G2030400	XP_006304415.2
OG0000117	Cg006G2029900	XP_023644784.1, XP_006303494.2
OG0000117	Cg006G2029400	XP_023632781.1
OG0000117	Cg006G2030600	XP_006304618.2, XP_023644792.1
OG0000119	Cg005G1714200	XP_006296419.2, XP_006295986.2
OG0000119	Cg002G0596700	XP_006292836.2, XP_006292499.2, XP_023638877.1
OG0000119	Cg002G0574300	XP_006291315.2
OG0000119	Cg001G0041500, Cg002G0574600	XP_023638900.1
OG0000119	Cg002G0574700	XP_006293090.1, XP_023639195.1
OG0000120	Cg002G0560700, Cg001G0267600, Cg008G2916400, Cg008G2816800, Cg007G2484100, Cg006G2020800, Cg004G1078700, Cg007G2342500	XP_023640343.1, XP_023640331.1, XP_023644467.1
OG0000121	Cg002G0640900, Cg004G1362200	XP_006305928.1, XP_023638089.1
OG0000121	Cg008G2905000	XP_023638959.1
OG0000122	Cg003G0952800	XP_006281709.1
OG0000122	Cg003G0800700	XP_023633416.1
OG0000124	Cg001G0378100	XP_023635269.1
OG0000124	Cg001G0298900	XP_023644078.1, XP_023634345.1, XP_023638979.1
OG0000125	Cg005G1643500	XP_006296171.1
OG0000125	Cg005G1643700, Cg005G1643900	XP_006296547.2
OG0000125	Cg006G2188500	XP_023645280.1
OG0000125	Cg006G1841400	XP_023645616.1
OG0000125	Cg006G1816500	XP_023645225.1, XP_006306741.1
OG0000125	Cg004G1281100	XP_006299926.1
OG0000127	Cg008G2786000	XP_006289049.1
OG0000127	Cg008G2597500	XP_006286660.1
OG0000127	Cg003G0989900	XP_006281264.1
OG0000127	Cg002G0569500, Cg002G0569100	XP_006292010.1
OG0000128	Cg007G2459200	XP_023639092.1
OG0000128	Cg002G0434200	XP_006291075.1
OG0000128	Cg002G0434700	XP_006290900.1
OG0000128	Cg002G0434600	XP_006291045.1
OG0000129	Cg007G2357000	XP_023644190.1
OG0000129	Cg007G2393300, Cg007G2412500, Cg007G2396400	XP_023644195.1
OG0000129	Cg007G2390100	XP_023644191.1
OG0000129	Cg003G1010100, Cg003G1010200, Cg003G1010000	XP_023645120.1, XP_023635333.1
OG0000129	Cg005G1662800, Cg005G1661800, Cg005G1660700, Cg005G1661700	XP_023640860.1, XP_023640089.1
OG0000129	Cg008G2880200, Cg007G2357100	XP_023644193.1
OG0000130	Cg008G2849000	XP_006285982.2
OG0000132	Cg002G0477500	XP_006291215.1
OG0000134	Cg008G2920900	XP_023640588.1, XP_006282379.2, XP_006279879.2, XP_023640573.1
OG0000137	Cg003G0942200	XP_006280761.2
OG0000137	Cg003G0942300	XP_006280742.1
OG0000137	Cg003G0942100	XP_023637930.1, XP_006281726.2
OG0000137	Cg003G0942000	XP_006281991.1
OG0000137	Cg003G0941900	XP_006281729.1
OG0000137	Cg003G0901200	XP_006280772.1
OG0000138	Cg007G2299800	XP_006293105.1
OG0000138	Cg002G0558300, Cg002G0563500	XP_023639081.1
OG0000138	Cg002G0485200	XP_006304853.2, XP_006292487.1
OG0000143	Cg001G0285100	XP_023638853.1
OG0000143	Cg002G0608200	XP_023644225.1
OG0000151	Cg002G0579800	XP_006292174.1, XP_006279090.2
OG0000151	Cg002G0475200	XP_006290668.1
OG0000151	Cg002G0475300	XP_006292545.1
OG0000151	Cg005G1538800	XP_006295608.1
OG0000151	Cg002G0475400	XP_006292248.1
OG0000151	Cg002G0491600	XP_006290640.1
OG0000151	Cg005G1560100	XP_006295587.1
OG0000151	Cg008G2699500	XP_006287124.2
OG0000153	Cg005G1625900	XP_006294819.1
OG0000153	Cg005G1641100	XP_023640128.1
OG0000153	Cg006G2190200	XP_023639879.1
OG0000153	Cg005G1640700	XP_023639769.1
OG0000154	Cg006G1826100	XP_006306278.1
OG0000154	Cg001G0245400	XP_023633661.1
OG0000154	Cg006G1826000	XP_006303205.1
OG0000154	Cg006G1826400	XP_023645184.1, XP_006306758.1
OG0000157	Cg006G1948100, Cg006G1948200, Cg006G1948000	XP_006306555.2
OG0000160	Cg004G1426700	XP_006296920.1
OG0000160	Cg001G0100800	XP_006282542.1
OG0000160	Cg003G0963700	XP_006282289.1
OG0000160	Cg004G1353700	XP_006279406.1
OG0000160	Cg007G2573400	XP_023643729.1
OG0000160	Cg005G1742100	XP_006293643.2
OG0000162	Cg005G1601500	XP_006294455.1
OG0000162	Cg005G1601600	XP_006296229.1
OG0000162	Cg004G1334900	XP_006299665.1
OG0000162	Cg005G1601400	XP_006295600.1, XP_006296378.1
OG0000165	Cg006G1858300	XP_006292033.1, XP_023633900.1, XP_023633896.1, XP_023633895.1, XP_006304794.1
OG0000166	Cg036G3082400	XP_006282538.1, XP_023640595.1, XP_023640242.1, XP_023639378.1, XP_023640244.1
OG0000170	Cg005G1473800	XP_023640533.1
OG0000170	Cg002G0419600	XP_006292819.2
OG0000170	Cg005G1474000	XP_023640714.1
OG0000171	Cg003G0916500	XP_006281266.1
OG0000171	Cg007G2262400	XP_006284706.1
OG0000171	Cg004G1402700	XP_006298751.1
OG0000171	Cg003G0949800	XP_006281239.2
OG0000171	Cg004G1146700	XP_006298742.1
OG0000171	Cg001G0123300	XP_006284700.1
OG0000173	Cg001G0078900	XP_006282189.2
OG0000173	Cg008G2861400, Cg008G2846800	XP_023633711.1, XP_006284898.2, XP_023644326.1
OG0000175	Cg007G2303300, Cg006G2157000	XP_006305640.2
OG0000175	Cg008G2710700	XP_023635842.1
OG0000176	Cg005G1747600	XP_006293700.1, XP_006293701.1, XP_023639559.1
OG0000176	Cg008G2964200	XP_023644310.1
OG0000177	Cg006G2054600	XP_006303914.1
OG0000177	Cg006G2054300, Cg006G2054100	XP_006306853.1
OG0000177	Cg006G2054700	XP_006303693.1
OG0000177	Cg006G2054000	XP_006303161.1, XP_006283212.1
OG0000178	Cg003G0742900, Cg003G0743000	XP_006289433.1
OG0000178	Cg006G1925200	XP_006286464.1
OG0000178	Cg006G1925100	XP_006286371.1
OG0000178	Cg003G0802700, Cg003G0803500	XP_006286468.1
OG0000179	Cg007G2311400	XP_006300788.1
OG0000183	Cg001G0339800, Cg007G2426600	XP_006302967.1, XP_006284698.1
OG0000183	Cg005G1681400	XP_006294957.1
OG0000185	Cg004G1440400	XP_023640416.1
OG0000185	Cg004G1189300	XP_006305431.1
OG0000185	Cg006G1989500	XP_023645963.1, XP_006305370.1
OG0000186	Cg005G1766900	XP_006303240.1, XP_006293848.1
OG0000186	Cg007G2287600	XP_023632799.1
OG0000187	Cg005G1772000	XP_006296499.1
OG0000187	Cg006G2070900	XP_006304517.1
OG0000187	Cg005G1635300, Cg005G1635400, Cg005G1634600, Cg005G1634500, Cg005G1635600, Cg005G1635200, Cg005G1635700, Cg005G1635500	XP_023640855.1, XP_006295478.1, XP_023640375.1, XP_006296294.1, XP_023640377.1, XP_023640926.1, XP_023644474.1, XP_006295737.1
OG0000188	Cg002G0576300, Cg004G1168000, Cg004G1167400, Cg004G1167900	XP_006299314.2
OG0000189	Cg002G0515600	XP_006293293.1
OG0000189	Cg001G0040600	XP_023633909.1
OG0000189	Cg004G1414100	XP_006296623.1
OG0000189	Cg007G2529500	XP_006302850.1
OG0000189	Cg006G2064800	XP_006305647.1
OG0000192	Cg006G2127500	XP_006292772.1
OG0000193	Cg004G1230500	XP_006299089.1, XP_006300124.1, XP_006299335.1, XP_006300121.1, XP_006299527.1, XP_023642703.1
OG0000193	Cg006G1859600, Cg006G1859800, Cg006G1859900, Cg006G1859400	XP_006304962.1
OG0000193	Cg006G1948300	XP_023633071.1, XP_023632600.1
OG0000195	Cg004G1434800, Cg004G1435000, Cg004G1433700, Cg004G1435100, Cg004G1434700	XP_006299848.1
OG0000195	Cg003G0787700	XP_006281429.1
OG0000195	Cg003G0990000, Cg002G0555700	XP_023644268.1, XP_006301244.1
OG0000196	Cg001G0390600	XP_023635062.1
OG0000197	Cg001G0339500	XP_006282799.2
OG0000197	Cg001G0205400	XP_023633844.1
OG0000198	Cg002G0692800	XP_006291995.1
OG0000198	Cg006G2114000	XP_006305966.2
OG0000198	Cg006G2113800, Cg006G2113700	XP_006306087.1
OG0000198	Cg002G0664200	XP_006291997.1, XP_023638678.1, XP_006291999.1, XP_023638990.1
OG0000199	Cg007G2470500, Cg007G2472200, Cg007G2392400, Cg002G0549200	XP_006304151.2, XP_006303339.1, XP_006304149.1
OG0000199	Cg014G3034400, Cg008G2903900	XP_006293511.1
OG0000199	Cg014G3034300, Cg003G0721100, Cg003G0721200, Cg014G3034200	XP_006280936.1
OG0000199	Cg001G0105000	XP_006294905.1
OG0000200	Cg006G2183200	XP_023641964.1
OG0000200	Cg006G2210600	XP_006305980.1
OG0000200	Cg006G1857600	XP_006305145.1
OG0000200	Cg006G1857700	XP_006305143.1, XP_006303722.1
OG0000203	Cg002G0442000	XP_006292197.1
OG0000203	Cg002G0441200	XP_006293093.1
OG0000203	Cg002G0441400	XP_006292664.2
OG0000203	Cg002G0441500	XP_023638587.1
OG0000205	Cg006G1892500	XP_023640324.1, XP_023636059.1, XP_023634278.1, XP_023644457.1, XP_023644466.1, XP_023644460.1, XP_023634071.1, XP_023641994.1, XP_023636047.1, XP_023644478.1, XP_023634282.1, XP_023644465.1, XP_023640333.1, XP_023645651.1, XP_023634063.1, XP_023634058.1, XP_023636043.1
OG0000208	Cg005G1738400, Cg007G2356100, Cg005G1738000	XP_023644532.1, XP_023645811.1, XP_023633328.1, XP_023632621.1
OG0000209	Cg008G2670300, Cg008G2670600, Cg008G2677700	XP_006287874.1, XP_006296766.1
OG0000210	Cg005G1480200	XP_006294103.1
OG0000216	Cg003G0750100	XP_023636119.1, XP_023635737.1
OG0000216	Cg003G0750300, Cg003G0750200	XP_023637283.1
OG0000216	Cg003G0750000	XP_023635820.1
OG0000216	Cg007G2323800	XP_006302421.1
OG0000216	Cg001G0324000	XP_006292358.1
OG0000225	Cg007G2558500	XP_006300476.1
OG0000226	Cg003G0770400	XP_023635990.1
OG0000227	Cg004G1118500	XP_006296962.1
OG0000227	Cg004G1376700, Cg004G1376500, Cg004G1376400, Cg004G1385200, Cg004G1377200	XP_006296914.1
OG0000229	Cg001G0315200	XP_006289451.2, XP_023644307.1, XP_006282853.2, XP_006286342.2
OG0000229	Cg001G0286400, Cg003G0786600	XP_006285195.1, XP_006301448.1
OG0000229	Cg005G1664500	XP_006290232.2, XP_006281727.1
OG0000230	Cg008G2846600, Cg008G2861200, Cg008G2861500	XP_006292365.1
OG0000232	Cg006G1824400, Cg004G1119800	XP_023636098.1
OG0000232	Cg005G1715100	XP_023638057.1
OG0000233	Cg008G2647600	XP_006290020.1
OG0000233	Cg008G2647700, Cg008G2647900, Cg008G2647800	XP_006286767.1
OG0000233	Cg008G2647300	XP_006289542.2, XP_006289289.1
OG0000234	Cg004G1263300	XP_023639230.1, XP_006295841.1
OG0000236	Cg004G1287200	XP_023642610.1
OG0000236	Cg003G0795800	XP_006289606.1
OG0000237	Cg004G1298900, Cg004G1316600	XP_023641253.1, XP_006299438.1, XP_006299488.1, XP_006289972.1, XP_006289053.1, XP_006290121.1, XP_006286744.1
OG0000237	Cg001G0099500, Cg004G1282100	XP_006297875.1
OG0000238	Cg007G2478600	XP_023644384.1
OG0000238	Cg007G2478900	XP_006301818.1
OG0000238	Cg008G2832400	XP_006289231.1
OG0000238	Cg007G2478700	XP_006302942.1
OG0000241	Cg001G0185400	XP_006284545.1
OG0000241	Cg001G0185500	XP_006279099.1, XP_023635292.1, XP_006279100.1, XP_006285919.1, XP_006279101.1
OG0000241	Cg003G0857500, Cg003G0740200	XP_006289916.1
OG0000242	Cg008G2821600, Cg008G2821500, Cg008G2969100, Cg008G2968700, Cg005G1735200, Cg008G2969200, Cg008G2968900, Cg008G2969300, Cg008G2968800	XP_006279117.1, XP_006286819.1, XP_006286567.1
OG0000244	Cg003G0869800, Cg003G0728000, Cg003G0861800, Cg003G0736400	XP_006286805.1, XP_006290182.1
OG0000244	Cg003G0728100, Cg003G0869700	XP_023636139.1, XP_006286807.1
OG0000245	Cg006G1889200	XP_023632652.1
OG0000246	Cg005G1566300	XP_006294087.1, XP_006294083.1
OG0000247	Cg001G0351600, Cg001G0351800	XP_006285568.2
OG0000247	Cg003G0782000, Cg004G1322200, Cg004G1322700	XP_006300085.1
OG0000248	Cg007G2470600	XP_006301801.2
OG0000248	Cg007G2471500	XP_006301741.2
OG0000250	Cg003G0735700	XP_006289516.1
OG0000250	Cg001G0307800	XP_006288303.1, XP_006288300.1
OG0000251	Cg002G0664000	XP_006290957.1, XP_006290955.1
OG0000251	Cg002G0663800	XP_006290953.1, XP_023638661.1
OG0000251	Cg003G0962700	XP_006282010.1
OG0000251	Cg002G0664100	XP_006290948.1
OG0000252	Cg001G0086600	XP_006299068.1
OG0000252	Cg007G2272200	XP_006300513.1, XP_006291286.1, XP_006301004.1
OG0000252	Cg007G2546100	XP_006302386.1
OG0000252	Cg007G2546300, Cg007G2546200	XP_006301754.1
OG0000253	Cg004G1184700	XP_006297173.1
OG0000253	Cg004G1154100	XP_006297174.1
OG0000253	Cg008G2596600	XP_006287234.1
OG0000254	Cg001G0250300, Cg001G0250200	XP_006284819.1
OG0000254	Cg001G0249400, Cg001G0249700	XP_006284817.1, XP_006286199.1
OG0000255	Cg007G2394100, Cg006G1865500, Cg006G1878100	XP_023634310.1
OG0000256	Cg004G1240300	XP_006301530.1
OG0000258	Cg002G0627900	XP_023634267.1, XP_023636036.1, XP_023642569.1, XP_023644229.1, XP_023633341.1, XP_023634276.1, XP_023644464.1, XP_023638852.1, XP_023644468.1
OG0000258	Cg007G2370800, Cg001G0290400	XP_023632795.1
OG0000262	Cg007G2264500, Cg007G2264400, Cg007G2264300	XP_006299358.1
OG0000262	Cg007G2293500	XP_006301961.2, XP_023637360.1, XP_023637436.1
OG0000269	Cg003G0987700	XP_006281238.1
OG0000269	Cg002G0567200, Cg002G0567100	XP_006292381.1
OG0000269	Cg002G0567300	XP_006291980.1
OG0000269	Cg007G2309100	XP_023642855.1
OG0000269	Cg005G1638700	XP_006295138.1
OG0000275	Cg003G1065200	XP_023633707.1
OG0000275	Cg008G2833500	XP_023635808.1, XP_023643272.1
OG0000277	Cg006G2066500	XP_023644770.1, XP_006302919.1
OG0000278	Cg001G0332400	XP_006285871.1
OG0000278	Cg001G0336600	XP_023634323.1
OG0000278	Cg001G0333000, Cg001G0333100, Cg001G0332700	XP_006282573.1, XP_006286231.1
OG0000278	Cg001G0332500, Cg001G0337400	XP_006285685.1, XP_006283651.2, XP_006282490.1
OG0000282	Cg001G0182200	XP_006306137.1
OG0000282	Cg001G0182000	XP_006285218.1, XP_006286276.1
OG0000283	Cg007G2481000, Cg004G1350900	XP_023633819.1
OG0000283	Cg011G3015000, Cg006G2249500, Cg001G0232700, Cg005G1551500, Cg002G0631500, Cg001G0291600	XP_023644223.1
OG0000284	Cg005G1669400, Cg004G1304800, Cg003G0797700, Cg002G0455700, Cg004G1433800, Cg002G0598700, Cg001G0028400, Cg006G1870000, Cg003G0941700, Cg001G0282200, Cg001G0383900, Cg006G1945100, Cg008G2850200	XP_006285151.2
OG0000284	Cg005G1660200	XP_006299988.1, XP_006300357.2, XP_006285328.2, XP_023644243.1, XP_023636116.1, XP_006288763.1
OG0000285	Cg001G0190700	XP_023634855.1
OG0000285	Cg003G0706200, Cg014G3049300, Cg003G0711400, Cg014G3044400	XP_006289794.2
OG0000285	Cg001G0130400	XP_006286160.1
OG0000286	Cg008G2943000	XP_023637684.1, XP_023637652.1
OG0000286	Cg008G2943400	XP_023637669.1, XP_023643364.1
OG0000286	Cg001G0074700	XP_023635611.1
OG0000289	Cg005G1602700	XP_006295734.1
OG0000290	Cg001G0390300	XP_023633824.1
OG0000291	Cg004G1343300, Cg004G1337600	XP_023641055.1, XP_023642219.1
OG0000291	Cg004G1343500	XP_006298886.1, XP_006298873.2
OG0000294	Cg008G2721100	XP_023637593.1
OG0000294	Cg008G2713400	XP_023637726.1
OG0000295	Cg006G1876600	XP_023644521.1
OG0000295	Cg004G1173400, Cg004G1317000	XP_023641263.1
