Orthogroup	Cardamine_glauca	Arabidopsis_lyrata_NCBI
OG0000044	Cg004G1380900	XP_002884747.1, XP_020890887.1, XP_002863747.1
OG0000046	Cg001G0284200	XP_020871374.1, XP_020877131.1, XP_020885942.1
OG0000051	Cg006G2232100	XP_020868191.1
OG0000051	Cg005G1506300	XP_002881850.2
OG0000051	Cg013G3025800, Cg005G1600400	XP_020884766.1, XP_020885237.1, XP_020890130.1
OG0000051	Cg005G1723400	XP_020883307.1
OG0000051	Cg003G0782100	XP_002881853.1, XP_020883310.1, XP_020883308.1, XP_020883311.1
OG0000052	Cg002G0657800	XP_020882260.1
OG0000052	Cg007G2494300	XP_002894621.2
OG0000052	Cg002G0537500	XP_020882208.1
OG0000055	Cg004G1239300	XP_020889148.1
OG0000055	Cg004G1232400	XP_020889167.1
OG0000056	Cg007G2283300	XP_002886488.1
OG0000056	Cg007G2283500	XP_020865627.1
OG0000056	Cg007G2284900, Cg007G2285100	XP_002888053.1
OG0000056	Cg002G0557700	XP_020880767.1
OG0000058	Cg007G2347400, Cg004G1359500, Cg004G1359600, Cg007G2327500	XP_020883504.1
OG0000058	Cg002G0648900	XP_020877514.1
OG0000059	Cg008G2824900, Cg001G0300100, Cg001G0266200, Cg004G1243400, Cg007G2336400	XP_020879890.1, XP_020878851.1, XP_020866756.1, XP_020881512.1, XP_020875242.1, XP_020886057.1, XP_020876759.1, XP_020874679.1, XP_020870695.1
OG0000059	Cg003G0778100	XP_020875483.1, XP_020876486.1
OG0000061	Cg004G1379900	XP_020868372.1, XP_020870753.1, XP_020869081.1, XP_020868711.1
OG0000061	Cg004G1382400, Cg004G1390200	XP_020870702.1
OG0000061	Cg005G1634900	XP_020886448.1, XP_020870001.1
OG0000064	Cg003G0987600	XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886749.1, XP_002886745.1, XP_002862361.1, XP_002886746.1, XP_002886752.2, XP_002886744.1, XP_020891241.1, XP_002886750.1, XP_002886748.1, XP_002862362.1, XP_002894696.1, XP_020891452.1, XP_002886747.1, XP_002862360.1, XP_002862386.1, XP_002863710.1, XP_002862438.1, XP_002862385.1, XP_002863711.1, XP_020879695.1, XP_002863799.1, XP_020885190.1, XP_002863708.1, XP_002863709.1, XP_002863706.1, XP_002863707.1, XP_002865487.1
OG0000065	Cg007G2435800	XP_020865823.1, XP_020865819.1
OG0000066	Cg006G2172200, Cg008G2671100, Cg003G1045600, Cg003G1045700, Cg008G2671000	XP_002873454.1, XP_020867896.1, XP_002877046.2, XP_002894648.1, XP_020876762.1
OG0000066	Cg003G0715700, Cg002G0598000, Cg002G0598300, Cg014G3039900, Cg007G2340900	XP_020891413.1, XP_020877536.1
OG0000066	Cg001G0018800	XP_020875249.1, XP_020875248.1, XP_020876760.1
OG0000066	Cg006G2066700	XP_020869687.1
OG0000067	Cg004G1439200	XP_020876559.1
OG0000068	Cg008G2596900	XP_020876030.1, XP_020876026.1
OG0000068	Cg004G1419400	XP_020889396.1, XP_020889441.1
OG0000068	Cg008G2602600, Cg008G2600100	XP_002883446.1, XP_002873094.1, XP_002871038.2, XP_020879355.1, XP_020881372.1
OG0000069	Cg001G0395000	XP_020880445.1
OG0000069	Cg006G2225100	XP_002883980.2, XP_002893663.2, XP_020867217.1, XP_020868842.1
OG0000069	Cg004G1201400	XP_020882733.1
OG0000070	Cg006G2161100	XP_020867590.1
OG0000070	Cg002G0680500	XP_002883942.1, XP_002875195.1, XP_002875194.1
OG0000070	Cg006G2064200	XP_020885789.1, XP_002890373.1, XP_002887052.2
OG0000070	Cg001G0322900, Cg001G0323200, Cg007G2530800	XP_020891141.1
OG0000070	Cg008G2918500, Cg011G3015900	XP_002863814.1
OG0000070	Cg001G0056200	XP_002867118.1
OG0000072	Cg002G0615600, Cg003G0921700, Cg005G1721600, Cg006G1875000, Cg003G0891300, Cg006G1857400, Cg005G1716800, Cg005G1678100, Cg003G0771500, Cg003G0829500, Cg003G0793600, Cg004G1350300, Cg001G0334100	XP_020876164.1, XP_020889278.1
OG0000072	Cg007G2400700, Cg007G2408800	XP_020891624.1
OG0000075	Cg001G0013800	XP_020874617.1
OG0000076	Cg001G0007600	XP_020872718.1
OG0000076	Cg005G1594800	XP_020884728.1
OG0000076	Cg008G2983800	XP_002886268.1
OG0000077	Cg007G2324000	XP_020891276.1
OG0000077	Cg002G0679200, Cg002G0679300	XP_020881582.1, XP_020881188.1
OG0000077	Cg006G2167500	XP_020868196.1
OG0000078	Cg008G2744900, Cg008G2744200, Cg008G2744500	XP_020877813.1
OG0000079	Cg004G1172300, Cg002G0672800, Cg002G0570600, Cg010G2993500	XP_020866196.1, XP_020866590.1, XP_020884659.1, XP_020866719.1, XP_020869681.1, XP_020880717.1, XP_020866201.1, XP_020881865.1, XP_020878083.1
OG0000080	Cg002G0578600, Cg002G0578900, Cg005G1663800	XP_020866750.1
OG0000086	Cg001G0342500	XP_002868825.1
OG0000089	Cg008G2794800	XP_020879374.1
OG0000089	Cg003G1017300	XP_020871804.1
OG0000089	Cg002G0558400	XP_020880680.1
OG0000089	Cg005G1638200	XP_020883550.1
OG0000089	Cg008G2689500	XP_002873559.1
OG0000089	Cg008G2943700	XP_002863588.1
OG0000089	Cg001G0195600	XP_020872103.1
OG0000089	Cg005G1585200	XP_002881356.1
OG0000089	Cg006G2065500	XP_020866480.1
OG0000089	Cg007G2528700	XP_020890671.1
OG0000090	Cg002G0596500	XP_020866042.1
OG0000091	Cg002G0552600	XP_002875849.2
OG0000091	Cg005G1672400	XP_002880903.1
OG0000091	Cg001G0362300, Cg008G2769400	XP_020878730.1
OG0000091	Cg003G0829200, Cg003G0877100	XP_002864053.1
OG0000095	Cg005G1739100	XP_020884027.1
OG0000095	Cg005G1739400	XP_020885162.1
OG0000096	Cg001G0384700	XP_002885709.2, XP_020888916.1, XP_002885705.1, XP_002885707.1
OG0000096	Cg004G1249200, Cg004G1257700, Cg004G1249300	XP_002885251.1, XP_020886661.1, XP_020889300.1, XP_020865803.1, XP_020886742.1, XP_002883180.1, XP_002884070.2
OG0000096	Cg004G1260000	XP_020889406.1
OG0000098	Cg004G1351900	XP_002883751.1, XP_002883752.1, XP_020887764.1, XP_020889445.1
OG0000098	Cg007G2258600, Cg007G2258500	XP_020865728.1
OG0000098	Cg008G2823500	XP_002893476.1, XP_020869068.1
OG0000100	Cg007G2332300	XP_020867631.1
OG0000100	Cg007G2290800	XP_020891540.1
OG0000102	Cg003G0864200, Cg003G0734200	XP_020876465.1
OG0000102	Cg003G0864100, Cg003G0734300, Cg003G0734500	XP_002874844.1
OG0000102	Cg003G0863700, Cg003G0734700	XP_020876795.1
OG0000102	Cg003G0734400, Cg003G0864000	XP_002865915.2
OG0000102	Cg003G0734600, Cg003G0863800	XP_002874852.1
OG0000102	Cg003G0863600, Cg003G0734800	XP_002874842.1
OG0000107	Cg004G1267700	XP_020887921.1
OG0000107	Cg004G1267500	XP_002883228.1
OG0000107	Cg004G1267200	XP_002883226.2
OG0000107	Cg004G1267600	XP_020887923.1
OG0000108	Cg005G1557400	XP_002879684.1, XP_020880453.1, XP_020883890.1
OG0000108	Cg003G0983900, Cg002G0564200	XP_020882238.1, XP_020871933.1
OG0000108	Cg004G1180800	XP_020888275.1
OG0000108	Cg008G2664600	XP_020876820.1
OG0000108	Cg004G1253800	XP_020867828.1, XP_002883150.1
OG0000111	Cg003G0769600, Cg003G0769200, Cg003G0769000, Cg003G0769100, Cg003G0768800, Cg003G0768700, Cg003G0768900, Cg003G0768500, Cg003G0768100, Cg003G0769400, Cg003G0768000, Cg003G0767700, Cg006G1873400, Cg006G1939000, Cg006G1938900, Cg006G1938700, Cg013G3026300, Cg002G0596600	XP_002876201.1
OG0000115	Cg008G2910800	XP_020889357.1
OG0000117	Cg006G2029700	XP_020866886.1
OG0000117	Cg006G2031100	XP_020869256.1
OG0000117	Cg006G2029800	XP_002893298.1
OG0000117	Cg006G2029600	XP_020869910.1
OG0000117	Cg006G2029900	XP_020866884.1
OG0000117	Cg006G2029400	XP_002893302.1
OG0000117	Cg006G2030600	XP_002893290.1, XP_002893291.1
OG0000119	Cg005G1714200	XP_002878927.2, XP_020885607.1, XP_002878925.2
OG0000119	Cg002G0596700	XP_002875622.2
OG0000119	Cg001G0041500	XP_020876007.1
OG0000119	Cg002G0574700	XP_002877410.2, XP_020881729.1
OG0000120	Cg002G0560700, Cg001G0267600	XP_020871150.1
OG0000122	Cg003G0952700	XP_020881529.1
OG0000122	Cg003G0952800	XP_020866960.1
OG0000122	Cg003G0800700	XP_020865748.1
OG0000124	Cg001G0378100	XP_020875630.1
OG0000125	Cg005G1644900	XP_020883008.1, XP_020885175.1
OG0000125	Cg005G1644600	XP_020885247.1
OG0000125	Cg006G2188500	XP_020870885.1
OG0000125	Cg006G1841400	XP_020866497.1
OG0000125	Cg006G1816500	XP_020870264.1, XP_020870260.1, XP_020870269.1
OG0000125	Cg004G1281100	XP_020886058.1
OG0000127	Cg006G2186100	XP_020868538.1
OG0000127	Cg008G2786000	XP_002874101.1
OG0000127	Cg002G0489900	XP_020885803.1
OG0000127	Cg008G2597500	XP_002873061.1
OG0000127	Cg003G0989900	XP_020872447.1, XP_002864658.2
OG0000127	Cg002G0569500, Cg002G0569100	XP_002877451.1
OG0000127	Cg005G1647800	XP_002879182.1
OG0000128	Cg007G2459200	XP_020879745.1
OG0000128	Cg002G0434200	XP_020879609.1
OG0000128	Cg002G0434700	XP_020880511.1
OG0000128	Cg002G0434600	XP_020880525.1
OG0000129	Cg007G2357000	XP_020890882.1
OG0000129	Cg007G2390100	XP_020890883.1
OG0000129	Cg003G1010100, Cg003G1010200, Cg003G1010000	XP_020867988.1, XP_002864761.1, XP_020871006.1
OG0000129	Cg005G1662800, Cg005G1661800, Cg005G1660700, Cg005G1661700	XP_020885823.1, XP_002879145.1
OG0000129	Cg003G0897000	XP_020889363.1
OG0000129	Cg008G2880200, Cg007G2357100	XP_020890885.1
OG0000130	Cg008G2849000	XP_020881817.1, XP_020873128.1
OG0000130	Cg003G0796500, Cg002G0592800	XP_002878891.2
OG0000132	Cg002G0477500	XP_020880888.1
OG0000134	Cg008G2920900	XP_020879464.1, XP_020879441.1, XP_002863119.2, XP_020875295.1, XP_020875315.1
OG0000137	Cg003G0942300	XP_002866093.1
OG0000137	Cg003G0942100	XP_020870474.1
OG0000137	Cg003G0942000	XP_002866092.1
OG0000137	Cg003G0941900	XP_020872008.1
OG0000137	Cg003G0901200	XP_020871354.1
OG0000138	Cg007G2299800	XP_020880953.1, XP_020865702.1
OG0000138	Cg002G0558300, Cg002G0563500	XP_020881910.1, XP_020880545.1
OG0000138	Cg002G0485200	XP_020889594.1, XP_020880950.1, XP_002876243.1
OG0000140	Cg003G0810900	XP_020890722.1
OG0000148	Cg006G1825800	XP_020866202.1
OG0000151	Cg002G0475200	XP_020881605.1
OG0000151	Cg002G0475300	XP_002878017.1
OG0000151	Cg005G1538800	XP_002881649.1
OG0000151	Cg002G0475400	XP_002878016.1
OG0000151	Cg002G0491600	XP_020880621.1
OG0000151	Cg005G1560100	XP_020884903.1
OG0000151	Cg008G2699500	XP_002871574.1
OG0000153	Cg005G1625900	XP_002881123.1
OG0000153	Cg005G1641100	XP_020885353.1
OG0000154	Cg006G1826100	XP_020866593.1
OG0000154	Cg001G0245400	XP_020874310.1
OG0000154	Cg006G1826000	XP_020866511.1
OG0000154	Cg006G1826400	XP_020867950.1, XP_020867947.1, XP_020867946.1, XP_020866200.1
OG0000157	Cg006G1966200, Cg006G1965500	XP_020869575.1, XP_020870755.1
OG0000157	Cg006G1966900	XP_020866682.1
OG0000158	Cg008G2596700	XP_020873567.1, XP_020873647.1, XP_002869930.1
OG0000158	Cg005G1695800	XP_020877947.1
OG0000160	Cg004G1426700	XP_020888881.1
OG0000160	Cg001G0100800	XP_020872380.1
OG0000160	Cg003G0963700	XP_020870964.1
OG0000160	Cg004G1353700	XP_020889051.1
OG0000160	Cg007G2573400	XP_020890865.1
OG0000160	Cg005G1742100	XP_020885195.1
OG0000162	Cg005G1601500	XP_002879436.2
OG0000162	Cg005G1601600	XP_002879435.1
OG0000162	Cg002G0675900, Cg002G0676200, Cg002G0676100	XP_002875217.1
OG0000162	Cg004G1334900	XP_002883663.1, XP_020887605.1
OG0000162	Cg005G1601400	XP_002879439.1, XP_002879438.1
OG0000165	Cg006G1858300	XP_002870492.1
OG0000166	Cg036G3082400	XP_020885127.1, XP_020878232.1, XP_020866560.1, XP_020882873.1
OG0000167	Cg004G1301000	XP_020889511.1
OG0000170	Cg005G1473800	XP_002882022.1
OG0000170	Cg002G0419600	XP_002878356.2
OG0000170	Cg005G1474000	XP_002882021.1
OG0000171	Cg003G0916500	XP_002865968.1
OG0000171	Cg007G2262400	XP_020874812.1, XP_002887912.1
OG0000171	Cg004G1402700	XP_020888018.1
OG0000171	Cg003G0949800	XP_020891046.1
OG0000171	Cg004G1146700	XP_020888570.1
OG0000171	Cg001G0123300	XP_002867477.1
OG0000173	Cg001G0078900	XP_002868919.2
OG0000173	Cg008G2861400, Cg008G2846800	XP_002868934.1
OG0000173	Cg001G0022300, Cg001G0022400	XP_020874945.1
OG0000174	Cg007G2342000, Cg002G0629800, Cg002G0560800, Cg001G0362900, Cg003G0991500, Cg001G0283900, Cg007G2346200	XP_002877435.1, XP_020876203.1, XP_002885691.1, XP_020877212.1, XP_020866195.1
OG0000175	Cg006G2031400, Cg007G2474600	XP_020870037.1, XP_020890687.1
OG0000175	Cg007G2303300, Cg006G2157000	XP_002892585.1
OG0000175	Cg008G2710700	XP_002871626.1
OG0000176	Cg005G1747600	XP_020883479.1
OG0000176	Cg008G2964200	XP_020889939.1
OG0000177	Cg006G2054600	XP_020869364.1, XP_002890432.1
OG0000177	Cg006G2054500	XP_020869473.1
OG0000178	Cg003G0742900, Cg003G0743000	XP_002874799.1
OG0000178	Cg006G1925200	XP_002872696.1
OG0000178	Cg006G1925100	XP_020877648.1
OG0000178	Cg003G0802700, Cg003G0803500	XP_002893865.1
OG0000179	Cg007G2311400	XP_020890288.1
OG0000182	Cg002G0405500	XP_020880843.1
OG0000182	Cg002G0498500	XP_020881703.1
OG0000183	Cg001G0339800, Cg007G2426600	XP_002888498.1, XP_002870564.1
OG0000183	Cg005G1681400	XP_002879035.1
OG0000185	Cg004G1440400	XP_020870626.1, XP_002891127.1, XP_002891130.1, XP_002862875.1
OG0000185	Cg003G1044200	XP_020869863.1
OG0000185	Cg004G1189300	XP_020871016.1, XP_020867770.1
OG0000185	Cg006G1989500	XP_002890779.1
OG0000186	Cg005G1766900	XP_020884619.1, XP_020882765.1
OG0000186	Cg007G2287600	XP_020891314.1
OG0000187	Cg005G1772000	XP_020882989.1, XP_002878566.1
OG0000187	Cg006G2070900	XP_020869806.1
OG0000187	Cg005G1635300, Cg005G1635400, Cg005G1634600, Cg005G1634500, Cg005G1635600, Cg005G1635200, Cg005G1635700, Cg005G1635500	XP_020883121.1, XP_020885184.1, XP_020884986.1, XP_020885024.1, XP_020885006.1, XP_020885032.1, XP_002879220.1
OG0000188	Cg002G0576300, Cg004G1168000, Cg004G1167400, Cg004G1167900	XP_020885974.1
OG0000188	Cg004G1107000	XP_020888830.1
OG0000189	Cg002G0515600	XP_002876081.1
OG0000189	Cg001G0040600	XP_020873047.1
OG0000189	Cg004G1414100	XP_020885855.1
OG0000189	Cg007G2529500	XP_002887616.1
OG0000189	Cg006G2064800	XP_020870471.1
OG0000192	Cg006G2127500	XP_002877382.2
OG0000193	Cg004G1230500	XP_020888709.1, XP_020887386.1, XP_002865715.1, XP_002885153.1
OG0000193	Cg006G1859600, Cg006G1859800, Cg006G1859900, Cg006G1859400	XP_002891353.1
OG0000193	Cg006G1948300	XP_020866445.1, XP_020869780.1, XP_020869845.1
OG0000195	Cg007G2338500	XP_020886859.1
OG0000195	Cg003G0787700	XP_020884059.1
OG0000196	Cg001G0388500	XP_020872249.1, XP_020883783.1, XP_020874890.1
OG0000197	Cg001G0339500	XP_020872600.1, XP_020872360.1
OG0000197	Cg001G0205400	XP_002869981.2
OG0000197	Cg001G0205200	XP_020865995.1, XP_020875268.1
OG0000198	Cg002G0692800	XP_002875203.1, XP_002875076.1
OG0000198	Cg006G2114000	XP_002892838.1, XP_020869981.1
OG0000198	Cg006G2113800, Cg006G2113700	XP_020869449.1
OG0000198	Cg002G0664200	XP_020882067.1
OG0000199	Cg007G2470500, Cg007G2472200, Cg007G2392400, Cg002G0549200	XP_002891651.2, XP_002891717.1, XP_020868387.1
OG0000199	Cg014G3034400, Cg008G2903900	XP_020874321.1
OG0000199	Cg014G3034300, Cg003G0721100, Cg003G0721200, Cg014G3034200	XP_020877798.1, XP_002871796.1
OG0000200	Cg006G2210500	XP_020870342.1
OG0000200	Cg006G2210600	XP_020870343.1
OG0000200	Cg006G1857600	XP_020870363.1
OG0000200	Cg006G1857700	XP_020870362.1, XP_020870365.1
OG0000201	Cg005G1716200	XP_020884701.1
OG0000202	Cg003G0719400	XP_020879031.1
OG0000203	Cg002G0442000	XP_002878203.1, XP_020880570.1
OG0000203	Cg002G0441200	XP_020880616.1
OG0000203	Cg002G0441400	XP_020880586.1
OG0000203	Cg002G0441100	XP_020880589.1
OG0000203	Cg002G0441500	XP_020880584.1
OG0000208	Cg005G1738400, Cg007G2356100, Cg005G1738000	XP_002880818.2, XP_020866266.1, XP_020866240.1, XP_020866152.1, XP_020877110.1, XP_020865718.1, XP_002868767.2, XP_020876185.1, XP_020890797.1, XP_002883616.1, XP_002894619.2, XP_020877180.1, XP_020874111.1, XP_020867984.1, XP_020884643.1, XP_020890796.1, XP_020885612.1, XP_020884699.1, XP_020891254.1, XP_020866261.1, XP_020887718.1, XP_002872341.2, XP_020866138.1, XP_020877109.1, XP_020877113.1, XP_020871234.1, XP_020866267.1, XP_020876154.1
OG0000209	Cg006G2154400, Cg006G2158500, Cg006G1924600, Cg006G2158400	XP_020868187.1, XP_020869286.1
OG0000209	Cg008G2670300, Cg008G2670600, Cg008G2677700	XP_002871416.1
OG0000209	Cg005G1613100, Cg003G0772300	XP_020883217.1
OG0000209	Cg006G1996300	XP_020867374.1
OG0000210	Cg005G1480200	XP_020884580.1
OG0000215	Cg005G1678900, Cg002G0563200	XP_020869481.1
OG0000216	Cg003G0750100	XP_020877703.1
OG0000216	Cg003G0750300, Cg003G0750200	XP_002872655.2
OG0000216	Cg003G0750000	XP_002874641.2, XP_020877170.1
OG0000216	Cg007G2323800	XP_020865893.1
OG0000216	Cg001G0324000	XP_002876368.2
OG0000219	Cg001G0279900	XP_020880727.1, XP_020875545.1, XP_020873039.1
OG0000221	Cg002G0658400	XP_020885596.1, XP_020870726.1
OG0000225	Cg007G2558500	XP_020890452.1
OG0000226	Cg003G0770400	XP_020877252.1
OG0000227	Cg004G1118500	XP_020886550.1
OG0000227	Cg004G1376700, Cg004G1376500, Cg004G1376400, Cg004G1385200, Cg004G1377200	XP_020888649.1, XP_020888528.1
OG0000227	Cg004G1376900	XP_020890178.1
OG0000229	Cg001G0315200	XP_020884846.1, XP_002878902.1, XP_020884852.1
OG0000230	Cg008G2846600, Cg008G2861200, Cg008G2861500	XP_020880546.1, XP_020880539.1
OG0000230	Cg007G2290400	XP_020880533.1
OG0000230	Cg001G0350800	XP_020875151.1
OG0000233	Cg008G2647600	XP_002873316.1
OG0000233	Cg008G2647700, Cg008G2647900, Cg008G2647800	XP_020876210.1, XP_020876208.1
OG0000233	Cg008G2647500	XP_002873315.1
OG0000233	Cg008G2647300	XP_002873312.1, XP_020877613.1, XP_020876205.1
OG0000234	Cg008G2601400	XP_002871008.2
OG0000235	Cg005G1544000	XP_020885592.1, XP_020883752.1, XP_002862453.1
OG0000236	Cg007G2466600	XP_020865841.1
OG0000236	Cg001G0272600, Cg004G1311000, Cg004G1287200, Cg004G1333500	XP_020865699.1
OG0000237	Cg006G1842500	XP_020881383.1
OG0000237	Cg001G0099500, Cg004G1282100	XP_002885438.2
OG0000238	Cg007G2478600	XP_020872592.1, XP_002888798.1
OG0000238	Cg007G2478900	XP_002888800.1
OG0000238	Cg008G2832400	XP_002872296.1
OG0000238	Cg006G2034900, Cg006G2035000	XP_002874413.1
OG0000238	Cg007G2478700	XP_020891768.1
OG0000241	Cg001G0185400	XP_020873759.1
OG0000241	Cg001G0185500	XP_002867821.1
OG0000241	Cg003G0857500, Cg003G0740200	XP_020876627.1
OG0000242	Cg008G2821600, Cg008G2821500, Cg008G2969100, Cg008G2968700, Cg005G1735200, Cg008G2969200, Cg008G2968900, Cg008G2969300, Cg008G2968800	XP_020879188.1
OG0000244	Cg003G0862300, Cg003G0736100, Cg003G0862100, Cg003G0861900, Cg003G0736300, Cg003G0736000, Cg003G0862400, Cg003G0735900	XP_020876482.1
OG0000244	Cg003G0869800, Cg003G0728000, Cg003G0861800, Cg003G0736400	XP_002872741.1
OG0000244	Cg003G0728100, Cg003G0869700	XP_020876452.1, XP_020877213.1, XP_020876461.1, XP_020876462.1
OG0000245	Cg002G0636900, Cg005G1684200, Cg006G1978200, Cg002G0623900, Cg005G1684100, Cg002G0592000, Cg003G0881900, Cg001G0321000, Cg004G1345100, Cg007G2384600, Cg006G1796900, Cg007G2312200, Cg007G2309700, Cg008G2652600, Cg003G0760100, Cg002G0642100, Cg006G2201600	XP_020891448.1
OG0000246	Cg005G1566300	XP_002881469.1
OG0000247	Cg001G0351600, Cg001G0351800	XP_002868770.2
OG0000247	Cg003G0782000, Cg004G1322200, Cg004G1322700	XP_002883538.1, XP_002883579.1, XP_020887089.1
OG0000248	Cg007G2470600	XP_020881593.1, XP_002887270.1, XP_002887273.1, XP_002887269.1
OG0000248	Cg007G2471500	XP_002887278.1, XP_020865738.1
OG0000249	Cg006G1934400	XP_020866080.1
OG0000249	Cg004G1366500, Cg002G0640600	XP_002887885.2
OG0000250	Cg003G0862700	XP_002870459.1
OG0000251	Cg002G0664000	XP_002876961.1, XP_002876962.1, XP_002876963.1
OG0000251	Cg002G0663800	XP_002876964.1
OG0000251	Cg003G0962700	XP_002866197.1
OG0000251	Cg002G0664100	XP_020881297.1
OG0000252	Cg007G2272200	XP_002887975.1, XP_002887974.1
OG0000252	Cg007G2546100	XP_002887689.1
OG0000252	Cg007G2546300, Cg007G2546200	XP_020891652.1
OG0000253	Cg004G1184700	XP_002884912.1
OG0000253	Cg004G1154100	XP_002884737.1
OG0000253	Cg008G2596600	XP_002873056.1
OG0000254	Cg001G0250300, Cg001G0250200	XP_020872405.1
OG0000254	Cg001G0249500	XP_002870219.1
OG0000254	Cg001G0249400, Cg001G0249700	XP_002870218.1
OG0000256	Cg004G1236700	XP_002885190.1
