Orthogroup	Cardamine_glauca	Noccaea_praecox
OG0000034	Cg001G0172700	Np005G2841700
OG0000038	Cg007G2341500, Cg007G2278200	Np007G3978400
OG0000039	Cg001G0195900	Np003G1689500
OG0000040	Cg007G2426000, Cg008G2852000, Cg008G2867800	Np001G0278000
OG0000040	Cg003G0810800, Cg002G0661400	Np003G1817100
OG0000040	Cg003G0770800, Cg006G1822500, Cg003G0954000	Np006G3694800, Np006G3353400
OG0000042	Cg013G3025700	Np003G1737100
OG0000042	Cg007G2325300	Np006G3478400
OG0000043	Cg007G2421300, Cg006G1860500	Np006G3278600
OG0000043	Cg008G2905100	Np001G0091300, Np002G1233300, Np003G1487200, Np002G1108100, Np005G2745100
OG0000046	Cg003G0881700, Cg001G0284200	Np004G2388700, Np001G0160700
OG0000050	Cg007G2389100, Cg006G1872200	Np005G2948800, Np006G3520600, Np001G0383900
OG0000050	Cg002G0525300, Cg008G2715000	Np002G0988200
OG0000050	Cg001G0215700	Np001G0256300
OG0000050	Cg006G1961200, Cg003G0717600	Np001G0129000, Np001G0129100, Np001G0128800, Np004G2259400, Np004G2435300
OG0000050	Cg005G1737200	Np004G1970300, Np005G2648800, Np001G0275100, Np006G3520500, Np001G0383800, Np003G1895000, Np008G4280900
OG0000051	Cg006G2232100	Np004G2552100, Np007G3843500, Np007G3849300, Np004G2593300, Np003G1312800, Np003G1313100, Np003G1316200, Np004G2360300
OG0000051	Cg013G3025800, Cg005G1600400	Np006G3285800, Np006G3285900, Np006G3286000
OG0000051	Cg005G1723400	Np003G1730300
OG0000051	Cg003G0782100	Np006G3284800, Np006G3284200, Np006G3284000
OG0000052	Cg002G0657800	Np001G0218600
OG0000054	Cg003G0830800	Np008G4269300
OG0000055	Cg004G1239300	Np007G3923100, Np007G3922500
OG0000056	Cg007G2283700	Np002G1194100, Np002G0830700
OG0000056	Cg007G2284900, Cg007G2285100	Np002G1191800, Np002G1192300, Np002G1195300
OG0000056	Cg002G0557700	Np005G3136000, Np001G0467300
OG0000058	Cg005G1665800, Cg002G0608700, Cg004G1336800, Cg005G1744500, Cg008G2877000, Cg001G0339300	Np006G3423100, Np006G3422500, Np004G2183000, Np007G3942100
OG0000058	Cg007G2347400, Cg004G1359500, Cg004G1359600, Cg007G2327500	Np006G3504600
OG0000059	Cg008G2824900, Cg001G0300100, Cg001G0266200, Cg004G1243400, Cg007G2336400	Np006G3486400, Np005G2888900, Np005G3047300, Np007G3954600, Np003G1666900, Np003G1673900, Np005G2877500
OG0000059	Cg003G0778100	Np003G1667800, Np001G0392300, Np001G0082700
OG0000060	Cg006G2185800	Np001G0460200
OG0000061	Cg005G1455400	Np006G3342300
OG0000061	Cg005G1634900	Np004G2405700, Np006G3280900
OG0000061	Cg005G1631000	Np005G3181500, Np005G3181600, Np002G1245500
OG0000065	Cg007G2435300	Np002G0937300
OG0000066	Cg008G2671000	Np004G2500100, Np003G1367200
OG0000066	Cg008G2677200, Cg001G0018800	Np007G3771600
OG0000068	Cg008G2597800, Cg002G0415500, Cg008G2596900, Cg004G1419400	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600
OG0000068	Cg008G2928700	Np003G1442200, Np003G1442100
OG0000069	Cg001G0395000	Np006G3706900, Np006G3707500
OG0000069	Cg006G2225100	Np007G3833600
OG0000069	Cg004G1201400	Np004G2313200, Np001G0593200, Np001G0592800, Np001G0596200, Np001G0586900, Np001G0599500
OG0000070	Cg006G2161100, Cg002G0680500	Np007G3899300, Np001G0248800
OG0000070	Cg006G2064200	Np004G2353400
OG0000070	Cg001G0322900, Cg001G0323200, Cg007G2530800	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400
OG0000070	Cg006G1844100, Cg006G1844000, Cg006G1844200, Cg006G1840200, Cg006G1844300	Np004G1989200, Np004G1988600, Np004G2059200, Np001G0355800, Np001G0356100, Np001G0356000
OG0000072	Cg006G1870600, Cg007G2425100	Np007G4041200, Np001G0368400, Np003G1731700, Np006G3587200, Np009G4327500, Np006G3447100, Np003G1510900, Np006G3565200
OG0000072	Cg002G0615600, Cg003G0921700, Cg005G1721600, Cg006G1875000, Cg003G0891300, Cg006G1857400, Cg005G1716800, Cg005G1678100, Cg003G0771500, Cg003G0829500, Cg003G0793600, Cg004G1350300, Cg001G0334100	Np007G4034300, Np001G0214400, Np004G2135500, Np006G3592300, Np006G3546700, Np006G3482700
OG0000072	Cg007G2400700, Cg007G2408800	Np002G0772500, Np004G2176900, Np006G3362700, Np002G0796100, Np001G0490300, Np008G4256100, Np001G0651800, Np002G1002300, Np005G3189400, Np007G3836600, Np006G3485300, Np004G2112600
OG0000072	Cg005G1665600	Np003G1588900, Np007G4122700, Np005G2824400
OG0000074	Cg007G2434800	Np001G0425700, Np002G0733000
OG0000075	Cg001G0013900	Np005G2617300
OG0000076	Cg001G0007600	Np005G2608900
OG0000077	Cg005G1775900, Cg003G0758200	Np001G0381300
OG0000077	Cg007G2324000	Np002G1121700
OG0000077	Cg002G0678300	Np001G0247700
OG0000077	Cg008G2956300	Np001G0381400
OG0000078	Cg004G1099900	Np007G4214700
OG0000079	Cg004G1172300, Cg002G0672800	Np004G2051400
OG0000079	Cg010G2993500	Np004G2152100, Np004G2296400, Np004G2253500
OG0000080	Cg002G0578600, Cg002G0578900, Cg005G1663800	Np002G1104300
OG0000080	Cg004G1172200	Np004G2051300
OG0000080	Cg006G1882600	Np002G1069800
OG0000081	Cg003G0774600, Cg008G2921900	Np004G2188400, Np004G2195900, Np004G2188800, Np007G3988300
OG0000082	Cg002G0616100	Np005G2991300, Np006G3323100
OG0000083	Cg002G0678700	Np010G4344800, Np003G1476800
OG0000084	Cg007G2362900, Cg001G0292000, Cg006G1886500, Cg006G1886000, Cg003G0875600, Cg014G3052300, Cg004G1424800, Cg005G1657000	Np007G3915500
OG0000086	Cg001G0342500	Np005G3126500
OG0000086	Cg001G0341500	Np005G3022400
OG0000086	Cg001G0342600	Np005G3127100
OG0000089	Cg008G2794800	Np001G0109800
OG0000089	Cg003G1017300	Np005G2870600
OG0000089	Cg002G0558400	Np001G0070200
OG0000089	Cg005G1638200	Np006G3501600, Np008G4281600
OG0000089	Cg008G2689500	Np003G1391100
OG0000089	Cg008G2943700	Np001G0399300
OG0000089	Cg001G0195600	Np005G2871200
OG0000089	Cg007G2528700	Np002G0774400
OG0000090	Cg005G1668200, Cg005G1727600, Cg004G1388300, Cg006G1926600	Np005G2971200, Np007G4113900, Np006G3546200, Np003G1792600, Np004G1961100, Np002G0878100, Np007G3883300
OG0000090	Cg008G2920500	Np006G3523700
OG0000091	Cg005G1672400	Np001G0389100, Np001G0389700
OG0000091	Cg001G0362300, Cg008G2769400	Np003G1487100
OG0000091	Cg003G0829200, Cg003G0877100	Np001G0528700
OG0000095	Cg005G1739100	Np006G3649600
OG0000095	Cg005G1739400	Np006G3650300
OG0000096	Cg004G1260000	Np007G3952900
OG0000098	Cg004G1351900	Np007G3899100
OG0000098	Cg007G2258600, Cg007G2258500	Np004G2594800
OG0000098	Cg008G2823500	Np001G0116500, Np001G0115500
OG0000101	Cg007G2332400	Np004G2067500, Np001G0489000, Np004G2252100, Np011G4358000, Np011G4357800, Np002G0736300, Np001G0306500, Np001G0036300, Np004G2254300, Np001G0349600, Np004G2428000, Np003G1266900, Np001G0589500, Np003G1682200, Np003G1683300, Np007G3942800
OG0000102	Cg003G0864200, Cg003G0734200	Np003G1716100
OG0000102	Cg003G0734500	Np003G1850400
OG0000102	Cg003G0863700, Cg003G0734700, Cg003G0734400, Cg003G0864000	Np003G1850200
OG0000102	Cg003G0734600, Cg003G0863800	Np003G1795300
OG0000102	Cg003G0863600, Cg003G0734800	Np003G1849500, Np003G1850000
OG0000105	Cg007G2307400, Cg007G2331800	Np002G1232000
OG0000105	Cg007G2332200, Cg007G2332800	Np002G1229900
OG0000106	Cg007G2419200, Cg008G2833600	Np005G2719900
OG0000107	Cg005G1681600	Np007G3984500
OG0000107	Cg004G1267500, Cg004G1267300, Cg004G1267400	Np007G3984300
OG0000108	Cg005G1557400	Np006G3369500, Np001G0565800
OG0000108	Cg003G0983900, Cg002G0564200	Np001G0462100
OG0000108	Cg004G1180800	Np007G4093400
OG0000108	Cg008G2664600	Np003G1360400
OG0000108	Cg004G1253800	Np007G3950400
OG0000109	Cg008G2837900, Cg008G2837800	Np002G1184600, Np005G2935200, Np007G4014300, Np005G2978600, Np006G3449000, Np003G1723900, Np003G1723300, Np003G1723600, Np011G4357100, Np002G1174400, Np008G4281000, Np002G1033400
OG0000110	Cg002G0653700	Np002G0928100
OG0000116	Cg008G2902500, Cg008G2949800, Cg008G2949700, Cg008G2902600	Np004G2021800
OG0000116	Cg001G0293300, Cg001G0282800	Np003G1460300, Np005G3103800
OG0000117	Cg006G2029800	Np004G2300400
OG0000117	Cg006G2030500	Np004G2299300
OG0000117	Cg006G2029400	Np004G2300300
OG0000117	Cg006G2030600	Np004G2300200
OG0000119	Cg001G0041500	Np001G0493200
OG0000120	Cg008G2916400, Cg008G2816800, Cg007G2484100, Cg006G2020800, Cg004G1078700, Cg007G2342500	Np002G0949100
OG0000121	Cg002G0640900, Cg004G1362200	Np005G2954700, Np011G4358600, Np004G2590300, Np002G0965100, Np006G3634700
OG0000121	Cg007G2421400, Cg006G1860400	Np005G2842000, Np001G0527800, Np001G0451100, Np008G4283900, Np005G2906600, Np007G4117800, Np002G0941800, Np002G0951800, Np005G2957200, Np005G3191500, Np004G2402900
OG0000121	Cg008G2905000	Np004G2331000, Np003G1581500
OG0000122	Cg003G0800700	Np003G1578500
OG0000124	Cg001G0378100	Np005G3180200
OG0000124	Cg001G0298900	Np005G2989500, Np003G1311000, Np002G1109100, Np007G3982000, Np006G3413600, Np006G3224800, Np007G4183000, Np001G0142800, Np001G0316700, Np002G1065100, Np002G1144900, Np004G2155800, Np006G3441600, Np005G2997800, Np003G1698400, Np004G2064900, Np003G1592200, Np001G0351400, Np002G0948800, Np005G2989400
OG0000125	Cg005G1643500	Np006G3601100
OG0000125	Cg006G2188500	Np004G2519400
OG0000125	Cg006G1841400	Np004G1951700
OG0000125	Cg006G1817000, Cg006G1816500, Cg006G1816900, Cg006G1816400	Np004G1951500
OG0000125	Cg004G1281100	Np007G3813400
OG0000127	Cg008G2786000	Np003G1510700
OG0000127	Cg002G0489900	Np006G3371500, Np001G0565000
OG0000127	Cg003G0989900	Np003G1523500
OG0000127	Cg005G1647800	Np006G3598300
OG0000128	Cg002G0434700	Np001G0644700
OG0000128	Cg002G0434600	Np001G0644900
OG0000129	Cg007G2357000	Np002G0866100
OG0000129	Cg007G2390100	Np005G3118200
OG0000130	Cg003G0796500	Np006G3485400
OG0000132	Cg002G0477500	Np001G0583700
OG0000134	Cg008G2920900	Np003G1378400
OG0000137	Cg003G0942200	Np003G1600600
OG0000137	Cg003G0942300	Np003G1600500
OG0000137	Cg003G0942100	Np003G1602000, Np003G1601500, Np003G1600700
OG0000137	Cg003G0942000	Np003G1602100
OG0000137	Cg003G0941900	Np003G1602400
OG0000140	Cg006G2087500	Np005G2883300
OG0000140	Cg003G0810900	Np001G0509300, Np001G0524900
OG0000143	Cg002G0608200	Np004G2289300
OG0000151	Cg002G0475300	Np001G0586800
OG0000151	Cg005G1538800	Np006G3339200
OG0000151	Cg002G0475400	Np001G0586700
OG0000151	Cg002G0491600	Np001G0563500
OG0000151	Cg005G1560100	Np006G3374700
OG0000151	Cg008G2699500	Np003G1404000
OG0000153	Cg006G2190200	Np004G2521100
OG0000154	Cg006G1826400	Np004G1963300, Np004G1963200
OG0000157	Cg006G1966900	Np005G3104600, Np005G3104800, Np005G3107600
OG0000158	Cg008G2596700	Np003G1292700
OG0000158	Cg005G1695800	Np001G0283500, Np001G0283800, Np001G0282900, Np007G4061200
OG0000159	Cg007G2460000	Np002G0996800
OG0000160	Cg004G1426700	Np007G3739600
OG0000160	Cg001G0100800	Np005G2740000
OG0000160	Cg003G0963700	Np003G1560700
OG0000160	Cg004G1353700	Np007G3899700
OG0000160	Cg007G2573400	Np002G0711700
OG0000162	Cg004G1334900	Np001G0244800
OG0000162	Cg005G1601400	Np006G3578300
OG0000163	Cg007G2356000	Np003G1731400, Np002G1026100
OG0000165	Cg006G1858300	Np003G1813000, Np003G1781700, Np003G1822600, Np003G1800900, Np003G1781600, Np003G1801300, Np003G1801500, Np007G4108400
OG0000166	Cg036G3082400	Np007G3748700
OG0000170	Cg002G0419600	Np001G0667900
OG0000171	Cg003G0916500	Np003G1641800
OG0000171	Cg007G2262400	Np002G1239200
OG0000171	Cg004G1402700	Np007G3768900
OG0000171	Cg003G0949800	Np003G1582900
OG0000171	Cg001G0123300	Np005G2770300
OG0000173	Cg008G2861400, Cg008G2846800	Np005G2621400
OG0000173	Cg002G0675000, Cg001G0022300, Cg001G0022400	Np001G0199900
OG0000174	Cg003G0887300, Cg005G1647500	Np004G2073400, Np002G0998200, Np004G2311300, Np004G2306100, Np005G2829600, Np005G2992600, Np003G1659900, Np003G1696800, Np003G1769800
OG0000174	Cg007G2342000, Cg002G0629800, Cg002G0560800, Cg001G0362900, Cg003G0991500, Cg001G0283900, Cg007G2346200	Np002G1029900
OG0000175	Cg008G2710700	Np003G1416000
OG0000175	Cg002G0406800, Cg005G1457900	Np001G0685700
OG0000176	Cg005G1747600	Np007G4189400
OG0000178	Cg003G0742900, Cg003G0743000	Np003G1833700
OG0000178	Cg006G1925200	Np003G1835100
OG0000178	Cg006G1925100	Np003G1835200
OG0000183	Cg001G0339800	Np005G3124900
OG0000183	Cg005G1681400	Np006G3615500
OG0000185	Cg004G1440400, Cg003G1044200	Np001G0026600, Np001G0030000, Np001G0688200
OG0000188	Cg004G1107000	Np007G4202800, Np004G1955500
OG0000189	Cg001G0040600	Np005G2675300
OG0000189	Cg007G2529500	Np002G0772800
OG0000189	Cg006G2064800	Np004G2354100
OG0000191	Cg001G0299600	Np006G3490300
OG0000191	Cg007G2389300	Np006G3490400
OG0000192	Cg006G1993900	Np003G1311400
OG0000192	Cg006G1994000	Np004G2432400
OG0000192	Cg006G2127500	Np004G2432200
OG0000196	Cg001G0390600	Np007G4161800
OG0000196	Cg001G0387900, Cg001G0387800, Cg001G0388400	Np005G3188800
OG0000197	Cg001G0205400	Np004G2022400
OG0000198	Cg006G2114000	Np004G2415000
OG0000198	Cg006G2113800, Cg006G2113700	Np004G2414700
OG0000198	Cg002G0664200	Np005G2833600
OG0000199	Cg007G2470500, Cg007G2472200, Cg007G2392400, Cg002G0549200	Np007G3776000, Np007G3775100, Np006G3307800
OG0000199	Cg014G3034400, Cg008G2903900, Cg014G3034300, Cg003G0721100, Cg003G0721200, Cg014G3034200	Np004G2471000, Np004G2469700, Np004G2471600, Np004G2469900, Np004G2460000
OG0000199	Cg001G0105000	Np005G3095000
OG0000200	Cg006G2210500	Np004G2544000
OG0000200	Cg006G2210600	Np004G2543900
OG0000200	Cg006G1857600	Np004G2143200, Np004G2141700, Np003G1654700
OG0000200	Cg006G1857700	Np004G2141600, Np004G2143500
OG0000202	Cg003G0719400	Np007G3890500
OG0000203	Cg002G0441200	Np005G3179800
OG0000203	Cg002G0441400	Np001G0632300
OG0000203	Cg002G0441500	Np001G0631800
OG0000205	Cg006G1892500	Np009G4305400, Np002G1035400, Np010G4327900, Np004G2209100, Np007G3966500
OG0000209	Cg008G2670300, Cg008G2670600, Cg008G2677700	Np003G1366500
OG0000209	Cg008G2772200	Np004G2336500
OG0000210	Cg005G1646400, Cg005G1480200	Np006G3250000
OG0000210	Cg002G0423700	Np001G0662300
OG0000210	Cg002G0423600	Np006G3639200
OG0000215	Cg005G1678900, Cg002G0563200	Np002G0864000
OG0000216	Cg007G2323800	Np002G1121800
OG0000216	Cg001G0324000	Np001G0487900, Np005G3139900, Np005G3139100, Np001G0606300, Np001G0606400
OG0000222	Cg005G1700400	Np009G4299200
OG0000227	Cg004G1118500	Np006G3524200, Np006G3524300
OG0000229	Cg005G1664500	Np003G1876400
OG0000230	Cg001G0350800	Np001G0642200
OG0000233	Cg008G2647600	Np003G1335200
OG0000233	Cg008G2647700, Cg008G2647900, Cg008G2647800	Np003G1335400
OG0000233	Cg008G2647500	Np003G1335100
OG0000233	Cg008G2647300	Np003G1334700, Np003G1334800, Np003G1334900, Np005G2911800
OG0000234	Cg005G1484700	Np003G1792500
OG0000235	Cg005G1544000	Np005G3142900
OG0000235	Cg007G2571200, Cg007G2574000	Np006G3375200
OG0000236	Cg004G1287300	Np007G3825300, Np007G3825800
OG0000236	Cg001G0272600, Cg004G1311000, Cg004G1287200, Cg004G1333500	Np007G3825000
OG0000236	Cg003G0795800	Np003G1773300
OG0000237	Cg006G1842500	Np006G3664800, Np005G3024700
OG0000237	Cg001G0099500, Cg004G1282100	Np007G3814600
OG0000238	Cg007G2478500	Np002G0845400
OG0000238	Cg007G2478600	Np002G0845300
OG0000238	Cg002G0635600	Np004G2308900
OG0000238	Cg008G2832400, Cg006G2034900, Cg006G2035000	Np004G2309500
OG0000239	Cg002G0661500, Cg007G2316100, Cg006G2142800	Np004G2128000, Np005G3094300, Np007G3909100, Np004G1948500, Np005G3117700, Np003G1657100, Np003G1411900, Np005G3036700, Np001G0216500, Np001G0293200, Np001G0630400, Np004G2156900, Np007G4040900, Np004G1948600, Np006G3651300, Np004G2333400, Np001G0292400
OG0000239	Cg001G0354900, Cg008G2902200	Np003G1674300, Np001G0362700, Np001G0271800, Np003G1818900, Np002G0913500, Np007G4007300, Np001G0271700
OG0000241	Cg001G0185400	Np005G2864100
OG0000242	Cg008G2821600, Cg008G2821500, Cg008G2969100, Cg008G2968700, Cg005G1735200, Cg008G2969200, Cg008G2968900, Cg008G2969300, Cg008G2968800	Np001G0141900
OG0000244	Cg003G0869800, Cg003G0728000, Cg003G0861800, Cg003G0736400	Np003G1858400
OG0000244	Cg003G0728100, Cg003G0869700	Np003G1858200, Np003G1858100, Np003G1857800
OG0000245	Cg002G0636900, Cg005G1684200, Cg006G1978200, Cg002G0623900, Cg005G1684100, Cg002G0592000, Cg003G0881900, Cg001G0321000, Cg004G1345100, Cg007G2384600, Cg006G1796900, Cg007G2312200, Cg007G2309700, Cg008G2652600, Cg003G0760100, Cg002G0642100, Cg006G2201600, Cg006G1889200	Np004G2322800, Np006G3313100, Np003G1676900
OG0000246	Cg005G1566300	Np006G3384100, Np003G1776100
OG0000247	Cg001G0351600, Cg001G0351800	Np004G2545900
OG0000248	Cg007G2471500	Np002G0857800
OG0000249	Cg006G1934400	Np004G2068100
OG0000249	Cg004G1366500, Cg002G0640600	Np008G4270100, Np009G4325200, Np001G0129900, Np003G1744700
OG0000250	Cg003G0862700	Np007G3953700
OG0000250	Cg003G0735700	Np003G1507100, Np003G1848500
OG0000251	Cg002G0664000	Np001G0226900
OG0000251	Cg002G0663800	Np001G0491300, Np001G0226800, Np001G0226600
OG0000251	Cg003G0962700	Np003G1562200
OG0000252	Cg007G2272200	Np002G0966500, Np002G1217000, Np002G1216400, Np002G1216900, Np002G1216600
OG0000253	Cg004G1153800	Np003G1267100, Np003G1271600
OG0000253	Cg008G2596500	Np002G1120300
OG0000253	Cg004G1154100	Np007G4134200
OG0000253	Cg008G2596600	Np003G1267200
OG0000255	Cg007G2394100, Cg006G1865500, Cg006G1878100	Np007G4006000, Np008G4290400, Np007G4010300, Np006G3593600, Np003G1709200, Np005G2940900, Np005G2940700, Np004G2248500, Np007G4040600, Np006G3428900, Np003G1755900, Np002G0990800, Np009G4319500, Np002G0970800, Np011G4356100, Np006G3533100
OG0000257	Cg007G2529300	Np002G0772900
OG0000258	Cg002G0627900	Np004G2182300
OG0000258	Cg007G2370800, Cg001G0290400	Np004G2182400
OG0000259	Cg004G1246900	Np007G3830200
OG0000265	Cg005G1655600	Np005G3140200, Np007G4120400, Np002G0744800, Np002G0778500, Np003G1560300, Np004G1972500, Np006G3567500, Np004G2255600, Np001G0314500
OG0000268	Cg006G1966300, Cg006G1965600	Np005G2764400
OG0000269	Cg003G0987700	Np003G1526500
OG0000269	Cg002G0567300	Np001G0459000, Np001G0458900
OG0000269	Cg006G2190700, Cg006G1923700, Cg007G2309100, Cg005G1638700	Np004G2521600
OG0000274	Cg008G2846400, Cg003G0884300, Cg001G0366700, Cg008G2975700, Cg001G0331800	Np002G1028400
OG0000275	Cg003G1065200	Np001G0244400
OG0000275	Cg008G2833500	Np004G1985300
OG0000276	Cg005G1682300	Np002G1070200, Np001G0402600
OG0000276	Cg002G0614200	Np007G4034600, Np007G3963500
OG0000277	Cg001G0007500	Np007G3772100
OG0000277	Cg006G2066500	Np002G0777200
OG0000278	Cg001G0333000, Cg001G0333100, Cg001G0332700, Cg001G0332500, Cg001G0337400	Np005G3117100
OG0000282	Cg001G0182200, Cg001G0182000	Np006G3612000
OG0000283	Cg007G2481000, Cg004G1350900	Np005G2968000, Np003G1722900
OG0000283	Cg011G3015000	Np006G3504200
OG0000285	Cg001G0190700	Np005G2879700
OG0000285	Cg003G0706200, Cg014G3049300, Cg003G0711400, Cg014G3044400	Np004G2185500
OG0000286	Cg008G2943000, Cg006G1979100	Np003G1578100
OG0000286	Cg008G2943400	Np006G3225600
OG0000286	Cg001G0074700	Np003G1257000
OG0000290	Cg007G2262300	Np002G1239600
OG0000294	Cg007G2421800, Cg007G2421900, Cg007G2422200, Cg007G2422800, Cg008G2713400	Np002G1225100
OG0000295	Cg006G1876600	Np004G2036300
OG0000295	Cg004G1173400, Cg004G1317000	Np004G2108300
OG0000296	Cg008G2982100, Cg003G0982000, Cg003G0887600	Np003G1534000, Np007G4243900, Np003G1534400
OG0000296	Cg003G0978500	Np003G1539300
OG0000296	Cg003G0978400	Np003G1534300
OG0000297	Cg001G0284800	Np003G1702400
OG0000298	Cg006G1934800, Cg006G1935200	Np004G2066900, Np004G2067000
OG0000298	Cg006G1935400	Np001G0361700, Np004G2066800, Np004G2066700
OG0000300	Cg003G0899400	Np004G1944000
OG0000301	Cg005G1482700	Np001G0656600
OG0000301	Cg004G1274700	Np006G3657800, Np006G3692300
OG0000305	Cg006G2092900	Np004G2040900, Np004G2390100
OG0000307	Cg007G2271200	Np007G3777700
OG0000308	Cg008G2929200	Np001G0413700
OG0000308	Cg008G2928800, Cg008G2929000, Cg008G2928900	Np001G0413900, Np001G0413800, Np001G0414200, Np001G0414100
OG0000309	Cg003G0994700	Np005G3043400
OG0000312	Cg001G0335800, Cg006G1899900	Np002G1029400, Np001G0253500
OG0000313	Cg005G1528700	Np006G3319700
OG0000314	Cg002G0641200	Np003G1698600
OG0000314	Cg006G1940900	Np003G1725200
OG0000314	Cg008G2865300	Np004G2096300
OG0000314	Cg005G1640900	Np002G0900000
OG0000314	Cg002G0646700, Cg005G1640800	Np001G0544400
OG0000320	Cg007G2343200	Np003G1684900, Np008G4290800, Np001G0290100, Np007G4043300, Np005G2969900
OG0000320	Cg004G1332200	Np008G4290700
OG0000321	Cg004G1262800	Np004G1971000
OG0000321	Cg008G2763000	Np003G1478700
OG0000322	Cg003G0970300	Np005G2608200, Np005G2608600, Np005G2607900
OG0000323	Cg007G2498700, Cg007G2499000	Np004G2384500
OG0000325	Cg006G2219100	Np004G2554700
OG0000325	Cg006G2219000	Np004G2554500
OG0000327	Cg004G1211800	Np005G3168200
OG0000328	Cg004G1277600, Cg004G1277500	Np007G3808000
OG0000328	Cg004G1277100	Np007G3807900
OG0000328	Cg004G1277400	Np007G3807800
OG0000328	Cg004G1294800	Np007G3807200
OG0000328	Cg004G1277300	Np007G3807400
