Orthogroup	Cardamine_glauca	Arabis_alpina
OG0000065	Cg007G2434500, Cg007G2434600, Cg007G2435800	Aa_G756440.h1.t1, Aa_G190950.h1.t1
OG0000066	Cg006G2172200, Cg008G2671100, Cg003G1045600, Cg003G1045700, Cg008G2671000	Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37410.h1.t1, Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1, Aa_G37410.h5.t1, Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1
OG0000066	Cg001G0018800	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1
OG0000068	Cg008G2597800, Cg002G0415500, Cg008G2596900, Cg004G1419400	Aa_G484940.h1.t1, Aa_G389030.h1.t1
OG0000068	Cg008G2928700	Aa_G176470.h1.t1, Aa_G602860.h1.t1, Aa_G602850.h1.t1
OG0000069	Cg007G2571800	Aa_G20960.h1.t1
OG0000069	Cg006G2225100	Aa_G536480.h1.t1
OG0000070	Cg006G2161100	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1
OG0000070	Cg006G2064200	Aa_G433160.h1.t1, Aa_G266320.h1.t1
OG0000070	Cg001G0322900, Cg001G0323200, Cg007G2530800	Aa_G410840.h1.t1
OG0000070	Cg006G1844100, Cg006G1844000, Cg006G1844200, Cg006G1840200, Cg006G1844300	Aa_G273730.h1.t1
OG0000070	Cg001G0056200	Aa_G614230.h1.t1
OG0000072	Cg006G1870600, Cg007G2425100	Aa_G652160.h1.t1, Aa_G44560.h1.t1, Aa_G531310.h1.t1, Aa_G227280.h1.t1, Aa_G160160.h1.t1
OG0000072	Cg002G0615600, Cg003G0921700, Cg005G1721600, Cg006G1875000, Cg003G0891300, Cg006G1857400, Cg005G1716800, Cg005G1678100, Cg003G0771500, Cg003G0829500, Cg003G0793600, Cg004G1350300, Cg001G0334100	Aa_G505780.h1.t1
OG0000072	Cg007G2400700, Cg007G2408800	Aa_G880340.h1.t1, Aa_G204510.h1.t1, Aa_G233100.h1.t1, Aa_G9790.h1.t1
OG0000075	Cg001G0013800	Aa_G136250.h1.t1
OG0000076	Cg001G0007600	Aa_G137810.h1.t1
OG0000077	Cg002G0678300	Aa_G683270.h1.t1
OG0000077	Cg006G2167500	Aa_G160980.h1.t1
OG0000078	Cg004G1099800	Aa_G339740.h1.t1
OG0000078	Cg004G1099900	Aa_G339720.h1.t1
OG0000079	Cg004G1172300, Cg002G0672800	Aa_G160120.h1.t1
OG0000083	Cg002G0678700	Aa_G482960.h1.t1, Aa_G871750.h1.t1
OG0000084	Cg006G1901600	Aa_G204550.h1.t1
OG0000084	Cg007G2362900	Aa_G263490.h1.t1
OG0000084	Cg001G0292000	Aa_G370540.h1.t1
OG0000086	Cg001G0342500	Aa_G108450.h1.t1
OG0000086	Cg001G0342600	Aa_G703520.h1.t1
OG0000089	Cg008G2794800	Aa_G630880.h1.t1
OG0000089	Cg002G0558400	Aa_G409550.h1.t1, Aa_G88860.h1.t1
OG0000089	Cg005G1638200	Aa_G199760.h1.t1
OG0000089	Cg008G2689500	Aa_G256660.h1.t1
OG0000089	Cg008G2943700	Aa_G103150.h1.t1
OG0000089	Cg001G0195600	Aa_G580380.h1.t1
OG0000089	Cg005G1585200	Aa_G562810.h1.t1
OG0000089	Cg006G2065500, Cg007G2528700	Aa_G656110.h1.t1
OG0000090	Cg005G1668200, Cg005G1727600, Cg004G1388300, Cg006G1926600	Aa_G84800.h1.t1, Aa_G329020.h1.t1
OG0000091	Cg001G0362300, Cg008G2769400	Aa_G15590.h1.t1
OG0000091	Cg003G0829200, Cg003G0877100	Aa_G15570.h1.t1
OG0000096	Cg004G1249200, Cg004G1257700, Cg004G1249300, Cg004G1260000	Aa_G32180.h1.t1
OG0000100	Cg007G2289500	Aa_G65950.h1.t1
OG0000101	Cg007G2332400	Aa_G160180.h1.t1
OG0000102	Cg003G0864200, Cg003G0734200	Aa_G577800.h1.t1
OG0000102	Cg003G0864100, Cg003G0734300	Aa_G405840.h1.t1, Aa_G42060.h1.t1, Aa_G405830.h6.t1, Aa_G405830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h3.t1, Aa_G405830.h2.t1, Aa_G405830.h4.t1, Aa_G405810.h1.t1, Aa_G120830.h1.t1, Aa_G233060.h1.t1, Aa_G261510.h1.t1
OG0000102	Cg003G0863700, Cg003G0734700	Aa_G132920.h1.t1
OG0000102	Cg003G0863600, Cg003G0734800	Aa_G42050.h1.t1
OG0000105	Cg007G2307400, Cg007G2331800	Aa_G616120.h1.t1
OG0000105	Cg007G2332200, Cg007G2332800	Aa_G65730.h1.t1
OG0000107	Cg004G1267200	Aa_G115060.h1.t1
OG0000108	Cg005G1557400	Aa_G367680.h1.t1, Aa_G576740.h1.t1
OG0000108	Cg003G0983900, Cg002G0564200	Aa_G99370.h1.t1
OG0000108	Cg004G1180800	Aa_G5290.h1.t1
OG0000108	Cg008G2664600	Aa_G152880.h1.t1
OG0000115	Cg006G1927900, Cg008G2910800	Aa_G264010.h1.t1
OG0000116	Cg008G2902500, Cg008G2949800, Cg008G2949700, Cg008G2902600, Cg001G0293300, Cg001G0282800	Aa_G358570.h1.t1
OG0000117	Cg006G2029700	Aa_G349950.h1.t1
OG0000117	Cg006G2031100	Aa_G62330.h1.t1
OG0000117	Cg006G2029800	Aa_G62240.h1.t1
OG0000117	Cg006G2030600	Aa_G436170.h1.t1, Aa_G187350.h1.t1, Aa_G349960.h1.t1
OG0000120	Cg008G2916400, Cg008G2816800, Cg007G2484100, Cg006G2020800, Cg004G1078700, Cg007G2342500	Aa_G248300.h1.t1
OG0000121	Cg008G2905000	Aa_G527420.h1.t1, Aa_G180200.h1.t1
OG0000122	Cg003G0800700	Aa_G592740.h1.t1
OG0000125	Cg006G2188500	Aa_G257560.h1.t1
OG0000125	Cg006G1841400	Aa_G166390.h1.t1
OG0000127	Cg008G2786000	Aa_G552180.h1.t1
OG0000127	Cg002G0489900	Aa_G311330.h1.t1
OG0000127	Cg003G0989900	Aa_G33880.h1.t1
OG0000127	Cg005G1647800	Aa_G69270.h1.t1
OG0000128	Cg002G0434700	Aa_G784880.h1.t1
OG0000128	Cg002G0434600	Aa_G271260.h1.t1
OG0000129	Cg007G2357000	Aa_G323510.h1.t1
OG0000129	Cg003G1010100, Cg003G1010200, Cg003G1010000, Cg005G1662800, Cg005G1661800, Cg005G1660700, Cg005G1661700, Cg003G0897000	Aa_G61470.h1.t1, Aa_G716440.h1.t1, Aa_G61530.h1.t1
OG0000132	Cg002G0477500	Aa_G482030.h1.t1, Aa_G359110.h1.t1
OG0000137	Cg003G0942300	Aa_G59090.h1.t1
OG0000137	Cg003G0942100	Aa_G732190.h1.t1, Aa_G643460.h1.t1
OG0000137	Cg003G0941900	Aa_G643480.h1.t1
OG0000140	Cg002G0686900	Aa_G292460.h1.t1, Aa_G151720.h1.t1, Aa_G688150.h1.t1
OG0000140	Cg006G2087500	Aa_G752660.h1.t1, Aa_G17020.h1.t1, Aa_G217680.h1.t1, Aa_G112920.h1.t1, Aa_G370590.h1.t1, Aa_G234310.h1.t1, Aa_G908230.h1.t1, Aa_G650540.h1.t1, Aa_G341600.h1.t1
OG0000141	Cg007G2276000, Cg007G2276100	Aa_G492220.h1.t1
OG0000151	Cg002G0475200	Aa_G329140.h1.t1, Aa_G566620.h1.t1
OG0000151	Cg002G0475300	Aa_G729400.h1.t1
OG0000151	Cg005G1538800	Aa_G351720.h1.t1
OG0000151	Cg002G0491600	Aa_G13900.h1.t1
OG0000151	Cg005G1560100	Aa_G30120.h1.t1
OG0000151	Cg008G2699500	Aa_G388320.h1.t1
OG0000153	Cg005G1640700	Aa_G173900.h1.t1
OG0000154	Cg001G0245400	Aa_G507510.h1.t1, Aa_G507500.h1.t1
OG0000154	Cg006G1826000	Aa_G406970.h1.t1, Aa_G434970.h1.t1, Aa_G462070.h1.t1, Aa_G434980.h1.t1
OG0000155	Cg009G2989400	Aa_G11930.h1.t1, Aa_G86920.h1.t1, Aa_G83970.h1.t1
OG0000160	Cg004G1426700	Aa_G190130.h1.t1
OG0000160	Cg001G0100800	Aa_G620370.h1.t1
OG0000160	Cg003G0963700	Aa_G307400.h1.t1
OG0000160	Cg004G1353700	Aa_G194510.h1.t1
OG0000160	Cg001G0307000	Aa_G241680.h1.t1
OG0000160	Cg007G2573400	Aa_G21590.h1.t1
OG0000160	Cg005G1742100	Aa_G41590.h1.t1
OG0000162	Cg005G1601600, Cg002G0675900, Cg002G0676200, Cg002G0676100, Cg004G1334900, Cg005G1601400	Aa_G363640.h1.t1
OG0000165	Cg006G1858300	Aa_G370290.h1.t1, Aa_G370300.h1.t1, Aa_G293040.h1.t1, Aa_G370270.h1.t1, Aa_G228400.h1.t1
OG0000165	Cg007G2423600	Aa_G370280.h1.t1
OG0000170	Cg002G0419600	Aa_G48820.h1.t1
OG0000171	Cg003G0916500	Aa_G134060.h1.t1
OG0000171	Cg007G2262400	Aa_G688860.h1.t1, Aa_G135580.h1.t1
OG0000171	Cg004G1402700	Aa_G70150.h1.t1
OG0000171	Cg003G0949800	Aa_G580840.h1.t1
OG0000171	Cg004G1146700	Aa_G24370.h1.t1
OG0000171	Cg001G0123300	Aa_G2000.h1.t1
OG0000173	Cg001G0073600	Aa_G139550.h1.t1, Aa_G187970.h1.t1, Aa_G187960.h1.t1
OG0000175	Cg006G2031400, Cg007G2474600	Aa_G101710.h1.t1
OG0000176	Cg008G2964200, Cg007G2484200	Aa_G319580.h1.t1, Aa_G319590.h1.t1
OG0000178	Cg003G0742900, Cg003G0743000	Aa_G320630.h1.t1
OG0000178	Cg003G0742300	Aa_G320670.h1.t1
OG0000182	Cg002G0405500, Cg002G0498500	Aa_G22640.h1.t1, Aa_G167450.h1.t1
OG0000183	Cg001G0339800, Cg007G2426600	Aa_G505900.h1.t1
OG0000185	Cg004G1440400	Aa_G424840.h1.t1, Aa_G328640.h1.t1, Aa_G328640.h2.t1
OG0000185	Cg006G1989500	Aa_G464540.h1.t1, Aa_G464550.h1.t1
OG0000186	Cg005G1766900, Cg007G2287600	Aa_G218170.h1.t1
OG0000187	Cg005G1772000	Aa_G279240.h1.t1, Aa_G279230.h1.t1
OG0000187	Cg005G1635300, Cg005G1635400, Cg005G1634600, Cg005G1634500, Cg005G1635600, Cg005G1635200, Cg005G1635700, Cg005G1635500	Aa_G279220.h1.t1, Aa_G773360.h1.t1, Aa_G279150.h1.t1
OG0000189	Cg001G0040600, Cg004G1414100	Aa_G514660.h1.t1, Aa_G459730.h1.t1
OG0000189	Cg007G2529500	Aa_G281740.h1.t1
OG0000191	Cg007G2389300	Aa_G26980.h1.t1
OG0000192	Cg006G1993900	Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G184310.h1.t1, Aa_G457510.h1.t1
OG0000195	Cg003G0787700, Cg003G0990000, Cg002G0555700, Cg003G0787800, Cg003G0788000	Aa_G376620.h1.t1
OG0000196	Cg001G0390600	Aa_G185160.h1.t1
OG0000196	Cg001G0388500	Aa_G84820.h1.t1
OG0000196	Cg001G0388000, Cg001G0388200	Aa_G165200.h1.t1
OG0000196	Cg001G0387900, Cg001G0387800, Cg001G0388400	Aa_G229810.h1.t1
OG0000197	Cg001G0205400	Aa_G674860.h1.t1
OG0000198	Cg002G0692800	Aa_G509920.h1.t1
OG0000198	Cg006G2114000	Aa_G328840.h1.t1
OG0000198	Cg006G2113800, Cg006G2113700	Aa_G272200.h1.t1
OG0000198	Cg002G0664200	Aa_G222140.h1.t1, Aa_G238450.h1.t1
OG0000199	Cg014G3034400, Cg008G2903900, Cg014G3034300, Cg003G0721100, Cg003G0721200, Cg014G3034200, Cg001G0105000	Aa_G123140.h1.t1, Aa_G191220.h1.t1, Aa_G284830.h1.t1
OG0000200	Cg006G1985500	Aa_G366340.h1.t1
OG0000200	Cg006G1857700	Aa_G37370.h1.t1
OG0000201	Cg005G1717000	Aa_G569500.h1.t1
OG0000203	Cg002G0442000	Aa_G526150.h1.t1
OG0000203	Cg002G0441400	Aa_G526230.h1.t1
OG0000203	Cg002G0441500	Aa_G526180.h1.t1
OG0000208	Cg005G1738400, Cg007G2356100, Cg005G1738000	Aa_G1022770.h1.t1, Aa_G350.h1.t1, Aa_G89920.h1.t1, Aa_G979430.h1.t1
OG0000210	Cg005G1480200	Aa_G175290.h1.t1
OG0000210	Cg005G1646200	Aa_G77240.h1.t1
OG0000210	Cg002G0423600	Aa_G77230.h1.t1, Aa_G208970.h1.t1, Aa_G208980.h1.t1
OG0000216	Cg003G0750300, Cg003G0750200	Aa_G389410.h1.t1
OG0000216	Cg007G2323800	Aa_G57040.h1.t1
OG0000216	Cg001G0324000	Aa_G373050.h1.t1
OG0000219	Cg001G0279900	Aa_G632000.h1.t1, Aa_G584620.h1.t1
OG0000219	Cg006G1830800	Aa_G493540.h1.t1
OG0000222	Cg004G1331800, Cg005G1684300, Cg005G1700400	Aa_G878030.h1.t1
OG0000227	Cg004G1118500	Aa_G216090.h1.t1, Aa_G333250.h1.t1
OG0000227	Cg004G1376900	Aa_G51090.h1.t1
OG0000230	Cg007G2290400	Aa_G175830.h1.t1
OG0000230	Cg001G0350800	Aa_G262340.h1.t1, Aa_G175680.h1.t1, Aa_G262350.h1.t1, Aa_G175640.h1.t1
OG0000232	Cg006G1824400, Cg004G1119800, Cg005G1715100, Cg005G1758600	Aa_G193030.h1.t1
OG0000233	Cg008G2647600	Aa_G471610.h1.t1
OG0000233	Cg008G2647700, Cg008G2647900, Cg008G2647800	Aa_G529880.h1.t1, Aa_G471590.h1.t1, Aa_G471600.h1.t1
OG0000233	Cg008G2647500	Aa_G471620.h1.t1
OG0000234	Cg004G1263300	Aa_G685240.h1.t1
OG0000235	Cg005G1544000	Aa_G278130.h1.t1
OG0000235	Cg007G2571200, Cg007G2574000	Aa_G291160.h1.t1, Aa_G105690.h1.t1
OG0000236	Cg007G2466600	Aa_G133930.h1.t1, Aa_G792760.h1.t1, Aa_G826850.h1.t1
OG0000236	Cg004G1287200, Cg004G1333500	Aa_G384940.h1.t1
OG0000237	Cg006G1842500	Aa_G29610.h1.t1
OG0000238	Cg007G2478500	Aa_G417160.h1.t1
OG0000238	Cg007G2478800	Aa_G412940.h1.t1
OG0000238	Cg007G2478600	Aa_G271400.h1.t1
OG0000238	Cg002G0635600, Cg008G2832400, Cg006G2034900, Cg006G2035000	Aa_G367300.h1.t1, Aa_G367290.h1.t1
OG0000238	Cg007G2478700	Aa_G412960.h1.t1
OG0000241	Cg001G0185400	Aa_G213370.h1.t1
OG0000241	Cg001G0185500	Aa_G213350.h1.t1, Aa_G213340.h1.t1, Aa_G213320.h1.t1, Aa_G213330.h1.t1, Aa_G213310.h1.t1
OG0000241	Cg003G0857500, Cg003G0740200	Aa_G974580.h1.t1, Aa_G257180.h1.t1
OG0000242	Cg008G2821600, Cg008G2821500, Cg008G2969100, Cg008G2968700, Cg005G1735200, Cg008G2969200, Cg008G2968900, Cg008G2969300, Cg008G2968800	Aa_G40840.h1.t1
OG0000244	Cg003G0728100, Cg003G0869700	Aa_G189060.h1.t1
OG0000246	Cg005G1566300	Aa_G25290.h1.t1
OG0000250	Cg001G0307800	Aa_G221240.h1.t1
OG0000251	Cg002G0663800	Aa_G276750.h1.t1
OG0000251	Cg003G0962700	Aa_G69130.h1.t1
OG0000251	Cg002G0664100	Aa_G636080.h1.t1
OG0000252	Cg001G0086600	Aa_G74580.h1.t1, Aa_G145140.h1.t1
OG0000252	Cg007G2546100	Aa_G129390.h1.t1
OG0000253	Cg004G1154100	Aa_G403550.h1.t1
OG0000253	Cg008G2596600	Aa_G85370.h1.t1
OG0000254	Cg001G0249400, Cg001G0249700	Aa_G355560.h1.t1
OG0000258	Cg007G2370800, Cg001G0290400	Aa_G560.h1.t1
OG0000269	Cg003G0987700	Aa_G550740.h1.t1, Aa_G620130.h1.t1, Aa_G550750.h1.t1
OG0000269	Cg002G0567300	Aa_G318700.h1.t1, Aa_G318690.h1.t1
OG0000269	Cg006G2190700, Cg006G1923700, Cg007G2309100	Aa_G651390.h1.t1
OG0000269	Cg005G1638700	Aa_G199710.h1.t1
OG0000270	Cg001G0375300	Aa_G367860.h1.t1
OG0000276	Cg005G1682300	Aa_G997690.h1.t1
OG0000277	Cg006G2066500	Aa_G64840.h1.t1
OG0000279	Cg003G0839100, Cg008G2952700, Cg008G2952600, Cg008G2952800, Cg008G2950400, Cg008G2950200, Cg008G2950100	Aa_G736560.h2.t1, Aa_G736560.h1.t1
OG0000283	Cg007G2481000, Cg004G1350900	Aa_G298720.h1.t1, Aa_G484440.h1.t1, Aa_G654900.h1.t1
OG0000284	Cg005G1669400, Cg004G1304800, Cg003G0797700, Cg002G0455700, Cg004G1433800, Cg002G0598700, Cg001G0028400, Cg006G1870000, Cg003G0941700, Cg001G0282200, Cg001G0383900, Cg006G1945100, Cg008G2850200, Cg005G1660200	Aa_G13620.h1.t1
OG0000285	Cg001G0190700	Aa_G58940.h1.t1
OG0000285	Cg001G0130400	Aa_G438370.h1.t1
OG0000286	Cg006G1979100	Aa_G340620.h1.t1
OG0000289	Cg005G1600000	Aa_G201920.h1.t1, Aa_G183780.h1.t1, Aa_G208770.h1.t1, Aa_G258130.h1.t1
OG0000290	Cg007G2262300	Aa_G135600.h1.t1
OG0000291	Cg004G1343900, Cg004G1343800, Cg004G1343500	Aa_G136630.h1.t1
OG0000295	Cg004G1173400, Cg004G1317000	Aa_G285200.h1.t1
OG0000296	Cg008G2982100, Cg003G0982000, Cg003G0887600	Aa_G650690.h1.t1, Aa_G650690.h2.t1
OG0000296	Cg003G0978500, Cg003G0978400	Aa_G848610.h1.t1
OG0000298	Cg006G1935400	Aa_G260280.h1.t1
OG0000301	Cg005G1482700	Aa_G553550.h1.t1
OG0000304	Cg005G1526200	Aa_G728720.h1.t1
OG0000305	Cg005G1528100	Aa_G431220.h1.t1
OG0000307	Cg004G1326000, Cg004G1326100	Aa_G292060.h1.t1, Aa_G168750.h1.t1
OG0000308	Cg008G2928800, Cg008G2929000, Cg008G2928900	Aa_G219510.h1.t1, Aa_G219520.h1.t1, Aa_G520320.h1.t1, Aa_G520310.h1.t1
OG0000312	Cg001G0335800, Cg006G1899900	Aa_G466720.h1.t1, Aa_G173790.h1.t1, Aa_G918570.h1.t1, Aa_G972050.h1.t1, Aa_G3600.h1.t1, Aa_G187370.h1.t1, Aa_G477210.h1.t1, Aa_G120370.h1.t1, Aa_G413880.h1.t1
OG0000315	Cg004G1324900, Cg004G1325300	Aa_G132580.h1.t1
OG0000316	Cg007G2430900	Aa_G140370.h1.t1
OG0000318	Cg007G2467300	Aa_G293710.h1.t1, Aa_G265690.h1.t1
OG0000318	Cg006G2217500	Aa_G286220.h1.t1, Aa_G286200.h1.t1
OG0000321	Cg004G1262800, Cg006G1832400	Aa_G180990.h2.t1, Aa_G164530.h2.t1, Aa_G180990.h1.t1, Aa_G164530.h1.t1
OG0000322	Cg003G0970300	Aa_G541100.h1.t1, Aa_G541110.h1.t1
OG0000323	Cg007G2498700	Aa_G366540.h1.t1
OG0000323	Cg007G2499000	Aa_G10250.h1.t1
OG0000325	Cg006G2219100	Aa_G477760.h1.t1
OG0000325	Cg006G2219000	Aa_G477770.h1.t1
OG0000325	Cg005G1602100	Aa_G183680.h1.t1
OG0000330	Cg007G2499300	Aa_G10210.h1.t1
OG0000330	Cg006G2088700	Aa_G278470.h1.t1
OG0000331	Cg014G3041700, Cg003G0713900	Aa_G46660.h1.t1
OG0000331	Cg006G2241100	Aa_G6420.h1.t1
OG0000331	Cg004G1239000	Aa_G53610.h1.t1
OG0000331	Cg005G1565200	Aa_G159770.h1.t1
OG0000331	Cg005G1458200	Aa_G593400.h1.t1
OG0000332	Cg007G2289700, Cg007G2290000, Cg007G2289800, Cg007G2289200	Aa_G589850.h1.t1
OG0000336	Cg007G2323200	Aa_G229600.h1.t1
OG0000341	Cg006G1845700, Cg006G1845600	Aa_G255150.h1.t1, Aa_G184290.h1.t1
OG0000342	Cg004G1240600	Aa_G71220.h1.t1
OG0000344	Cg004G1369200	Aa_G535390.h1.t1
OG0000344	Cg007G2310400, Cg008G2923600, Cg001G0384600	Aa_G542150.h1.t1
OG0000345	Cg006G2224300	Aa_G341210.h1.t1
OG0000346	Cg002G0494100	Aa_G14260.h1.t1
OG0000346	Cg002G0494000	Aa_G14220.h1.t1
OG0000347	Cg005G1469700	Aa_G17010.h1.t1
OG0000347	Cg001G0169800	Aa_G439790.h1.t1
OG0000347	Cg006G2250500	Aa_G291140.h1.t1
OG0000349	Cg003G0987100, Cg003G0987200	Aa_G550840.h1.t1, Aa_G550830.h1.t1
OG0000355	Cg003G0995200	Aa_G338300.h1.t1
OG0000356	Cg005G1740400	Aa_G559030.h1.t1
OG0000357	Cg006G1975000, Cg006G1975200, Cg006G1975100, Cg005G1588800	Aa_G248920.h1.t1, Aa_G248930.h1.t1
