Orthogroup	Cardamine_glauca	Conringia_planisiliqua
OG0000058	Cg005G1665800, Cg002G0608700, Cg004G1336800, Cg005G1744500, Cg008G2877000, Cg001G0339300	CP13_g20701_DN3_SP0_c.t1
OG0000059	Cg008G2824900, Cg001G0300100, Cg001G0266200, Cg004G1243400, Cg007G2336400	CP1_g38971_DN3_SP0_c.t1, CP20_g3949_DN2_SP0_c.t1
OG0000059	Cg003G0778100	CP22_g17654_DN3_SP0_c.t1, CP4_g26576_DN3_SP0_c.t1
OG0000060	Cg005G1647300, Cg003G0987300	CP8_g52772_DN3_SP0_c.t1
OG0000063	Cg001G0369100	CP14_g23881_DN1_SP0_c.t1, CP1_g39921_DN2_SP0_c.t1, CP1_g40425_DN2_SP0_c.t1
OG0000063	Cg001G0313600	CP3_g16302_DN1_SP0_c.t1, CP15_g34932_DN2_SP0_c.t1
OG0000064	Cg003G0987600	CP18_g12051_DN1_SP0_c.t1
OG0000065	Cg007G2434500	CP9_g28234_DN3_SP0_c.t1
OG0000065	Cg003G0889600	CP5_g1580_DN2_SP0_c.t1
OG0000066	Cg008G2671100, Cg003G1045600	CP4_g25642_DN3_SP0_c.t1
OG0000066	Cg003G1045700, Cg008G2671000	CP2_g49425_DN3_SP0_c.t1
OG0000067	Cg004G1439200	CP17_g5644_DN3_SP0_c.t1, CP17_g5532_DN2_SP0_c.t1
OG0000068	Cg008G2597800, Cg002G0415500, Cg008G2596900, Cg004G1419400	CP12_g31237_DN3_SP0_c.t1
OG0000070	Cg006G2161100, Cg002G0680500	CP17_g5790_DN3_SP0_c.t1
OG0000070	Cg006G2064200	CP7_g45746_DN3_SP0_c.t1
OG0000070	Cg006G1844100, Cg006G1844000, Cg006G1844200, Cg006G1840200, Cg006G1844300	CP1_g38202_DN3_SP0_c.t1, CP1_g38197_DN2_SP0_c.t1
OG0000071	Cg001G0318200	CP3_g16619_DN1_SP0_c.t1, CP3_g16333_DN3_SP0_c.t1, CP6_g9846_DN2_SP0_c.t1, CP24_g47456_DN2_SP0_c.t1, CP3_g16462_DN1_SP0_c.t1, CP115_g10367_DN3_SP0_c.t1, CP23_g21696_DN3_SP0_c.t1, CP23_g21502_DN2_SP0_c.t1, CP23_g21555_DN3_SP0_c.t1, CP6_g9555_DN1_SP0_c.t1, CP1_g40606_DN2_SP0_c.t1, CP4_g26744_DN1_SP0_c.t1, CP3_g16695_DN3_SP0_c.t1, CP7_g44268_DN3_SP0_c.t1, CP1_g39648_DN2_SP0_c.t1, CP6_g8451_DN1_SP0_c.t1, CP1_g40521_DN1_SP0_c.t1, CP18_g11519_DN1_SP0_c.t1, CP23_g21357_DN2_SP0_c.t1, CP5_g3440_DN1_SP0_c.t1, CP15_g34513_DN2_SP0_c.t1, CP26_g51317_DN2_SP0_c.t1, CP28_g33833_DN1_SP0_c.t1, CP6_g8728_DN2_SP0_c.t1, CP4_g26876_DN1_SP0_c.t1, CP4_g26910_DN1_SP0_c.t1, CP14_g23736_DN1_SP0_c.t1, CP24_g46927_DN1_SP0_c.t1, CP1_g40605_DN1_SP0_c.t1, CP17_g6001_DN3_SP0_c.t1, CP27_g41707_DN1_SP0_c.t1, CP9_g27712_DN2_SP0_c.t1, CP23_g21843_DN2_SP0_c.t1, CP2_g50822_DN2_SP0_c.t1, CP24_g46923_DN2_SP0_c.t1, CP12_g31512_DN1_SP0_c.t1, CP1_g40873_DN3_SP0_c.t1, CP2_g49946_DN1_SP0_c.t1, CP15_g35221_DN2_SP0_c.t1, CP15_g34512_DN1_SP0_c.t1, CP26_g51155_DN2_SP0_c.t1, CP30_g10324_DN3_SP0_c.t1, CP9_g27711_DN1_SP0_c.t1, CP34_g51576_DN1_SP0_c.t1, CP17_g6347_DN1_SP0_c.t1, CP23_g21393_DN1_SP0_c.t1, CP27_g41708_DN1_SP0_c.t1, CP13_g20649_DN2_SP0_c.t1, CP17_g6051_DN2_SP0_c.t1, CP3_g16414_DN1_SP0_c.t1, CP15_g36154_DN2_SP0_c.t1, CP18_g11409_DN1_SP0_c.t1, CP54_g29791_DN2_SP0_c.t1, CP2_g50145_DN1_SP0_c.t1, CP6_g8932_DN3_SP0_c.t1, CP28_g33832_DN1_SP0_c.t1, CP15_g35840_DN1_SP0_c.t1, CP3_g16318_DN3_SP0_c.t1, CP2_g50220_DN2_SP0_c.t1, CP173_g41476_DN1_SP0_c.t1, CP3_g15436_DN1_SP0_c.t1, CP23_g21355_DN2_SP0_c.t1, CP1_g40044_DN1_SP0_c.t1, CP15_g34726_DN2_SP0_c.t1, CP6_g9484_DN3_SP0_c.t1, CP18_g11594_DN2_SP0_c.t1, CP28_g33994_DN1_SP0_c.t1, CP1_g40514_DN1_SP0_c.t1, CP1_g40977_DN1_SP0_c.t1, CP3_g16372_DN1_SP0_c.t1, CP4_g26948_DN1_SP0_c.t1, CP6_g8456_DN2_SP0_c.t1, CP17_g6236_DN2_SP0_c.t1, CP18_g11550_DN1_SP0_c.t1, CP14_g23735_DN2_SP0_c.t1, CP14_g23737_DN1_SP0_c.t1, CP6_g8872_DN2_SP0_c.t1, CP42_g27290_DN1_SP0_c.t1, CP1_g40666_DN2_SP0_c.t1, CP36_g50992_DN1_SP0_c.t1, CP31_g46786_DN1_SP0_c.t1, CP30_g10255_DN2_SP0_c.t1, CP2_g49765_DN2_SP0_c.t1, CP3_g16676_DN1_SP0_c.t1, CP17_g6346_DN1_SP0_c.t1, CP6_g9363_DN2_SP0_c.t1, CP33_g3572_DN1_SP0_c.t1, CP23_g21392_DN1_SP0_c.t1, CP8_g52307_DN1_SP0_c.t1, CP1_g39649_DN1_SP0_c.t1, CP26_g51154_DN2_SP0_c.t1, CP3_g16743_DN1_SP0_c.t1, CP2_g50219_DN1_SP0_c.t1, CP1_g40522_DN3_SP0_c.t1, CP76_g27105_DN2_SP0_c.t1, CP76_g27139_DN2_SP0_c.t1, CP14_g22971_DN2_SP0_c.t1, CP17_g6229_DN2_SP0_c.t1, CP18_g11710_DN1_SP0_c.t1, CP17_g6200_DN1_SP0_c.t1, CP35_g52041_DN1_SP0_c.t1, CP3_g16147_DN1_SP0_c.t1, CP14_g23560_DN1_SP0_c.t1, CP23_g21362_DN2_SP0_c.t1, CP29_g22023_DN2_SP0_c.t1, CP1_g40045_DN1_SP0_c.t1, CP9_g27602_DN1_SP0_c.t1, CP1_g39302_DN3_SP0_c.t1, CP3_g16309_DN3_SP0_c.t1, CP2_g50628_DN3_SP0_c.t1, CP1_g39393_DN2_SP0_c.t1, CP4_g26566_DN2_SP0_c.t1, CP28_g33789_DN3_SP0_c.t1, CP6_g9762_DN2_SP0_c.t1, CP18_g11595_DN2_SP0_c.t1, CP8_g52493_DN1_SP0_c.t1, CP3_g15514_DN2_SP0_c.t1, CP14_g23290_DN3_SP0_c.t1, CP15_g35072_DN1_SP0_c.t1, CP18_g11551_DN2_SP0_c.t1, CP7_g44105_DN2_SP0_c.t1, CP18_g12096_DN1_SP0_c.t1, CP6_g8880_DN3_SP0_c.t1, CP59_g6671_DN2_SP0_c.t1, CP33_g3690_DN2_SP0_c.t1, CP17_g6078_DN2_SP0_c.t1, CP28_g33906_DN3_SP0_c.t1, CP1_g38708_DN2_SP0_c.t1, CP17_g4943_DN2_SP0_c.t1, CP15_g34966_DN2_SP0_c.t1, CP17_g5792_DN2_SP0_c.t1, CP2_g50559_DN2_SP0_c.t1, CP27_g41904_DN3_SP0_c.t1, CP23_g21444_DN1_SP0_c.t1, CP3_g16691_DN2_SP0_c.t1, CP24_g46925_DN2_SP0_c.t1, CP8_g52481_DN1_SP0_c.t1, CP25_g56045_DN1_SP0_c.t1, CP1_g41197_DN1_SP0_c.t1, CP3_g16298_DN3_SP0_c.t1, CP12_g31246_DN1_SP0_c.t1, CP36_g50991_DN1_SP0_c.t1, CP17_g6170_DN1_SP0_c.t1, CP7_g44203_DN3_SP0_c.t1, CP42_g27289_DN1_SP0_c.t1, CP58_g46888_DN2_SP0_c.t1, CP115_g10368_DN2_SP0_c.t1, CP23_g21778_DN3_SP0_c.t1, CP23_g21695_DN2_SP0_c.t1, CP23_g21554_DN2_SP0_c.t1, CP8_g52401_DN1_SP0_c.t1, CP16_g55548_DN2_SP0_c.t1, CP12_g31381_DN1_SP0_c.t1, CP14_g23719_DN1_SP0_c.t1, CP12_g31502_DN3_SP0_c.t1, CP3_g16685_DN2_SP0_c.t1, CP35_g52067_DN2_SP0_c.t1, CP2_g50175_DN1_SP0_c.t1, CP2_g50396_DN3_SP0_c.t1, CP23_g21501_DN1_SP0_c.t1, CP4_g26743_DN3_SP0_c.t1, CP15_g35021_DN1_SP0_c.t1, CP18_g11709_DN2_SP0_c.t1, CP1_g40515_DN2_SP0_c.t1, CP3_g16620_DN1_SP0_c.t1, CP123_g34273_DN2_SP0_c.t1, CP2_g49947_DN1_SP0_c.t1, CP17_g6138_DN1_SP0_c.t1, CP17_g6088_DN2_SP0_c.t1, CP17_g6186_DN1_SP0_c.t1, CP17_g6211_DN3_SP0_c.t1, CP17_g6185_DN1_SP0_c.t1, CP24_g47238_DN2_SP0_c.t1, CP24_g47455_DN2_SP0_c.t1, CP24_g46926_DN1_SP0_c.t1, CP3_g16722_DN1_SP0_c.t1, CP5_g3439_DN1_SP0_c.t1, CP1_g40717_DN2_SP0_c.t1, CP15_g34454_DN2_SP0_c.t1, CP21_g11154_DN2_SP0_c.t1, CP24_g47303_DN2_SP0_c.t1, CP27_g41721_DN1_SP0_c.t1, CP15_g34789_DN1_SP0_c.t1, CP31_g46785_DN1_SP0_c.t1, CP17_g6169_DN2_SP0_c.t1, CP76_g27104_DN3_SP0_c.t1, CP23_g21842_DN2_SP0_c.t1, CP76_g27138_DN2_SP0_c.t1, CP23_g21658_DN2_SP0_c.t1, CP23_g21727_DN3_SP0_c.t1, CP115_g10352_DN2_SP0_c.t1, CP139_g3464_DN2_SP0_c.t1, CP3_g16297_DN3_SP0_c.t1, CP27_g41720_DN1_SP0_c.t1, CP15_g35222_DN2_SP0_c.t1, CP23_g21356_DN1_SP0_c.t1, CP27_g41717_DN2_SP0_c.t1, CP14_g23788_DN1_SP0_c.t1, CP1_g41263_DN2_SP0_c.t1, CP1_g40399_DN2_SP0_c.t1, CP17_g6199_DN1_SP0_c.t1, CP6_g9761_DN3_SP0_c.t1, CP1_g40976_DN2_SP0_c.t1, CP15_g34514_DN3_SP0_c.t1, CP1_g40947_DN2_SP0_c.t1, CP6_g8723_DN1_SP0_c.t1, CP6_g8704_DN1_SP0_c.t1, CP3_g15941_DN2_SP0_c.t1, CP69_g34229_DN2_SP0_c.t1, CP3_g16319_DN1_SP0_c.t1, CP28_g33905_DN2_SP0_c.t1, CP2_g50558_DN2_SP0_c.t1, CP3_g15933_DN1_SP0_c.t1, CP1_g39456_DN2_SP0_c.t1, CP3_g16677_DN1_SP0_c.t1, CP173_g41480_DN1_SP0_c.t1, CP2_g50118_DN3_SP0_c.t1, CP2_g50144_DN1_SP0_c.t1, CP7_g44201_DN2_SP0_c.t1, CP9_g27709_DN1_SP0_c.t1, CP23_g21441_DN1_SP0_c.t1, CP8_g52402_DN1_SP0_c.t1, CP31_g46784_DN2_SP0_c.t1, CP25_g55762_DN3_SP0_c.t1, CP2_g50629_DN2_SP0_c.t1, CP8_g52263_DN2_SP0_c.t1, CP8_g52264_DN1_SP0_c.t1, CP6_g9554_DN1_SP0_c.t1, CP27_g41706_DN1_SP0_c.t1, CP17_g6115_DN1_SP0_c.t1, CP26_g51153_DN2_SP0_c.t1, CP12_g30951_DN3_SP0_c.t1, CP17_g6302_DN3_SP0_c.t1, CP1_g39447_DN2_SP0_c.t1, CP36_g50993_DN3_SP0_c.t1, CP16_g55549_DN3_SP0_c.t1, CP18_g11756_DN2_SP0_c.t1, CP1_g40842_DN3_SP0_c.t1, CP2_g50218_DN2_SP0_c.t1, CP17_g6228_DN3_SP0_c.t1, CP24_g47239_DN2_SP0_c.t1
OG0000072	Cg006G1870600, Cg007G2425100	CP9_g27806_DN2_SP0_c.t1, CP6_g8758_DN1_SP0_c.t1, CP6_g9757_DN2_SP0_c.t1
OG0000072	Cg007G2400700, Cg007G2408800	CP2_g49697_DN3_SP0_c.t1
OG0000072	Cg005G1665600	CP22_g17290_DN2_SP0_c.t1, CP3_g16601_DN1_SP0_c.t1, CP12_g31150_DN2_SP0_c.t1
OG0000076	Cg001G0007600	CP5_g77_DN1_SP0_c.t1
OG0000076	Cg005G1594800	CP4_g25364_DN3_SP0_c.t1
OG0000076	Cg008G2983800	CP8_g53270_DN3_SP0_c.t1, CP20_g3903_DN2_SP0_c.t1
OG0000077	Cg005G1775900, Cg003G0758200	CP13_g20036_DN3_SP0_c.t1, CP13_g20034_DN3_SP0_c.t1
OG0000077	Cg007G2324000	CP2_g49683_DN2_SP0_c.t1
OG0000077	Cg002G0679000, Cg002G0679200, Cg002G0679300	CP13_g19516_DN3_SP0_c.t1
OG0000077	Cg008G2956300	CP13_g20039_DN3_SP0_c.t1
OG0000078	Cg004G1099800	CP10_g42378_DN2_SP0_c.t1
OG0000078	Cg004G1099900	CP10_g42381_DN3_SP0_c.t1
OG0000082	Cg002G0616100	CP15_g35761_DN3_SP0_c.t1, CP1_g38899_DN2_SP0_c.t1, CP3_g15632_DN1_SP0_c.t1, CP1_g41005_DN2_SP0_c.t1, CP2_g49995_DN3_SP0_c.t1, CP23_g21380_DN2_SP0_c.t1
OG0000082	Cg003G0760400	CP9_g27552_DN2_SP0_c.t1
OG0000083	Cg002G0678700	CP14_g23213_DN2_SP0_c.t1, CP23_g21372_DN1_SP0_c.t1, CP2_g49795_DN1_SP0_c.t1, CP14_g23210_DN2_SP0_c.t1, CP23_g21373_DN1_SP0_c.t1, CP14_g23271_DN2_SP0_c.t1
OG0000084	Cg006G1901600	CP2_g49793_DN2_SP0_c.t1, CP23_g21369_DN1_SP0_c.t1, CP5_g3262_DN3_SP0_c.t1, CP37_g11372_DN1_SP0_c.t1
OG0000084	Cg006G1886500, Cg006G1886000	CP1_g41162_DN3_SP0_c.t1
OG0000084	Cg003G0875600	CP3_g15485_DN3_SP0_c.t1, CP15_g36117_DN3_SP0_c.t1
OG0000084	Cg014G3052300, Cg004G1424800, Cg005G1657000	CP94_g6387_DN3_SP0_c.t1
OG0000086	Cg001G0341500	CP271_g11211_DN3_SP0_c.t1, CP45_g22371_DN3_SP0_c.t1, CP20_g3814_DN1_SP0_c.t1, CP45_g22369_DN3_SP0_c.t1, CP5_g1838_DN3_SP0_c.t1
OG0000089	Cg008G2794800	CP2_g48308_DN3_SP8_c.t1
OG0000089	Cg003G1017300	CP2_g48035_DN3_SP7_c.t1
OG0000089	Cg002G0558400	CP3_g14713_DN3_SP4_c.t1
OG0000089	Cg005G1638200	CP4_g25793_DN3_SP8_c.t1
OG0000089	Cg008G2689500	CP11_g32707_DN3_SP8_c.t1
OG0000089	Cg008G2943700	CP13_g20168_DN3_SP8_c.t1
OG0000089	Cg001G0195600	CP6_g6768_DN3_SP8_c.t1
OG0000089	Cg005G1585200	CP4_g25265_DN3_SP6_c.t1
OG0000089	Cg007G2528700	CP9_g29223_DN3_SP8_c.t1
OG0000090	Cg002G0596500	CP12_g31526_DN2_SP0_c.t1, CP3_g16074_DN2_SP0_c.t1, CP23_g21807_DN1_SP0_c.t1, CP23_g21612_DN3_SP0_c.t1, CP13_g20624_DN2_SP0_c.t1
OG0000090	Cg005G1668200, Cg005G1727600, Cg004G1388300, Cg006G1926600	CP9_g27951_DN2_SP0_c.t1, CP3_g16738_DN1_SP0_c.t1, CP26_g51159_DN1_SP0_c.t1, CP3_g14976_DN2_SP0_c.t1, CP3_g15613_DN2_SP0_c.t1, CP2_g50412_DN2_SP0_c.t1, CP15_g34622_DN2_SP0_c.t1, CP15_g34582_DN1_SP0_c.t1, CP15_g34635_DN1_SP0_c.t1, CP15_g34653_DN3_SP0_c.t1, CP15_g34595_DN2_SP0_c.t1
OG0000090	Cg008G2920500	CP12_g31417_DN2_SP0_c.t1
OG0000090	Cg005G1727500	CP12_g31050_DN2_SP0_c.t1, CP1_g40029_DN1_SP0_c.t1, CP3_g14975_DN3_SP0_c.t1, CP3_g16737_DN2_SP0_c.t1
OG0000095	Cg005G1739400	CP16_g55163_DN2_SP0_c.t1
OG0000096	Cg001G0384700	CP12_g30984_DN3_SP0_c.t1, CP12_g30986_DN3_SP0_c.t1, CP12_g30930_DN3_SP0_c.t1
OG0000098	Cg004G1351900	CP17_g5784_DN1_SP0_c.t1
OG0000100	Cg007G2289500	CP2_g48895_DN3_SP0_c.t1
OG0000101	Cg007G2332400	CP22_g17341_DN3_SP0_c.t1
OG0000107	Cg005G1681600	CP7_g44362_DN3_SP0_c.t1, CP7_g44349_DN3_SP0_c.t1
OG0000111	Cg002G0508300, Cg002G0508200, Cg006G1938400	CP6_g7513_DN2_SP0_c.t1, CP3_g14874_DN2_SP0_c.t1
OG0000115	Cg006G1927900, Cg008G2910800	CP29_g22137_DN2_SP0_c.t1
OG0000115	Cg008G2902800, Cg008G2902900	CP29_g22135_DN2_SP0_c.t1
OG0000116	Cg008G2902500, Cg008G2949800, Cg008G2949700, Cg008G2902600	CP8_g52858_DN3_SP0_c.t1
OG0000116	Cg001G0293300, Cg001G0282800	CP25_g55998_DN3_SP0_c.t1
OG0000117	Cg006G2031100	CP7_g45431_DN3_SP0_c.t1
OG0000117	Cg006G2029800	CP7_g45420_DN3_SP0_c.t1
OG0000117	Cg006G2029400	CP7_g45419_DN3_SP0_c.t1
OG0000117	Cg006G2030600	CP7_g45418_DN3_SP0_c.t1
OG0000120	Cg002G0560700, Cg001G0267600, Cg008G2916400, Cg008G2816800, Cg007G2484100, Cg006G2020800, Cg004G1078700, Cg007G2342500	CP22_g17665_DN2_SP0_c.t1
OG0000121	Cg007G2421400, Cg006G1860400	CP15_g35834_DN3_SP0_c.t1
OG0000121	Cg008G2905000	CP17_g5913_DN2_SP0_c.t1, CP17_g5918_DN2_SP0_c.t1
OG0000122	Cg003G0800700	CP8_g53627_DN3_SP0_c.t1
OG0000124	Cg001G0298900	CP3_g15146_DN2_SP0_c.t1, CP16_g55232_DN1_SP0_c.t1, CP7_g44117_DN2_SP0_c.t1, CP8_g52433_DN1_SP0_c.t1, CP45_g22346_DN2_SP0_c.t1, CP1_g39023_DN1_SP0_c.t1, CP6_g9629_DN2_SP0_c.t1, CP92_g51792_DN1_SP0_c.t1, CP6_g8263_DN1_SP0_c.t1, CP14_g23406_DN1_SP0_c.t1, CP5_g3274_DN3_SP0_c.t1, CP16_g55714_DN1_SP0_c.t1, CP18_g12101_DN3_SP0_c.t1, CP14_g23405_DN1_SP0_c.t1
OG0000125	Cg005G1644900	CP4_g25846_DN3_SP0_c.t1
OG0000127	Cg008G2786000	CP8_g54114_DN3_SP0_c.t1
OG0000127	Cg002G0489900	CP4_g24986_DN3_SP0_c.t1, CP3_g13990_DN2_SP0_c.t1
OG0000127	Cg003G0989900	CP8_g54018_DN3_SP0_c.t1
OG0000127	Cg002G0569500, Cg002G0569100	CP3_g14833_DN3_SP0_c.t1
OG0000127	Cg005G1647800	CP4_g25869_DN3_SP0_c.t1
OG0000128	Cg002G0434600	CP3_g13458_DN3_SP0_c.t1
OG0000129	Cg007G2357000	CP10_g42426_DN3_SP0_c.t1, CP14_g22722_DN3_SP0_c.t1
OG0000129	Cg007G2390100	CP9_g27597_DN3_SP0_c.t1, CP10_g43808_DN3_SP0_c.t1
OG0000129	Cg003G1010100, Cg003G1010200, Cg003G1010000, Cg005G1662800, Cg005G1661800, Cg005G1660700, Cg005G1661700, Cg003G0897000	CP2_g48114_DN3_SP0_c.t1
OG0000130	Cg008G2849000	CP22_g17175_DN1_SP0_c.t1, CP8_g54204_DN2_SP0_c.t1
OG0000130	Cg003G0796500, Cg002G0592800	CP2_g49700_DN3_SP0_c.t1
OG0000136	Cg001G0257000	CP2_g50566_DN1_SP0_c.t1
OG0000136	Cg008G2983700	CP15_g36148_DN1_SP0_c.t1
OG0000140	Cg003G0904200	CP2_g49134_DN3_SP0_c.t1, CP14_g23074_DN2_SP0_c.t1
OG0000140	Cg002G0686900	CP5_g2106_DN1_SP0_c.t1
OG0000140	Cg006G2087500	CP12_g31264_DN1_SP0_c.t1, CP12_g31008_DN1_SP0_c.t1
OG0000154	Cg001G0245400	CP6_g7266_DN3_SP0_c.t1
OG0000154	Cg006G1826400	CP1_g38028_DN2_SP0_c.t1
