Orthogroup	Cardamine_glauca	Alyssum_gmelinii
OG0000004	Cg004G1187900	Ag039G4237400, Ag015G2248700, Ag012G1335000, Ag008G0950900, Ag016G2280500, Ag002G0174700, Ag011G1226600, Ag034G4031200, Ag002G0145400, Ag002G0123900, Ag014G1970800, Ag068G5216500, Ag011G1178300, Ag031G3300400
OG0000004	Cg011G3014900, Cg001G0291700, Cg002G0631600, Cg001G0232800, Cg005G1551600	Ag066G5158800
OG0000005	Cg005G1502300	Ag013G1642000
OG0000005	Cg008G2853000, Cg008G2868800, Cg006G1917300	Ag042G4407900, Ag078G5366100
OG0000008	Cg002G0653600	Ag027G3054100
OG0000008	Cg002G0512100, Cg002G0565700	Ag001G0025300
OG0000009	Cg005G1728900	Ag078G5396800, Ag034G3985100, Ag014G2137100, Ag030G3127000
OG0000009	Cg008G2714900	Ag040G4348900, Ag088G5430700
OG0000009	Cg005G1711000	Ag055G4920300, Ag019G2551400
OG0000009	Cg005G1737500	Ag014G1796900, Ag018G2446400, Ag034G3932700, Ag042G4419400, Ag010G1025100
OG0000009	Cg005G1717900, Cg003G0717800, Cg005G1769300	Ag016G2319900, Ag025G2919200
OG0000011	Cg005G1679200	Ag027G3007700
OG0000015	Cg001G0251200	Ag034G3936100
OG0000015	Cg008G2857400	Ag058G4974300
OG0000018	Cg003G0814300	Ag007G0926800, Ag014G2174700, Ag054G4876900, Ag021G2605500, Ag075G5287400, Ag011G1256400, Ag025G2901700, Ag033G3478600, Ag014G1898500, Ag004G0480500, Ag004G0446600, Ag004G0716400, Ag024G2890600, Ag016G2280700, Ag004G0729200, Ag004G0729400, Ag004G0775100, Ag002G0196500, Ag014G2112900, Ag034G4006200, Ag014G2046300, Ag048G4699400, Ag031G3375000, Ag033G3505000, Ag067G5182000, Ag034G3751500, Ag013G1482900, Ag020G2558500, Ag034G3945000, Ag063G5069800, Ag016G2344300, Ag013G1402000, Ag016G2394800, Ag015G2197700, Ag044G4497700, Ag036G4103800, Ag001G0002700, Ag054G4885000, Ag020G2572000, Ag016G2390500, Ag031G3400200, Ag014G2174600, Ag004G0769100, Ag034G3891500, Ag064G5103000, Ag013G1384600, Ag074G5275600, Ag020G2558600
OG0000020	Cg004G1313600	Ag068G5227400
OG0000020	Cg008G2915200, Cg003G0729100	Ag039G4234300
OG0000021	Cg006G1871200, Cg003G0793000, Cg001G0263700, Cg003G0871900, Cg005G1666000, Cg006G1912000, Cg004G1333000, Cg003G0818700	Ag013G1488900, Ag031G3408800
OG0000022	Cg007G2258400	Ag024G2896000
OG0000022	Cg001G0385000	Ag006G0805800, Ag058G4977300, Ag022G2695300
OG0000022	Cg004G1232100	Ag014G2040000
OG0000023	Cg007G2371000	Ag013G1378800
OG0000023	Cg006G2067800	Ag054G4895500, Ag002G0253500
OG0000024	Cg001G0380300	Ag052G4846900
OG0000024	Cg006G1963900, Cg006G1963800, Cg002G0447000, Cg002G0448700	Ag013G1754200
OG0000025	Cg007G2444400	Ag015G2255100
OG0000025	Cg005G1690200, Cg004G1264500	Ag067G5188200, Ag030G3132300
OG0000027	Cg003G0758800, Cg003G0758600	Ag021G2619200
OG0000027	Cg003G0758500	Ag021G2619800
OG0000027	Cg001G0170600	Ag077G5324400
OG0000027	Cg003G0758900	Ag077G5325000, Ag033G3496200
OG0000027	Cg001G0172400	Ag093G5459600
OG0000027	Cg003G0757800	Ag021G2620200
OG0000027	Cg001G0171900	Ag093G5459100, Ag033G3498600, Ag002G0200100, Ag077G5325600
OG0000027	Cg001G0171600	Ag033G3496400
OG0000029	Cg007G2405400, Cg007G2364600, Cg001G0384100	Ag002G0180900, Ag022G2648100
OG0000030	Cg004G1270000, Cg004G1261500, Cg004G1264800	Ag014G2144800, Ag014G2145600, Ag014G2146200, Ag014G2146400, Ag014G2146900, Ag014G2147100, Ag014G2147000, Ag014G2146700, Ag014G2145800, Ag014G2145100, Ag014G2144300, Ag014G2147700
OG0000030	Cg006G1982700, Cg001G0286900	Ag014G1952600, Ag014G1958800, Ag014G1958700, Ag014G1965000, Ag042G4396900, Ag042G4397700, Ag042G4398200, Ag014G1952300, Ag014G1952400
OG0000030	Cg002G0532900	Ag014G2099300, Ag027G3062200, Ag014G1975300
OG0000031	Cg003G0842000	Ag014G2001300, Ag025G2974400, Ag067G5204400, Ag016G2379700, Ag064G5091800, Ag014G2046100, Ag002G0264600, Ag021G2582900, Ag026G3000600, Ag073G5260500, Ag034G3746100, Ag067G5192300, Ag030G3130300, Ag011G1132700, Ag003G0359800
OG0000032	Cg001G0339700	Ag005G0786000
OG0000034	Cg001G0172000	Ag093G5459200, Ag033G3498700
OG0000034	Cg001G0172200, Cg001G0172300	Ag093G5459500, Ag033G3498900
OG0000034	Cg001G0172500	Ag033G3477100, Ag052G4847100
OG0000034	Cg001G0190400, Cg001G0190500	Ag048G4579800
OG0000034	Cg001G0222900	Ag033G3500300, Ag093G5461000
OG0000034	Cg001G0170800	Ag033G3496000, Ag077G5324500
OG0000034	Cg001G0172700	Ag033G3500200, Ag093G5460400
OG0000038	Cg007G2341500	Ag013G1382300, Ag066G5165400
OG0000040	Cg008G2847500, Cg008G2862000	Ag031G3415700
OG0000040	Cg008G2847400, Cg008G2861900	Ag038G4173200
OG0000042	Cg013G3025700	Ag023G2817300, Ag039G4253700, Ag002G0154100
OG0000042	Cg007G2325300	Ag009G0976800, Ag006G0824100, Ag013G1471600
OG0000043	Cg002G0640800	Ag020G2574500
OG0000043	Cg003G0842100	Ag038G4145200
OG0000043	Cg007G2421300, Cg006G1860500	Ag014G1940100, Ag078G5353500, Ag027G3068600, Ag002G0228700, Ag011G1124700, Ag004G0651000, Ag003G0322200
OG0000043	Cg008G2905100	Ag019G2521200
OG0000044	Cg008G2973700	Ag016G2313400
OG0000046	Cg001G0284200	Ag019G2498100
OG0000050	Cg005G1710800	Ag002G0166000
OG0000050	Cg007G2389100, Cg006G1872200	Ag019G2535000, Ag013G1454200, Ag002G0129500, Ag014G1805000, Ag002G0202200, Ag015G2221900, Ag015G2264900, Ag025G2919100, Ag014G2113900
OG0000050	Cg002G0525300, Cg008G2715000, Cg001G0215700	Ag016G2298800, Ag034G3860900, Ag015G2213900, Ag020G2565400, Ag003G0365400, Ag022G2666500, Ag013G1429800, Ag023G2797800, Ag078G5357100, Ag088G5430600, Ag006G0803400, Ag034G3970700, Ag066G5153700
OG0000050	Cg006G1961200, Cg003G0717600	Ag031G3328800, Ag019G2527600, Ag020G2554600
OG0000050	Cg005G1737200	Ag027G3020100, Ag013G1440200, Ag022G2649500, Ag066G5147200, Ag001G0043200, Ag024G2885900
OG0000051	Cg006G2232100	Ag034G3687900
OG0000051	Cg005G1506300	Ag003G0386800
OG0000051	Cg013G3025800, Cg005G1600400	Ag003G0387400, Ag003G0387300, Ag003G0387500, Ag003G0387800, Ag003G0387600, Ag003G0387700
OG0000051	Cg005G1723400	Ag003G0385200, Ag003G0384600, Ag003G0385100, Ag003G0385000, Ag003G0384900
OG0000055	Cg004G1239300	Ag014G2041700
OG0000056	Cg002G0557700	Ag002G0180000
OG0000058	Cg005G1680800, Cg005G1670600, Cg002G0582900, Cg004G1300700, Cg006G1919800, Cg005G1665800, Cg002G0608700, Cg004G1336800, Cg005G1744500, Cg008G2877000, Cg001G0339300	Ag007G0902800, Ag002G0124000, Ag002G0117600, Ag027G3030700, Ag004G0691500
OG0000058	Cg007G2347400, Cg004G1359500, Cg004G1359600, Cg007G2327500, Cg002G0648900	Ag027G3040100, Ag048G4695000, Ag056G4940000
OG0000060	Cg003G0990300, Cg002G0570000	Ag013G1692700
OG0000060	Cg006G2185800	Ag004G0719000, Ag039G4308900
OG0000061	Cg004G1379900	Ag025G2916200, Ag025G2916400, Ag025G2916000, Ag025G2915500, Ag025G2917200, Ag025G2915700, Ag025G2913000, Ag002G0098300
OG0000061	Cg004G1382400, Cg004G1390200	Ag013G1477400, Ag013G1477100, Ag013G1476800
OG0000061	Cg005G1634900	Ag013G1627600
OG0000065	Cg007G2434500, Cg007G2434600, Cg007G2435800	Ag016G2372900, Ag016G2372400
OG0000066	Cg006G2172200, Cg008G2671100, Cg003G1045600	Ag004G0438400
OG0000066	Cg008G2671000	Ag034G3780100
OG0000066	Cg008G2677200, Cg001G0018800	Ag048G4702700
OG0000068	Cg008G2597800, Cg002G0415500, Cg008G2596900, Cg004G1419400	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900
OG0000068	Cg008G2928700	Ag013G1504700, Ag048G4718500
OG0000069	Cg007G2462800	Ag048G4643500
OG0000069	Cg007G2571800	Ag048G4574700, Ag048G4708100, Ag034G3920200, Ag048G4553800, Ag048G4563500
OG0000069	Cg001G0395000	Ag048G4644300, Ag048G4643100
OG0000070	Cg006G2161100, Cg002G0680500	Ag039G4215000
OG0000070	Cg006G2064200	Ag034G3976800
OG0000070	Cg001G0322900, Cg001G0323200, Cg007G2530800	Ag048G4685000
OG0000070	Cg006G1844100, Cg006G1844000, Cg006G1844200, Cg006G1840200, Cg006G1844300	Ag025G2960200, Ag025G2959800, Ag025G2962600, Ag025G2962700, Ag025G2947000, Ag025G2946300, Ag025G2959700, Ag025G2959400, Ag025G2974100, Ag025G2973400, Ag025G2973600, Ag025G2946200, Ag025G2946900
OG0000072	Cg006G1870600, Cg007G2425100	Ag051G4812200
OG0000072	Cg002G0615600, Cg003G0921700, Cg005G1721600, Cg006G1875000, Cg003G0891300, Cg006G1857400, Cg005G1716800, Cg005G1678100, Cg003G0771500, Cg003G0829500, Cg003G0793600, Cg004G1350300, Cg001G0334100	Ag039G4320700
OG0000072	Cg007G2400700, Cg007G2408800	Ag067G5173800, Ag020G2570900, Ag011G1215000, Ag022G2752500, Ag011G1246100, Ag001G0081500, Ag033G3527000, Ag011G1215100, Ag039G4238000, Ag055G4918900, Ag039G4305000, Ag068G5225100
OG0000072	Cg005G1665600	Ag002G0206800
OG0000074	Cg008G2873100	Ag004G0773100, Ag004G0661200, Ag029G3097800
OG0000075	Cg001G0013900	Ag021G2601300
OG0000075	Cg001G0013800	Ag011G1119800, Ag011G1120100, Ag011G1120000
OG0000076	Cg001G0007600	Ag011G1037000
OG0000076	Cg008G2983800	Ag031G3285200, Ag031G3285100, Ag031G3285000, Ag011G1144200, Ag011G1144100, Ag006G0793600, Ag011G1036500, Ag011G1036300, Ag006G0792700, Ag034G3899200, Ag034G3899100
OG0000076	Cg008G2963600	Ag013G1400700
OG0000077	Cg005G1775900, Cg003G0758200	Ag033G3566700
OG0000077	Cg002G0678300	Ag034G3937600, Ag034G3937000, Ag001G0019700, Ag025G2944900
OG0000077	Cg008G2956300	Ag006G0838600
OG0000078	Cg004G1099900	Ag014G1809300, Ag014G1810300
OG0000079	Cg004G1172300, Cg002G0672800	Ag013G1457500, Ag048G4621400, Ag034G3932500, Ag057G4952600, Ag031G3220200, Ag096G5473600, Ag004G0591700, Ag013G1365900, Ag011G1219700, Ag013G1389800, Ag004G0767900, Ag066G5147300
OG0000079	Cg010G2993500	Ag018G2444300, Ag022G2658800
OG0000080	Cg004G1172200	Ag052G4837300, Ag013G1389600, Ag039G4333600, Ag057G4952500, Ag013G1421000
OG0000080	Cg006G1882600	Ag025G2955200, Ag031G3220300, Ag042G4408900, Ag025G2921000, Ag024G2850500, Ag007G0892400, Ag014G1963800, Ag013G1458800, Ag031G3395500, Ag011G1186400, Ag048G4623700
OG0000081	Cg003G0774600, Cg008G2921900	Ag034G4022300
OG0000081	Cg007G2409600, Cg007G2443800	Ag013G1532900, Ag015G2210200, Ag033G3619800, Ag034G3937400, Ag066G5128300, Ag050G4763200, Ag033G3590000, Ag011G1174500
OG0000082	Cg002G0616100	Ag061G5051200
OG0000082	Cg003G0760400	Ag011G1180400, Ag011G1180800
OG0000083	Cg002G0678700	Ag011G1108800
OG0000083	Cg005G1676000	Ag001G0043300
OG0000084	Cg006G1901600	Ag087G5426100
OG0000084	Cg006G1886500, Cg006G1886000	Ag039G4295400
OG0000084	Cg014G3052300, Cg004G1424800, Cg005G1657000	Ag010G1007700
OG0000089	Cg008G2794800	Ag004G0519800
OG0000089	Cg002G0558400	Ag055G4906500, Ag004G0479400
OG0000089	Cg005G1638200	Ag013G1621300
OG0000089	Cg008G2689500	Ag013G1488000
OG0000089	Cg008G2943700	Ag016G2360800
OG0000089	Cg001G0195600	Ag033G3591100
OG0000089	Cg005G1585200	Ag023G2824600
OG0000089	Cg007G2528700	Ag048G4693300
OG0000090	Cg005G1668200, Cg005G1727600, Cg004G1388300, Cg006G1926600	Ag021G2604300, Ag013G1401800, Ag003G0404200
OG0000090	Cg008G2920500, Cg005G1727500, Cg002G0573100, Cg006G1912900	Ag013G1764600, Ag056G4937000, Ag003G0343600, Ag068G5212400, Ag002G0264300, Ag048G4621900, Ag019G2531000, Ag006G0823200, Ag013G1384300
OG0000091	Cg005G1672400	Ag039G4278700, Ag006G0816700
OG0000091	Cg001G0362300, Cg008G2769400	Ag004G0570300
OG0000095	Cg005G1739400	Ag039G4205200
OG0000096	Cg008G2960400, Cg001G0384700	Ag002G0154900
OG0000098	Cg004G1351900	Ag011G1254000, Ag011G1253500
OG0000098	Cg007G2258600, Cg007G2258500	Ag040G4345100
OG0000098	Cg008G2823500	Ag004G0482500, Ag004G0482700, Ag014G2044400
OG0000100	Cg007G2290800	Ag063G5086400, Ag002G0116500
OG0000101	Cg007G2332400	Ag037G4126400, Ag017G2433300, Ag013G1679700
OG0000102	Cg003G0864200, Cg003G0734200	Ag016G2365600
OG0000102	Cg003G0734600, Cg003G0863800	Ag016G2370600
OG0000102	Cg003G0863600, Cg003G0734800	Ag016G2392700, Ag016G2377000, Ag016G2370800
OG0000105	Cg007G2332200, Cg007G2332800	Ag002G0112600, Ag063G5086100, Ag002G0105600, Ag063G5086500, Ag024G2859800, Ag002G0126400, Ag002G0126500, Ag013G1589800, Ag002G0126800, Ag002G0105300, Ag002G0104800, Ag063G5087100, Ag025G2961900
OG0000106	Cg003G0970200	Ag048G4637400, Ag078G5354400
OG0000106	Cg007G2419200, Cg008G2833600	Ag014G1942900, Ag862G5518700, Ag001G0029000, Ag013G1729500, Ag034G3929600, Ag033G3563600, Ag006G0804600, Ag078G5342100, Ag006G0794900
OG0000107	Cg005G1681600	Ag014G1858900
OG0000107	Cg004G1267700	Ag014G2149500
OG0000107	Cg004G1267500	Ag014G2149100
OG0000107	Cg004G1267600	Ag014G2149200
OG0000108	Cg005G1557400	Ag031G3385800, Ag039G4307100
OG0000108	Cg003G0983900, Cg002G0564200	Ag004G0614200, Ag004G0644200
OG0000108	Cg004G1180800	Ag014G1944700
OG0000108	Cg008G2664600	Ag013G1537900
OG0000108	Cg004G1253800	Ag014G2095200
OG0000109	Cg008G2837900, Cg008G2837800	Ag029G3099600
OG0000115	Cg001G0196200, Cg006G1927900, Cg008G2910800	Ag032G3465800
OG0000115	Cg008G2902800, Cg008G2902900	Ag043G4458700
OG0000117	Cg006G2029700	Ag019G2506600, Ag018G2460700
OG0000117	Cg006G2029800	Ag018G2454400, Ag018G2459300
OG0000117	Cg006G2029600	Ag018G2459400
OG0000117	Cg006G2029400	Ag088G5431700
OG0000117	Cg006G2030600	Ag022G2713800, Ag018G2459500, Ag018G2459700, Ag078G5340800, Ag011G1218200, Ag033G3621900, Ag078G5340900
OG0000119	Cg002G0596700	Ag019G2548800, Ag013G1361500
OG0000119	Cg001G0041500, Cg002G0574600	Ag031G3224900
OG0000120	Cg008G2916400, Cg008G2816800, Cg007G2484100, Cg006G2020800, Cg004G1078700, Cg007G2342500	Ag001G0032000
OG0000121	Cg002G0640900, Cg004G1362200	Ag001G0038000, Ag013G1486800, Ag034G3979800, Ag075G5293000, Ag034G3918700, Ag012G1325100, Ag048G4615600, Ag022G2667600, Ag013G1657600, Ag033G3603300, Ag088G5429800, Ag004G0527800, Ag004G0752500, Ag032G3454000, Ag013G1348300, Ag034G4049200, Ag034G4062600, Ag013G1643800, Ag004G0663600, Ag011G1257700, Ag042G4409800, Ag050G4765300, Ag025G2939600, Ag033G3480100, Ag066G5155600, Ag048G4631500, Ag002G0194900, Ag039G4332100, Ag074G5275500, Ag013G1525700
OG0000121	Cg008G2905000	Ag038G4148800, Ag002G0147900
OG0000122	Cg003G0800700	Ag004G0718500
OG0000124	Cg001G0298900	Ag005G0788500, Ag031G3394500, Ag067G5193700, Ag049G4732800, Ag019G2494200
OG0000125	Cg005G1643500	Ag013G1613200
OG0000125	Cg005G1643700, Cg005G1643900	Ag013G1613100, Ag013G1613000
OG0000125	Cg005G1644900	Ag013G1612600
OG0000125	Cg006G2188500	Ag034G3743800
OG0000125	Cg006G1841400	Ag001G0065100
OG0000125	Cg006G1817000, Cg006G1816500	Ag001G0066100
OG0000125	Cg006G1816900, Cg006G1816400	Ag001G0065800
OG0000125	Cg004G1281100	Ag027G3062400
OG0000127	Cg006G2186100	Ag034G3746600
OG0000127	Cg008G2786000	Ag004G0605400
OG0000127	Cg002G0489900	Ag031G3386800, Ag039G4310500
OG0000127	Cg003G0989900, Cg002G0569500, Cg002G0569100, Cg005G1647800	Ag013G1609800
OG0000128	Cg002G0434200	Ag031G3245700, Ag031G3245600
OG0000128	Cg002G0434700	Ag031G3246800, Ag031G3247000, Ag031G3246900
OG0000128	Cg002G0434600	Ag031G3246700
OG0000129	Cg007G2357000	Ag013G1553100, Ag013G1550500, Ag013G1552900, Ag016G2401500, Ag013G1550300
OG0000129	Cg007G2393300, Cg007G2412500, Cg007G2396400	Ag013G1673500, Ag013G1673600
OG0000130	Cg003G0796500, Cg002G0592800	Ag074G5269900
OG0000136	Cg008G2983700	Ag014G2176200
OG0000137	Cg003G0942100	Ag004G0742000
OG0000137	Cg003G0942000	Ag004G0742300
OG0000137	Cg003G0941900	Ag004G0742500, Ag004G0742600
OG0000137	Cg003G0901200	Ag039G4193200
OG0000138	Cg002G0558300, Cg002G0563500	Ag031G3253700, Ag031G3403500
OG0000138	Cg002G0485200	Ag031G3182200, Ag031G3182000, Ag039G4256800
OG0000138	Cg007G2299300, Cg007G2299200, Cg008G2872200, Cg002G0573400, Cg007G2299500	Ag001G0033000, Ag001G0031700, Ag032G3458900, Ag001G0033100, Ag001G0032800, Ag001G0032400, Ag001G0031800, Ag001G0032900, Ag001G0031500, Ag001G0032500, Ag001G0031600, Ag001G0033500, Ag001G0033400
OG0000140	Cg002G0686900	Ag039G4233000
OG0000140	Cg006G2087500	Ag014G2136000
OG0000140	Cg003G0810900	Ag038G4173300, Ag022G2672800, Ag033G3478700
OG0000151	Cg002G0475200	Ag031G3356400
OG0000151	Cg002G0475300	Ag031G3356700
OG0000151	Cg005G1538800	Ag039G4248200
OG0000151	Cg002G0475400	Ag031G3356800
OG0000151	Cg002G0491600	Ag031G3389200
OG0000151	Cg005G1560100	Ag039G4314300
OG0000151	Cg008G2699500	Ag013G1463800
OG0000153	Cg005G1625900	Ag013G1616400
OG0000153	Cg005G1640700	Ag013G1615400
OG0000154	Cg006G1826100	Ag001G0045800
OG0000154	Cg001G0245400	Ag053G4872200
OG0000154	Cg006G1826000	Ag001G0045900
OG0000154	Cg006G1826400	Ag001G0045400, Ag001G0045500, Ag001G0045200, Ag001G0045100, Ag001G0045300, Ag001G0049100, Ag002G0262200
OG0000155	Cg009G2989400	Ag083G5410000, Ag013G1376100, Ag034G3868600, Ag022G2729400, Ag031G3154900, Ag013G1368700, Ag016G2361100, Ag067G5183100
OG0000155	Cg004G1360400, Cg001G0323500	Ag004G0633600
OG0000157	Cg006G1966900	Ag013G1573100, Ag013G1573300, Ag013G1572900, Ag013G1573200, Ag013G1510300, Ag013G1510500, Ag013G1510800, Ag013G1510100, Ag013G1750400, Ag013G1750900, Ag013G1750300, Ag013G1751200, Ag013G1750800, Ag013G1744300, Ag007G0933400, Ag022G2711500, Ag022G2708900, Ag013G1473500
OG0000158	Cg008G2596700	Ag014G2168100, Ag027G3073200, Ag027G3072400
OG0000158	Cg005G1695800	Ag014G1900800
OG0000159	Cg007G2460000	Ag002G0124600
OG0000160	Cg004G1426700	Ag042G4405700
OG0000160	Cg001G0100800	Ag068G5221600
OG0000160	Cg003G0963700	Ag004G0692900
OG0000160	Cg001G0307000	Ag007G0857500
OG0000160	Cg007G2573400	Ag048G4572800
OG0000162	Cg002G0675900, Cg002G0676200, Cg002G0676100	Ag011G1165200, Ag011G1165400, Ag011G1163300, Ag011G1163400, Ag011G1167300, Ag011G1167100, Ag011G1166900, Ag011G1222300
OG0000162	Cg004G1334900	Ag014G2098100
OG0000162	Cg005G1601400	Ag013G1672600
OG0000163	Cg007G2356000, Cg005G1702000	Ag042G4391500, Ag038G4161600
OG0000167	Cg004G1301000	Ag003G0383500, Ag003G0383700
OG0000170	Cg002G0419600	Ag031G3214600
OG0000171	Cg003G0916500	Ag020G2575200
OG0000171	Cg007G2262400	Ag024G2869500
OG0000171	Cg004G1402700	Ag044G4495800
OG0000171	Cg003G0949800	Ag004G0721800
OG0000171	Cg004G1146700	Ag014G1883300
OG0000171	Cg001G0123300	Ag010G1018000
OG0000173	Cg008G2861400, Cg008G2846800	Ag011G1033200, Ag011G1059500, Ag011G1063500, Ag011G1063400, Ag011G1063300
OG0000173	Cg001G0073600	Ag060G4997300, Ag060G4996700, Ag060G4997500, Ag060G4997700, Ag060G4996200, Ag060G4997100, Ag022G2648900, Ag022G2648400, Ag022G2648200, Ag067G5186700, Ag011G1085300
OG0000173	Cg002G0675000	Ag011G1199300
OG0000173	Cg001G0022300, Cg001G0022400	Ag033G3597600
OG0000174	Cg003G0887300, Cg005G1647500	Ag014G1989900, Ag018G2446300, Ag039G4332400, Ag034G3903300, Ag031G3411400, Ag027G3023200
OG0000174	Cg007G2342000, Cg002G0629800, Cg002G0560800, Cg001G0362900, Cg003G0991500, Cg001G0283900, Cg007G2346200	Ag064G5095900, Ag013G1514400, Ag004G0425200, Ag042G4401700, Ag072G5254600, Ag039G4257400, Ag014G1813500, Ag011G1172800
OG0000175	Cg006G2031400	Ag034G4063600
OG0000175	Cg008G2710700	Ag013G1441100
OG0000175	Cg002G0406800, Cg005G1457900	Ag003G0294400
OG0000176	Cg005G1747600	Ag014G1823200, Ag014G1822800, Ag014G1822900, Ag014G1823300, Ag014G1822700
OG0000177	Cg006G2054600, Cg006G2054300, Cg006G2054100	Ag034G3998900, Ag034G3998500, Ag034G3998600
OG0000177	Cg006G2054700	Ag034G3998400
OG0000178	Cg003G0742900, Cg003G0743000	Ag066G5142800
OG0000178	Cg006G1925200	Ag016G2366900, Ag016G2366600
OG0000178	Cg006G1925100	Ag016G2366000, Ag016G2366700
OG0000178	Cg003G0742300, Cg003G0802700, Cg003G0803500	Ag066G5144100, Ag066G5143400
OG0000182	Cg002G0405500, Cg002G0498500	Ag013G1406700
OG0000183	Cg001G0339800, Cg007G2426600	Ag061G5037800
OG0000183	Cg002G0456600, Cg005G1519300	Ag031G3311200
OG0000183	Cg005G1681400	Ag013G1588300
OG0000185	Cg004G1189300, Cg006G1989500	Ag032G3420100
OG0000186	Cg007G2287600	Ag031G3213700
OG0000187	Cg005G1635300, Cg005G1635400, Cg005G1634600, Cg005G1634500, Cg005G1635600, Cg005G1635200, Cg005G1635700, Cg005G1635500	Ag034G3783000
OG0000188	Cg004G1107000	Ag014G1820500, Ag014G1820600, Ag011G1195700
OG0000189	Cg004G1414100	Ag011G1112900
OG0000189	Cg007G2529500, Cg006G2064800	Ag048G4687900
OG0000191	Cg001G0299600	Ag015G2179600, Ag002G0173300, Ag047G4543700
OG0000191	Cg007G2389300, Cg007G2329300	Ag033G3514800, Ag031G3293800, Ag052G4855700, Ag004G0666500, Ag022G2668400, Ag011G1171900, Ag015G2179500, Ag002G0258300
OG0000193	Cg004G1230500	Ag014G2035100, Ag014G2034500, Ag014G2034300, Ag014G2034200
OG0000193	Cg006G1859600, Cg006G1859800, Cg006G1859900, Cg006G1859400	Ag014G2096100, Ag014G2096200, Ag014G2036800, Ag034G3813900
OG0000195	Cg004G1434800, Cg004G1435000, Cg004G1433700, Cg004G1435100, Cg004G1434700	Ag004G0622100
OG0000195	Cg003G0787700	Ag004G0630200
OG0000195	Cg003G0990000, Cg002G0555700	Ag004G0631000
OG0000196	Cg001G0388000, Cg001G0388200	Ag075G5300100, Ag011G1221400
OG0000197	Cg001G0339500	Ag001G0061800, Ag032G3452100, Ag033G3647000, Ag033G3646800
OG0000198	Cg002G0692800	Ag039G4275700
OG0000198	Cg006G2114000, Cg006G2113800, Cg006G2113700	Ag034G3875600
OG0000198	Cg002G0664200	Ag034G3844000, Ag033G3487200, Ag077G5316000
OG0000200	Cg006G2210500	Ag034G3715300, Ag034G3715100, Ag034G3715600
OG0000200	Cg006G2210600	Ag034G3715200, Ag034G3715500
OG0000200	Cg006G1857600, Cg006G1857700	Ag034G3715400
OG0000202	Cg003G0719400	Ag019G2492100
OG0000203	Cg002G0442000	Ag031G3304300
OG0000203	Cg002G0441400	Ag031G3270000
OG0000203	Cg002G0441500	Ag031G3270800
OG0000208	Cg005G1738400, Cg007G2356100, Cg005G1738000	Ag008G0951300, Ag029G3116900, Ag034G3931200, Ag013G1421500
OG0000209	Cg006G2154400, Cg006G2158500, Cg006G1924600, Cg006G2158400	Ag034G3863700
OG0000209	Cg008G2670300, Cg008G2670600, Cg008G2677700	Ag013G1527000, Ag013G1527200, Ag013G1526500
