Orthogroup	Cardamine_glauca	Euclidium_syriacum
OG0000021	Cg006G1871200, Cg003G0793000, Cg001G0263700, Cg003G0871900, Cg005G1666000	ESY2_g36897_DN3_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY4_g26006_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1
OG0000021	Cg006G1912000, Cg004G1333000	ESY9_g43840_DN2_SP0_c0.t1, ESY9_g43986_DN3_SP0_c0.t1
OG0000023	Cg003G0814800, Cg002G0614300, Cg003G0880200, Cg007G2371000, Cg003G0882200, Cg006G1902200, Cg003G1048300, Cg006G1990600, Cg003G0860500, Cg007G2541200, Cg014G3040300, Cg001G0296000	ESY11_g53222_DN2_SP0_c100.t1
OG0000024	Cg006G1959100, Cg006G1958900, Cg006G1959600, Cg006G1959000, Cg006G1959800, Cg006G1959300	ESY4_g26407_DN2_SP0_c0.t1, ESY4_g26408_DN1_SP0_c0.t1, ESY4_g26390_DN2_SP0_c0.t1
OG0000027	Cg001G0171700, Cg001G0171600	ESY9_g42607_DN2_SP0_c68.t1
OG0000028	Cg003G0981300	ESY3_g32269_DN2_SP0_c54.t1
OG0000028	Cg006G2183100	ESY20_g13267_DN3_SP0_c0.t1
OG0000028	Cg003G0941300	ESY4_g24911_DN2_SP0_c50.t1, ESY7_g18156_DN1_SP0_c46.t1
OG0000030	Cg004G1261500	ESY3_g29331_DN1_SP0_c0.t1, ESY3_g29330_DN1_SP0_c0.t1
OG0000030	Cg004G1264800	ESY3_g29344_DN3_SP0_c0.t1
OG0000030	Cg006G1982700	ESY4_g24700_DN2_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY5_g3539_DN1_SP0_c0.t1
OG0000030	Cg001G0286900	ESY9_g43210_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1
OG0000030	Cg002G0532900	ESY3_g29392_DN3_SP0_c0.t1
OG0000031	Cg003G0842000	ESY23_g31_DN2_SP0_c0.t1
OG0000040	Cg008G2847500, Cg008G2862000	ESY5_g2557_DN3_SP0_c0.t1
OG0000040	Cg008G2847400, Cg008G2861900	ESY7_g16531_DN2_SP0_c0.t1
OG0000041	Cg007G2434700	ESY6_g47885_DN2_SP0_c0.t1
OG0000041	Cg007G2348600	ESY21_g55401_DN3_SP0_c0.t1
OG0000041	Cg006G2127000	ESY1_g6062_DN3_SP0_c100.t1
OG0000042	Cg013G3025700	ESY11_g53669_DN2_SP0_c100.t1, ESY11_g52866_DN2_SP0_c100.t1
OG0000043	Cg014G3034000, Cg002G0640800, Cg003G0842100, Cg007G2421300, Cg006G1860500, Cg008G2905100	ESY4_g23863_DN2_SP0_c100.t1
OG0000044	Cg001G0233900	ESY10_g14634_DN3_SP0_c0.t1
OG0000044	Cg004G1386600	ESY4_g26811_DN2_SP0_c0.t1
OG0000046	Cg003G0881700	ESY5_g2589_DN3_SP0_c0.t1
OG0000046	Cg001G0284200	ESY14_g21426_DN1_SP0_c0.t1
OG0000050	Cg005G1710800	ESY7_g16182_DN3_SP0_c92.t1, ESY3_g28010_DN1_SP0_c0.t1, ESY7_g19195_DN2_SP0_c0.t1, ESY4_g22483_DN2_SP0_c0.t1
OG0000050	Cg007G2389100, Cg006G1872200	ESY11_g54389_DN1_SP0_c0.t1, ESY22_g40701_DN2_SP0_c0.t1
OG0000050	Cg002G0525300, Cg008G2715000, Cg001G0215700	ESY3_g27878_DN2_SP0_c0.t1
OG0000051	Cg006G2232100	ESY5_g5128_DN3_SP0_c0.t1
OG0000051	Cg005G1506300	ESY5_g5127_DN3_SP0_c0.t1
OG0000051	Cg013G3025800, Cg005G1600400	ESY12_g51336_DN3_SP0_c0.t1
OG0000051	Cg005G1723400	ESY5_g2706_DN3_SP0_c11.t1
OG0000051	Cg003G0782100	ESY12_g51338_DN3_SP0_c0.t1
OG0000052	Cg002G0501500	ESY1_g10445_DN3_SP0_c0.t1
OG0000055	Cg004G1287600	ESY9_g45399_DN1_SP0_c0.t1, ESY3_g30252_DN1_SP0_c0.t1
OG0000056	Cg007G2283600, Cg007G2285200	ESY2_g33771_DN2_SP0_c0.t1
OG0000056	Cg007G2283700	ESY2_g33665_DN2_SP0_c0.t1
OG0000056	Cg007G2283400	ESY3_g31641_DN1_SP0_c0.t1
OG0000056	Cg007G2284900, Cg007G2285100	ESY2_g33775_DN1_SP0_c0.t1
OG0000056	Cg002G0557700	ESY3_g31686_DN3_SP0_c0.t1, ESY2_g33671_DN2_SP0_c0.t1
OG0000058	Cg005G1680800, Cg005G1670600, Cg002G0582900, Cg004G1300700, Cg006G1919800, Cg005G1665800, Cg002G0608700, Cg004G1336800, Cg005G1744500, Cg008G2877000, Cg001G0339300, Cg007G2347400, Cg004G1359500, Cg004G1359600, Cg007G2327500, Cg002G0648900	ESY13_g56710_DN1_SP0_c0.t1
OG0000060	Cg005G1558200	ESY6_g48808_DN3_SP0_c0.t1
OG0000060	Cg003G0990300, Cg002G0570000	ESY8_g58878_DN3_SP0_c0.t1
OG0000060	Cg006G2185800	ESY5_g4464_DN2_SP0_c0.t1
OG0000061	Cg005G1631000	ESY10_g14355_DN2_SP0_c0.t1
OG0000063	Cg001G0369100, Cg001G0313600	ESY17_g40075_DN1_SP0_c10.t1
OG0000064	Cg003G0987600	ESY16_g62560_DN2_SP0_c0.t1
OG0000065	Cg003G0889600	ESY1_g11993_DN3_SP0_c13.t1
OG0000066	Cg003G1045600	ESY23_g163_DN2_SP0_c0.t1
OG0000066	Cg008G2671000	ESY11_g54349_DN3_SP0_c0.t1
OG0000066	Cg008G2677200, Cg001G0018800	ESY2_g36068_DN3_SP8_c0.t1
OG0000066	Cg006G2066700	ESY18_g62954_DN3_SP0_c77.t1
OG0000067	Cg004G1439200, Cg006G1886600	ESY3_g28898_DN3_SP0_c0.t1
OG0000068	Cg008G2597800, Cg002G0415500, Cg008G2596900, Cg004G1419400	ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14570_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1
OG0000068	Cg002G0693300, Cg008G2602600, Cg008G2600100	ESY6_g50195_DN3_SP0_c0.t1
OG0000069	Cg004G1201400	ESY10_g15831_DN1_SP0_c0.t1
OG0000070	Cg006G2161100	ESY10_g14297_DN3_SP0_c35.t1
OG0000070	Cg002G0680500	ESY3_g32095_DN2_SP0_c41.t1
OG0000070	Cg006G1844100, Cg006G1844000, Cg006G1844200, Cg006G1840200, Cg006G1844300	ESY2_g37816_DN3_SP0_c0.t1, ESY2_g37886_DN2_SP0_c0.t1
OG0000072	Cg006G1870600, Cg007G2425100	ESY7_g16117_DN2_SP0_c0.t1
OG0000072	Cg002G0615600, Cg003G0921700, Cg005G1721600, Cg006G1875000, Cg003G0891300, Cg006G1857400, Cg005G1716800, Cg005G1678100, Cg003G0771500, Cg003G0829500, Cg003G0793600, Cg004G1350300, Cg001G0334100	ESY9_g44874_DN3_SP0_c0.t1, ESY6_g47138_DN1_SP0_c0.t1, ESY21_g55397_DN2_SP0_c0.t1, ESY9_g44731_DN3_SP0_c0.t1
OG0000072	Cg007G2400700, Cg007G2408800	ESY2_g37912_DN2_SP0_c0.t1
OG0000072	Cg005G1665600	ESY15_g64467_DN1_SP0_c0.t1
OG0000075	Cg001G0013900	ESY5_g3131_DN2_SP0_c0.t1
OG0000076	Cg001G0007600	ESY4_g26855_DN3_SP0_c0.t1, ESY4_g26853_DN2_SP0_c0.t1
OG0000076	Cg008G2983800	ESY4_g26296_DN3_SP0_c0.t1, ESY6_g50580_DN1_SP0_c0.t1
OG0000076	Cg008G2963600	ESY4_g25261_DN2_SP0_c0.t1
OG0000077	Cg002G0679000	ESY7_g18827_DN2_SP0_c0.t1
OG0000079	Cg004G1172300, Cg002G0672800, Cg002G0570600, Cg010G2993500	ESY8_g59723_DN2_SP0_c0.t1
OG0000081	Cg007G2409600, Cg007G2443800	ESY17_g40277_DN2_SP0_c0.t1
OG0000082	Cg002G0616100	ESY3_g28725_DN2_SP0_c0.t1
OG0000082	Cg003G0760400	ESY11_g54332_DN2_SP0_c0.t1
OG0000084	Cg006G1901600	ESY6_g47811_DN1_SP0_c0.t1
OG0000084	Cg003G0875600	ESY9_g44313_DN1_SP0_c0.t1
OG0000086	Cg001G0341500	ESY8_g59458_DN3_SP0_c0.t1
OG0000086	Cg001G0342600	ESY7_g19367_DN1_SP0_c0.t1, ESY9_g43340_DN2_SP0_c0.t1, ESY9_g43341_DN3_SP0_c0.t1, ESY7_g19406_DN2_SP0_c0.t1, ESY7_g19368_DN2_SP0_c0.t1
OG0000089	Cg008G2794800	ESY6_g50131_DN3_SP8_c0.t1
OG0000089	Cg005G1638200	ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58770_DN3_SP0_c0.t1
OG0000089	Cg008G2689500	ESY7_g18326_DN3_SP8_c0.t1
OG0000089	Cg008G2943700	ESY7_g16559_DN3_SP8_c0.t1
OG0000089	Cg001G0195600	ESY9_g43361_DN3_SP8_c0.t1
OG0000089	Cg006G2065500	ESY5_g3995_DN3_SP3_c0.t1
OG0000089	Cg007G2528700	ESY2_g34829_DN3_SP8_c0.t1
OG0000090	Cg008G2920500, Cg005G1727500	ESY26_g42317_DN1_SP0_c0.t1, ESY3_g30048_DN2_SP0_c0.t1, ESY2_g35989_DN3_SP0_c0.t1, ESY7_g17919_DN1_SP0_c0.t1, ESY6_g48406_DN3_SP0_c0.t1, ESY4_g24790_DN3_SP0_c0.t1, ESY6_g47216_DN3_SP0_c0.t1, ESY1_g12432_DN3_SP0_c0.t1, ESY2_g36671_DN2_SP0_c0.t1, ESY1_g7918_DN1_SP0_c0.t1, ESY8_g60387_DN3_SP0_c0.t1
OG0000090	Cg002G0573100, Cg006G1912900	ESY5_g1685_DN1_SP0_c0.t1, ESY6_g49736_DN3_SP0_c0.t1, ESY7_g18543_DN2_SP0_c0.t1
OG0000096	Cg004G1260000	ESY6_g49250_DN3_SP0_c0.t1
OG0000098	Cg004G1351900	ESY7_g16092_DN2_SP0_c0.t1, ESY7_g16160_DN2_SP0_c0.t1, ESY6_g50064_DN2_SP0_c0.t1, ESY5_g5060_DN3_SP0_c0.t1
OG0000098	Cg007G2258600, Cg007G2258500	ESY11_g53834_DN2_SP0_c0.t1
OG0000098	Cg008G2823500	ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1, ESY7_g17569_DN3_SP0_c0.t1
OG0000100	Cg007G2289500, Cg007G2332300, Cg007G2290800	ESY1_g11939_DN1_SP0_c0.t1
OG0000101	Cg007G2332400	ESY13_g57677_DN1_SP0_c0.t1
OG0000102	Cg003G0864200, Cg003G0734200	ESY7_g16540_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1, ESY7_g16443_DN3_SP0_c0.t1
OG0000102	Cg003G0864100, Cg003G0734300	ESY7_g16539_DN1_SP0_c0.t1, ESY7_g16475_DN3_SP0_c0.t1, ESY7_g16538_DN2_SP0_c0.t1, ESY6_g49637_DN2_SP0_c0.t1
OG0000102	Cg003G0863700, Cg003G0734700, Cg003G0734400, Cg003G0864000	ESY7_g16536_DN3_SP0_c0.t1
OG0000105	Cg007G2332200, Cg007G2332800	ESY5_g1810_DN2_SP0_c0.t1, ESY5_g2214_DN1_SP0_c94.t1
OG0000106	Cg006G2207300	ESY11_g53714_DN2_SP0_c0.t1, ESY22_g40814_DN2_SP0_c0.t1
OG0000107	Cg005G1681600, Cg004G1267700, Cg004G1267500, Cg004G1267300, Cg004G1267400, Cg004G1267200, Cg004G1267600	ESY4_g23035_DN3_SP0_c29.t1
OG0000109	Cg008G2837900, Cg008G2837800	ESY26_g42254_DN3_SP0_c0.t1, ESY15_g65580_DN3_SP0_c0.t1
OG0000110	Cg002G0653700	ESY9_g43985_DN3_SP0_c0.t1
OG0000116	Cg001G0293300, Cg001G0282800	ESY12_g51236_DN3_SP0_c0.t1
OG0000117	Cg006G2029700	ESY11_g54277_DN1_SP0_c0.t1
OG0000117	Cg006G2031100	ESY5_g2024_DN3_SP0_c0.t1
OG0000117	Cg006G2030600	ESY5_g2017_DN3_SP0_c0.t1, ESY5_g2014_DN3_SP0_c0.t1, ESY5_g5207_DN3_SP0_c0.t1, ESY5_g5208_DN3_SP0_c0.t1, ESY5_g5162_DN3_SP0_c0.t1
OG0000120	Cg008G2916400, Cg008G2816800, Cg007G2484100, Cg006G2020800, Cg004G1078700, Cg007G2342500	ESY1_g9428_DN3_SP0_c0.t1
OG0000122	Cg003G0953100, Cg003G0952800	ESY3_g30973_DN3_SP0_c0.t1, ESY10_g14968_DN3_SP0_c0.t1, ESY20_g12804_DN3_SP0_c0.t1
OG0000123	Cg008G2893000, Cg008G2892800, Cg008G2892300, Cg008G2892200, Cg008G2892500, Cg008G2892400, Cg008G2892600, Cg008G2892100, Cg008G2892000, Cg008G2892700, Cg008G2892900	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1
OG0000125	Cg005G1643500	ESY8_g58834_DN3_SP0_c19.t1
OG0000125	Cg005G1643600, Cg005G1644100	ESY8_g58838_DN3_SP0_c18.t1
OG0000125	Cg006G1841400	ESY2_g37202_DN3_SP0_c14.t1
OG0000125	Cg006G1816900, Cg006G1816400	ESY1_g12339_DN3_SP0_c5.t1
OG0000127	Cg006G2186100	ESY5_g4488_DN3_SP0_c0.t1
OG0000127	Cg008G2786000	ESY6_g48978_DN3_SP0_c0.t1, ESY6_g48979_DN3_SP0_c0.t1
OG0000127	Cg002G0489900	ESY3_g30941_DN1_SP0_c0.t1, ESY3_g30943_DN3_SP0_c0.t1, ESY1_g11076_DN3_SP0_c0.t1
OG0000127	Cg008G2597500	ESY1_g11079_DN3_SP0_c0.t1
OG0000127	Cg003G0989900	ESY6_g48851_DN3_SP0_c0.t1
OG0000127	Cg005G1647800	ESY8_g58880_DN2_SP0_c0.t1
OG0000128	Cg007G2459200, Cg002G0434200, Cg002G0434700, Cg002G0434600	ESY1_g11245_DN1_SP0_c0.t1
OG0000129	Cg007G2357000	ESY2_g34340_DN2_SP0_c0.t1, ESY7_g18677_DN3_SP0_c0.t1, ESY9_g43047_DN3_SP0_c0.t1, ESY9_g43049_DN3_SP0_c0.t1
OG0000129	Cg007G2393300, Cg007G2412500, Cg007G2396400	ESY7_g19441_DN3_SP0_c0.t1, ESY7_g19438_DN2_SP0_c0.t1
OG0000129	Cg003G1010100, Cg003G1010200, Cg003G1010000, Cg005G1662800, Cg005G1661800, Cg005G1660700, Cg005G1661700, Cg003G0897000	ESY6_g49428_DN3_SP0_c0.t1
OG0000129	Cg008G2880200, Cg007G2357100	ESY2_g34341_DN3_SP0_c0.t1
OG0000130	Cg008G2849000	ESY1_g9827_DN1_SP0_c0.t1
OG0000130	Cg003G0796500, Cg002G0592800	ESY23_g219_DN2_SP0_c0.t1
OG0000137	Cg003G0942200	ESY1_g10590_DN2_SP0_c0.t1, ESY6_g48021_DN2_SP0_c38.t1
OG0000138	Cg007G2299200, Cg008G2872200, Cg002G0573400, Cg007G2299500	ESY11_g54288_DN3_SP0_c0.t1
OG0000140	Cg003G0904200, Cg002G0686900, Cg006G2087500, Cg006G1824700, Cg003G0810900	ESY10_g15894_DN2_SP0_c0.t1
OG0000141	Cg007G2276000, Cg007G2276100	ESY6_g49757_DN3_SP0_c0.t1, ESY6_g49766_DN1_SP0_c0.t1, ESY6_g49768_DN3_SP0_c0.t1, ESY6_g49777_DN3_SP0_c0.t1, ESY6_g49767_DN3_SP0_c0.t1
OG0000151	Cg002G0474800, Cg002G0579800, Cg002G0475200, Cg002G0475300, Cg005G1538800, Cg002G0475400, Cg002G0491600, Cg005G1560100, Cg008G2699500	ESY1_g10786_DN3_SP0_c0.t1, ESY1_g10749_DN1_SP0_c6.t1
OG0000153	Cg005G1625900	ESY18_g63267_DN3_SP0_c0.t1
OG0000154	Cg006G1826100	ESY16_g61942_DN3_SP0_c0.t1, ESY16_g61938_DN2_SP0_c0.t1, ESY2_g37486_DN2_SP0_c0.t1
OG0000154	Cg006G1826000	ESY2_g37254_DN2_SP0_c0.t1
OG0000154	Cg006G1826200	ESY2_g37383_DN3_SP0_c0.t1, ESY2_g37452_DN3_SP0_c0.t1
OG0000155	Cg009G2989400	ESY7_g18223_DN2_SP0_c0.t1, ESY7_g16424_DN1_SP0_c0.t1, ESY6_g48389_DN1_SP0_c0.t1, ESY2_g34658_DN1_SP0_c7.t1
OG0000155	Cg004G1360400, Cg001G0323500	ESY2_g37015_DN1_SP0_c0.t1
OG0000157	Cg006G1966900	ESY3_g31914_DN1_SP0_c0.t1
OG0000159	Cg007G2460000, Cg003G0778900, Cg005G1705200	ESY5_g2337_DN3_SP0_c0.t1
OG0000160	Cg004G1426700	ESY11_g54431_DN3_SP8_c0.t1
OG0000160	Cg001G0100800	ESY4_g24538_DN3_SP0_c0.t1
OG0000160	Cg003G0963700	ESY6_g48428_DN3_SP8_c0.t1
OG0000160	Cg001G0307000	ESY17_g39881_DN3_SP8_c0.t1
OG0000160	Cg007G2573400	ESY2_g36615_DN3_SP8_c6.t1
OG0000160	Cg005G1742100	ESY8_g59421_DN3_SP7_c0.t1
OG0000162	Cg005G1601600	ESY20_g12795_DN3_SP0_c0.t1
OG0000162	Cg005G1601400	ESY20_g12800_DN3_SP0_c0.t1
OG0000163	Cg007G2356000, Cg005G1702000	ESY10_g14513_DN2_SP0_c0.t1
OG0000165	Cg008G2927600, Cg006G1858300, Cg007G2423600	ESY11_g54874_DN3_SP0_c0.t1, ESY11_g54875_DN3_SP0_c0.t1
OG0000166	Cg013G3025200, Cg013G3024600, Cg013G3024900	ESY6_g49239_DN3_SP0_c66.t1, ESY5_g5230_DN1_SP0_c0.t1, ESY2_g34940_DN2_SP0_c11.t1
OG0000167	Cg004G1278400, Cg004G1301000	ESY2_g33553_DN2_SP0_c0.t1
OG0000170	Cg005G1473800, Cg002G0419600, Cg005G1474000	ESY7_g16345_DN2_SP0_c0.t1
OG0000171	Cg003G0916500	ESY6_g47353_DN3_SP8_c0.t1
OG0000171	Cg007G2262400	ESY8_g60049_DN3_SP6_c0.t1
OG0000171	Cg004G1402700	ESY11_g53876_DN3_SP8_c0.t1
OG0000171	Cg003G0949800	ESY6_g48165_DN3_SP8_c0.t1
OG0000171	Cg004G1146700	ESY3_g30785_DN3_SP8_c0.t1, ESY3_g30787_DN3_SP0_c0.t1
OG0000171	Cg001G0123300	ESY4_g23864_DN3_SP6_c0.t1
OG0000173	Cg008G2861400, Cg008G2846800	ESY2_g33791_DN2_SP0_c0.t1, ESY4_g25826_DN2_SP0_c0.t1, ESY3_g28607_DN2_SP0_c0.t1, ESY4_g25629_DN2_SP0_c19.t1, ESY4_g26323_DN2_SP0_c0.t1, ESY4_g26316_DN3_SP0_c0.t1, ESY4_g26038_DN2_SP0_c0.t1, ESY4_g26322_DN2_SP0_c0.t1, ESY4_g26691_DN3_SP0_c5.t1, ESY4_g26645_DN3_SP0_c39.t1, ESY4_g26692_DN1_SP0_c0.t1, ESY4_g26646_DN2_SP0_c0.t1, ESY4_g26238_DN3_SP0_c0.t1, ESY4_g26647_DN1_SP0_c0.t1
OG0000174	Cg003G0887300, Cg005G1647500, Cg007G2342000, Cg002G0629800, Cg002G0560800, Cg001G0362900, Cg003G0991500, Cg001G0283900, Cg007G2346200	ESY11_g53584_DN1_SP0_c0.t1, ESY3_g28899_DN2_SP0_c0.t1, ESY4_g24612_DN2_SP0_c73.t1, ESY2_g38528_DN2_SP0_c0.t1, ESY19_g41722_DN3_SP0_c0.t1, ESY11_g53147_DN2_SP0_c3.t1
OG0000183	Cg001G0339800, Cg007G2426600	ESY2_g35240_DN3_SP8_c46.t1
OG0000183	Cg002G0456600, Cg005G1519300	ESY12_g51047_DN3_SP8_c0.t1
OG0000183	Cg008G2776300	ESY8_g59101_DN3_SP5_c0.t1
OG0000183	Cg005G1681400	ESY1_g7203_DN3_SP0_c0.t1
OG0000185	Cg004G1440400	ESY12_g51008_DN3_SP0_c0.t1
OG0000185	Cg003G1044200	ESY2_g35404_DN3_SP0_c41.t1, ESY3_g29317_DN3_SP0_c0.t1
OG0000186	Cg005G1766900, Cg007G2287600, Cg002G0535100	ESY3_g32370_DN2_SP0_c0.t1, ESY3_g32365_DN1_SP0_c79.t1
OG0000188	Cg002G0576300, Cg004G1168000, Cg004G1167400, Cg004G1167900, Cg004G1107000	ESY3_g31964_DN2_SP0_c0.t1, ESY3_g31967_DN2_SP0_c0.t1
OG0000189	Cg001G0040600	ESY4_g26116_DN3_SP8_c10.t1
OG0000189	Cg001G0051000	ESY4_g25500_DN3_SP8_c0.t1
OG0000189	Cg006G2064800	ESY5_g3986_DN3_SP8_c0.t1
OG0000191	Cg001G0299600	ESY21_g55510_DN1_SP0_c0.t1, ESY15_g64236_DN1_SP0_c10.t1
OG0000191	Cg007G2389300	ESY13_g57929_DN1_SP0_c0.t1, ESY21_g55511_DN2_SP0_c0.t1
OG0000191	Cg007G2329300	ESY9_g44026_DN2_SP0_c0.t1
OG0000192	Cg006G1993900	ESY5_g3215_DN2_SP0_c2.t1, ESY10_g14136_DN1_SP0_c0.t1
OG0000193	Cg004G1230500	ESY5_g4726_DN2_SP0_c0.t1, ESY4_g25268_DN1_SP0_c0.t1, ESY6_g50699_DN2_SP0_c0.t1
OG0000195	Cg003G0787800	ESY3_g31987_DN1_SP0_c0.t1
OG0000197	Cg005G1728400, Cg005G1727900, Cg005G1727800, Cg005G1728200, Cg005G1728000	ESY8_g59318_DN2_SP0_c55.t1, ESY8_g59316_DN3_SP0_c53.t1, ESY9_g44987_DN1_SP0_c46.t1
OG0000197	Cg001G0205400	ESY9_g43010_DN3_SP0_c0.t1
OG0000198	Cg002G0692800	ESY10_g14610_DN3_SP8_c0.t1
OG0000198	Cg002G0664200	ESY7_g18205_DN3_SP0_c0.t1, ESY7_g18208_DN3_SP0_c0.t1
OG0000199	Cg007G2470500, Cg007G2472200, Cg007G2392400, Cg002G0549200	ESY1_g12013_DN3_SP0_c0.t1, ESY1_g12014_DN3_SP0_c0.t1
OG0000199	Cg014G3034400, Cg008G2903900, Cg014G3034300, Cg003G0721100, Cg003G0721200, Cg014G3034200, Cg001G0105000	ESY1_g12012_DN3_SP0_c0.t1
OG0000200	Cg006G2183200	ESY11_g54907_DN2_SP0_c0.t1, ESY11_g54900_DN2_SP0_c0.t1, ESY11_g54903_DN3_SP0_c0.t1, ESY11_g54896_DN3_SP0_c0.t1
OG0000200	Cg006G1857600	ESY7_g17892_DN3_SP0_c0.t1, ESY7_g17041_DN3_SP0_c0.t1
OG0000200	Cg006G1857700	ESY7_g17038_DN2_SP0_c0.t1
OG0000201	Cg005G1717000	ESY3_g29139_DN2_SP0_c10.t1, ESY19_g42177_DN3_SP0_c23.t1
OG0000203	Cg002G0442000	ESY1_g10742_DN3_SP0_c0.t1
OG0000203	Cg002G0441200	ESY16_g61546_DN3_SP0_c0.t1
OG0000203	Cg002G0441400	ESY1_g11462_DN3_SP0_c0.t1
OG0000203	Cg002G0441500	ESY1_g11463_DN3_SP0_c0.t1
OG0000205	Cg006G1892500	ESY6_g47659_DN3_SP0_c30.t1
OG0000209	Cg008G2968000	ESY5_g2795_DN2_SP0_c0.t1
OG0000209	Cg008G2670300, Cg008G2670600, Cg008G2677700	ESY7_g18015_DN2_SP0_c0.t1
OG0000209	Cg008G2772200, Cg006G2021100, Cg006G1996300	ESY3_g31328_DN1_SP0_c0.t1
